0: [[35, 7, 2], [1, 3, 4], [8, 5, 14, 30, 11, 9, 22, 15, 13, 12, 16, 18, 10], [21, 6, 17], [19, 24, 20, 23, 31, 27, 26, 25, 28, 32, 50], [37, 36, 43, 45], [29, 41, 40, 38, 44, 33, 39, 47, 48, 58, 42], [34, 46, 51, 55, 53, 52, 56, 54, 59], [49, 60, 57]]
74: [[35, 7, 2], [1, 3, 4], [8, 21, 13, 6, 14, 9, 5, 10, 27, 15, 29, 11, 12], [19, 25, 23], [16, 18, 31, 17, 22, 24, 20, 28, 34, 49], [48, 26, 40, 38, 46, 32, 30, 33, 36, 43, 47], [41, 37, 39, 53], [42, 51, 44, 52, 57, 45, 54, 50, 55], [56, 59, 58, 60]]
75: [[35, 7, 2], [1, 11, 4, 8, 5, 13, 21, 10], [3, 31, 14, 6], [28, 9, 19, 12, 15, 29, 22, 18, 24, 16, 20, 17, 25, 23], [26, 27, 60, 32, 33, 37, 41, 30], [36, 39, 46, 34, 38, 40, 47, 44, 58, 56, 42, 59, 43, 45, 49, 55, 54, 50, 48, 51, 57, 52, 53]]
76: [[35, 7, 2, 1, 3, 4, 8, 20, 13, 14], [5, 6, 31, 9, 11, 10, 21, 12, 18, 15, 17, 16, 24, 19, 25, 22, 26, 23, 28, 29, 27], [60, 50, 33, 41, 36, 47, 30, 32, 37, 43, 38, 39, 46, 42, 34, 40, 57, 52, 51], [44, 45, 54, 48, 49, 53, 55, 56, 59, 58]]
77: [[35, 7, 2, 1, 3, 4, 8, 21, 13, 6, 15, 5, 10, 11, 14, 12, 28, 27, 16, 19], [18, 9, 17, 20, 22, 29, 23, 24, 25, 26, 30, 31, 50, 36, 33, 39, 45, 32, 37, 40], [34, 49, 38, 43, 41, 42, 44, 60, 48, 46, 47, 52, 53, 51, 55, 56, 54, 57, 58, 59]]
78: [[35, 7, 2], [1, 3, 4], [8, 13, 15, 6], [14, 5, 11, 28, 10, 9, 20, 18, 22, 12, 16, 23, 19, 17, 21, 26], [27, 30, 24, 29, 25, 31, 48, 33], [32, 54, 45, 41, 42, 39, 38, 37, 34, 36, 43, 44, 56, 52, 40, 46, 51, 57, 47, 49, 50, 53, 55, 59, 58, 60]]
79: [[35, 7, 2], [1, 3, 4, 8], [21, 14, 23], [5, 13, 6, 10, 9, 11, 31, 28, 16, 27, 12, 15, 17, 18, 22, 19, 20, 24, 25], [57, 29, 26, 32, 30, 36, 54, 33, 34, 40, 37, 38, 42, 43, 39, 45, 41, 44, 47, 59, 46, 50, 49, 48, 51, 52, 55, 53, 58, 56, 60]]
80: [[35, 7, 2], [1, 3, 4], [8, 23, 5, 14, 6, 9, 16, 10, 12, 13], [11, 15, 18, 17, 20, 19], [31, 22, 21, 24, 27], [29, 28, 30], [25, 26, 48], [32, 45, 34, 36, 33, 37, 44, 38, 39], [46, 40, 47], [42, 41, 43], [53, 51, 50, 49, 55, 52, 60, 56, 57, 58], [54, 59]]
81: [[35, 7, 2, 1, 3, 4, 8, 5, 12, 6], [9, 11, 13, 10, 15, 14, 21, 24, 18, 19, 16], [22, 20, 17, 23, 30, 27, 26, 29, 28, 25, 31], [34, 36, 32, 49, 38, 46, 33, 39, 37, 42, 40, 47, 41, 44, 43, 45], [50, 48, 51], [54, 58, 56, 53, 52, 59, 57, 55, 60]]
82: [[35, 7, 2, 9], [3, 4, 8], [21, 13, 1, 14, 18, 20, 15, 24], [12, 26, 28, 5, 19, 22, 6, 10, 17, 31, 11, 16, 23, 27, 29], [41, 25, 48, 32, 30, 43, 33], [36, 40, 44, 34, 47, 56, 38, 39, 45, 50], [42, 46, 37, 55, 59, 49, 51, 53, 52, 60, 54, 58, 57]]
83: [[35, 7, 2], [1, 3, 4], [8, 21, 15, 5, 30, 6, 22, 14], [9, 29, 10, 17, 28, 11, 24], [12, 13, 23, 16, 18, 27, 19], [20, 25, 31, 26], [48, 38, 33, 32], [44, 41, 34, 36], [42, 43, 37, 39, 46, 45, 47, 50, 55, 40, 53, 59, 54, 49, 52, 57, 60, 51, 58, 56]]
84: [[35, 7, 2], [1, 3, 4, 8, 5, 12, 29, 6, 11, 23, 15], [9, 10, 16, 26], [24, 21, 22, 27, 14, 18, 19, 30, 25, 28, 31], [17, 20, 32, 48, 37, 38, 58, 40, 13], [41, 33, 36], [34, 45, 43, 39, 44, 59, 42, 50, 46, 47, 53, 55, 54, 56, 52, 49, 51, 57, 60]]
85: [[35, 7, 2, 1, 3, 4, 8, 16, 13, 21], [14, 5, 11, 6, 9, 10, 30, 12, 15, 31, 18, 17, 19, 23, 22, 20, 26, 24, 28, 27, 29, 25, 48, 33, 37, 44, 32, 36, 39, 38, 34, 40, 42, 43, 46, 41, 47, 45, 49, 50], [53, 54, 52, 51, 59, 57, 55, 56, 60, 58]]
86: [[35, 7, 2], [1, 3, 4, 8, 5, 6, 9], [26, 16, 27], [11, 14, 13, 15, 10, 18, 19, 22], [12, 21, 20, 17, 23, 31, 24, 30, 28], [25, 29], [58, 36, 33, 42, 53, 37], [32, 43, 38, 46, 45, 47, 34, 44, 39, 40, 56, 41], [49, 60, 54, 57, 50, 48, 52, 55, 51, 59]]
87: [[35, 7, 2], [1, 3, 4], [8, 21, 13, 15, 5, 9, 6, 11, 10, 12, 31, 20, 14], [19, 18, 26], [16, 17, 24, 22, 23, 27, 25], [29, 28, 30], [50, 37, 60, 39, 40, 34, 32, 47, 44], [33, 41, 36, 42, 38, 45, 46, 51, 43, 52, 49, 53, 48, 54, 55, 57, 59, 58, 56]]
88: [[35, 7, 2, 1, 3, 4, 8, 21, 13, 6, 9], [14, 27, 11, 15], [29, 31, 10, 24, 17, 16, 12, 5, 18, 19, 20, 22], [23, 26, 28, 25, 30, 48, 37, 36, 44, 32, 33, 34, 43, 38, 51], [39, 42, 40, 46, 45, 41, 59, 47, 55, 60, 54, 50, 49, 52, 53], [56, 57, 58]]
89: [[35, 7, 2], [1, 3, 4, 8, 17, 13, 5], [6, 10, 30, 9, 11, 29], [31, 12, 18, 19, 16, 20], [15, 21, 23, 28, 22, 26, 24], [25, 27, 34, 50, 33], [39, 38, 42, 32, 14, 40, 47, 37, 41, 43, 36, 46, 45, 44, 48, 51], [49, 53, 52, 56, 59, 54, 55, 58, 57, 60]]
90: [[35, 7, 2, 1, 3, 4, 8, 21, 13, 5], [14, 11, 6, 9, 27, 12, 29, 25, 10, 31, 28], [18, 22, 23, 19, 26, 15, 16, 20, 24, 17, 56], [48, 37, 44, 30, 34, 42, 32, 33, 36, 40, 41, 45], [38, 46, 39], [47, 52, 51, 50, 60, 43, 49, 53, 54], [55, 57, 58, 59]]
91: [[35, 7, 2], [1, 3], [4, 8, 5, 15], [6, 29, 14], [12, 13, 27, 30, 9, 10, 16, 22, 17, 20, 19, 11, 26, 21, 23, 18, 31, 24, 25, 28, 42, 37, 40, 33, 48, 46], [45, 34, 36, 41, 54, 32, 38, 44, 39, 47, 51, 43, 52, 49, 50, 55, 53, 59, 60, 56, 58, 57]]
92: [[35, 7, 2], [1, 3, 4, 8, 21, 15, 5, 6], [9, 26, 10, 13, 28, 12, 11, 22, 14], [18, 20, 17, 19], [24, 16, 25, 30, 23, 27, 31, 29, 50, 45, 33], [34, 44, 32, 40, 41, 38, 36, 37, 46, 39], [43, 42, 48], [57, 47, 51], [49, 54], [55, 52, 58, 53, 59, 56, 60]]
93: [[35, 7, 2], [1, 3, 4, 8, 5, 14, 28, 15, 9, 30, 12], [6, 31, 24, 16], [10, 11, 18, 13, 22, 20, 23, 19, 27, 17, 21], [25, 26, 29, 58, 32, 33, 41, 43, 38], [40, 45, 46], [34, 47, 39, 36, 60, 44, 42, 57, 37, 50, 48, 49, 52], [56, 51, 53, 55, 54, 59]]
94: [[35, 7, 2, 1], [3, 4, 8], [21, 12, 14], [6, 9, 18, 10, 13, 5, 30, 16, 11, 27, 15, 28, 20, 17, 23, 19, 22, 31, 29], [25, 24, 26, 32, 41, 37, 51, 33, 34, 40, 38, 46, 47, 43, 39, 45, 42, 36, 44, 56, 48, 52, 49, 50, 55, 53, 54, 59, 58, 60, 57]]
95: [[35, 7, 2], [1, 3, 4, 8, 5, 15, 25, 14, 13, 27], [6, 9, 30], [11, 10, 22, 23, 17, 19, 28], [12, 31, 16, 18, 24, 21, 20, 26], [29, 48, 32, 36, 34, 45, 37, 44], [41, 42, 53, 38, 39, 33, 40, 43, 46], [49, 50, 47, 51, 54, 55, 57, 56, 52, 59, 58, 60]]
96: [[35, 7, 2, 1, 3], [4, 8, 21], [13, 6, 5], [9, 15, 10, 11, 12, 25, 14], [16, 17, 22, 20, 23, 24, 19, 26, 18, 31], [27, 30, 29, 28, 32, 37, 40, 33, 60, 46, 34, 43, 38, 39, 41, 42, 47], [58, 44, 36, 45, 49, 50, 53, 51, 55, 52, 48, 54, 57, 59, 56]]
97: [[35, 7, 2], [1, 3, 4], [8, 21, 15], [5, 6, 11], [26, 9, 10, 12], [28, 17, 13, 22, 18, 16, 23, 14], [19, 25, 20, 24, 30, 29, 31, 27], [48, 37, 34, 38, 36, 42, 33], [32, 44, 39, 40, 43, 41, 46, 47], [45, 60, 49, 55, 52, 50, 51, 54, 53], [59, 57, 58, 56]]
98: [[35, 7, 2], [1, 3, 4, 8, 21, 17], [14, 30, 5, 10, 6, 9, 12, 11, 13, 18, 23, 22], [15, 31, 27, 20, 16, 25, 24, 19, 28], [26, 29, 34], [56, 37, 36, 47, 33, 38, 39, 46, 40, 41, 32, 42, 43, 45, 58, 44, 49, 53, 51, 48, 52, 59, 54, 50, 55, 57, 60]]
99: [[35, 7], [2, 1, 3, 4, 8, 20, 13, 5, 26, 9, 14, 6, 11, 12, 22, 16, 10, 15, 25, 19, 18, 17, 28, 21, 24, 31, 23, 27, 29, 30, 32, 33, 37, 41, 44, 49, 34, 36, 39, 38, 42, 43, 40, 58, 50, 45, 47, 46, 53, 59, 55, 48, 51, 54, 52, 56, 57], [60]]
100: [[35, 7, 2], [1, 3, 4], [8, 13, 6, 15, 9, 11, 19, 12, 31, 5], [26, 14, 10, 16, 20, 17, 23, 18, 21, 24, 27], [22, 25, 29], [30, 28, 50, 34, 32, 42, 46, 53, 41, 44, 40, 38, 45, 36, 39, 33, 37, 43, 52, 56, 48, 49, 47, 55, 54, 57, 59, 51, 58, 60]]
101: [[35, 7, 2, 1], [3, 4, 8], [21, 12, 14, 5, 6, 27], [10, 9, 15], [13, 17, 11, 19, 20, 28, 23, 24, 31, 18, 22], [29, 25], [16, 30, 26], [33, 32, 55, 37, 38, 34], [36, 46, 47, 40, 41, 39, 45, 58, 42, 43, 44, 52, 48, 57, 54, 53, 49, 50, 51, 56, 60, 59]]
102: [[35, 7, 2, 1, 3, 4], [9, 5, 14], [21, 12, 8, 26, 6, 11, 15, 29, 24, 10, 13, 20, 17, 31, 22, 18], [16, 19, 27, 23, 30, 25, 28, 48], [37, 44, 34, 49, 42, 32, 33], [36, 38, 43, 41, 39, 40, 45], [46, 56, 47, 52, 57, 50, 51, 58, 55], [54, 53, 59, 60]]
103: [[35, 7, 2, 1, 3, 4, 8, 5, 12], [15, 14, 10, 26, 6, 9, 11, 13], [17, 16, 23], [18, 25, 19, 21, 20, 22, 24, 28, 29], [30, 27, 31, 32, 33, 34, 38, 45, 55, 37], [39, 36, 42], [44, 47, 41, 40, 43, 50, 58, 48, 54, 46, 53], [51, 49, 57, 59, 52, 60, 56]]
104: [[35, 7, 2], [1, 3, 4, 8, 9, 13, 10, 23, 5, 31, 11, 14], [12, 16, 15, 25, 22, 17, 18, 6, 20, 19, 30, 21, 24, 26, 29, 28], [58, 32, 33], [45, 52, 46, 49, 27, 36, 39, 43, 34], [37, 47, 38, 42, 40, 41, 44, 48, 50, 53, 51, 60, 54, 59, 56, 55, 57]]
105: [[35, 7, 2, 1, 3, 4, 8, 20, 15, 6, 13], [5, 31, 11, 9, 12, 29, 10, 26, 27, 16, 18], [22, 14, 17, 24, 19, 21, 30, 23, 25, 28, 50, 37, 44, 57, 38, 34], [33, 36, 39], [43, 40, 47, 32, 42, 45, 41, 51, 46], [48, 52, 49, 54, 53, 55, 58, 56, 59, 60]]
106: [[35, 7, 2, 1], [3, 4, 8, 17, 13, 5, 23, 14, 29], [11, 6, 30], [9, 10, 15, 31, 20, 25, 12, 16, 18, 19, 21, 26, 24, 22, 27, 28], [48, 33, 37, 34, 44, 32, 36, 43, 38, 42, 39, 45, 46, 40, 47, 49, 41, 51], [52, 56, 50, 53, 55, 54, 57, 59, 58, 60]]
107: [[35, 7, 2, 1, 3, 4], [9, 21, 12], [20, 14, 5, 26, 6, 10, 31, 27, 8, 13], [11, 16, 17, 22, 18, 19, 23, 25, 28, 30], [36, 24, 29, 48, 32, 37, 33, 40, 39, 15, 38, 41, 34, 44, 47, 52, 46, 45, 42, 43, 51, 55, 50, 49, 53, 54, 56, 58, 59, 57], [60]]
108: [[35, 7, 2, 1, 3, 4, 8, 21, 12], [6, 5, 9, 11, 10, 13, 14, 29, 15, 18, 19, 16, 17, 22, 20, 23, 28, 27, 25, 26, 24, 31, 30, 40, 33, 34, 38, 36, 32, 43, 42, 44, 37, 39, 46, 45, 58, 41, 51, 47, 57, 49], [48, 54, 55, 56, 52, 50, 53, 59, 60]]
109: [[35, 7, 2, 1, 3, 4, 8], [5, 14, 10], [13, 9, 26, 15], [11, 31, 16, 20, 28, 17, 19, 12, 18, 21, 6, 22, 29, 23, 25, 27, 30, 24, 50, 32, 37, 33, 41, 36, 42, 40, 46, 34, 43, 38, 44, 45, 39, 47, 51, 59, 48, 52, 55, 49, 53, 54, 57, 58, 60, 56]]
110: [[35, 7, 2], [1, 3, 4, 8, 21], [13, 14, 22, 9, 31, 5, 6, 15, 25, 30, 11], [19, 18, 16, 10, 20, 17, 24, 29, 12, 23], [26, 28, 27, 48, 37, 32, 39, 45, 33, 42, 46], [36, 34, 41, 43], [38, 47, 40], [44, 50, 52, 54, 57], [53, 51, 59, 49, 56, 55, 58, 60]]
111: [[35, 7, 2, 1, 3, 4, 8, 5, 13, 9, 6, 11, 15, 26, 10, 12, 30, 23, 17, 27, 14, 16], [19, 18, 28, 21, 20, 24, 22, 25, 29, 31, 50, 33, 32, 34, 37, 36], [40, 43, 46, 57, 38, 39, 42, 45, 44, 41, 51, 48, 49, 47, 53, 59, 54, 60, 55, 52, 56, 58]]
112: [[35, 7, 2, 1, 3, 4, 8, 23, 22, 13, 19, 9, 11, 26, 12, 5, 29, 16, 17, 30], [6, 10, 14, 18, 27, 15, 31], [20, 28, 21, 25, 24, 32, 33, 38, 39], [52, 34, 40, 46], [36, 37, 45, 42, 44, 41, 43, 48, 47, 50, 53, 49, 54, 55, 51, 56, 59], [57, 58, 60]]
113: [[35, 7, 2, 1, 3, 4, 8, 5], [13, 6, 31, 9, 26, 11, 12, 14], [27, 25, 18], [10, 16, 20, 19, 23, 17, 22, 21, 24, 30, 15, 29, 28], [50, 36, 37, 34, 45, 32, 38, 43, 46, 52, 33, 41, 44, 39, 57, 40, 58, 42, 53, 47], [48, 49, 51, 56, 54, 60, 55, 59]]
114: [[35, 7, 2, 1], [3, 4, 8], [29, 12, 13, 6, 27, 26, 15, 24, 5, 28, 25, 10, 14, 20], [11, 18, 17], [22, 21, 19], [16, 23, 30, 9], [31, 50, 33], [43, 40, 32, 37, 38, 36, 39, 41, 57, 34, 45, 42, 44, 47, 49, 58], [52, 46, 56, 51, 53, 54, 55, 48, 59, 60]]
115: [[35, 7, 2], [1, 3], [4, 8, 29, 13, 6, 5], [9, 14], [10, 11, 22, 31, 12, 21, 19, 20], [24, 15], [17, 23], [16, 18, 27, 26, 25, 28, 30], [48, 37, 42], [38, 32, 34, 33, 45], [46, 36, 43, 39, 40, 44], [47, 52, 54, 41, 55], [49, 60, 51, 58, 53, 50, 59, 56, 57]]
116: [[35, 7, 2], [1, 3, 4, 8, 13, 15, 5], [6, 9], [10, 12], [11, 16, 28, 20, 29, 19, 26], [17, 18, 21], [14, 23, 22, 24, 25], [27, 31, 30, 48, 33], [36, 32, 34, 38, 40, 47], [46, 42], [45, 39, 41, 43, 54, 44], [51, 50, 37, 52, 53, 55, 49, 57, 59, 58, 56, 60]]
117: [[35, 7, 2, 1, 3, 4, 8, 5, 6, 13, 10, 9, 12, 11, 15, 31, 14, 29, 17, 16, 24, 22, 23, 18, 20, 19], [25, 30, 27, 26, 21, 59, 48, 41], [45, 44, 28, 46, 34, 33, 36, 39, 37, 38, 32, 47, 40, 43, 42, 49, 57, 51, 55, 52, 56, 50, 53, 60, 58, 54]]
118: [[35, 7, 2, 1, 3, 4, 8, 30, 13, 15], [14, 5, 6, 29, 9, 12, 23, 25, 10, 11, 24], [19, 26, 16, 17, 18, 20, 21, 28, 27, 22, 31], [50, 33, 37, 41, 46, 34, 58, 44], [36, 38, 40, 47, 32, 39, 48, 42, 54, 51, 43, 56, 49, 45, 52, 53, 55], [57, 59, 60]]
119: [[35, 7, 2], [1, 3, 4], [8, 20, 13, 14, 6, 5, 27], [10, 11], [17, 22, 12, 16, 15, 21], [18], [23, 9, 24], [19, 25, 26, 30, 29, 28, 60, 34], [33, 39, 31, 46, 32, 37, 44], [38, 47, 36, 40, 41, 43, 45], [48, 50, 51, 42, 52, 53, 49, 55, 54], [56, 57, 59, 58]]
120: [[35, 7, 2], [1, 3, 4, 8, 27], [12, 30, 15], [9, 21, 5], [6, 11], [10, 18, 13, 23, 24, 26], [14, 17, 20, 22, 25], [19, 29, 28], [31, 16, 50], [44, 33, 32, 34, 37, 36, 41, 47, 45], [38, 42, 49], [39, 46, 43], [56, 53, 57, 40, 55, 54, 59, 51, 48, 58], [52, 60]]
121: [[35, 7, 2, 1, 3, 4, 8, 21, 15, 30], [11, 13, 10], [5, 6, 9, 16, 18, 14], [29, 22, 17], [19, 23, 20, 12, 27, 25, 24, 26, 28, 31, 48], [37, 36, 41, 44], [32, 34, 46, 38, 40, 33, 39, 47, 57, 45, 43], [49, 42, 53, 55, 52, 54, 50, 56, 51], [58, 60, 59]]
