0: [[38, 5, 7], [2, 43, 12, 22], [3, 4, 1], [6, 9, 8], [24, 30, 11], [27, 15, 14], [18, 21, 16, 17], [50, 51, 19], [20, 25, 26, 13, 23], [60, 61, 48], [37, 49], [28, 35, 29], [33, 42], [36, 40, 47, 34, 31], [44, 32, 39, 10], [53, 41, 52], [56, 45, 57, 55], [59, 54, 46, 58, 63, 62, 68, 66], [64, 67, 69, 65, 70, 76, 78], [71, 74, 72, 73, 75, 77], [79, 81, 86, 82], [83, 84, 80, 87, 85, 88]]
51: [[38, 5, 7], [2, 12, 22, 1, 3, 4], [10, 6, 8, 27, 9, 24, 11, 31, 15, 13, 14, 16, 17, 18, 23, 52, 29, 19, 20, 26, 28, 25, 59, 21, 43, 50, 35, 37, 46, 33, 36, 30, 41, 34, 42, 32, 44, 56, 39, 54, 47, 40, 48, 63, 51, 45, 49, 53, 55, 58, 60, 57, 61, 62, 64, 66, 67, 65, 75, 68, 69, 79, 70, 78, 72, 74, 73, 77, 76, 81, 80, 85, 71, 83, 82, 84, 87, 86, 88]]
52: [[38, 5, 7], [2, 12, 22, 1], [3, 4], [6, 14, 8, 24, 15, 10], [9, 11, 28], [26, 17, 19], [48, 18, 13, 21, 61, 20], [52, 16, 23, 31, 25], [44, 62, 29, 27, 30, 37, 42, 32], [39, 43, 34, 45, 35, 33], [40, 58, 47, 41, 46, 55, 36, 57, 56, 53, 63, 50, 49, 51, 59, 54, 60, 73, 66, 64, 65, 68, 67, 70, 78, 71, 69, 72, 75, 74, 77, 76, 79, 80, 85, 84, 81, 83, 86], [82, 87, 88]]
53: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 10, 8, 18, 15, 9], [11, 25, 27], [17, 13], [30, 16, 19, 23], [20, 21, 26], [14, 57, 24, 63, 28, 29], [58, 43, 41, 35, 37, 42, 31, 32, 33, 34, 40, 36, 45, 56, 39, 53, 46, 50, 52, 44, 47, 49, 48, 51, 54, 55, 60, 59, 61, 62, 68, 66, 64, 67, 65, 71, 70, 79, 74, 78, 72, 69, 75, 73, 76, 77, 84, 80, 83, 81, 82, 87, 85, 86, 88]]
54: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 9, 8, 26, 17, 13, 25, 29, 14], [18, 19, 23, 10, 16, 15, 20, 28, 11, 24, 27, 21, 57, 30, 48, 46, 39, 31, 36, 33, 37, 35, 34, 42, 40, 32, 55, 47, 45, 41, 50, 43, 44, 49, 52, 62, 53, 54, 56, 51, 58, 61, 59, 60, 63, 65, 70, 64, 66, 67, 71, 69, 72, 77, 78, 68, 73, 75, 74, 79, 76, 82, 80, 84, 87, 83, 86, 85, 81, 88]]
55: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [14, 6, 8], [11, 26, 9], [13, 10, 15, 19], [17, 21, 18], [16, 20, 25, 24, 29], [23, 32, 30], [35, 27, 59], [33, 28, 31], [47, 36, 37, 60, 40, 39, 34, 41, 42, 50, 43, 45, 44, 51, 46, 53, 55, 52, 49, 54, 56, 62, 48, 57, 61, 58, 63, 65, 66, 67, 64, 78, 71, 70], [74, 69, 73, 77, 79, 68, 72, 75, 76, 81, 83, 82, 84, 80, 87, 85, 86, 88]]
56: [[38, 5, 7], [2, 12, 22, 1], [3, 4], [6, 9, 8, 14], [15, 10, 11], [16, 28, 25], [26, 56, 24, 20, 13, 18, 17, 29, 19, 31, 21, 23, 27, 46, 30, 45, 35, 39, 34], [33, 32, 43], [37, 36, 44], [47, 41, 48], [63, 54], [42, 40, 51, 53, 49, 50, 59, 57, 58, 60, 61, 52, 62, 55, 72, 70, 66, 64, 68], [67, 73, 69, 65, 78, 71, 74, 75, 76, 77, 79, 81, 85, 80, 83, 82, 84, 87, 86, 88]]
57: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [8, 6, 10, 27, 9], [15, 13, 29], [11, 26, 14, 19, 16, 28, 17, 51, 23, 20, 21, 24, 18, 58, 25, 57], [48, 45, 31, 33, 39], [37, 32, 30, 34, 36, 41, 35, 42, 44, 40, 47, 43, 46, 49, 53, 55, 56], [52, 50, 61, 54], [60, 62], [63, 59, 70, 66, 68, 64, 65], [67, 75, 69, 71, 72, 73], [78, 76, 74, 77], [79, 81, 80, 86, 82, 83], [84, 87, 85, 88]]
58: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 6, 14, 8, 25, 10, 9, 15, 23, 17, 11, 18, 13, 16, 19, 21, 20, 29, 26, 28, 27, 24, 31, 30], [32, 62, 53, 42, 41, 40], [33, 34, 37, 39, 35, 45, 36, 43, 44, 63, 46, 47, 48, 55, 51, 49, 52, 56, 54, 50, 57, 58, 59, 60, 61, 69, 64, 66, 65, 70, 71, 67, 74, 68, 73, 72, 75, 76, 79, 77, 78, 81, 84, 86, 80, 82, 83, 87, 85, 88]]
59: [[38, 5, 7], [2, 12, 22, 1], [3, 4], [10, 6, 9, 8, 11, 15, 13, 14, 21], [18, 23, 49], [17, 28, 20], [26, 16, 24], [25, 61, 19, 27, 62, 60, 30, 43, 31, 29, 50, 35, 36, 46, 34, 32], [42, 33, 40, 37, 47], [39, 41, 45, 44, 51, 48, 54, 52, 58, 57, 53, 55, 56, 63, 59, 73, 66], [64, 69, 67, 65], [76, 70, 71, 68, 72, 74, 78, 75, 77, 79, 86, 81, 80], [83, 84, 82, 87, 85, 88]]
60: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10, 6, 8], [25, 28, 9, 15, 21, 13, 24, 26, 11, 14, 19, 16, 20, 17, 18], [27, 49, 23, 29, 30, 31, 37, 33, 36, 46], [32, 34, 61, 35, 42], [39, 40, 44, 43, 41, 45, 48, 47, 56, 50, 51, 52, 54, 53, 60, 55, 58, 62, 57, 59, 63, 72, 64, 65, 67, 74, 66, 68, 69, 70, 79, 73, 75, 78, 76, 77, 71, 80, 84, 86, 82, 83, 85, 81, 87, 88]]
61: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 10, 8], [27, 14, 9, 11], [25, 13, 24, 30, 20, 16, 28, 63, 15, 17, 23, 29, 18, 21, 31, 19, 59, 26, 41, 36, 34, 45, 35], [32, 40, 39, 43, 47, 33], [46, 37, 44, 42, 50, 51, 49, 52, 53, 58, 54, 48, 61, 55, 60, 56, 62, 57, 72], [70, 64, 65, 68, 71, 66, 77, 69, 79, 73, 67, 78, 74, 75, 76, 80, 81, 86, 84, 87, 82, 83, 85, 88]]
62: [[38, 5, 7], [2, 12, 1], [17, 3, 4], [6, 8, 10], [28, 33, 13, 25, 26, 22, 27, 18, 21, 16, 29, 50, 19, 9, 11, 60, 14, 31, 34, 37, 15, 62, 20], [35, 36, 53, 32, 23], [24, 49, 43], [39, 41, 63, 44], [47, 40], [42, 30, 45, 56, 51], [48, 46, 59, 52, 54], [55, 57, 61], [58, 65, 66, 64, 69], [67, 80, 71], [70, 78, 68], [72, 77, 73, 74, 75, 79, 81, 76, 83, 86, 82, 87, 84, 85, 88]]
63: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 10, 6, 9, 24, 11, 13, 15, 31], [14, 27, 19, 16, 25, 8, 17, 26], [28, 18, 55, 20, 21, 56, 30, 60, 41, 39, 33, 23, 36, 37, 47, 29, 42, 44, 34, 35, 58, 40, 45, 43, 32, 46, 50, 49, 51, 52, 48, 53, 57, 62, 61, 54, 59, 63, 65, 64, 70], [67, 66, 71, 69, 68, 73, 79, 76, 72, 74, 75, 77, 78, 83, 80, 86, 82, 81, 87, 84, 85, 88]]
64: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 9, 24, 13], [8, 31, 15], [11, 18, 19, 17, 20, 25, 26, 48, 21, 27, 16, 63, 30, 28, 23, 29], [33, 43, 41, 14, 49], [37, 39, 34, 32, 36, 35, 42, 40, 47, 44, 46, 45, 51, 52, 55, 53, 62], [50, 54, 60, 57], [58, 59, 56, 61], [65, 68, 66, 64, 76, 71, 67, 70, 77, 69, 73, 72, 78, 74, 75, 79, 82, 86, 80, 81, 87, 83, 85, 84, 88]]
65: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 9, 24], [28, 8, 15, 21, 11], [25, 26, 13, 16, 27, 17, 52, 14], [23, 18, 49, 19, 59, 29, 30, 20, 31, 37, 46], [33, 34, 53, 45, 42, 35, 32, 44, 43, 36, 39, 48, 40, 62, 41, 61, 47, 50, 51, 54, 55, 57, 56, 58, 60, 63, 72, 64, 66], [68, 73, 70, 65, 79, 67, 77, 69, 75, 78], [76, 71, 74, 80, 84], [86, 81, 83, 87, 85, 82, 88]]
66: [[38, 5, 7], [2, 12, 22, 1, 3, 4], [10, 14, 8, 6], [9, 13, 11, 31, 24, 15, 25, 16, 17, 18, 23, 53, 27, 29], [28, 19, 20], [30, 33, 26], [45, 37, 32, 39, 56, 47], [61, 35], [21, 41, 50], [36, 63, 42, 43, 40], [34, 44, 58, 48, 46, 49, 52, 54, 62, 51], [59, 55], [57, 60, 72], [66, 64, 70, 65, 67, 79], [78, 69, 68, 75, 71], [74, 73, 76, 77, 82, 80, 85, 83, 84, 87, 81, 86, 88]]
67: [[38, 5, 7], [2, 12, 22, 1], [3, 4], [10, 6, 8, 25], [13, 11, 14], [9, 29, 20], [21, 26, 18, 24, 19, 15, 51, 16, 50, 17], [28, 23, 27], [30, 62, 41], [34, 31, 49, 32, 35, 39, 40, 42, 44, 36, 37, 43, 45], [46, 61], [47, 59, 48, 33, 52, 53, 55, 54, 56, 57, 60, 58, 63, 68, 66, 65], [69, 64, 67], [75, 71, 70, 79, 73, 72], [77, 74, 76, 78, 82, 81, 84, 80, 83, 87, 86, 85, 88]]
68: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 10, 6, 8, 27, 13, 9, 23], [11, 14], [18], [15, 17, 19], [28, 29, 48], [21, 20, 24, 31, 39, 25, 46, 60, 26, 45], [57, 16, 35, 30, 36, 42, 33, 32, 41, 37, 34, 47, 59, 50, 56, 44, 40, 55, 43, 49, 53, 52, 61], [51, 62, 58, 54, 63, 73], [66, 67, 64, 71, 74, 68, 70, 69, 65, 72, 78, 75, 76, 77, 79, 84, 81, 82, 80, 86, 85, 87, 83, 88]]
69: [[38, 5, 7], [2, 12, 22, 1, 3, 4, 6, 27, 8, 9, 14, 26, 13, 10, 11, 20, 18, 17, 15, 21, 23, 49, 42, 16, 57, 60, 19, 59, 41], [24, 28, 25, 44], [45, 35, 32], [30, 37, 47, 33, 31, 34], [36, 46, 40, 43, 50, 54, 39, 48, 53, 52, 51, 55, 56, 61, 58, 62, 65, 70, 72, 66, 67, 64, 68, 71, 29, 75, 69, 77], [63, 76, 78, 73, 87, 74], [80, 79, 82, 81, 86, 84, 83, 85, 88]]
70: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 14, 6], [8, 24, 11, 9], [17, 13, 27, 10, 15], [19], [16, 18], [20, 21, 28, 31, 23, 26, 30], [25, 63], [29, 52, 36, 61, 32], [37, 35, 33], [40, 48, 44], [39, 34, 45], [42, 62, 43], [41, 50], [60, 54, 46, 57, 51], [58, 53, 47, 55], [49, 56, 59, 72, 68, 66, 64, 65, 75, 67, 69, 71, 77, 76, 73, 70, 74, 78, 79, 82, 80, 86, 84, 83, 87], [81, 85, 88]]
71: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 6, 9, 8, 27, 10, 13, 15, 11, 14, 18, 19, 17, 20, 23, 21, 16, 25, 28, 24, 30, 26, 58, 31, 48, 29, 37, 56, 35, 34, 33, 36, 39, 40, 32, 43, 52, 42, 44, 41, 46, 47, 49, 45, 51, 53, 55, 54], [60, 50, 63, 61, 59, 57, 62, 73, 64, 66, 65, 70, 67, 68, 71, 69, 75, 72, 74, 78, 77, 76, 79, 83, 81, 82, 80, 85, 87, 86, 84, 88]]
72: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10, 9, 8, 11, 19], [28, 13, 6], [14, 17, 27], [20, 18, 21], [15, 24, 23, 16], [25, 26, 31, 56, 47, 48, 45, 29, 33, 34, 53, 32, 52, 39, 30, 43, 35, 37, 36, 40, 46, 58, 50, 41, 49, 42, 44, 62, 51, 54, 59, 55, 57, 63], [60, 61, 73, 64, 65, 69, 66, 67, 70], [72, 75, 68, 76, 71, 79, 77, 74, 78, 80, 81, 86, 83, 82, 85, 87, 84, 88]]
73: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 6, 10, 8], [27, 24, 15], [11, 28, 14], [25, 16, 13], [32, 19, 17], [9, 59, 18, 20], [26, 21], [37, 23, 29, 55, 40], [30, 34], [35, 48, 61], [31, 33, 36, 41, 47, 44], [58, 39, 46, 42, 43, 45, 49, 51, 50, 52, 53, 54, 57, 62, 63, 56, 60, 65, 64, 70, 68, 71, 74, 67, 66, 69, 79, 77, 78, 72, 73, 76, 75, 83, 84, 80, 82, 81, 87], [85, 86, 88]]
74: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 6, 9, 8], [19, 10, 15], [26, 30, 20], [29, 17, 21, 11, 16, 13, 14, 31, 18, 28, 24, 23, 55, 27, 25, 34, 42, 33, 36, 35, 48, 45, 40, 43, 39, 44, 57, 32, 41, 56, 46, 47], [37, 50, 51, 52, 54, 53, 49, 61, 58, 60, 59, 62, 63, 73, 64, 66, 65, 69, 67, 74, 71, 70, 75, 68, 78, 76, 77, 72, 82, 83, 79, 81], [84, 80, 85, 86, 87, 88]]
75: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 9, 10, 8, 19, 14, 11, 6, 29, 21, 24, 18, 13, 15], [17, 61, 31], [16, 27, 20], [28, 25, 26, 30, 51, 33], [41, 44, 50, 40, 35, 36, 34, 32, 37, 42, 43, 39, 45, 46, 47, 57, 48, 49, 58, 52, 60, 53, 54, 55, 23, 56, 59, 62, 63, 65, 66], [64, 69, 68], [67, 76, 79, 70], [73, 74, 71, 72], [77, 78, 75], [80, 81, 86, 82, 85, 83, 84, 87, 88]]
76: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 8, 11, 15, 13, 27, 21, 9, 24], [26, 20, 14, 23], [45, 28, 16, 18, 53, 17, 19, 25, 29], [58, 59, 49, 30, 39, 36, 35, 33, 32, 31, 41, 34, 52, 37, 40, 42, 43, 44, 60, 51, 50, 48, 62, 46, 54, 55, 63, 57, 47, 56, 61, 66, 64, 68, 69, 67, 77, 65, 70, 71, 79, 72, 74, 78, 73, 75, 76, 84, 80, 86, 83, 87, 82, 81, 85, 88]]
77: [[38, 5, 7], [2, 20, 22, 6], [1, 11, 3], [4, 9, 10], [12, 14, 31, 15, 18, 23, 27, 48, 17, 19, 24, 13, 25, 28], [53, 16, 21, 59, 26, 30, 32, 40, 29, 45, 8, 35, 33, 34, 36, 43, 47, 37, 41, 42, 56], [44, 58, 46, 49, 39, 57, 50, 54, 51, 52, 55, 60, 61, 62, 63, 69, 64, 66, 65, 72, 71, 76, 78, 67, 68, 74, 75, 77, 70, 73, 79, 81, 80, 85, 82, 83, 87, 86, 84, 88]]
78: [[38, 5, 7], [2, 12, 22, 1, 3, 4, 10, 6, 9], [11, 8, 14, 28, 15, 29, 16, 17, 18, 31, 20, 13, 21, 19, 23], [27, 25, 56, 58], [30, 59, 46], [24, 26, 39, 34, 42, 35, 37, 32, 44, 47, 41, 36, 33, 40, 43, 45, 53, 48, 49, 50, 51, 55, 54, 52, 57, 61, 62, 60, 63, 68, 66, 64, 69, 71, 70, 65, 67, 74, 73, 72, 75, 77, 86, 76, 78, 81, 79, 84, 80, 82, 85, 83, 87, 88]]
79: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 9, 8], [26, 6, 11], [25, 30, 14], [21, 24, 16, 13, 15, 29, 17, 31, 50, 28, 18, 19, 57, 27, 20, 60, 47, 33, 35, 49, 36, 23, 37, 32, 34, 45, 39], [42, 46, 41, 40, 43, 44, 61], [48, 51, 62, 52, 53, 63, 55, 54, 56, 58, 59, 65, 66, 64, 68, 71, 67, 69, 70, 76], [72, 79, 75, 78, 74, 73, 85, 82, 80, 77, 81, 84, 86, 83, 87, 88]]
80: [[38, 5, 7], [2, 12, 22, 1, 3, 4], [10, 6, 8, 25, 16, 9, 15, 11, 13, 20, 27, 18, 17], [24, 54, 21, 23, 32, 28, 19, 30, 29, 26, 62, 31, 45, 14, 58, 57, 36, 34, 35, 40, 46, 37, 44, 41, 42, 43, 47, 61, 39, 51, 50, 33, 53, 52, 48, 55, 59, 49, 56, 60, 63, 69, 66, 64, 65, 67, 71, 68, 70, 78, 75, 73, 76, 77, 72, 74, 79, 82, 81, 84, 80, 83, 85, 87, 86, 88]]
81: [[38, 5, 7], [2], [12, 22, 1], [3, 4, 6], [11, 8, 10], [9, 13, 27, 30, 14, 15, 17, 57, 16, 18, 24, 33, 19, 21, 29, 20, 23, 59, 49, 28, 40, 37, 60, 35, 42, 25, 26, 46, 44, 63, 45, 32, 31, 39, 43, 34, 36, 41, 47, 54, 50, 51, 48, 52, 53, 58, 55, 56, 62, 61, 68, 66, 64, 70, 65, 69, 72, 78, 74, 77, 67, 73, 71, 76, 75, 79, 84, 80, 87, 81, 82, 83, 86, 85, 88]]
82: [[38, 5, 7, 2], [12, 22, 1], [3, 4, 6], [9, 13, 15, 18, 10, 11, 14, 30, 28, 16, 19, 21, 31, 17, 27, 47, 20, 23, 48, 25], [24, 26, 57, 36, 8, 33, 29, 35, 32, 61, 39, 59, 34, 46, 40, 42, 43, 44, 51, 45, 37, 53, 56, 50, 49, 54, 55, 41, 58, 52, 60, 62, 63, 65, 68, 64, 69, 66, 67, 75, 70, 71, 78], [79, 74, 77], [72, 73, 88], [83, 80, 86, 84, 81, 76], [82, 87, 85]]
83: [[38, 5, 7], [2], [12, 22, 1], [3, 4, 6], [11, 8, 28], [9, 15], [10, 14, 30, 31, 17, 25, 16, 18, 27, 33, 19, 13, 29, 21, 53, 59, 20, 24, 40, 37, 60, 35, 43, 23, 26, 34, 58, 42, 44, 48, 45, 39, 32, 46, 47, 41, 49, 50, 36, 51, 56, 55, 52, 54, 57, 62, 63, 61, 68, 70, 64, 66, 65, 67, 72, 78, 76, 69, 75, 73, 71, 77, 74, 79, 84, 81, 86, 80, 82, 83, 87, 85, 88]]
84: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 8, 10, 24, 9, 13, 15, 11, 17, 21, 14, 28, 18, 16, 23, 20, 26, 25, 55], [19, 27, 30], [29, 31, 58], [33, 37, 32], [35, 39, 43, 44, 46, 47, 36, 34, 45, 42, 41, 40, 48, 49, 50, 56, 51, 54, 52, 57, 53], [59, 60, 62, 61, 63, 65, 66, 68, 67], [70, 71, 64, 69, 72, 79, 73, 74, 83, 75, 76, 77, 78, 80, 84, 87, 81, 82, 85, 86, 88]]
85: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 9, 27, 8, 11, 15, 14, 17, 19, 13, 26, 16, 18, 29, 57, 20, 24, 25, 21, 28, 30, 31, 56, 58, 44, 33], [23, 43, 40, 32, 34, 39, 42, 36, 35, 37, 45, 51, 46, 41, 55, 48], [52, 47, 62, 61, 49, 50, 63, 53, 54, 60, 59, 65, 66, 64, 71, 67, 69, 70, 78, 68, 72, 73, 75, 74, 77, 76, 79, 81, 82, 80], [86, 83, 85, 84, 87, 88]]
86: [[38, 5, 7], [2], [12, 22, 1], [3, 4, 10, 6], [8, 27, 41, 9, 13, 25, 61, 14, 19, 16], [11, 15, 20, 17, 63], [21, 18, 23, 26, 28], [29, 30, 31], [32, 54, 37], [42, 36, 35], [33, 24, 39], [47, 34, 44, 43], [40, 46], [56, 62, 45, 51, 55], [57, 50], [53, 49, 58, 48, 52, 59, 60, 72, 64, 71, 65, 67, 70, 68, 78, 66, 77, 73, 69, 74, 75, 83, 76, 81, 79, 84, 82, 87, 80, 85, 86, 88]]
87: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 11, 8], [6, 9, 14, 15, 29, 13, 17, 16, 26, 19, 23, 24, 63, 21, 18, 37, 20, 27, 28, 25, 60, 31, 59, 40], [48, 44, 35, 30], [33, 32, 47, 34], [51, 36, 46], [41, 43, 57, 39, 49, 58, 50, 42, 53, 54, 45, 52, 55, 56, 61, 62, 65, 66, 64, 69, 68, 67, 77, 79, 70, 71, 74, 72, 73, 75, 78, 76, 82, 81, 86, 80, 83, 85, 87, 84, 88]]
88: [[38, 5, 7], [2, 12, 22, 1, 9], [4, 6, 10, 3, 18, 45], [8, 27, 26, 30], [11, 19, 14, 17, 15], [13, 48, 16], [23, 24, 31, 20], [21, 28], [56, 29, 25], [34, 32, 53], [35, 33, 46, 37, 47, 36, 55, 42, 44], [43, 41, 39, 40, 61, 49], [50, 62, 52], [54, 51, 59], [57, 58, 60], [63, 65, 66], [64, 68, 67, 72, 71, 74, 76, 69, 78, 75, 70, 73, 79, 77, 82, 80, 85, 81], [83, 86, 84, 87, 88]]
89: [[38, 5, 7], [2, 12, 22, 1, 3, 4, 6, 9, 8, 28, 15, 10, 14, 11, 26, 27, 13, 50, 16], [30, 21, 17], [18, 31, 24], [56, 19, 58], [29, 25], [20, 39, 33, 43, 55, 35, 36, 23, 34, 44, 32, 45, 57, 37, 40, 41, 61, 60, 46], [42, 47, 51, 48, 52, 62, 59, 49, 53, 54, 63, 72, 70, 66, 64, 68, 67, 73, 78, 65, 77, 69, 74, 71, 75, 76, 79], [82, 85, 80, 81, 83, 86, 87, 84, 88]]
90: [[38, 5, 7], [2, 12], [22, 1, 3], [4, 10, 9], [11, 26, 6, 13, 14, 8, 30, 18, 17, 15, 16, 19, 25, 20, 49, 23, 24, 62, 21, 28, 27, 31, 42, 29, 48, 51, 43, 32, 41, 35], [39, 33, 34, 37, 36], [44, 45, 47, 46, 58, 40, 50, 55, 59, 53, 61, 52, 54, 56, 63, 57, 60, 72, 66, 64, 67, 68, 70, 65, 79, 69, 71, 73, 78, 74, 76, 77, 75, 80, 83, 81, 82, 84, 85, 86, 87, 88]]
91: [[38, 5, 7], [2, 12, 22, 1], [3, 4], [6, 14, 8, 25], [9, 11, 10], [13, 30, 20, 21], [26, 19, 16, 27, 15, 51, 18, 24, 17, 28], [29, 31, 32], [60, 59, 49], [23, 35, 33, 34, 44, 36, 37, 45, 39, 41, 40, 42, 47], [43, 57], [46, 48, 52, 50, 54, 55, 53, 56, 63, 58, 61, 62, 68, 66, 65, 69], [64, 67, 75], [71, 70, 78], [77, 72, 73, 74, 76, 79, 83, 80, 82, 81], [84, 87], [86, 85, 88]]
92: [[38, 5, 7], [2, 12, 20, 1], [3, 15, 4], [6, 9, 8], [11, 14, 30, 28, 18, 27, 19, 13, 16, 22, 51, 17, 23, 26], [61, 24, 31, 32, 21], [29, 35, 40], [25, 39, 33, 49, 36, 42, 34, 44, 46, 37, 41, 43, 58, 62, 47, 10, 45, 52, 57, 48, 50, 53, 54, 55, 60, 56, 59, 63, 69, 64, 66, 65, 67, 86, 73, 70, 71, 78, 76, 72, 68, 74, 75, 79, 81, 88, 83, 80, 85, 87], [77, 82, 84]]
93: [[38, 5, 7], [2, 20, 22], [3, 1, 4, 6, 12, 9], [11, 10, 15, 14, 28], [18, 19, 27], [13, 32, 17, 51, 16], [23, 29, 24], [26, 25], [35, 30, 31, 34, 33, 49, 44, 36, 39, 37, 42, 40, 43, 46, 41, 21, 59, 58, 63, 47, 8, 45, 52, 57], [56, 50, 55, 48, 53, 62, 60, 54, 61, 69, 64, 66, 65, 68, 67, 78, 70, 71, 77, 72, 73, 74, 76, 75, 79, 81, 82, 83, 80, 84, 87, 86, 88, 85]]
94: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 8], [26, 9, 13], [15, 29, 14, 18, 17], [20, 21, 16, 24, 25, 31, 19, 23, 36, 28], [27, 30, 39, 34, 33, 40, 46, 48, 35, 43, 11, 58, 54, 41], [42, 37, 45, 44, 32, 59, 47, 49, 50, 53, 52], [55, 51, 56, 57, 62, 60, 63, 61, 72, 70, 64, 65, 66, 71, 69, 67, 68, 73, 77, 75], [76, 74, 78, 79, 81, 80, 84, 87, 82, 85, 86, 83, 88]]
95: [[38, 5, 7], [2, 12, 22, 1, 3, 4, 30, 10, 9, 8, 14, 11, 13, 24, 27, 15, 17, 18], [23, 16, 29], [19, 20, 21, 25, 48, 56, 59, 6, 26, 63, 41, 28, 45, 37, 31, 34, 32, 46, 35, 33, 42, 39, 43, 44, 40, 36, 47, 62, 49, 53, 51, 52, 55, 54, 57, 50, 60, 58, 61, 64, 68, 74, 67, 66, 65, 69, 70, 71, 75, 72, 79, 73, 76, 78, 77, 85, 84, 82, 86, 80, 81, 83, 87], [88]]
96: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 10, 9], [24, 26, 8], [15, 11, 13], [19, 14, 29, 17], [16, 20, 52, 28, 31], [18, 36, 21, 23, 25, 42, 27, 63], [30, 39, 32, 33, 37, 45, 34, 40, 35, 50, 43], [41, 60, 44, 49, 47, 46, 61, 53, 56, 51, 54, 57, 48, 58, 59, 62, 55, 72, 64, 66], [68, 73, 71, 65], [69, 67, 74], [70, 75, 78, 76, 77, 79], [86, 80, 81, 82, 83, 85], [84, 87, 88]]
97: [[38, 5, 7], [2, 12, 22], [1, 10, 4, 6, 3, 8, 24, 13, 9, 30, 14, 11, 25, 19, 56, 28, 15, 16, 52], [18, 21, 17, 20, 23], [26, 31, 27, 50, 53, 29, 35, 40], [37, 39, 42, 32, 36, 45, 33, 34, 41, 57, 47], [43, 46, 44, 48, 55, 49, 51, 54], [58, 60, 59], [62, 63, 61, 68, 66, 70, 64, 65, 71, 67, 78, 72, 69, 77, 73, 76, 75, 74, 79, 82, 81, 80, 84, 87], [85, 83, 86, 88]]
98: [[38, 5, 7], [2, 12, 22], [19, 3, 4], [1, 6, 9, 24], [8, 26, 27], [15, 10, 13], [11, 40, 14], [17, 58, 18], [48, 21, 20, 53], [23, 16, 63], [60, 29, 37, 25, 28], [35, 30, 31], [42, 32], [33, 43, 34], [36, 39], [45, 46, 41, 44, 47], [51, 56, 50, 59], [54, 62, 52], [55, 57, 49, 61], [72, 70, 68, 64, 65, 67, 76, 71, 66, 69, 75, 73, 74, 78, 77, 79, 86, 81, 82], [80, 83, 85, 87, 84, 88]]
99: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 10, 6, 8, 27, 9, 15, 11, 29, 14, 18, 16, 24, 20, 19], [31, 57, 25, 17], [55, 21, 26], [28, 30, 23], [34, 39, 33, 52, 32, 37, 36, 13, 46, 40, 56, 35, 41, 45, 44, 49, 51, 42, 58, 43, 54, 47, 48, 50, 53, 60, 59, 62, 61, 63, 72, 70, 64], [65, 67, 68, 69, 76, 73, 78, 77, 71, 74, 75, 79, 66, 81, 80, 86, 82, 83, 85, 84, 87, 88]]
100: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 9, 8, 25], [11, 10, 13], [21, 28, 14, 27], [19, 17, 15], [20, 24, 16, 31], [18, 29, 23], [59, 26, 30, 36, 45, 33, 39, 42, 35, 34, 37, 43, 32, 46, 49, 40, 53, 41, 44, 61, 47, 51, 48, 54, 55, 52, 50, 58, 57, 56, 62, 63, 60, 72, 66], [68, 65, 64, 70, 71, 67, 74, 69, 75, 73, 78, 76, 77, 79, 81, 80, 87, 82, 83, 85, 84, 86, 88]]
101: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 6, 9, 10, 25, 8, 15, 14, 11, 17, 21, 16, 24, 20, 19], [23, 45, 29, 18], [55, 27, 26], [30, 28, 31, 58, 13, 37, 48, 35, 32, 57, 33, 39, 43, 36, 34, 44, 46, 40, 41], [47, 49, 42], [51, 50, 53], [52, 60, 56], [54, 59, 62, 61, 63, 72, 66, 68, 65, 67, 70, 64, 77, 69, 78, 73, 74, 71, 75, 76, 82], [85, 80, 86, 79, 83, 81, 84, 87, 88]]
