0: [[7, 11, 35, 2], [1, 3, 4, 30], [13, 5, 6, 21], [8, 27, 14, 9, 12, 29, 16, 15, 19, 17, 10], [23, 22, 25, 28], [24, 20, 26, 31, 32], [37, 33, 38, 34, 36], [46, 40, 44, 41, 39, 18], [45, 42], [43, 50, 48], [47, 54, 53, 51], [57, 49, 52], [56, 55, 58, 59, 60]]
74: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 6, 9], [8, 14, 26, 12, 23, 19, 15], [31, 16, 18, 22], [17, 21, 27, 20, 24, 28, 10, 25, 52, 38, 32, 29, 41, 34, 47, 43, 44, 33, 37, 39, 54, 56, 40, 42, 36], [45, 51, 53, 49, 48, 46, 55, 57, 59, 58, 50, 60]]
75: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9, 15, 10, 20, 14, 28, 8, 23, 16, 19, 18, 17, 22, 24, 25, 31, 27, 26, 29, 36], [32, 44, 12, 37, 38, 34, 33, 47, 39, 40, 45, 41, 42, 43, 48, 55, 50, 46, 52, 49, 54, 51, 57, 53, 56, 58, 59, 60]]
76: [[7, 11, 35, 34], [1, 3, 4, 30], [13, 21, 5, 6, 8], [25, 2, 9, 14, 12, 24, 15, 20, 10, 23, 22, 18, 16, 27, 17, 19, 29, 31, 26, 39, 28, 36, 33, 37, 44, 40], [32, 42, 38, 59, 45, 43, 46, 47, 41, 48, 49, 54, 53, 58, 60, 52, 51, 57, 56, 50, 55]]
77: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 5, 6, 9, 10, 24, 8, 12, 28, 14, 22, 15, 19, 31, 16, 18, 17, 27, 23, 26, 29, 20, 25, 42, 40, 37, 39, 38, 47], [41, 32, 46, 33, 34, 36, 43, 44, 60, 45, 54, 51, 53, 56, 59, 48, 50, 49, 55, 52, 57, 58]]
78: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 5, 6, 9, 24, 8, 15, 12, 14], [10, 22, 16, 18, 19, 20, 23, 17, 26, 29, 31, 25, 28, 27, 44, 45, 36, 33, 32, 46, 39, 34, 37, 43, 38, 40, 49, 58, 41, 42, 47, 51, 53, 48, 50, 54, 52, 55, 57, 56, 59, 60]]
79: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 5], [6, 9, 8, 27], [10, 12, 14, 24, 15, 17, 18], [19, 16, 23, 22, 26, 20, 31, 29, 28, 25], [44, 37, 36, 33, 32, 46], [39, 34, 38, 43], [47, 40, 57, 50, 59, 41], [56, 42, 52, 45], [54, 49, 53, 48, 51, 55, 58, 60]]
80: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9, 14], [26, 15, 8, 10], [12, 23, 16, 18], [19, 17, 31, 29, 20, 28, 22], [27, 24, 52, 32], [33, 37, 41, 25, 47, 36, 34, 39, 43, 45, 54, 40, 57, 42, 38], [44, 49, 53, 58, 48, 46, 55, 59, 51, 56, 50, 60]]
81: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 5, 6, 12, 8, 9, 10, 22, 15], [18, 31, 20, 26, 23, 16, 14, 19, 17, 24, 29, 25, 28, 27, 32, 44, 36, 33, 34, 46, 37, 47, 42, 38, 39, 43, 41, 40, 50, 45, 52, 51, 48, 54, 49, 59, 60, 53, 57, 58, 55, 56]]
82: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 6, 5, 9, 12, 8, 10, 18, 14, 24, 15, 20, 26], [16, 17], [23, 27, 29, 31, 25, 19, 28, 22], [40, 41, 33, 32, 36, 34, 38, 46, 44, 37, 39, 43, 45, 42, 47, 57, 56, 51, 49, 54, 52, 59, 48, 53, 55, 50, 58, 60]]
83: [[7, 11, 2, 35], [1, 3, 4, 30, 13], [21, 5, 6, 8, 10, 12], [9, 26, 15, 18, 14, 16, 17, 19, 20, 22], [31, 24, 27, 29], [23, 28, 25, 33, 36], [32, 37, 34, 39], [38, 47, 46, 43], [44, 40], [41, 42, 54, 45, 50, 51, 48, 55, 49, 57], [52, 53, 58, 59, 60, 56]]
84: [[7, 11, 2, 35, 1], [3, 4, 30, 13, 21, 5, 6], [9, 8, 24, 14], [20, 18, 15, 10], [17, 31, 12, 16, 27, 28], [19, 23, 22, 25, 26, 29, 46], [36, 32, 33, 37, 39, 42], [34, 40, 38, 41, 43, 47, 44, 54, 45, 55, 51, 52, 48, 58, 49, 60, 53, 50, 56, 59, 57]]
85: [[7, 11, 2, 35, 1, 3, 4], [30, 13, 21, 5, 14, 9, 12, 6, 8, 10], [15, 27, 17, 16, 25, 19], [20, 18, 23, 22, 28], [24, 26, 31, 29, 40, 32, 33], [38, 54, 39, 46, 42, 45, 34, 43, 36, 37], [41, 44, 52, 51, 50, 49, 47, 48, 53, 56, 57, 55, 58, 59, 60]]
86: [[7, 11, 2, 35, 1], [3, 4, 30, 13], [21, 5, 6, 9], [12, 24, 8, 18, 10, 15], [14, 16, 29, 20, 19, 17, 22, 23, 25, 26], [28, 27, 31, 46, 44, 32, 36, 34, 37, 41, 33, 39, 38, 43, 51, 42, 40, 53, 57, 45, 47, 55, 49, 60, 52, 48, 54, 50, 58, 56, 59]]
87: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 8, 9, 24, 10, 14, 12, 23, 15, 22, 19], [16, 20, 31, 25, 26, 18, 17], [28, 27, 29, 40, 33, 37, 39, 36, 32, 38, 44, 41, 58, 34, 46, 42, 43, 51, 45, 47, 50, 54, 55, 60, 49, 53, 48, 52, 57, 56, 59]]
88: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 6, 5, 9, 12], [8, 28, 10, 14, 27, 15, 18], [17, 20, 22, 19, 16, 26], [23, 24, 31, 29], [25, 42, 46, 40], [36, 32], [39, 33, 38, 41, 45, 34, 43, 44], [47, 48, 52, 49], [50, 37, 54, 53, 51, 55], [56, 57, 58, 59, 60]]
89: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 5], [6, 9, 12, 26], [10, 14, 29, 8, 27, 17, 22, 15, 19, 23, 16, 20, 18], [24, 25, 28, 44], [34, 36, 40, 37, 32, 31, 39, 33, 38, 46, 41, 43, 51, 42, 45, 60, 57, 48, 47, 52, 49, 50, 53, 54, 55, 56, 58, 59]]
90: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 14, 6, 8, 9], [10, 12, 15, 18], [17, 16, 19, 25, 23], [28, 29, 22, 20, 24, 26, 31], [27, 40, 32, 33], [34], [52, 39, 47, 44, 45, 37, 42], [36, 43, 38, 46, 41, 59], [51, 56], [48, 50, 49, 53], [54, 55, 58], [57, 60]]
91: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 8, 24, 15], [14, 26, 10, 12], [17, 27, 19, 16], [18, 20, 31, 22, 25, 29], [23, 28, 47, 33], [32, 38, 36, 37], [46, 34, 44, 43], [40, 41, 39, 42, 45, 49], [55, 51, 48, 52, 53], [60, 54, 50, 56, 59, 58, 57]]
92: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 8, 14], [15, 10, 12, 16, 9], [18, 20, 19, 23], [17, 22, 24, 25, 31, 26], [27, 28, 44, 36], [29, 32, 33, 38], [42, 37, 39, 47], [34, 43, 41], [40, 46, 54, 53], [55, 48, 49, 45], [50, 51, 56, 58, 57, 52, 59, 60]]
93: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 10, 8, 9, 31], [6, 28, 15, 12, 19, 14, 18, 22, 26, 23, 20, 21], [16, 29, 17, 25, 24, 32, 36, 33, 46, 37, 27, 42, 34, 38, 39, 40, 41, 47, 43, 44, 59, 48, 45, 52, 49, 50, 53, 51, 54, 55, 56, 58, 57, 60]]
94: [[7, 11, 2, 35], [1, 3, 4, 30, 13], [21, 6, 12, 9, 8, 24, 14], [15, 10], [5, 19, 17, 20, 25, 27, 16, 29], [18, 22, 23, 28, 31, 26, 38, 44, 32, 39, 34, 37, 36, 33, 42, 45, 41, 43, 46, 40, 51, 52, 50, 48, 47, 55, 49, 54, 57, 53, 58, 59, 56, 60]]
95: [[7, 11, 2, 35, 1, 3], [4, 30, 13, 21], [19, 6, 5], [10, 26, 9, 14, 12, 8, 22, 20, 15, 18, 17, 23, 16], [24, 31, 27, 25], [28, 29, 32, 37, 36, 33, 34, 46], [41, 38, 39, 40, 42, 44, 45, 43, 47, 51, 54, 48, 50, 60, 53, 55, 49, 57, 56, 59], [52, 58]]
96: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 6, 22, 20, 9], [8, 24, 16, 10, 12, 15, 25, 26, 19, 17, 18, 21], [23, 27, 31, 28, 29, 14, 36, 33, 32, 37, 38, 45, 47, 39, 34, 40, 41, 44, 42, 43, 46, 52, 49, 50, 54, 48, 56, 53, 51, 55], [59, 58, 57, 60]]
97: [[7, 11, 2, 35, 1, 3, 4, 30], [13, 5, 14, 6, 8, 9, 12, 28, 15, 31, 24], [21, 18, 19, 10, 23, 22, 17, 29, 20, 16, 25, 26, 40, 38, 37, 36, 39, 27, 42, 41, 32, 34, 33, 56, 47, 43, 46, 57, 48, 44, 53, 45, 50, 52, 51, 54, 49, 59, 55, 58, 60]]
98: [[7, 11, 3, 35], [1, 2, 4, 30], [13, 5, 6, 21, 8], [10, 14, 9, 12, 29, 15, 23, 19, 16, 18, 17, 20, 25, 28, 24, 22, 26, 31, 27, 37, 33, 42, 34, 32, 38, 43, 40, 41, 39, 44, 45, 46, 36, 58, 47, 50, 54, 49, 51, 52, 53, 48, 57, 55, 56, 59, 60]]
99: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21], [5, 6, 8, 9], [17, 10, 20, 12, 14, 31, 19], [22, 15, 18, 23], [16, 24, 26, 25, 27], [28, 29, 44, 33, 32, 37], [36, 46, 41, 39], [38, 47, 42, 43], [48, 58, 52, 40, 59, 50, 34], [54, 51, 45, 53, 49], [60, 55, 56, 57]]
100: [[7, 11, 2, 33, 1], [3, 4, 30, 13, 21, 6, 5, 8, 9, 15, 14, 24, 22, 16], [12, 19, 17, 10, 23, 18, 25, 26, 27, 20, 29, 28, 32, 43, 36, 38, 56, 37, 46, 31, 34, 41, 47, 45, 35, 40, 39, 42, 49, 44, 60, 53, 54, 55, 48, 50, 57, 51, 58, 59, 52]]
101: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 12], [16, 6, 10, 8, 9, 26], [14, 29, 15, 31, 19, 17, 18, 20, 22, 24], [23, 25], [27, 28, 44, 46, 32, 34, 36, 41, 37, 38, 33], [51, 40, 42, 45, 39, 47, 48, 43, 56, 49, 55, 50], [52, 54, 58, 57, 59, 53, 60]]
102: [[7, 11, 2, 35, 1, 3, 4, 30, 13, 21, 5, 6, 8, 9, 19], [10, 14, 12, 27, 15, 16, 20, 23, 25, 22, 24, 17, 18, 26], [31, 28, 29, 44, 34, 32, 37, 36, 38, 33, 39, 46, 43, 45, 40, 48, 58, 52, 41, 42, 50, 47, 49, 56, 51, 54, 53, 55, 59, 57, 60]]
103: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 9, 10], [29, 6, 8, 31], [12, 14, 15, 25, 20], [19, 17, 22, 16, 18, 28, 21, 27, 26, 23, 24, 44, 33, 36, 32], [34, 37, 39, 38, 45, 47, 43, 40, 46, 41, 50, 42], [48, 49, 53, 52, 51, 55, 54, 56, 59, 57, 58, 60]]
104: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 6, 9, 10, 8], [24, 14, 12, 26], [23, 15, 29, 18], [27, 17, 22, 16, 19, 20, 21], [25, 28, 31, 42], [40, 33, 37, 38, 39, 32, 43, 34, 46, 47, 41, 36, 44, 45, 48, 49], [50, 54, 56, 58, 51, 53, 52, 55, 59, 60, 57]]
105: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 8, 5, 9, 10, 12, 28, 22, 19, 14, 15, 16, 17, 23, 18, 27, 24, 20, 25], [26, 59, 51, 29, 36, 32, 34, 45, 38, 31, 43, 33, 47], [58, 41, 53, 37], [42, 39, 6, 40, 50, 44, 46, 49, 52, 55, 48, 56, 57, 54, 60]]
106: [[7, 11, 3, 35], [1, 2, 4, 30], [13, 21, 5, 6], [8, 10, 9, 12, 14, 28, 17, 15, 16, 20, 19, 18, 22, 23], [26, 24, 27], [25, 31, 29, 47, 34, 32, 37], [33, 39, 41], [43, 44, 36, 42, 40, 45, 58, 46, 57, 48, 38, 54, 53], [50, 49, 52, 55], [51, 56, 59, 60]]
107: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 15, 6, 9], [26, 8, 12, 28, 10, 5], [24, 29, 31, 17], [18, 14, 16, 19, 22, 25, 20], [23, 27, 41, 37], [39, 32, 33, 46], [36, 34, 38, 42, 44, 47], [43, 45, 58, 40, 52, 51, 48], [50, 49, 53, 54, 55, 56], [59, 57, 60]]
108: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 8, 6], [9, 12, 10, 15, 24, 31], [16, 19, 25, 17], [14, 20, 18, 26], [22, 21, 23, 27, 44, 28], [45, 38, 32, 29], [33, 36, 39, 34, 40, 42], [41, 43], [47, 37], [46, 52, 50, 49, 54, 56, 48, 55, 51, 53, 57, 58, 59], [60]]
109: [[7, 11, 2, 35, 1, 3, 4, 30, 13, 5, 15, 6, 9, 8, 24, 14], [28, 10, 12, 19, 20, 16, 17, 31, 21, 23, 18], [22, 27, 25, 29, 26, 42, 44, 33, 32, 38, 37, 34, 39, 36, 45, 41, 43, 46, 40, 49, 47, 51, 48, 52, 54, 50, 53, 57, 55], [58, 60, 56, 59]]
110: [[7], [11, 2, 35, 1, 3, 4, 30, 13], [21, 5, 6, 8, 10, 9], [12, 15], [31, 14, 18, 16], [22, 17, 23], [25], [19, 20, 28, 24, 27, 26, 29, 32, 33, 40, 34, 38, 36, 39, 41, 37, 45, 42, 43, 47, 46, 44, 54, 56, 49, 48, 52, 55, 53, 58, 57, 50, 51, 59, 60]]
111: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 6, 22], [12, 9, 14, 24, 17, 15], [31, 8, 18], [20, 23, 19, 16, 21, 25], [26, 27, 28, 29, 10, 36, 37, 41, 34, 38], [45, 46, 33, 47, 32, 39, 40, 42, 43, 44, 50, 49, 48, 54, 52, 58, 53], [55, 51, 59, 56, 57, 60]]
112: [[7, 11, 3, 35], [1, 5, 4, 30], [13, 2, 9, 8, 12, 26, 14, 22, 31, 15, 19, 18, 17, 20, 25, 23, 27, 28, 16, 24, 36, 34, 33, 29, 32, 40, 46, 45, 39, 37, 38, 44, 41, 43, 42, 47, 53, 48, 54, 51, 55, 57, 10, 21, 6], [49, 52, 58, 50, 56, 60, 59]]
113: [[7, 11, 2, 35, 1], [3, 4, 30, 13], [21, 5, 6, 9], [8, 24, 10], [12, 28, 14, 18, 15], [17, 19, 20, 16, 31], [22, 23, 25, 29], [27, 26, 42, 44], [33, 47, 36, 43, 32, 34], [37, 39, 41, 38], [40, 45, 48, 46, 51, 49], [50, 55, 54, 52], [60, 53, 56, 59], [57, 58]]
114: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21], [14, 26, 9, 8], [24, 10, 28, 5], [20, 6], [31, 16, 12, 17, 22, 23, 15, 18, 27, 19, 29, 25], [34, 40, 37, 39, 38, 32, 33, 36, 42, 44, 43, 41, 45, 46, 47, 50, 48, 49, 54, 58, 53, 56, 52, 55, 51, 59, 60, 57]]
115: [[7, 11, 2, 3, 1, 6, 4], [30, 13], [21, 5, 26, 9, 8, 28, 10, 12], [25, 17, 15, 14, 18, 19, 20, 22, 24, 16, 23, 27, 29, 31, 33, 40, 45, 35, 32, 34, 36, 37, 39, 43, 38, 42, 47, 41, 44, 51, 48, 55, 54, 46, 53, 49, 50, 52, 57, 56, 59, 58, 60]]
116: [[7, 11], [2, 35, 1, 3, 4, 30, 13, 21], [5, 6, 8, 26, 10, 12, 14, 17, 15, 16, 20, 23, 18, 22, 19, 24, 25, 27, 28, 29], [43, 31, 9, 32, 33, 39, 34, 47, 40, 38, 45, 41, 36, 46, 37, 42, 51, 56, 48, 44, 52, 50, 54, 58, 55, 57, 49, 59, 53, 60]]
117: [[7, 11, 2, 34], [1, 3, 4, 30], [13, 21], [5, 6, 8], [9, 17, 18, 14, 12], [10, 15, 22, 20], [19, 23, 25, 26, 28, 24, 16, 29, 27, 60, 47, 42, 33, 36, 31, 38, 32], [39, 35, 37, 43, 44, 40, 58, 48, 41, 45, 54, 46, 50], [51, 52, 49, 53], [55, 57, 56, 59]]
118: [[7, 11, 2, 34, 1, 3, 4, 30, 13, 21, 5], [22, 10, 27, 8], [9, 6, 14], [12, 23, 17, 15, 16], [18, 19, 25, 29, 24, 20, 26, 28, 36, 33, 31, 44, 37, 38, 39, 40, 41, 47, 35, 32, 42, 46, 49, 50, 54], [43, 48, 53, 51, 56, 45, 52, 55, 57, 59, 58, 60]]
119: [[7, 11, 3, 2], [1, 6, 4, 30], [13, 5, 8, 10], [12, 25, 16, 9], [14, 29], [20, 15, 18], [17, 19, 23, 21], [24, 22, 28, 27], [26, 31, 40, 37, 33], [35, 34], [48, 47, 32, 36], [41, 39, 38], [42, 43, 45, 46], [56, 44, 54], [50, 53], [51, 49, 52, 57], [55, 58, 59], [60]]
120: [[7, 11, 35, 3], [1, 2, 4, 30], [13, 21, 5, 6], [8, 24, 15, 9, 10], [22, 12], [16, 19, 27, 18], [14, 26, 17, 23, 28, 20, 31, 25], [32, 47, 36], [38, 29, 39, 46, 34, 33], [41, 59, 40, 37], [44, 43, 42, 51], [45, 50, 53, 52, 49, 48, 54, 58], [55, 56, 57, 60]]
121: [[7, 11, 2, 3], [1, 6, 4, 30, 13], [21, 5, 10], [8, 12, 16, 14, 17], [9, 23, 15], [19, 18, 25, 26, 22], [24, 20], [31, 29, 28, 27], [50, 40, 45, 49], [32, 36, 46, 33, 39], [41, 38, 42], [47, 44, 34], [51, 35, 54, 37, 43], [53, 48, 52, 57], [55, 58, 59, 56, 60]]
