0: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 11, 8, 9, 6, 21], [15, 17, 14, 16, 10, 18], [23, 26, 19, 31, 22, 28], [30, 20, 25, 24, 29, 32, 37], [33, 36, 34, 46, 39, 38], [43, 45, 41, 40, 42, 44, 50], [51, 47, 52], [59, 49, 48, 53, 57], [56, 55], [58, 60]]
74: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 9, 10, 6], [14, 11, 21, 8, 17, 15, 13, 16, 24], [18, 22, 19], [20, 23, 26, 28], [29, 25, 31, 30, 37, 33, 32], [39, 36, 34, 41], [38, 40, 42, 46, 43, 44, 45, 51], [49, 48, 52, 55], [47, 53, 50, 56, 58, 57, 59, 60]]
75: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 9, 10], [6, 14, 13, 21, 17], [16, 20], [31, 8, 24, 23, 19, 11, 15], [25, 18, 26, 28, 29, 22, 30], [33, 45, 32, 36, 38], [41, 39, 34, 42, 37, 43, 40, 47, 46], [51, 44, 58, 48, 52, 55, 50, 53, 49, 56, 57, 59, 60]]
76: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [10, 6, 9, 16, 21, 14, 8], [29, 31, 15, 17, 20, 18, 13], [22, 24, 26, 23, 19, 30, 28], [25, 33, 37], [42, 36, 38, 32, 34, 39, 43], [40, 41, 44, 53], [47, 51, 45, 46, 50, 52], [55, 56, 48, 49], [57, 59, 58, 60]]
77: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [10, 6, 9, 16, 21, 14, 8], [29, 31, 15, 17, 20, 18, 13], [22, 24, 26, 23, 19, 30, 28], [25, 33, 37], [42, 36, 38, 32, 34, 39, 43], [40, 41, 44, 53], [47, 51, 45, 46, 50, 52], [55, 56, 48, 49], [57, 59, 58, 60]]
78: [[35, 27, 54, 7, 2], [1, 5, 12], [3, 4, 11, 14, 8], [6, 18, 10, 26, 9, 13, 17, 19, 23, 30, 16, 15, 21, 22, 28, 20, 24, 31, 29, 25, 32, 37, 58, 33, 34, 47, 36, 38, 43, 41], [39, 42, 46, 45, 50, 59, 40, 52, 49, 53, 55, 48, 44, 51, 56, 57, 60]]
79: [[35, 27, 54, 7, 2], [1, 5], [12, 3, 4, 10, 6, 8, 14, 22, 11, 18, 9], [13, 16, 19, 15, 23, 29, 21, 17, 26, 28], [20, 24], [30, 31, 25], [33, 37, 58, 32, 34], [46, 38], [44, 43, 39], [41, 36, 40, 42, 51, 55, 47, 52, 49, 45, 50, 56, 53, 48, 59, 57, 60]]
80: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11, 10, 8, 13, 6, 19, 9], [15, 20, 16, 14, 18, 21, 23, 17, 22, 25], [30], [26, 29, 24, 31, 28, 41, 45, 58, 37, 32, 34, 39], [38, 43, 44, 33, 36], [42, 40, 51, 48, 47, 60, 52, 55, 49, 46, 50, 57, 59, 56, 53]]
81: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 15], [6, 14, 8, 10], [21, 11, 13, 9, 17, 31, 16, 18, 26, 22], [20, 28, 24, 19], [23, 25, 29, 30, 32, 37, 33, 38], [40, 47, 39, 34, 41, 36, 43, 42, 45, 44, 46, 49, 51, 52, 55, 53, 48, 50], [59, 56, 57, 58, 60]]
82: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 8], [14, 6, 10, 11, 21, 9, 15], [13, 16, 17, 20, 19, 18, 26, 22, 29, 25, 23], [28, 24, 31, 30, 37, 41, 32, 33, 34, 39, 38, 42], [43, 45, 36, 40, 44, 46, 50, 49, 51, 60, 57, 53, 47, 52, 48, 59, 58, 55, 56]]
83: [[35, 27, 54, 7, 2], [1, 5, 12], [3, 4, 11], [14, 8, 6, 31, 10, 30, 17, 13, 18, 9, 16, 15], [19, 20, 23, 21, 22, 24], [26, 28, 25, 29, 37, 33, 48, 32, 38, 45, 34, 46, 42, 36, 39, 43, 41, 47, 51], [40, 44, 53, 52, 49, 50, 57, 55, 58, 59, 56, 60]]
84: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [14, 10, 6, 8, 11], [21, 9, 29, 15, 18, 31], [13, 19, 25, 17, 22, 16, 20], [23, 24, 28, 26, 30, 32, 37], [34, 39, 38, 40, 41, 36], [45, 42, 33], [43, 53, 44, 50, 47, 48, 52, 51], [46, 56, 57, 55, 58, 59, 49, 60]]
85: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 14, 8, 9, 6, 21], [15, 17, 10, 19, 11, 16], [23, 26, 18, 31, 22, 20], [30, 25, 28, 24, 29, 41, 39], [40, 36, 34, 42, 38, 32], [37, 45, 44, 43, 33, 47, 50, 51, 46, 49, 59, 48, 52], [53, 56, 55, 57, 58, 60]]
86: [[35, 27, 54, 7, 2], [1, 5, 12], [3, 4, 11], [8, 14], [6], [13, 21, 29], [17, 15, 9, 16, 10, 23, 18, 20], [22, 19, 30, 25, 24, 26, 28, 31, 37, 43, 48, 34, 44, 33, 32, 38, 36, 39, 47, 40, 42, 45, 51, 41, 50, 46, 56, 53, 49, 55, 59, 58, 52, 57, 60]]
87: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 14, 8, 9, 6, 21], [15, 17, 10, 19, 11, 16], [23, 26, 18, 31, 22, 20], [30, 25, 28, 24, 29, 41, 39], [40, 36, 34, 42, 38, 32], [37, 45, 44, 43, 33, 47, 50, 51, 46, 49, 59, 48, 52], [53, 56, 55, 57, 58, 60]]
88: [[35, 27, 54, 7, 2], [1, 5, 12, 3], [4, 11, 10, 14, 6], [21, 9, 17, 8, 13, 19], [15, 16, 24, 18, 29, 20, 22], [23, 26, 36, 25, 30, 28, 31, 45], [60, 34, 38, 33, 32, 42, 43, 37, 41, 39, 40, 44, 51, 46, 58, 50, 52, 48, 53, 47, 57, 49, 56, 55, 59]]
89: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 10, 8, 9, 6], [11, 15, 31, 14, 17, 16, 18, 19, 20, 26, 24, 21, 22, 23, 28, 25, 30, 29, 32, 37, 33, 36, 38, 34, 39, 46, 43, 45, 41, 40, 42, 44, 53, 47, 49, 55, 59, 50, 48, 51, 57, 56, 52, 58, 60]]
90: [[35, 27, 54, 7, 2, 1, 5], [12, 3], [4, 13], [10, 6, 9, 14, 21, 15, 17, 31, 16, 8, 18, 11, 20, 19, 23, 22, 29, 30, 28, 25, 24, 26, 32, 37, 33, 36, 34, 46, 39, 38, 40, 45, 41, 44, 42, 43, 50, 47, 55, 52, 59, 49, 48, 51, 57, 53, 56, 58, 60]]
91: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 10], [14, 8, 6, 9, 21, 17, 23, 11], [22, 18, 13, 15, 29, 16, 19], [20, 25, 26], [24, 30], [28, 31], [37], [47, 40, 32, 34, 33, 38], [36, 45, 39, 41, 46, 42, 43, 50], [49, 44, 52, 53, 48, 51, 56, 59, 55, 58], [57, 60]]
92: [[35], [27, 54, 7, 2, 1, 5, 12, 3, 4, 9, 14, 8], [10, 6, 21, 17, 31], [13, 11, 16, 18, 23], [28, 26, 24, 15, 19, 20, 22, 25, 29, 30, 33, 45, 44, 36, 38, 42, 39, 32, 34, 40, 43, 37, 58, 46, 48, 51, 47, 55, 50, 41, 52, 53, 49, 60, 56, 57, 59]]
93: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 9, 6, 8], [14, 10, 21, 11, 17, 13, 15], [16, 28, 23], [19, 18, 22, 20, 24, 29, 31, 25, 26, 30, 32, 37, 33], [39, 40, 46, 38, 41, 34, 42, 36], [44, 43, 45], [51, 49, 48, 50, 55], [47, 52], [53, 56, 59], [57, 58, 60]]
94: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11, 14, 22], [8, 10, 21, 6, 9, 31, 15, 13], [19, 16, 30, 17, 23, 18, 25], [28, 20, 24], [26, 29, 33, 38], [41, 37, 42, 32, 34], [36, 43, 39, 40, 45, 44], [46, 51, 47, 49], [52, 48, 53, 55], [57, 56, 50, 58], [59, 60]]
95: [[35, 27, 54, 7, 2], [1, 5, 12], [3, 4, 11, 13, 6], [8, 9, 21, 14, 10], [15, 28, 16, 31, 25], [20, 23, 19, 17], [18, 22, 24, 26], [29, 30, 33, 37, 60, 32], [34, 42], [36, 38], [43, 41, 46], [39, 40, 47, 50, 45, 44], [51, 57, 48, 52, 55, 49], [53, 56, 58, 59]]
96: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 9, 14], [6, 8, 25, 13], [30, 15, 10, 16, 11, 17, 23, 20, 22, 18, 19, 21, 26], [28, 24, 29], [31, 37, 33, 32, 36, 34, 38, 41], [44, 39, 43, 40, 49, 45, 42, 50, 52, 47, 55, 48, 46, 51, 53, 58, 56, 57, 59, 60]]
97: [[35, 27, 54, 7, 2], [1, 5], [12, 3], [4, 13, 6, 8, 9, 28], [21, 15, 23, 14, 18, 26], [10, 19, 11, 20, 17, 16], [30, 22, 24, 25, 29, 31, 36], [37, 33, 32, 38, 45, 39, 46], [43, 34, 41, 40, 42, 44, 50], [47, 48, 60], [52, 49, 51, 53, 57], [56, 55], [58, 59]]
98: [[35, 27, 54, 7, 2, 1, 5, 12, 3, 4, 11, 6, 24, 15, 8], [21, 10, 13, 29, 18, 14, 19, 16, 23, 9, 17, 22, 20, 25, 26, 30, 28, 31, 40, 37, 41, 44, 46, 34, 32, 36, 47, 43, 39, 33, 42, 38, 50, 45, 49], [48, 51, 53, 52, 56, 55, 57, 59, 58, 60]]
99: [[35, 27, 54, 7, 2, 1, 5], [12, 3], [4, 11, 8, 10, 6, 9, 13, 14, 23, 15, 20, 16], [17, 19, 21, 18, 24, 22, 25, 28, 30, 29, 26, 31, 41, 37, 32, 33, 46, 36, 38, 34, 43, 39, 40, 42, 58, 44, 50, 45, 49, 48, 47, 55, 51, 53, 57, 52, 59, 56, 60]]
100: [[35, 27, 54, 7, 2, 1, 5, 12, 3, 4], [11, 14, 6, 10, 8], [23, 13, 16, 31, 18, 9, 30, 15, 17, 20, 25, 19, 26, 21, 24, 28, 22, 29, 37, 33, 48, 36, 38, 45, 39, 34, 32, 43, 47, 40, 41, 44, 46, 42, 50, 57, 56, 49, 51, 53, 59, 52, 58, 55, 60]]
101: [[35, 27, 54], [7, 2, 1], [5, 12, 3, 4, 11, 6, 10, 8, 9, 21, 31, 13], [15, 22, 14, 18], [16, 20, 19, 17, 28, 30, 26, 23, 24, 29, 25, 45], [33, 48, 34, 38, 37, 32], [40, 47, 39, 36, 41, 46, 42, 50, 49, 43, 53, 56, 51, 44, 52], [55, 58, 57, 59, 60]]
102: [[35, 27, 54], [7, 2, 1, 5, 12, 3, 4, 11, 14, 8, 6, 22, 21, 29, 10, 9, 17, 25, 19, 23, 16, 13, 18, 31, 15, 28, 26, 20, 24, 30, 40, 37, 36, 32, 38, 39, 34, 42, 33, 41, 44, 46, 58, 43, 51, 47, 49, 53, 59, 45, 48, 56, 50, 52, 55], [57, 60]]
103: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11], [6, 14, 9, 10, 22, 17, 8, 13, 18, 15, 20, 16, 19, 23, 25], [28, 21, 24, 31, 26, 30, 29, 41, 38, 33, 32, 34], [40], [42, 36, 39, 37, 43, 45, 44, 47, 51, 48, 46, 49, 56, 53, 52, 59, 58, 50, 55, 57, 60]]
104: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 10, 14, 6, 8, 20], [9, 16, 15, 29, 11], [26, 19, 17, 22, 18, 28], [23, 21, 24, 25, 30, 31, 38, 33, 32, 36, 40, 34, 42, 39, 37, 43, 41, 47, 44, 45, 50, 49, 46, 52, 59, 51, 48, 57, 55, 56, 53, 58, 60]]
105: [[35, 27, 54, 7, 2, 1, 5], [12, 3, 4, 11], [14, 6, 9, 8, 10], [15, 25, 13, 16, 29, 18, 23, 20], [19, 17, 21, 28, 30, 22, 24, 31], [26, 41, 37, 32, 36, 34], [38, 39, 46, 43, 40, 33], [45, 42, 47, 50, 51, 44], [52, 48, 57, 55, 53], [49, 56, 59, 60, 58]]
106: [[35, 27, 54, 7, 2, 1, 5, 12, 3, 4, 11, 14, 24, 6, 8, 13, 9, 17, 19, 18], [23, 16, 10, 15, 20, 29, 21, 28, 22, 30, 25, 26, 31, 33, 37, 40, 32, 36, 46, 41, 39], [43, 34, 44, 38, 53, 45, 51, 47, 42, 52, 57, 48, 50, 55, 49, 59, 58, 56, 60]]
107: [[35, 27, 54, 7], [2, 1, 5, 12, 3, 4, 11, 14, 10, 6, 8, 21, 13, 17, 9, 29, 15, 16], [18, 19], [22, 20, 23, 26, 28, 30, 24, 25, 31, 33, 37, 57, 32, 34, 46, 36, 39, 42, 40, 38, 43, 45, 41, 51, 53, 48, 44, 59, 47, 50, 52, 49, 55, 56, 58, 60]]
108: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11, 10], [6, 14, 24], [8, 21, 17, 15, 19], [18, 9, 16, 31, 20, 13, 22], [26, 30, 29, 25, 23], [28, 41, 37, 32, 33, 34, 42, 38, 39], [40, 46, 43, 36, 47, 45, 51], [52, 44, 48], [57, 49, 50, 53, 55, 59, 56, 58, 60]]
109: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 8, 10], [6, 13, 9, 23], [14, 11, 29, 18, 15], [17, 22, 16, 20, 26, 28, 21, 19, 24, 30], [25, 31, 33], [39, 42, 36, 44, 32, 34, 37], [43, 40, 38, 41], [45, 47, 50, 51, 46, 49], [48, 57, 53, 56, 55], [52, 59, 58, 60]]
110: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [11, 10], [6, 8], [9, 21, 14, 23], [31, 15, 17, 25, 13, 19, 18], [20, 22, 29, 28], [24, 16, 26, 30], [32, 37, 42, 36, 47], [41, 38, 33, 34, 40, 46, 43], [39, 44, 51, 50], [48, 52, 49, 45, 53, 55, 57], [60, 59, 58, 56]]
111: [[35, 27, 54, 7, 1, 5, 2], [12, 3, 4, 9, 8], [14, 6, 17, 11, 21], [15, 13], [16, 22, 26, 19, 10, 18], [23, 20, 29, 25, 24], [28, 30, 31, 33, 45], [32, 34, 38, 42, 36, 40], [37, 47, 39, 44, 41, 46, 49], [43, 48, 50, 59], [51, 53, 52, 55, 56, 58, 57, 60]]
112: [[35, 27], [54, 7, 2, 1, 5, 12, 3, 4, 11, 10, 6], [8, 18, 13, 9, 19, 14, 23, 15, 31, 24, 20, 17, 16, 30], [25], [21, 28, 22, 26, 29, 33, 37, 34, 36, 39, 38, 32, 47, 40, 41, 43], [46, 44, 45, 50, 56, 42], [53, 51, 49, 52, 48], [57, 58, 59, 55, 60]]
113: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 9], [10, 22, 8, 6, 14, 15, 11], [19, 18, 16, 13, 31, 17, 20], [21, 30, 24], [25, 23, 28, 26, 29, 33, 37, 44, 34, 38, 46, 32], [36, 43, 39, 42, 40, 51, 41, 45], [47, 50, 52, 57, 60], [48, 53, 49, 59, 56, 58, 55]]
114: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [11, 6], [8, 14, 16, 21, 18, 10], [9, 13, 23, 15, 17, 19], [22, 28, 24, 25, 31, 20], [29, 26, 30, 33], [37, 32, 36, 34, 38], [42, 47, 39, 40, 41], [44, 60, 45, 51, 48], [43, 50, 59, 52, 46, 53, 49], [58, 55, 56, 57]]
115: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [9, 6, 30, 14], [8], [13, 17, 11, 23, 31, 15], [10, 16, 21, 19, 20, 22, 18, 25], [28, 24, 26, 29, 33, 37, 48, 39, 40, 42, 38, 36, 43, 32, 34, 41, 45, 44, 50, 47, 46, 56, 51, 55, 49, 53, 52, 57, 59, 58, 60]]
116: [[35, 27, 54, 7, 2, 1, 5, 12], [3, 4, 10], [14, 8, 13, 6, 17, 15], [11, 9], [18, 16, 24], [23, 19, 21, 22, 30], [20, 29, 28, 25, 26, 31], [33, 37, 56, 36, 34, 46, 38], [44, 43, 39, 32, 45, 40, 41], [50, 47, 48], [42, 59, 53, 51, 52, 49, 55, 57], [58, 60]]
117: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 6, 9], [10, 8, 20, 15, 22, 14], [18, 11, 19, 16, 17, 23], [31, 28, 30, 21], [24, 26, 29, 25, 37], [33, 32, 36, 38, 45], [39, 46, 34, 43], [42, 40, 41, 44, 50], [51, 47, 52, 59, 49], [53, 48], [55, 56, 57, 58, 60]]
118: [[35, 27, 54, 7, 2, 1, 5, 12, 3, 4, 10, 13, 8, 6, 11, 22, 15, 9, 14, 17, 18], [31, 19, 16, 20, 24, 23, 21, 28, 26, 29, 25, 30], [32, 38, 50, 36, 33, 47, 34, 37, 39, 41, 40, 44, 42, 43, 45, 51, 46, 53, 57, 55, 49, 52, 48, 58, 56, 59, 60]]
119: [[35, 27, 54, 7, 1], [5, 2, 12, 3, 4, 9, 10, 22], [13, 8, 6, 11, 14, 15, 16], [19, 18, 17, 20, 21, 24], [23, 28, 25, 26, 29, 30, 31], [33, 37, 40, 36], [38, 42, 32, 34, 43], [41, 44, 45], [39, 46, 49, 47, 48, 50, 57], [53, 51, 52, 59, 58, 55], [60, 56]]
120: [[35, 27, 54, 7], [2, 1, 5, 12, 3, 4, 15, 8, 9, 6], [11, 21, 14, 19], [20, 26, 13, 16, 18, 30, 22, 29], [28, 23, 17, 24, 25, 10, 31, 33, 37, 32, 34, 36, 39, 40, 38, 42, 45, 46], [41, 43, 47, 50, 51, 44, 52, 59, 53, 48, 58, 55, 56, 57, 49, 60]]
121: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [11, 14, 30, 8], [6], [13, 9, 15, 26, 19, 21], [10, 23, 16, 17, 20], [22, 18, 28, 31, 25, 24, 29], [33, 45, 60, 36, 34, 42], [38, 47, 39, 37], [32, 43, 40, 44], [51, 41, 46, 58, 49], [48, 50, 55, 57, 52, 56], [59, 53]]
