0: [[1, 35, 7, 2], [13, 3, 5, 8, 6, 21], [20, 12, 24], [9, 4, 11, 26, 14, 16, 17, 19, 15, 30, 10, 18], [22, 28, 25, 23], [29, 27, 31, 40, 42], [36, 41, 32, 37], [34, 47, 33, 39, 44, 38, 45, 46, 43], [57, 49], [50, 53, 48, 54, 51, 55], [59, 52, 58, 56, 60]]
74: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [14], [12, 11, 9, 10], [4, 8, 30, 19, 15, 18], [16, 29, 17, 25, 23, 20, 22, 24, 27, 26], [28, 31, 32, 53, 33, 36, 37, 39, 40, 45, 42], [38, 46, 34, 47], [41], [57, 52, 59, 43], [51, 44, 48, 49, 60, 50, 54, 58], [55, 56]]
75: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 14, 9, 11, 8, 10, 15, 26, 22, 12, 19, 16, 18, 20], [23, 17, 31, 30, 27, 24, 25, 28, 29, 40, 37, 33, 38, 34, 32, 36, 42, 39, 41, 47], [44, 45, 43, 46, 58, 55, 52, 49], [48, 51, 50, 53, 59, 56, 57, 60, 54]]
76: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 4, 8, 11], [9, 10, 14, 12], [15, 18, 23, 25, 24, 19, 20, 16, 17, 22, 26, 27, 29, 28, 30, 31, 60, 53, 33, 32, 36, 38, 47], [37, 46, 39, 41], [42, 44, 40, 45, 34, 48, 49, 43, 51, 50], [52, 55, 54, 56, 59, 57, 58]]
77: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [4], [12, 11, 9, 8], [14, 10, 30, 19, 15, 18], [17, 28, 27, 24, 22, 20, 23, 25, 16, 26], [31, 29, 49, 45, 33, 36, 34, 32, 39, 41, 43], [38], [44, 40, 47, 46, 50], [52, 56, 48, 55, 59, 53, 37, 54, 42, 51, 58, 57, 60]]
78: [[1, 35, 7, 2, 13, 3, 21, 6, 4, 5, 24, 11, 9, 12, 8, 26, 14, 16, 28, 15, 17, 10, 22, 23, 19, 18], [20, 25, 30, 27, 31, 29, 43, 53, 32, 34, 36, 44, 37, 39, 33, 46, 38, 41, 40, 55, 45, 50], [47, 52, 42, 56, 51, 49, 48, 54, 57, 59, 58, 60]]
79: [[1, 35, 7, 2, 13, 3, 21, 6, 5, 4], [12, 9, 14, 8], [10, 27, 15, 11, 16], [22, 19, 20, 26], [18, 31, 17, 25, 23, 28], [29, 24, 30, 37, 42, 33, 36, 34, 32, 44], [41, 47, 46, 40, 38, 39, 45, 58, 52, 49, 48], [53], [59, 43, 50, 54, 57], [56, 51, 55, 60]]
80: [[1, 35, 7, 2], [13], [3, 21, 6, 4, 5, 20, 11, 9, 12, 10], [8, 14, 16, 19, 15, 22, 18, 23, 17, 26, 25], [31, 27, 24, 28, 30], [29, 40, 53, 33, 36, 41, 34, 38, 32, 39, 42, 37, 43, 45, 47, 57, 59, 44, 49, 46, 48, 51, 52, 50, 54], [56, 55, 58, 60]]
81: [[1, 35, 7, 2, 13, 3, 21, 6], [4, 5, 10, 11, 9, 12, 8, 14, 15, 24, 29, 18, 16, 27, 22, 23, 17, 19, 20, 25, 26, 28, 30], [31, 58, 37, 32, 33, 36, 38, 47, 34], [39, 44, 41, 42, 40, 46, 45, 43, 53, 52, 49, 51], [48, 54, 50, 55, 57, 59, 56, 60]]
82: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 4, 8, 9], [11, 10, 12, 28, 30, 19], [31, 14, 24, 29, 27], [15, 16, 20], [17, 26, 18, 22, 23], [25, 57, 53, 32, 44, 33], [34, 38, 43, 39], [37, 46], [40, 36, 47], [41, 58, 50, 54, 48, 42, 45, 52, 49, 51, 55, 56, 59, 60]]
83: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5], [9, 11, 8, 10, 12], [27, 26, 15, 29], [16, 20, 28, 14, 22, 18], [30], [24, 17, 19, 25, 23, 31, 40], [37, 32, 38, 33, 36], [34, 42, 41, 39, 44, 47], [45, 43, 46, 49, 50, 53, 51], [52, 48, 56, 55], [54, 60, 58, 57, 59]]
84: [[1, 35, 7, 2], [13, 3, 21, 6, 20, 5, 8], [11, 9, 12, 10], [4, 14, 15, 16, 30, 19, 18, 28, 17, 22, 23, 24, 26, 29, 31, 25, 27, 32, 53, 34, 45, 36], [33, 47, 37, 38, 41, 39, 42, 40, 43, 44, 51], [59, 46, 48, 49, 52], [54, 50, 57, 55, 58, 56, 60]]
85: [[1, 35, 7, 2], [13, 3, 21, 6, 5, 9, 12, 4], [11, 14, 10, 18], [8, 15, 30, 28], [29, 16, 17, 24], [23, 20, 27, 19, 22, 25, 26, 31], [33, 53, 32, 44, 36, 40, 37, 34, 38, 46, 57, 45], [39, 41, 42, 54, 43, 52, 56, 47, 49, 55, 50, 48, 58, 51, 59, 60]]
86: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [4, 8, 9, 11], [10, 12, 14, 28], [15], [19, 18, 26, 16], [25, 22, 17, 27], [23, 24, 20, 30, 29, 31, 37, 34, 40, 38, 36, 33, 39], [41, 43, 46, 45, 44, 42, 47, 32, 48, 49, 54, 50, 55, 60, 53, 58, 51, 57, 52, 59, 56]]
87: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 12, 4, 9], [27, 8, 15, 10, 14], [11, 17, 18, 23, 16, 20, 25, 19], [22, 26, 24, 30, 29, 31, 28, 32], [45, 36, 37, 33, 34, 39, 38, 46, 41, 43, 40, 47, 44, 42, 55, 48, 49, 50, 54, 51, 52, 53, 56, 57, 59, 58, 60]]
88: [[1, 35, 7, 2, 13], [3, 21, 6, 4, 9, 28, 11, 25, 8, 5, 12, 10, 14, 17, 15, 16, 20, 18, 22, 30, 19, 31, 23, 24, 29, 26, 27, 40, 46, 36, 32, 33, 39, 34, 37, 38, 41, 42, 44, 45, 43, 47, 57, 53, 51, 48, 50, 49, 54, 55, 58], [52, 56, 59, 60]]
89: [[1, 35, 7, 2], [13, 3, 21, 6, 4, 5, 10, 11], [12, 9, 8, 22], [14, 15, 26, 30, 18, 23, 24, 20], [25, 27, 16, 31, 19, 28, 17], [29, 42, 37, 32, 38, 33, 34, 36, 40, 47], [39, 41, 46, 44], [43, 45, 58, 59, 60, 49, 50, 48, 52], [55, 51, 53, 54, 56, 57]]
90: [[1], [35, 7, 2, 13, 3], [21, 6, 4, 5, 8, 11, 9, 12, 30, 10, 14, 19, 18], [15, 17, 31, 27, 20, 23, 16, 22, 25, 24, 26, 29, 28, 33, 45, 41, 37, 34, 32, 38, 40, 43, 42, 36, 39, 47, 44, 46, 52, 48, 49, 54, 57, 53, 55, 50, 56, 51, 58, 59, 60]]
91: [[1, 35, 7, 2, 13, 3, 21, 6, 4], [5, 30, 9, 11, 8, 10, 12, 14, 31, 17, 26, 28], [18, 20, 15, 16, 29, 22, 25, 19, 23, 24, 27, 48, 37, 33, 32, 40, 34, 38, 43, 47, 36, 42, 45, 39, 46, 56, 50, 54, 53, 49, 52, 51, 41, 55, 44, 59, 60, 58, 57]]
92: [[1, 35, 7, 2, 13, 3], [22, 4, 9, 5, 11, 25, 18, 21, 6], [8, 14, 15, 12, 16, 10], [17, 19, 20, 23, 31], [24, 26, 30, 27, 29, 28, 42, 37], [33, 32, 38, 36, 34, 46, 39, 43, 40, 45, 41, 44, 60, 50, 47, 49, 54, 53, 48, 52, 51, 55], [56, 57, 58, 59]]
93: [[1, 35, 7, 2], [13], [3, 21, 6, 4], [12, 8, 11, 10, 5, 14, 27, 18, 29, 20, 16], [26, 24, 9, 23, 15, 30, 17, 19], [22, 31, 25, 28, 56, 53, 52, 39, 32, 33, 38], [47, 44, 36, 42, 46, 34, 41, 45, 51], [48, 37, 40, 43, 49, 50, 57, 54, 55, 58, 59, 60]]
94: [[1, 35, 7, 2, 13, 3, 21, 6, 4, 5, 8, 11, 25, 10, 9, 12, 14, 26, 31, 17, 15, 18, 23, 30, 16, 28, 20, 27, 19, 22, 24, 29, 32, 53, 41, 33, 39, 38, 36, 42], [34, 43, 44, 40, 46, 45, 37, 50, 47], [48, 57, 51, 49, 55, 56, 54, 52, 58, 60, 59]]
95: [[1, 35, 7, 2], [13, 3], [21, 6, 4, 5, 8, 11], [9, 12, 10, 14, 26], [28, 25, 19, 20], [24, 16, 15, 22], [18, 23, 17, 27, 30, 31, 29, 48, 39, 32], [33, 34, 38, 41, 46, 36, 40], [42, 54, 47, 44, 43, 45, 50, 53, 37, 51, 49, 52, 55, 56], [58, 59, 57, 60]]
96: [[1, 35, 7, 2], [13, 3, 4, 23], [5, 6, 8, 11], [12, 14, 15, 19, 9, 24, 31, 16, 10, 18, 30, 17, 20, 21, 22, 25, 26, 27, 32, 28, 33, 36, 29, 37, 38, 39, 34, 46, 40, 42, 43, 41, 44, 60, 45, 50, 53, 48, 47, 51, 55, 58, 52, 49], [56, 57, 59, 54]]
97: [[1, 35, 7, 2], [13, 3, 21, 10, 4, 5], [22, 6, 24], [9, 8, 11, 30, 14, 16, 23, 20, 12, 15, 17, 19], [18, 28, 27, 29], [26, 25, 31, 40, 46], [37, 45, 36, 32], [34, 43, 33, 38, 39, 44, 42, 47, 41, 57, 49, 50, 53, 48, 51], [54, 55, 59, 52, 56, 58, 60]]
98: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [4, 30, 9, 25], [14, 8, 10, 24, 11], [26, 12], [20, 19, 16, 17, 15, 18, 22, 31], [23, 29, 27, 28, 52, 37, 36], [32, 38, 39, 47], [40, 44, 33, 45], [42, 41, 34, 43, 46], [55, 54, 49, 51], [48, 50, 53, 57, 58, 56], [59, 60]]
99: [[1, 35, 7, 2, 13, 3, 21, 6, 5], [11, 8, 9, 12, 14, 10, 25, 18, 30], [15, 23, 4, 17, 16, 19, 20, 31], [22, 24, 26, 28, 27, 29, 48], [37, 36, 33, 34, 39], [47, 43, 38, 46, 32, 40, 44, 45, 42, 57, 54], [41, 49, 51, 53, 50, 55, 52, 58, 56, 59, 60]]
100: [[1, 35, 7, 2, 13, 3, 21, 6, 5, 4, 8, 11, 26, 12, 9, 31, 14, 15, 18], [10, 27, 16, 19, 17, 28, 23, 24, 20, 22, 25, 29, 30, 44, 53, 32, 36, 34, 33, 37, 38, 40, 42], [43, 47, 39, 45, 41, 50, 46, 49, 48, 52, 54, 57, 51, 55, 56, 58, 59, 60]]
101: [[1, 35, 7, 2], [13], [3, 21, 6, 5, 4], [8, 11, 31, 9, 10, 14], [12, 15, 23, 18, 25, 28, 16, 17, 22, 20, 19, 27, 24, 30, 26, 29, 48, 45], [33, 36, 34, 32, 44, 43, 38, 47], [41, 46], [37, 40, 39, 42, 55, 49, 51, 52, 54, 53, 50, 58, 56, 57, 59, 60]]
102: [[1, 35, 7, 2, 15, 3, 30, 6], [5, 4, 28], [8, 24, 12, 14, 27, 9], [29, 13, 18, 10, 11, 17], [16, 23, 19, 31, 20], [22, 25, 26, 21, 33, 37, 32, 39, 46, 36, 40, 42], [41, 34, 38, 43, 44, 47, 48, 52, 45, 50], [49, 51, 53, 55, 57, 54, 58, 56, 59, 60]]
103: [[1, 35, 7, 2, 13, 3, 21, 6, 4], [9, 10, 11, 25, 5, 8, 30, 29, 12, 17, 16, 23], [18, 14, 19, 15], [20, 22, 24, 27, 28, 26, 31, 34, 37], [33, 32, 41, 36, 38, 43, 46, 39, 42, 44, 45, 47, 40, 48, 50, 49, 51, 55, 52, 54, 53, 56, 58, 57, 59, 60]]
104: [[1, 35, 7, 2, 13, 3, 21, 6], [4, 12, 30, 14, 9, 8, 5, 11], [26, 15, 24, 18, 31, 27, 22, 17, 10, 19, 25, 16], [23, 29, 20, 28, 40, 43], [32, 37, 36, 44, 39, 47, 33, 38, 34, 41, 42, 46, 59, 57, 49], [58, 45, 50, 54, 55, 48, 51, 60, 56, 52, 53]]
105: [[1, 35, 7, 2], [13, 3, 5, 23], [4], [6, 8, 11, 28, 12, 30, 9, 15, 25, 10], [31, 14, 19, 17], [16, 20, 18, 21], [24, 22, 27, 38, 37, 32, 36, 26, 29, 45, 34, 33, 40, 46, 47, 39, 42, 41, 48, 58, 51, 53, 43, 44, 49, 52, 54, 50, 55], [60, 56, 59, 57]]
106: [[1, 35, 7, 2], [13], [3, 21, 6, 5, 4, 8, 11, 25, 14, 9, 10, 30, 15, 12, 16, 17, 22, 26, 24, 19, 23, 27], [28, 20, 18, 31, 29, 58], [44, 33, 37, 34, 32], [47, 38, 39, 42, 36, 40, 41, 43, 45, 54, 46, 52, 49, 51, 53, 55, 50, 56, 48, 59, 57, 60]]
107: [[1, 35, 7, 2], [13, 3, 21, 6, 4], [5], [8, 11, 9, 10], [12, 30, 15, 19, 31, 22], [16, 17], [18, 14, 23, 28], [20, 26, 25, 27, 24], [29, 56, 45, 33, 44, 34, 36, 38, 43, 32], [37, 46, 39, 41], [40, 42, 48, 47, 49, 52, 51, 55, 53, 58, 59, 54, 57, 50, 60]]
108: [[1], [35, 7, 2, 13, 3], [21, 6, 4, 5, 8, 9, 11, 12, 30, 14, 10, 19, 15], [20, 17, 23, 27], [16, 18, 26, 22, 25, 24, 28, 29, 31, 33, 53, 40, 36, 34, 32, 38, 42, 43, 46], [37, 39, 47, 41, 44, 50, 48, 45, 52, 57], [56, 54, 51, 55, 49, 59, 58, 60]]
109: [[1, 35, 7, 2, 13, 3, 21], [6, 5, 8, 4], [9, 25, 11, 14, 12], [10, 15, 29, 18, 26, 19, 16, 20], [27, 17, 30, 22, 28, 23, 24, 31], [40, 53, 38, 46, 33, 34, 32, 43, 47, 36, 37, 44, 45, 41, 50, 39, 42, 52, 48, 51, 54, 49, 55, 57, 56, 59, 58, 60]]
110: [[1, 35, 7, 2], [13, 3, 5, 12, 4, 6, 20, 8, 25, 9, 10, 11], [30, 14, 15, 31], [17, 22, 24, 16, 19], [18, 28, 21, 23], [26, 29, 27, 40, 44, 37, 36, 32, 38], [34, 47], [33, 39, 42, 46, 45, 41], [58, 57, 43, 50, 48], [53, 51, 54, 55, 59, 52, 49, 56, 60]]
111: [[1, 35, 7, 2, 13], [3, 21, 6, 5, 4, 24, 8], [31, 11, 9, 10], [14, 12, 27, 15, 20, 18, 16, 19], [17, 26, 28, 22, 29, 25, 23, 30], [42, 37, 36, 34], [38, 32, 40, 33], [43, 39, 41, 45, 47], [44, 46, 50, 48, 52], [51, 53, 54, 49], [55, 57, 56, 59, 58, 60]]
112: [[1, 35, 7, 2, 13, 3, 21, 6, 5, 10, 12], [11, 9, 8, 4], [31, 30, 14, 15], [18, 16, 22, 17], [19, 23, 25, 20, 29, 24, 26, 27, 28, 43, 37], [32, 33, 34, 36, 45, 47, 46, 42, 38, 40, 39, 44, 41, 48, 57, 52, 58, 53, 49, 59, 50, 51, 56, 54, 55, 60]]
113: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [4, 28, 11, 14], [9, 8, 10, 12], [15], [18, 16, 26, 20], [29, 17, 19, 22], [23, 24, 27, 30, 25, 31], [32, 37, 33, 34, 38, 39, 36, 43, 44, 46, 41, 42, 45, 47, 49, 48, 40, 55], [59, 54, 50, 53, 51, 52, 56, 57, 58, 60]]
114: [[1, 35, 7, 2, 13, 3, 5, 10, 4, 6, 8], [12, 24, 9, 14, 11, 26, 15, 16, 17, 19, 20, 28, 21, 18, 22, 23, 25, 30, 31, 29, 27, 40, 41, 36, 42, 32, 47, 34, 39, 33, 37, 44, 38, 45, 46, 43, 57, 58], [48, 51, 53, 49, 50, 55, 59, 52, 56, 54, 60]]
115: [[1, 35, 7, 2, 13, 3, 21, 14, 5], [4, 28, 15, 25, 6, 9, 8, 27, 10], [12, 11], [19, 16, 30, 17, 18, 23], [20, 29, 22, 24, 26], [31, 40, 44, 36, 43, 33, 39, 32, 38, 37, 34, 41, 42, 45, 46, 47, 57, 50, 54, 48, 49, 52, 51, 55, 59, 60, 56, 53, 58]]
116: [[1, 35, 7, 2, 13], [3, 21, 6, 4], [5, 10, 11, 9, 14], [28, 26, 8, 12, 20], [30, 19, 18, 15], [16, 22, 17, 23], [24, 25, 31], [27, 29, 32, 53, 33, 44, 40, 38, 34], [41, 36, 39, 37], [46, 45, 47, 42, 43, 52, 48, 50, 49, 54], [51, 55], [59, 57, 58, 60, 56]]
117: [[1, 35, 7, 2], [9, 3, 21, 31], [4, 12, 14], [5, 25, 6, 13, 10, 8, 18, 11, 15], [30, 22, 20, 16, 24, 17, 19, 23, 26, 27], [42, 28, 41, 39], [32, 29, 33, 37], [38, 47, 34, 36, 45, 40, 44, 43, 46, 60, 56, 49, 48, 54, 52], [53, 50, 57, 55, 51, 58, 59]]
118: [[1, 35, 7, 2, 13, 3, 20, 4, 5, 6, 10], [15, 9, 12, 16, 18], [14, 11, 17, 8, 19, 28, 31, 21, 22, 25, 23, 24, 27, 30, 26, 29, 33, 55, 36, 38, 34, 43, 42, 46, 32], [40, 41, 44, 45, 47, 37, 59, 48, 39, 49, 51, 52, 54, 53, 56, 50, 58, 57, 60]]
119: [[1, 35, 7], [2, 13, 3, 21], [6, 5, 4, 8, 9, 10, 15, 14, 16, 28, 12, 11, 19], [25, 17, 18, 20, 24, 26, 22, 23, 27, 31, 29, 30], [41, 37, 32, 34, 33, 38, 43, 40, 44, 36, 45, 47, 42, 39, 46, 49, 51, 52, 48, 50, 54, 53, 56, 55, 58, 57, 59, 60]]
120: [[1, 35, 7, 2, 13], [3, 21, 6, 5, 20, 12], [11, 9, 14, 10, 8], [4, 17, 15], [16, 27, 24, 22, 19], [23, 25, 26, 28, 30, 18], [31, 29, 42, 52], [33, 37], [32, 34, 36], [43, 45, 39, 38, 40, 41, 46, 47, 59, 58, 48, 44, 49, 53, 54, 50, 51, 56, 55, 57, 60]]
121: [[1, 35, 7, 2], [13, 3, 5, 12, 6, 4, 8], [11, 24, 9, 10], [15, 17, 30, 22, 18, 19], [14, 21, 23], [20, 16, 26, 29], [25, 27, 28, 31, 48], [38, 36, 41, 33, 32], [42, 43, 44, 37, 39, 40, 45, 46, 47], [49, 54], [34, 55, 56, 50, 51, 53], [59, 52, 58, 57, 60]]
