0: [[17, 42, 33], [35, 7, 2], [1, 3, 4], [12, 9, 13, 6, 10, 21], [5, 8, 11, 15, 14, 23, 16, 18], [19, 22, 24, 28, 26, 20, 30, 27], [29, 25, 31, 50, 45, 37], [32, 34], [36, 40, 39], [38, 41, 43, 46, 44, 47, 56, 48], [51, 53, 54, 52, 55, 58], [59], [49, 57, 60]]
74: [[17, 42, 33, 35, 2, 3], [5, 1, 4, 10, 11, 7, 9, 6, 14, 8, 12, 15, 13, 27, 19, 18, 30, 16, 22, 31, 20, 21, 23, 24, 26, 25, 60, 28, 48, 29, 34], [37, 40, 36, 45, 39, 38, 32, 44, 47, 43], [57, 41], [46, 50, 54], [55, 49, 52, 51, 56, 53, 59, 58]]
75: [[17, 42, 33], [35, 2, 7, 1, 3, 4, 26], [9, 5, 10, 6, 8, 11, 27, 12, 13, 28, 24], [14, 16, 22, 15, 19, 18, 21, 29, 51, 20, 25, 30], [23, 34, 50, 40, 37, 31, 38, 32, 45, 36, 39, 41, 47, 44, 49, 43, 48, 46, 55, 54, 56, 53, 52, 59, 57, 58, 60]]
76: [[17, 42, 33], [35, 7], [2, 1, 3, 4, 26, 9, 5, 12, 8, 22, 15, 6], [14, 29, 11, 10, 13, 16, 28, 18], [19, 20, 23, 21, 30, 24, 25], [31, 27, 32], [54, 36, 38, 40, 37, 46], [44, 45, 47], [34], [39, 41, 50], [59, 53, 43, 56, 51, 48, 55], [49, 52, 57, 60, 58]]
77: [[17, 42, 33], [35, 2, 7, 1, 3, 4], [24, 11, 5, 12, 6, 10, 25, 8, 15, 9, 31, 16], [30, 22, 18, 14, 19, 20, 21, 23, 51, 27], [26], [29, 60, 50, 34, 37, 28, 13, 39, 36, 32, 43, 40, 38, 47, 45, 44, 46, 49, 53, 55, 48, 54, 41, 52, 58, 56, 57, 59]]
78: [[17, 42], [33, 35, 2, 7], [1, 3, 4], [26, 9, 5], [11, 6, 8], [13, 27, 10, 22, 12, 15, 14], [16, 23, 19, 18, 20, 21, 25, 24, 29, 31], [28, 30, 44, 34, 46, 32, 39, 36, 38, 37, 43, 40], [41, 47, 48, 45, 49, 52, 55, 50, 56, 58, 54, 53, 60, 59, 51, 57]]
79: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 24, 11], [5, 10, 8, 6, 14, 9, 12, 13, 31], [20, 15, 22, 16, 19, 21, 25, 28, 29, 30], [26, 23, 38, 27, 44, 18, 34, 32, 39, 36, 37, 40, 43, 46, 41, 45, 53, 47, 48, 49, 55, 52, 54, 59, 50, 56, 51, 57, 60, 58]]
80: [[17, 42, 33], [35, 2, 7, 1, 3, 4, 24, 11], [5, 12, 8, 14, 29, 6, 15, 21, 13, 18, 9, 10, 22, 20], [19, 30, 23, 16, 27, 25, 26, 31, 28, 32, 36, 38], [37, 39], [34, 44, 41, 40, 43, 54, 47, 50, 45, 51, 48, 58, 55, 53, 46, 52, 49, 56, 59, 57, 60]]
81: [[17], [42, 33, 35, 2, 7, 1, 3, 4, 24, 11, 5, 12, 8], [26, 15, 6, 14, 21, 20, 18, 9, 10, 16, 13, 22, 19, 23, 27, 30, 29, 25, 54, 28, 32, 50, 38], [37, 34, 44, 31, 41, 39, 45, 40, 46, 47, 48, 43, 57], [36, 55, 49, 51, 52, 58, 53, 56, 59, 60]]
82: [[17, 42, 33, 35, 2, 3], [5, 1, 4, 10, 11, 7, 9, 6, 14, 8, 12, 15, 13, 27, 19, 18, 30, 16, 22, 31, 20, 21, 23, 24, 26, 25, 60, 28, 48, 29, 34], [37, 40], [36, 45, 39], [38, 32, 44, 47, 43, 57, 41, 46], [50, 54, 55, 49, 52, 51, 56, 53, 59, 58]]
83: [[17, 42, 33, 35, 2, 7], [1, 3, 4], [24, 11, 5], [10, 8], [26, 14, 12], [6, 27, 23, 9, 21], [13, 16], [18, 20, 25, 28, 15, 19, 29, 31, 55, 22, 32, 50, 34, 49], [30], [40, 44, 37, 47, 46, 36, 39, 38, 52, 43, 57, 45, 41, 51, 48, 56, 58, 53, 54, 59, 60]]
84: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 14], [9], [6, 8, 12, 5, 27, 10, 11, 15, 13], [21, 25, 16, 22, 24, 19, 18, 20, 30, 23], [28, 29, 31, 26, 36, 52, 32, 34, 37, 40], [47, 39], [38, 45, 48, 41, 44, 60, 43, 54, 49, 46, 50], [51, 55, 53, 57, 59, 58, 56]]
85: [[17, 42, 33], [35, 2, 7], [1, 3, 4], [24, 11, 5, 6, 9, 13], [8, 10, 12, 15, 14, 22, 25, 18], [19, 16, 21, 23, 26, 20, 28, 29], [27, 30, 31, 50, 53, 36], [32, 34], [37, 40, 39, 38, 41, 44, 47, 45, 43, 54, 48, 46, 49, 55, 52, 51, 58], [56, 59, 57, 60]]
86: [[17, 42, 33], [35, 3, 6, 1, 5, 4, 26, 9, 2, 8, 7, 23, 11, 10, 13, 15, 14, 22, 16, 20, 18, 31, 19, 12, 21, 24, 49, 27, 28, 25, 29, 50, 52, 38, 30, 32, 34, 40, 39, 46, 37, 41, 36, 43, 56, 47, 44, 51, 45, 53, 48, 54], [59, 57, 55, 58, 60]]
87: [[17, 42, 33, 35, 2, 7, 1], [3, 4], [12, 11, 5, 10, 8, 9, 14], [6, 13, 15, 22, 27, 30, 16, 20], [18, 21, 19, 23, 29, 24, 26, 25, 28, 31], [32, 36, 43, 46, 34, 37, 39, 41], [44, 45, 38, 52, 47, 40, 57, 48, 55], [49, 51, 50, 53, 60, 58, 54, 56, 59]]
88: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 11, 5, 12], [9, 6, 25, 13, 8, 31, 14, 16, 10, 20], [22, 15, 21, 19, 18, 23, 29, 27, 28], [26, 30, 51], [48], [34, 36, 37, 32, 45], [38, 39, 41, 40, 46, 57, 43, 49, 44, 47, 54, 53, 50, 52, 60, 55, 59, 56, 58]]
89: [[17, 42], [33, 35], [2, 7, 1, 3, 4, 24, 11, 5, 8, 13, 6, 9, 12, 10, 21], [15, 26, 18, 22, 14, 20, 16, 19, 30, 23, 27, 28, 25], [46, 58, 50, 34, 36, 29], [47, 32, 37, 43, 44, 38, 31, 41, 40, 52, 39, 55, 51, 54, 45, 48, 53, 56, 49, 59, 57, 60]]
90: [[17, 42, 33], [35, 2, 7], [1, 3, 4, 24, 11, 6, 9], [5, 8, 10, 31, 13, 28], [12, 21, 15, 18, 14, 20, 19, 50, 16, 22, 26, 23, 29, 25, 60, 38, 36, 30, 27, 39, 40, 37, 46, 32, 34, 44, 43, 41, 47, 52, 48, 57, 45, 54, 53, 49, 58, 51, 59, 55, 56]]
91: [[17, 42, 33], [35, 2, 7, 1], [3, 4, 26, 9, 5, 12, 8, 6], [28, 15, 11], [29, 30, 14, 10, 19], [13, 18, 23, 22, 20, 16, 27, 21, 24, 47], [25, 36, 38, 34, 31, 32, 39, 37, 44, 41, 43], [40, 45, 54, 55, 56, 48, 46, 49, 60, 50, 51], [52, 53, 59, 57, 58]]
92: [[17, 42, 33], [35, 2, 7, 1, 3, 4, 26, 9, 5, 8, 12], [6, 29, 11, 13, 21, 10, 14, 28, 18, 15], [20, 16, 22], [23, 27, 25, 19, 24, 30, 31, 34, 32, 38, 36, 45, 39, 41, 44, 37, 43, 40, 46, 47, 50, 56, 49], [48, 54, 58, 51, 60, 53, 59, 52, 55, 57]]
93: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 11, 5, 6, 9, 8, 12, 10, 13, 14, 31, 19, 18, 28, 16, 30, 21], [20, 15, 23, 25, 26, 22, 27, 29, 48], [52, 32, 39, 40, 38, 37, 34, 43, 44, 41, 36, 45, 46, 47, 57, 49, 54, 51, 50, 53, 55, 58, 56, 59, 60]]
94: [[17, 42, 33], [35], [2, 7, 1, 3, 4, 12, 11, 5, 10, 8, 6, 14, 15], [13, 9, 29, 19, 22, 20, 16, 18, 21, 27, 23, 25, 24, 31, 28, 30, 26, 44, 32, 38, 36, 37, 40], [34, 45, 39, 41, 47, 43, 48, 46, 52, 49, 53, 50, 54], [51, 55, 58, 57, 59, 56, 60]]
95: [[17, 42, 33, 35, 2, 7, 1], [3, 4], [24, 11, 5, 10, 8, 6, 25, 13, 12, 14], [30, 18], [15, 20, 22, 16, 19, 9, 21, 23, 26, 29], [27, 31, 28, 34, 50, 36, 37, 41, 32, 46, 43, 45, 44, 38, 47, 48, 49, 52, 57, 53, 55, 39, 40, 51, 59], [60, 54, 56], [58]]
96: [[17, 42, 33, 35], [2, 7, 1, 3, 4, 24, 9, 13, 12, 11, 5, 6, 8, 10], [14, 23, 16, 30, 20, 22, 31, 15, 18, 19, 21, 28, 25, 26, 27, 29, 48, 36, 45, 39, 32, 34, 37, 38, 41, 40, 43, 44, 47, 60, 53, 51, 49, 54, 50, 46, 52, 57, 58, 56, 55, 59]]
97: [[17, 42, 33], [35, 2, 7, 1, 3, 4], [24, 11, 5, 8, 9, 6, 27, 10], [30, 28, 13, 16, 22, 12, 14, 29, 15, 18], [19, 26, 20, 56, 31, 21, 23, 38, 36, 25], [34, 39, 40, 45, 47, 41, 32, 49, 51, 37], [48, 43, 54], [53], [44, 50, 46, 52, 55, 59, 57, 58, 60]]
98: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 24, 11, 6, 8, 12, 10, 28, 9, 22, 29, 5, 13, 18], [14, 15, 23, 19, 16, 20, 21, 26, 30, 25], [27, 31, 34, 52, 37, 43, 45, 32, 36, 39, 41], [38, 50, 40, 44, 56, 47, 46, 49, 53, 60, 48, 54, 55, 51, 57, 59, 58]]
99: [[17, 42, 33], [35, 2, 7, 1, 3, 4], [14, 9], [5, 12, 6], [8, 26, 11, 10, 15, 29], [16, 28, 18, 13, 30], [23, 20, 22], [24, 19, 21, 25, 31, 27, 38], [36, 32, 34, 53, 40, 47, 37], [45, 39, 41, 43, 46, 52, 57, 55, 48, 49, 54], [44, 51, 59, 58, 60, 50, 56]]
100: [[17, 42], [33, 35, 3, 6, 1, 7, 4, 12, 11, 5], [8, 10, 9, 14, 13, 2, 15, 19, 20, 30, 18, 21, 23, 24, 26, 16, 22, 25, 27, 28], [58, 29, 54, 34, 53, 32], [31], [40, 45, 47], [36, 37, 41, 38, 46, 43, 56, 44, 49, 39, 52, 60, 48, 59, 55, 50, 51, 57]]
101: [[17, 42, 33], [35, 3, 6], [1, 2, 4, 26, 9, 7, 10, 12, 11, 8, 31, 14, 13, 15], [21, 5, 24, 18, 16, 20, 22, 25, 19, 30, 23, 29], [27, 28, 34, 45, 36, 32, 37, 44, 46, 38, 51, 39, 40, 41, 43, 47, 52], [48, 53, 54, 50, 55, 56, 57, 59, 58, 49, 60]]
102: [[17, 42, 33, 35, 7, 2], [1, 3, 4], [26, 9, 5], [10, 13], [11, 14, 16], [28, 25, 22, 8, 30], [12, 6, 23, 19, 24, 20, 15, 18], [21, 27, 31, 54, 38, 50, 29], [49, 39, 36, 44, 45, 37, 46, 41, 47, 32], [34, 43, 40, 48, 51, 53, 56, 55, 57, 58, 52, 59, 60]]
103: [[17, 42, 33, 35], [2, 7, 1, 3, 4, 24, 11], [5, 10, 6, 8, 9, 12, 15, 28, 29, 22, 13], [20, 21, 18, 14, 16, 25, 30, 31, 26, 19, 23, 39], [34, 40, 27, 32, 36, 37, 38, 46, 43, 41, 45, 44, 57, 50, 47, 54, 51, 48, 55, 49, 53, 56, 52, 58, 59, 60]]
104: [[17, 42, 33], [35, 2, 7], [1, 3, 4, 24, 11], [5, 12, 8, 6, 13, 10, 14, 26, 31, 9], [28, 18, 19, 20], [15, 30, 21], [22, 27, 16], [25, 23, 29], [54, 36, 44, 32, 58, 38, 40], [41, 39, 34, 43, 37, 45, 47, 46, 59, 48], [53, 52, 49, 55, 50, 57, 56, 51, 60]]
105: [[17, 42, 33, 35, 2, 3], [5, 1, 4, 10, 11, 7, 9, 6, 14, 8, 12, 15, 13, 27, 19, 18, 30, 16, 22, 31, 20], [21, 23, 24, 26, 25, 60, 28, 48, 29, 34], [37, 40, 36, 45, 39, 38, 32, 44, 47, 43], [57, 41], [46, 50, 54], [55, 49, 52, 51, 56, 53, 59, 58]]
106: [[17], [42, 33, 35, 2, 7, 1, 3, 4, 26, 9, 5, 8, 10], [13, 14, 15, 31, 16, 11, 18, 12, 20, 6, 25, 22, 23, 28, 19, 21, 29, 24, 30, 27, 32, 34, 50], [38, 39, 37, 36, 40, 45, 41, 48, 47, 46, 44, 43, 49], [53, 51, 55, 52, 60, 54, 57, 56, 58, 59]]
107: [[17, 42, 33], [35, 3, 6], [1, 7, 4, 12, 11, 5, 10, 8, 22, 9, 13], [15, 20, 24, 28, 14, 16, 18, 19, 21, 2, 23, 26, 25, 27, 29, 30, 31, 40, 60, 53, 34, 32, 36, 37, 39, 38, 43, 41, 44, 45], [47, 58, 51, 48, 49, 54, 50, 46, 55, 56, 57, 59, 52]]
108: [[17, 42, 33, 35, 6, 3, 1], [7, 4, 24], [11, 5, 9, 8], [10, 29, 12, 20, 15, 13, 14, 21, 26, 2, 19, 23, 28, 16, 18, 22, 25, 27, 30, 57, 50, 45, 40, 36], [34, 37, 31, 47, 41, 32, 44, 38, 46, 39, 43, 49, 48, 52, 54, 55, 51, 56, 59, 60, 58, 53]]
109: [[17, 42, 33, 35, 2, 7, 1], [3, 4, 24, 15, 6, 10, 5, 8, 9], [14, 11, 12, 23, 13, 16], [19, 18, 22, 20, 26, 21, 25], [27, 29, 30, 28, 57], [48, 45, 31, 36, 32, 34, 46, 41], [39, 37, 60, 40, 38, 43, 49, 44, 50], [47, 52, 59, 53, 54, 51, 55, 58, 56]]
110: [[17, 42, 33, 35, 2, 7, 1], [3, 4], [14, 9, 5, 12, 8, 13, 6, 18, 11, 15, 16, 19, 25, 22, 24, 20, 23], [28, 29, 30, 26, 27, 21, 55, 32, 54, 36], [37, 38], [31, 34, 46, 39, 41, 44, 40, 10, 43, 60, 49], [45, 53, 50, 48, 47, 59, 51, 52, 57, 58, 56]]
111: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 12, 9, 13, 14], [8, 5, 10, 15, 11, 6, 22, 26, 16], [27, 18, 19, 23, 21, 20, 25, 24], [30, 29, 28, 31, 38, 36, 37], [32, 34, 39, 47, 41, 45, 40, 43, 44, 46, 49], [51, 50, 53, 52, 56, 57, 55, 54, 58, 48, 59, 60]]
112: [[17, 42, 33, 35, 2, 7, 1], [3, 4], [24, 11, 5], [12, 6, 8, 25, 13, 9, 30, 14], [20, 27, 15, 22, 10, 18], [29], [16, 28, 23], [19, 21, 26, 31], [60, 34, 36, 38, 41, 32, 44, 47, 46, 43, 37, 48, 50, 45, 49, 54, 53, 55, 39, 40, 57, 58, 51, 52, 56, 59]]
113: [[17, 42, 33], [35, 6, 3], [1, 2, 4], [26, 9, 5, 7, 14, 10], [21, 8, 11, 31, 13, 22, 16, 18], [19, 20, 12, 30, 15, 23, 27, 24], [25, 29, 28, 43, 37, 36], [32, 34], [39, 40, 41], [38, 45, 50, 46, 44, 47, 49, 48], [51, 52, 59, 54, 60, 53], [55], [57, 56, 58]]
114: [[17, 42], [33, 35, 2], [7, 1, 3, 4, 24, 9], [13, 6, 8, 10, 5, 25, 14, 11], [30, 18, 19, 20, 16, 15, 12, 23], [22, 29, 21, 26, 31, 27], [28, 50, 52], [34, 36, 32, 38, 44], [37, 45, 43, 39, 40, 57, 46, 41, 60], [49, 47, 55], [48], [51, 53, 59, 54, 56, 58]]
115: [[17, 42, 33, 35], [7, 2, 1], [3, 4, 12, 9, 13, 6, 10, 20], [5, 8, 11, 15, 30, 23], [22], [16, 18, 14], [24, 28, 21, 25, 27, 19, 31, 26, 29, 38, 32, 39, 37, 36, 40, 34, 47, 43, 41, 51, 44, 45, 46, 57, 48, 52, 53, 50, 56, 54, 58, 55, 49, 59, 60]]
116: [[17, 42, 33, 35, 6, 3, 1], [2, 4, 12], [11, 5, 8, 10, 7, 9], [14], [16, 30, 18, 13, 20, 26, 22, 19, 27, 21, 25, 23, 15, 24, 29, 28, 31, 51, 44, 53, 32, 34, 36, 47, 37, 40, 38, 41, 46, 56, 39, 50, 43, 48, 54, 45, 52, 55, 58, 59, 49, 57, 60]]
117: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 12, 11, 5], [8, 6, 9, 15, 10, 13, 14, 31, 26, 22, 16, 19], [20, 23, 21], [27], [28, 18], [25, 24, 30], [29, 34, 38, 32, 44], [36, 37, 41, 39, 43, 45, 40, 46, 48, 47, 52], [58, 50, 53, 49], [55, 51, 54, 59, 56, 57], [60]]
118: [[17, 42, 33], [35, 6, 3, 1, 2], [4, 24, 9], [11, 8, 10], [21, 13, 5, 28, 14, 30], [7, 15, 18], [12, 20, 19, 29, 16, 27, 22], [23, 25, 26, 31, 50, 34], [40, 36, 52], [44, 32, 39], [38, 43, 47, 41, 37, 48, 45, 54], [46, 49, 51, 55, 53, 58], [57], [59, 56, 60]]
119: [[17, 42, 33, 35, 6, 3, 1], [7, 4, 26, 9, 5, 8, 11, 14, 13, 12, 15, 31], [16, 2, 21], [22, 18, 10, 20, 23, 19], [24, 27, 25, 29, 30, 28, 37, 52, 32, 34, 36, 38], [39, 43, 41, 45, 47, 48, 44, 46, 51], [50, 54, 58, 40, 53, 60, 55, 59, 57, 49, 56]]
120: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 26, 9], [5, 10], [6, 8, 28, 11, 13, 14, 29], [27, 12, 16, 18, 23], [19, 21, 15, 25, 24, 30, 20, 22, 31], [34, 32, 37, 38, 49, 44, 36, 39, 43], [41, 45, 40], [55, 56, 46, 51, 47, 48, 53, 52, 54], [57, 50], [58, 60], [59]]
121: [[17, 42, 33], [35], [6, 3, 1, 2, 4, 14, 9, 13], [5, 10, 7], [12, 8, 11, 30, 20], [15, 22, 18, 19, 27, 24, 16, 29, 21, 26], [23, 25, 28, 31, 32, 38, 37, 34, 36], [40, 44, 39], [41], [43, 47, 45, 50, 46, 48, 56, 58, 49, 55, 52, 53, 54, 51], [57, 59, 60]]
