0: [[5, 35, 7, 1, 2], [30, 20, 19, 3, 32, 44], [12, 8, 11, 4, 25, 14, 15, 29, 6, 10], [9], [13, 17, 16, 18, 21], [24, 23, 26, 22, 27, 31, 28, 54, 34], [33, 38, 36, 37, 45], [43, 51, 41, 42, 39], [40, 46, 48, 50, 47], [60, 55, 52, 53, 56], [49, 57], [58, 59]]
74: [[5, 35, 7, 3, 2], [30, 20, 19, 1, 32], [44, 12, 6, 11, 10, 8], [4, 9, 29, 15, 25, 13], [14, 16, 17, 18, 21, 22], [23, 26, 27, 24, 28, 31, 52], [34, 33, 36, 41, 37], [46, 43, 51], [39, 45, 40, 42, 47], [50, 48, 38, 49, 53, 58, 54, 55], [56, 57, 59, 60]]
75: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44, 12, 4, 14, 9, 13, 10, 11, 25, 15], [8, 18, 31, 21, 16, 6, 17, 27, 22, 26], [23, 24, 28, 29, 54, 34, 42, 45, 37], [33, 41, 36, 39, 43, 40, 58, 46, 57, 47, 38, 53, 50, 49, 52, 51, 48, 56, 60, 59, 55]]
76: [[5, 35, 7, 2, 1], [30], [20, 19, 3, 32, 44, 12, 14, 9, 10, 4, 6, 8, 25, 11, 15, 27, 13, 18, 22, 26, 21, 17, 24, 23, 16, 28, 56, 39, 50, 33, 38, 37, 45, 31, 40, 42, 47, 43, 46, 49, 34, 41, 54, 48, 36, 55, 53, 58, 29], [59, 51, 52, 57, 60]]
77: [[5, 35, 7, 2, 1], [30], [20, 19, 3, 32, 44], [12, 4, 9, 25, 15, 22], [6, 8, 13, 10, 11, 16, 23], [31, 18, 17, 21], [24, 27, 28, 26, 29, 37, 36, 34, 38, 45, 33, 42, 39, 57, 47, 40, 41, 59, 60, 43, 14], [50, 46, 53, 49, 55, 48, 51, 52, 54, 58, 56]]
78: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32], [44, 4, 6, 11, 9, 10], [8, 14, 28, 15, 31], [13, 25, 12, 17, 18, 16], [21, 22, 26, 23, 29, 24, 27], [38, 34, 37, 39, 41], [36, 33, 43, 59, 47, 40, 42, 46], [45, 50, 48, 51], [52, 54, 53, 49, 58, 60, 55, 56, 57]]
79: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44, 4, 8, 9, 6, 11, 13, 10, 12, 14, 16, 29, 25, 15, 21, 18, 17, 23, 22, 26, 28, 24, 27, 31, 39, 33, 45, 37, 38, 36, 47, 34, 46, 41, 48, 42, 40, 43, 49, 50], [55, 52, 51, 54, 59, 58, 53, 56, 60, 57]]
80: [[5, 35, 7, 3, 2], [30, 20, 19, 1, 32, 44], [12, 6, 9, 10, 8, 4, 15], [13, 14, 27, 29], [11, 16, 22], [18, 17, 26, 23, 28], [21, 24, 25, 31, 53], [34, 41, 36, 33, 37, 45], [40, 38], [39, 42, 43, 46, 47, 49, 54, 50, 48], [55, 51, 52, 56, 58, 57, 59, 60]]
81: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 10, 11, 4, 9, 8], [15, 6, 14, 25], [31, 13], [16, 22, 17, 26, 24, 18], [21, 23, 27, 46, 28, 39], [29, 33], [34, 36, 37, 45], [43, 40, 38, 42, 41, 47, 59, 49, 50], [51, 48, 52, 53, 54, 55, 57, 56, 58, 60]]
82: [[5, 35, 7, 2, 1, 30], [20, 19, 11, 32, 44, 4], [6, 3, 10, 14], [9, 8, 13, 12, 28], [15], [16, 17, 23, 24, 21, 18, 22, 27, 25, 26, 29, 31, 38, 33, 34, 36, 39, 37, 41, 40, 43, 46, 42, 45, 47, 51, 52, 49, 50], [48, 53, 54, 55, 57, 58, 59, 56, 60]]
83: [[5, 35, 7, 2, 3, 30], [20, 19, 1, 32, 44], [12, 4, 13, 11, 6, 9, 8, 31, 10, 14], [15, 16], [21, 17, 26, 28, 18, 22, 23, 25, 24, 27, 29, 36], [33, 34, 37, 38, 39, 46, 43, 41, 42], [40, 45, 47, 51, 49, 54, 55, 48, 50, 53, 52], [57, 58, 56, 59, 60]]
84: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44, 12, 4, 10, 13, 24, 14, 9, 15, 23, 6, 8, 25, 18, 21, 11, 16, 17, 22, 28, 26, 31, 27, 29, 36, 34, 47, 39, 33, 37, 45, 42, 38, 41, 49], [40, 43, 57, 50, 54, 46, 52, 51, 53, 55, 60, 58, 48, 56, 59]]
85: [[5, 35, 7, 2, 9, 30], [20, 19, 1, 32, 44, 12], [6, 14, 3, 15, 10, 8, 28, 29, 11, 13, 4, 22], [24, 17, 21, 16, 18, 23, 26, 27, 31], [25, 53, 34, 36, 39, 37, 38, 41, 45, 40, 43], [33, 42, 46, 58, 50, 47, 59, 52, 49, 48, 51, 54, 57, 60, 55, 56]]
86: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 8, 14, 4, 6, 9], [13, 11, 10, 15], [26, 22, 16, 18, 17, 21], [28, 27], [25, 23, 29, 31, 24, 52, 54, 39], [38, 33, 36, 47, 41, 34, 40, 37, 43, 42, 58, 48, 45, 56, 55, 53, 51, 46, 57, 49, 50, 59, 60]]
87: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 4, 14, 10, 6, 13, 9], [17, 11, 22, 8, 24, 26], [31, 15, 16, 18, 21, 23], [27, 29, 25, 28], [37, 33, 34], [46, 38, 36, 43, 40, 39, 41, 45, 49, 47, 48], [42, 51, 55, 52, 50, 54, 53, 58, 59, 56, 57, 60]]
88: [[5], [35, 7, 2, 3, 30], [20, 19, 1, 32, 44, 12], [6, 9, 4, 8, 13], [10, 15, 14, 24, 29, 23, 25, 17, 11, 26], [28, 18, 21, 22, 16, 27, 31, 38, 33, 40, 36, 37, 41, 42, 45, 47, 46, 34, 48, 51, 59, 53, 52, 43, 49, 54, 55, 39, 56, 50, 57, 58, 60]]
89: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44, 12], [4, 14, 9, 11, 6, 13], [25, 10, 15, 31, 16, 26], [18, 17, 21, 24, 27, 28], [22, 23, 29, 8, 55, 38, 37], [33, 34, 36, 47], [41, 45, 40, 39], [43, 42, 51, 49, 58, 46, 52], [48, 50, 53, 54, 56, 59, 57, 60]]
90: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 6, 13, 4, 10, 9, 11, 29, 15, 22], [14, 8], [31, 16, 18, 17, 23], [21, 25, 24, 27, 26], [28, 37, 33, 34, 47, 38], [36, 40, 45, 39, 41], [42, 43, 46, 56, 49], [48, 50, 53, 52, 54], [55, 57, 51, 58, 59, 60]]
91: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32, 44, 12, 6, 4, 13, 10], [8, 27, 24, 15, 9, 11, 21, 23, 14, 18, 16, 17, 22, 29, 31, 26, 25, 28, 37, 33, 38, 34, 36, 45, 42, 39, 46, 41, 40, 43, 49, 51, 50, 48, 47, 52, 55, 54, 53, 59, 58, 57, 60, 56]]
92: [[5, 35, 7, 3, 2, 30], [20, 19, 1, 32, 44], [12, 14, 11, 4, 25], [6, 10, 29, 13, 15, 8], [9], [17, 18, 21, 22, 24], [23, 16, 26, 27, 31, 28, 54, 34], [41, 37, 36, 33, 45], [43, 51, 42, 38, 47], [39, 40, 49, 46, 48], [58, 55, 52, 50, 53], [57, 59], [56, 60]]
93: [[5, 35, 7, 2, 3], [30, 20, 19, 1], [32, 44, 12, 6, 4], [9, 10, 8, 11, 25], [15, 13, 14, 17, 21, 16, 18, 22, 28, 23, 24, 27, 31, 26, 29, 36], [33, 38, 34, 37, 39, 40, 45, 42, 43, 41, 46, 56, 52, 48], [47, 50, 49, 55, 53, 54, 51, 59, 57, 58, 60]]
94: [[5, 35, 7, 1, 3], [30, 20, 19, 2, 32, 44], [4, 12, 11, 14, 25, 15, 6, 29, 8, 9], [13], [16, 10, 17, 18, 21], [24, 31, 26, 22, 23, 27, 28, 54, 33], [34, 36, 37, 47, 46], [45, 38, 39, 40, 41], [42, 43, 48, 51, 49], [55, 52, 50, 53, 60, 56, 57, 59, 58]]
95: [[5, 35, 7, 2, 3, 30], [20, 19, 1, 32, 44], [12, 6, 4, 14, 15], [9, 10, 8, 13, 11], [17, 18, 23, 22, 21], [24, 29, 16, 27, 28, 25], [26, 31, 36, 33, 34], [37, 38, 39, 45], [47, 46, 40, 41, 42], [43, 51, 55, 50, 49], [53, 54, 48, 57, 52, 58, 56], [59, 60]]
96: [[5, 35, 7, 3, 1, 30], [20, 19, 6, 32], [44, 12, 2, 8, 4, 9, 14, 11, 29, 15, 10, 16, 13, 22, 17, 18, 21, 24, 23, 26, 25, 31], [27, 28, 38, 34, 33, 39], [37, 36, 41, 43, 59], [45, 42], [47, 40], [46, 50, 48, 51, 60, 55, 52, 49, 53, 54, 56, 57, 58]]
97: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32, 44], [12, 6, 4, 11, 8, 9], [10, 13, 14, 31], [15, 27], [21, 17, 16, 29, 18, 22, 23, 25, 26, 28, 24, 38], [34, 36, 37, 33, 39, 45, 43, 41, 42], [40, 46, 47, 59, 49, 54, 50, 52, 55, 53, 51], [56, 57, 48, 60, 58]]
98: [[5, 35, 7, 1, 3, 30, 20], [19, 2, 32, 44, 12, 8, 11, 4, 27, 6], [13, 9, 14, 26, 25, 15, 17, 16, 10, 23, 18, 21], [22, 24, 31, 29, 28, 38, 33, 34, 37], [36, 39, 41, 45, 47, 40, 42, 43, 46, 48, 50], [51, 53, 52, 54, 57, 49, 56, 58, 59, 55, 60]]
99: [[5, 35, 7, 3, 2], [30, 20, 19, 1, 32, 44, 12, 4], [10, 6, 8, 9], [14, 13, 15, 11, 29, 16, 17, 22, 18], [21, 23, 26, 27, 28, 24, 25, 31, 52, 34, 41, 37, 33, 36, 42, 39, 43, 40, 46, 47, 50, 45, 51, 48, 38, 53, 54, 49, 57, 55, 60, 58, 56, 59]]
100: [[5, 35, 7, 2, 1], [30, 20, 19, 8, 32, 44], [12, 4, 6, 9, 11, 3, 13], [29, 10, 15, 18, 26, 14], [16, 17, 22, 25, 27], [21, 23, 28, 39, 24, 31], [41, 55, 36, 33, 42, 38], [37], [45, 34], [46, 43, 40, 51, 47, 48, 50, 59, 49], [54, 53, 52, 56, 58, 57, 60]]
101: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44, 4], [6, 8, 9, 10, 29, 11], [14, 27, 25, 12], [16, 23, 17], [18, 15, 24, 13, 26], [21, 22, 28, 31, 38, 34], [33, 36, 39, 37, 46, 41, 40, 47, 42, 57, 43, 59, 50, 45, 48, 54, 53, 55, 49, 51, 56, 52], [58, 60]]
102: [[5, 35, 7, 2, 9], [30, 20, 19, 3, 32, 44], [12, 6, 8, 1, 28, 4], [10, 15, 17, 11], [13, 14, 16, 23, 18, 25], [21, 22, 26, 24, 27], [29, 47, 37, 31, 33], [46, 34, 38, 39, 36, 43, 40, 42, 45, 41, 49, 50, 59, 58, 60, 48, 51], [54, 52, 53, 57, 55, 56]]
103: [[5, 35, 7, 2, 3, 30, 20, 19], [1, 32, 44, 12], [10, 11, 4, 8], [6, 9, 13, 14, 27, 15, 22, 16, 21, 23, 25, 29, 17, 18, 24, 26, 28, 31, 52, 33, 36, 34, 43, 39, 37, 46, 50, 41, 55, 40, 47, 51, 38, 53, 42, 57, 54, 45, 48, 49, 59, 56, 58, 60]]
104: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 6, 4], [9, 15, 10, 13, 8, 26], [29, 11, 14, 17, 23, 16], [18, 21], [27, 25, 28, 22, 24, 31, 36, 52], [33, 42, 34, 38, 37, 41, 45, 39, 40, 46, 47, 59, 48, 43, 58, 53, 49, 51, 50, 57, 54, 55, 56, 60]]
105: [[5, 35], [7, 2], [1, 30, 20, 19, 3, 32, 44, 12, 6, 4, 13, 10, 8, 15, 9, 11, 26, 14, 21, 23, 22, 17, 25, 16, 29, 18, 31, 24, 28, 27, 38, 34, 33, 53, 39, 36, 40, 47, 45, 42, 46, 41, 43, 57, 49, 37, 55, 48, 50, 51, 54, 52, 56, 59, 58, 60]]
106: [[5, 35, 7, 2, 1], [30, 20], [19, 3, 32, 44, 12, 4], [9, 8, 11, 6, 10, 27, 14, 15, 13, 24], [22, 16, 17, 23, 18, 25, 29, 21, 28, 26, 31], [36, 33, 34, 37, 39, 38, 40, 43, 41, 42], [47, 45, 46, 48, 52, 50, 49, 53, 51, 54, 56, 58], [55, 59, 57, 60]]
107: [[5, 35, 7], [2, 1, 30, 20, 19, 3, 32, 44, 12, 4, 6, 8, 9, 10, 11, 14, 13, 31, 15, 24, 16, 23, 17, 18, 21, 22, 27, 25, 29, 26, 28, 54, 33, 34, 37, 36, 39, 43, 40, 38, 41, 45, 42, 46, 47, 50, 57, 49, 48, 53, 52, 51, 55, 56, 59], [58, 60]]
108: [[5, 35, 7, 2, 1, 30, 20, 19, 6, 32, 44, 12], [4, 8, 3, 9, 13], [11, 29, 15, 10, 23, 16, 14], [21, 24, 27, 22, 17, 26, 18, 25, 31, 28, 39, 33, 36, 37, 38], [40, 43, 45, 34, 47, 46, 41, 42, 53, 51, 57, 50, 48, 49, 52, 54, 59, 58, 60, 56, 55]]
109: [[5, 35, 7, 2, 3, 28], [22, 6, 1, 40, 44, 12], [4, 10, 13, 26, 21], [8, 31, 14, 9, 11, 15, 27], [17, 16, 23, 18, 19, 20, 24, 25, 30, 29], [52, 33, 38, 32, 39, 43], [36, 37, 34, 46, 45, 41, 57, 54, 50], [42, 48, 47, 55], [49, 51, 56, 53, 59, 58, 60]]
110: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32, 44, 12, 6, 4, 10, 24, 13, 9, 31, 11, 14, 15, 28, 16, 25, 18, 17], [21, 8, 23, 22, 26, 27, 29, 52, 50, 34, 36], [48, 33, 39, 41, 37, 38, 43, 46, 56, 58, 45, 59, 53, 42, 47, 57, 40, 49, 55, 51, 54, 60]]
111: [[5, 35, 7, 2, 14, 22], [20, 19, 1, 32, 44, 12], [4, 11, 9], [15, 28, 6, 30, 27, 24], [13, 25, 17, 10, 18, 3, 8], [21, 23, 16, 26], [29, 31, 52, 46, 37, 45, 39, 34, 43, 33, 36, 38, 40, 47, 48, 49, 41], [50, 56, 53, 51, 42, 54, 55, 58, 57, 59, 60]]
112: [[5, 35, 7, 2, 3, 30], [20, 19, 1, 32, 44], [12, 14], [13, 4, 9, 6], [8, 15], [10, 28, 26, 25, 16], [11, 17, 21, 24, 23], [22, 31, 18, 27, 29, 37], [33, 36, 45, 34, 38], [47, 42, 39, 41, 40], [43, 46, 58, 51, 53], [49, 48, 54, 52, 50], [55], [57, 56, 59, 60]]
113: [[5, 35, 7, 2], [11, 30, 20, 19, 1], [34, 44, 8, 6, 3], [9, 10, 4], [14, 31, 12, 13, 15, 16, 25, 17, 18, 23, 21], [22, 26, 24, 27, 29, 28, 36], [33, 38, 37, 40, 43, 41], [47, 39, 32, 45, 46, 42, 51, 53, 55, 48, 57], [49, 50, 54, 52, 59, 58, 56, 60]]
114: [[5, 35, 7, 2, 1, 30, 20, 19, 3, 32, 44, 12, 6, 4, 10, 8, 15, 13, 21, 9, 11, 16, 17, 14, 22, 23, 24, 25, 26], [28, 18, 27, 31, 29], [36, 38, 37, 50, 39], [42, 43, 34, 40, 45, 41, 46, 47, 33, 51, 48, 54, 52, 53, 56, 55, 49, 57, 59, 58, 60]]
115: [[5, 35, 7, 2, 3, 30, 20, 19], [1, 32, 44, 12, 6], [4, 10, 15, 8, 11], [25, 9, 27, 13, 14, 29], [17, 16, 18, 21, 23, 22], [24, 26, 28, 31, 54, 33], [34, 39, 36, 37, 40, 46, 38], [41, 47], [48, 42, 43, 50, 57], [45, 49, 51, 53, 55, 52, 56, 59, 58, 60]]
116: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32], [44, 12], [6, 4], [10, 13, 8, 11, 26], [9, 15], [14, 24, 17, 23, 22, 18], [28, 16, 21, 27, 25], [31, 29, 54, 41, 33], [39, 38, 36, 45, 37, 34], [40, 42, 43, 47, 55, 50], [57, 51, 53, 46, 48, 52], [49, 56, 59, 58, 60]]
117: [[5, 35, 7, 2, 1, 30], [20, 19, 3, 32, 44, 12], [4, 6, 28, 8], [11, 9, 27, 10, 22], [25, 13, 23, 16, 14], [15], [17, 18, 21, 24, 26, 31], [29, 37, 33, 41, 39, 38], [34, 47, 42, 40, 43, 36], [46, 45, 56, 58, 51, 54], [52, 48, 55, 50, 49], [57, 53, 59, 60]]
118: [[5, 35, 7, 2, 1], [30, 20, 19], [3, 32, 44, 12, 4], [14, 9, 8, 6], [11, 10, 27, 26, 13], [31, 24, 16, 21, 22], [29, 25], [23, 15, 17, 18], [28, 36, 33, 41, 39, 34], [37, 56, 42, 38, 43, 45], [40, 48, 58, 46, 47], [49, 51, 59, 50, 53], [52, 55, 54, 57, 60]]
119: [[5, 35, 7, 1, 3, 30], [20, 19, 2, 32], [44, 12, 4, 9, 10], [28, 8, 13, 6, 29], [15, 11, 27, 23, 16, 14, 18], [17, 24, 22, 25], [21, 26, 31], [37, 38, 34, 39, 45], [33, 41, 40, 36, 47], [48, 46, 42], [49, 43, 59, 53], [50, 52, 54, 51, 55], [57, 56], [58, 60]]
120: [[5, 35, 7, 3, 1], [30, 20, 19, 2, 32, 44], [12, 14, 11, 4, 26, 6, 15], [29], [8, 9, 13, 10, 31], [16, 18, 21, 17, 23, 22, 24, 27, 25], [28, 36, 37, 33, 39, 34], [41, 45, 43, 42, 38, 40], [47, 46, 49, 51, 50], [55, 52, 53, 54, 58], [48, 59, 57, 56, 60]]
121: [[5, 35, 7, 1, 19, 10], [20, 2, 3, 32, 44], [12, 4, 8, 14, 17, 9, 6], [18, 11, 13, 15, 28, 16, 21], [22, 24, 29, 31], [23, 27, 25, 30, 26, 52], [34, 33, 38, 39], [36, 46, 41, 37, 42, 40, 47], [59, 51, 50, 43, 48, 45], [49, 54], [53, 55, 56, 57, 58], [60]]
