0: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 24], [11, 15, 14, 17, 16, 10, 18], [9, 12, 23], [26, 19, 27, 20], [22, 28, 30], [25, 31], [29, 40, 32, 38, 37], [36, 34, 39, 33, 47, 42], [43, 41, 55, 45, 44, 48], [51, 53, 50, 52, 58], [54, 56, 59, 60], [49, 57]]
74: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 8, 26, 11, 9], [14, 10, 16, 12, 20, 15, 28, 17, 19], [18, 27, 22, 24, 30, 23, 25, 29], [31, 32, 36, 39], [37, 34, 42, 33, 43, 40, 38, 41], [47, 51, 44, 45], [50, 49, 53, 52, 48, 56, 54, 55], [59, 58, 57, 60]]
75: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 5, 14, 8, 24, 6, 12, 11, 9, 10, 22, 15, 17, 23, 16, 18, 31, 19, 29, 25, 26, 27, 28, 20, 30, 40, 38, 34, 33, 32, 37, 39, 36, 41, 42, 43, 47, 44, 55, 50, 45, 51, 49, 52, 48, 53, 54, 56, 57], [59, 58, 60]]
76: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 5, 6], [8, 9, 26, 14, 12, 11, 27, 20, 22, 18, 15, 16, 17, 19], [30, 23, 28], [24, 25, 29, 31, 45, 40, 39, 37, 32, 34, 33, 43], [36, 42, 38, 41, 44, 10, 49, 47, 51, 48, 58, 50, 55], [53, 52, 57, 54, 59, 56, 60]]
77: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 24], [11, 14, 10, 25, 15, 19, 18], [9, 12, 17], [30, 16, 27, 20], [22, 28, 29], [23, 31], [26, 40, 32, 36, 44], [37, 38, 34, 33, 47, 43], [39, 41, 56], [45, 42, 48, 58, 51, 50, 54, 52, 53, 57, 60, 49, 55, 59]]
78: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5, 8, 24, 11, 15, 20, 9, 10, 14, 12, 17, 16, 18, 26, 19, 23, 22, 27, 25, 30, 28, 31, 29, 32, 37, 39, 36, 34, 33, 38, 43, 40, 42, 41, 45, 50, 47, 52, 49, 55, 48, 44, 51, 54, 53], [57, 59, 58, 56, 60]]
79: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 22, 5], [16, 24], [25, 15, 14, 8, 6, 12], [9, 17, 19, 11, 29, 23, 18, 10], [20, 28, 26, 27, 30, 31, 32, 34, 38, 36, 37, 39, 33], [44, 40, 47, 43, 41, 42, 45, 55, 48, 51, 59, 54, 53, 50, 56, 49, 57, 58, 52, 60]]
80: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5], [8, 12, 27, 14, 11], [9, 16, 10, 18, 15, 28, 23], [30, 17, 24, 20, 26], [29], [22, 25, 31, 19], [40, 42, 38, 34, 44, 33, 37, 36, 39, 45], [43, 41, 32, 51, 47, 55, 49], [48, 52, 50, 53, 54, 59, 56, 60, 57, 58]]
81: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6], [5, 8, 16, 10], [9, 11, 26, 20, 15, 12, 14, 24, 17, 22, 18], [19, 25, 28, 27, 23, 29, 31, 30, 32, 37, 33, 36, 34, 40, 38, 45, 47, 39, 43, 42, 44, 41, 48, 51, 59, 50, 52, 53, 54, 57, 49, 55, 58, 56, 60]]
82: [[7, 35, 46, 2, 1], [3, 4], [13, 21, 6, 5, 8, 24], [11, 15, 10, 9, 16, 14, 28], [18, 12, 19, 17, 20, 25], [30, 22, 23, 27, 29], [26, 53, 44, 32], [31, 37], [36, 38, 39, 33, 45, 42, 43, 41, 51, 34, 40, 52, 47, 49, 50, 54, 56, 55, 48, 58, 57, 59, 60]]
83: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6], [5, 8, 28, 11], [9, 10, 30, 19, 12, 14, 15, 17, 16], [18, 20, 26], [22, 23, 24, 25, 27, 29, 31, 40, 37, 36, 33, 32, 34], [38, 39, 45, 42, 44, 53, 41, 43, 47, 51, 52, 48, 50, 49, 55, 58, 56, 57, 54, 59, 60]]
84: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 5], [6, 8, 24, 27, 10, 12, 11], [28, 22, 9, 18, 17, 15, 14], [16, 30, 19, 23], [20, 25, 29, 26, 31, 40, 38, 37, 33, 36], [42, 34, 39, 45, 32, 41, 44, 47], [51, 52, 48, 43, 49, 50, 53], [55, 54, 56, 57, 59, 58, 60]]
85: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5], [8, 17, 9], [10, 12, 14], [20, 11, 23, 15, 18, 16, 22, 19, 26, 24, 25, 29, 30, 27], [28, 31, 42, 33, 34, 37, 32, 36, 47, 41, 38, 44, 39, 43, 40, 45, 48, 49, 53, 52, 50, 51, 54, 57, 55, 58, 56, 59, 60]]
86: [[7, 35, 46, 2, 1, 3, 4, 13, 21, 6, 5, 8], [26, 27, 9, 14], [30, 18, 15, 28, 10, 16, 17, 22], [11, 20, 24], [19, 12, 23, 29, 25, 31, 40, 36, 41, 37, 32, 34, 38, 43, 44, 39, 42, 47, 55, 45, 60, 49, 33, 53, 50, 52, 48, 56, 51, 57, 54, 58, 59]]
87: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 5, 8, 9, 26, 10, 11, 19, 12, 20, 14, 17, 15, 18, 28, 16], [23, 24, 22, 25, 27, 31, 29, 30], [40, 37, 33, 39, 34, 36, 42, 38, 45, 32, 47, 41, 44, 43, 58, 49, 60, 51, 50, 52, 56, 48, 59, 54, 53, 55, 57]]
88: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 11, 8, 24, 5, 15, 14, 10, 9, 28, 12], [17, 20, 16, 18, 31], [22, 30, 25, 23], [27, 29], [19, 26, 40, 34, 39, 38, 33, 32], [37, 44, 42, 36, 41], [43, 47, 55, 51, 45, 53, 48, 54, 49, 56, 50, 52, 58, 59, 57, 60]]
89: [[7, 35, 46, 2], [1, 3, 4, 13], [21, 6, 5, 8, 24, 25, 15, 12, 31, 16, 10, 20, 9], [19, 14, 11, 22, 26, 17, 18, 23, 29, 27, 28, 30, 42, 38, 36, 32, 33, 34, 43, 39, 47, 44, 41, 40, 49, 37, 45, 48, 51, 52, 50, 55, 58, 56, 57, 53, 54, 60, 59]]
90: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 22, 8, 27, 12, 11, 14, 19, 31, 5, 9, 18, 10, 16, 20, 15, 17, 24, 23, 30], [25, 26, 29, 28, 40, 32], [38, 33, 36, 34, 37, 39, 41, 45, 43, 42, 52, 47, 51, 49], [44, 54, 50, 57, 55, 53, 56, 48, 58, 60, 59]]
91: [[7, 35, 46, 2, 1, 3, 4, 13, 21, 6, 5, 8, 24, 11, 15, 10, 9, 16, 14, 22, 12], [31, 17, 20, 18, 29, 19, 23, 27, 26, 25, 30, 28, 32], [34, 38, 39, 36], [41, 33, 42, 40, 37, 43, 44, 50], [47, 58, 45, 51], [49, 48, 52, 56, 54, 53, 59, 57, 55, 60]]
92: [[7, 35, 46, 2, 1, 3], [4, 13, 21, 6, 5, 8, 17, 11, 9, 10, 14, 18, 15, 22, 16, 19, 12, 23, 20, 25, 24], [27, 31, 30, 29, 26, 28, 40, 34, 36, 39, 33, 32, 37], [38, 43, 45, 42, 41, 44, 47, 50, 48, 51, 53, 52, 58, 49, 54, 55], [56, 57, 59, 60]]
93: [[7, 35, 46, 2, 1, 3, 4, 13, 21, 6, 5, 8, 26, 9], [10, 11, 15, 12, 14], [24, 27, 19, 18], [23, 16, 31, 17], [20, 22, 30, 25, 29, 28, 32, 37, 39, 36, 33, 34], [41, 47, 38, 42, 40, 43, 50, 44, 51, 53, 45], [49, 54, 48, 52, 55, 58, 57, 60, 59, 56]]
94: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 5, 9, 8], [25], [26, 15, 12, 14, 16, 22, 6, 10, 23, 11], [17, 31, 19, 20, 24], [18, 27, 29], [30, 28, 40, 37, 32], [36, 34, 39, 41, 45, 42, 33, 38, 47, 44], [49, 50, 43, 55, 51, 54], [52, 58, 48, 53, 56, 60, 59, 57]]
95: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21, 8, 24, 9], [10, 12, 22], [23, 15, 14, 11, 16], [19, 17, 18, 31], [28, 20, 29, 30], [25, 26, 27, 40, 33, 39, 37, 34, 32], [36, 41, 38, 45, 42, 43, 50, 47, 48, 49, 44], [51, 53, 52, 54, 58, 59, 57, 56, 55, 60]]
96: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 8], [6, 14, 28, 25, 11, 12, 10, 9, 22, 29], [16, 19, 15], [17, 21, 30, 20, 18, 23, 26, 27, 24, 31, 42, 36, 32, 37], [34, 41, 43, 38, 33, 44, 39, 40, 45, 49, 47, 48, 51, 52, 50, 53, 58, 54, 57, 55, 56, 59, 60]]
97: [[7, 35, 46, 2, 1], [3, 4, 13, 5, 22, 6, 8, 9, 25, 14, 12], [11, 24, 21, 17, 23, 15, 16, 18, 19, 30, 20, 31, 26, 28, 27, 29, 34, 36, 37, 38, 32, 39, 33, 42, 44, 43, 41, 45, 40, 10, 59, 47, 52, 54, 58, 50, 55, 51, 48, 56, 49, 53, 57, 60]]
98: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 5, 8, 16, 27, 15, 12, 10], [25, 22, 9], [17, 14, 19, 11, 18, 30, 20, 23, 24], [26, 29, 28, 31, 42, 38, 36, 32, 34, 37, 33, 39, 40, 45, 43, 44, 41, 49, 47, 48, 51], [52, 50, 55, 53, 57, 54, 58, 56, 59, 60]]
99: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 5, 11], [8, 25], [6, 9, 10, 15, 23, 14, 19], [16, 17, 22], [27, 20, 18, 28, 26], [12, 24, 29, 30, 31], [32, 37, 38, 36, 34, 33, 43, 47, 42, 39], [40, 41, 44, 51, 49, 45, 53, 48, 50, 55, 58, 52, 54, 56, 59, 57, 60]]
100: [[7, 35, 46, 2, 1, 3], [4, 13, 21, 6, 5, 8, 27], [10, 9, 11, 14], [12, 15], [31, 19, 18, 16, 20], [17, 22, 24, 23, 25, 26, 29], [28, 30, 40, 33], [38, 37, 32, 34, 36, 43, 47, 39, 41], [42, 44, 45, 48, 52], [55, 49, 50, 51, 53, 54, 56, 57, 59, 58, 60]]
101: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5, 8, 17, 10, 14, 9, 27, 11, 12, 15, 18, 23, 22, 16, 30, 28, 20, 19, 29], [24, 25], [26, 31, 32, 37, 38, 33, 34], [36, 39, 40, 43, 42, 48, 41, 58, 44, 53, 45, 50, 47, 51, 49], [54, 52, 55, 57, 59, 56, 60]]
102: [[7, 35, 46, 2, 1, 3, 4, 13, 5], [6, 9, 8, 25], [11, 14, 10, 17, 18, 12, 15, 16, 19], [21, 20, 23, 22, 24, 26, 29, 28, 27, 30, 31, 40, 38, 39], [33, 32, 34, 37, 36, 45, 47, 42, 41, 60], [43, 50, 48, 44, 49, 52, 51, 53, 59, 58, 54, 55, 57, 56]]
103: [[7, 35, 46, 2, 1], [3, 4, 13, 21], [5, 11, 8, 26, 6, 15, 10, 12, 9, 22, 30, 14, 17, 18, 16, 31, 19], [23, 20, 25], [24, 29, 28, 27, 40, 53, 34, 44, 32, 39], [33, 36, 42, 41, 38, 47, 51, 37, 43, 45, 49], [55, 52, 48, 58, 56, 59, 57, 60, 50, 54]]
104: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5], [14, 24, 9, 11], [10, 8, 23, 15], [18, 12, 16, 17, 20, 22, 31, 19, 25, 29, 26], [30, 27, 28, 40, 32, 37], [34, 36], [33, 39], [42, 38, 47, 43, 41], [55, 58], [45, 48, 51, 44, 49, 50, 52, 54, 57, 56, 53, 59, 60]]
105: [[7, 35, 46, 2, 1, 3, 4, 13, 21, 6, 5, 8, 17, 9, 10, 11, 15, 12, 14, 31, 18, 19, 16, 23, 20, 26, 24, 25, 22, 30, 27, 28, 29, 42, 33, 34, 37, 36, 32, 39, 45, 38, 44], [40, 43, 41], [47, 48, 50, 49, 52, 54, 51, 56, 53, 55, 57, 60, 59, 58]]
106: [[7, 35, 46], [2, 1, 3, 4, 13, 21, 6, 5, 8, 24], [11, 15, 14, 9, 18, 10, 28, 12, 16, 17, 20, 19, 30, 22, 31, 23, 26, 25, 29, 27, 32, 34, 41, 33, 36, 37, 40, 42, 38, 39, 43, 44, 54, 45, 60, 47, 51, 49, 50, 52, 48, 57, 53, 56, 58, 55, 59]]
107: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 5, 22, 8, 28, 24, 11, 10, 17], [6, 23, 14, 9, 12], [16, 20, 15, 30, 19, 18], [25, 26, 27, 29], [31, 42, 38, 33, 32, 34, 36, 43, 39, 41, 44, 37, 45, 40, 51, 47, 49, 50], [59, 52, 53, 56, 55, 57, 48, 54, 58, 60]]
108: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 5], [6, 8, 25], [11, 14, 12, 9], [19, 10, 16], [15, 28], [23, 20, 18, 17, 22], [30, 24, 27, 26, 31], [29, 32, 33], [38, 37, 34, 41, 36, 43, 40], [42, 47, 39], [51, 45, 59, 48], [44, 52, 49, 53, 50, 57, 55, 54], [58, 60, 56]]
109: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 5, 11], [8, 24, 10, 12, 14, 15, 9], [6, 31, 17, 23, 16], [19, 18, 22, 20, 25], [28, 27, 26, 29, 30, 40, 37, 34, 44, 33], [32, 39, 36, 41], [43, 42, 47, 48, 38, 50, 53, 45, 51, 52, 49, 58, 55, 56, 54, 59, 57, 60]]
110: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 8, 24, 11, 15, 9], [10, 19], [26, 23, 12, 16], [18, 17, 20, 14, 22], [27, 28, 29, 25], [30, 31, 32], [38, 33, 37, 36, 41, 34, 42, 40, 39], [43, 44, 49, 45, 51, 47, 59, 48, 50, 54, 55, 53, 57, 52, 56, 60, 58]]
111: [[7, 35, 46, 2, 1, 3, 4, 13, 5], [6, 21, 8, 16, 9, 11, 14, 15, 18, 12], [20, 10, 27, 22, 17, 19, 31, 28, 23, 24], [25, 29, 26, 30, 40, 36, 39, 37, 38, 32, 41, 33, 34, 44, 42, 43, 50, 47, 45, 48, 49, 52, 51, 60, 55, 53, 59, 56, 54, 57, 58]]
112: [[7, 35, 46, 2, 1], [3, 4, 13], [21, 6, 5], [8, 24, 11, 14], [12, 22, 19], [15, 10, 9, 16, 23, 17, 18], [20, 28, 31, 29], [30, 25, 26, 27, 40], [33, 39, 37, 34], [32, 36, 41, 42], [43, 38, 53, 51, 47, 48, 49, 44, 45], [50, 52, 56, 58, 55, 54, 57, 59, 60]]
113: [[7, 35, 46, 2, 1], [3, 4, 13, 6, 5, 18], [8, 10, 11, 15, 14, 21, 9], [12, 27, 31, 20, 17], [16, 19, 22, 23], [25, 28, 30, 26, 24, 29, 40, 32, 34, 33, 37, 39, 38, 43, 42, 36, 41, 44, 51, 47, 45, 52, 50, 48, 54, 55, 49, 56, 53, 57, 59, 58, 60]]
114: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 29, 8, 24, 11, 18, 14, 15], [23, 9, 27, 12, 20], [17, 16, 5, 22], [10, 25], [19, 28, 26, 31, 30, 38, 34, 39], [44, 37, 32, 45, 33], [40, 36, 41, 43, 50, 47, 42, 51, 48, 52, 53, 49, 56, 55, 54, 57, 59, 58, 60]]
115: [[7, 35, 46, 2, 1, 3], [4, 13, 5, 6], [10, 8, 25, 9], [15, 14, 11, 16, 12, 24], [18, 30, 21, 23, 17, 19, 20], [31, 22, 28, 26, 29], [27, 36, 37, 38], [34, 32, 33, 39, 40, 45, 41, 44, 43], [58, 42, 51, 47, 54, 50, 49, 48, 55, 52, 57, 53, 60, 56, 59]]
116: [[7, 35, 46, 2, 1, 3, 4, 13, 5, 6, 10, 8, 25, 9, 11, 12, 15, 19], [17, 14, 18, 22, 16, 20, 23, 21, 26, 24, 30, 28, 27, 29], [31, 40, 33, 36, 37, 32, 39, 34, 38, 44, 45, 42, 43, 53, 41, 51, 54, 47, 49, 55, 48, 56, 58, 50, 57, 52, 59, 60]]
117: [[7, 35, 46, 2, 1], [3, 4, 13], [5, 6, 9, 8], [31, 11], [15, 14, 17], [19, 10, 16, 12, 18], [23, 21, 22], [27, 20], [28, 25, 30, 24, 26], [29, 32, 33], [38, 34, 36, 37, 40, 41, 44, 43, 42, 39, 55, 45, 47, 51, 48, 53, 50, 49, 58, 54, 57, 56, 52, 59, 60]]
118: [[7, 35, 46, 2, 1], [3, 4, 13, 5, 6, 11], [8, 25, 9, 10, 12, 14, 15, 17, 16, 18, 23, 20], [19, 21, 28, 24], [22, 30], [26, 27, 29, 31, 40, 33, 36, 38, 34, 32], [37, 47, 39, 41, 43, 44, 48, 42, 45, 55, 52, 49, 53, 54, 56, 59, 50, 58, 51, 57, 60]]
119: [[7, 35, 46, 2], [1, 3, 4, 13], [5, 6, 29, 8, 9, 11, 18, 15, 27], [23, 10], [26, 12, 17, 31, 14, 19, 22], [16, 25, 20, 30, 21, 28, 24, 38, 33, 34, 32, 36], [42, 37, 43, 45, 39, 40, 41, 49, 47, 44, 48, 51, 53, 54, 50, 55, 52, 56, 57, 59, 58, 60]]
120: [[7, 35, 46, 2], [1, 3, 4, 13, 21], [6, 5, 8, 24], [11, 10, 14, 29], [16, 12, 15], [9, 28, 19, 27], [18, 31, 20, 23], [22, 25], [17, 26, 30, 40, 32], [38, 37, 34, 42, 39, 33], [45, 43, 36, 41, 47, 44], [60, 48, 51, 49, 52, 50], [53, 54, 58, 55, 56], [59, 57]]
121: [[7, 35, 46, 2], [1, 3, 4, 13], [21], [5, 6, 8, 24, 11, 9, 12], [10, 26, 14], [30, 15, 29, 20, 17, 18, 28], [22, 23, 16, 31, 25, 27, 19, 32], [34, 37, 33, 36, 41, 39, 38, 40], [47, 43, 44], [50, 42, 59, 45], [51, 48, 54, 53, 52, 55, 49, 58], [56, 57, 60]]
