0: [[38, 5], [25, 2], [3, 4], [1, 9, 13, 23], [14, 15, 6], [7], [29, 11], [20, 21, 34, 39], [28, 26], [17, 27, 16], [62, 24, 18, 43, 12, 22], [51, 19], [52], [42, 50], [40, 46, 44, 49, 8], [30, 31, 36], [33, 35], [41, 32, 60], [47], [59], [37, 58, 55], [48, 54], [45, 56], [53, 57, 61], [64, 63], [66, 65], [67, 70], [77, 68, 69, 72, 10], [71, 73], [74, 75], [78, 76], [81, 79, 82], [86], [83], [85], [84, 80], [87, 88]]
51: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 1, 14, 15, 10], [11, 42], [35, 6], [19, 20], [7, 8, 13, 16, 17, 27, 18, 23, 29, 24], [28, 21, 26, 30, 36, 61, 34, 44, 31, 49, 32, 43, 33], [37, 39, 41, 45, 40, 46, 47], [48, 56, 59, 52, 50, 54, 51, 53, 55, 57, 58, 62, 60, 63, 80, 64, 71, 65, 67, 68, 66, 70, 75, 78, 72, 69, 74, 79, 77, 73, 76, 86, 82, 83, 84, 81, 87, 85, 88]]
52: [[38, 5], [25, 2], [12, 22, 3, 4, 1, 6, 14, 15], [7, 8], [11, 9, 10, 17, 24, 29, 20], [13, 23, 26, 18], [19, 16, 54, 51, 21, 28, 27, 41, 62, 58, 34, 35, 30, 47, 42, 40, 31, 36, 43, 32, 53, 33, 45], [37, 46, 55, 49, 39, 52, 44, 57, 48, 50, 59, 56, 63, 60, 61, 66, 68, 67, 64, 65, 70], [71, 69, 75, 72, 73, 74, 76, 79, 77, 78, 84, 82, 80, 81, 87, 83], [85, 86, 88]]
53: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 7], [10, 15], [6, 9], [11, 8, 14, 21, 17, 31, 16, 13, 20, 28, 18, 19, 24, 23], [54, 58, 30, 26, 48, 29, 61, 42, 33, 27, 39, 34, 36, 43, 35, 32, 37, 40, 41, 45, 44, 47, 46, 50, 55, 56, 59, 51, 49, 52, 53, 57, 62, 60, 63, 66, 68, 69, 65, 64, 75], [73, 70, 71, 77, 76, 67, 72, 74, 79, 78, 80, 82, 83, 84, 86, 85, 81, 87, 88]]
54: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 10], [14, 15, 7, 6], [40, 37], [8, 9], [17, 13], [11, 20, 16, 28, 19, 23, 31, 18, 30, 58], [21, 29, 36, 33, 59, 26, 27, 32, 24, 34, 41, 35, 39, 43, 46, 47, 44, 56, 45, 42, 50, 63, 48, 49, 55, 52, 51, 54, 53, 60, 57, 61, 62, 66, 64], [69, 65, 70, 68, 72, 71, 79, 75, 67, 73], [78, 74, 76, 77, 84, 81, 83, 80, 87, 82, 85, 86, 88]]
55: [[38, 5], [25, 2], [12, 22], [3, 1, 4, 6, 14, 15, 7], [9], [11, 8, 10, 17, 21, 23, 16, 18, 19, 20, 31, 27, 26, 30, 29, 35, 28, 32, 41, 48, 50, 54, 13, 44, 36, 37, 45, 59, 42, 46, 34, 39, 43, 33, 40, 52, 56, 53, 55, 51, 57, 62, 49, 63, 60, 58, 61, 87, 47, 64, 68, 65], [70, 67, 66, 77, 76, 74, 71, 72, 73, 69, 78, 75, 79, 85, 84, 80, 82, 81, 83, 86, 88, 24]]
56: [[38, 5], [25, 2], [12, 22, 3, 4], [1, 6], [14, 15], [11, 16], [9, 40], [10, 19], [7, 13, 18, 21, 8, 17, 20, 30, 23, 24, 31, 49, 55, 26], [27, 35, 57, 61, 33, 28, 60, 34, 32, 58, 29, 43, 45, 39, 44, 36, 63, 37, 46, 41, 56, 54, 53], [42, 47, 48, 50, 51, 52, 62, 59, 66, 68, 69, 65, 64, 75, 67, 70, 73, 74, 76], [71, 72, 79, 77, 78, 84, 80, 85, 82, 81, 86, 87, 83, 88]]
57: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 7], [14, 15], [6, 9], [13, 8], [10, 19, 11, 20, 18, 17, 21, 29, 24, 16, 27, 23, 28, 56], [30, 26, 50, 45, 52, 62, 42, 31, 37], [32, 35], [43, 34], [47, 33], [36, 39, 46], [40, 41, 63, 44], [51, 54], [49, 48], [53, 57, 55], [58, 61, 60, 59, 80, 68, 70, 64, 69, 67, 79, 66, 65], [73, 74, 75, 72, 71, 78], [76, 81, 85, 84, 77, 86, 83, 82, 87, 88]]
58: [[38, 5], [25, 2], [12, 22], [3, 4, 1, 6, 14, 15, 11, 7, 10, 19, 8, 26, 24, 9], [20, 17, 23, 13, 16, 21, 29, 31, 28], [32, 27], [30, 48, 34], [58, 62, 41, 36, 18, 47, 42, 39, 35, 37, 33, 44, 40, 45, 43, 46, 50, 51, 53, 52, 61, 49], [55, 56, 54, 57], [59, 60, 63, 64, 69, 70, 72, 68, 67, 66, 71, 65, 79, 78, 76, 73, 74, 75, 77, 81, 84, 83, 80, 82, 87, 85, 86, 88]]
59: [[38, 5], [25, 2], [9, 10], [3, 1, 7, 13, 23], [15, 4], [6, 8], [11, 19, 14, 30, 18, 16, 17, 21, 24, 20, 26], [28, 29, 63, 50, 34, 56, 27, 39, 31, 35, 32, 33, 53, 37, 45, 47, 44, 36, 42, 43, 40, 46, 41, 49], [62, 51, 59, 55, 48, 54, 12, 22], [57, 52, 58, 60, 65, 61, 64, 70, 68, 80], [75, 73, 69, 71, 66, 76], [67, 77, 74, 79], [78, 82], [83, 72, 81, 84, 86, 85, 87, 88]]
60: [[38, 5], [25, 2], [12, 22], [3, 4], [9, 6], [14, 15], [7, 8, 16, 13], [10, 28, 19, 1, 11, 18, 21], [24, 20, 31, 17], [23, 37], [55, 26, 27, 48], [58, 39, 60, 32, 36, 29, 30, 51, 46, 35, 33, 34, 45, 41, 43, 44, 40, 63, 49, 56, 52], [42, 50, 47, 53, 54, 59, 57, 61, 62, 64, 67, 65, 66, 68, 70, 77, 73, 69, 72, 79, 76, 75, 71, 74, 78, 81, 80, 84, 83, 82, 87, 86, 85, 88]]
61: [[38, 5], [25, 2], [12, 22, 3, 4], [1, 7, 14, 13], [6, 9, 24, 11, 8, 10, 15], [23, 19], [16, 17, 20, 18, 21, 27, 26], [29, 50], [31, 32, 58, 33], [30, 55, 42, 40, 34, 52, 39, 43], [37, 36, 35, 28, 44, 45, 46, 49, 41, 48, 62, 47, 53, 54, 57, 51, 56, 60, 63, 59, 61, 66, 73, 68, 64, 65, 71, 69], [76, 67, 77, 72, 78, 74, 79, 80, 75, 83, 84, 70, 81, 82, 86, 85, 87, 88]]
62: [[38, 5], [25, 2, 12, 22], [3, 4, 1], [6, 14, 15], [7, 9], [8, 35, 10], [13, 24, 29, 17, 19, 20, 48, 18, 31], [11, 16, 21, 50], [55, 62, 34, 28, 26, 23], [27, 40], [30, 36, 39, 43], [37, 51], [42, 41], [32, 54, 57], [49, 44, 46], [52, 33, 45, 47, 58, 63, 56, 60, 53, 61], [59, 80, 66], [69, 73, 64, 67, 65, 71, 68, 76, 77, 74, 70], [79, 78, 72, 84, 75, 85, 82, 86, 87, 83, 81, 88]]
63: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15, 8, 13, 40, 9], [10, 11, 19, 20, 23], [16, 7], [17, 18], [27, 21, 30, 24, 29, 26, 31, 55, 45, 28, 51, 33], [44, 39, 32, 52], [34, 35, 37, 42, 41, 36, 43, 56, 47, 46, 53, 58, 48, 50, 49, 54, 57, 60, 61, 62, 59, 63, 67, 66, 69, 68, 64, 70, 73, 78, 71, 76, 72, 65, 74, 75, 77, 79, 81, 82, 80, 83, 86, 85, 84, 87, 88]]
64: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6, 13, 14], [7, 15, 8, 41, 11, 18, 9, 10, 26, 20, 19, 17], [16, 30], [21, 29], [28, 31, 23, 24, 35, 33, 44, 27, 32, 54, 36, 39, 34, 43, 40, 46, 37, 45, 55], [56, 47, 42, 48, 49, 50, 63, 53, 57], [51, 52, 61], [58, 60, 59, 62], [65, 69], [66, 64], [68, 75, 71], [70, 67, 78, 72], [73, 76, 74, 77, 79, 81, 80, 82, 84, 85, 86, 87, 88, 83]]
65: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 6, 14, 15, 8, 13, 7, 42, 10, 17], [21, 19, 26, 18, 27, 16, 24, 23, 31, 50, 51, 57, 20, 62, 43, 28, 9, 29, 33, 30, 36, 63, 11, 34, 32, 35, 41, 44, 37, 39, 46, 40, 49, 45, 47, 56, 53, 48, 58, 59, 54, 52, 55, 60], [61, 64, 69, 65], [74, 68, 67, 70, 66, 75, 73, 79, 71, 72, 78, 76, 77, 86, 81, 80, 83, 82], [87, 84, 85, 88]]
66: [[38, 5], [25, 2], [12, 22, 3, 4, 9, 1, 6, 15, 13, 7, 8, 10], [11, 27, 16, 21, 14, 17, 24], [30, 18], [58, 26], [19, 20, 28], [23, 29], [32, 49], [59, 63, 31, 50], [47, 34, 33, 37, 35], [44, 36, 42, 39, 40, 52, 41], [51, 45], [43, 46, 55, 48, 53, 54, 60, 56, 57, 62, 61, 72, 68, 64, 65, 69, 67, 75], [66, 71, 76], [78, 73, 77, 70], [74, 79], [81, 84, 80, 83, 82], [86, 87], [85, 88]]
67: [[38, 5], [25, 2, 12, 22, 3, 4, 1, 6], [14, 15], [7, 24, 8, 42, 10, 13, 9], [16, 17], [19, 21], [11, 20], [18, 29, 23, 62], [28, 59], [30, 26], [35, 31], [32, 51, 40, 33, 27, 36, 44, 39, 34, 37, 45, 41, 43, 46, 47, 52, 48, 53, 54, 61, 55, 57, 58, 50, 56, 49, 60, 63, 64, 70, 69, 66, 67, 71, 65, 68, 72, 73, 78, 76, 74, 75, 79, 77, 84, 81, 80, 82, 85, 83, 86, 87, 88]]
68: [[38, 5], [25, 2], [12, 22], [3, 4, 1, 7], [14, 15, 6, 9], [8, 41], [10, 26], [11, 20], [18, 13, 17, 29, 21, 16, 19, 23, 28, 24, 30], [27, 50], [37, 36, 54, 44, 32, 33, 31, 35, 39, 34, 43, 45, 46, 52], [48, 42, 40, 47, 51, 49, 55, 56], [57, 53], [59, 62], [58, 61], [60, 63, 80, 65, 70, 64, 69, 67], [79, 66, 68, 72, 74, 75, 73, 71, 78, 77, 83, 85, 76, 82, 81, 84, 86, 87, 88]]
69: [[38, 5], [25, 2, 12, 22], [3, 4, 1], [6, 14, 15], [11, 9], [8, 7], [10, 13, 24, 29, 16, 17, 21, 19, 18], [27, 26, 20, 23], [50, 30, 31, 32, 36, 59], [51, 28], [44, 33, 34], [37, 39, 35, 43, 40, 58, 47, 55, 42, 54, 48, 46, 49, 41, 45, 52, 53, 63, 60, 56, 62, 61, 57, 72, 66, 65, 77, 64, 67, 68, 70, 73, 75, 69, 74], [71, 76, 79, 78], [80, 82, 85, 84, 87, 83, 86, 88, 81]]
70: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6, 14], [15, 11, 7, 10, 8, 9, 28, 13, 17, 18, 19, 27, 16, 24, 26, 31, 20, 21, 55, 23, 60, 56, 33], [29, 36, 45, 44, 50], [52, 62, 30, 57, 40, 34, 46, 32, 41, 39, 43, 35, 37], [42, 47, 48, 51, 54, 49, 59, 53, 58, 61, 63, 73, 66, 69, 67, 64, 65, 79, 70, 68, 72, 71, 75, 74, 76, 78, 77, 80, 82, 81, 86, 84, 83, 87], [85, 88]]
71: [[38, 5], [25, 2, 12, 22], [3, 4, 1], [6, 14], [15], [42, 8, 7, 28, 9, 21, 29, 11, 17, 16, 24, 13], [27, 23, 30, 18], [55, 19, 26, 20, 41, 57, 32, 31, 44, 35, 49, 51, 53, 61, 33, 36, 34, 37, 45, 39, 56, 40, 60, 50, 48, 43, 46, 62, 47, 52, 58, 54, 86, 63, 65, 66, 67, 59, 70, 78, 64, 76, 74, 68, 69, 77, 71, 79, 72, 10], [73, 82, 75, 81, 80, 84, 83, 87, 85, 88]]
72: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 15], [14, 7, 6, 9], [10, 35, 8, 19, 26, 21, 18], [11, 13, 20, 17, 27, 16, 23, 34], [53, 30], [28, 33, 62, 24], [32, 39, 60, 45, 31, 29, 40, 36, 42, 41, 43, 37, 44, 46, 49, 47, 51, 50, 55, 52, 56], [58, 48, 63, 61, 54, 57, 59, 64, 70, 69, 66, 73, 67, 78, 72, 71, 65, 68, 76, 74, 79, 77, 75, 86, 80, 82, 81, 85, 87, 84, 83], [88]]
73: [[38, 5], [25, 2], [12, 22, 3, 4], [1, 6, 14, 15], [7, 10, 11, 20, 8, 9, 17, 27, 21, 18, 24, 29, 16, 26, 19, 23, 56, 28, 30, 31], [40, 60, 48, 36, 13, 32, 39, 61, 37, 34, 33, 41, 43, 42, 47, 35, 44, 45, 46, 49, 50, 53, 58, 54, 51, 63, 52, 55, 59, 57, 62, 72, 66, 65, 67, 64, 68, 73, 75, 70, 69, 77, 74, 71, 78, 76, 79, 86, 80, 81, 82, 84, 87, 83, 85, 88]]
74: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 6], [14, 7], [8, 15], [9, 13, 10, 11, 20, 23, 16, 21, 17, 29, 30, 61, 18, 27, 56, 24, 28, 26, 54, 31, 62, 43, 19, 42, 33, 46, 32, 41, 49, 35, 34, 57, 37, 39, 40, 45, 44, 36, 47, 58, 51, 52, 50, 48, 53, 60, 55], [59, 63, 66, 69, 64, 77, 65, 68, 71, 67, 72, 74, 76, 78, 73, 70, 79, 75, 84, 80, 83, 82, 81, 86, 85, 87, 88]]
75: [[38, 5], [25, 2], [12, 22, 3, 4], [9, 1], [14, 15, 6, 8, 10, 11, 26, 18, 13, 16, 29, 20, 23, 19, 28, 31, 59, 17], [21, 24, 30, 27, 49, 61, 63, 32, 41, 7, 34, 33, 36, 37, 54, 39, 35, 40, 45, 44, 42, 46, 43, 52, 47, 48, 56, 55, 50, 51, 53, 58, 62, 60, 57, 64, 69, 67, 73, 66, 68, 78, 71, 72, 65, 70, 75, 76, 74, 77, 79, 81, 85, 80, 82, 83, 84, 87, 86, 88]]
76: [[38, 5, 25], [2, 12, 22], [3], [4, 1, 7, 14, 11, 6, 8, 51, 13, 23], [9], [16, 17], [21, 19, 18, 20, 15, 30, 28, 58, 26, 55, 24, 52, 34, 46, 27], [45], [29, 32], [31, 62], [35, 33, 36, 37], [40], [41, 42, 60, 57, 56, 48], [43, 44, 63, 47, 39, 10], [49, 50, 59, 53, 54, 61], [65, 68, 69, 67], [66, 64], [72, 78, 70, 73], [77, 74, 71, 75, 76, 79, 83, 84, 80, 81, 82, 87, 86, 85, 88]]
77: [[38, 5], [25, 2, 12, 22], [1, 3, 4, 6], [14, 15], [7, 9], [10, 32], [8, 11], [17, 30, 16], [13], [21], [24], [27, 35, 26, 28, 18, 31, 56, 20, 29, 63, 19, 23, 45, 33], [42, 41, 37, 34, 46, 36, 47, 49, 43, 44, 57, 50, 53, 59], [40, 48, 51, 52, 55, 39, 54, 58, 61, 60, 62, 64, 66, 71, 65, 68], [67, 76, 79, 70, 72, 69, 73, 77, 74, 75, 78, 82, 86, 80, 81, 85, 83, 84, 87, 88]]
78: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 1], [14, 15, 7], [6], [10, 18, 17, 11, 8, 13, 26, 28, 16, 29, 31], [20, 19, 21, 58], [23], [24, 27, 30, 44, 52, 40, 39, 32, 43, 33], [42, 34, 55, 35, 36, 37, 41, 47, 45, 46, 48], [62, 49, 56, 50, 54, 53, 51, 57, 60], [63, 61, 59, 66, 64, 69, 67, 65, 71, 76], [68, 70], [74, 73, 72, 75, 77, 79, 78, 81, 85, 80, 82, 86, 83], [84, 87, 88]]
79: [[38, 5], [25, 2], [12, 22], [3, 4, 8, 1, 14, 15, 7, 13, 10, 6], [11, 16, 24, 9, 18, 20, 19, 23, 32, 21, 35, 57], [26, 31, 17, 27, 34, 29, 41, 28, 30], [42, 37, 39, 49, 55, 44, 36, 60, 40, 45, 43, 50, 47], [51, 52, 48, 33, 62, 59, 46, 56, 61, 53, 63, 54, 58, 66, 68, 69, 65, 73, 71, 64, 74, 75, 70, 76, 72, 79, 67, 78, 77, 82, 81, 83, 80, 84, 86, 85, 87, 88]]
80: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 7, 1, 15, 11, 6], [8, 41, 10, 21, 13, 17, 14, 16, 19, 20, 18, 23, 29, 27, 28], [56, 31, 24, 36, 48, 50, 62, 33, 35, 26, 30], [40, 54, 39, 44, 32, 34, 42, 52, 43, 46, 58, 37, 45, 47, 55, 49, 59, 51, 53, 60, 57, 63, 61, 64, 70, 69, 73, 68, 65, 66, 75, 71, 67, 74, 72, 76, 77, 79, 78, 81, 84, 83, 80, 82, 87, 85, 86, 88]]
81: [[38, 5], [25, 2], [12, 22], [1, 3], [4, 7], [14, 15, 10, 6, 28, 9, 11, 8, 17, 13, 19, 16, 23, 18, 20], [30, 31, 21, 33, 57, 26, 29, 24, 27, 48, 51], [36, 32, 41, 37], [34, 56, 44, 39, 40, 42, 35, 43, 46, 45, 53, 61, 47, 54, 50, 52, 55, 49, 59, 58, 63, 60, 62, 66, 68, 64, 65, 70, 71, 67, 77, 72, 74, 69, 75, 73, 76, 79, 78, 86, 81, 84, 82, 83, 80, 85, 87, 88]]
82: [[38, 5], [25, 2, 12, 22], [3, 4, 1, 6, 7, 15, 9, 10, 8, 34, 11, 29, 21, 14], [16, 20, 17, 59, 18, 19, 27, 24, 23], [31, 32, 26, 52, 30, 48, 56, 28, 33, 37, 55, 35, 39], [13, 36, 40, 46, 42, 45, 47, 43, 41], [62, 44, 50, 51, 53, 54, 49, 61, 57, 60, 58, 63, 64, 70, 69, 65, 66, 67, 74, 68, 73, 71, 77, 72, 75, 76, 78, 79, 84, 85, 80, 81, 82, 83, 86, 87, 88]]
83: [[38, 5], [25, 2, 12, 22], [3, 4, 8, 7, 11, 1, 6, 9, 10, 16, 14, 17, 15, 19], [26, 13, 18, 20, 23, 21, 28, 24, 62, 29, 30, 27, 33, 53, 44, 57, 61, 41, 39, 31, 32, 35, 55, 40, 34, 37, 36, 45, 56, 42, 43, 51, 46, 60, 47, 49, 48, 52, 50, 58, 54], [59, 63, 65, 64, 72, 75, 66, 67, 69, 70, 71, 68, 76, 78, 77, 74, 79, 73, 80], [83, 81, 82, 86, 87, 84, 85, 88]]
84: [[38, 5], [25, 2, 12, 22], [3, 4, 8, 7, 14, 15, 6, 9], [1, 11, 19, 21, 10, 29, 16, 17, 20, 18, 24, 23], [13, 30, 31, 49, 26, 56, 27, 46, 41, 63, 34, 28, 33, 35, 32, 36], [37, 40, 39, 43, 42, 45, 50, 44, 48, 47, 52, 53, 57, 51, 55, 54, 59, 58, 60], [61, 62, 66, 68, 64, 74, 65, 67, 76, 70, 69, 71, 72, 77, 73, 79, 75, 78, 82, 80, 87, 81, 83, 86, 84, 85, 88]]
85: [[38, 5], [25, 2], [12, 22], [1], [3, 4, 15], [6, 11, 7, 10, 8, 9, 13, 21, 50, 14, 18, 17], [16, 24, 19, 54, 20, 58, 31, 26, 23, 27, 28, 29, 57, 39, 36, 37, 30, 34, 35, 44, 32, 41, 42, 63, 43, 45, 40, 46, 47, 33, 49, 51, 55, 48, 52, 53, 56, 61, 60, 62, 59, 66, 65, 68, 64, 69, 67, 70, 74, 76, 78, 73, 71, 72, 75, 79, 77, 80, 83, 81, 82, 84, 86, 87, 85, 88]]
86: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 8, 14, 15, 7], [6, 13, 40, 9, 10, 17, 29, 11, 18, 20, 19, 16, 23], [30, 21, 27, 31, 24, 28, 52, 26, 58], [61, 45, 32, 37, 35, 55, 34, 33, 36, 41, 44, 43, 42], [46, 47], [49, 60, 54, 51, 39, 48, 50, 53, 56, 57, 63, 62, 59, 80, 72, 69, 65, 70, 64, 74, 67, 66, 78, 77, 71, 68, 73, 75, 79, 82, 84, 81, 76], [83, 86, 85, 87, 88]]
87: [[38, 5], [25, 2, 12, 22, 3, 4, 1, 6, 14, 15], [7, 8, 9, 42, 10, 11, 19, 17, 20, 13, 16, 18, 21, 27, 29, 23, 24, 57, 31, 26, 28, 30, 41, 63, 35, 32, 34, 44, 40, 33, 36, 39, 47, 43, 46, 37, 51, 50, 49, 45, 53, 60, 52, 48, 54, 55, 62, 61, 56, 58, 59, 66, 68, 69, 64, 70, 65, 72, 79, 71, 73, 74, 67, 76, 75, 78, 77, 81, 84, 80], [83, 82, 85, 87, 86, 88]]
88: [[38, 5], [25, 2], [12, 22, 3, 4, 1, 6, 14, 15], [7, 11, 9, 39, 10, 8, 18, 17, 24, 19, 20, 21], [27, 23, 29, 31, 28, 48, 33, 26, 35, 34, 60, 53, 36, 58, 32, 16], [37, 30, 13, 43, 41, 44, 46, 49, 45, 42, 40, 47, 50, 54, 57, 55, 56, 59, 61], [62, 51, 63, 52, 66, 68, 65, 80, 64, 67, 71, 69, 76, 74, 72, 75, 77, 78, 79, 73, 84, 81, 86, 70, 87, 82, 83, 85, 88]]
89: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 6], [14, 15, 7, 10], [9, 8], [11, 19, 13, 21, 28], [16, 17], [18, 23, 51, 24], [54, 56, 27, 26, 29], [48, 39, 60], [35, 53], [47, 30, 52, 20, 34], [31, 43, 41, 32], [33, 44], [36, 37], [45, 42], [40, 58], [49, 46, 50, 59], [55, 57, 61], [62, 63], [66, 65], [69, 72], [64, 71, 70, 77, 78, 73], [75, 67, 68, 74], [85], [76, 83, 79, 87, 80, 82, 88, 86, 84, 81]]
90: [[38, 5, 25, 2], [12, 22], [3, 4], [9, 1, 14, 15, 10, 11, 8, 42, 7, 28, 6, 17], [20, 13, 19, 29, 18, 21, 23, 27, 24, 16, 63, 26, 32, 37, 43, 54, 60, 30, 34, 44, 57, 35], [31, 33, 45, 41, 36, 39, 58, 40, 49, 46, 47, 50, 51, 55, 62, 52, 48, 53, 56, 59, 61, 65, 68, 69, 72, 64, 66, 77, 67, 71], [75, 70, 78, 79, 74, 76, 73, 82, 83, 80, 87, 85, 86, 84, 88, 81]]
91: [[38, 5], [25, 2], [12, 22, 3, 4], [1, 15, 6, 13, 7, 11, 9], [36, 14, 8, 17, 10, 24, 16, 19, 21, 18, 31, 29, 26, 23, 56, 20, 27, 30, 32, 52, 61, 44, 34, 33, 53, 35, 60, 37, 47, 40, 28, 42, 39, 41, 43, 45, 57, 46, 50, 51, 62, 49, 48, 54, 59, 55, 68, 58, 65, 63, 66, 80, 70, 74, 78, 71, 67, 72, 73, 69], [75, 77, 79, 76, 86, 81, 83, 64, 82, 84, 85, 87, 88]]
92: [[38, 5], [25, 2, 12, 22], [3, 1], [4, 6], [14, 15], [11, 45, 7, 8], [10, 19, 13], [9, 17], [48, 18], [16, 29], [21, 23], [56, 20], [50, 39], [26, 52, 61], [62, 24], [47, 32, 37, 55, 51, 41, 27, 28, 60, 30, 34, 31, 35, 54, 33, 36], [40, 43, 44, 42, 46, 58, 49, 53, 63, 57, 59, 66, 68, 65, 64, 69, 71, 67, 77, 73, 78], [70, 72, 79, 75, 74, 76, 84, 86, 80, 82, 81, 83, 85, 87, 88]]
93: [[38, 5], [25, 2, 12, 22], [1, 6], [3, 4, 14, 15], [7, 9, 8, 27, 10, 11], [17, 26, 13, 19], [16, 21], [18, 29], [28, 20, 58, 30], [31, 62], [24, 32, 50, 39, 35], [36, 34, 63, 49], [37, 47, 41, 46, 40, 42], [23, 44, 45, 33], [51, 54], [52, 59, 43, 56], [48, 53, 55, 61, 57, 60, 72, 70, 66, 67, 68, 64, 65, 74, 69, 73, 77, 75, 71, 76, 79], [78, 83, 80, 82, 81, 84, 87, 86, 85, 88]]
94: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 14], [10, 15], [7, 9, 6, 8, 13, 18], [20, 11, 17, 16, 19, 21], [23, 27, 28, 26, 24, 53, 30, 31, 32, 34, 57, 59, 44], [36, 29, 55, 41, 33, 35, 37, 42, 40, 46, 43, 49, 63, 50, 47, 48, 54, 39, 45, 51, 52], [56, 58, 60, 62, 61, 65, 66, 64, 67, 68, 71, 70, 69, 74, 76, 75, 72, 77, 78, 73, 79, 84, 85, 82, 80, 83, 86, 81, 87, 88]]
95: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15], [7, 9], [10, 13], [8, 11], [17, 24, 16, 19], [23, 18], [31, 26], [21, 27], [30, 58, 49, 20], [44, 55], [36, 29], [33, 60, 46, 37], [34], [32, 39, 45, 35, 42, 41, 61, 43, 40, 50], [47, 51, 53, 57, 59, 48, 54, 62, 56, 52, 63], [65, 64, 68, 71, 67, 76, 69, 75, 70], [73, 66, 78, 72, 74, 79, 82, 77], [84, 80], [86, 83, 87, 81, 85, 88, 28]]
96: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 14], [10, 15], [7, 9, 6, 8, 13, 18], [20, 11, 17, 16, 19, 21], [23, 27, 28, 26, 24, 53, 30, 31, 32, 34, 57, 59, 44], [36, 29, 55, 41, 33, 35, 37, 42, 40, 46, 43, 49, 63, 50, 47, 48, 54, 39, 45, 51, 52], [56, 58, 60, 62, 61, 65, 66, 64, 67, 68, 71, 70, 69, 74, 76, 75, 72, 77, 78, 73, 79, 84, 85, 82, 80, 83, 86, 81, 87, 88]]
97: [[38, 5], [25, 2], [12, 22, 3], [4, 1], [6, 9, 15, 10, 7, 11, 36, 8, 14, 17, 27, 13, 20], [18, 16, 21, 19, 26, 23, 28, 53], [24, 29, 63, 51], [35, 56, 37, 30, 31, 32, 33, 42, 40, 34], [47, 39, 46, 45, 41, 44, 49, 48, 54, 50, 43, 52, 55], [60, 58, 62, 57, 59, 61, 80, 68, 64, 66, 70, 65, 73, 71], [67, 76, 75, 69, 72, 77, 74, 81, 86, 78, 79, 82, 83, 87, 84, 85, 88]]
98: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 9], [11, 15], [7, 6, 8], [33, 10, 14, 17, 13, 21, 16, 24, 28, 18, 23, 26, 27, 20, 53, 29, 30, 58, 19, 35, 63], [46, 31], [32, 37], [47, 42], [34, 41, 43], [39, 36], [57, 40, 44, 45, 48, 51, 50, 49, 52, 55, 61, 62, 54], [56, 60, 59, 80, 65, 69, 73, 64], [68, 77, 67, 70, 76, 75, 71, 72, 66, 78, 74, 83], [79, 85, 81, 86, 87, 82, 84, 88]]
99: [[38, 5], [25, 2, 12, 22], [1, 3], [9, 7, 14, 15], [6, 4, 8, 10, 11, 13], [49, 26, 17, 19], [23, 16], [18, 29], [27, 20, 58, 54, 21, 60, 24, 37, 42, 39, 50, 45, 36, 57, 33], [28, 46, 34, 30, 41, 47, 31, 32, 44, 35, 56, 40, 52, 43, 59, 63, 48, 53, 55, 51, 61, 62], [65, 70, 66, 67, 64, 71, 72, 79], [74, 78, 68, 76, 73, 75, 77, 69, 83, 80, 82, 81, 84], [87, 85, 86, 88]]
100: [[38, 5], [25, 2, 12, 22, 3, 4, 1, 6], [14, 15], [7, 10, 9, 43, 8, 11, 13], [28, 16], [17, 19], [20, 31], [60, 21, 18, 23], [57, 49], [27, 24], [40, 51], [59, 56], [26, 37, 47, 32, 29, 30], [34, 35, 44], [42, 33, 45, 36], [39, 41, 58, 50, 52, 46, 55], [48, 61, 54, 53, 62, 63, 67, 69, 68, 64, 65, 79, 66, 78, 72, 75, 70, 73, 71, 74, 77, 76, 84, 80, 81, 82, 86, 83, 85, 87, 88]]
101: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 7], [15, 6], [11, 9, 8, 42, 10], [13, 20, 28, 17], [14, 19], [16, 18], [27, 23, 21], [24, 31], [26, 29, 49, 44, 46, 53, 30, 41, 32, 43], [45, 35, 37, 36, 33, 60, 52, 34, 62, 51, 40, 39, 47, 48, 61, 54, 55, 56, 50, 57, 59, 58, 63, 65, 66, 70, 64, 69, 68, 72, 71, 67, 74, 75, 77, 73, 76, 78, 79, 84, 80, 81, 83, 82, 85, 86, 87, 88]]
