0: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [13, 8, 29, 14, 10, 21, 6], [15, 16, 23, 22, 17, 25, 18], [20, 27, 26, 19, 30, 31, 56, 32], [47, 39, 40, 33, 36, 37], [45, 38, 42, 41, 43], [46, 44, 50, 53, 54], [49, 57], [48, 51, 52, 55, 58, 59, 60]]
74: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10], [6, 8, 25, 13, 14, 29, 17, 15, 19, 20], [18, 16, 26, 30, 22, 21, 23], [31, 27, 40, 36, 38, 43, 37, 41], [54, 47, 33, 39], [42, 45, 46, 44, 51, 49, 32, 55, 52, 48, 57], [50, 58, 53, 56, 59, 60]]
75: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5, 10, 8, 13, 6, 14], [21, 29, 15, 19, 22, 20, 18, 16, 17, 30, 23, 31, 25, 26, 45], [49, 32, 27, 33, 36, 37, 48, 46, 47, 42, 43, 44, 40, 41, 60, 59, 38, 51, 39, 52, 50, 57, 55, 53, 56, 54, 58]]
76: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 14], [8, 29, 6, 10, 21], [13, 15, 16, 19, 20, 23, 17, 18], [25, 27, 26, 22, 30, 31], [56, 33, 37, 38, 40, 32], [44, 36, 45, 42, 43], [41, 47, 46], [49, 50, 53, 39, 48, 54, 55], [51, 52, 57, 58, 59, 60]]
77: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [8, 26, 10, 14, 13, 21], [6, 15, 18, 16, 20, 17, 27, 22, 23, 25, 29, 19], [30, 31], [56, 32, 37, 33, 44, 41, 38], [36, 39, 42, 45, 40, 43, 46, 60, 50, 55, 48, 57, 49, 47, 51, 52, 54, 53, 58, 59]]
78: [[28, 35, 2, 34, 1], [7, 11], [3, 12, 4, 24, 9, 5, 6], [13, 8, 14, 15, 18, 19, 16, 23, 22, 17, 20, 10, 21, 31], [27, 26, 25, 30, 29, 40, 32, 46, 41, 36, 43, 39, 37, 42, 33, 44, 38, 55, 45, 47, 57, 49, 48, 51, 56, 50, 54, 52, 53, 59, 58, 60]]
79: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9], [5, 8, 10, 14, 6, 16], [23, 31, 13], [27, 15, 21, 18, 22, 26, 17, 19, 20, 25, 29, 45, 30, 32, 53, 44, 33, 39, 37], [38, 46, 41, 47, 40, 42, 59, 36, 43, 52, 58, 50, 55, 48, 51, 56, 49, 57, 54, 60]]
80: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24], [9, 5, 14, 8, 6, 10, 13, 29, 26, 15, 17, 27, 16, 18], [19, 22, 30, 20, 21, 23, 31], [25, 36, 52, 44, 33, 32, 47, 46, 40, 39, 38, 43, 41], [42, 45, 48, 55, 51, 49, 37, 50, 53, 54, 58, 56], [57, 60, 59]]
81: [[28, 35, 34, 2, 1, 7, 11, 3, 12, 4, 24, 9], [5, 10, 6, 8, 15, 31, 21, 13, 17, 22, 16, 20, 25], [19, 26, 29, 23, 18, 30], [27, 32, 44, 33, 37, 14], [40, 36, 38, 39, 45, 41, 46, 42, 43, 47, 49, 51, 48, 52, 54, 56, 55, 50, 53, 57, 59, 58, 60]]
82: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5, 6, 10, 15, 8, 14], [29, 13, 16, 17, 18, 22, 20, 23, 19, 30, 21, 25, 27], [31, 53, 33, 32, 26, 38], [47, 37], [41, 40, 36, 39, 42], [43, 44, 45, 49, 46, 59, 50, 48], [51, 54, 52, 56, 58, 55, 60, 57]]
83: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9], [5, 6, 8, 25, 14, 10], [20, 13, 15, 16, 21, 18], [17, 19, 22, 23, 27, 26], [30, 29, 31, 40, 36, 39], [38, 44, 33, 32, 37], [45, 47, 42, 41, 43, 46, 52], [58, 48, 51, 56, 49, 50], [53, 54, 55, 57, 59, 60]]
84: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4], [24, 9], [5, 10, 8, 6, 14, 13], [29, 15, 21, 16, 25, 17, 27, 20, 19, 30], [22, 18, 23, 31, 26, 49, 48], [38, 33, 37, 41, 32, 36, 45, 39, 46, 40, 44, 57, 50], [53, 58, 47, 42, 43, 52, 51, 55, 56, 54, 59, 60]]
85: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10, 6], [8, 13, 14, 21, 31, 20, 15], [19, 17, 23, 16, 26, 18], [22, 25], [29, 27, 30, 56, 36, 33, 49], [45, 41, 32, 37, 39, 44, 47, 40], [43, 55, 48, 54], [38, 53, 52, 50, 42, 58, 46, 51, 57, 59, 60]]
86: [[28, 35, 34, 2, 1, 7, 11, 3, 12], [4, 24, 9, 5, 8], [10, 13, 6, 14, 31, 19, 15, 17, 25, 16, 18, 22, 26, 20], [23, 58, 29, 27, 30, 40, 48], [21, 53, 32, 39, 45, 33, 36, 37, 42, 38, 46, 44, 47], [55, 54, 43, 41, 49, 50, 51, 52, 56, 59, 60, 57]]
87: [[28, 35, 2, 34, 1, 7], [11, 3, 12], [4, 24, 9, 5, 10, 8, 30, 6, 18, 23, 13, 22, 29, 19, 14, 15, 17, 20, 16], [21, 58, 25, 27, 45, 48, 32, 31, 37, 26, 36, 38, 42, 47, 39, 40, 33, 41, 43, 44, 50, 46, 55, 49, 53], [51, 59, 57, 52, 56, 54, 60]]
88: [[28, 35, 2, 34, 1, 7, 11, 3, 12, 4, 24, 9], [5, 10, 8, 6, 14, 15, 20], [31, 13, 26, 19, 17, 18], [16, 21, 23, 22, 25], [29, 27, 30, 56, 32], [39, 38, 40, 41, 33, 36, 46, 45, 44, 43], [42, 47, 37, 48, 51], [49, 52, 59, 54, 50, 53, 60, 55, 57, 58]]
89: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 14], [10, 6, 8, 16, 23, 29, 18, 27, 17, 13, 15, 22], [26, 19, 20, 21, 25, 31, 44, 30], [32, 53, 36, 33, 38, 39, 40, 46, 60, 37, 42], [43, 50, 52, 45, 47, 41, 49, 51, 48, 55, 59, 54], [58, 56, 57]]
90: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9], [5, 14, 8, 6, 10, 13, 19, 15, 22, 16], [17, 21, 18, 23, 20], [25, 26, 31], [27, 30, 29, 48, 32, 37, 36, 53, 33, 39, 44], [41, 38, 42, 43, 40, 46], [49, 47, 55, 45, 52], [54, 50, 51, 56, 60, 59, 58, 57]]
91: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24], [9, 5, 10, 14, 6, 8, 13], [21, 30, 16, 26, 22, 20, 15, 18, 19, 23, 25], [27, 29], [31, 58, 40, 48, 37, 17, 39, 32, 45, 33, 41, 38, 47, 36, 43, 42, 44, 51, 46, 54, 49, 53, 52, 55, 57, 50, 59, 56, 60]]
92: [[28, 35, 34, 2, 1, 7], [11, 3, 12], [4, 24, 9, 5, 8, 14], [15, 13, 10, 21, 6, 16, 23], [19, 20, 17, 25, 18, 31, 26], [27, 22, 29, 30, 44, 32], [37, 40], [45, 36, 38, 33, 39, 41, 46], [42, 43, 50, 49], [51, 54, 53, 47, 48, 52], [55, 57, 56, 58, 59, 60]]
93: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9], [5, 10, 8, 14, 19, 13, 15, 25, 6, 17], [29, 18, 16, 20, 22, 21, 23, 26], [27, 30, 54, 53, 48, 31, 32, 44, 38, 37], [33, 36, 46, 43, 40, 41, 39], [42, 59], [45, 47, 50, 49, 60, 52, 51], [55, 56, 58, 57]]
94: [[28, 35, 2, 34, 1, 7, 11, 3], [12, 4, 24, 9, 5, 8], [14, 13, 6, 10, 22, 29, 15], [18, 17, 21, 19, 16, 30, 20, 23], [55, 25, 26, 27, 40], [48, 31, 56, 37, 39, 45, 36], [43, 32, 38, 46, 44, 49, 33, 47], [52, 42, 51, 60, 53, 50, 59], [41, 54, 57, 58]]
95: [[28, 35, 34, 2, 1, 7, 11, 3, 12, 4, 24, 9, 5, 10, 8], [15, 6, 14, 13, 16, 19, 25, 21, 20, 17, 22, 18, 23, 29], [58, 26, 27, 31, 48, 36, 45, 33, 30, 32, 39, 40, 46, 38, 41, 37, 43, 47, 42, 44, 53, 51, 52, 50, 49, 54, 57, 55, 59, 56, 60]]
96: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10], [8, 15, 6, 29, 14, 13, 18, 16, 20], [22, 19, 17, 23, 25], [31, 26, 56], [30, 44, 42, 32, 47, 33], [36, 21, 37], [27, 45, 39, 40, 41, 43, 38, 51, 46, 48, 49, 50], [55, 52, 54, 53, 57, 59, 60, 58]]
97: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10], [8, 14, 6, 13, 15, 25], [23, 18, 20, 19, 16, 17, 21], [22, 29, 26, 27, 30, 31], [44, 48, 33, 40, 32, 39, 37, 41, 42, 38, 36, 46, 43, 52, 59, 45, 47, 51, 57, 49, 54, 50, 56], [55, 53, 58, 60]]
98: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [14, 8, 6, 10, 13, 25], [15, 27, 16, 21, 19, 18, 20], [17, 22, 23, 26, 29, 30, 60, 56, 31, 33], [36, 45, 37, 39, 42, 38, 40], [32, 44, 46, 41, 53, 43, 49, 47, 48, 51, 52, 50, 54, 55, 58, 59, 57]]
99: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9], [5, 14, 8, 6, 10, 13], [19, 31, 16, 15, 20, 22], [18, 17, 23, 21, 29, 27, 25], [30, 26, 56, 42, 32, 36], [37, 55, 38, 41, 47, 40, 33, 39, 44, 60, 48, 43, 45, 46, 59, 49, 57, 50, 51], [53, 52, 54, 58]]
100: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4], [24, 9], [5, 10, 6, 15, 8, 14], [21, 13, 26, 16, 17, 22], [19, 25, 20, 29, 31, 18], [23, 27, 30, 37, 48], [33, 32, 45], [38, 39, 36, 40, 41, 46, 42], [47, 43, 44, 50, 59, 49, 53], [51, 60, 52, 55, 58, 56, 54, 57]]
101: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5], [10, 6, 14, 8, 29, 17, 13, 19, 16, 26], [20, 15, 31, 18, 21], [23, 22, 25], [27, 30, 56, 32, 47, 37, 33, 40], [36, 39, 42, 38, 41, 44], [54, 43, 57], [50, 48, 49, 45, 46, 53, 52, 55, 51, 58, 59, 60]]
102: [[28, 35, 34, 2, 1, 7, 11, 3, 12, 4, 24, 9, 5, 10, 8, 15, 20, 13, 6, 14, 16, 19, 21, 18, 17, 22], [26, 25, 23, 27, 58, 31, 30, 36], [32, 29, 33, 38, 39, 45, 40, 41, 46, 43, 44, 47, 48, 37, 42, 49, 50, 51, 52, 53, 54, 57, 59, 55, 60, 56]]
103: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24], [9, 5, 10, 6, 8], [14, 15, 20, 13, 16, 19], [22, 21], [23, 17, 18, 27, 31, 26, 25], [30, 29, 56, 32, 45, 33, 38], [42, 39, 44, 46, 36, 40, 43, 47, 48, 52, 49, 53, 41, 37, 54, 51, 55, 50, 57, 60, 58, 59]]
104: [[28, 35, 34, 2, 1, 7, 11, 3, 12, 4, 24, 9], [5, 10, 8, 13, 14, 15, 21], [31, 18, 16, 17, 20, 19, 23, 27, 22, 25, 26], [29, 32, 30, 56, 37, 40, 6, 41, 43, 38], [44, 36, 45, 55, 39, 42, 47], [52, 54, 33, 50, 58, 46, 49, 48, 53], [59, 51, 60, 57]]
105: [[28, 35, 2, 34, 1, 7, 11, 3, 12, 4, 24], [9, 5, 10, 8, 6, 14, 13], [19, 30, 17, 15, 16, 18, 31, 21], [20, 22], [23, 26, 27, 25, 57], [58, 32, 37, 29, 41, 39, 46], [38, 33, 42, 45, 36, 40, 47, 50, 52, 51, 43, 55, 44, 48, 54, 53, 56, 60, 59, 49]]
106: [[28, 35, 34], [2, 1, 7, 11, 3, 12, 4, 24, 9, 5, 6, 14, 8, 10, 15, 21, 13, 26, 17, 23, 16, 18, 19, 30, 20, 31, 22, 25, 27, 52, 56, 40, 57, 49, 37, 43, 38], [32, 45, 29, 51, 33, 42, 46, 48, 47, 60, 36, 39, 55, 41, 44, 50, 59, 53, 54, 58]]
107: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4], [24, 9, 5, 6, 10, 13, 20], [8, 29, 15, 16, 30, 17], [26, 14, 22, 19, 23], [18, 25, 27, 31, 43], [42, 32, 21, 37, 36], [33, 50, 38, 46, 39, 44], [47, 40, 58, 41, 49], [45, 52, 51, 48, 53, 54, 55, 56, 59], [60, 57]]
108: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5], [14, 8, 6, 18, 13, 19, 15], [23, 17, 21, 10, 16, 31, 20, 22], [26, 27, 25, 38, 30, 56], [32, 29, 33, 53, 44, 39, 40], [37, 42, 41, 46, 36, 58], [49, 47, 43, 45, 52], [51, 54, 48, 50, 55, 59, 57, 60]]
109: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10, 14, 6, 8, 13, 23], [15, 17, 18, 20, 21, 19, 16, 25], [22, 31, 58, 26, 27, 36, 60, 32, 29, 59, 33], [30, 47, 37, 39, 57, 40, 43, 46, 50, 53, 38, 48], [41, 44, 45, 51, 54], [49, 42, 52, 55, 56]]
110: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10], [8, 14, 6, 13, 25, 15, 16, 26, 17], [30, 19, 20, 18, 23], [27, 29, 21], [22, 31, 42, 32, 37, 41], [36, 33, 39, 38, 40], [43, 46], [45, 44, 47, 49, 51], [48, 53, 50, 52, 54, 56, 57, 55, 58], [59, 60]]
111: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5, 14], [8, 6, 10, 13, 30, 29, 20], [18, 16, 22, 27, 15, 17, 23, 19], [21, 25, 26, 38, 40], [48, 31, 32, 37, 46, 33, 39, 42], [43, 44, 41, 36, 47, 51, 45], [55, 54, 53, 56, 59, 49, 58], [50, 52, 60, 57]]
112: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5], [14, 6, 10, 8, 13, 18, 30], [22, 17, 20, 16, 19, 21], [23, 15, 25, 26, 29, 27], [46, 41, 32, 38, 44, 31], [33, 43, 36, 39, 40, 42, 37, 47, 45, 48], [50, 49, 54], [53, 52, 51, 56, 59, 55, 58, 57, 60]]
113: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9], [5, 10, 8], [14, 6, 13, 15, 25, 22], [16, 21, 18, 19, 17, 23, 20, 29], [26, 27, 30, 31, 40, 48, 59], [33, 36, 37, 39, 42, 32, 38, 45, 41, 46, 43, 50, 53, 44, 47, 55, 52, 49, 54, 51, 57, 56, 58, 60]]
114: [[28, 35, 2, 34, 1, 7], [11, 3, 12], [4, 24, 9, 5, 8, 10], [14, 6, 15, 29, 13], [17, 18, 20, 19, 23, 16, 21], [22, 25, 30, 27, 31, 26, 48, 32, 45, 33, 37], [36, 39], [43, 42, 38, 40, 46, 41, 44, 60, 51, 47, 49, 56, 53, 52, 55, 58, 50, 57, 54, 59]]
115: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5], [10, 6, 15, 13, 8, 23, 14, 16, 17, 22], [20, 18, 25], [21, 31, 30], [26, 19, 29, 27, 40, 48, 33, 37, 32, 36, 45, 42, 47, 38, 46, 41, 43, 49, 44, 51, 53, 39, 55, 57, 50, 54, 59, 56, 58, 52, 60]]
116: [[28, 35, 2, 34, 1, 7, 11, 3, 12, 4], [24, 9, 5, 10, 6, 8, 14], [15, 13, 20, 21, 16, 18, 27, 25], [23, 17], [29, 19, 22, 26, 31], [30, 40, 33, 45, 38, 42, 32, 36, 41, 43, 39, 44, 46, 37, 47, 50, 59, 52, 48, 49, 55, 57, 51, 53, 54, 56, 60, 58]]
117: [[28, 35, 2, 34, 1, 7, 11, 3, 12], [4, 24, 9, 5, 14], [8, 18, 6, 15, 21, 13], [10, 16, 17, 23, 22, 20], [19, 29, 31, 26, 27], [25, 30, 38], [32, 37, 36, 40, 47, 33, 42], [39, 41, 43, 44, 45, 46, 54], [50, 51, 48, 52, 53, 49, 55, 58], [56, 59, 57, 60]]
118: [[28, 35, 2], [34, 1, 7, 11, 3, 12], [4, 24, 9, 5, 14, 6], [8, 10, 13, 20, 21, 22, 17, 23, 16, 19], [18, 25, 15, 26, 29, 30, 27, 44], [57, 48, 37, 32, 45, 52, 54, 31, 42, 36], [46, 38, 33, 43, 41, 51, 53, 55], [39, 40], [60, 47, 59, 49, 56, 58, 50]]
119: [[28, 35], [2, 34, 1, 7, 11, 3, 12, 4], [24, 9], [5, 14, 8, 10, 15], [13, 21, 30, 26, 6, 17, 19, 23], [18, 16, 20, 22, 25, 29], [27, 31, 56, 58, 33, 32], [41, 39, 46], [38, 36, 40, 37, 42, 43], [47, 50, 53, 45, 54, 44, 48, 49], [51, 55, 57, 60, 59, 52]]
120: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10, 6, 14, 13], [8, 17, 15], [25, 16, 20], [22, 18, 19, 21, 23, 26], [30, 27, 29, 31, 40], [33, 36, 37, 38, 39, 45, 32], [42, 46, 47, 43, 41, 50, 44, 51, 52, 54, 49], [53, 56], [55, 57, 48, 58, 59, 60]]
121: [[28, 35, 2], [34, 1, 7], [11, 3, 12, 4, 24, 9], [5, 10, 8, 6, 14, 15], [13, 25, 22, 16, 19], [21, 26, 17, 31, 18, 20], [23, 27, 29, 30, 56, 32], [38, 36, 37, 39, 33, 45, 40, 42, 44, 43, 47, 41, 52], [48, 49, 55, 46, 51], [53, 57, 54, 58, 50, 59, 60]]
