0: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55, 4], [8, 13, 6, 21], [14, 35, 39], [9, 29], [15, 16, 10, 18], [24, 11, 17, 12], [32, 20, 19, 26], [33, 25, 34], [28, 22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52], [53, 59], [57, 49]]
74: [[58, 27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8], [13, 6], [21, 14, 35], [39, 9, 29], [15, 10, 16], [24, 11, 17], [33, 32, 20], [19, 26, 18, 25], [34, 28, 22], [23, 40, 41], [37, 12, 36, 50], [44, 51, 46, 45], [47, 56, 48, 54], [60, 52], [53, 59, 57, 49]]
75: [[58], [27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13, 6], [21, 14, 35], [39, 9, 29], [15, 16, 10], [18, 24, 11], [17, 12], [32, 20], [19, 26, 25], [34, 28, 22, 23], [40, 41, 37], [33, 36, 50], [44, 51, 46], [45, 47], [56, 48, 54], [60, 52, 53, 59], [57, 49]]
76: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42, 3], [55, 4], [8, 13], [21, 6, 14], [35, 39, 9], [29, 16, 15], [10, 18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25, 34], [28, 22, 23], [40, 41, 37], [36, 50, 44], [51, 46, 45], [47, 56, 48], [54, 60], [52, 53], [59, 57], [49]]
77: [[58], [27, 30], [43, 31], [7, 2], [1, 5], [38, 42], [3, 55, 4], [8, 13, 6], [21, 14], [35, 39], [9, 29, 15], [16, 10, 18], [24, 12, 11], [17, 32, 20], [19, 26, 33], [25, 34, 28], [23, 22, 37], [41, 40, 36], [50, 44, 51], [46, 45], [47, 56], [48, 54], [60, 52, 53], [59, 57, 49]]
78: [[58, 27], [30, 43, 31], [7, 2], [1, 5], [38, 42, 3], [55, 4, 8], [13, 21, 6, 14], [35, 39, 9, 29], [16, 15, 10], [18, 24, 11, 17], [12, 32, 20], [19, 26, 33], [25, 34, 28], [22, 23, 40], [41, 37], [36, 50], [44, 51], [46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
79: [[58], [27, 30, 43], [31, 7, 1], [5, 38], [42, 3, 55], [4, 8, 13], [21, 14], [6, 35, 39], [2], [9, 16, 15], [29, 24], [10, 12, 18], [11, 17], [32, 20, 19], [26, 33], [25, 34, 28, 22, 23], [40, 41, 37, 36], [50, 44], [51, 46, 45], [47, 56, 48], [54, 52, 60], [53, 59], [57, 49]]
80: [[58, 27], [30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4, 8], [13, 6, 21], [14, 35, 39, 9], [29, 15, 16], [10, 18, 24], [11, 17], [12, 32], [20, 19], [26, 33, 25], [34, 28, 22], [23, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56, 48, 54, 52, 60, 53, 59, 57, 49]]
81: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39, 9], [29, 15, 16], [18, 10], [24, 12, 11], [17, 32, 20, 19], [26, 33, 25, 34, 28, 23, 22, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
82: [[58], [27], [30, 43, 31], [7, 1, 2], [5, 38, 18], [42, 3, 55], [4, 8], [13, 6, 21], [14, 35, 39, 9, 15], [16, 10, 29, 24, 11, 17, 12, 32, 20, 19, 26, 33, 34, 28, 22, 23, 25, 40, 41, 37, 36], [50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
83: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8], [13, 6, 21], [14, 35, 39], [9, 29], [15, 16, 10], [24, 11, 17], [32, 12], [20, 19, 26], [33, 25, 34], [28, 22, 23, 40, 41, 37, 18, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
84: [[58, 27], [30, 43], [31, 7], [2, 1, 5], [38, 42, 3], [55, 4, 8], [12, 13, 21], [14, 35, 6], [39, 9], [29, 16], [15, 10, 24], [18, 11, 17], [32, 20, 19], [26, 33, 25], [34, 28, 23], [22, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48], [54, 60, 52, 53, 59, 57, 49]]
85: [[58, 27, 30], [43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 6], [21, 14, 35], [39, 9, 29, 15], [16, 10, 18], [24, 11, 17, 12], [32, 20, 19], [26], [33, 25, 34], [28, 23], [22, 40, 41], [36, 50, 44, 51], [46, 45], [47, 56, 48], [54, 52, 60], [37, 53, 59, 57, 49]]
86: [[58, 27], [30, 43], [31, 7], [2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35], [39, 9, 29], [16, 15, 10], [18, 24, 12], [11, 17, 32, 20], [19, 26], [33, 25, 34], [28, 22, 23], [40, 41], [37, 36, 50], [44, 51, 46, 45, 47, 56, 48, 54, 52, 53, 59, 57, 49, 60]]
87: [[58, 27], [30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4, 8], [13, 21], [6, 14, 35], [39, 9, 29], [16, 15, 10], [18, 24, 11], [17, 32, 20], [12, 19, 26], [33, 25, 34], [28, 22, 23], [40, 41, 37], [36, 50, 44], [51, 46], [45, 47, 56], [48, 54, 60, 52, 53, 59, 57, 49]]
88: [[58, 27, 30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4, 8], [13, 21, 6], [14, 35, 39], [9, 29, 16], [15, 24, 10], [12, 18], [11, 17, 32], [20, 19], [26, 33, 25], [34, 28, 22], [23, 40, 41, 37], [36, 50, 44, 51], [46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
89: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55], [4, 8, 13], [6, 21], [14, 35, 39], [9, 29, 16], [15, 10, 18], [24, 12], [11, 17, 32], [20, 19], [26, 33, 25, 34, 28, 22, 23, 41, 37, 40, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
90: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13], [6, 21], [14, 35], [39, 9, 29, 15, 16, 10, 18, 24, 11, 17, 12, 32, 20, 19, 26, 33, 25], [34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
91: [[58, 27], [30, 43], [31, 7], [2, 1, 5], [38, 42], [18, 3, 55], [4, 8, 13], [21, 14, 35], [6, 39], [9, 29, 16], [15, 10, 24], [12, 11, 17], [32, 20, 19], [26, 33, 25], [34, 28, 23], [22, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54], [60, 52, 53], [59, 57, 49]]
92: [[58, 27], [30, 43], [31, 7], [2, 1], [5, 38], [42, 3, 55], [4, 8], [13, 6], [21, 14, 35], [39, 9, 29], [16, 15], [18, 10], [24, 11], [17, 12, 32], [20, 19, 26], [33, 25, 34], [28, 23], [22, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [52, 60], [53, 59], [57, 49]]
93: [[58, 27], [30, 43], [31, 7, 1], [5, 2, 6], [42, 3, 55], [4, 8], [13, 21, 38], [14, 35, 39], [9, 29], [16, 15], [18, 10, 24], [12, 11, 17], [32, 20, 19], [26, 33], [25, 34], [28, 22], [23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
94: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42, 3], [55, 4], [8, 13], [21, 6, 14], [35, 39], [9, 29, 16], [15, 18, 10], [24, 11], [17, 32, 20], [19, 26, 33], [25, 34, 28], [12, 22, 23], [40, 41, 37], [36, 50, 44], [51, 46, 45], [47, 56, 48], [54, 60, 52, 53], [59, 57], [49]]
95: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16, 15], [10, 18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
96: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16], [15, 18, 10], [24, 11, 17], [32, 20], [19, 26, 33], [25, 34], [28, 12, 22], [23, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47], [56, 48], [54, 60], [52, 53, 59, 57], [49]]
97: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39], [9], [29, 16, 15, 18, 24, 10], [11, 17, 32, 20, 12, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
98: [[58], [27, 30], [43, 31, 7], [2, 1], [5, 38, 42], [3, 55, 4], [8, 13], [6, 21, 14], [35, 39, 9, 29], [15, 16, 10], [18, 24, 11], [17, 12, 32], [20, 19], [26, 33, 25], [34, 28, 22], [23, 40, 41], [37, 36, 50, 44], [51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
99: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35, 39, 9, 29, 16, 15, 18, 10, 24, 12, 11, 17, 32, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 20, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
100: [[58], [27, 30], [43, 31], [7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16, 15], [18, 10], [24, 12, 11], [17, 32, 20, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
101: [[58, 27], [30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4, 8], [13, 6, 21], [14, 35, 39], [9, 29, 15], [16, 10], [18, 24, 11], [17, 12, 32, 20], [19, 26, 33], [25, 34], [28, 22], [23, 40], [41, 37, 36, 50, 44, 51, 46, 45, 47, 48, 54, 52, 60, 56, 53, 59, 57, 49]]
102: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16], [15, 18, 10], [24, 12, 11], [17, 32, 20, 19, 26, 33, 25, 34, 28, 23, 22, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
103: [[58], [27, 30], [43, 31], [7, 1, 2], [5, 38, 42, 18], [3, 55, 4, 8, 13, 21, 14, 35, 6, 39, 9, 29, 16, 15, 10, 24, 11, 17, 12, 32, 20, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
104: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 6], [21, 14, 35], [39, 9, 29], [15, 16], [10, 18, 24], [12, 11, 17], [32, 20], [19, 26], [33, 25, 34], [28, 22, 23], [40, 41, 37], [36, 50, 44], [51, 46], [45, 47], [56, 48, 54], [52, 60, 53, 59, 57], [49]]
105: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16, 15], [18, 10, 24], [11, 17], [32, 20, 19], [26, 33, 25], [34, 28], [12, 22], [23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 52, 60, 53, 59, 57, 49]]
106: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 15], [16, 10, 18], [24, 12, 11, 17, 32, 20, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
107: [[58], [27], [30, 43, 31], [7, 2], [1, 5, 38], [42, 3, 55, 4, 8, 13, 21, 6, 14, 35, 39, 9, 29, 16, 15, 18, 10, 24, 12, 11, 17, 32, 20, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
108: [[58], [27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39, 9], [29, 16, 15], [18, 10, 24], [12, 11], [17, 32], [20, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 52, 60, 53, 59, 57, 49]]
109: [[58], [27, 30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4], [8, 13, 21], [6, 14, 35], [39, 9, 29, 16, 15, 10, 18, 24], [11, 17, 32, 20, 12, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
110: [[58], [27, 30], [43, 31], [7, 1], [2, 5], [38, 42], [18, 3], [55, 4, 8], [13, 21, 14], [35, 39, 9], [29, 16, 15], [10, 6, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28], [22, 23], [40, 41, 37, 36], [50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
111: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55], [4, 8, 13], [6, 21, 14], [35, 39, 9], [29, 15], [16], [10, 24], [11, 17], [32, 12, 20, 19], [26, 33, 25], [34, 28, 22], [23, 40], [41, 37, 18], [36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
112: [[58], [27, 30, 43], [31, 7, 1], [5, 38, 42], [3, 55, 4], [8, 13, 21], [14, 6, 35], [39, 2, 9], [16, 15], [29, 24, 10], [12, 18], [11, 17], [32, 20], [19, 26], [33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
113: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3], [55, 4, 8], [13, 21, 6, 14, 35, 39, 9, 29, 16, 15, 10, 18, 24, 11, 17, 12, 32, 20, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
114: [[58], [27, 30], [43, 31, 7], [1, 2, 5], [38, 18, 42], [3, 55, 4], [8, 12, 21], [14, 35], [39, 9, 29], [15, 10, 16], [24, 11, 17], [33, 32], [20], [19, 26], [6, 13], [25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48], [54, 60, 52, 53, 59, 57, 49]]
115: [[58, 27], [30], [43, 31, 7], [2, 1, 5], [38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35], [9, 15, 39], [10, 29], [16, 24, 11], [17, 32, 12], [20, 19, 26], [33, 18], [25, 34], [28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
116: [[58], [27, 30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4], [8, 13, 21], [6, 14, 35], [39, 9, 29], [16, 15, 18, 10, 24, 12, 11, 17, 32, 20, 19, 26, 33, 25, 34, 28, 23, 22, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 52, 60, 53, 59, 57, 49]]
117: [[58], [27, 30, 43], [31, 7], [1, 5, 38], [42, 3, 55], [4, 8], [13, 21, 14], [6, 35, 39], [2, 9, 16], [15, 29, 26], [10, 24, 12], [11, 17, 32, 19, 18, 33, 25, 34, 28, 22, 23, 40, 41, 37, 20, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
118: [[58, 27], [30], [43, 31, 7], [2, 1, 5], [38, 42], [3, 55, 4], [8, 13], [6, 21, 14, 35, 39, 9, 29, 15, 16, 10, 18, 24, 11, 17, 12, 32, 20, 19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
119: [[58, 27, 30], [43, 31, 7], [2, 1], [5, 38], [42, 3, 55, 4, 8, 13, 21, 6, 14, 35, 39, 9, 29, 16, 15, 18, 10, 24, 11, 17, 32, 20, 19, 26, 34, 33, 25, 12, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 52, 60, 53, 59, 57, 49]]
120: [[58, 27, 30], [43, 31, 7], [2, 1], [5, 38, 42], [18, 3, 55], [4, 8], [13, 21], [14, 35], [6, 39, 9, 29], [16, 15, 10, 24, 12, 11, 17, 32, 20, 19, 26, 33, 25, 34, 28, 23, 22, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
121: [[58, 27], [30, 43, 31], [7], [2, 1, 5], [38, 42, 3], [55, 4, 8], [13, 6], [21, 14, 35], [39, 9], [29, 16, 15], [10, 18], [24, 11], [17, 12], [32, 20, 19], [26, 33], [25, 34], [28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
