0: [[36, 19], [28, 9, 66, 1], [26, 83, 14, 54, 3], [20, 6, 62, 65, 30], [48, 58, 76, 31], [32, 11, 37, 8], [46, 68, 17, 61, 21], [35, 2, 77, 51, 57, 72], [69, 29, 10, 39, 53], [86, 45, 18, 56, 63], [27, 24, 33, 43, 12, 13, 23, 74], [4, 84], [7, 34], [5, 55, 59, 41, 42, 15], [38, 25, 44, 49, 73], [47, 52, 16, 40, 71, 75], [64, 50, 67, 70, 22], [78, 79], [60, 81, 82, 85], [80, 87, 88]]
51: [[36, 22, 7, 1, 4, 6, 3, 2, 14, 10, 9, 12, 5, 13, 11, 20, 24], [8, 15, 29, 18, 17, 16, 21, 19, 25, 23, 26, 56, 28, 27, 62, 30, 35, 48, 31, 37, 33, 32, 47], [34, 39, 38, 40, 43, 42, 44, 41, 46, 45, 50, 51, 63, 52, 49, 53, 55, 54, 57], [58, 61, 60, 59, 64, 68, 69, 78, 66, 67, 70, 77, 75, 76, 74, 71, 72, 73, 79, 80, 65, 84, 87, 83, 86, 81, 82, 85, 88]]
52: [[36, 22, 3, 5, 1, 2, 13, 10, 7, 6, 4, 8, 23, 29, 12, 24, 9, 25, 11, 14], [20, 19, 15, 21, 17, 31, 26, 16, 18, 49, 55, 27, 62, 28, 30, 57, 32, 35, 50], [41, 38, 33, 37, 39, 40, 42, 47, 43, 34, 51, 44, 54, 45, 46, 48, 52, 53, 60, 58], [61, 56, 63, 59, 67, 64, 65, 66, 70, 75, 71, 69, 72, 68, 73, 78, 74, 79, 76, 85, 77, 82, 83, 81, 80, 88, 84, 87, 86]]
53: [[36, 22, 7, 1, 2, 6, 9, 3, 5, 8, 4, 31, 10, 25, 12, 13, 28, 23, 11, 26], [15, 14, 24, 55, 49, 16, 48, 21, 17, 40, 30, 18, 42, 61, 19, 34, 20, 37, 43, 27], [44, 39, 29, 32, 35, 33, 41, 45, 38, 46, 47, 56, 50, 54, 52, 53, 59, 51, 60], [57, 58, 63, 62, 66, 65, 64, 67, 74, 69, 70, 71, 73, 68, 77, 72, 75, 79, 78, 76, 80, 81, 83, 84, 86, 82, 85, 87, 88]]
54: [[36, 22, 3, 1, 7, 8, 4, 15, 5, 6, 9, 2, 11, 26, 24, 21, 28, 12], [18, 16, 20, 25, 23, 17, 48, 54, 29, 30, 27, 49, 55, 40, 51, 31, 14, 60, 47, 13], [32, 37, 34, 42, 19, 33, 39, 44, 38, 41, 43, 62, 45, 46, 50, 35, 52, 53, 56, 57, 10], [59, 61, 63, 58, 67, 64, 69, 68, 66, 78, 72, 79, 71, 77, 65, 73, 74, 75, 76, 82, 70, 80, 85, 81, 83, 84, 86, 87, 88]]
55: [[36, 22, 3, 1, 6, 4, 15, 2, 5, 8, 11, 10, 12, 7, 13, 17, 9, 20, 28, 21], [18, 23, 25, 16, 34, 49, 50, 19, 27, 24, 61, 29, 31, 33, 57, 26, 30, 35, 14], [37, 32, 44, 38, 42, 39, 40, 43, 41, 45, 46, 47, 60, 51, 48, 54, 53, 52, 55, 56], [59, 58, 62, 63, 67, 64, 66, 72, 69, 70, 65, 68, 75, 74, 71, 73, 78, 79, 76, 77, 87, 80, 81, 85, 82, 86, 83, 84, 88]]
56: [[36, 22, 7, 1, 4, 3, 9, 5, 2, 11, 12, 8, 13, 10, 6, 29, 18, 19, 25, 16], [17, 14, 30, 20, 21, 15, 23, 58, 27, 26, 61, 46, 28, 32, 33, 39, 31, 24, 34, 41], [37, 40, 35, 45, 47, 38, 60, 48, 42, 49, 43, 50, 55, 51, 44, 52, 54, 53, 62], [59, 57, 56, 63, 67, 65, 68, 66, 64, 70, 79, 75, 71, 74, 77, 72, 78, 76, 80, 69, 86, 84, 73, 82, 83, 81, 85, 87, 88]]
57: [[36, 22, 7, 1, 6, 2, 8, 5, 11, 10, 9, 15, 13, 3, 14, 26, 12, 4, 29], [24, 18, 19, 25, 23, 53, 16, 52, 17, 20, 27, 30, 61, 21, 35, 44, 48, 28, 46, 41, 32, 45], [55, 34, 33, 31, 39, 43, 40, 42, 38, 60, 49, 47, 37, 50, 54, 56, 59, 51], [57, 58, 62, 63, 71, 68, 65, 66, 67, 73, 69, 79, 75, 64, 70, 72, 77, 74, 78, 76, 82, 80, 85, 86, 84, 81, 83, 87, 88]]
58: [[36, 22, 7, 1, 5, 2, 9, 3, 4, 14, 11, 17, 15, 6, 26, 12, 13], [21, 16, 19, 18, 23, 24, 29, 31, 25, 56, 8, 27, 42, 60, 32, 57, 28, 35, 44, 47, 41], [37, 30, 39, 38, 33, 46, 40, 43, 45, 34, 58, 52, 48, 49, 55, 53, 50, 51, 54, 20, 10], [61, 62, 59, 63, 65, 76, 64, 71, 66, 69, 67, 68, 70, 72, 74, 75, 79, 77, 73, 78, 84, 80, 83, 87, 81, 82, 85, 86, 88]]
59: [[36, 22, 7, 1, 4, 6, 3, 2, 9, 8, 12, 15, 11, 14, 28, 19, 24, 23, 17, 13, 5], [20, 21, 31, 25, 26, 18, 27, 39, 16, 29, 30, 32, 56, 43, 33, 46, 34, 38, 10], [42, 55, 37, 35, 41, 45, 48, 47, 40, 44, 49, 52, 50, 54, 58, 53, 51, 61, 57], [59, 60, 63, 62, 80, 68, 64, 73, 77, 65, 67, 79, 69, 70, 66, 72, 75, 71, 78, 87, 74, 81, 83, 84, 82, 76, 85, 86, 88]]
60: [[36, 22, 7, 3, 2, 1, 9, 6, 4, 14, 12, 5, 8, 31, 32, 13, 11, 18, 24], [25, 23, 17, 15, 21, 34, 28, 20, 10, 16, 49, 19, 26, 59, 27, 56, 46, 29, 30, 35, 33], [37, 41, 38, 61, 39, 47, 44, 40, 43, 42, 45, 51, 52, 48, 55, 57, 50, 53, 54], [60, 58, 63, 62, 83, 68, 82, 65, 64, 66, 69, 75, 71, 73, 76, 67, 74, 77, 70, 78, 81, 86, 87, 72, 79, 80, 85, 84, 88]]
61: [[36, 22, 7, 1, 4, 6, 3, 5, 2, 11, 9, 8, 14, 15, 20, 23, 16, 21, 17, 12, 13], [25, 19, 29, 31, 24, 27, 59, 34, 18, 26, 28, 30, 56, 39, 33, 38, 32, 54, 10], [35, 51, 37, 42, 41, 45, 43, 47, 40, 44, 52, 46, 49, 50, 48, 53, 55, 61, 57], [58, 60, 63, 62, 80, 69, 64, 65, 79, 68, 67, 75, 73, 70, 66, 72, 78, 71, 74, 81, 76, 85, 82, 84, 86, 77, 83, 87, 88]]
62: [[36, 22, 7, 1, 5, 2, 9, 6, 8, 11, 3, 30, 4, 28, 10, 15, 13, 12, 23, 14], [21, 20, 16, 18, 19, 27, 24, 17, 41, 26, 29, 48, 31, 33, 25, 51, 39, 45], [42, 37, 34, 35, 38, 40, 43, 47, 46, 44, 32, 50, 49, 53, 55, 60, 54, 56, 57, 52, 59], [61, 58, 63, 62, 65, 68, 70, 64, 66, 67, 71, 76, 73, 74, 69, 79, 72, 75, 77, 78, 82, 81, 84, 87, 83, 80, 85, 86, 88]]
63: [[36, 22, 3, 5, 4, 6, 1, 2, 10, 11, 9, 8, 23, 28, 12, 14, 13, 20, 27], [16, 18, 15, 7, 29, 48, 50, 17, 19, 55, 25, 49, 26, 21, 56, 53, 60], [54, 34, 40, 42, 24, 37, 30, 58, 31, 32, 33, 35, 38, 46, 47, 39, 41, 51, 43, 44, 45, 62, 52], [57, 59, 61, 87, 63, 73, 67, 64, 66, 70, 65, 77, 68, 69, 78, 71, 74, 72, 76, 75, 79, 80, 85, 81, 84, 86, 83, 82, 88]]
64: [[36, 22, 3, 1, 5, 6, 9, 4, 7, 2, 15, 10, 11, 25, 8, 12, 13, 18, 14], [29, 19, 20, 17, 24, 50, 16, 21, 23, 28, 26, 31, 59, 27, 30, 58, 40, 32, 39], [33, 34, 35, 54, 37, 46, 41, 38, 47, 42, 43, 48, 60, 45, 51, 52, 44, 55, 53, 49, 56], [57, 62, 61, 63, 66, 70, 64, 73, 74, 69, 65, 75, 68, 79, 71, 76, 72, 78, 67, 77, 84, 81, 82, 80, 87, 83, 86, 85, 88]]
65: [[36, 22, 3, 5, 1, 2, 4, 15, 6, 10, 7, 14, 29, 28, 12, 26, 8, 25, 13, 9, 21, 19], [16, 11, 17, 31, 23, 24, 18, 20, 27, 47, 52, 59, 30, 56, 35, 41, 51, 32, 38, 49], [39, 40, 42, 33, 46, 43, 45, 34, 44, 48, 37, 50, 53, 54, 60, 55, 63], [57, 58, 62, 61, 67, 68, 64, 65, 70, 74, 77, 69, 66, 76, 72, 75, 71, 79, 73, 78, 84, 82, 83, 81, 80, 85, 86, 87, 88]]
66: [[36, 22, 7, 1, 4, 2, 11, 8, 3, 5, 13, 14, 17, 10, 15, 19, 6, 12, 24, 28], [20, 18, 26, 16, 27, 21, 29, 23, 31, 49, 55, 59, 33, 9, 63, 40, 30, 25, 37, 50, 43, 45], [34, 46, 44, 32, 39, 61, 35, 48, 42, 41, 60, 38, 52, 58, 51, 53, 54], [47, 56, 57, 62, 66, 68, 64, 69, 67, 71, 65, 70, 74, 77, 72, 73, 78, 75, 76, 79, 80, 85, 81, 86, 83, 82, 87, 84, 88]]
67: [[36, 22, 7, 3, 1, 5, 10, 2, 6, 12, 4, 30, 9, 13, 14, 8, 24, 11, 31, 15, 23], [16, 17, 18, 19, 27, 20, 25, 28, 21, 26, 33, 29, 41, 37, 35, 55, 61, 42, 40, 32], [47, 43, 44, 39, 38, 34, 45, 46, 48, 49, 50, 62, 52, 51, 56, 57, 60, 53], [54, 58, 63, 59, 66, 70, 64, 68, 65, 67, 69, 79, 71, 74, 72, 75, 76, 73, 77, 78, 82, 84, 81, 83, 80, 87, 85, 86, 88]]
68: [[36, 22, 19, 1, 6, 2, 10, 3, 5, 12, 7, 4, 14, 8, 9, 15, 13, 11, 20, 23, 18], [17, 21, 16, 24, 29, 53, 27, 58, 30, 25, 47, 26, 32, 28, 33, 49, 31, 38, 35, 39], [40, 34, 56, 46, 37, 43, 42, 41, 44, 60, 48, 45, 50, 51, 52, 62, 59, 54], [55, 57, 61, 63, 66, 80, 81, 65, 64, 70, 68, 75, 71, 74, 79, 73, 67, 76, 78, 72, 69, 87, 77, 82, 83, 86, 85, 84, 88]]
69: [[36, 22, 3, 1, 5, 2, 11, 4, 10, 12, 6, 30, 7, 9, 44, 15, 16, 18], [23, 21, 8, 13, 17, 20, 41, 14, 19, 31, 26, 24, 47, 27, 61, 25, 28, 29, 51, 32, 33, 34], [40, 43, 37, 35, 38, 46, 42, 45, 52, 53, 39, 49, 48, 50, 55, 54, 57, 56, 60], [58, 63, 62, 59, 82, 76, 64, 65, 68, 70, 71, 77, 66, 74, 75, 73, 78, 67, 69, 72, 80, 85, 79, 83, 81, 87, 84, 86, 88]]
70: [[36, 22, 7, 1, 4, 6, 13, 8, 10, 12, 2, 3, 25, 9, 17, 11, 14, 15, 16], [24, 28, 18, 20, 19, 43, 21, 31, 26, 30, 23, 5, 27, 34, 29, 61, 37, 49, 42], [32, 63, 33, 35, 38, 47, 39, 41, 46, 44, 48, 40, 50, 60, 51, 53, 52, 55, 45, 54, 56], [57, 58, 62, 59, 65, 64, 68, 71, 72, 67, 69, 78, 70, 75, 74, 66, 76, 73, 79, 77, 86, 81, 87, 80, 83, 82, 84, 85, 88]]
71: [[36, 22, 3, 1, 5, 6, 13, 2, 4, 7, 8, 9, 12, 11, 15, 10, 29, 14, 24, 18], [16, 19, 28, 17, 27, 20, 31, 23, 26, 21, 25, 59, 51, 30, 42, 45, 53, 35, 44], [50, 40, 38, 39, 46, 34, 32, 43, 48, 49, 37, 62, 33, 54, 57, 58, 60, 41, 47, 56], [61, 55, 52, 63, 66, 69, 64, 65, 68, 67, 78, 75, 71, 70, 72, 73, 74, 76, 77, 79, 86, 85, 81, 83, 80, 84, 82, 87, 88]]
72: [[36, 22, 5, 1, 2, 6, 3, 12, 7, 4, 10, 28, 8, 26, 30, 9, 11, 13, 18, 16, 19, 31], [15, 14, 20, 25, 21, 17, 62, 24, 56, 57, 61, 34, 41, 27, 29, 40, 23, 59, 32], [33, 39, 38, 35, 42, 60, 45, 37, 43, 51, 53, 50, 54, 44, 47, 46, 55, 48], [63, 52, 49, 58, 67, 64, 65, 73, 69, 66, 70, 68, 71, 74, 75, 72, 76, 78, 83, 77, 79, 85, 80, 84, 82, 81, 86, 87, 88]]
73: [[36, 22, 7, 1, 4, 5, 12, 3, 2, 15, 6, 8, 11, 25, 9, 14, 18], [10, 13, 23, 19, 16, 20, 31, 24, 21, 26, 17, 60, 52, 27, 30, 50, 28, 33, 37, 29, 38, 48, 41], [32, 34, 35, 39, 42, 45, 44, 63, 40, 47, 46, 57, 58, 49, 51, 54, 43, 55, 56], [53, 59, 62, 61, 66, 68, 83, 64, 78, 65, 69, 77, 67, 70, 73, 71, 85, 74, 72, 76, 75, 79, 80, 81, 87, 86, 82, 84, 88]]
74: [[36, 22, 3, 5, 4, 2, 10, 12, 1, 8, 13, 14, 25, 11, 6, 7, 23], [9, 18, 21, 19, 43, 24, 16, 20, 31, 17, 28, 30, 29, 26, 56, 15, 57, 33, 39], [27, 58, 40, 34, 46, 45, 32, 62, 52, 35, 41, 42, 37, 44, 38, 47, 48, 49, 51, 50, 53, 60, 55], [54, 59, 61, 63, 65, 68, 66, 69, 64, 78, 67, 70, 72, 71, 74, 75, 73, 77, 76, 79, 81, 80, 83, 86, 84, 85, 82, 87, 88]]
75: [[36, 22, 7, 1, 4, 6, 11, 10, 3, 13, 8, 12, 5, 15, 16, 9, 14, 30, 23, 17], [18, 24, 19, 25, 28, 26, 58, 21, 20, 57, 61, 29, 27, 2, 32, 47, 33, 35, 37], [40, 43, 38, 34, 42, 41, 44, 45, 46, 39, 48, 51, 60, 52, 53, 50, 63, 54, 55, 49], [56, 62, 66, 59, 31, 64, 68, 70, 65, 73, 71, 76, 72, 69, 67, 74, 78, 75, 79, 77, 86, 81, 85, 82, 80, 83, 84, 87, 88]]
76: [[36, 22, 3, 1, 6, 2, 7, 15, 8, 14, 4, 10, 9, 5, 28, 11, 13, 12, 18, 16], [23, 17, 21, 26, 27, 19, 20, 24, 30, 25, 29, 59, 48, 31, 40, 34, 35, 38, 41, 52], [33, 37, 39, 47, 54, 32, 43, 44, 45, 42, 50, 46, 55, 49, 51, 56, 63, 53, 60], [57, 58, 62, 61, 66, 68, 64, 67, 65, 73, 70, 75, 69, 76, 72, 77, 79, 74, 78, 80, 71, 81, 84, 87, 82, 83, 85, 86, 88]]
77: [[36, 22, 7, 1, 3, 6, 2, 4, 14, 8, 15, 12, 5, 10, 9, 11, 28, 24, 21], [13, 17, 27, 19, 23, 16, 26, 29, 32, 25, 30, 31, 63, 34, 20, 33, 18, 50, 35, 45, 39, 40], [38, 41, 44, 43, 37, 42, 47, 55, 46, 49, 48, 60, 53, 57, 62, 51, 54, 61], [52, 56, 59, 58, 66, 70, 65, 64, 72, 67, 69, 71, 68, 73, 75, 74, 79, 76, 78, 77, 83, 80, 81, 84, 87, 82, 85, 86, 88]]
78: [[36, 22, 3, 1, 6, 2, 7, 4, 10, 8, 5, 14, 25, 9, 19, 15, 12, 17, 13, 26, 18, 28], [20, 23, 21, 50, 52, 24, 27, 29, 42, 45, 63, 16, 43, 11, 30, 59, 31], [35, 33, 57, 46, 54, 32, 40, 37, 55, 34, 38, 56, 39, 44, 47, 41, 48, 49, 53, 51], [58, 62, 60, 61, 66, 72, 65, 76, 64, 79, 67, 69, 68, 71, 73, 70, 74, 75, 77, 78, 80, 85, 82, 83, 84, 86, 88, 87, 81]]
79: [[36, 22, 7, 5, 1, 2, 9, 6, 3, 10, 4, 8, 26, 25, 12, 27, 11, 14], [13, 16, 23, 17, 18, 21, 15, 31, 19, 24, 20, 28, 30, 47, 60, 40, 29, 41, 49, 38], [34, 42, 39, 32, 35, 33, 45, 44, 48, 43, 37, 57, 56, 52, 50, 46, 53, 51, 54, 62, 63], [55, 58, 61, 59, 66, 68, 65, 64, 71, 67, 70, 69, 72, 78, 73, 74, 75, 77, 79, 76, 84, 83, 81, 82, 80, 85, 87, 86, 88]]
80: [[36, 22, 3, 1, 5, 4, 8, 7, 2, 6, 15, 24, 10, 29, 65, 9, 25, 12, 13], [20, 26, 28, 21, 11, 14, 16, 23, 17, 18, 19, 59, 45, 27, 30, 48, 54, 53, 56], [50, 31, 34, 39, 41, 35, 32, 38, 33, 37, 40, 51, 55, 47, 43, 46, 49, 52, 61, 57, 42], [58, 60, 62, 63, 66, 68, 64, 44, 67, 79, 70, 71, 78, 69, 75, 72, 76, 73, 74, 77, 81, 84, 80, 83, 82, 87, 85, 86, 88]]
81: [[36, 22, 5, 3, 6, 1, 2, 7, 4, 10, 9, 13, 8, 11, 15, 16, 14, 12], [17, 18, 27, 26, 24, 23, 25, 28, 52, 31, 29, 20, 61, 21, 19, 35, 30, 32, 53, 48, 45, 33], [39, 34, 42, 57, 37, 40, 41, 46, 43, 38, 56, 44, 47, 49, 50, 54, 58, 59, 55], [51, 60, 62, 63, 79, 64, 65, 70, 69, 67, 68, 71, 78, 72, 66, 73, 75, 74, 77, 76, 81, 80, 85, 83, 84, 82, 86, 87, 88]]
82: [[36, 22, 3, 1, 6, 2, 10, 5, 4, 8, 7, 14, 31, 18, 12, 19, 11, 9, 13], [25, 23, 56, 24, 16, 15, 20, 17, 27, 28, 61, 59, 21, 29, 57, 48, 26, 35, 50, 30, 42, 39, 45], [32, 62, 33, 34, 37, 47, 41, 44, 40, 38, 49, 53, 43, 60, 54, 46, 51], [52, 55, 58, 63, 65, 72, 66, 68, 64, 78, 67, 70, 76, 71, 69, 73, 74, 75, 77, 79, 82, 80, 83, 81, 84, 87, 86, 85, 88]]
83: [[36, 22, 5, 3, 6, 2, 8, 1, 4, 13, 11, 15, 12, 27, 25, 10, 14, 9], [19, 7, 18, 21, 16, 24, 26, 23, 48, 28, 29, 20, 44, 31, 30, 34, 17, 56, 50, 33, 42, 46], [39, 35, 37, 58, 43, 32, 51, 45, 47, 40, 60, 52, 59, 49, 38, 41, 54, 55, 53], [62, 57, 61, 63, 67, 65, 69, 64, 73, 70, 68, 74, 79, 71, 66, 76, 72, 78, 75, 81, 77, 80, 87, 83, 84, 85, 86, 82, 88]]
84: [[36, 22, 7, 1, 4, 3, 11, 5, 2, 6, 12, 13, 8, 28, 10, 9, 14], [26, 19, 24, 18, 17, 15, 23, 16, 31, 53, 21, 29, 57, 27, 56, 25, 30, 63, 32, 20, 59, 37], [34, 35, 33, 40, 51, 41, 38, 47, 44, 42, 46, 62, 60, 43, 45, 48, 49, 50, 61, 52], [39, 54, 55, 58, 67, 68, 64, 65, 69, 71, 70, 66, 73, 77, 72, 74, 75, 78, 79, 76, 81, 85, 83, 84, 80, 82, 86, 87, 88]]
85: [[36, 22, 7, 1, 5, 2, 3, 6, 12, 4, 11, 10, 8, 29, 13, 25, 31, 9, 15, 14], [16, 18, 51, 19, 20, 24, 21, 23, 58, 17, 62, 27, 28, 42, 34, 41, 57, 39, 33], [26, 47, 43, 30, 35, 37, 32, 38, 40, 44, 45, 48, 49, 50, 52, 56, 54, 53, 46, 59], [55, 60, 63, 61, 66, 65, 68, 70, 64, 69, 67, 73, 71, 75, 79, 72, 74, 78, 76, 77, 84, 82, 83, 80, 81, 86, 85, 87, 88]]
86: [[36, 22, 7, 1, 4, 6, 5, 2, 11, 20, 13, 8, 17, 29, 12, 24, 10, 9, 14, 15], [16, 18, 19, 26, 52, 21, 30, 31, 51, 23, 25, 59, 61, 27, 34, 28, 41, 39, 3, 32], [33, 35, 37, 42, 40, 38, 45, 44, 43, 49, 50, 46, 47, 48, 53, 54, 57, 62, 55], [56, 58, 63, 60, 66, 72, 64, 70, 68, 75, 67, 65, 69, 79, 73, 71, 74, 76, 78, 77, 84, 82, 81, 80, 83, 86, 85, 87, 88]]
87: [[36, 22, 5, 1, 4, 6, 9, 2, 7, 11, 12, 24, 31, 14, 8, 3, 10, 17, 13, 28], [26, 20, 27, 16, 21, 18, 49, 19, 29, 25, 23, 33, 30, 47, 32, 43, 35, 38], [15, 39, 40, 45, 34, 44, 37, 46, 41, 48, 57, 50, 51, 53, 55, 52, 54, 56, 58, 60, 42], [59, 62, 61, 63, 66, 73, 65, 70, 68, 64, 67, 77, 74, 71, 69, 79, 72, 75, 76, 78, 82, 83, 80, 85, 81, 84, 86, 87, 88]]
88: [[36, 22, 3, 5, 1, 6, 14, 4, 8, 7, 10, 9, 11, 25, 2, 13, 29, 30, 12, 18], [21, 16, 20, 19, 23, 24, 27, 26, 28, 35, 58, 31, 49, 59, 32, 17, 63, 34, 33], [41, 47, 37, 39, 48, 42, 43, 40, 44, 50, 45, 56, 38, 55, 46, 53, 52, 51, 54, 57], [60, 61, 62, 15, 67, 65, 64, 72, 66, 68, 71, 69, 70, 77, 73, 75, 76, 74, 78, 81, 79, 80, 86, 84, 82, 87, 85, 83, 88]]
89: [[36, 22, 7, 1, 2, 3, 8, 6, 4, 9, 5, 17, 28, 44, 15, 11, 12], [25, 21, 24, 14, 19, 16, 29, 20, 23, 18, 41, 31, 56, 26, 48, 61, 34, 27, 30, 37, 43, 13], [32, 39, 33, 45, 38, 35, 40, 42, 46, 47, 49, 50, 62, 51, 52, 53, 54, 55, 60, 10], [63, 58, 57, 59, 66, 68, 64, 77, 70, 65, 67, 69, 71, 74, 72, 73, 76, 78, 75, 79, 85, 84, 82, 80, 81, 83, 86, 87, 88]]
90: [[36, 22, 7, 1, 6, 2, 4, 3, 8, 13, 11, 12, 9, 26, 28, 17, 10], [14, 19, 15, 20, 5, 24, 16, 18, 58, 21, 25, 29, 23, 41, 31, 27, 57, 30, 44, 54, 32, 55, 33], [35, 42, 39, 40, 34, 61, 38, 45, 43, 37, 46, 51, 47, 48, 59, 49, 56, 53, 62], [50, 63, 52, 60, 66, 81, 68, 65, 76, 70, 67, 71, 69, 64, 79, 75, 73, 74, 72, 77, 84, 78, 80, 82, 85, 87, 86, 83, 88]]
91: [[36, 22, 3, 5, 1, 6, 13, 8, 2, 12, 4, 11, 7, 9, 15, 14, 29], [10, 28, 18, 53, 16, 17, 19, 23, 25, 24, 31, 26, 48, 20, 27, 51, 30, 21, 33, 55, 34, 35, 56], [32, 37, 38, 39, 40, 45, 41, 47, 42, 44, 46, 43, 49, 52, 63, 50, 59, 58, 60], [61, 57, 54, 62, 66, 69, 65, 64, 72, 67, 78, 77, 73, 68, 75, 70, 85, 71, 76, 79, 74, 87, 81, 83, 80, 84, 82, 86, 88]]
92: [[36, 22, 7, 1, 2, 6, 12, 9, 14, 5, 3, 4, 26, 8, 13, 10, 16, 19, 31], [20, 50, 17, 18, 25, 24, 29, 23, 27, 62, 28, 30, 11, 34, 35, 21, 41, 57, 32, 39, 40, 15, 37], [42, 33, 46, 38, 43, 59, 44, 45, 60, 47, 54, 48, 63, 51, 49, 52, 53], [55, 56, 58, 61, 66, 64, 65, 76, 74, 68, 69, 67, 71, 78, 75, 73, 70, 77, 72, 79, 80, 81, 83, 84, 82, 86, 85, 87, 88]]
93: [[36, 22, 3, 5, 4, 2, 11, 1, 8, 24, 6, 30, 7, 9, 14, 15, 16, 18, 19, 29, 12, 13], [17, 20, 25, 26, 23, 27, 28, 58, 47, 31, 33, 39, 54, 21, 32, 61, 40, 10], [46, 35, 37, 41, 38, 43, 42, 44, 45, 34, 53, 52, 48, 50, 55, 49, 57, 56, 60], [59, 63, 62, 51, 82, 76, 69, 64, 66, 71, 65, 73, 70, 67, 74, 68, 72, 75, 78, 77, 88, 85, 79, 86, 80, 83, 87, 81, 84]]
94: [[36, 22, 3, 5, 2, 1, 13, 4, 6, 7, 21, 8, 17, 12, 11, 25, 9, 24, 16, 30], [10, 18, 19, 14, 52, 20, 26, 29, 23, 63, 27, 31, 55, 32, 50, 28, 33, 41, 15, 38], [34, 37, 39, 46, 48, 42, 40, 45, 43, 35, 53, 44, 47, 49, 51, 54, 56, 58, 59], [60, 57, 61, 62, 66, 72, 64, 70, 68, 75, 69, 65, 78, 71, 73, 67, 74, 77, 79, 76, 82, 80, 85, 81, 83, 86, 84, 87, 88]]
95: [[36, 22, 3, 1, 7, 2, 8, 4, 15, 10, 13, 5, 25, 29, 9, 6, 11, 12, 14, 16, 17, 21], [31, 18, 19, 20, 26, 24, 27, 51, 30, 56, 23, 58, 43, 50, 32, 28, 47], [39, 41, 34, 33, 35, 37, 40, 38, 42, 57, 62, 54, 48, 44, 45, 46, 49, 52, 55, 59], [60, 63, 53, 61, 66, 68, 65, 73, 67, 71, 69, 75, 64, 74, 77, 79, 70, 78, 81, 76, 85, 83, 87, 72, 80, 84, 82, 86, 88]]
96: [[36, 22, 7, 1, 4, 2, 9, 3, 8, 5, 12, 10, 13, 24, 11, 19, 27], [17, 14, 15, 26, 6, 20, 16, 18, 21, 25, 23, 28, 56, 29, 30, 62, 34, 31, 49, 46, 41, 33], [52, 39, 37, 38, 40, 58, 44, 32, 47, 35, 42, 43, 50, 45, 59, 55, 48, 51, 53, 54], [57, 60, 63, 61, 66, 72, 64, 75, 68, 69, 67, 71, 70, 65, 74, 76, 78, 79, 73, 77, 80, 85, 81, 82, 84, 83, 86, 87, 88]]
97: [[36, 22, 3, 1, 6, 2, 13, 4, 7, 5, 8, 28, 9, 10, 30, 31, 17, 12, 15, 18], [11, 14, 26, 19, 21, 29, 16, 50, 20, 23, 59, 58, 62, 32, 41, 45, 24, 25, 51, 27], [33, 44, 39, 38, 34, 35, 56, 37, 42, 40, 43, 53, 48, 54, 46, 47, 60, 55, 49], [61, 52, 57, 63, 67, 64, 65, 73, 69, 74, 70, 66, 68, 71, 72, 76, 75, 78, 83, 77, 79, 85, 80, 84, 82, 81, 86, 87, 88]]
98: [[36, 22, 7, 1, 4, 2, 11, 8, 3, 5, 12, 14, 17, 19, 15, 10, 13, 24, 25, 28, 21], [18, 26, 16, 27, 20, 31, 23, 29, 49, 63, 56, 34, 41, 30, 33, 6, 59, 35], [50, 43, 39, 9, 38, 37, 32, 40, 61, 44, 42, 45, 46, 60, 47, 52, 51, 53, 55, 48], [54, 58, 57, 62, 64, 77, 65, 68, 67, 69, 66, 70, 76, 71, 74, 72, 73, 79, 75, 78, 80, 85, 81, 86, 83, 82, 87, 84, 88]]
99: [[36, 22, 3, 1, 5, 6, 13, 8, 4, 2, 7, 26, 12, 25, 11, 10, 29, 16, 14], [28, 9, 15, 31, 18, 17, 19, 30, 21, 23, 20, 24, 27, 53, 32, 35, 49, 33, 59, 41], [39, 34, 46, 40, 42, 50, 37, 47, 38, 43, 44, 45, 60, 54, 48, 51, 52, 58, 63, 55], [56, 57, 61, 62, 66, 84, 64, 65, 77, 73, 67, 70, 71, 79, 68, 69, 72, 76, 75, 74, 78, 80, 83, 86, 82, 87, 81, 85, 88]]
100: [[36, 22, 7, 1, 6, 8, 9, 5, 12, 2, 15, 10, 17, 14, 41, 28, 4, 18, 11], [29, 19, 31, 13, 23, 26, 21, 24, 30, 25, 16, 27, 37, 20, 32, 3, 51, 43, 33, 34, 45, 35], [38, 39, 44, 40, 50, 59, 42, 46, 47, 49, 60, 56, 54, 57, 48, 52, 55, 58], [53, 61, 63, 62, 67, 64, 65, 70, 66, 71, 69, 79, 76, 68, 72, 75, 73, 77, 74, 78, 82, 85, 81, 80, 86, 83, 84, 87, 88]]
101: [[36, 22, 7, 1, 6, 2, 5, 3, 4, 9, 14, 13, 8, 30, 11, 15, 12, 19, 16, 20], [18, 17, 60, 25, 21, 26, 28, 23, 31, 51, 10, 27, 59, 24, 29, 34, 55, 33, 37, 46], [63, 38, 43, 39, 35, 41, 32, 45, 40, 47, 44, 42, 54, 62, 48, 52, 56, 49, 58], [50, 53, 57, 61, 65, 69, 70, 74, 64, 73, 67, 71, 68, 66, 75, 77, 72, 79, 80, 76, 84, 78, 81, 85, 82, 87, 86, 83, 88]]
