0: [[27], [36, 11, 50], [41], [35, 46, 2], [33], [34, 1, 43], [3, 30, 31, 51], [23], [13, 4, 21], [25, 15, 6, 10], [47], [5, 8, 9, 18], [57, 49], [22, 55], [37, 16], [54, 14], [53, 26], [40, 28, 29], [42, 24, 38, 44, 12], [32, 17, 58, 48], [7], [52, 56], [20, 39, 19, 45], [59, 60]]
74: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 13, 10, 9, 8, 27], [23, 17, 16, 19, 15, 21, 28, 24, 18, 22, 30, 25, 26, 31, 29, 40, 36, 34, 37], [32, 46, 38, 39, 43, 47, 42, 44, 41, 45, 51], [49, 52, 50, 58, 48, 54, 55, 57, 53, 56, 59, 60]]
75: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 22, 6, 9, 27, 25, 8, 15, 10], [19, 13, 21, 16, 18, 17, 26, 30, 23], [31, 29, 28, 24, 37, 36, 34, 32, 39, 47], [38, 43, 41, 45, 42, 44, 40, 46, 51], [49, 54, 50, 48, 55, 52, 53, 58, 59, 57, 56, 60]]
76: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 8, 6, 13, 30, 9], [28, 16, 10, 27, 23, 15, 25, 17, 21, 18, 24, 19, 29, 26, 31, 40, 36, 34, 32, 37], [39, 38, 42, 41, 45, 43, 44, 46, 47, 51], [49, 54, 50, 48, 52, 53, 55, 58, 59, 57, 56, 60]]
77: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 18, 10, 9, 25, 8, 13], [19, 15, 23, 6, 16, 17, 21, 22, 24, 27, 28, 29, 26, 31, 30, 40, 38, 32, 36, 37], [46, 47, 44, 45, 39, 34, 43, 42, 41, 51], [49, 52, 50, 48, 55, 53, 54, 58, 56, 57, 59, 60]]
78: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 24, 26, 25, 8, 9, 13, 15, 16, 19, 22, 17, 23, 18, 29, 30, 21], [10, 27, 28, 31, 45, 36, 40, 32, 37, 39], [34, 46, 43, 44, 38, 41, 42, 47, 51], [49, 54, 48, 50, 55, 52, 53, 57, 58, 59, 60, 56]]
79: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 26, 10, 8, 24, 31, 6, 27], [9, 13, 19, 21, 15, 17, 16, 18, 23, 22, 30, 28, 29, 25, 41, 38, 32, 37, 36, 34], [47, 40, 42, 43, 39, 45, 44, 46, 51], [49, 54, 50, 48, 53, 52, 55, 56, 59, 58, 57, 60]]
80: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 26, 10, 8, 24, 31, 6, 27], [9, 13, 19, 21, 15, 17, 16, 18, 23, 22, 30, 28, 29, 25, 41, 38, 32, 37, 36, 34], [47, 40, 42, 43, 39, 45, 44, 46, 51], [49, 54, 50, 48, 53, 52, 55, 56, 59, 58, 57, 60]]
81: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 26, 10, 8, 24, 31, 6, 27], [9, 13, 19, 21, 15, 17, 16, 18, 23, 22, 30, 28, 29, 25, 41, 38, 32, 37, 36, 34], [47, 40, 42, 43, 39, 45, 44, 46, 51], [49, 54, 50, 48, 53, 52, 55, 56, 59, 58, 57, 60]]
82: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 10, 6, 13, 8, 18, 9, 31], [15, 22, 17, 25, 16, 21, 23, 19, 29, 24, 30, 26, 27, 28, 40, 36, 42, 32, 37, 47], [43, 34, 41, 38, 39, 44, 45, 46, 51], [49, 54, 50, 53, 48, 52, 55, 58, 59, 60, 56, 57]]
83: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 8, 26, 15, 6, 13, 10], [9, 25, 16, 17, 22, 18, 19, 21, 23, 24], [30, 28, 29, 31, 27, 32, 38, 36, 34, 46, 37, 42, 40, 39, 41, 43, 44, 47, 45, 51], [49, 52, 50, 48, 53, 55, 54, 56, 58, 59, 57, 60]]
84: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 13, 8, 27, 19, 23, 9, 25], [22, 10, 15, 16, 18, 21, 17, 26, 24], [30, 31, 28, 29, 40, 36, 34, 32, 37, 47], [38, 39, 41, 45, 43, 42, 46, 44, 51], [49, 54, 50, 58, 52, 53, 48, 57, 55, 56, 59, 60]]
85: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 6, 9, 10, 8, 23, 13, 15], [19, 21, 17, 25, 16, 18, 24, 26, 28, 27, 29, 22, 31, 30, 40, 36, 46, 32, 38, 39], [42, 41, 34, 47, 37, 44, 43, 45, 51], [49, 52, 50, 55, 48, 53, 54, 57, 56, 58, 59, 60]]
86: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 9, 17, 22, 10, 26, 23, 6], [13, 19, 8, 16, 21, 27, 30, 15, 18, 24, 28, 31, 25, 29, 40, 38, 34, 36, 32, 43], [39, 37, 41, 44, 42, 45, 46, 47, 51], [49, 54, 50, 48, 52, 53, 55, 58, 59, 57, 56, 60]]
87: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5], [1, 10, 6, 9, 24, 17, 8, 13, 16, 23, 19, 18, 27, 15, 21, 25, 22, 26], [28, 31, 30, 29, 44, 32, 34, 36, 38, 39], [43, 37, 41, 42, 46, 45, 47, 40, 51], [49, 54, 50, 48, 55, 52, 53, 56, 59, 58, 57, 60]]
88: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 10, 29, 6, 26, 9, 13], [8, 15, 18, 16, 19, 17, 21, 23, 24, 27, 22, 30, 25, 28, 31, 32, 36, 34, 37, 38], [40, 39, 46, 47, 41, 43, 42, 45, 44, 51], [49, 54, 50, 48, 53, 52, 55, 56, 58, 59, 57, 60]]
89: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 10, 6, 13, 8, 25, 9, 23], [26, 17, 15, 16, 18, 30, 19, 21, 22, 27, 29, 24, 31, 28, 40, 36, 34, 37, 53, 47], [32, 38, 39, 43, 42, 44, 45, 46, 51], [49, 52, 50, 48, 41, 54, 55, 56, 59, 57, 58, 60]]
90: [[51], [36, 11, 35, 2], [9], [33, 14], [5, 18], [1, 3], [22, 26, 59], [31], [13, 28, 7, 21], [25, 30, 4], [15, 6, 10], [8, 16, 24], [57], [19, 23], [44, 34], [50, 46], [53], [42, 20, 32], [43, 37, 38, 40, 41, 12, 29], [47, 17, 52, 48], [54], [55, 49], [56, 39, 27, 45], [58, 60]]
91: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 8, 6, 26, 25, 30, 10, 13], [9, 15, 16, 17, 24, 19, 27, 21, 18, 28, 23, 31, 29, 40, 32, 34, 36, 37, 47], [46, 39, 41, 38, 43, 42, 45, 44, 51], [49, 54, 48, 58, 53, 50, 52, 55, 60, 56, 59, 57]]
92: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 29, 8, 6, 9, 10, 13], [19, 15, 16, 17, 21, 18, 23, 25, 26, 27, 28, 24, 31, 30, 36, 32, 46, 34, 39, 37], [38, 40, 41, 42, 45, 44, 43, 47, 51], [49, 52, 48, 58, 55, 54, 50, 56, 59, 53, 57, 60]]
93: [[35, 20, 11, 7, 2, 33, 3, 14, 4], [12, 5, 1, 22, 6, 30, 8, 9, 10, 15], [13, 27, 17, 19, 18, 16, 23, 24, 25], [21, 26, 28, 29, 31, 40, 38, 44, 34, 37, 39, 43, 42, 32, 36, 47, 41, 45, 46, 51], [49, 52, 50, 56, 53, 48, 54, 55, 57, 58, 59, 60]]
94: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5], [1, 26, 6, 13, 24, 17, 10, 15, 8], [21, 23, 19, 9, 25, 22, 16, 30, 18, 29, 31, 28, 27, 44, 32, 34, 37, 36, 39], [42, 41, 43, 40, 46, 45, 38, 47, 51], [49, 52, 50, 48, 55, 54, 53, 57, 59, 56, 58, 60]]
95: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 22, 6, 10, 24, 8, 29, 19, 30], [9, 27, 15, 13, 16, 21, 23, 18, 17], [26, 28, 31, 25, 40, 36, 42, 34, 37], [38, 39, 32, 45, 41, 46, 44, 43, 47, 51], [49, 54, 50, 48, 53, 60, 52, 57, 59, 55, 58, 56]]
96: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 22, 6, 24, 10, 19, 29, 8, 15], [13, 9, 16, 17, 18, 23, 21, 26, 25], [27, 28, 31, 30, 40, 32, 34, 36, 37], [39, 38, 46, 41, 47, 42, 43, 45, 44, 51], [49, 54, 50, 48, 55, 60, 52, 56, 58, 57, 53, 59]]
97: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 22, 6, 8, 24, 9, 30], [10, 15, 16, 27, 13, 17, 18, 19, 23], [21, 25, 26, 28, 31, 29, 40, 36, 34, 32, 37], [46, 38, 39, 43, 41, 47, 42, 45, 44, 51], [49, 54, 50, 53, 55, 48, 52, 57, 58, 56, 59, 60]]
98: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 9, 8, 15, 29, 31, 10], [13, 18, 25, 17, 19, 22, 16, 21, 30], [24, 23, 26, 42, 56, 32, 27, 28, 38, 37, 34], [36, 47, 45, 41, 39, 40, 43, 44, 51], [49, 52, 50, 46, 55, 48, 53, 57, 59, 54, 58, 60]]
99: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 31, 9, 10, 13, 15, 29, 8], [17, 23, 18, 21, 24, 16, 25, 27, 26], [28, 19, 30, 22, 40, 36, 34, 32, 37], [39, 47, 42, 41, 38, 46, 43, 44, 45, 51], [49, 54, 50, 48, 55, 53, 52, 56, 59, 57, 58, 60]]
100: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 30, 6, 9, 8, 29, 13, 19, 27], [22, 25, 10, 17, 28, 18, 26, 23, 15, 16], [21, 24, 31, 40, 36, 32, 34, 37, 46], [39, 38, 41, 42, 44, 43, 45, 47, 51], [49, 54, 50, 48, 52, 53, 55, 56, 59, 57, 58, 60]]
101: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 30, 6, 9, 8, 10, 29, 31, 15], [17, 21, 16, 19, 18, 13, 23, 22, 25, 24], [28, 27, 26, 40, 36, 34, 39, 53, 38], [32, 42, 45, 37, 41, 47, 43, 46, 51], [49, 54, 50, 48, 55, 44, 52, 56, 59, 57, 58, 60]]
102: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 8, 16, 31, 10, 28, 29], [13, 19, 15, 17, 22, 18, 9, 21, 23], [24, 25, 26, 27, 30, 40, 36, 38, 32, 37, 39], [46, 34, 45, 43, 42, 41, 47, 44, 51], [49, 54, 50, 48, 53, 52, 55, 58, 56, 57, 59, 60]]
103: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 16, 8, 30, 6, 10, 9, 31, 28, 13], [18, 15, 17, 22, 23, 25, 21, 19, 24, 26, 27, 29, 41, 38, 42, 36, 37, 46], [47, 34, 45, 32, 39, 40, 43, 44, 51], [49, 54, 50, 48, 53, 52, 55, 57, 58, 56, 59, 60]]
104: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12], [5, 1, 30, 6, 10, 8, 27, 9, 13], [15, 17, 18, 16, 21, 24, 19, 23, 22, 26, 28, 29, 31, 25, 44, 36, 34, 32, 53, 38], [37, 42, 41, 40, 39, 47, 43, 46, 51], [49, 54, 50, 48, 55, 52, 45, 56, 59, 57, 58, 60]]
105: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 8, 30, 10, 9, 13, 24, 17], [15, 25, 21, 27, 18, 19, 22, 16, 23], [28, 26, 31, 29, 40, 32, 46, 36, 37, 47], [39, 34, 41, 45, 44, 42, 38, 43, 51], [49, 54, 50, 56, 53, 48, 52, 57, 55, 58, 59, 60]]
106: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 8, 10, 13, 31, 9, 15], [17, 21, 23, 22, 16, 18, 26, 19, 28], [25, 30, 27, 24, 29, 40, 36, 46, 32, 34, 39], [47, 45, 43, 37, 38, 41, 42, 44, 51], [49, 52, 50, 48, 55, 54, 53, 57, 56, 58, 59, 60]]
107: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 22, 6, 9, 31, 8, 21, 19, 15], [17, 24, 10, 27, 26, 23, 13, 16, 28, 29], [30, 18, 44, 58, 36, 34, 32, 37, 25], [38, 43, 39, 45, 42, 40, 46, 47, 51], [49, 54, 50, 60, 53, 52, 41, 57, 48, 55, 56, 59]]
108: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 26, 9, 6, 10, 13, 27, 8, 30], [23, 15, 21, 16, 17, 19, 18, 22, 24], [29, 25, 28, 31, 44, 32, 42, 36, 39], [47, 37, 38, 45, 41, 40, 34, 43, 46, 51], [49, 52, 50, 58, 53, 54, 55, 57, 59, 48, 56, 60]]
109: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 9, 8, 10, 29, 31, 13, 16], [15, 27, 17, 19, 23, 18, 21, 30, 24], [28, 22, 25, 40, 42, 52, 32, 26, 37, 34], [38, 47, 45, 43, 36, 39, 41, 44, 51], [49, 46, 50, 54, 53, 48, 55, 57, 58, 56, 59, 60]]
110: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 30, 6, 8, 25, 9, 15, 10, 13], [23, 29, 18, 17, 16, 19, 21, 22, 27], [26, 24, 28, 31, 40, 34, 46, 36, 37, 38], [32, 39, 45, 41, 42, 47, 43, 44, 51], [49, 54, 50, 48, 55, 52, 53, 56, 59, 57, 58, 60]]
111: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 9, 8, 10, 13, 19, 17, 6], [22, 15, 16, 21, 23, 18, 29, 24, 25, 27], [28, 31, 26, 30, 32, 36, 40, 42, 37, 39], [43, 41, 45, 38, 34, 47, 46, 44, 59], [49, 54, 48, 50, 53, 60, 55, 56, 51, 57, 58, 52]]
112: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 8, 24, 10, 9, 13], [19, 30, 29, 27, 15, 22, 17, 23, 16, 18, 26], [21, 28, 31, 25, 40, 32, 42, 34, 36], [38, 37, 47, 41, 43, 39, 44, 46, 45, 51], [49, 54, 50, 52, 53, 56, 48, 55, 59, 57, 58, 60]]
113: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 10, 6, 8, 9, 16, 13, 22, 15], [17, 27, 19, 21, 25, 26, 18, 23, 30], [28, 29, 24, 31, 40, 36, 38, 58, 37, 32], [39, 34, 41, 47, 42, 43, 46, 45, 51], [49, 54, 48, 60, 53, 44, 55, 50, 57, 52, 56, 59]]
114: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 30, 9, 8, 10, 15, 13, 16], [17, 31, 21, 18, 24, 19, 22, 23, 25], [26, 27, 28, 29, 41, 38, 36, 32, 39, 43], [46, 44, 42, 34, 37, 40, 45, 47, 51], [49, 54, 48, 56, 53, 50, 55, 52, 59, 57, 58, 60]]
115: [[35, 20, 11, 7, 2, 33, 3, 14, 4, 12, 5, 1, 6, 10, 8, 9, 15, 19, 23], [27, 21, 17, 13, 16, 24, 18, 22, 25, 26], [30, 29, 31, 28, 40, 36, 34, 37, 49, 46], [32, 38, 50, 47, 42, 44, 45, 43, 51], [53, 52, 48, 58, 41, 55, 54, 57, 39, 56, 59, 60]]
116: [[3, 20, 11, 55, 1, 33, 39, 6, 4, 42], [5, 2, 18, 27, 22, 26, 13, 31, 8], [23, 7, 9, 10, 14, 12, 15, 25, 16], [19, 21, 17, 30, 24, 37, 32, 54, 44, 28, 29, 35, 36, 34, 40, 41, 38, 43, 46, 51], [49, 58, 48, 47, 50, 56, 52, 53, 57, 45, 59, 60]]
117: [[11, 4, 3, 22, 2, 33, 42, 10, 1], [6, 5, 35, 7, 30, 13, 24, 15, 14, 9, 21, 26, 17, 18, 25, 46, 23, 16, 29, 27], [58, 19, 28, 54, 41, 32, 31, 34, 37, 36], [43, 38, 45, 39, 8, 40, 44, 12, 47], [49, 50, 51, 52, 53, 48, 20, 55, 59, 56, 57, 60]]
118: [[59, 52, 11, 18, 3, 35, 14, 5, 32], [2, 1, 33, 7, 10, 9, 43, 23, 21, 4], [16, 15, 20, 6, 27, 55, 22, 8, 25, 26], [60, 51, 24, 28, 30, 31, 34, 42, 53, 36, 41, 13, 29, 37, 39, 47, 46, 12, 40], [17, 54, 48, 38, 44, 56, 45, 57, 19, 49, 50, 58]]
119: [[19, 4, 11, 34, 3, 35, 5, 6, 1, 7], [10, 9, 23, 14, 31, 57, 30, 13, 12, 18, 17, 2, 20, 15, 21, 25, 8, 26, 16, 24], [29, 22, 27, 40, 48, 38, 28, 53, 39], [42, 36, 45, 43, 41, 46, 44, 47, 32], [51, 58, 50, 33, 52, 49, 54, 55, 59, 37, 56, 60]]
120: [[19, 20], [11, 6], [2, 35], [3, 5], [7, 44], [1, 8, 9, 14], [10], [15, 23, 16, 4], [21, 25, 18], [22], [27, 28, 13, 24], [29, 31, 32], [59], [30, 54, 36], [34], [52, 37, 53], [26], [42, 56, 38], [40, 50, 39, 46, 12], [33, 17, 43, 48], [55], [45, 60], [47, 49, 51, 41], [57, 58]]
121: [[11, 4, 2, 22], [32, 35, 46], [6], [36, 34, 1], [3], [18, 12, 31], [5], [7], [21, 8, 20], [16, 13, 15, 9], [10], [17, 29, 14, 19], [25, 57], [23, 24], [37, 26], [38, 27], [28, 47], [30, 33, 45], [41, 56, 39, 44, 40], [42, 43, 49, 50], [48], [52, 51], [54, 55, 58, 53], [59, 60]]
