0: [[7, 35, 3, 2], [13, 5, 1, 6, 21], [9, 8, 4, 18], [24, 16, 23, 10, 12], [15, 30, 20, 31, 19], [11, 27, 14, 17], [22, 26, 28], [29, 46, 32, 37, 40], [25, 33, 34, 36], [39, 47, 41], [42, 43, 58], [38, 51, 44], [45, 50, 55], [53, 54, 56], [49, 57, 48], [52, 60, 59]]
74: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 25, 3, 4, 12, 9], [30, 15, 8], [10, 17, 19, 14, 18, 22, 20, 24], [16, 26, 23, 31, 29, 28], [27, 32, 36, 33, 41, 34, 45, 37, 38, 39], [47, 42, 40, 43, 59, 44, 46, 49, 51, 53, 52, 48, 50, 55, 57, 54, 58], [60, 56]]
75: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 26, 4, 14, 3, 10], [8, 12, 31], [17, 18, 16, 9, 22, 20, 15, 24], [28, 25, 19, 29, 23, 27, 30, 32, 37, 34, 36, 33, 46, 38, 39, 44, 40, 42, 41, 43, 50, 45, 47, 52, 54, 49, 51, 48, 53, 58, 57, 56, 55, 59, 60]]
76: [[7, 35, 2, 1], [13, 5, 21, 6, 8], [19, 3, 4, 18], [10, 26, 15, 28], [30, 11, 14, 16, 9, 12, 24, 23, 22, 20, 17, 31, 25, 29, 47], [32, 37, 41, 27, 39, 44, 38, 33, 36, 43, 40, 42, 60, 34, 55, 45, 46, 48, 50, 54, 49, 51, 52, 53, 58, 56, 57, 59]]
77: [[7, 35, 2, 1], [13, 5, 21, 6], [12, 3, 4, 10], [8, 14, 11, 9, 15], [20, 31, 30, 19, 18], [22, 27, 17, 16, 24], [29, 25, 23, 26, 28], [32, 34, 33], [40, 39, 37, 36, 41, 42], [43, 45, 44, 46, 38], [51, 52, 54, 50], [55, 49, 47], [48, 56, 57], [58, 53, 60, 59]]
78: [[7, 35, 2, 1], [13, 5, 21, 6], [14, 27, 3, 8, 19, 12], [25, 4, 10, 28], [9, 17, 11, 15, 18, 16], [20, 22, 23, 26], [24, 29, 31, 30], [32, 33, 36, 34, 39, 37, 46, 41, 40, 38, 44], [45, 42, 49, 55], [43, 53, 47, 50], [48, 51, 52, 54, 56, 58, 57], [60, 59]]
79: [[7, 35, 2, 1], [13, 5, 21, 3], [8, 14, 4, 6], [12, 9, 10, 11, 31, 15, 29, 18, 17, 16, 22, 20], [19, 27, 23, 24, 25, 28, 30, 26, 32], [37, 34, 42, 33, 47, 39, 41, 44, 36], [43, 40, 38, 51, 45, 46, 50, 49, 48], [53, 52, 54, 55, 57, 59, 58, 56, 60]]
80: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 9, 3, 4, 14, 10], [30, 8, 19, 15, 12], [17, 25, 20, 16, 22, 18, 23, 31, 28, 24], [27, 26, 29, 32], [36, 37, 33, 40, 34], [38, 41, 39], [44], [47, 42, 43, 49, 45, 54, 46, 52, 48, 50, 51, 53, 55, 57, 58, 59, 60, 56]]
81: [[7, 35, 2, 1], [13, 5, 21, 6, 11, 27, 8], [3, 10, 9, 26, 14, 4, 12, 15, 22, 16, 23, 17], [19, 20, 18, 24], [25, 30, 29, 28], [31, 33, 37, 36, 34, 38], [43, 40, 32, 47, 41, 42, 39, 46, 52, 44, 45, 53, 60, 48, 50, 55, 49], [51, 57, 56, 59, 54, 58]]
82: [[7, 35, 2, 1], [13, 5, 9, 3], [12, 6, 4], [10, 8, 11, 30, 15, 14, 28], [21, 22, 17, 16], [18, 26, 19], [20, 27, 23, 25, 24], [29, 31, 32, 37], [34, 38, 33, 47], [36, 41, 44, 42, 39], [40, 45, 51, 46, 43, 50], [54, 49, 48, 55, 52, 53, 57], [56, 58, 59, 60]]
83: [[7, 35, 1, 2], [13, 5, 21, 6], [15, 26, 3, 8], [4, 12, 27, 14], [10, 9, 16, 17], [18, 19, 22, 20, 11, 23, 31], [25, 28, 24, 29, 30, 32, 39], [41, 34, 42, 44, 38], [43, 47, 33, 36, 37, 45, 49], [40, 55, 46, 48, 50, 51, 54], [52, 53, 56], [57, 59, 58, 60]]
84: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 25, 8], [3, 4, 9, 10], [14, 15, 30, 16, 19, 12, 24], [22, 17, 23, 18, 26, 27, 20], [28, 31, 29, 32], [38, 34, 33, 37, 41, 36, 39, 45, 40, 42, 43, 44, 58, 46, 47, 54, 52, 48, 49, 50, 55, 59, 57, 53, 51, 60, 56]]
85: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 3, 8, 12, 4], [15, 10, 9, 16], [19, 14, 18, 27, 29, 26], [25, 24, 20, 23], [22, 30, 31, 28, 17, 36], [37, 39, 40, 34], [32, 38, 33, 43, 41, 42], [44, 47, 46, 55, 45], [49, 48, 52, 50], [51, 54, 53, 57], [56, 59, 58, 60]]
86: [[7, 35, 2, 1], [13, 5, 3, 6, 22], [27, 4, 8, 19], [10, 17, 11, 14, 12, 15, 31, 9, 20, 16], [18, 21, 30, 23, 25, 24, 26, 29, 46, 32, 33, 36, 28, 37, 34, 38, 39], [40, 42, 43, 41, 47, 50, 51], [44, 45], [48, 55, 49, 54, 59, 53, 56, 57, 52, 60, 58]]
87: [[7, 35, 2, 1], [13, 5, 21, 6, 3], [19, 11, 4, 12, 15], [16, 9, 8, 26, 22], [30, 24, 18, 27, 10, 20], [25, 17, 23, 29], [28, 31, 14], [32, 33, 37], [34, 39, 45, 36], [47, 38, 40, 42, 43, 46, 41], [44, 54, 49, 50, 51, 48, 53, 55, 52, 56, 58, 59, 57, 60]]
88: [[7, 35, 2, 1], [13, 5, 21, 3, 11, 10], [4, 8, 12, 14, 24, 6, 9, 31, 15], [26, 25, 16, 22, 20, 23, 18, 19, 27], [17, 28, 29, 30, 32, 37, 34, 33, 38, 36, 43, 45, 46, 42, 39, 40, 41, 55, 44, 54, 48, 49, 50, 47, 51, 53, 59, 56, 58, 57, 52, 60]]
89: [[7, 35, 2, 1], [13, 5, 21], [6, 3, 9, 8, 4, 14, 11], [26, 10, 12, 20, 15], [17, 16, 19, 22, 18, 27], [23, 31, 24, 25, 28, 30, 29], [32, 37, 41, 36, 40], [39, 38, 45, 33, 42, 34, 43], [47, 58, 44], [46, 49, 52, 48, 53], [50, 55, 51, 54], [57, 59, 60, 56]]
90: [[7, 35, 2, 1, 13], [5, 21, 6, 9], [3, 12, 4, 10, 14], [24, 11, 8, 15, 29, 19, 20, 16, 30], [25, 23, 27, 28, 17], [22, 26, 18, 31, 32, 37], [36, 41, 39, 46, 33, 45, 38, 43, 47], [42, 40, 34, 54, 51], [44, 53, 52, 49, 50], [48, 57, 55, 58, 59, 60, 56]]
91: [[7, 35, 2, 1], [13, 5, 21, 6, 3, 27, 4, 12, 8, 14, 16, 10, 11, 22, 15], [19, 17, 31, 9], [20, 25, 26, 18, 24, 23, 28, 29, 30, 32, 39], [33, 50, 40, 46, 41, 37, 36, 38, 43, 44, 42, 51, 47, 53, 45, 48, 34, 55, 49, 52, 54, 57, 56, 58, 59, 60]]
92: [[7, 35, 1, 2], [13, 5, 21], [3, 27, 4, 8], [14, 9, 26, 15, 30], [16, 17, 23, 18], [12, 31, 25, 22, 20], [11, 29, 24, 19, 10], [28, 32, 33, 6], [37, 36, 38, 40], [47, 39, 34, 41], [45, 42, 46, 50], [44, 51, 53, 43], [48, 49, 54, 55], [52, 57, 56, 60, 59, 58]]
93: [[7, 35, 2, 1], [13, 5, 21, 6], [9, 11, 4, 3], [8, 14, 28, 12], [16, 10, 17, 23], [22, 15, 26, 20], [19, 30, 27, 29], [25, 31, 18, 46, 32, 37], [41, 38, 36, 45], [43, 24, 40, 33, 47, 34], [48, 39, 50, 42, 49, 52, 44, 53, 51, 55, 54, 56, 59, 57, 60, 58]]
94: [[7, 35, 2, 1, 13], [5, 21, 6], [11, 27, 8], [4, 9, 25, 26, 3, 15, 18], [14, 17, 16, 29, 24, 10, 22], [12, 20, 19, 31, 30], [23, 28, 33, 37, 36], [41, 32, 44, 34, 38, 39, 43], [42, 45, 40, 58], [46, 51, 47, 48, 52, 49, 54], [53, 50, 56, 55, 60, 59, 57]]
95: [[7, 35, 2, 1], [13, 5, 11, 6], [4, 3, 12, 8, 10, 14, 24, 15, 9, 30, 21, 18, 22, 19, 16], [20, 23, 17, 28, 25, 27, 26, 29, 31, 32], [33, 36, 38, 34, 45, 37, 44, 40, 42, 39, 41, 47, 51], [46, 43, 54, 50], [48, 49, 53], [55, 52, 56, 57, 59, 60, 58]]
96: [[7, 35, 2, 1], [13, 5, 21, 6], [11, 4, 15, 3], [16, 10, 8, 19], [9, 12, 20, 18], [17, 22, 29, 14, 24, 23, 26], [30, 31, 25, 28], [27, 32, 37], [34, 36, 42, 47, 33], [39, 41, 40, 38, 44], [46, 50, 43, 55, 54], [53, 45, 48, 52, 57], [49, 59, 51, 60, 58, 56]]
97: [[7, 35, 2, 1], [13, 5, 3], [6, 4, 26, 9, 8, 19, 10, 14, 17, 11, 12, 18], [30, 16, 21, 15, 22, 20, 31, 23, 27], [25, 24, 28, 46, 32, 36, 33, 29, 37, 34, 38, 39, 44, 40, 43], [41, 42, 55, 51], [45, 47, 48, 56, 49, 54, 50, 52, 58, 59, 53, 57, 60]]
98: [[7, 35, 2, 1], [13, 5, 21, 6, 3], [27, 8, 4, 18], [10, 16, 15, 11], [14, 30, 23, 9, 20], [28, 17, 19, 24], [26, 25, 31, 12, 29, 46, 32, 38, 34, 22], [37, 44, 33, 39, 40, 42, 43, 41, 36, 47, 54, 48, 45, 51, 55, 49, 53], [59, 60, 57, 56, 50, 52, 58]]
99: [[7, 35, 2, 1, 13, 5, 21, 6, 9, 19], [15, 3, 8, 10], [30, 11, 4, 12, 14, 16, 17, 18, 25, 22, 23, 24], [20, 28, 29, 27, 26], [31, 32, 37, 38, 39, 33, 36, 40, 41, 34, 43, 47, 42, 44, 55, 45, 46, 54, 48], [53, 51, 57, 49, 50, 56, 58, 59, 60, 52]]
100: [[7, 35, 2, 1], [13, 5, 11, 6], [14, 3, 4, 12, 9, 10, 31, 8], [15, 30, 21, 18, 27, 16, 22, 17, 20, 19, 23, 26, 25, 28, 24, 29, 32, 33, 36, 38, 34, 45, 37, 42, 46, 39, 43, 40, 41, 50, 44, 47, 51, 53, 48, 49, 52, 55, 54, 56, 58, 57, 60, 59]]
101: [[7, 35, 2, 1], [13, 5, 21, 6, 11, 9, 8, 4, 24], [10, 30, 14, 12, 3], [15, 17, 31, 18], [22, 19, 16, 20, 28, 23, 27, 25], [26, 59, 32, 34, 29, 38, 36, 33], [37, 47, 39, 45, 42, 41, 43, 40, 46], [55, 50], [51, 48, 53, 52, 44, 49, 56, 54], [58, 60, 57]]
102: [[7, 35, 2, 3], [13, 5, 21, 6], [1, 27, 8, 15, 19, 24], [25, 14, 12, 11], [4, 9, 10, 28], [17, 16, 18], [22, 20, 26, 23, 29, 31, 30], [32, 37, 36, 34, 38], [33, 40, 39, 41], [43, 42, 44, 45], [58, 47, 46, 54, 51, 50, 55], [48, 49, 60], [56, 53, 59, 52, 57]]
103: [[7, 35, 2, 1], [13, 5, 21], [6, 3, 8, 4, 9, 14, 10], [25, 11, 12, 18, 15, 17, 19], [20, 22, 30, 16, 23], [31, 24, 26, 28, 27], [29, 32, 33, 44, 34, 36, 37], [38, 47, 39, 41], [43, 42, 40, 50, 46, 45, 49, 51, 48, 53, 55, 52, 58, 57, 54, 59, 60, 56]]
104: [[7, 35, 2, 1, 13, 5, 21, 6, 3, 27, 4, 8, 20, 11, 9], [14, 10, 12, 15, 17, 16, 18, 29, 19, 22, 23, 31, 30, 25, 26, 24, 28, 33, 36, 32, 34, 38], [37, 47, 39, 44, 40, 43, 41, 46, 51, 54, 45, 49, 42, 50, 48, 52, 55, 53, 57, 58, 59, 56, 60]]
105: [[7, 35, 2, 3], [13, 5, 21, 6, 9, 27, 4, 14, 1, 8], [11, 31, 10, 12], [19, 16, 15, 28], [18, 17, 20], [22, 25, 23, 24, 26, 29, 30], [32, 37, 34, 33, 36, 44, 39, 38, 41], [40, 43, 45, 42, 51, 46, 47, 52, 49, 48, 50, 53, 54, 55, 57], [56, 58, 59, 60]]
106: [[7, 35, 2, 1, 13, 5, 21, 6, 15, 26, 3, 11, 10, 14, 4, 9, 8, 12, 22, 17, 16, 18, 30], [31, 19, 24, 23, 27, 25, 20, 29, 28, 32, 39, 34, 38, 33, 47], [36, 42, 46, 40, 41, 37, 43, 49, 44, 52, 45, 51, 48, 50, 53, 54, 55, 57, 56, 59, 58, 60]]
107: [[7, 35, 2, 1], [13, 5, 21, 6], [15, 3, 4, 11], [12, 9, 10, 8, 14], [26, 31, 22, 19, 18], [17, 20, 16, 23, 27], [29, 25, 28, 24, 30], [33, 32, 36], [34, 39, 41, 37, 38, 42, 40, 45, 47, 46, 43, 58, 53, 55, 48, 44, 49, 50, 52, 54, 57, 56], [51, 60, 59]]
108: [[7], [35, 2, 1, 13, 5, 21, 6, 15, 27, 8, 4, 3], [10, 26, 12, 9, 30, 11, 17, 14, 16, 18, 24, 19, 22, 20, 29, 25, 23, 28, 31, 36, 37, 32, 34, 33, 46, 38, 43, 41, 42, 44, 40, 54, 49, 39, 52, 45, 48, 47, 50, 53, 55, 51, 57, 56, 59, 58, 60]]
109: [[7, 35, 2, 1, 13], [5, 21, 3, 8], [14, 4, 6, 10, 9, 24, 11, 15, 30, 25, 16, 17, 12, 28], [20, 23, 18, 19, 27, 26, 31, 22, 29, 32], [37, 36, 41, 34, 47, 33, 40, 38, 42], [39, 43, 44, 51, 45, 46, 49, 53, 48], [50, 52, 54, 55, 57, 59, 58, 60, 56]]
110: [[7, 35, 2, 1, 13], [5, 21, 6, 3, 26, 12], [8, 11, 4], [15, 14, 31, 9, 10, 19, 18], [20, 17, 16, 25, 22, 23, 29, 28, 24, 27, 30], [32, 37, 36, 49], [34, 33, 39, 45, 44, 41], [42, 38, 40, 46], [47, 43, 50, 51], [48, 53, 55, 52, 54, 56, 57, 60, 58, 59]]
111: [[7, 35, 2, 1, 13, 5, 21, 6, 8, 3, 12, 4, 11, 9, 10, 14, 31, 24, 17, 15, 16, 22, 28], [18, 19, 23, 20], [29, 30, 25, 26, 27, 33, 32, 34, 37], [36, 39, 38, 43, 47, 40, 42, 45, 41, 50, 46, 53, 44, 48, 51, 49, 55, 52, 54, 57, 58, 59, 56, 60]]
112: [[7, 35, 2, 1, 13, 5, 21, 6, 15, 10, 4, 8, 12, 14, 31], [3, 9, 30, 11, 17, 16, 20, 18, 24, 19], [22, 23, 27, 25, 26, 29, 28, 32, 37, 39, 41, 34, 38, 46, 33, 36, 43, 44, 42, 40, 49, 47, 52, 54, 51, 48, 50], [45, 53, 57, 56, 59, 60, 55, 58]]
113: [[7, 35, 2, 1, 13, 5, 21, 6, 9, 26, 4, 12, 3, 8, 10], [11, 30, 16, 31, 19, 14, 22, 20, 23], [24, 17, 25, 27, 29, 15, 18, 28, 32, 36, 34, 47, 39, 45, 38, 33, 44, 43, 40, 37, 41, 50, 42, 46, 53, 51, 48, 52, 54, 55, 58, 57, 56, 49, 59, 60]]
114: [[7, 35, 2, 1], [13, 5, 23, 6, 11], [26, 4, 8, 10], [3, 24, 9, 15, 14, 29, 18, 16, 12], [17, 20, 31, 19, 22, 21, 27, 28, 25], [30, 32, 33, 36, 38, 42, 34, 37, 45, 44, 40, 43, 39, 41, 51, 47, 49, 46, 53, 48, 50, 52, 54, 57, 55, 59, 58, 56, 60]]
115: [[7, 35, 2, 1], [13, 5, 3, 6, 11], [9, 4, 8, 16], [12, 14, 22, 10], [15, 19, 27, 21, 26, 17, 18, 20, 25, 23, 29, 31, 28, 24, 40, 32, 33, 37, 30, 38, 45, 34, 36, 39, 41, 46, 42, 58, 44, 43, 52, 47, 48, 49, 50, 55, 51, 53, 56, 54, 57, 59, 60]]
116: [[7, 35, 3, 1, 13], [5, 21, 6, 20, 9, 8, 4, 19, 24, 18, 27, 15, 12, 2, 10, 22, 30, 11, 16, 23, 14, 17, 29, 25, 28, 31, 44, 32, 33, 40, 26, 34, 39, 36, 41, 47, 42, 45, 43, 56, 38, 48, 46, 37, 51, 54, 49, 52, 57, 53, 58], [50, 59, 55, 60]]
117: [[7, 35, 2], [3, 13, 5], [21, 6, 1], [10, 4, 12, 8, 25, 31], [11, 19, 18, 14, 9], [15, 23, 24, 16, 17, 27, 20], [22, 26, 29, 30], [28, 32, 37, 43, 33, 40], [38, 34, 36, 39, 42], [41, 47, 44, 59], [45, 46, 50, 48, 49], [51, 54, 53], [55, 56, 52, 60, 57, 58]]
118: [[7, 35, 2, 3], [13, 5, 1, 6], [14, 26, 8, 4], [18, 15, 12, 17], [10, 24, 9, 30], [20, 31, 11, 19, 27], [23, 25, 22, 16], [21, 29, 28], [32, 37, 34, 33], [36, 38, 42, 39, 40], [43, 41, 45], [46, 58, 47, 44], [51, 50, 49], [53, 52, 54], [56, 55, 48], [57, 60, 59]]
119: [[7, 35, 3, 1], [13, 5, 2, 6, 21], [9, 8, 4, 19, 12], [16, 23, 10, 14, 15], [31, 17, 26, 18, 11], [27, 22, 20, 28], [30, 25, 29], [46, 32, 33, 40], [24, 37, 34, 36], [39, 38, 41, 42, 43, 44, 47, 51], [45, 48, 50, 49], [53, 54, 52, 55, 56, 57, 58], [60, 59]]
120: [[7, 35, 2, 1], [13, 5, 19, 6], [21, 25, 4, 12], [10, 3, 31, 15, 9], [8, 11, 18, 14], [20, 17], [22, 26, 23, 16], [24, 30, 27, 29, 28], [32, 36, 41, 40], [34, 38, 33, 47, 39, 42, 37, 45, 44, 50], [43, 52, 57, 46, 48, 51, 53, 49, 54, 55], [58, 59, 60, 56]]
121: [[7, 35, 2, 9], [13, 5, 3, 6, 18, 1], [20, 11, 15, 24, 26, 4, 8, 10, 22, 14], [12, 19, 16, 17], [23, 21, 25, 29, 27, 28], [30, 31, 33, 37, 34, 49, 38, 46, 44, 47, 36, 42, 32, 39, 43, 40, 41, 45, 53, 48, 54, 50, 51, 55, 52, 58, 56, 59, 57, 60]]
