0: [[35, 7, 2], [27, 1, 11, 33, 14], [4, 19], [24, 12], [3], [8], [13, 9, 6, 21], [5, 15, 31, 29, 16, 10, 18], [25, 17, 20], [22, 23, 26, 30], [28, 32], [59, 39, 42], [41, 36, 34, 37, 44], [38, 43], [40, 45, 46, 48], [55, 47, 54, 50, 51], [57, 49], [52, 53, 60, 58], [56]]
74: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 15, 13, 16, 23, 17, 21, 26, 18, 29], [25, 22, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
75: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 10, 6, 17, 15, 16, 13, 18, 26, 23, 21, 29], [25, 22, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
76: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 23, 6, 16, 18, 21, 15, 17, 26, 29], [25, 22, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
77: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 17, 26, 16, 23, 15, 18, 29, 13, 10, 21, 6], [25, 22, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
78: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 17, 6, 15, 10, 18, 21, 26, 16, 29, 23], [25, 22, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
79: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 15, 6, 17, 16, 18, 29, 21, 23, 26], [25, 22, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
80: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 10, 6, 29, 21, 26, 17, 13, 16, 18, 15, 23], [25, 22, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
81: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 6, 15, 10, 16, 18, 17, 29, 23, 21, 26], [25, 22, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
82: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 22, 15, 13, 18, 21, 25, 28, 26, 23], [16, 17, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
83: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 18, 21, 15, 6, 10, 23, 28, 29, 16, 26], [25, 22, 17, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
84: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 16, 15, 26, 10, 6, 23, 29, 28, 18, 21, 13], [25, 22, 17, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
85: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 23, 15, 13, 17, 16, 28, 29, 21, 18], [25, 22, 26, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
86: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 6, 15, 10, 16, 23, 21, 18, 28, 17, 29], [25, 22, 26, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
87: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 10, 18, 6, 29, 15, 23, 13, 16, 17, 21, 28], [25, 26, 22, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
88: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 15, 17, 18, 29, 16, 25, 28, 10, 21, 6], [23, 22, 26, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
89: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 18, 21, 10, 6, 15, 16, 22, 17, 26, 28], [25, 23, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
90: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 13, 21, 10, 15, 16, 28, 17, 18, 22], [25, 23, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
91: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 15, 17, 22, 6, 18, 10, 28, 21, 16, 26], [25, 23, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
92: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 16, 18, 13, 15, 22, 10, 17, 21, 28], [25, 23, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
93: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 10, 15, 6, 13, 17, 22, 16, 28, 18, 21, 26], [25, 23, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
94: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 15, 13, 16, 10, 18, 17, 22, 21, 28], [25, 23, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
95: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 16, 15, 13, 17, 23, 25, 18, 29, 10, 21, 6], [26, 22, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
96: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 23, 15, 26, 18, 16, 17, 22, 10, 21, 6], [25, 28, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
97: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 6, 16, 10, 21, 23, 15, 17, 26, 18, 22], [25, 28, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
98: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 10, 15, 17, 23, 16, 21, 18, 22, 26], [25, 28, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
99: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 17, 16, 15, 13, 23, 22, 26, 10, 18, 21], [25, 28, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
100: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 15, 16, 10, 21, 18, 17, 13, 26, 23, 22], [25, 28, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
101: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 6, 10, 16, 21, 23, 29, 15, 17, 26, 28], [25, 22, 18, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
102: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 15, 6, 16, 17, 13, 28, 18, 21, 10, 25, 22], [23, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
103: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 6, 18, 15, 16, 17, 25, 21, 22, 23], [26, 28, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
104: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 22, 15, 17, 23, 18, 16, 13, 21, 25], [28, 26, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
105: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 18, 15, 21, 16, 23, 17, 13, 25, 10, 22, 6], [26, 28, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
106: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 15, 10, 6, 13, 21, 23, 28, 16, 22, 17, 26], [25, 18, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
107: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 10, 6, 13, 15, 22, 16, 26, 21, 17, 23, 28], [25, 29, 18, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
108: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 13, 15, 23, 16, 17, 21, 22, 29, 28], [25, 18, 26, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
109: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 21, 13, 23, 15, 16, 28, 29, 22, 17], [25, 26, 18, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
110: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 6, 15, 21, 16, 22, 29, 18, 17, 28], [25, 26, 23, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
111: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 22, 13, 18, 15, 23, 29, 16, 21, 17], [25, 26, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
112: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 21, 15, 10, 22, 16, 23, 13, 29, 17, 18, 6], [25, 26, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
113: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 26, 6, 18, 16, 13, 15, 22, 29, 10, 21, 17], [25, 23, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
114: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 10, 6, 29, 13, 21, 16, 15, 22, 18, 26, 17], [25, 28, 23, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
115: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 22, 10, 26, 29, 17, 18, 15, 28, 13, 21, 6], [25, 16, 23, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
116: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 16, 6, 15, 18, 17, 29, 23, 26, 28], [25, 22, 21, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
117: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 15, 10, 13, 17, 16, 18, 29, 26, 23, 28], [25, 22, 21, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
118: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 13, 15, 10, 17, 16, 22, 29, 23, 18], [25, 21, 28, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
119: [[35, 7, 2, 20, 1, 10, 33, 15, 4, 18, 25, 12, 3, 8, 13], [9, 5, 17, 6, 14, 31, 29, 16, 11, 23, 27, 19, 21, 26, 22], [24, 30, 28, 32, 53, 39, 42, 34, 36, 37, 40, 44, 38, 41, 46], [45, 47, 48, 55, 43, 54, 50, 51, 57, 49, 52, 59, 60, 58, 56]]
120: [[35, 7, 27, 26, 1, 2, 33, 13, 4, 19, 3, 12, 24, 8, 5], [9, 31, 6, 11, 14, 15, 29, 16, 10, 17, 25, 20, 22, 18, 28], [21, 23, 30, 32, 59, 37, 42, 34, 36, 40, 39, 45, 38, 43, 46], [41, 44, 48, 55, 49, 54, 50, 51, 56, 47, 52, 53, 60, 58, 57]]
121: [[35, 7, 27, 2], [1, 3], [11, 32, 14, 5, 18], [4, 24, 8, 12], [9, 22], [13, 29, 6, 10, 15], [19, 16, 20], [23, 17], [21, 26, 28, 25], [30, 31, 38], [43, 34, 42, 33, 36, 46, 37], [39, 40, 47, 44], [41], [45], [48, 55], [49, 54], [50, 51, 56, 53, 52], [59, 60, 58], [57]]
