0: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 6, 21], [11, 9, 12, 14, 24], [15, 17, 16, 26, 10, 18], [22, 30, 23, 28], [29, 25, 27, 31, 37], [32, 33, 36, 38, 34], [43, 45, 40, 39], [47, 56, 41, 51], [57, 49], [44, 52, 54, 46, 55], [50, 48, 53, 58, 60, 59]]
74: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6, 11, 9, 10, 18, 30], [14, 24, 12, 16, 15, 23, 27, 17, 22], [26, 25, 29, 60, 44, 45, 32, 34, 28], [38, 40, 51, 43, 31, 33, 39, 36, 37, 58, 41, 52, 46, 48, 47, 50, 56, 53, 49, 55, 59, 54, 57]]
75: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6, 10], [9, 12, 14, 11, 15], [17, 28, 16, 18], [23, 29, 22, 24, 26], [30, 25, 27], [31, 37, 32, 34, 38, 33, 44, 41, 36, 47, 39, 46, 40, 45], [49, 52, 58, 43, 51, 50, 48, 55, 53], [54, 56, 57, 59, 60]]
76: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6], [11, 9, 12, 14, 10], [15, 26, 24], [17, 16, 18, 30], [22, 25, 28, 29, 23], [27, 31, 37, 32], [38, 33, 36, 34], [41, 47, 44, 52, 43], [40, 45, 53, 48, 49, 39, 46, 50, 51, 55, 56], [54, 60, 57, 58, 59]]
77: [[42, 35, 7, 1, 2, 19, 20, 3, 4, 8], [13, 21, 6, 5, 11, 9, 12, 10, 14, 27, 17, 30, 26, 22, 18, 15, 24, 16, 31], [23, 25, 29, 28, 37, 32, 33, 40, 48, 38, 51], [45, 41, 39, 34, 47, 44, 43, 36], [56, 46, 50, 55, 49, 54, 58, 53, 57, 60, 52, 59]]
78: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 11], [9, 10], [15, 24, 12, 22, 14, 17, 16, 18], [23, 25, 27, 26, 28, 30], [31], [29, 37, 32, 33, 36, 49], [34, 43, 39, 38, 40, 45], [60, 41, 44, 48, 47, 50, 55], [58, 46, 51, 52, 53, 54, 57, 59, 56]]
79: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 10], [12], [9, 14, 6, 16, 15, 17, 30, 11, 18, 22, 23, 24, 26, 27], [29, 25, 28, 31], [37, 32, 34, 36, 33, 44, 39, 38, 41, 47, 46, 40], [45, 51, 59, 43, 48], [52, 56, 49, 54, 50, 55, 53, 60, 57, 58]]
80: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5], [6, 11, 9, 12], [15, 10, 14, 26, 16], [29, 17, 22, 18, 31], [23, 28, 24, 30, 27, 25], [37, 32, 48, 47, 34, 33, 36, 38, 45], [39, 44, 41, 56, 59, 40, 43, 46, 58, 49, 53, 51, 52, 50, 55, 54, 57, 60]]
81: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 14, 10, 12, 11, 9, 15, 24, 17, 22, 16, 18, 23, 30, 29, 26], [25, 27, 28, 31, 37, 32, 36, 39, 34, 40, 43, 47, 46, 33, 41, 44, 45, 49, 52, 48, 60, 38, 50, 55, 54], [56, 51, 53, 58, 57, 59]]
82: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6, 11], [9, 10, 14, 12, 17], [22, 18, 26], [25, 15], [31, 16, 23, 27, 28, 24], [29, 30, 37, 32, 48, 36], [33, 34, 43, 39], [47, 40, 38, 41, 49, 45], [46, 44, 50, 52, 55, 51], [54, 53, 56, 58, 60, 59, 57]]
83: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5], [6, 21, 14, 9, 12], [10, 11, 15, 17, 16, 26], [18, 24, 22, 23, 28, 27, 29, 30, 25, 31, 53, 32, 33, 36, 38, 39, 47, 46, 34, 41, 45, 56, 37, 51, 57, 49, 40, 52, 54, 60, 55, 50, 58, 43, 44, 48, 59]]
84: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13, 21, 5, 6, 14, 9, 12, 10, 26], [11, 16, 15, 22, 17], [25, 31, 18, 23, 24], [27, 28, 29, 30, 37, 32, 34, 38, 33], [47], [41, 43, 40, 39, 44, 46, 36, 51, 45, 56, 48], [49, 50, 52, 53, 55, 54, 57, 60, 58, 59]]
85: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13], [21, 6, 5, 10, 11, 12, 14, 28, 29, 15, 24, 22, 16, 9, 31, 18, 17, 23, 26, 25, 27, 30, 37, 32, 40, 36, 33, 44, 34, 39, 57, 43, 38, 41, 46, 45, 52, 59, 58, 48, 47, 49, 50, 53, 55, 51, 60, 54, 56]]
86: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 14, 9], [10, 11, 30, 12, 24, 15], [16, 22, 17], [18, 29, 26, 23, 25], [27, 28, 31, 36, 33, 34, 39, 38, 32, 47, 37, 41, 46, 40, 43, 44, 45, 48, 52, 50, 51, 60, 57, 59, 54, 49, 53, 56, 58], [55]]
87: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 6, 5], [10, 9, 11, 14], [12, 15, 18, 17], [23, 22, 16, 26, 30], [24, 28, 25, 29, 31], [27, 37, 32, 34, 39], [36, 33, 40], [47, 43, 38, 41, 44], [45, 59, 46, 51, 52], [48, 53, 55, 56, 50, 54, 49, 60, 58], [57]]
88: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6], [10, 9, 14, 12, 16], [15, 18, 17, 23, 24, 11, 27, 26, 22, 25], [31, 28, 30, 29], [39, 32, 34, 52, 36], [37, 43], [38, 33, 46, 45, 44], [40, 59, 41, 47, 49], [48, 55, 51, 50, 58, 54, 57, 53, 56], [60]]
89: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 14, 6], [21, 9, 12, 11, 10, 27, 18, 24, 15, 16, 23, 17, 25, 28, 22, 26, 30, 29, 31, 39, 32, 33, 34, 36, 44, 47, 37, 38, 40, 43, 46, 41, 45, 52, 49, 48, 51, 55, 50, 53, 60, 57, 54, 56, 58, 59]]
90: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 6, 21, 11, 10], [12, 26, 9, 15, 18, 14], [16, 22, 23, 31], [27, 17, 24, 29, 25], [28, 45, 38, 33], [32], [52, 40, 44, 34, 46, 43, 30, 36, 60, 37, 50, 57, 39, 48, 49, 58, 53, 41, 47, 51, 54, 59, 56, 55]]
91: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 6, 5], [10], [11, 12, 9, 26, 14], [17, 15, 18, 25], [16, 31, 22, 23], [24, 27, 30, 28, 29], [37, 32, 34, 36, 45, 33, 39, 38, 41, 43, 40, 44, 56, 46, 49, 50, 47, 48], [55, 51, 53, 54, 57, 58, 52, 60, 59]]
92: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13, 5, 22, 11], [17, 6, 9, 12, 10, 15, 14, 16, 23, 21, 24, 30, 31, 18, 28, 26, 25, 29, 27, 37, 33, 32, 34, 38, 36, 40, 39, 45, 41, 47, 43, 44, 48, 60, 46, 52, 50, 51, 49, 58, 54, 53, 55, 59, 56, 57]]
93: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 9, 6], [12, 15, 14, 11, 10, 25, 28, 18, 23], [16, 17, 26, 31, 29, 27, 24, 22, 37, 21], [36, 32, 51, 30, 56, 33, 44], [45, 39, 40, 41, 38], [46, 50, 43, 57], [34, 47, 49, 48, 60, 52, 55, 53, 54, 58, 59]]
94: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13], [21, 5, 9, 14], [10, 6, 11, 27, 12, 15], [18, 17, 22, 16, 23, 24, 28, 26, 30], [29, 31, 25, 37, 32], [36, 39, 40, 43, 47], [38, 33, 41, 34], [44, 45, 57, 48, 54, 60, 58], [50, 46, 49, 52, 53, 55, 51, 59], [56]]
95: [[42, 35, 7, 1, 2], [19], [20, 3, 4, 8, 13, 21, 6, 5, 14, 9, 11, 10, 26, 15, 16, 24, 30, 23, 12, 17, 18, 22, 25, 27, 31, 29, 28, 37, 32, 34, 38], [33, 40, 47, 46, 45, 36, 39, 43, 41, 44, 56, 58, 48, 50, 53, 51, 54, 52, 55, 49, 59, 60, 57]]
96: [[42, 35, 7, 1, 2, 19, 20, 3, 4, 8], [13, 5, 21, 6, 11, 12, 9, 29, 14], [26, 10, 15, 30, 16, 23, 22, 18, 25, 17, 24, 27, 28, 60, 31, 32, 33, 38, 48, 44, 43, 34, 41, 37, 36, 46, 55, 39, 40, 56, 57, 45, 47, 50, 59, 49, 51, 54, 52, 53, 58]]
97: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13, 21, 5], [6], [11, 10, 12, 9, 14, 15, 26, 18, 17, 16, 22, 23, 31, 24, 28, 25, 30, 27, 29, 37, 32, 36, 39, 56, 38, 33, 34, 44, 41, 40, 43, 57, 51, 46, 45, 47, 48, 50, 55, 49, 52, 53, 54, 59, 58, 60]]
98: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13], [21, 5, 6, 11, 9, 12, 15], [10, 14, 18, 26, 16, 24, 17, 22], [25, 27, 29, 28, 31, 38, 30, 37, 32, 33, 36], [23, 40, 34, 39, 41, 45, 43, 44, 46, 51, 48, 47, 53, 49], [50, 52, 55, 59, 56], [57], [54, 58, 60]]
99: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13, 5, 6, 11, 10, 14, 12, 15, 16, 22, 18, 26, 24, 21, 17, 27, 23, 28, 30, 29, 9, 43, 51, 37, 32, 34, 41, 25, 31, 38], [45, 33, 36, 39, 40], [44, 55, 46, 47, 53], [54, 48, 50, 58, 57], [56], [49, 52, 60, 59]]
100: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13], [21, 5, 6, 11, 9, 12, 15], [10, 14, 16, 24, 26, 22, 17, 18], [23, 25, 28, 31, 29, 27, 30, 37, 32, 33, 36], [38, 34, 43, 45, 40, 39, 47, 44, 41, 49, 48, 46, 51, 53], [54, 50, 52, 55, 56, 57, 58, 59, 60]]
101: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 11], [9, 12, 14, 18], [15, 17, 26, 16, 22, 23], [25, 30, 24, 27, 31], [29, 28, 34, 37], [32, 10, 36, 33, 38], [41, 39, 47], [43, 46, 40, 45], [49, 52, 44, 51, 54, 50, 48, 55, 53], [57, 56, 60, 59, 58]]
102: [[42, 35, 7, 1, 2, 19, 20, 3, 4], [8, 13, 21, 5, 6, 15], [9, 10, 12, 14, 11, 23], [24, 16, 22, 17, 26, 25], [18, 28, 29, 27, 30, 31, 37, 32, 34, 38, 40, 36, 44, 46, 43, 47, 41, 33, 50, 39, 60, 48, 49, 52, 45, 53, 51, 55, 54, 56, 58, 59, 57]]
103: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [14, 9, 12, 10], [27, 11, 26, 16, 22], [17, 18, 25, 23, 29], [28, 15, 24, 30, 31], [37, 32, 48, 38, 33], [43, 47, 44, 36, 39], [41, 46, 40, 34, 51, 45, 49, 56], [52], [57, 54, 55, 58, 50, 59, 53, 60]]
104: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 21, 12, 14, 9, 6, 10, 11, 15, 16], [24, 18, 17, 31, 23], [22, 25, 26], [27, 28, 29, 44, 53, 32, 48, 36, 40], [46, 34, 47, 30, 41, 33], [38, 39, 37, 54, 57, 50], [55, 43, 45, 51, 49, 52], [56, 60, 59, 58]]
105: [[42, 35, 7, 1, 2, 19, 20, 3, 4, 8], [13, 21, 5, 6, 11, 9, 10, 14, 26, 12, 15, 22, 27, 17, 18, 30, 24, 16, 29], [31, 28, 25, 46, 37, 32, 33, 23, 36, 34, 38], [39, 44, 45, 47, 41], [40, 59, 48, 43, 56], [51, 49], [53, 54, 52, 55, 50, 57], [58, 60]]
106: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13, 5, 21, 6, 11, 9], [10, 12, 14, 28, 15], [16, 22, 18], [29, 31, 26, 24, 17, 23, 27, 25, 30], [37, 32, 33, 36, 41, 38], [43, 39, 44, 47, 46, 40, 48, 45, 34, 60, 57, 52], [53, 49, 50, 54, 55, 51, 56, 59, 58]]
107: [[42, 35, 7, 1, 2, 19, 20, 3, 4, 8, 13, 21, 5, 6, 14, 9], [12, 11, 10, 15, 26, 22, 25, 17, 16, 31, 30, 24, 18, 29, 27, 28, 23, 37, 32, 33, 38, 54, 36, 34, 47, 56, 51, 41, 39], [45, 50, 53, 40, 43, 46, 44, 55, 48, 52, 57, 58, 59, 49, 60]]
108: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13], [5, 6, 12, 14, 9], [22, 10, 26, 11, 17, 23, 15], [16, 24, 18, 21, 30, 25, 31, 27, 29, 28, 37, 32, 33, 36, 38, 41, 34, 47, 40, 44, 39, 43, 46, 58, 60, 50, 45, 51, 49, 54, 55, 48, 57, 52, 56, 53, 59]]
109: [[42, 35, 7, 1], [2, 19, 20, 3, 4], [8, 13, 21, 5, 6], [14, 9, 10, 15], [26, 11, 16, 31, 12], [22, 17, 18, 23], [24, 27, 29, 28], [25, 30, 37, 32, 33], [34, 36, 44, 38, 41], [60, 47, 40, 57], [43, 56], [39, 45, 46, 49, 59], [51, 48, 50, 52, 54], [53, 55, 58]]
110: [[42, 35, 7, 1], [2, 19, 20, 3, 4], [8, 13, 21, 5], [6, 10, 9, 14, 12], [11, 15, 16, 24], [31, 22, 17, 18], [27, 28, 26, 29, 23], [25, 45, 37, 32], [50, 36, 46, 30, 43], [33, 38, 34], [47, 41, 39, 40, 48, 44, 49, 60], [54, 51, 52, 55, 58, 53, 56, 57, 59]]
111: [[42, 35, 7, 1, 2, 19], [20, 3, 4, 8, 13], [5, 21, 6, 10], [9, 28, 11, 12, 14, 16], [17, 18, 27, 15, 23, 22, 29, 26, 24, 31, 25, 37, 33, 32], [39, 34, 36, 44, 47, 38, 60, 30, 40, 43], [41, 45, 58, 46, 52], [49, 48, 50, 53, 51], [54, 55, 56, 57, 59]]
112: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13, 5, 22], [6, 11, 9, 12, 14, 16, 15, 17], [18, 10, 31, 21, 27, 23, 24, 26, 29, 25, 28, 30, 37, 32, 36, 39, 41, 34, 47, 45, 57], [40, 43, 33, 54, 44, 50, 38, 46, 60, 48, 49, 52, 53, 55, 51, 56, 59, 58]]
113: [[42, 35, 7, 1], [2, 19, 20], [3, 4, 8, 13], [21, 5, 14, 6, 9], [10, 11, 24, 15, 17], [16, 26, 18, 31], [22, 12, 28, 23, 30], [25, 29, 27, 37], [32, 34, 38, 33, 39], [36, 40, 43, 47, 45], [41, 57, 46, 51], [48, 54, 50, 44], [52], [55, 49, 58, 53], [60, 56, 59]]
114: [[42, 35, 7, 1, 2, 19, 20, 3, 4, 8, 13, 21, 5, 12, 10, 9, 14, 6], [11, 30, 16, 22, 15, 17, 29, 31, 26, 24, 18, 27, 25, 28], [23, 34, 32, 41, 37, 33, 38, 39, 47, 40, 43, 36, 44, 45], [60, 46, 56, 58, 53, 49, 50, 48, 52, 55, 51, 54, 59, 57]]
115: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 22], [6, 11, 9, 14, 12], [24, 10, 27, 17, 31, 16], [15, 18, 26, 25, 28], [21, 30, 23, 29, 37], [32], [34, 33, 36, 44, 45, 38], [39, 41, 40], [43, 46, 52, 59, 51, 48], [49, 55, 47, 58], [54, 56, 50, 53, 57, 60]]
116: [[42, 35, 7, 1, 2, 19], [20, 3, 4, 8, 13], [21, 5, 9, 14, 6, 12], [10, 11, 15, 18, 17, 25, 22], [16, 30, 27, 28], [24, 23, 29, 26], [31, 37, 32, 48], [47, 33, 34, 36, 38], [45, 46, 43, 41, 44], [50, 39, 40, 58, 52], [51, 49, 53, 56, 55], [54, 59, 57, 60]]
117: [[42, 35, 7, 1], [2, 19, 20, 3], [4, 8, 13, 21, 6], [5, 10, 9, 11, 12], [14, 15, 26, 17, 23], [22, 18, 16, 31, 25], [27, 29, 24, 28, 30], [39, 32, 34, 54], [36, 33, 37, 47, 38], [40, 41, 45, 43, 55], [44, 49, 50, 48, 52], [59, 51, 53], [58, 46, 60, 56, 57]]
118: [[42, 35, 7, 1, 2, 19, 20, 3, 4, 8, 13, 21, 5, 12, 10, 9, 14, 6, 25, 15, 16, 28], [17, 18, 31, 22, 11, 24, 26, 23], [29, 27, 57, 37, 32, 54, 34, 36, 45, 43, 44, 30, 33, 47, 39, 48, 53, 52, 58, 40], [50, 38, 59, 41, 49, 46, 51, 55, 60, 56]]
119: [[42, 35, 7, 1, 2, 19, 20], [3, 4, 8, 13, 5], [14, 12, 11, 6], [10, 9, 18, 27, 24, 31, 16, 17, 22], [21, 25, 26, 23, 29, 30, 33, 15, 32, 36, 28, 37, 39, 34, 46, 41, 47, 43, 44, 38, 45, 48, 40, 50, 53, 51, 59, 54, 56, 52, 49, 55, 57, 58, 60]]
120: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 22, 10], [11, 9, 6, 14, 24], [15, 17, 12, 26, 16, 18], [21, 30, 23, 25, 27], [28, 29, 47, 31, 32], [34, 55, 36, 33, 39, 37], [40, 38, 45, 44], [46, 53, 41, 43], [49, 50, 51, 54], [52, 59, 48, 56, 58], [60, 57]]
121: [[42, 35, 7, 1], [2, 19, 20, 3], [4, 8], [13, 5, 18, 6, 11], [9, 12, 14, 24, 15, 17], [16, 25, 10, 27, 23, 30, 21, 22, 29, 26, 51, 28, 37, 32, 33, 36, 38, 34, 43, 39, 41, 44, 31, 45, 56, 57, 46, 40, 47, 60, 54, 48, 49, 58, 55, 50, 52, 53, 59]]
