0: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 21, 6], [8, 24, 11, 9, 12, 15, 23, 27, 22, 16, 17, 18, 10], [19, 20, 30, 26], [25, 31, 29, 28, 32, 37, 33, 43, 36, 41, 38, 42, 34], [45, 39], [40, 59, 44], [46, 55], [57, 49], [54, 48, 47, 50, 52, 51, 53, 58, 56, 60]]
74: [[3, 7], [1, 2, 35], [4, 14], [13, 5, 21, 12, 8], [27, 11, 6, 10], [30, 31, 9, 18, 19, 20, 15, 23, 17], [24, 28, 22, 16, 26, 25, 29, 32, 37], [33], [43, 36, 41, 34, 38], [42, 45, 47, 40, 59, 46, 39, 55, 48, 51, 53], [49, 44, 50, 52, 54, 57, 58, 56, 60]]
75: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [11, 25, 9, 8, 10, 31, 15, 19, 30, 24, 12], [18, 20, 22], [16, 23], [26, 17], [27, 29, 28, 32, 37, 33, 43, 38, 34, 36], [39, 40, 44, 47, 41, 42, 45, 46, 54, 56, 49, 53, 51, 48, 50, 55, 52, 57, 58, 59, 60]]
76: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 27, 10, 9], [11, 20], [15, 19, 25, 18, 12, 16, 17], [24, 22, 26, 23, 28, 29, 31, 30, 32, 37, 33, 43, 38, 46, 36, 45], [34, 39, 40, 44, 41, 42, 47, 55, 52, 49, 51, 50, 53, 48, 54, 57, 56, 59, 58, 60]]
77: [[3, 7, 1, 2, 35, 4, 14, 13], [29, 21, 6, 8, 31, 11], [24, 12, 30, 5, 20, 9, 16, 15, 18, 10, 19, 17, 23, 22, 25, 28, 26, 27, 32, 37, 33, 42, 38, 36, 34, 46, 47, 41, 44, 39, 40, 43, 45, 51, 49, 48, 55, 50, 52, 54, 57, 58, 53, 56, 59, 60]]
78: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [25, 11, 9, 12, 15, 23, 10, 22], [17, 19, 16, 18], [30, 20, 26, 31, 24], [29, 27, 28, 32], [37, 33, 43], [38, 40, 34], [36, 41], [47, 39], [42, 45, 44, 46, 51, 49, 50, 48, 53, 55], [52, 54, 56, 58, 57, 59, 60]]
79: [[3, 7, 1, 2, 35], [4, 14, 13, 21, 5, 6, 9, 8], [11, 29, 12, 10, 22, 28, 15], [26, 16, 19, 24], [18, 17, 20, 23, 25, 30, 31], [27, 32, 45, 33, 43, 38, 34, 37, 46, 41, 39, 36, 40, 44, 47, 42, 55, 48, 50, 52, 53, 54, 58, 51, 56, 49, 57, 59, 60]]
80: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 9, 26, 12, 21, 6], [8, 30, 15, 17, 11, 24, 18, 10], [23, 22, 20], [16, 27, 29, 19], [25, 28, 31, 32, 37, 33], [43, 38, 34, 44, 36, 39, 40], [41, 47, 42, 45, 46, 55, 58, 48, 49], [50, 51, 53, 54, 52, 57, 59, 56, 60]]
81: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [24, 10, 9, 15, 11, 23, 26], [16, 29, 12, 17, 20], [19, 18, 28], [27, 31, 22, 25, 30, 32, 37, 33], [43, 38, 34, 36, 46, 44, 45], [39, 41, 42, 40], [47, 55, 49, 50], [54, 51, 48, 53, 52], [57, 58], [59, 56, 60]]
82: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 27, 10], [9, 11, 24, 15, 18, 25, 22, 12], [16, 20, 19], [17, 26], [23, 29, 31, 28, 30, 32, 37, 33], [42, 36, 38, 39, 34, 41, 47, 40, 44, 46, 45, 43, 55, 48, 49, 51, 53, 50, 52, 54, 56, 57, 59, 58, 60]]
83: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 22, 8, 17, 11], [6, 10, 9, 31, 26, 12, 18], [15, 25, 19, 16, 23, 24, 29, 20], [27, 30, 28], [33, 32, 47], [42, 38, 34, 44, 37, 39, 43, 36, 41, 40, 45, 46, 51, 48, 50, 49, 52, 53, 54, 55, 58, 56, 57, 59, 60]]
84: [[3, 7], [1, 2, 35, 4, 14], [13, 9, 21, 6], [8, 30], [11, 25], [12, 28, 23, 5, 22, 16, 15], [10, 24, 18, 17, 19, 31, 20], [29, 27, 26, 32, 37], [33, 42, 38, 36, 34, 45, 47], [39, 40, 41, 46, 44, 43, 51], [55, 48, 50], [49, 53, 52, 54, 58, 56], [57, 59, 60]]
85: [[3, 7, 1, 2, 35], [4, 14], [13, 21, 9, 10], [8, 24, 5, 12], [6, 11, 31, 20, 15, 17, 19, 16, 27, 18, 22, 23, 26, 25, 28, 29, 60, 40, 37, 33, 42, 38, 34, 36, 32, 41, 45, 30, 39, 43, 44, 47, 48, 58, 50, 55, 46, 51, 49, 52, 57, 53, 59, 54, 56]]
86: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 12, 6, 8, 25, 11], [5, 16, 30, 9], [26, 28, 20, 10, 23], [17, 27], [15, 29, 18, 19], [22, 24, 31, 32, 37], [33, 43, 38, 34, 44], [39, 41], [36, 45, 40, 47, 42, 46, 55], [48, 51, 50, 53, 52, 49, 56, 57, 54], [58, 60, 59]]
87: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 11, 9], [10, 25, 26], [8, 31, 18, 12, 15, 17, 27], [29, 16, 19], [20, 22, 24, 30, 23, 28, 32, 45, 41, 47, 36], [34, 33], [38, 37, 39, 42, 43, 40, 46, 44, 55, 48, 49, 53, 50, 51, 52, 56, 54, 57, 58, 59, 60]]
88: [[3, 7, 1, 2], [35, 4, 14, 13, 21, 5, 6, 8], [25, 11, 10, 9, 30, 31, 15, 16], [12, 17, 19, 18, 27, 22, 23, 29], [24, 26, 20], [28, 32, 33], [37, 46, 38, 34, 36, 39, 40, 47, 43, 42, 45], [41, 44, 51, 59, 50, 48, 49, 52, 55, 53, 54, 56, 58, 57, 60]]
89: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 10, 9, 25], [11, 28, 29, 31, 20], [16, 23, 12, 22, 15, 18, 19, 17], [24, 30, 26, 27], [32, 37, 33, 42, 38, 40, 34], [41, 45, 36, 39, 46, 43, 44], [47, 55, 48, 49, 51, 52, 54], [50, 53, 58, 56, 59, 57, 60]]
90: [[3, 7, 1, 2, 35, 4, 14], [13, 5], [21, 6, 8, 11, 9, 25, 10, 29], [22, 27, 18, 19, 28, 26, 12, 16], [15, 17], [23, 24], [20, 30, 31], [32, 37], [33, 43], [36, 41, 34, 38, 42, 45, 47, 40, 58, 46], [39, 51, 56, 49, 53, 44, 54, 50, 52, 55, 57], [48, 59, 60]]
91: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 21, 6], [10], [24], [9, 8, 15, 27, 11, 12, 28, 17], [20, 16, 18, 30, 29, 26, 19, 23], [22, 25, 31, 32, 37, 33, 42], [38, 34, 36, 39, 41, 43, 44, 40], [45, 46, 47, 55], [48, 49], [50, 52, 54, 51, 53], [58, 56, 59, 57, 60]]
92: [[3, 7, 1, 2, 35, 4, 14, 13, 21], [9], [6, 8, 25, 11, 15], [16, 28, 31, 5, 10, 22, 17, 12, 19, 18, 20, 29, 23, 24, 26, 30, 27, 32, 37, 33, 42, 38, 34, 36, 47, 41, 44, 39, 40, 43, 46, 45, 49, 48, 50, 54, 53, 55, 59, 60, 51, 57, 58, 56, 52]]
93: [[3, 7, 1, 2, 35, 4, 14, 13, 21], [5, 6, 8, 11, 12, 9, 10, 30, 31, 15, 16, 28, 17, 24, 23, 19, 18, 25, 26, 27, 20, 22, 29, 32, 45, 33, 42, 38, 46, 36, 39, 34, 37, 40, 41, 43, 44, 47, 55, 48, 50, 49, 52, 53, 51, 54, 58], [56, 57, 59, 60]]
94: [[3, 7, 1, 2], [35, 4, 14, 13, 21, 5, 6, 8, 27, 11, 9, 10, 26, 15, 20, 12, 19, 17, 18, 24, 22, 23, 16, 25, 29, 28, 31, 30, 32, 37, 33, 46, 38, 34, 36, 39, 40, 42, 47, 45, 43, 41, 44, 51, 58, 48, 49, 50, 54, 52, 55, 53, 56], [59, 60, 57]]
95: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 9, 6, 8, 10, 11, 25], [12, 28, 15, 26, 20], [18, 23, 16, 22, 17, 19, 27, 21], [24, 30], [29, 31, 32, 37, 33, 42, 38, 40, 34, 45, 36, 39, 41, 46, 43, 44, 47, 55, 50, 48, 51, 53, 52, 49, 54, 56, 58, 59, 57, 60]]
96: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 22], [8, 17, 11, 25, 20], [30, 6], [9, 10, 12, 15, 18, 19, 16, 23], [28, 29, 24, 26], [27, 31, 32, 37, 41], [43, 38, 34, 33, 39, 36], [42, 44, 40, 47, 45, 46, 55, 58, 48, 50], [49, 53, 51], [52, 56, 60, 54, 59, 57]]
97: [[3, 7, 1, 2], [35, 4, 14, 13, 21, 5, 6], [8, 11, 9, 12], [10, 31, 15, 29, 18], [20, 22, 16, 17, 23, 24, 27, 26], [30, 19, 28, 25, 32, 45, 33, 42], [38, 34, 37, 36, 47, 39, 40, 46], [43, 41, 44], [51, 58, 52], [53, 49], [48, 55, 54, 50, 57, 56, 59, 60]]
98: [[3, 7, 1, 2, 35], [4, 14, 13, 21, 5, 6, 8, 25], [11, 29, 10, 28, 9, 12], [22, 16, 20], [23, 15, 17, 27, 18, 19, 26, 24], [30, 31, 32], [37, 33, 42], [38, 34, 47, 46, 40, 39, 36, 41], [43, 44, 45], [50, 56, 48, 49, 52, 53, 51], [55, 54, 59, 58, 57, 60]]
99: [[3, 7, 1, 2, 35, 4, 14, 13], [21, 25, 5, 8, 6, 9, 11], [12, 26, 15, 10, 28, 17, 16], [27, 20, 18, 19], [22, 23, 24, 29, 31, 52, 54, 37, 33, 42, 38, 34, 45], [32, 39], [30, 36, 41], [40, 43, 47], [49, 56, 48], [51, 44, 55, 46, 53, 57, 50, 59, 58, 60]]
100: [[3, 7, 1, 2], [35, 4, 14, 13, 5], [21, 6], [8, 24, 10, 9, 15], [12, 31, 26, 16, 11, 17, 22, 23], [19, 18, 20, 27, 28, 25, 29], [30, 32, 37, 33, 43, 38, 42], [34, 46, 36, 45, 39, 44, 40, 41, 47, 55], [49, 51, 54, 50, 48, 52, 53, 57, 58, 59, 56, 60]]
101: [[3, 7], [1, 2], [35, 4, 14, 13, 21, 5, 6, 8, 24, 11], [9, 10, 12, 31, 26, 18, 15, 17, 22, 23, 19, 20, 25, 28, 16, 27, 29, 30, 32, 33, 36, 43, 38, 39, 41, 42, 34, 45, 37, 40, 47, 46, 44, 55, 57, 48, 52, 49, 51, 50, 53, 56, 54, 58, 59, 60]]
102: [[3, 7, 1, 2], [35, 4, 14, 13, 21, 5, 6, 8], [25, 11, 9, 10, 17, 15, 31, 28], [12, 23, 24, 19, 18, 16, 20, 22], [26, 29, 30], [27, 36, 45], [32, 46, 33, 34, 41, 39, 37, 38, 42, 40, 43], [44, 47, 51, 56, 49, 48, 55, 53, 58, 52, 54, 50, 57, 59, 60]]
103: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6], [8, 24, 11, 9, 10], [23, 15, 29, 20], [16, 22, 12, 17, 18], [19, 25, 31], [26, 27, 28, 30, 32, 37, 33], [46, 38, 34, 36, 39, 40, 47], [43, 41, 42, 45], [44, 55, 51, 48], [53, 49, 50, 54, 52], [57, 56], [59, 58, 60]]
104: [[3, 7, 1, 2, 35, 4, 14, 13, 21, 5], [6, 8, 11, 10, 9, 12, 26], [15, 17, 20, 29, 18], [16, 25, 22, 19, 23, 27, 24], [31, 30, 28, 32, 37, 33, 42, 38, 34, 36, 39], [44, 46, 45, 40, 43], [41, 47, 55, 58, 49, 51, 52, 53, 50, 54, 48, 56, 59, 57, 60]]
105: [[3, 7, 1, 2, 35, 4, 14, 13], [5, 21, 6, 8], [10, 11, 9, 12], [31, 17], [15, 20, 16], [19, 22], [23, 18], [28, 30, 24, 25, 27, 29, 26], [32, 37, 33, 43, 38, 41, 34, 40, 36], [45, 39, 44, 42, 46, 47, 55], [50, 49, 51, 48, 53, 56, 52, 58, 54, 59], [57, 60]]
106: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [25, 15, 9, 12, 17, 31, 27], [10, 16, 11, 19], [18, 20, 22, 26, 29, 24], [28, 23, 30, 32, 37, 33, 43], [38, 42, 34, 36], [40, 41], [39, 47, 44, 45, 46, 55], [60, 48, 54, 52, 49, 50, 51], [56, 58, 53, 59, 57]]
107: [[3, 7, 1, 2, 35, 4, 14, 13], [21, 5, 6, 8, 9, 11, 15], [10, 12, 31, 30, 22, 17, 19], [16, 23], [18, 20, 24, 28, 27, 29, 25], [26, 36, 45], [33, 43, 38, 32, 34, 40, 37], [47, 39, 41, 42, 46, 44, 55], [56, 51, 50, 49, 48, 54, 53, 52, 57], [59, 58, 60]]
108: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 12, 6, 16, 27, 23, 8], [10, 9, 17, 30, 11, 15], [20, 21, 25, 19, 22, 26, 28], [29, 18, 24, 31, 32, 37, 33, 42, 38, 34, 44, 41, 36, 45, 39, 40, 46, 43, 47, 51, 58, 49, 52, 53, 48, 54, 50, 59, 60, 55, 57, 56]]
109: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 10, 8, 12, 11], [25, 9, 29, 15, 28, 22, 16], [27, 6, 20, 18], [17, 19], [23, 24, 26, 31, 30], [32, 37, 33, 42, 38, 34, 36, 39], [45, 41, 47, 40, 46, 43, 44, 55, 48, 50, 51, 53, 54, 49, 52, 58, 56, 59, 57, 60]]
110: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 10, 6], [9, 25, 15, 11], [8, 31, 12, 20, 22, 24, 17, 16, 21, 19, 18, 23, 26], [30, 27], [29, 28, 32, 37, 33, 43, 36], [34, 38, 39, 42, 44, 40, 41, 45, 47], [46, 54, 56, 49, 55], [48, 51, 52, 53, 50, 57, 59, 58, 60]]
111: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 11, 6], [8, 9, 10, 15, 12, 27], [31, 19, 26, 16, 20, 17], [21, 18], [23, 30, 22, 24, 25, 28, 29], [32, 37, 39, 43, 38], [33, 34, 40, 42, 45, 36, 41], [44, 53, 46, 51, 49, 48, 50, 54], [47, 55, 52], [57, 56, 58], [59, 60]]
112: [[3, 7, 1, 2, 35, 4, 14, 13, 21], [5, 6, 12, 11, 15, 22, 26, 8, 16, 30, 17, 20], [25, 18, 9, 19, 27, 23, 28, 31, 10], [24, 29, 32, 37, 33, 42, 38, 34, 44, 45, 36, 47, 40, 41, 46, 39, 43, 55], [58, 48, 52, 49, 50, 53], [51, 57, 60, 59, 56, 54]]
113: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 6, 22], [8, 16, 11, 9, 12, 15, 10, 19, 28, 18, 31, 25, 26], [17, 23, 20, 24], [21, 30, 29, 27, 33, 32, 40, 41, 36, 38, 43, 45, 34], [39, 44], [46, 58, 47], [42, 55], [57, 48], [52, 50, 37, 51, 49, 54, 53, 56, 59, 60]]
114: [[3, 7, 1, 2, 35, 4, 14, 13, 21, 5], [6, 8, 9, 12, 11, 10, 27, 31, 15, 18, 19, 22, 16, 17, 25], [23, 20], [24, 28, 30, 26, 29, 32, 37], [39, 42, 38, 34, 36], [33, 44, 40, 45, 41, 43, 47], [46, 51, 50, 48, 49, 52, 53, 54], [55, 57, 56], [58, 59, 60]]
115: [[3, 7, 1, 2], [35, 4, 14], [13, 21, 5], [6, 8], [27, 15], [9, 12, 31, 30, 26, 10, 17, 29, 16, 19], [11, 22, 24, 18, 20, 23, 25], [28, 32, 37, 41, 43, 38, 34, 36, 33, 47, 39, 40, 42, 44, 45, 46, 51, 53, 50, 48, 52, 54, 49, 55, 56, 59, 57, 58, 60]]
116: [[3, 7, 1, 34, 37, 4, 12, 2], [21, 8, 5, 9, 27, 6, 11], [19, 31, 15, 16, 24, 10, 17], [26, 25, 14, 18, 28, 20, 22, 23], [33, 13, 30, 47, 35, 29, 36], [38, 42, 32, 39], [43, 44, 46], [40, 41, 45], [55, 58], [49, 50], [48, 51, 54, 53], [52, 56, 59, 60, 57]]
117: [[3, 7, 1, 2, 35, 4, 14], [13, 5], [9, 6, 8, 29, 11, 25, 12], [20, 27, 10, 23, 28, 22, 16], [15, 19, 17, 31, 18, 21, 24, 26], [30, 32, 45, 33, 42, 38], [34, 36, 46, 47, 44, 41, 43, 37, 39, 40, 49, 50, 48, 53, 54, 52, 58, 55, 59, 51, 56, 57, 60]]
118: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 9, 6, 11, 29], [15, 25, 10, 12, 8, 16, 21, 19], [22, 17, 18, 27], [23, 20, 31, 28], [24, 26, 30, 32, 37, 33, 43, 34], [36, 38, 47, 46, 39, 41, 45, 40], [44, 42, 55, 52, 49, 51, 50], [53, 48, 58, 56, 54, 57, 59, 60]]
119: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 10, 6, 8, 25, 11], [9, 12, 28, 15, 18, 29, 22, 20], [16, 19, 17], [30, 31], [21, 23, 24, 27, 26, 32, 37, 33], [42, 38], [34, 46, 36, 39, 45, 43, 44, 47, 41, 40, 51, 56, 53, 50, 54, 52, 48, 49, 57, 55, 59, 58, 60]]
120: [[3, 7, 1, 2, 35, 4, 14, 13], [5, 10, 6, 8, 26, 11], [9, 12, 15, 17, 19, 31, 18], [20, 21, 22, 23, 16, 24, 30], [25, 27, 28, 29, 32, 37, 33, 43], [38, 45, 34, 39, 44, 41, 47, 42, 40, 46, 50, 55, 49], [52, 36, 51, 54, 58, 48, 53, 56, 57, 59, 60]]
121: [[3, 7, 1, 2, 35, 4, 14], [13, 29, 5, 6], [8, 24, 11, 25, 9, 10, 30, 21], [12, 28, 19, 17], [15, 16], [18, 20, 31, 22], [23, 26, 27, 32, 45, 33, 42, 38, 36, 34, 37, 43], [46, 41, 47, 39, 40, 44, 55, 48], [49, 50], [56, 54, 58, 51, 57, 53, 59, 52, 60]]
