0: [[35, 7, 1, 2], [5, 9, 3, 4, 12, 29, 8, 24], [27, 14, 25, 11, 10], [13, 30, 16, 19, 20, 17, 6, 21], [23, 22, 26, 28, 54, 31, 40, 18], [34, 51, 36, 33, 47, 15], [39, 38, 37, 32, 43], [41, 42], [46, 44, 53, 45, 59, 55, 50, 48], [52, 56], [57, 49], [58, 60]]
74: [[35, 2, 7, 3, 27, 1], [5, 12, 16, 18, 8, 6, 4], [9, 10, 14, 15, 11, 13, 17, 21, 23, 20, 25, 19, 22, 26, 29, 28, 24, 30, 31, 38, 37, 36, 32, 33, 39, 34, 42, 41, 40, 44, 43, 46, 45, 57, 47, 53, 48, 51, 52, 54, 50, 59, 60, 55, 56, 49, 58]]
75: [[35, 2, 7, 9, 27, 1, 3, 6], [5, 10, 12, 4, 14, 8, 11, 13, 15, 16, 31], [18, 29, 17, 26, 23, 19], [28, 30, 22, 20, 21, 24, 25, 56, 32, 39], [40, 37, 47, 45, 43, 34, 36], [38, 44, 41, 42, 46, 50], [51, 55, 49, 48, 33, 53, 52, 54, 58, 60, 57, 59]]
76: [[35, 2, 7], [11, 27], [9, 1], [3, 4, 8, 14, 5, 10, 30, 12, 16, 29, 13, 6], [24, 15, 21, 19, 17, 18, 23, 20, 22, 28, 25, 26, 31], [39, 33, 36, 38, 32], [41, 42, 37, 44, 43, 34, 46, 40, 45], [47, 49, 52, 48, 54, 51, 50, 53, 58], [56, 55, 57, 59, 60]]
77: [[35, 2], [7, 11, 27, 9, 3, 1, 23, 8, 10, 6, 4, 5], [12, 24, 15, 18, 30, 16, 13, 17, 19, 14, 21, 26, 20], [22, 25, 28, 29, 31], [36, 33, 32, 38, 34, 37, 46, 45, 47, 39], [42, 52, 40, 43, 59, 60, 41, 48, 44, 49, 50, 53, 56], [54, 51, 55, 57, 58]]
78: [[35, 2, 7], [1, 19, 12, 3, 4, 14, 9, 5, 22, 15, 11, 18, 6, 25, 10], [8, 16, 26, 17, 29, 20, 21, 23, 27, 28, 30, 31], [24, 37, 34, 56, 54, 13, 33], [44, 32, 36], [38, 39, 43, 41, 42, 46, 45, 50, 47, 49, 48, 52, 40, 53, 57, 51, 55], [59, 58, 60]]
79: [[35, 2, 7, 11, 27, 1, 5], [8, 23, 4, 14, 10, 3, 12, 9, 24], [15, 30, 13, 20, 25], [18, 21, 6, 16, 17, 19, 22, 31, 28, 26, 29, 36, 32, 33], [37, 51, 34, 42, 44, 41, 39, 47, 46], [40, 38, 57, 52, 43], [45, 48, 49, 50, 53, 59, 54, 55, 58, 60, 56]]
80: [[35, 2, 7, 1, 19, 3, 5, 6, 4, 8, 11], [12, 14, 15, 9, 13, 10, 30, 22, 16, 17, 29, 18, 21, 20, 23, 31], [24, 25, 27, 28, 33, 37, 32, 40, 26, 36, 44, 46, 43, 34, 38, 42, 57], [47, 39, 45, 50, 48, 41, 59, 54, 51, 49, 52, 53, 55, 56, 58, 60]]
81: [[35, 2, 7, 1, 27, 11, 5, 14, 17, 8, 3], [10, 4, 13, 6, 16, 15], [12, 22, 9, 21, 29], [19, 20, 23, 30, 18, 26, 31, 24, 25, 28, 49, 41, 32, 38], [40, 46, 33, 44, 36, 34, 45, 37, 39], [43, 42, 47, 50, 52, 54], [51, 53, 48, 58, 57, 56, 55, 59, 60]]
82: [[35, 2, 7, 9, 27], [1, 5, 3, 4, 10, 13], [11, 8, 29, 15, 14, 22, 6, 12, 21, 16, 17, 18], [20, 25, 23, 19, 28, 26, 31, 24, 30, 36, 33], [32, 34, 38, 39, 37, 44, 42, 41, 47], [40, 43, 45, 48, 49], [56, 46, 50, 54, 51, 53, 55, 52, 57, 58, 59, 60]]
83: [[35, 2, 7, 11, 27, 1, 3, 5, 21, 9, 15, 14, 8, 6, 10, 24, 12], [26, 13, 22, 29, 16, 17, 4, 23, 18, 19, 25, 20, 28, 30, 31, 44, 33, 48, 34, 55, 37, 43, 47, 38, 45, 39, 46, 40, 41, 49, 42, 57, 32, 36], [51, 58, 50, 54], [52, 56, 53, 59, 60]]
84: [[35, 2, 7, 1, 27], [3, 4, 15, 28, 9, 8, 6, 13, 5, 11, 12, 14, 17, 10], [18, 30, 25, 19, 21, 22, 16, 23, 20, 26, 29, 24, 31, 36, 33, 32, 34], [45, 43, 37, 44, 39, 38, 40, 41, 46, 47, 42, 48, 56, 51, 50, 54, 52, 49], [57, 53, 55, 59], [58, 60]]
85: [[35, 2, 7, 9, 27, 1], [5, 8, 21, 4, 6, 11, 12, 28, 10, 16, 14, 15], [13, 17, 20, 3, 22, 25, 18, 19, 23, 26, 30, 24, 29], [31, 36, 32, 33, 38], [34, 37, 47, 45, 39, 40, 41, 42, 43, 44], [60, 48, 59, 52, 49, 46, 53, 55, 54], [50, 57, 51, 58, 56]]
86: [[35, 2, 7, 3, 27, 5, 9], [1, 6, 14, 8, 4, 12, 15], [20, 11, 13, 22, 30, 19, 17, 10, 21, 23], [18, 25, 24, 16, 29], [26, 28, 31, 37, 40, 32, 33, 36, 34, 38, 45, 39, 44, 55], [47, 42, 41, 43, 53, 46, 52, 51, 56, 49, 48, 50, 57, 54, 58, 60, 59]]
87: [[35, 2, 7, 3, 26, 9], [4, 10, 1, 25, 5, 14, 6, 8, 15, 13], [11, 31, 29, 12, 16, 24, 17, 19, 18, 27, 22, 21], [28, 20, 23, 53, 37, 44, 43, 30, 38, 34, 33, 36], [47, 32, 39, 40, 46, 41, 42], [50, 45, 56, 49, 51, 55, 52, 54, 57, 48, 59, 58, 60]]
88: [[35, 2, 7, 17, 27], [3, 1, 6, 4, 13], [14, 5], [8, 10, 12, 25, 9, 11, 15, 18, 16, 19, 20, 23, 22, 28], [24, 21, 30, 26, 29, 31, 37, 32, 52, 33, 34, 40, 39], [44, 41, 36, 47, 43, 42, 46, 49, 38, 53, 45, 48, 59], [50, 55, 51, 54, 60, 58, 57, 56]]
89: [[35, 2, 7, 9, 27, 1], [5, 10, 4, 8, 3, 13], [6, 11, 12, 14, 30, 15, 24, 20, 23, 17, 19, 21, 16], [18, 22, 25, 28, 29, 26, 52, 37, 40, 56, 34, 31, 36], [38, 32, 46, 39, 47, 41, 42, 44, 45, 43, 55, 48], [33, 51, 49, 53, 54, 50, 58, 59], [57, 60]]
90: [[35, 2, 7, 3, 27, 1, 5, 6], [17, 26, 12, 14, 4, 8, 10], [30, 25, 11, 13, 18, 9, 15, 16, 20, 19, 22, 23, 21, 28, 24, 29, 31, 38, 33, 36, 34], [37, 39, 42, 32, 40, 43, 44, 41, 46, 45, 49, 47], [50, 52, 51, 48, 54], [60, 59, 55, 58, 56, 53, 57]]
91: [[35, 2, 7, 1, 27, 3, 4, 5, 6, 11], [12, 15, 25, 22, 8, 28, 9, 19, 10, 29, 13, 14, 26, 16, 18], [17, 20, 23, 21, 30], [31, 24, 45, 40, 36, 32, 38, 33, 39, 43, 46, 34, 41, 44, 37, 42, 53, 54, 47, 50, 52, 49, 59, 57, 55, 48], [51, 56, 58, 60]]
92: [[35, 2, 7, 17, 27, 3, 5], [11, 4, 8, 1, 9, 6, 28], [10, 24, 12, 18, 26], [13, 23, 15], [14], [19, 16, 20, 21, 25, 30, 22, 29, 31, 37, 32, 40, 33], [34, 38, 42], [43, 36, 45, 39, 47, 46, 41, 44, 51, 55, 53, 57, 48, 49, 52, 54, 50, 59, 56, 58, 60]]
93: [[35, 2, 7, 1, 27], [9, 4, 13, 21, 6, 12], [3, 5, 11, 8, 10, 14, 22], [28, 30, 20, 17, 15, 16, 19, 24, 23], [25, 26, 29, 18, 31, 32, 36], [33, 40, 43, 34, 47, 41], [39, 37, 38, 44, 46], [42, 45, 51, 48, 56, 60, 54, 53, 49, 50, 52, 55, 57, 58, 59]]
94: [[35, 2, 7, 3, 11, 1], [5, 8, 4, 6, 12, 14, 9, 26, 31, 16, 10, 30], [20, 13, 17, 15, 19, 28], [18, 21, 22, 23, 24, 25, 27, 49, 36], [40, 57, 46, 33, 34, 39, 38, 44, 47, 29, 32, 42, 37, 43, 58, 41, 45, 54, 48, 55, 53, 56, 50, 52, 51, 59, 60]]
95: [[35, 2, 7, 11, 27, 3, 5, 6, 1, 9, 15, 14, 4, 8, 13, 10, 12, 31, 18, 17, 20], [16, 23, 26, 19, 21, 22, 29, 25, 24, 30, 28, 40, 33, 34, 32, 36, 38, 47, 37], [44, 39, 46, 41, 42, 45, 43, 53, 48, 49, 55, 50, 57, 52, 54, 59, 60, 56, 51, 58]]
96: [[35, 2, 7, 19, 27, 9, 5, 1, 21, 3, 13, 10, 4, 8], [11, 12, 6, 25, 14], [15, 29, 20, 22, 23, 18, 24, 16, 17, 26, 28, 30, 31, 38], [32, 33, 37, 40, 34, 45, 36, 46, 39, 41, 42], [44, 43, 49, 47, 55, 48, 57, 53, 51], [52, 50, 56, 54, 59, 58, 60]]
97: [[35, 2, 7, 3, 27, 5, 1, 6, 12, 14, 4, 24], [11, 10, 13, 30, 9, 29, 8, 22], [25, 15, 21, 20, 16, 17, 18, 19, 23, 28, 26, 31, 37, 36, 49, 34, 33, 39, 43, 32, 38, 42, 46, 44, 40, 47, 45, 41, 51, 48, 50, 53, 54], [52, 55, 58, 56, 57, 59, 60]]
98: [[35, 3, 5, 1], [2, 7, 8, 4, 12, 13, 9, 26], [31, 10, 25, 11, 14], [15, 20, 17, 19, 16, 18, 6, 21], [23, 22, 24, 29, 58, 27, 28, 30, 34], [32, 36, 37, 43, 33, 39], [38, 44, 45, 46, 41], [40, 42], [47, 49, 53, 51, 52, 50, 54, 55, 48, 57, 56, 59, 60]]
99: [[35, 2, 7, 3], [27, 6, 1, 4, 10, 11, 8, 9, 5, 20, 12, 28, 14, 30, 31, 13, 15, 26, 16, 17, 18, 19], [21], [22, 25, 23, 24, 29, 36, 34, 44, 57, 32, 37, 46], [33, 47, 40, 38, 42, 48, 56, 39, 41, 43, 45, 51, 53, 49, 52, 50, 54, 58, 55, 59, 60]]
100: [[35, 2, 7, 3, 27, 6, 5, 9, 4, 12, 10], [11, 8, 13, 1, 31, 14, 25, 15, 18, 16, 17, 21, 19, 20, 22, 28, 23, 26, 30, 29, 24, 39, 48, 41, 58, 34, 36, 38, 47, 32, 33], [37, 43, 40, 42, 44, 46, 54, 45, 51, 53], [49, 50, 52, 55, 56, 60], [59, 57]]
101: [[35, 2, 7, 9, 27, 8, 3, 1], [17, 12, 4, 11, 5, 26, 6, 14, 15], [28, 10, 16, 20, 19, 23, 22, 13, 25, 21, 18, 31, 24], [29, 30, 33, 41, 38, 32, 36, 34], [37, 45, 39, 43, 40, 42, 44, 46, 47, 49, 55, 54], [48, 53, 50, 52, 51, 58, 56, 57, 59, 60]]
102: [[35, 6, 3, 2, 25], [12, 5, 1], [21, 4, 8, 7, 9, 10, 11, 13, 30, 14, 26, 15, 17, 23], [18, 22, 16, 19, 24, 27, 28, 20], [31, 46], [54, 33], [51, 34], [29, 32, 47, 43, 36, 39, 37, 41, 38, 42, 44, 45, 49, 40, 53, 55, 52, 50, 48, 56, 57, 59, 58, 60]]
103: [[35, 2, 7, 27, 9, 3], [11, 12, 13, 5, 17, 10], [6, 24, 15], [4, 8, 1, 26, 18, 19], [14, 22, 23, 16, 20, 21, 29, 25, 30, 31, 28, 32, 43, 34, 38, 52, 42, 41, 47, 44], [45, 33, 39, 40, 46, 37], [51, 36, 48, 55, 54, 53, 50, 49, 60, 59, 57, 58, 56]]
104: [[35, 2, 7, 1, 27, 9, 3, 5], [23, 13, 14, 6, 4, 11, 31], [28, 25, 30, 8, 18, 10, 12, 16, 20, 19, 21, 15, 17], [22, 24, 26, 29, 38, 32], [34, 37, 33, 46, 43, 39, 40, 41, 42, 45, 44, 47], [49, 36, 48, 52, 51, 53, 50, 55, 54, 56, 59, 58, 57, 60]]
105: [[35, 2, 7, 11, 27, 5, 1, 6, 3, 13], [12, 14, 15, 9, 31, 4, 8, 16, 18, 25, 21, 23, 30, 20, 10], [28, 17, 29, 24, 26, 19, 22, 36, 32, 34, 38, 39], [46, 41], [40, 42, 47, 37, 44, 45, 43, 49, 48, 33, 52, 51, 50, 53, 54, 55, 57, 58, 56, 59, 60]]
106: [[35, 2, 7, 9, 19, 1, 5, 6, 21, 12, 14, 3], [4, 13, 10, 25, 11, 16, 31, 17, 8], [15, 18, 22, 27, 23], [29, 30, 20, 24, 28, 26, 37], [38, 34, 33, 40, 46, 43, 44, 36, 42], [41, 45, 39, 47, 50, 52, 51, 32, 54, 48, 49, 58, 56, 53, 55, 59, 60, 57]]
107: [[35, 2, 7, 17, 10, 5], [13, 4, 11, 3, 14, 24, 12, 16, 15], [21, 8, 22, 6, 23, 1, 9, 27, 20, 18, 19, 30, 25, 26, 29, 28, 31, 37, 38, 32, 34, 40, 33, 46, 36, 45, 43, 44, 39, 41, 57, 42, 47, 54, 52, 48, 50, 49, 51, 60, 53, 56, 55, 58, 59]]
108: [[35, 2, 7, 3, 27, 1, 9, 14, 21, 10, 12, 5, 6, 13, 8, 4, 25, 11, 31, 16, 20, 15, 18], [23, 28, 22, 17, 24, 19, 26, 29, 30, 34, 40, 55, 32, 36, 46, 38, 44, 45], [33, 37, 39, 43, 41, 42, 48, 57, 53, 47, 54, 51, 50, 52, 49, 56, 58, 59, 60]]
109: [[35, 2, 7, 11, 27, 1, 5, 3], [16, 6], [12], [9, 8, 28, 14, 31, 4, 10, 30, 21, 13, 15, 17], [26, 23, 19, 18, 20, 22, 29, 24, 25, 32, 39], [44, 33, 38, 36, 37, 45, 34, 41, 43, 46, 57, 47, 42], [40], [56, 50, 51, 54, 48, 55, 52, 53, 49, 58, 59, 60]]
110: [[35, 2, 7, 1, 27, 11, 5, 15, 3, 4, 6, 8, 14, 9, 30, 10, 13, 19, 17, 31], [20, 18, 21, 22, 23, 16, 25, 24, 26, 58, 29, 12, 44, 41, 37, 54, 33, 34, 32, 47, 42], [28, 36, 38, 40, 39, 51, 43, 46, 48, 45, 49, 50, 52, 55, 53, 59, 56, 57, 60]]
111: [[35, 3], [5, 2], [23, 1, 7, 4, 11, 29, 14, 10, 26, 30, 24, 9, 8, 12, 6, 16, 19, 21, 17, 13, 15, 25, 22, 18, 20, 27, 31, 28, 55, 32, 36, 37, 33, 39, 43, 38, 34, 41, 42, 45, 44, 40, 60, 46, 53, 47, 48, 49, 58, 50, 54, 56, 59, 57, 51, 52]]
112: [[35, 3, 1], [18, 4], [2, 6], [5, 7, 25, 8, 28, 17, 14, 9, 15, 10, 11, 12, 13, 19, 20, 21, 26, 23, 27, 22, 24, 16, 29, 31, 43, 32, 34, 51, 52, 33, 37, 46, 39, 44, 30, 40, 45, 41, 42, 36, 38, 53, 47, 48, 55, 50, 49, 54, 58, 57, 56, 59, 60]]
113: [[35, 2], [7, 27, 5, 9, 3], [1], [23, 12, 6, 4, 8, 10, 11], [17, 14, 26, 13, 31, 30, 29], [15, 16, 22, 18, 28, 19, 20, 24], [21, 25, 36, 33, 32, 38], [51, 34, 39, 40, 43, 37, 42], [47, 44, 45, 41, 60], [46, 49, 48, 52], [50], [53, 56, 55], [54, 57, 58, 59]]
114: [[35, 2, 5, 11], [13, 9, 3, 1, 12, 21, 8, 10], [26, 15, 4, 27, 7], [28, 23, 16], [17, 20, 14], [6, 19, 22, 18, 24, 25, 30, 31, 29, 54, 50, 51, 32, 33, 39, 34, 38, 36, 37, 41, 47, 40, 42, 44, 45, 60, 43, 58, 46, 48, 52, 53, 55, 49, 56, 57, 59]]
115: [[35, 2, 7, 19, 9, 5, 3], [1, 4, 15, 8, 10, 11, 12, 27, 13], [14, 6], [22, 16, 18, 20, 21, 26, 23, 17, 24, 25, 31, 29], [28, 30, 37, 42, 32, 34, 54, 33, 46, 36, 38, 39, 41, 43, 44, 47, 57, 52, 40, 45, 48, 50, 53, 51, 49, 56, 58, 55, 59, 60]]
116: [[35, 2, 7, 9, 3], [1, 8, 12, 4, 13, 14], [6, 11, 30, 26, 10, 5, 18], [15, 20, 17, 19, 23, 22, 25, 24, 21, 31, 16, 29], [27, 50, 37, 28, 58, 38, 33, 42, 32], [34, 36, 47, 40, 39], [45, 41, 43, 57, 44, 46, 54], [48, 49, 55, 56, 53, 51, 59, 52, 60]]
117: [[35, 7, 3, 19], [11, 5, 1, 4, 2, 28, 14, 6], [8, 9, 12, 20, 10], [25, 31, 16, 15, 22, 17, 13, 21], [29, 18, 24, 30, 50, 23, 45, 26], [32, 51, 27, 33, 47, 34], [54, 36, 37, 38, 43], [41, 40, 39, 46, 53, 42, 57, 44], [49, 52, 48, 56, 55, 58, 59, 60]]
118: [[35, 2], [7, 1, 19, 9, 13, 3, 23, 6, 10, 4], [5, 15, 11, 14, 16, 8, 12, 20], [29, 18, 17, 25, 22, 26], [21, 27, 28, 24, 31, 30, 38], [32, 44, 42, 40, 39, 47, 43, 45, 33], [34, 36, 37, 41, 46, 52, 51], [56, 54, 49, 55, 50, 53], [48, 57, 59, 58, 60]]
119: [[35, 2, 5, 1, 21, 9, 3], [4, 12, 7, 8, 26, 25, 10, 15, 11, 19, 13, 14, 18, 17, 20, 27, 6, 16, 22, 23], [29, 28, 30, 31, 24, 54, 42, 53, 38, 32, 39, 36, 45], [37, 33], [41, 43, 47, 46, 40, 44, 55, 52], [51, 48], [34, 49], [56, 50], [57, 59, 58, 60]]
120: [[35, 6, 7, 11], [1, 9, 3, 4, 12], [13, 2, 8, 27], [5, 26, 18, 10, 14, 30, 16, 19], [20, 15, 17, 21, 23, 24], [25, 28, 54, 29, 31, 22], [32, 34], [38, 37, 43, 33, 47, 36, 39, 56], [46, 41, 40], [42, 44, 45, 49, 50, 51], [58, 48], [53, 57, 55, 52, 59, 60]]
121: [[35, 6, 5, 11], [9, 1, 3, 4, 13], [2, 7, 24, 8, 10, 14, 26, 27], [18, 30, 16, 29, 12, 19, 20, 23], [22, 17, 21, 28, 54, 25, 41], [31, 32, 48, 38, 37, 44], [15, 39], [34, 45, 40, 47, 36, 42, 43, 46], [49, 33], [59, 51, 50, 53], [52, 57], [55, 56, 58, 60]]
