0: [[1, 2, 35, 7], [3, 4], [13, 21, 6], [9, 27, 8, 15, 5, 24, 29, 22, 30, 14, 11, 12, 17, 16, 28, 19, 18, 10], [20, 23, 25, 56, 31, 26, 33, 32, 40, 34], [50, 36, 39, 47, 37], [43, 45, 42, 46, 44, 38, 41, 58, 55], [48, 51, 53, 54, 52], [57, 49, 59, 60]]
74: [[1, 2, 35, 7], [3, 4], [13, 21, 6], [12, 15], [9, 10, 5, 18, 8, 14], [24, 11, 20, 30, 23, 19, 16, 26, 27, 22, 48], [29, 25, 17, 28, 47], [52, 41, 45, 38, 40, 55, 44, 31, 46, 32, 33, 36], [34, 43, 37, 39, 51, 57, 42, 49, 50], [53, 60, 59, 54, 56, 58]]
75: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 6, 24, 12, 8, 9, 10, 31, 15, 14, 11, 22, 16, 19, 27, 18, 17, 20, 23, 25, 26, 29, 28, 30, 32, 36, 57, 56, 45, 34, 37, 33, 41, 38, 40], [47, 39, 44, 43, 42, 59, 46, 50, 51, 52, 49, 54, 48, 55, 60, 58, 53]]
76: [[1, 2, 35, 7], [3, 4], [13, 5, 21, 6], [14, 8], [11, 9, 10, 30, 12], [15, 29, 25, 16, 27, 22, 17, 23, 19, 20, 18, 24], [28, 26, 31, 36], [33, 32, 58, 45, 38, 46, 40, 34, 39, 41, 44, 37, 43, 54, 42, 47, 52, 51, 55, 48, 53, 50, 49, 59, 60, 56, 57]]
77: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6], [31, 8, 9, 14, 11, 22, 10, 12, 15, 29], [25, 17, 24, 18, 16, 23, 20, 27, 28, 26, 30, 56, 38, 32, 48, 19, 44, 34, 60, 42, 45, 33, 41, 36, 47, 37, 39, 40, 57, 43, 54, 52, 50, 55, 46, 49, 51, 58, 53, 59]]
78: [[1, 2, 35, 7, 3, 4], [13, 5, 11, 8, 21, 6], [24, 14], [27, 9, 26, 12, 28, 15, 20, 16, 23, 29, 17, 10], [22, 25, 30], [19, 31], [46, 36], [33, 37], [34, 44, 38, 47, 45, 32, 43, 39, 40, 41, 58, 50, 51, 48, 59, 54, 52, 42, 53, 49, 55, 56, 57, 60, 18]]
79: [[1, 2, 35, 7, 3, 4], [13, 21, 5, 6, 30, 9, 8, 10, 15, 12, 22, 31, 14, 19, 11, 17, 16, 23, 18, 24, 27, 25, 20, 26, 28, 55, 29, 33, 32, 42, 38, 37, 41, 39, 36, 34, 40, 43, 45, 44, 46, 57, 54, 52, 47, 49, 50, 53, 58, 48, 51], [56, 59, 60]]
80: [[1, 2, 35], [7, 3, 4, 13, 21, 5, 23, 15, 9, 6, 10, 22, 29, 8, 12, 20, 30, 11, 14, 16, 18, 19, 17, 24, 27], [25, 26, 31, 28, 32, 36, 40, 34, 38, 48], [41, 33, 44, 37, 39, 47, 45, 42, 46, 43, 50], [49, 51, 53, 57, 55, 54, 52, 58, 59, 56, 60]]
81: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 14, 9], [8, 11, 10, 6, 30, 12, 19, 29, 17, 23, 26, 16, 20], [18, 15, 24, 25, 27, 28, 53, 54, 47, 33, 57, 32, 43, 39, 41, 38, 31, 48, 36, 51, 44, 37, 45, 40, 46, 42, 60, 50, 34, 22, 52, 55, 58, 56, 49, 59]]
82: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 12], [31, 9, 6, 8, 11, 24, 14, 16, 10, 23], [18, 20, 15, 25], [17, 19, 26, 22, 28], [27, 30, 29, 32, 36, 33, 40, 41, 34, 37, 42, 39], [43, 44, 38, 45, 48, 46, 49, 52, 53, 47, 54, 51, 57, 55, 50, 56, 59, 58, 60]]
83: [[1, 2, 35, 7], [3, 4, 13], [21, 5, 6, 11], [8, 9, 10, 20, 14, 24, 12, 16, 22, 25, 23], [26, 18, 17, 19, 29, 27, 28, 31], [30, 32, 38, 50, 40, 37], [46, 15, 36, 47, 39, 45, 42, 33, 43, 53, 58, 44, 41], [34, 49, 60, 48, 51, 56, 55, 52, 59, 54, 57]]
84: [[1, 2, 35, 7], [3, 4, 13], [21, 5, 6, 12, 8], [9, 24, 30, 14, 10, 15, 11, 29, 18, 16, 19, 22, 20, 23, 17, 26, 25, 27, 28, 31, 43, 33, 36, 32, 46, 39, 41, 49, 45, 34, 42, 51, 57, 37, 38, 40, 52, 44, 47, 53, 50, 48, 55, 56, 58, 59, 54, 60]]
85: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 15, 10, 8, 11, 9, 6, 12, 22, 28, 14, 30, 17, 25, 23, 20, 16, 19, 24, 27, 31, 26, 39, 29], [38, 36, 45, 42], [34, 32, 18, 40, 47, 43, 33, 37, 46, 41, 44, 48, 59, 50, 49, 53, 54, 51, 52, 55, 56, 57, 58, 60]]
86: [[1, 2, 35, 7, 3, 4], [13, 21], [5, 6], [11, 8, 9, 12, 10], [15, 19, 14, 16], [28, 18, 17, 26, 23, 20, 22, 24, 27, 31, 29, 25, 30, 33, 32, 57, 55, 36, 34, 37, 40, 39, 46, 41, 42, 43, 44, 45, 47, 54, 48, 38, 58, 50, 51, 59, 53, 49, 60], [56, 52]]
87: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6, 9, 12, 10, 14, 8, 30, 15, 19, 20], [29, 18, 16, 11, 22, 23, 17, 28, 25, 24, 26], [27, 46, 32, 33, 49, 31, 38, 42], [34, 37], [41, 54, 40, 52, 59], [36, 55, 39, 43, 58, 44, 45, 47, 48, 50, 51, 53, 56], [57, 60]]
88: [[1, 2, 35, 7], [3, 4], [13, 21, 5], [10, 30, 8, 6, 11, 14, 15, 27, 18, 12, 9, 22], [24, 16, 19], [20, 25, 17, 28], [23, 29], [26, 31], [36, 33, 38, 40, 46, 34, 44, 37, 42, 41, 32, 39, 43, 47, 45, 57], [49, 48, 51, 52, 55, 50, 53, 54, 56, 58, 60, 59]]
89: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 14, 15, 9], [10, 6, 8, 11, 12, 16], [17, 24, 26, 31, 19, 20, 18], [25, 23, 30, 22, 27, 29, 28, 38, 48, 32, 37, 33, 40, 43, 44, 36, 46, 39, 42, 45, 41, 47, 59, 51, 57, 34, 54, 50, 52, 53, 49, 55, 56, 58, 60]]
90: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6, 27, 8], [10, 9, 11, 15, 12, 14, 16], [22, 18, 30, 19, 26], [20, 29, 17, 23], [25, 24], [28, 31, 44, 42, 54], [34, 38, 32, 41], [33, 45], [47, 36, 43, 37, 57, 39], [49, 40, 50, 51, 52, 53], [46, 48, 55, 59, 58, 60, 56]]
91: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6, 29, 8], [11, 9], [10, 14, 12, 15, 16], [17, 24, 19, 27], [23, 18, 20, 22, 25, 28, 30, 26, 31, 37, 32, 33, 43, 45, 34, 36, 46, 42, 38, 41, 39, 47, 44, 53, 48, 51, 40, 54, 52, 55, 49, 50, 59, 56, 60, 57, 58]]
92: [[1, 2, 35, 7, 3], [4, 13, 21, 6, 5, 15, 8, 11, 9, 10, 16, 30, 27, 12, 18, 17, 20, 19, 22, 24, 28, 23, 25, 26, 29, 31, 34, 49, 32, 33, 36, 47, 41, 38, 37, 46], [39, 40, 43, 14, 42, 44, 45, 58, 48, 51, 53, 50, 54, 59, 55], [52, 57, 56, 60]]
93: [[1, 2, 35, 7], [3, 4], [13, 21, 5], [6, 27], [9, 8], [12, 10, 14, 19], [28, 15, 20, 16, 17, 11, 23, 22, 25, 24, 26, 29, 30], [31, 38, 40, 49, 52, 32, 43, 37, 34, 36, 46, 51, 45, 57, 59], [39, 55, 44, 53, 41, 60, 42, 33, 18, 47, 48, 58, 56, 50, 54]]
94: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 14], [31, 9, 15, 6, 8, 23, 28, 10, 24, 20, 18, 16, 11, 22, 12], [17, 29, 19, 25, 26], [57, 27, 37, 44, 38, 34, 32, 30, 33, 36, 39, 47, 43, 42, 41], [45, 40, 56, 58, 48, 53], [46, 51, 55, 49, 52], [50, 59, 60, 54]]
95: [[1, 2], [35, 7, 3, 4, 13, 21, 5, 6, 15, 9], [11, 10, 8, 12], [26, 14, 31, 27], [17, 28, 16, 18, 19, 20, 22, 23, 24], [30, 25, 29, 32, 33, 37], [44, 40, 38, 34, 36, 45, 39, 41, 43, 42, 46, 54, 59, 50, 47], [48, 55, 51, 49, 52, 53, 58, 57, 56, 60]]
96: [[1, 2, 35], [7, 3, 4, 13], [21, 5, 6, 27, 9, 8, 11, 30, 29, 18, 10, 15, 12, 16, 17, 20, 23, 28, 24, 19, 22, 25, 26], [31, 32, 14, 33], [34, 42, 38, 53, 36, 37, 44, 39, 40, 41, 45, 43, 46, 57, 59, 52, 47, 49, 50, 48, 51, 54, 55], [58, 56, 60]]
97: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6], [11, 8, 9, 10, 15, 12, 24, 30, 20, 16], [14, 18, 23, 26], [17, 19, 22, 25], [27, 29, 28, 31, 36, 38, 32, 33, 42], [34, 39, 47, 37, 44, 40], [45, 43, 48, 54, 41, 51, 46, 50, 52, 49, 53, 57, 55, 58, 59], [56, 60]]
98: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 14, 27], [9, 10, 11, 6, 15, 12, 16, 31, 8, 18, 22, 19, 24, 20], [29, 17, 28, 23, 26, 30, 25, 44, 32, 39, 34], [38, 36, 40, 33, 45], [43, 42, 46, 47, 59, 37, 48, 41, 50, 51, 52, 53, 49], [54, 55, 57, 58, 60], [56]]
99: [[1, 2, 35, 7], [3, 4], [13, 5, 15, 6, 12, 26, 8, 9, 14, 10, 30, 11, 20, 22], [28, 16, 18, 27, 17, 19, 24, 21, 23], [25, 29, 31, 32], [49, 48, 34, 36, 33, 54, 37, 41, 39, 40, 46, 47, 43, 38, 42, 45, 44, 57, 52, 55, 50, 51, 53, 58, 56], [59, 60]]
100: [[1, 2, 35, 7, 3, 4, 13], [21, 6, 14, 31], [8, 10, 9], [12, 11, 27, 22, 5, 15, 16, 17, 18, 19, 20, 28, 23, 24, 25, 29, 58, 30, 36, 50, 32, 40, 44, 39, 26, 37, 34, 41, 38, 33, 42, 47, 57, 43, 45, 48, 51, 54, 55, 49, 46, 52, 53, 56, 60, 59]]
101: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6, 27, 8], [11, 14], [26, 28, 30, 9, 10, 12, 25, 15, 17, 16], [18, 19, 20, 22, 23, 24], [56, 31, 53, 32, 33, 39, 29, 42, 44, 38], [45, 34, 43, 40], [41, 36, 46, 48], [37, 47, 50, 49, 54, 55, 51, 58, 52, 59, 57, 60]]
102: [[1, 2, 35, 7, 3, 4, 13, 21, 5, 14, 15, 8], [9, 6, 11, 28, 31, 10, 12, 16, 18, 25, 24, 17, 30, 19], [20, 22, 26, 23, 55, 59, 44, 34, 32, 27], [43, 38, 29, 33, 37, 45, 36, 47, 57, 39, 41, 40, 50, 54, 49, 42, 46, 48, 53, 51, 56, 58, 60, 52]]
103: [[1, 2, 35, 7], [3, 4, 13, 21], [5, 6], [31, 8, 9, 10, 12, 14], [26, 11, 15, 18, 16, 19, 25, 17, 22, 24], [20, 23, 27, 28], [55, 29, 60, 30, 32, 33, 38, 37, 34, 39, 45, 47, 36, 44, 43, 59, 41, 40, 49, 58, 42, 52, 53, 57, 46, 48, 50, 51, 54, 56]]
104: [[1, 2, 35, 7, 3, 4, 13, 5, 11, 12, 8, 30, 28, 9], [10, 24, 14, 18, 21, 6, 19, 16, 22, 23, 17, 26], [25, 27, 20, 29, 32], [31, 15, 33, 48, 36, 38, 34, 41, 37, 45, 39, 40, 44, 47, 43, 42, 53, 46, 60, 49, 52, 59, 50, 51, 54, 55, 56, 57, 58]]
105: [[1, 2, 35, 7, 3, 4, 13, 21, 5, 14], [31, 9, 11, 8, 26, 28, 22, 6], [12, 10, 18, 16], [15, 17, 19, 20, 23, 25, 24, 27, 56, 30, 29, 52, 32], [36, 33, 34], [37, 38, 40, 39, 41, 46, 44, 43, 42, 45, 47, 48, 54, 49, 51, 55, 58, 53, 50, 59, 57, 60]]
106: [[1, 2, 35, 7], [3, 4, 13, 21, 5, 14], [31, 8, 6, 10, 9, 24, 15, 11], [16, 18, 12, 17, 19], [20, 22], [28, 23, 25, 26, 27], [29, 38], [34, 36, 50, 60, 30, 47], [37, 32, 33, 43, 40, 39], [45, 56, 42, 41], [44, 52, 46, 57, 53], [49, 48, 51, 54, 55], [58, 59]]
107: [[1, 2], [35, 7, 3, 4], [13, 21, 5, 6, 11, 9, 8, 12, 28, 14], [10, 24, 30, 18, 17], [15, 20, 23, 16, 19, 25, 22, 26, 29, 31, 27, 44, 40, 33, 32, 42, 34, 38, 36, 37, 39, 43, 45, 46, 48, 41, 47, 50, 49, 54], [53, 51, 52, 55, 56], [57, 58, 60, 59]]
108: [[1, 2, 35, 7], [3, 4], [13, 21, 5], [6, 14, 8, 9], [10, 11], [30, 19, 12], [17, 31, 18, 15], [20, 29], [16, 22, 23, 50, 24, 26, 59, 25, 27, 52, 40, 36, 38, 33, 39, 28, 32, 34, 37, 47, 42, 43, 46, 44, 49, 51, 41, 45], [48, 54, 53, 55], [56, 58, 57, 60]]
109: [[1, 2, 35, 7], [3, 4], [13, 5, 15], [6], [8, 31], [14, 9, 11, 26, 10, 12, 17, 18, 28, 16, 20, 23, 19, 22, 21, 24, 27, 29, 25, 54, 42, 33, 49], [32, 44, 30, 34, 45, 37, 36, 43, 47, 38, 39, 40, 41, 55, 48, 56, 46, 50, 52, 53, 51, 59, 57, 58, 60]]
110: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 14], [28, 8], [6, 9, 10, 27, 15], [11, 25, 30, 18, 19], [12, 23], [17, 16], [22, 20, 29, 24, 26], [31, 37, 36, 48], [43, 44, 34, 46, 32, 33], [38, 41, 39, 47, 40], [51, 42, 59], [52, 45, 55, 53, 49], [54, 56, 50, 60, 58], [57]]
111: [[1, 2, 35, 7], [3, 4], [13, 21, 5, 6], [14, 29], [8, 9, 10], [31, 11], [12, 24, 15, 18, 17, 19], [23, 20, 16, 22, 27], [28, 56, 25, 30, 26, 52, 41, 34, 32, 36], [40, 33, 37, 42, 39, 44, 43, 47, 45, 38, 49], [59, 46, 50, 48, 51, 55, 53, 54, 58, 57, 60]]
112: [[1, 2, 35, 7, 3, 4, 13, 21, 5, 6, 31, 8, 11, 9, 10, 24, 30, 15, 12, 14, 19, 20, 17, 16, 18, 22], [23, 25, 27, 26, 28, 29, 32, 40], [33, 39, 36, 34, 45, 44, 37, 38, 43, 42, 47, 41, 46, 48, 52, 49, 53, 50, 54, 55, 51, 59, 56, 58, 60, 57]]
113: [[1, 35, 2, 7, 3], [4, 13, 5], [14, 26, 9, 8, 12], [11, 15], [10, 30, 19, 20, 6], [27, 24, 22, 21, 16, 17, 18, 31, 23], [28, 25, 29, 32, 49, 36, 33, 39, 38, 34, 37, 47, 45, 41], [46, 42, 43, 44, 54, 50, 40, 48, 53, 56, 52, 55], [57, 51, 58, 59, 60]]
114: [[1, 2, 35, 7, 3, 4], [13, 5, 8, 6], [9, 28, 11, 10], [12, 30], [26, 24], [25, 18, 22, 31, 14, 19, 27, 20, 17, 15, 16, 29, 21, 23, 42, 33, 32], [38, 36, 34, 37, 39, 45, 47, 43, 44, 46, 54, 40, 49, 55, 48, 41, 51, 53, 52, 56, 50, 58, 57, 59, 60]]
115: [[1, 2], [35, 7, 3, 4, 13, 21, 6, 5, 10, 8], [11, 9, 23, 12, 26, 28, 14, 24, 15, 19, 17, 16, 20, 22, 18, 25, 30, 29, 27, 31], [43, 36], [33, 44, 32, 39, 47], [40, 34, 37, 42, 45, 38, 41, 46, 48, 49, 52, 57], [53, 50, 55, 51, 54, 56, 59, 60, 58]]
116: [[1, 2, 35, 7, 3, 4, 13], [21, 5, 12, 31, 9, 6, 10, 11], [8, 16, 24, 14], [15, 19, 18, 22, 25], [20, 27, 17, 23, 29, 30], [28, 26, 32, 36, 33, 42, 46, 38], [45, 34, 37, 43, 41], [58, 44, 48, 39, 53, 49], [40, 47, 57, 51, 50, 52], [54, 55, 56, 59, 60]]
117: [[1, 2, 35, 7], [3, 4], [13, 21, 5], [6, 31, 8, 11], [10, 26], [14, 15, 12], [20, 17, 22, 9, 16, 18], [19, 25, 23, 24], [28, 27, 29], [30, 32, 36, 33, 41, 46, 48, 37, 38, 40, 39, 34, 43, 44, 42, 45, 59, 49, 53, 47, 50, 52, 51, 55, 54, 57, 58, 56, 60]]
118: [[1, 2], [35, 7, 3, 4], [13, 5, 15, 14, 12, 10, 6, 11, 24, 8, 9, 16, 27, 22], [17, 18, 19, 21, 25, 20, 23, 26, 28, 29, 30, 31, 42, 60, 32, 34], [33, 45, 54, 36, 41, 47, 43], [39, 40, 37, 57], [51, 38, 48], [44, 55, 53, 46, 49, 50, 56, 52, 58, 59]]
119: [[1, 2, 35, 7], [3, 4, 13], [21, 5, 14, 12], [8, 6, 9, 10, 26, 18, 15, 11], [19, 17, 20, 27, 22, 16, 23, 24], [28, 25, 29], [30, 31, 32, 33, 49], [36, 42, 34, 39, 38, 45, 41, 43, 55], [56, 37], [44, 40], [47, 46, 48, 53, 51, 54, 52, 58, 59, 60], [50, 57]]
120: [[1, 2, 35, 7], [3, 4, 13, 5], [12, 6], [11, 9, 10, 14], [8, 24, 30, 16, 28, 17, 19, 15, 20, 23, 22, 25], [21, 18, 26, 29], [31, 59, 36, 32, 27, 39, 38, 34, 44, 33, 43, 37, 40, 45, 46, 47, 41, 42, 58, 50, 51, 53, 49, 55, 54, 48, 57, 52, 56, 60]]
121: [[1, 3, 2, 6], [7, 4, 13, 5], [15, 8], [11, 10, 30, 9, 12, 18, 28, 26], [21, 16, 19, 22, 23, 17, 24, 25, 27, 29], [20, 14, 57, 31], [33, 49, 36, 44], [32, 38, 34, 37, 41, 46, 40, 35, 42], [47, 39, 55, 43, 45, 52], [48, 50, 54, 51, 53, 58, 59, 60, 56]]
