0: [[35, 7, 1, 2, 11], [4, 3], [5, 16, 24, 14, 9, 8, 31, 15, 29, 13, 19, 18, 10], [21, 12, 17, 6], [28, 22, 23, 26], [27, 25, 30, 20, 32, 55], [33, 36, 41, 34, 43, 37, 38, 39, 40, 42, 45, 44], [47, 57, 49], [48, 46, 53, 50, 51, 54, 52, 56, 59, 60, 58]]
74: [[35, 7, 1, 2, 9], [4, 3, 13, 21, 5], [6, 24, 8, 31, 14], [12, 11, 10, 18, 19, 22, 17, 15], [23, 16, 25, 20, 27, 26, 29, 30, 28, 40, 55, 33, 34, 42, 36, 38, 47, 37, 39, 32, 41, 43, 44, 45, 49, 48, 60, 46, 51, 54, 50, 52, 57, 58, 53, 56, 59]]
75: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [8, 9, 30, 14, 10], [12, 15, 17, 27, 19, 18, 20, 23, 31, 24, 22], [26, 28, 16, 29], [25, 40, 36, 32, 33, 34, 38, 37, 39, 43, 41], [42, 44, 46, 47, 45, 50, 52, 48, 49, 54, 51, 55], [53], [58, 57, 56, 59, 60]]
76: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 8, 22, 14], [10, 12, 15, 17, 24, 26, 25], [16, 19, 18, 23, 29, 30, 20, 31, 28], [27, 40, 36, 32, 33, 38], [34, 41], [39, 37, 43, 44, 45, 49, 46, 47], [58, 48, 54, 42, 50], [60, 53, 52, 56], [57, 51, 59, 55]]
77: [[35, 7, 1, 2, 11, 4, 3], [13, 21, 5, 6, 8], [9, 27, 15], [10, 12, 28, 24, 19, 14], [16, 31, 17, 22, 30], [29, 25, 18, 20, 23, 26, 40, 48], [33, 36, 47, 42, 38, 37, 39, 32, 34], [46, 41, 43, 45, 57, 50, 44, 60], [51, 49, 55, 52, 58, 53, 54], [56, 59]]
78: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 12, 27, 14, 10, 8, 15], [17, 24, 22, 16], [19, 18, 26, 20, 23, 25], [30, 29, 28, 31, 40, 36], [33, 41, 32, 34, 47], [37, 42], [45, 46, 43, 51, 44, 39, 49, 48, 50, 58, 38, 52, 53, 54, 56, 59, 55, 57, 60]]
79: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 8, 26, 14, 12, 10], [15, 17, 18, 24, 27], [22, 16, 30, 28], [31, 19, 20, 29, 25, 23, 40], [49, 33, 38], [43, 39, 42, 32, 37, 34, 44], [41, 46, 36, 45], [51, 48, 47, 56, 54, 52, 55], [53, 58, 59, 50, 57, 60]]
80: [[35, 7, 1, 2, 11, 4], [3, 5, 21, 6, 14], [8, 13, 23, 9, 10, 12], [15, 19, 17, 24, 20, 22, 18], [25, 30, 16, 27, 28, 26, 29, 31, 32, 36, 33, 34, 37, 39, 47, 38, 40, 41, 43, 44, 42, 45, 46, 59, 48, 50, 54, 49, 51, 53, 55, 52, 57, 58, 56, 60]]
81: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6, 8, 9, 18, 14, 10, 12], [15, 17, 19, 16, 20, 27, 22, 24, 23, 26, 29, 25, 30, 28, 31, 40, 36, 32], [33, 34, 37, 42, 39, 38, 43, 41, 45, 46, 44, 47, 50, 49, 48, 51, 57, 54, 53, 52, 58, 60, 55, 59, 56]]
82: [[35, 7, 1, 2, 11, 4], [3, 13], [17, 6, 5, 8, 9, 26, 14, 10, 12, 28, 23, 22, 15, 24, 29, 19, 16, 18, 21, 30, 20, 25, 31, 27, 40, 36, 33, 32, 43, 34, 37, 45, 39, 41, 46, 42, 38, 44, 47, 56, 50, 51, 48, 49, 53, 52, 54, 55, 58], [57, 59, 60]]
83: [[35, 7, 1, 2, 11], [4, 10, 5, 21, 3, 6], [9, 8, 22, 14, 15], [12, 19, 16, 17, 13], [18, 25, 23, 27, 20], [31, 24, 26, 29, 28, 30], [32, 38], [33, 36, 34, 39, 42, 37], [40, 43, 45, 47], [41, 44, 46, 58], [48, 54, 51, 49, 50, 53, 52, 55, 57, 59, 56, 60]]
84: [[35, 7, 1, 2], [11, 4], [3, 5, 21, 14, 6, 9, 16, 23], [13, 8, 10, 12, 15, 18, 27], [24, 31, 17, 19, 20, 28, 22, 25, 26, 29, 30, 40], [49, 32], [38, 34, 37, 44, 43, 46], [33, 36, 39, 47, 45, 41, 50], [42, 48, 52, 51, 55, 54, 53, 56, 58, 59, 57, 60]]
85: [[35, 7, 1, 2, 11, 4], [3, 5, 21, 10, 6], [8, 28, 22, 14, 9, 15], [12, 20, 24, 13], [19, 27], [16, 17, 25, 23, 18, 26], [30, 29, 31, 40, 53], [32, 36, 34, 39, 46, 47, 44, 33, 38, 37, 43, 42, 45, 51, 48, 41, 49, 52, 50, 55, 59, 56, 54, 57, 58, 60]]
86: [[35, 7, 1, 2, 11, 4], [3, 5, 21, 12, 6], [9, 10, 23, 15, 8, 13], [14, 17], [16, 19], [22, 28, 18, 24], [25, 20, 27, 29, 26], [31, 30, 40, 52, 33, 36, 34, 39, 46, 43, 41], [32, 37, 38, 42, 44, 45, 58, 47], [48, 50, 49, 54, 53, 51, 56, 55, 59, 57, 60]]
87: [[35, 7, 1, 2, 11, 4], [3, 5, 21, 6, 10, 9, 8, 23, 14], [12, 31, 24, 18, 13, 15], [19, 20, 16, 27, 22], [17, 26, 28, 25, 30, 29, 40, 53, 33, 32, 39], [36, 47, 46, 34, 37, 42, 38, 43], [41, 44, 51, 48, 45, 50, 54, 55, 52, 49, 59, 57], [58, 56, 60]]
88: [[35, 7, 1, 2, 11, 4], [3, 13], [21, 17, 6, 8, 5, 30], [14, 12, 9, 10, 18], [15, 16, 22, 20, 23, 19, 26], [27, 29, 28, 24, 25, 31, 40], [32, 33, 34], [38, 39, 36, 37, 42, 41, 44], [43, 47, 46, 45, 49], [48, 60, 56, 54], [55, 51], [52, 57, 59, 53, 50, 58]]
89: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 6, 5, 9], [24, 26], [14, 8, 29, 12, 19, 22, 10], [23, 15, 16, 31, 20, 17, 25, 18], [27, 28, 30, 40, 53, 33, 32], [38, 36, 39, 34, 47, 37, 41], [42, 43, 45, 46], [58, 49, 55, 59, 44, 48, 54, 52], [50, 56, 51, 57, 60]]
90: [[35, 7, 1, 2, 11, 4, 3, 13, 21, 5, 6, 25, 8, 31, 14, 9, 12, 10, 16], [24, 22, 17, 15, 19, 18, 20, 23, 27, 26, 29, 30, 28, 40, 37, 32, 33, 46, 38, 34, 39, 36, 42], [43, 45, 41, 44, 47, 59, 48, 54, 53, 51, 60, 49, 52, 56, 57, 55, 58, 50]]
91: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6, 8], [9, 30, 14, 10, 12, 15, 22], [24, 17, 18, 23, 20], [19, 16, 31, 26, 25, 27, 29], [28, 40, 36, 32, 34, 45, 33, 47, 46, 37, 39, 43, 42, 38, 41, 44, 57, 48, 50, 51, 52, 49, 53, 55, 54, 56, 58, 59, 60]]
92: [[35, 7, 1, 2, 11, 4, 3, 13, 21, 12, 6], [9, 10, 30, 14, 8, 5, 15, 17, 18, 16, 29, 25, 23, 19, 24, 28, 22, 20, 26, 27, 31, 32, 36, 33, 34, 39, 38, 37, 46, 41, 40, 44, 42, 43, 45, 47, 48, 51, 50, 55, 49, 52, 53, 54], [59, 57, 58, 56, 60]]
93: [[35, 7, 1, 2, 11, 4, 3, 13, 21, 5, 6], [9, 8, 26, 14, 10, 12, 15, 25, 27, 16, 17, 18, 19, 22, 23, 24, 29, 20], [30, 28, 31, 40, 36, 32, 33, 38, 34, 42, 39, 37, 43, 41, 45, 44, 46, 47, 51, 48, 55, 59, 54, 60, 53, 52, 56, 57, 58, 49, 50]]
94: [[35, 7, 1, 2, 11, 4, 3, 13], [21, 17, 6, 9, 5, 31, 14, 8, 10, 12, 18, 24, 19, 15, 16, 22, 26, 20, 23, 28, 27, 25, 29, 30, 40, 52, 33, 36, 34, 32, 43, 37, 39, 45, 42, 38, 41, 46, 44, 57, 47, 50, 48, 53, 49], [54, 55, 56, 60, 51, 58, 59]]
95: [[35, 7, 1, 2], [11, 4], [3, 5, 21, 6, 12, 15, 8, 23], [14, 10, 9, 29, 17, 13, 16], [22, 25], [20, 18, 19, 27, 28, 24, 26, 30, 31, 40, 54, 32, 38, 37, 34, 42, 43, 46, 36, 39, 33, 47, 41, 44, 48, 45, 58, 53, 50, 49, 51, 52, 56, 55, 59, 57, 60]]
96: [[35, 7, 1, 2, 11], [4, 3, 13, 12, 5, 6, 14, 15, 8, 9, 10, 18], [29, 16, 24], [21, 25, 19, 20, 26, 17, 22, 23, 27, 28, 30], [31, 40, 53, 32, 33, 46, 38, 42, 36, 34, 41, 45, 47, 43, 44, 37, 51, 48, 39, 54, 49, 50, 52, 55, 56, 57, 59, 58, 60]]
97: [[35, 7, 1, 2, 11, 4], [3, 13], [21, 5, 6], [8, 9, 26, 14, 12, 15, 10, 23, 18, 17, 16, 20, 22, 25, 29, 19], [31, 24, 30, 28, 27, 40, 52, 33], [32, 46, 34, 47, 45, 36], [37, 38, 42, 39, 41, 43, 56, 51, 58, 44, 48, 50, 49], [55, 53, 60, 57, 54, 59]]
98: [[35, 7, 1, 2, 11, 4], [3, 13], [21, 5, 6, 9], [8, 30, 14, 10, 12, 15], [16, 18, 20, 27, 22, 19, 17, 25, 23, 26], [31, 28, 24, 29, 40, 53, 33, 34, 43, 37, 42], [38, 32, 36, 44, 41, 39, 46], [47, 51, 48, 58, 56, 54, 52, 55, 45, 49, 59], [57, 50, 60]]
99: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6, 8], [9, 26, 14, 12, 10], [15, 22, 24, 17, 18, 28, 20], [19, 16, 23, 27, 25], [31, 30, 29, 32, 36, 33], [34, 41, 38, 47, 46, 42], [37, 39, 40, 44, 43, 45, 57, 48, 50, 55, 52, 49, 53, 54, 51, 56, 58, 59, 60]]
100: [[35, 7, 1, 2], [11, 4, 8, 5, 21, 12, 6, 9, 10, 22, 14], [13, 15, 3, 16, 17, 29, 20, 25, 23, 27, 18, 31], [19], [24, 26, 28, 30, 32, 38, 33, 36, 37, 39, 46, 34, 40, 47, 45, 43, 41, 42, 44, 58, 48, 55, 51, 53, 49, 50, 52, 54, 59, 56, 57, 60]]
101: [[35, 7, 1, 2, 11, 4, 3, 13, 5, 9], [22, 10, 6, 15, 14, 12, 16, 17, 19, 8, 26, 20, 21, 23, 25, 24, 18, 29, 31, 27, 28, 30, 33, 37, 32, 36, 34, 38, 47, 42, 46, 39, 40, 41, 43, 45, 44, 48, 51, 49, 60], [55, 52, 54, 50, 53, 59, 57, 56, 58]]
102: [[35, 7, 1, 2, 11], [4, 3], [13, 17, 24, 5, 6, 15, 26, 14, 9, 18, 8, 20], [21, 22, 16, 27, 19, 23, 30, 29], [25, 12, 28, 10, 31, 40], [52, 33, 32, 34, 38], [45, 37, 36, 39, 47, 42, 41, 46, 44, 51, 49, 55, 43, 50, 54, 48, 53, 58, 57, 56, 59, 60]]
103: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5, 6], [9, 8, 22, 14, 10], [12, 15, 17, 16, 19], [20, 18, 23, 30, 24, 26, 25, 27, 28, 29, 31], [33, 36, 32, 34, 37, 38, 46, 39], [40, 42, 41, 43, 44, 45], [47, 51, 48, 54, 49, 50, 52], [55, 53, 59, 57, 58, 56, 60]]
104: [[35, 7, 1, 2, 11], [4, 3, 13, 21, 5], [6, 9, 12, 30, 14, 8], [10, 15, 17, 18, 19], [20, 25, 16, 22, 24], [28, 23, 29, 26, 27, 31, 32, 36, 33, 34, 37], [38, 39, 40, 45], [47, 44, 41, 43, 42, 46, 48, 49, 54, 55, 51], [52, 50, 53, 57, 59, 58, 56], [60]]
105: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 15], [6, 8, 5, 30, 10, 14, 12, 9, 18, 25, 17], [22, 23, 19, 16, 20, 24, 26], [29, 28, 31, 27, 40, 52, 33, 34], [46, 39, 32, 37, 41, 36, 38, 47], [42, 43, 44, 57, 58, 45, 51], [55, 48, 49, 50, 54, 53, 59], [56, 60]]
106: [[35, 7, 1, 2, 11, 4, 3, 13, 21, 5, 6, 8, 9, 30, 14, 10, 12], [15, 18, 17, 25, 16, 19, 22, 24, 20, 23, 26, 28, 27, 29, 31, 40, 33, 42, 32, 34, 36, 46, 39, 41, 43, 44], [38, 37, 45, 53, 51, 48, 57, 58, 50, 52, 47, 56, 54, 49, 55, 59, 60]]
107: [[35, 7, 1, 2, 11], [4, 3, 13], [21, 5, 12, 6, 8, 31, 15, 14], [10, 9, 16, 18, 23, 17, 20, 22, 25, 19, 29, 27, 24], [26, 28, 30, 40, 33, 32, 38, 36, 37, 44, 43, 34], [39, 46], [41, 42, 45, 47, 50, 51], [58, 52, 49, 53, 54], [55, 48, 56, 59, 57, 60]]
108: [[35, 7, 1, 2, 11], [4, 3, 5, 21, 9], [6, 8, 10, 31, 14, 12], [13, 26, 17, 15, 23, 16, 19, 22, 27, 18, 20, 25, 24, 28, 30, 29, 40, 55, 33], [34, 42, 36, 38, 45, 37], [39, 32, 41, 43, 44, 47, 49, 48, 46, 58, 50, 52, 51, 54, 57, 56, 53, 60, 59]]
109: [[35, 7, 1, 2, 11, 4, 3, 5, 21, 14, 6, 8, 20], [23, 9, 10, 12, 13, 30, 16, 31, 25, 15, 19, 24, 29, 18, 17, 26], [22, 27, 28, 41, 48, 32, 38, 42, 37, 33, 34, 44], [45, 36, 47, 39, 46, 40, 58, 49, 53, 43, 50, 51, 52, 55, 56, 54, 57, 59, 60]]
110: [[35, 7, 1, 2, 11], [4, 9, 13, 21, 5, 6, 8, 3], [27, 14, 10, 12, 15], [26, 16, 19], [29, 18, 17, 22], [20, 30, 24, 23, 25, 28], [31, 40], [33, 32, 37, 46], [34, 38, 36, 39, 47, 45, 42, 41, 43], [44, 50, 49, 48, 54, 52, 55], [56, 51], [58, 57, 53, 59, 60]]
111: [[35, 7, 1, 2, 11], [4, 3], [5, 20, 6, 14, 8, 9, 31, 15, 10, 13, 27, 22, 26], [21, 28, 25, 12], [16, 18, 19, 17], [23], [29, 24, 30, 40, 55, 33, 36, 41, 38, 32, 34, 39, 47, 37, 42, 45, 44, 46, 59, 49, 48, 43, 53, 50, 51, 54, 52, 56, 57, 58, 60]]
112: [[35, 7, 1, 2, 11], [4, 3, 13], [21, 5], [6, 9, 12, 26, 8, 24, 15], [10, 19, 16, 14, 17, 25, 18, 31], [20, 23, 22, 27, 28, 29, 30], [32, 53, 33, 36, 34, 37, 47], [41, 39, 38, 40], [42, 43, 44, 46, 48, 51, 55], [52, 57, 50, 54, 45, 56, 59], [58, 49, 60]]
113: [[35, 7, 1, 2, 11], [4, 3, 13, 21], [10, 6, 8, 20], [23, 14, 5, 9, 12], [28, 24, 15], [16, 19, 25, 17, 18, 26, 22, 30], [29, 27, 31, 41, 53, 32, 36, 34, 37, 43, 33, 44], [45, 42, 47, 38, 39, 40, 58, 50, 51, 48, 49, 46, 52, 54, 55, 56, 57, 59, 60]]
114: [[35, 7, 1, 2, 11, 4], [6, 13, 21], [5, 3, 9, 8, 30, 10], [12, 14, 15, 19, 26], [23, 17, 18, 27, 16, 20], [22, 28, 29, 24, 25, 31], [40, 38, 33, 36, 47, 32], [34, 43, 39, 41, 42, 46], [37, 45, 44, 51], [52, 48, 60, 50, 49, 53], [57, 58], [56, 54, 55, 59]]
115: [[35, 7, 1, 2, 3, 4], [6, 13, 21], [5, 14, 9, 10, 22, 8], [15, 12, 11, 31, 26], [27, 16, 28, 17, 18, 19], [24, 20, 23, 25, 29, 30], [40, 52, 32, 33, 44, 37], [39, 34, 46, 43, 36, 38, 47], [41, 42, 50, 48, 51, 45, 54, 49, 53, 55, 56], [58, 59, 57, 60]]
116: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 10, 5, 9, 8, 12, 14], [15, 29, 26, 30, 22, 18], [16, 25, 17, 19], [20, 6, 24, 23, 27, 28, 31, 40, 53, 33, 32, 39, 36, 42, 37, 43, 34, 38, 46, 41, 44, 45, 51, 50, 47, 49, 54, 55, 52, 48, 59, 56, 58, 57, 60]]
117: [[35, 7, 1, 2, 11, 4], [3, 13, 5, 6], [8, 9, 30, 27, 14, 10], [15, 12, 19], [18, 21, 23, 24, 22, 26, 16, 31, 29, 17, 20, 25, 28, 40, 53, 33, 32, 34, 36, 38, 39, 37, 47, 41, 42, 45, 44, 46, 50, 49, 43, 48, 51, 54, 52, 55, 56, 57, 58, 59, 60]]
118: [[35, 7, 1, 2, 11, 4, 3, 5, 21, 6, 14, 9, 20], [23, 13, 8, 10, 12], [28, 18, 15, 17, 19, 16, 24, 27, 22, 25, 30, 26, 31, 29], [40, 53, 32, 38, 33, 37, 45, 43, 44, 36, 34, 46, 41, 39, 47, 58, 42, 50, 49, 51, 48, 55, 52, 56, 54, 59, 57, 60]]
119: [[35, 7, 1, 2, 11], [4, 3, 5, 21, 8], [6, 9, 24, 23, 14], [10, 12, 15, 13, 18, 16, 20, 30, 22, 25, 17], [28, 19, 31, 26, 29, 27, 32, 49, 33, 34], [37, 38, 47, 36, 40, 43, 39, 41, 45, 44, 42], [58, 46, 48, 50, 53, 51, 55, 52, 56, 54, 59, 57, 60]]
120: [[35, 7, 1, 2, 11, 4], [3, 13, 21, 5, 6], [9, 8, 31, 10, 14], [12, 15], [17, 18], [20, 24, 28, 30], [22, 25, 19, 23, 29], [16, 26, 27, 40, 39, 33, 32, 34, 38, 36, 47], [37, 41, 42, 43, 45, 44, 46, 51, 48, 50, 49, 53, 52, 54, 55, 57, 56, 59, 58, 60]]
121: [[35, 7, 1, 2, 11], [4, 3, 13, 20, 17, 14, 8, 5], [31, 6, 9, 12, 15, 23], [10, 16, 28, 25], [21, 24, 22, 19, 18, 27, 26, 29], [30, 32, 55, 33, 36], [43, 39], [41, 38, 47, 34, 40, 37, 45, 44], [46, 59, 48, 49, 42, 50], [54, 51, 53], [52, 56, 58, 57, 60]]
