0: [[35, 7, 2], [1, 3, 4, 30], [13, 5, 15, 6, 21], [24, 8, 12, 9, 14], [11, 17, 16, 27, 10, 18], [31, 23, 22, 28], [19, 20, 26, 29, 25, 37, 45, 32], [42, 36, 33, 34], [46, 38, 44], [40, 39, 41], [47, 43, 52, 51, 50, 55], [49, 60, 54, 59, 53, 48, 56, 57, 58]]
74: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 5, 6, 27, 14], [9, 10, 8, 11], [31, 12, 15, 19, 16, 18, 25, 23, 17, 20], [22, 26, 24, 28, 29, 32, 38, 33, 41, 39, 42], [37, 34, 45, 36, 56, 40, 43], [44, 48, 51, 46, 47, 52, 50, 55, 49, 57, 53, 54], [58, 59, 60]]
75: [[35, 2, 7, 1, 3], [4, 30, 13, 21, 5, 6, 25], [15, 12, 11], [9, 10, 8, 24, 17, 20, 14, 16], [31, 22, 18, 19, 23, 27, 26], [59, 29, 28, 32, 33, 45, 46, 47, 36, 39, 34, 37, 38, 42, 43, 40, 48, 49, 53, 54, 41, 55, 44, 50, 51, 58, 56, 57, 60, 52]]
76: [[35, 2], [7, 1, 3, 4, 30], [13, 21, 5, 6, 10, 8, 12, 14, 9, 11, 16, 15, 19, 22, 27], [17, 31, 28, 18], [26, 23, 20], [25, 59, 24, 33, 37, 34, 32, 29], [47, 36, 39, 42, 43, 38, 46], [41, 40, 50, 44, 49, 55, 45, 54, 51, 52, 53, 48, 56, 57, 58, 60]]
77: [[35, 2, 7], [1, 3, 4], [30, 13, 5, 11], [6, 9, 12, 8, 14, 16, 15], [29, 17, 18, 19, 23, 10, 22, 25, 21, 20, 24, 31, 27, 57, 26, 33, 39, 38, 36, 28, 32, 34, 43, 42, 44, 45, 37, 40, 52, 60, 48, 46, 41, 47, 50, 53, 49, 55, 51, 54, 58, 56, 59]]
78: [[35, 2, 7], [1, 3, 4, 31], [13, 21, 5, 6, 11, 12, 8], [15, 9, 10], [14, 29, 16, 17, 22, 26], [18, 20, 19], [23, 24, 27, 25, 30], [28, 33, 42, 34], [43, 36, 32, 37], [41, 40, 38, 44], [39, 47], [45], [56, 52], [49, 46, 48, 50, 55], [51, 53, 54, 57, 60, 58, 59]]
79: [[35, 2], [7, 1, 3, 4, 30], [13, 21, 5, 6, 8, 15, 9, 11, 12, 10, 18, 14, 22, 20, 23], [16, 17, 24, 19, 26], [27, 28, 25, 31, 29, 41, 36, 32, 44, 38, 33, 47, 34, 37, 39, 58, 40, 45, 42, 43, 46, 51, 48, 52, 55, 50, 53, 54, 56, 57, 49, 60, 59]]
80: [[35, 2, 7], [1, 3, 4, 30, 13, 21, 5, 22, 6], [8, 10, 9, 12], [14, 19, 11, 20, 15, 18], [24, 16, 17, 25], [26, 23, 27, 29, 28, 31, 33, 34, 40, 38, 37, 45, 36, 32, 39, 41, 44, 42], [47, 46, 43, 48, 49], [50, 55], [51, 52, 54, 53, 57, 56, 58], [59, 60]]
81: [[35, 2], [7, 1, 3, 4, 30, 13, 21, 6, 5, 9, 11, 8, 12, 14, 10, 29, 18, 19, 17, 27, 20, 15, 22, 16, 24, 28, 25, 26, 23, 55, 50, 37, 32, 44, 31, 36, 34, 38, 33, 39, 42, 40, 41, 43, 53, 46, 45, 54, 47, 49, 48, 52, 59, 57, 56, 51, 58], [60]]
82: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 5, 14, 10, 8, 12, 6, 11], [9, 15], [17, 16, 18, 20, 19, 23, 26, 22, 25, 24, 31, 27, 28, 29, 32, 37, 39, 36, 45, 33], [34, 38, 41, 47], [42, 46, 48, 40, 55, 53, 43], [52, 49, 51], [50, 54, 44, 58, 56, 57, 59, 60]]
83: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5, 6, 8, 11, 9, 15, 10], [26, 14, 18, 16, 12, 17, 20, 24, 28, 27, 19, 29, 22], [23, 25, 31, 33, 36], [38, 32, 59, 34, 47], [46, 45, 40, 39, 37, 42], [44, 41, 49], [54, 48, 51, 43], [50, 52, 53, 55, 57, 58, 56], [60]]
84: [[35, 2, 7, 1], [3, 4, 30, 13], [5, 21, 6, 8], [9, 10, 15, 11, 12, 23], [26, 14, 29, 18], [20, 16, 25, 22, 17, 19], [28, 24, 27, 31, 32, 36, 42, 40, 47, 44, 56, 34, 37, 33, 38, 46], [39, 41, 43, 49, 57, 60, 50], [54, 45, 48, 55, 51, 52], [59, 58, 53]]
85: [[35, 2, 7, 1, 3, 4], [30, 13, 5, 21, 6], [11, 9, 8], [14, 10, 23, 12, 20, 15], [22, 17, 24], [31, 25, 16, 19, 26, 18], [28, 29, 27, 32, 38], [34, 41, 36, 33], [37, 42, 39, 43, 46, 40], [44, 47, 45, 49, 51, 48, 50], [53, 52, 54, 55, 58, 59, 57], [60, 56]]
86: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 15, 6], [5, 26, 8], [10, 9, 22, 11, 17, 16], [12, 27, 14, 18, 23, 19, 24, 20, 28], [31, 29, 25, 37, 45, 34, 32, 40, 33, 39, 46, 36, 38, 44, 47, 43, 41, 42, 53, 51, 50, 49, 48, 60, 54, 55, 52, 56, 59, 57, 58]]
87: [[35, 2, 7], [1, 3, 4, 30, 13, 5, 21, 6, 9], [10, 8, 11, 14, 12], [15, 17], [19, 18, 16, 20, 23, 26], [22, 27], [24, 28, 25, 31, 29, 33, 38, 32, 39, 34, 37, 43, 44, 47, 36, 49, 40, 42, 45, 41, 48, 51, 50, 55, 46, 52, 54, 53, 59, 56, 57, 58, 60]]
88: [[35, 2, 7, 1, 3, 4, 30, 13, 21], [5, 6, 8, 11, 10, 14, 12, 22, 15, 20, 19, 27, 18, 17, 23, 16, 9, 26, 28, 24, 25, 29, 31, 33, 36, 54, 50, 39, 34, 32, 44, 37, 43], [38, 40, 41, 47], [42, 45, 49, 48, 46, 53, 52, 55, 51, 59, 57, 60, 58, 56]]
89: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5], [6, 9, 10, 8, 15, 11, 14, 31, 12, 22, 19, 17], [18, 16, 20], [23, 24, 25, 29, 27, 26, 28, 33, 36, 32, 39, 44, 37, 60, 34, 41, 38, 40, 42, 47, 45, 46, 52, 50, 58, 48, 55, 49, 59, 43, 53, 57, 51, 56, 54]]
90: [[35, 2, 7, 1, 3, 4], [30, 13, 21, 6], [5, 9, 11, 8, 12, 28, 10], [29, 14, 19, 18, 26], [17, 15, 20, 16, 24, 31, 22], [25, 23, 49, 50, 43, 32, 44, 27, 36, 39, 33, 34, 37, 42, 38, 40, 46, 53, 41, 45, 47, 58, 48, 54, 52, 55, 57, 56], [51, 59, 60]]
91: [[35, 2, 7, 1, 3, 4], [30, 13, 21, 5], [6, 9, 8, 15, 11, 12, 10], [14, 31, 18, 19], [16, 28, 22, 23, 17, 24, 20, 25, 29, 27, 26], [49, 36, 32, 45, 39, 38, 37, 34, 42, 40, 33, 41, 44, 43, 56, 58, 55, 47], [52, 48, 50, 46, 53, 51, 54, 59, 57, 60]]
92: [[35, 2, 7, 1, 3, 4, 30, 13], [21, 9, 5, 11, 15, 8, 10, 12, 6], [14, 19, 26, 16], [22, 17, 23, 31, 18, 27, 25, 24, 20, 29, 28, 32, 40, 34, 33, 36, 37, 43, 38, 42, 39, 41, 47, 44, 45, 56, 46, 52, 51, 54, 49, 48, 55, 50, 53, 59, 57, 58, 60]]
93: [[35, 2, 7, 1, 3, 4], [30, 13, 5, 8], [6, 11, 12, 9, 14, 15, 10], [17, 23, 27, 18, 22, 16, 19, 20, 21], [24, 31, 25, 28, 29, 26, 37, 39, 32, 44, 33, 34, 38, 42, 41, 40, 43, 36, 46, 47, 45, 48, 57, 55], [56, 54, 50, 53, 51, 52, 60, 49, 59, 58]]
94: [[35, 2, 7, 1, 3, 4], [30, 13, 5, 21, 6], [11, 9, 12], [8, 28, 31, 10, 17, 15, 14, 19], [16, 18, 20, 22, 27, 23], [24, 29, 25, 50, 32], [36, 26], [34, 52, 37, 42, 41, 40, 39], [45, 46], [43, 38, 44, 57, 48, 33, 47, 49, 51, 53, 54, 55, 56, 58, 59, 60]]
95: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 5, 10], [11, 8, 6, 9, 15, 14, 19, 29, 12, 17, 16, 26, 24, 18, 20, 25, 23, 31, 27, 28, 22, 32, 36, 49, 52, 40, 33, 38, 34, 41, 39, 42, 44, 45, 37, 48, 43, 55, 46, 47, 54, 51, 57, 50, 56, 59, 53, 60, 58]]
96: [[35, 2], [7, 1, 3, 4, 30, 13, 5, 8, 14, 9, 10, 6, 15, 11, 20], [12, 19, 22, 18, 17, 16, 21, 23, 31, 24, 25, 27, 26, 28, 29, 33, 46, 38, 32, 41, 36, 37, 39, 44, 40, 42, 34, 43, 45, 51, 49, 50, 54, 47, 52, 48, 55, 53, 60, 58, 57, 56, 59]]
97: [[35, 2, 7], [1, 3, 4, 30], [13, 21, 5, 6, 9, 10, 11], [8, 12, 15], [14, 20, 18], [17, 16, 23, 22, 19], [27, 24, 28, 26, 25, 29], [31, 32, 46, 43, 33], [39, 37, 38], [47, 40, 45, 44, 42], [34, 50], [57, 48, 36, 41, 51, 49], [52, 53, 55, 54, 58, 56, 59, 60]]
98: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 15, 5, 25, 14, 6], [8, 9, 10, 22], [11, 12, 23, 18, 20, 19, 27, 17, 16, 26], [24, 28, 29, 31, 37, 33, 36, 40, 39], [34, 32, 38, 41], [45, 57, 44, 43, 47, 46, 50, 42, 53, 54, 48, 52, 51, 49], [55, 59, 56, 58, 60]]
99: [[35, 2, 7, 1, 3, 4, 30, 13], [5, 14, 6, 8, 9, 11, 10, 23, 12, 15, 19, 18, 17, 16, 26, 29, 22, 21, 27, 20, 28, 24, 25, 31, 33, 45, 36, 37, 44, 34, 32], [39, 41, 38, 43, 40, 46], [54, 51, 42, 47, 48], [49, 50, 55, 53], [58, 52, 57, 56, 59, 60]]
100: [[35, 2], [7, 1, 3, 4, 30, 13], [21, 5], [6, 11, 8, 12, 9, 14, 10, 18, 29, 17, 22, 16, 19, 15, 23, 26, 25, 24, 20, 27, 31, 28, 33, 39, 32, 34, 41, 37, 42, 46, 44, 45, 36, 40, 38, 43, 47, 49, 51, 48, 52, 50, 59, 53, 55, 54, 57, 56, 58, 60]]
101: [[35, 2, 7, 1, 3, 4, 30, 13, 21], [5, 6, 31, 15, 8, 9, 10, 14, 11, 12, 16, 20, 18, 17, 29, 23, 26, 19, 22, 24, 25, 27, 28, 33, 32, 44, 34, 41, 45, 36, 42, 37, 39, 38, 40, 46, 49, 52, 59, 43, 48, 50, 47], [51, 54, 53, 58, 57, 56, 55, 60]]
102: [[35, 2, 7, 1], [3, 4, 30, 13, 5], [21, 6, 27, 10, 8, 11, 14, 31, 12], [9, 16, 15], [18, 17, 19, 20], [26, 25, 29, 24], [22, 23, 28, 33, 39], [34, 32, 43, 38, 45, 40], [36, 41, 42, 46], [50, 44, 47, 37, 54, 48, 49, 52, 53, 51], [57, 55, 58, 59, 56, 60]]
103: [[35, 2, 7, 1, 3, 4, 30, 13, 5, 21, 6], [11, 12, 8, 9, 10, 15], [14, 24, 19, 18, 16], [20, 17], [22, 23, 29, 25, 27, 28], [26, 31], [33, 32, 34, 39, 36, 37, 43, 46, 38, 42, 40, 41, 47, 45, 44, 60, 49, 59, 48, 50, 51, 53, 54, 52, 56, 57, 58, 55]]
104: [[35, 2, 7, 1], [3, 4, 30, 13, 21, 5], [6, 15, 8, 12, 10, 14, 9], [20, 28, 18], [22, 26, 19, 25], [11, 17, 16], [27, 31, 23, 24, 29, 40, 33, 38], [36, 47, 39, 32, 34, 37], [42, 45, 44, 41, 43, 46], [54, 49, 55, 52, 58, 51, 48], [50, 56, 60, 53, 57, 59]]
105: [[35, 2, 3, 1], [7, 4, 30], [13, 5, 8, 6], [10, 24, 12, 11, 14, 15, 9, 18, 16], [22, 27, 17, 31, 23, 26, 29, 19, 28], [25, 20, 21, 37, 47, 32], [34, 39, 33, 40], [38, 36, 44], [41, 42, 43], [45, 46, 49, 54, 51, 55], [57, 52, 50, 59, 53, 48, 56, 58, 60]]
106: [[35, 2, 7, 1], [3, 4, 30], [13, 5, 6, 8, 9, 10, 11, 12, 26, 16, 31, 25, 14, 20, 22, 17], [15, 19, 21, 18, 23, 29, 27], [24, 28, 32, 36, 48, 33], [45, 37, 47], [42, 41, 34, 39, 46, 38, 40, 43, 50, 51, 55, 53, 44, 49, 54, 56, 52, 57, 59, 58, 60]]
107: [[35, 2, 7, 1], [3, 4, 30, 13], [5, 12, 6, 11], [10, 8, 9, 14, 15, 18, 20, 16], [23, 19, 17, 29, 21, 26, 28, 22, 24], [25, 27, 31, 33, 38], [36, 39, 34, 37, 41, 42], [45, 32, 48, 43, 46], [40, 44, 58, 47], [51, 59, 49, 52], [50, 55, 53, 56, 57, 54, 60]]
108: [[35, 2, 7], [1, 3, 4, 30, 13, 5, 6], [14, 9, 11, 8, 15, 12, 24, 18], [10, 16, 20, 19, 22, 21, 17], [23, 26, 31, 25, 27], [28, 29, 45, 37], [38, 33, 44, 34], [43, 32, 39, 47], [40, 36, 42, 41], [46, 60, 50, 48, 49, 52], [51, 54, 53, 55, 59], [58, 56, 57]]
109: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 5, 14, 8], [9, 6, 11, 10, 12], [15, 16, 23, 17, 18, 22, 20, 31], [19, 27, 24, 28], [25, 29, 49], [32, 26, 34, 37, 48, 47], [39, 33, 46, 38], [40, 44], [41, 42, 43, 45, 58], [36, 50], [52, 55, 53, 51, 57, 56, 54], [59, 60]]
110: [[35, 2, 7, 1], [3, 4, 31, 13, 21, 5], [6, 8, 10], [11, 15, 9, 14], [12, 16, 18, 25, 19, 20, 23], [17, 22, 26, 24, 27, 29], [28, 30, 32, 41, 34], [33, 36, 37, 46, 38], [39, 45, 40, 42, 59, 43, 44, 52], [49, 48, 55, 47, 51, 53, 50, 54, 56], [57, 60, 58]]
111: [[35, 2, 7, 1], [3, 4, 30, 13, 5, 21], [6, 9, 8], [11, 15, 26, 22, 12, 17], [14, 20, 18, 16], [23, 19, 27, 28, 10], [24, 29, 31], [25, 32, 33, 34, 41, 36], [37, 46, 38, 39, 40, 43], [42, 44, 47, 45, 49, 57, 48, 54], [53, 50, 51, 52, 56, 58], [59, 55, 60]]
112: [[35, 2, 7, 1], [3, 4, 30], [13, 5, 10, 6], [9, 8, 11, 15, 12, 14, 21, 24, 17], [19, 16, 18], [31, 20, 22], [28, 23, 27, 25, 26, 29], [37, 39, 34, 45, 47, 41], [33, 38, 32, 40, 42, 36, 43, 44, 57, 46, 50, 48, 54, 52, 49, 51, 55, 56, 53, 58, 60, 59]]
113: [[35, 2, 7], [1, 3, 4, 30, 13, 21, 5, 22, 9], [11, 6, 14, 8, 10, 15, 17, 19], [12, 16, 18, 31, 26, 20], [23, 24, 25, 27, 28], [29, 33, 38, 60], [49, 36, 34, 32], [40, 45, 39, 37], [41, 42, 47, 44, 43, 57, 48, 53, 55, 46, 50, 52, 54, 51, 59, 58, 56]]
114: [[35, 2, 7, 1], [3, 4, 30, 13], [21, 6, 5], [25, 8, 9, 11, 10, 14], [15, 12, 16, 17], [20, 18, 31], [23, 19, 24, 26], [28, 22, 45, 27], [33, 36, 34, 29], [32, 54, 37, 44, 38], [42, 47, 43, 46, 40], [41, 39, 50, 59], [53, 48, 51, 52, 49, 55], [57, 56, 58, 60]]
115: [[35, 2, 7, 1, 3], [4, 30, 13, 21, 5, 6], [9, 10, 14], [11, 8, 12, 15], [17, 19, 16, 23], [18, 31, 24], [26, 28, 20], [27, 22, 25, 37, 29, 33, 32], [36, 51, 34, 46, 42, 39, 43, 40, 41], [45, 53, 38], [52, 44, 48, 47], [50, 54, 55, 49], [57, 58, 56, 59, 60]]
116: [[35, 3, 7], [1, 6, 2, 30], [13, 5, 25, 4], [9, 8, 10, 12], [14, 15, 11, 16, 19, 20], [18, 17, 23, 21], [22, 26, 31, 24, 28, 27, 29, 33, 37], [32, 34, 36, 40, 41, 43], [39, 42, 44, 45, 46, 47, 60, 38, 54, 48, 49, 51, 53, 50, 59, 57, 52, 55, 58, 56]]
117: [[35, 2, 7, 1], [3, 4, 30, 13, 5, 20, 6, 9, 10, 8], [11, 12, 15], [14, 19, 21], [16, 24, 18, 22], [26, 17, 23, 28], [27, 25, 29, 52, 33, 31, 48, 44, 38, 32], [39, 34, 41, 36, 45], [43, 42, 40, 37, 54, 46, 59, 47, 55, 50, 51, 49, 53, 57, 56], [58, 60]]
118: [[35, 7, 6], [1, 3, 4, 30], [13, 5, 23, 10, 27], [8, 12, 9, 11, 14], [22, 26, 16, 15, 2, 18], [24, 17, 19, 21], [25, 20, 28, 29, 31, 33, 37, 32], [42, 46, 36, 34, 39, 38, 41, 56, 44], [40, 47, 43, 53, 51, 48, 55, 45, 60, 49, 59, 50, 52, 57, 54, 58]]
119: [[35, 2, 7], [1, 3, 4, 30, 13], [21, 5, 6, 11], [8, 10, 12, 9], [14, 15, 24], [18, 22, 19, 27], [17, 16, 20, 28], [26, 31, 25, 23, 29, 53, 49], [38, 52, 32, 39, 33, 34], [43, 36, 46, 45, 40, 41], [44, 54, 37, 47, 55, 42, 48, 51], [50, 56, 58, 59, 57, 60]]
120: [[35, 7, 3], [1, 2, 4, 30], [13, 21, 5, 6, 10], [8, 9, 11, 14, 12], [15, 27, 17, 16, 26, 19], [31, 20, 22, 18], [23, 28, 25, 29, 24, 33, 37], [32, 34, 36, 39, 38, 43, 40, 47, 42, 44, 41, 45, 55, 53, 51, 50, 46, 48, 52, 54, 57, 59, 49, 56, 60, 58]]
121: [[35, 6, 1, 3], [4, 28, 2], [13, 5, 7, 9], [21, 8, 26, 30, 14], [10, 11, 12, 15, 16, 18], [19, 17, 20, 27, 23], [22, 24, 25, 29], [31, 33, 47], [50, 36, 34, 38, 37, 43, 42], [39, 40, 56, 32], [44, 46, 45, 49], [57, 52, 55, 41, 51, 48, 53], [58, 54, 60, 59]]
