0: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 11, 24], [8, 13, 9, 14, 6, 21], [15, 27, 16, 17, 10, 18], [20, 19, 31, 30, 25], [22, 23, 28, 26], [29, 37, 32, 34, 33, 36], [38, 46, 39, 41, 47, 45], [43, 42], [44, 51, 48, 50], [49, 57], [55, 53, 52, 58, 56, 59, 60]]
74: [[40, 54, 1, 35, 7, 2], [3, 5, 4, 12, 25, 11, 6, 9], [8, 23, 15, 10, 13, 31, 16, 14, 17], [27, 20, 22, 19, 21, 24, 18, 28, 26, 29, 30, 37], [32, 42, 33, 38, 36, 46, 45, 39, 43], [47, 48, 41, 44, 50, 51, 52, 34, 49, 55, 59, 53, 56, 58, 57, 60]]
75: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 25, 18], [10, 8, 11, 9], [6, 21], [13, 27, 17, 14, 15], [16, 20, 24, 31, 30, 19], [22, 23, 28, 26, 29, 37], [32, 34, 33, 36, 39], [38, 41, 45, 47, 46, 43], [42, 44, 51, 52, 48, 53], [57, 55], [50, 49, 58, 56], [59, 60]]
76: [[40, 54, 1, 35, 7, 2, 3, 4], [5, 12, 10, 28, 8, 15, 13, 9, 6], [23, 11, 30, 14], [17, 19], [18, 21, 16, 31, 22, 24, 27], [26, 25, 29, 20, 37, 32, 34, 36, 38, 33, 46, 39, 45, 43, 41, 47, 42, 44, 51, 48, 50, 49, 57, 55, 53, 52, 56, 58, 59, 60]]
77: [[40, 54], [1, 35, 7, 2], [3, 4, 5, 12, 26, 24], [8, 13], [14, 28, 19, 15, 10, 6, 11], [16, 9, 31, 20, 18, 17, 21, 22], [25, 27, 23, 29, 58, 37, 30, 42, 32, 36, 46, 33, 34, 45, 43, 41, 38, 39, 47, 51, 48, 56, 50, 44, 55, 52, 53, 57, 49, 59, 60]]
78: [[40, 54, 1, 35, 7, 2], [3, 5, 4, 12, 25], [14, 6, 13, 10], [21, 8, 9, 26, 11, 16, 17, 28, 20, 15, 19, 22, 18, 24, 27, 30, 23, 29, 31, 33, 34, 32, 36, 38, 37, 45, 39, 44, 41, 42, 43, 47, 46, 51, 48, 49, 50, 56, 53, 52, 55, 58, 59, 57, 60]]
79: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [25, 20, 11, 8, 10], [9, 15, 13, 14, 31, 16, 17, 18, 19, 21, 6], [23, 22, 28, 24, 26, 30, 27, 29, 33, 32, 34, 36, 37, 46, 38, 39, 45, 44, 41, 42, 43, 47, 50, 60, 48, 49, 59, 51, 53, 52, 58, 55, 57, 56]]
80: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 11, 24], [8, 13, 9, 6], [10, 21], [18, 14, 16, 25, 15, 20, 22], [19, 23, 30, 17, 26, 28], [31, 27, 29, 36, 32, 34, 37, 33, 46, 38, 39, 41, 42, 47, 43, 45, 44, 51, 48, 50, 49, 57, 53, 52, 55, 58, 56, 59, 60]]
81: [[40, 54, 1], [35, 7, 2, 3, 4], [5, 12], [24, 29, 8, 9], [14, 6, 10, 13, 11, 17], [15, 20], [22, 16, 27, 18, 19, 21, 23], [28, 25, 31], [26, 30, 37, 32, 33, 38, 36, 41, 46], [39, 34, 42, 47, 44, 43, 45, 51, 50, 52, 48, 53, 55, 49, 57, 56, 58, 60, 59]]
82: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 25, 10], [8, 13], [6, 9, 14, 29, 15], [27, 16, 17, 11, 18, 21], [26, 22, 23, 19, 20, 24], [30, 28, 31], [33, 32, 34], [38, 36, 41, 46, 39], [37, 43, 42, 44], [45, 47, 51, 48, 50, 49], [57, 55], [52, 60, 58, 53], [56, 59]]
83: [[40, 54, 1], [35, 7, 2, 3, 4], [5, 12, 10, 26, 9, 11], [13, 23, 8, 22, 29], [21, 17, 14, 6, 15, 19], [20, 18, 16, 27, 25, 28, 24, 30, 31, 36, 32], [33, 38, 34, 43, 42, 39, 37, 44, 41], [45, 47, 46, 51, 48, 50, 52, 56, 60, 49, 53, 59], [58, 55, 57]]
84: [[40, 54, 1], [35, 7, 2, 3, 4], [5, 12, 10, 26, 9, 11], [13, 23, 8, 22, 29], [21, 17, 14, 6, 15, 19], [20, 18, 16, 27, 25, 28, 24, 30, 31, 36, 32], [33, 38, 34, 43, 42, 39, 37, 44, 41], [45, 47, 46, 51, 48, 50, 52, 56, 60, 49, 53, 59], [58, 55, 57]]
85: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12, 24, 28, 10, 6, 14, 9, 13, 8, 15, 31, 18, 22, 16, 19, 11, 17, 23, 20, 21, 25, 27, 26, 29, 30], [32, 36, 52, 33, 39, 38, 46, 41, 34, 37, 44, 45, 43, 47, 49, 56, 58, 48, 42], [51, 50, 53, 57, 55, 59, 60]]
86: [[40, 54, 1, 35, 7, 2], [3], [4, 5, 12, 24], [26, 9], [8, 16, 14, 29, 21], [15, 25, 28, 17, 22], [10, 11, 6, 20, 13, 19, 18, 23, 30, 27, 55], [37, 32, 34, 31, 36, 47, 38, 39, 56, 44, 33, 43, 41, 45, 51, 48, 42, 49, 46, 50, 52, 53, 57, 58, 59, 60]]
87: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24], [27, 10, 6, 9, 29, 8], [11, 14, 13, 26, 16, 23, 22, 17], [15, 19, 18, 30, 20, 21], [25, 31], [28, 36, 32, 33, 43, 52, 37, 34, 39, 42], [41, 45, 46, 47, 44, 51], [48, 49], [53, 38, 50, 59], [55, 56, 57, 58, 60]]
88: [[40, 54, 1], [35, 7, 2, 3, 4, 5, 12, 25, 24, 6, 9, 8, 11, 10, 13, 15, 31, 16, 14, 21, 18, 17, 23, 19, 29, 20, 22, 27, 26, 28, 30, 36, 32, 49, 33, 38, 44, 45, 39, 41, 42, 34, 43, 37, 46, 51, 50, 56, 47, 52, 55, 48, 57, 53], [59, 58, 60]]
89: [[40, 54], [1, 35, 7, 2], [3, 4, 5, 12, 18, 28], [6, 13, 8, 26, 10, 23], [11, 9, 16, 17, 15], [14, 20, 19, 21], [29, 27, 22, 24, 30, 25], [31, 36, 32, 33, 34, 38], [44, 43], [39, 41, 47, 37, 42, 46], [45, 51, 48, 50, 49, 56, 55, 52, 53, 57, 58, 59, 60]]
90: [[40, 54], [1, 35, 7, 2, 3, 4, 5, 12, 13, 10, 6, 9], [8, 30, 14, 11, 15, 31, 16, 17, 26, 19, 20, 18, 21, 22, 25, 23, 24, 28, 27, 29, 37, 32, 33, 39, 34, 36, 46, 38, 41, 43, 47, 45, 42, 44, 51, 56, 48, 49, 57, 50, 55, 52, 58, 53, 59, 60]]
91: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [11, 8, 6, 9, 10, 24, 13], [23, 15, 14, 17, 19, 31], [21, 30, 18, 16, 22, 27], [26, 20, 28, 25, 29, 37, 32, 33, 36, 38, 34, 42, 39, 45, 41, 47, 43, 44, 53, 51, 48, 50, 49, 46, 55, 56, 52, 57, 59, 58, 60]]
92: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [24, 27, 9, 8, 14], [21, 18, 6, 15, 13, 26, 17], [10, 19, 20, 11, 22, 16, 23], [29, 25, 31, 30, 34, 33, 48, 42], [28, 32, 38, 46, 41, 37], [47, 36], [39, 43, 44, 51, 45, 49, 52], [55, 53, 50, 56, 57, 58, 59, 60]]
93: [[40, 54], [1, 35, 7, 2], [3, 4, 5, 12, 11, 24], [10, 9, 13, 6, 14, 23], [8, 28, 15, 25, 16, 26, 21], [22, 20, 17, 18, 19, 29], [27, 31, 30, 36, 32, 33, 37, 34, 38, 45, 42, 41, 47, 43, 44, 39, 46, 51, 48, 56, 58, 52, 55, 49, 53, 50, 57, 59, 60]]
94: [[40, 54, 1, 35, 7, 2, 3, 4], [5, 12, 11, 24, 8, 13, 9, 10, 6], [17, 15, 14, 16], [21, 19, 18, 20, 22, 27, 26], [23, 31, 25, 28, 29, 30], [37, 32], [34, 38], [36, 33, 46, 39], [43, 42], [41, 45, 44, 47, 50, 52, 48, 56, 57], [55, 49, 53, 51, 58, 59, 60]]
95: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12], [24, 26, 8], [15, 10], [14, 25, 21, 11], [9, 23, 17], [6, 13, 16, 19, 18, 22], [31, 20, 27, 29, 30, 38], [37, 32, 34], [33, 36, 41, 42], [39, 28, 46], [45, 43, 44, 47, 50, 52], [56, 49, 57, 53, 48, 51, 60, 58, 55, 59]]
96: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [25, 18, 9, 10, 13, 6], [24, 11, 23, 8, 14, 15, 16, 19, 22, 17, 21, 20], [30, 26, 27, 29, 28, 31, 37], [33, 32, 34, 42, 38, 46, 36, 45, 41, 44, 39, 47, 43, 51, 48, 50, 49, 55, 57, 52, 53, 58, 56, 59, 60]]
97: [[40, 54, 1, 35, 7, 2], [3], [4, 5, 12, 11], [24, 8], [13, 9, 10, 28, 29], [14, 15, 23, 17, 6], [16, 30, 18, 19, 20, 31, 21, 27, 22, 25, 55, 33, 36, 34, 26, 32, 45, 39, 37, 58, 38, 41, 43, 42, 46, 50, 47, 57, 56, 53, 52, 44, 48, 49, 51, 59, 60]]
98: [[40, 54, 1, 35], [7, 2, 3, 4, 5, 12, 11, 18, 10, 14, 6, 8, 13, 9, 15, 17, 24, 30, 25, 16, 19, 20, 27, 22, 21, 23, 28, 31, 26, 29, 37, 32, 34, 33, 36, 38, 46, 43, 45, 39], [41, 42, 44, 47, 51, 48, 50, 49, 60, 52], [53, 55, 59, 56, 57, 58]]
99: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12, 24], [25, 14, 6, 9, 8, 10, 13, 15, 31, 16, 11], [20, 18, 19, 21, 17, 23, 22, 30, 27], [26, 28, 29, 36, 32, 33, 38, 34], [44, 47, 37, 41, 42, 45, 43, 39, 46, 51, 48, 56, 60, 50, 55, 49, 53, 57, 58, 59, 52]]
100: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 12, 10, 28], [8, 14, 6, 15, 9, 11], [13, 31, 16, 27, 18, 17], [24, 19, 23, 20, 21], [22, 25, 26, 29], [30, 36, 38, 32, 33, 37, 34, 46, 39, 41, 47, 43, 45, 42, 44, 51, 56, 50, 49], [52, 55, 53, 48, 58, 57, 59, 60]]
101: [[40], [54, 1, 35], [7, 2, 3, 5, 4, 12, 28, 21], [8, 11, 6, 30, 19, 13, 20, 9, 10, 15], [16, 26, 24, 18, 14, 17, 23, 22], [25, 27, 29, 31, 36, 32, 60, 33, 39], [38, 42, 37, 45, 41, 34, 44], [43, 57, 50, 48, 51, 47, 49, 46], [52, 55, 53, 56, 58, 59]]
102: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12], [24, 14, 6, 8, 9, 13], [11, 29, 10, 15, 17], [22, 23, 19, 16, 20, 21, 27, 26], [25, 18, 28, 30, 31, 37, 32, 34, 36, 33, 46, 44, 38, 45, 39, 43, 42, 41, 47, 51, 52, 49, 57, 50, 53, 48, 55, 56, 59, 58, 60]]
103: [[40, 54], [1, 35, 7, 2], [3, 4], [5, 10, 24, 25], [8, 13, 9, 14, 6, 12], [11, 26, 17, 20, 21, 18], [19, 27, 15, 23, 16, 30, 22, 28, 29, 31, 37, 48, 34, 39, 36, 38, 33, 41, 45, 47, 44, 43, 42, 46, 55, 49, 58, 32, 56, 51, 53, 52, 50, 57, 59, 60]]
104: [[40, 54, 1, 35, 7, 2], [3, 5, 4, 12, 24, 26], [10, 14, 6], [27, 8, 11], [15, 16, 29, 21, 9], [13, 22, 17, 20, 25], [18, 19, 23, 31], [28, 30, 33, 41, 36, 32, 38], [34, 44, 43, 47, 37, 39], [42, 45], [46, 51, 48, 56, 52, 49, 50], [59, 53, 55, 58, 57, 60]]
105: [[40, 54, 1], [35, 7, 2, 3, 4], [5, 12, 11, 18, 8, 6], [10, 29, 13, 9, 14], [15, 24, 20, 21, 22, 19, 16], [26, 17, 28, 25, 31, 23], [27, 30, 37, 48, 32, 33, 36], [34, 46, 39, 41, 38], [43, 42, 47, 45, 51, 44, 50, 56, 52, 59, 49, 55, 60, 57, 53, 58]]
106: [[40, 54, 1, 35, 7, 3], [2, 4, 5, 12, 25, 10], [9, 8], [22, 6, 28, 11], [27, 21, 23, 18, 14, 17], [13, 20, 19, 24, 30, 15, 31, 16, 57, 56, 60], [33, 26, 37, 34, 47, 36, 46, 29, 32], [38, 39, 45, 41, 42, 48], [58, 50, 49, 51, 43, 55, 44, 52, 53, 59]]
107: [[40, 54], [1, 35, 7, 2, 3, 4, 5, 12, 25, 17, 8, 9, 11, 6, 10, 28, 15, 30, 16, 13, 29], [18, 14, 21, 27, 23, 19, 22, 31, 24, 20, 26, 37, 32, 34, 33, 36, 38, 46, 45, 41, 42, 39, 43, 44, 47, 51, 48, 56, 50, 58, 55, 49, 53, 57, 52, 59, 60]]
108: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 24, 22], [10, 11, 6, 13, 8, 14], [9, 23, 15, 26, 17, 19, 28], [30, 20, 25, 34, 29, 21, 27, 31], [18, 37, 16, 36], [38, 32, 39, 46, 44, 45], [43, 33], [42, 41, 47, 53, 48, 49, 52], [56, 55, 50, 60, 57, 51, 58, 59]]
109: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12], [24, 22, 9, 10, 14, 13], [6, 8, 11, 17, 15, 31, 18, 20], [16, 21, 19, 23, 26, 28, 29, 25, 30], [27, 37, 32, 34, 33, 38, 39, 46, 36, 43, 41, 42, 44, 45, 47, 59, 52, 50, 51, 48, 55, 49, 53, 57, 56, 58, 60]]
110: [[40, 54, 1, 35, 7, 2, 3], [4, 5, 12, 24, 22, 9, 6], [14, 13], [10, 11, 31, 17, 15, 20, 8, 16, 19], [18, 21, 30, 29, 26], [25, 27, 23, 28, 36, 44, 34, 37, 33, 46, 32, 38, 39, 43, 41, 42, 45, 47, 50, 56, 52, 48, 49, 53, 55, 51, 59, 58, 60, 57]]
111: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [11, 24, 10, 9, 25, 13, 15], [6, 14, 8, 22], [17, 16, 21], [18, 30, 19, 23, 28, 20], [27, 31, 26, 29, 33, 36], [34, 32, 37], [39, 46, 43, 41], [38, 47, 42], [45, 44, 50, 56, 48, 49], [57, 55, 52, 51, 53, 58, 59, 60]]
112: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 25, 8, 9], [10, 6, 28, 15, 24, 11, 23], [17, 16], [13, 27], [14, 18, 21, 19], [20, 22, 30, 26, 29, 31], [37, 32, 49, 34, 36, 38, 47, 33, 43, 45, 41], [44, 46, 39, 50, 52, 56, 42, 51, 48, 57, 55, 53, 58, 59, 60]]
113: [[40, 54], [1, 35, 7, 2, 3], [4, 5], [12, 24, 28, 10], [9, 16, 14], [6, 29, 8, 11, 15, 27, 13], [17, 18, 30, 19], [20, 21, 22], [23, 26, 25, 31, 37, 32], [34, 33, 36, 47, 46, 39], [42, 45, 41], [43, 38, 44, 59, 50], [56, 49, 48, 55], [52, 51, 57, 53, 58, 60]]
114: [[40], [54, 1, 35], [7, 3, 2, 4, 5, 12, 8, 28], [13, 11, 9, 29, 23, 14, 18, 15, 16, 10], [26, 22, 27, 17, 21], [19, 24, 6, 20, 25, 30, 31, 36], [32, 56, 39, 34, 44, 33, 38, 42, 41, 43, 46, 47, 45], [51, 48, 49, 50, 52, 37, 53, 55, 59, 57, 58, 60]]
115: [[40, 54, 1, 35, 7, 2], [3, 4, 5, 12, 11, 24], [6, 13, 9, 8], [14, 21], [31, 27, 16, 15], [10, 18, 22, 17, 19, 20], [25, 23, 26, 28, 30, 29], [37, 32, 34, 33, 38], [36, 46, 39, 42, 47], [45, 43], [41, 44, 51, 50, 52, 49], [48, 55], [53, 58, 56, 57], [59, 60]]
116: [[40, 54, 1, 35, 7, 3], [2, 4, 5, 12, 24, 28, 10, 14, 9, 19, 8, 26], [11, 31, 13, 15, 17, 16, 25, 23, 29], [18, 21, 6, 20, 22, 27, 53, 37, 32, 36, 41, 30, 44, 39, 48, 33, 34, 43, 42, 47, 38, 51, 45, 58, 46, 49, 50, 57, 55, 52, 56, 60, 59]]
117: [[40, 54, 1, 35], [7, 2, 3], [4, 5, 12, 19, 24, 9], [13, 6, 8, 14], [21, 10, 25, 22, 29, 11], [16, 20, 27, 15, 26, 17], [18, 30], [23, 28, 31, 36], [32, 50, 33, 34, 46, 38], [39, 41, 45, 37], [42, 43], [44, 59, 47, 48, 52, 60, 55], [49, 51, 53, 56, 57, 58]]
118: [[40, 54], [1, 35, 7], [3, 2, 5, 4, 12, 24, 28, 6], [9, 8, 31, 15, 14, 17, 10, 11], [13, 18, 26, 21, 16, 19, 23, 25], [29, 20], [27, 55, 22, 30], [32, 48, 33, 38, 44, 46, 51, 34], [36, 41, 39, 42], [45, 50, 52, 43, 47, 49, 37], [57, 53, 60, 58, 56, 59]]
119: [[40, 54, 1, 35, 7, 2, 3, 4, 5, 12], [25, 26, 8, 13, 9, 10, 11, 14, 15, 19, 21, 22], [16, 6, 17, 24, 20, 23], [18, 29], [30, 28, 27, 58, 33, 31, 32, 39, 36, 44, 46, 37, 41], [38, 34, 47, 42, 43, 55, 52, 56, 48, 45, 49, 51, 50, 53, 57, 59, 60]]
120: [[40, 54, 1, 35, 7, 3, 4, 5, 12, 2], [11, 24], [10, 14, 9, 6, 8], [29, 15, 19, 16, 13, 17], [26, 20, 23, 31, 28], [25, 22, 18, 21], [27, 37, 52, 30, 33, 32, 39], [47, 46, 34, 41, 44, 36], [43, 42], [38, 51, 48, 50], [49, 45], [55, 58, 53, 56, 60, 59, 57]]
121: [[40, 54, 1, 35, 7], [2, 3, 4], [5, 12, 25, 10, 15], [9, 6, 8, 14, 27, 11], [17, 13, 23, 16, 18], [20, 26, 22, 19, 21, 24], [29, 28, 30, 31], [33, 32, 34, 36, 41, 37], [46, 43, 38, 42, 39], [45, 44, 51, 47, 52], [49, 48], [50, 55, 56, 57, 59, 53], [58, 60]]
