0: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 5, 15, 8, 28, 18, 10], [9, 11, 23, 22, 24, 16], [19, 14, 26, 27, 31, 20], [30, 25, 39, 37, 29, 48, 32], [33, 47, 44, 42, 46, 58, 41, 50, 45, 40, 43, 51, 38, 36, 52, 53, 54, 55], [49, 59, 57], [60, 56]]
74: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 12], [9, 15, 8, 30, 10], [22, 5, 11, 27, 14], [20, 19, 16, 24], [18, 29, 23, 25, 26, 28, 37, 31, 36], [33, 40, 47], [43, 32, 39, 44], [45, 42, 46, 41, 53, 38, 60], [52, 54, 55, 48, 56, 49, 51, 57, 50, 59, 58]]
75: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 12, 9, 15, 8, 28, 10, 5], [31, 30, 16, 11, 27, 22, 14, 19], [20, 25, 23], [26, 24, 39, 37], [29, 48, 33, 32, 38, 36], [42, 40, 45, 44, 18, 57, 43], [41, 47, 54], [46, 49, 51, 52, 55, 50, 60], [59, 53, 56, 58]]
76: [[35, 34, 7, 2, 17], [1, 3, 13, 21], [6], [4, 12, 8, 15, 9, 31, 26, 10, 5, 30, 11, 27, 14, 16, 22, 18, 20, 19, 23, 25, 24, 29, 28, 44, 49, 33, 32, 45, 36, 42, 46, 37, 38, 39, 41, 40, 47, 43, 50, 58, 51, 48, 52, 55, 53, 54, 59, 56, 60, 57]]
77: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 9, 14, 8, 12], [11, 10, 25, 16, 26, 18, 15], [20, 19, 23, 28], [22, 24, 29, 31, 30, 27], [33, 32], [44, 37, 40, 47, 36, 41, 42, 45, 38, 46, 39, 43, 51], [55, 54, 49, 50], [53, 48, 52, 56, 58], [60, 57, 59]]
78: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 9], [11, 10, 26, 27], [8, 12], [14, 18, 22, 24, 31, 16, 15, 20, 23, 19, 25, 29], [28, 32, 33, 53, 52, 30, 37, 38, 43, 40, 45, 39, 41, 42, 36, 46, 51, 44, 47], [49, 55, 50, 54, 48, 58, 56, 59, 60, 57]]
79: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 31], [9, 12, 22, 10, 15, 11], [16, 26, 14, 20, 23, 18, 19, 27, 24, 25], [28, 29, 37], [30, 32, 33, 36, 45, 44, 39, 40, 41, 46, 47, 56, 43, 38, 52, 60, 54, 51, 42, 48, 59, 49, 53, 50, 55, 57, 58]]
80: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4], [12, 8, 15, 5, 30, 11], [9, 24], [10, 14, 16, 18], [20, 19, 23, 22, 26, 27, 25], [29, 28, 31, 38], [55, 32], [33, 41, 36, 44, 40, 37], [52, 42, 39, 47, 43, 45, 49, 50, 53, 48, 51, 46, 54], [58, 59, 60, 56, 57]]
81: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4, 5, 8, 15, 9, 30, 11, 10, 16, 12, 14, 26, 18, 24, 19, 20, 22, 23], [27, 25, 29, 28, 31, 44, 37, 32, 39, 41, 33, 45, 46, 36, 38, 53, 40, 47, 42, 58, 48, 52, 57, 43, 49, 54, 50, 55, 51, 56, 60, 59]]
82: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 15, 12, 26, 10], [14, 9, 11], [24, 23, 18, 16, 20, 19, 25, 28], [22, 27, 30, 31], [54, 57, 37, 36, 29, 33, 38, 32, 43, 46, 41, 40, 44], [42, 45, 58, 51, 47], [52, 50, 39, 59, 56, 49, 53, 48, 55, 60]]
83: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 12, 9, 8, 15, 26, 10, 11, 5, 14, 30, 23, 16, 18, 20, 22, 24, 32, 19, 27, 29, 31, 56, 57, 37, 25, 38, 36, 28, 44, 42, 47, 33, 39, 41, 45, 46, 40, 60, 48, 53, 55, 49, 51, 43], [50, 58, 52, 54, 59]]
84: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 8, 15, 9, 24, 26, 10, 11], [12, 28, 20, 18, 19, 22, 23, 25, 16, 30, 27, 31, 29, 42, 33, 32], [40, 14, 41, 36, 37, 46, 39, 38, 47, 57, 43, 45, 49, 55, 48, 53, 51, 50, 44, 54, 52, 59, 56, 60, 58]]
85: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 9, 11, 8, 30, 19, 14, 10], [12, 15, 16, 25, 22, 20], [18, 23, 29, 31, 24, 26, 28, 53], [27, 41, 38, 50, 32, 40], [36, 33], [43, 60, 37, 39], [47, 46, 52, 42, 45], [44, 49, 55, 51, 54, 48, 58, 59, 56, 57]]
86: [[35, 34, 7, 2, 17, 1], [3, 13, 21], [6, 4], [5, 8, 14, 12, 28, 10, 23, 27, 9, 11, 15, 16, 22, 20, 18, 19], [24, 26, 25, 29, 30, 56, 57, 44, 36, 48, 37, 31, 32, 33], [39, 46, 42, 41, 40, 47, 38, 54, 49, 43, 45, 52, 50, 51, 55], [53, 60, 58, 59]]
87: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [12, 8, 15, 9, 26, 27, 10, 5, 11, 31, 16, 14], [19, 18, 30], [22, 24], [23, 25, 20, 29, 55, 32, 56, 38, 36, 37, 39, 42, 28, 40, 46, 45, 43, 33, 44, 41, 51, 59, 53, 60, 47, 58, 54, 48, 49, 50, 52, 57]]
88: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 5, 8, 15, 9, 24, 25, 10, 11, 12, 28, 23, 18, 20, 14], [19, 22, 16, 26, 27, 29], [30, 59, 37, 31, 32, 46, 33, 36, 38, 40, 39, 52, 42], [41, 43, 47, 44, 49, 50, 53, 55, 54, 45, 51, 48, 58, 60, 57, 56]]
89: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 8, 14, 9, 29], [26, 12, 10, 15], [31, 16, 11, 20, 18, 24], [23, 25, 19, 27, 28, 22], [39, 30, 40, 37, 33], [38, 41, 32, 42], [36, 43, 46, 60, 45, 47], [52, 51, 48, 49, 50, 53], [56, 54, 44, 58, 55, 59, 57]]
90: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6], [4, 5, 8, 15, 9, 28, 14, 10, 20, 12, 25, 18, 11, 16, 19, 22, 23], [24, 30, 27, 26, 29, 31, 36, 38], [40, 32, 43, 33, 45], [37, 47, 39], [44], [41, 46, 42, 56], [55, 53, 49, 50, 48, 52], [54, 57, 59, 51, 58, 60]]
91: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [5, 9, 15, 11, 30, 26, 10, 16, 14, 12, 24], [18, 20, 25, 22, 19, 31], [23, 28, 29, 27, 8, 41, 32, 36], [33, 37, 39], [38, 40], [42, 43, 45, 44, 47, 46, 48, 51, 54, 53, 52, 49, 50, 57, 55, 56, 58, 60, 59]]
92: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [5, 8, 31, 9, 12, 26, 10, 11, 15, 16, 22], [14, 19, 20, 18, 29, 23, 24], [27, 28, 25, 39, 30, 33, 44, 32, 41, 36, 37, 42, 40, 46, 43, 60, 47, 45, 48, 59, 38, 49, 50, 53, 58, 51, 52, 54, 55, 56, 57]]
93: [[35, 34, 7, 2, 17, 1, 3, 13, 21, 6], [4, 5, 9, 11, 8, 30, 10, 12, 15, 14], [24, 16, 23, 20], [18, 22, 28, 25, 19], [26, 27, 29, 31, 36, 39, 32, 43, 41, 37, 33, 38, 42, 40, 44, 54], [47, 45, 51, 46, 48, 55, 50, 52, 53, 56, 49, 57, 59, 58, 60]]
94: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [12, 11, 5, 8, 27, 10, 9, 19, 30, 14, 15], [20, 16, 24, 18, 23, 26, 22, 29, 25, 31], [42, 28, 45, 33, 46, 37, 36, 38, 32, 43], [44, 39, 52, 47, 48, 41], [40, 56, 50, 55], [53, 49, 51, 54], [57, 58, 60, 59]]
95: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 5, 8, 15, 9, 28, 10, 14, 11, 12, 27, 18, 23, 20, 24], [19, 22, 16, 30, 31, 29], [26, 59, 37, 25, 32, 46, 57, 36, 38, 40, 33, 42, 41], [45, 39], [47, 43, 48, 52, 54, 55, 60, 44, 56, 49, 50, 53, 51, 58]]
96: [[35, 34, 7, 2, 17, 1, 3, 13, 21, 4, 6, 5, 9, 10, 11, 26, 8], [12, 28, 22, 25, 18, 15, 16, 14, 19, 30, 24, 20, 23, 29, 40, 27, 46, 31, 32, 37, 47, 33, 38, 43, 36, 52], [39, 44, 45, 41, 51, 53, 54, 50, 55, 48, 49, 42, 56, 57, 59, 60, 58]]
97: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 14, 25], [30, 10, 12, 11, 15, 27, 16], [9, 22, 24, 19, 18, 26, 23, 29], [43, 20, 31, 49, 53], [32, 45, 28, 44, 40, 39, 36, 41], [42, 58, 33], [37, 38, 52], [55, 51, 50, 46, 47], [48, 54, 56, 57, 60, 59]]
98: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6, 4, 5, 9, 11, 8, 30, 26, 10, 12, 15, 14, 18, 16, 19, 22, 20, 23, 28, 25, 27, 24, 29], [37, 31, 32, 40, 36, 44, 33, 39, 42, 38, 41, 43, 46], [50, 47, 60, 58, 48], [45, 49, 54], [51, 53, 52, 55, 56, 57, 59]]
99: [[35, 34, 7, 2], [17, 1, 3, 13, 21], [6, 4, 12, 9, 14, 8, 29, 11, 5], [10, 15, 23, 25, 26], [22, 16, 19, 18, 20, 30, 24, 27], [28, 31, 41, 53, 32, 33], [36, 45, 46], [37, 38, 47, 43], [40, 39, 42, 44, 48], [50, 52, 55, 49, 59, 56, 57, 58, 51, 60], [54]]
100: [[35, 34, 7, 2, 17, 1, 3], [13, 21, 6, 4, 12, 9, 15, 8, 28], [10, 5, 31, 30, 16, 11, 27, 22, 14, 19, 20, 25, 23, 26, 24, 39], [37, 29, 48, 33, 32, 38, 36, 42, 40, 45, 44, 18, 57, 43, 41, 47, 54, 46, 49, 51, 52, 55, 50, 60, 59, 53, 56, 58]]
101: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 4, 5], [9, 12, 14, 8, 28], [26, 6, 10, 15, 31, 24, 11], [16, 22, 18, 19, 27, 20], [23, 25, 29, 37], [54, 36, 33, 30, 32, 39, 38], [43, 44], [41, 42], [58, 45, 46, 53], [49, 50, 47, 40, 51, 59], [48, 55, 56, 57, 52, 60]]
102: [[35, 34, 7, 2, 17, 1, 3, 13], [21, 6, 4, 5, 8], [14, 11, 30, 9, 12, 19, 15, 24, 20, 10, 16, 23], [22, 26, 25, 18, 28, 27, 31, 29, 44, 37, 32, 33, 46, 38, 36, 39, 43, 41], [42, 40, 47, 57, 55, 48], [50, 49, 45, 53, 51, 52, 60, 58, 54, 59, 56]]
103: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6], [4, 5, 9, 10, 14], [30, 24, 8, 15, 11, 19], [22, 12, 20], [16, 23, 28, 18, 26, 27], [29, 25, 31, 40, 37, 32, 38, 47, 33], [44, 36, 39, 41, 46, 42, 43], [51, 45, 60, 48, 49], [50, 54, 53, 52, 55, 57, 58], [59, 56]]
104: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 9, 11, 8, 30], [22, 10, 14, 12, 20, 15], [24, 28, 19, 26, 16], [25, 18, 23, 27], [31, 39, 29, 40, 36, 32], [44, 37, 38], [41, 42, 45, 43], [46, 47, 48, 33, 54], [50, 53, 49, 55], [51, 60, 52, 58, 56, 57, 59]]
105: [[35, 34, 7, 2], [17, 1, 3, 13, 21], [4, 5, 9, 12], [14, 8, 26, 24, 10, 18, 15, 6, 11], [16], [19, 20, 23, 31, 25, 22, 27], [29, 30, 43, 46], [36, 41, 28, 33, 32, 38], [47, 39, 40, 42, 58, 45, 44, 37, 49, 51, 54, 48, 53, 59], [56, 50, 55, 52, 60, 57]]
106: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 6, 4, 5, 8, 15, 9, 26, 20], [10, 27, 14, 11, 24, 19, 12, 16], [23], [25, 18, 31, 28, 22, 30, 29, 33, 52, 32], [38, 46, 39, 44, 36, 47, 56], [41, 37, 40, 42, 59, 50, 43, 49, 55], [45, 60, 48, 57, 58, 51, 53], [54]]
107: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 5, 9, 11, 8, 25, 12], [10, 15, 19, 30, 22, 14], [16, 20, 26, 23, 18], [28, 31, 24, 27, 51, 37, 29, 32, 36, 39, 45, 33, 42, 40, 46, 38, 43, 41, 44, 50, 47, 57, 49, 60, 53, 56, 54, 55, 48, 52, 59, 58]]
108: [[35, 34, 7, 2, 17, 1], [3, 13, 20, 4, 21, 12], [8, 15, 5, 28, 25, 11], [10, 26, 30, 16, 19, 22, 24], [6, 23, 9, 27, 14, 18, 29], [31, 50, 37, 46, 32, 53], [36, 40, 44, 33, 38, 41, 42, 43, 47, 54, 39, 51], [57, 45, 49, 48, 56, 52, 60, 58, 55, 59]]
109: [[35], [34, 7, 2, 17, 1, 3, 13, 21, 6, 4, 5, 8, 15, 9, 30, 11, 10], [12, 14, 19, 22, 16, 26, 23, 25, 18, 27, 29, 24, 31, 28, 37, 52, 38, 20, 33, 40, 47, 36, 45, 32, 46, 41, 39, 42, 43, 51, 54, 44, 50, 55, 49, 56], [58, 57, 59, 53, 48, 60]]
110: [[35, 34, 7, 2, 17, 1, 3], [13, 20, 6], [4, 5, 9, 15, 8, 30, 10, 11, 21, 14, 12, 16, 22, 24, 19, 23, 31, 26, 18, 27, 25, 29, 38, 33, 28, 36, 32, 41, 37, 40, 42, 47, 44, 46], [39, 43, 45, 49, 53, 50, 51, 55, 54, 48, 56, 52, 59], [57, 58, 60]]
111: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4], [12, 9, 15, 8, 30], [19, 5, 10, 14], [11, 28, 20, 26, 18, 22], [16, 23, 27, 24, 25, 54, 58, 42, 37, 36, 39, 32, 33, 38, 59], [43, 29, 31, 51, 40, 41, 44, 46, 45, 48, 53, 49, 50, 47, 57, 60, 52, 55, 56]]
112: [[35, 34, 7, 2, 17, 1, 3, 13], [21], [6, 4, 5, 8, 15, 9, 26, 19, 10, 11], [14, 28, 12, 18, 22, 16, 24, 23], [29, 20, 27, 30, 31, 45, 56, 37, 25, 32, 38, 40, 36, 43, 39, 47, 42, 41, 33, 46, 44, 48, 54, 51, 55, 49, 57, 58, 50, 52, 53, 59, 60]]
113: [[35, 34, 7], [2, 17, 1], [3, 13, 21, 6, 4], [5, 8, 14, 9, 11, 12], [10, 16, 15, 18, 26, 30, 20, 22, 19, 24], [23, 25, 31, 27, 28, 46, 37, 29, 40, 39, 43, 44, 33, 32, 38, 41, 36, 47, 45, 42, 52, 55, 54, 53, 50, 49, 57, 48, 51, 58, 59, 60, 56]]
114: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6, 4, 12, 9, 15, 8], [26, 5, 10, 14], [11, 18, 30, 16, 19, 28], [22, 20, 24], [23, 25, 27, 29], [39, 37, 31, 36, 32, 33, 41, 40, 38, 46, 43], [44, 42, 45, 47, 48, 49, 53, 54, 56, 55, 60, 51, 52, 50, 57, 58, 59]]
115: [[35, 34, 7, 2], [17, 1, 3, 13, 21, 6], [4, 5, 8, 31, 9, 12], [22, 11, 10, 23, 20, 14], [26, 27, 19, 24, 16], [15, 18, 25, 29], [30, 39, 28, 42, 36], [32, 45, 41, 37, 38, 33], [46, 43, 60, 47, 40, 50, 54, 44, 51, 52, 49], [58, 56, 53, 59, 55, 48, 57]]
116: [[35, 34, 7, 2, 17, 1], [3, 13, 20, 6, 8, 5, 10, 26, 11, 30], [12, 9, 4, 14, 15, 18, 16, 23], [21, 19, 24, 22, 25, 29, 27, 28], [31, 39, 32, 36, 38, 47, 33, 37, 42, 46, 44, 41], [40, 45, 43, 52, 51, 48, 54, 55, 58, 57, 49, 53, 56, 59, 50, 60]]
117: [[35, 34, 7, 2], [17, 1, 3, 13], [21, 6, 4, 5, 8, 15], [9, 24, 25], [10, 11], [12, 28, 23, 16, 14, 20, 19, 30, 18, 22, 26, 27, 29, 47, 32, 39], [58, 38, 31, 37, 36, 43, 33, 52, 42, 41, 46, 40, 44, 49, 50, 45, 59, 51, 57, 48, 53, 54, 60, 55, 56]]
118: [[35, 34, 7, 2, 17], [1, 3, 13, 21, 6, 4, 12], [5, 15, 9, 28, 26, 14], [10, 8, 29, 20, 18, 11], [19, 22, 24, 27, 23, 25], [16, 31, 55, 32, 30, 48, 38], [33, 39, 42, 40, 44, 46, 41], [59, 37, 47, 43, 49, 50], [53, 36, 45], [58, 51, 52], [60, 54, 57, 56]]
119: [[35, 34, 7, 2, 17, 1], [3, 13, 21, 4, 5, 14], [12, 31, 8, 6, 11, 10, 9, 16, 22, 15, 19], [23, 18, 26, 20, 24, 30, 29, 25], [54, 51, 48, 27, 32, 28, 33, 44, 37, 38, 39, 47, 50], [40, 42, 43, 45, 46, 49, 36, 55, 53, 41, 52, 56, 57, 58, 60, 59]]
120: [[35], [34], [7, 2, 17, 1, 3, 13, 21, 6, 4, 5, 9, 15, 8, 30, 26, 10, 11, 14, 12, 19, 16, 20, 18, 22, 29, 25, 23, 24, 27, 52, 28, 60, 48, 56, 38, 44, 41, 46, 36, 33, 31, 42, 45, 40, 39, 43, 59, 32, 50, 37, 47, 51, 53, 55, 57, 58, 49, 54]]
121: [[35, 34], [7, 2, 17, 1, 3, 13, 21, 6, 4, 5, 12, 11, 8, 30, 10, 9, 26, 14, 15, 20, 16, 18, 22, 19, 23, 24, 25, 29, 28, 27, 31, 33, 32, 36, 44, 42, 39, 38, 51, 45, 37, 46, 41, 47, 43, 48, 53, 40, 54, 55, 57, 52, 56, 49, 50, 58], [59, 60]]
