0: [[38, 7, 78, 44, 55], [25, 5, 1, 2, 49], [86, 6, 68, 57], [84, 85], [16, 19], [32], [69, 10, 39, 53], [11, 74, 75], [47, 17, 21], [61, 27, 71, 73], [3, 26, 8], [64, 65], [45, 18, 56], [79, 9, 66, 72], [28, 30], [35, 20, 31, 40, 51], [36, 23], [4, 58], [37, 67], [48, 24, 12, 13, 22], [34], [76, 42, 63], [41, 46, 15], [52], [83], [50, 54], [60, 87, 62, 70, 77, 14, 29, 33, 59, 88, 80, 81, 82, 43]]
51: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 26, 13, 11, 25, 10, 12, 29], [14, 17], [20, 19], [6, 18, 21, 22, 16, 24, 27, 31, 23, 58, 28, 39, 30, 59, 40, 15, 52, 36, 41, 46, 34], [33, 43, 44, 45, 47, 55, 49, 61, 50, 42, 37, 51, 54, 48, 57, 53, 60], [63, 56, 76, 64, 62, 66, 68, 67, 75, 70, 73, 72, 78, 77, 69, 74, 79, 71, 84], [80, 85, 86, 81, 82, 83, 87, 88]]
52: [[38, 5, 7], [8, 9, 35, 32, 3, 4, 65], [2, 6, 14, 24, 1, 11, 15], [19, 20, 26, 30, 10, 17, 12, 16, 21, 31, 48, 13, 59, 18, 23, 58, 29, 22, 45, 49, 25, 33, 36, 55, 27, 44, 42, 28, 34, 37, 41, 40, 54, 43, 46, 47, 50, 51], [39, 53, 56, 52, 60, 61, 62, 57], [85, 74, 72, 69, 66, 63, 64, 71, 70, 73, 78, 67, 76, 68, 77, 75, 79, 80, 82, 84, 87, 83, 81, 86, 88]]
53: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1, 6, 11, 2, 10, 12, 15, 13, 30, 18, 19, 23, 20, 22, 14, 25, 17, 16, 52, 26, 27], [29, 31, 33, 24, 59, 21], [58, 28, 37, 34, 36, 39, 42, 48, 41, 55, 40, 44, 45, 43, 46], [56, 47, 53, 49, 54, 50, 63, 57, 51, 60, 62, 61, 72, 66, 68, 67, 80, 69, 74, 64], [75, 65, 70, 77, 76, 71, 88, 73, 79, 82, 81, 86, 85, 83, 78, 84, 87]]
54: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 6], [2, 16, 11, 10, 1, 14, 22, 15, 17, 12, 13, 19, 23, 18, 24, 21, 29], [25, 27, 26], [31, 58, 61, 28, 30], [36, 20, 57], [33, 39, 40, 48, 46, 50, 34, 41, 37], [44, 42, 43, 47, 45, 49, 52, 51, 53, 54, 55, 56, 62, 59, 60, 63, 64, 80, 85, 68, 73, 66, 79, 70, 65, 67, 75, 77, 69, 74, 72, 71, 82, 76, 78, 81, 84, 86, 83, 87, 88]]
55: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 6, 2, 1, 30, 11, 24, 10], [28, 14, 29, 12, 27, 17, 13, 15, 19], [16, 20], [26, 21, 22, 23, 25, 52, 31, 56, 18, 45, 37, 33], [44, 40, 41], [42, 36, 39, 47, 59], [46, 43, 48], [34, 50, 55], [54, 49], [51, 57, 53, 58, 60, 63, 62, 66, 67, 72, 61, 64, 70, 74, 76, 68, 78, 77, 88, 69, 75, 79, 71, 81, 84, 86, 80, 87, 73, 83, 82, 85]]
56: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 11, 13, 10, 30, 6, 22, 14, 12, 21, 28, 19, 15, 16], [18, 31, 20, 23], [27, 17, 25, 62, 26, 46, 29, 33, 36, 39, 41, 24, 60, 37, 40, 49, 42], [44, 45, 48, 47, 50, 52, 55, 34, 58, 54, 56, 57, 51, 53, 59, 63, 61, 78, 80], [68, 66, 64, 43, 75, 70, 76, 72], [79, 71, 84, 73, 67, 69, 74], [82, 77, 85, 81, 83, 86, 87, 88]]
57: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1], [6, 27, 25, 12, 10, 31, 11, 24, 13, 14, 17, 22, 20, 16, 55, 26, 23, 21, 18, 28], [15, 61, 62, 19, 29, 45, 44], [60, 42, 30], [54, 41, 33, 34, 36, 39], [49, 37, 40, 47, 51, 56, 46, 43, 52, 48, 50, 53, 59, 57, 58, 69, 66, 63, 64, 67, 70, 71, 74, 68, 73, 75, 79, 72, 76, 77, 78, 84, 81, 86, 80, 85, 83, 88, 87, 82]]
58: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 1, 6, 26], [10, 14, 21, 11, 12, 20, 25, 31, 17, 18, 13], [16, 55, 15, 19, 29, 27, 22], [63, 61, 23, 28, 46, 45, 44, 60, 41, 24, 30, 33, 50, 42, 34, 43, 48, 36, 37, 39], [51, 40, 47, 49, 52, 56, 62, 54, 59, 57, 53, 77, 66, 58, 64, 75, 67, 69, 70, 68], [73, 71, 79, 74, 72, 85, 76], [88, 84, 78], [80, 81, 83, 86, 87, 82]]
59: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 64, 2, 17, 15, 45, 10], [1, 6, 13, 25, 16, 28, 11, 22, 14, 20, 18, 31, 53, 27, 19, 29], [21, 56, 59, 23, 24, 40, 61, 43, 12, 33, 37, 26, 36, 46, 30], [63, 34, 50, 41, 39, 42], [47, 44, 51, 48, 49, 54, 55, 58, 60, 52, 62, 57, 73, 65], [70, 66, 74, 71, 67], [68, 76, 78, 75, 72, 77, 69], [79, 80, 85, 81, 82, 87, 83, 84], [88, 86]]
60: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 6, 2, 1, 15, 11, 24, 27, 14, 13], [12], [17, 20, 19, 22, 18, 21, 16, 52, 23, 28, 29, 48, 58, 60, 25, 30, 59, 41, 26, 61, 31, 45, 39, 36, 34, 42, 33, 44, 43, 51, 53, 37, 40, 49, 46, 47, 50, 54, 57, 63, 62, 55, 56, 72, 64, 69, 70, 68, 71, 67, 66, 73, 76, 77, 75, 78, 74, 79, 83, 84, 80, 85, 87, 81], [82, 86, 88, 10]]
61: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 16, 25], [14, 26, 12, 11, 1, 13, 27, 15], [22], [6, 10, 17, 19], [31, 21, 20], [60, 23, 18], [62, 56, 28, 29, 54], [24, 50, 30, 49, 41, 33, 43, 34], [42, 61, 36, 45, 40, 37, 55, 39, 44, 46, 47, 48, 53, 51, 52], [59, 57, 63, 81, 70, 64, 69, 66, 71, 72, 58, 67], [76, 77, 78, 74, 73, 68, 79, 84, 82, 80, 75, 86, 87, 83, 85, 88]]
62: [[38, 5, 7], [8, 9, 35, 32, 3, 4, 65], [2, 1, 10, 13, 15, 14, 6, 11, 22, 26, 28, 20, 17, 12, 16, 21, 31, 48, 19, 27, 18, 23, 59, 24, 25, 56, 51, 29, 57, 37, 39, 36, 40, 34, 43, 30, 33, 47, 41, 54, 45, 46, 52, 42, 49, 53, 55, 63, 60, 62, 80, 58, 50, 61, 72, 44, 67, 66, 71, 75, 69, 64], [73, 78, 74, 68, 85, 77, 76, 82, 79, 70, 81, 86, 83, 84, 87, 88]]
63: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1], [2, 6, 25, 12, 26, 15, 23], [10, 11, 13, 14, 16, 21, 52, 17, 18], [28, 22, 59, 19, 20, 24, 62], [27, 29, 37, 51, 30, 56, 44, 41, 39, 40, 34, 46, 31, 33, 36, 43, 42, 55, 45, 48, 47, 50, 53, 60, 54, 49, 57, 63, 58, 61, 65, 68, 69, 75, 64, 71, 76, 67, 66, 70, 74, 73, 78, 72, 77, 86, 80, 83, 79, 81, 85, 82, 84, 87, 88]]
64: [[38, 5, 7], [8, 9, 35, 32, 3], [4, 1, 6, 2, 28, 30, 10, 11, 13, 15, 21, 26, 12, 29, 20, 18, 14, 16, 17, 54, 19, 24], [22, 62, 42], [23, 61, 48], [25, 58, 27], [51, 31, 37, 39, 47, 33], [36, 34, 43], [40, 44, 41, 56, 46, 45, 57], [49], [53, 50, 59, 52, 60, 63, 55, 64, 68, 70, 84, 71, 67, 66, 65, 73, 74, 77, 79, 76, 72, 75], [78, 86, 69, 81, 80, 83, 82, 85, 87, 88]]
65: [[38, 5, 7], [8, 9, 35, 32, 3], [4], [1, 6, 11, 14, 26, 12, 30, 25, 13, 17, 16, 21, 2, 18, 22, 29, 28, 19, 24, 53, 23, 15, 10, 61, 41, 20, 51, 47, 57, 45, 36, 40, 27, 31, 48, 42, 34, 58, 39, 44, 43, 37, 62, 60, 46, 52, 54, 49, 63, 50, 55, 33, 56, 59, 87, 64, 84, 73, 71, 65, 75, 70, 69, 66, 72, 67, 76, 79, 68, 77, 82, 80, 83, 74, 78, 81, 85, 86, 88]]
66: [[38, 5, 7], [8, 9, 35], [40, 3, 4], [1, 6, 2, 10], [15, 75], [11, 12, 18, 14, 17, 19, 27, 21], [30], [13, 23], [20, 28, 24, 25, 29, 61, 52, 16, 56, 37, 62, 22, 31, 47, 32, 33, 26], [43], [34, 36, 46, 39, 48, 42, 51, 41, 44, 45, 50, 54, 53, 49, 57, 55, 58, 60, 59, 63, 84], [80, 68, 65, 64, 77, 69, 67], [74, 83, 70, 76, 88, 66, 73, 78, 71, 72, 79, 82, 85, 87, 86, 81]]
67: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [1, 6, 2], [10, 15, 25, 12, 29, 11, 13, 28, 18, 19, 21, 14, 17, 20, 56, 16, 23, 24, 22, 26, 27, 30, 63, 31, 33, 49, 42, 36, 62, 40, 34, 43, 45, 37, 54, 39, 57, 41, 46], [59, 50, 44, 55, 53, 48, 47, 58, 51, 52], [60, 61, 68, 65, 67, 66, 69, 64, 70, 71, 72, 74, 75, 76, 78, 73, 79, 84, 77, 83, 80, 81, 82, 85, 86, 87, 88]]
68: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65, 2, 1, 10, 28], [11, 18, 30, 26, 6], [12, 22, 13, 14], [16, 49, 27, 17, 21, 25, 19, 20, 61], [23, 24, 47], [29, 36, 31], [33, 63, 45, 42], [34, 50, 40, 46, 44, 37, 57, 43, 53, 41, 56, 59, 48, 55, 15, 52, 58, 51], [60, 54, 39, 62, 64, 85, 66, 68, 73, 77, 74, 71, 76, 72, 67, 78, 79, 70, 75, 80, 82, 69, 86, 81, 83, 84, 87, 88]]
69: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65, 2, 1, 15, 10], [14, 19, 28, 6, 11, 30, 12, 13, 22, 18, 16, 17, 25, 50, 21, 27, 23, 29, 26, 31, 51, 33, 24, 53, 34, 45, 49, 40, 56, 44, 42, 36, 57, 37, 41, 39, 46, 43, 47, 48, 63, 60, 20, 52], [54, 61, 55, 62, 58, 59, 66, 80], [69, 67], [70, 75, 64, 73, 68, 71, 78, 72, 77, 74, 76, 79, 86, 84, 82, 85, 83, 87, 81, 88]]
70: [[38, 5, 7], [8, 9, 35], [32, 3, 4, 1], [6, 18, 2, 10, 13, 28, 27, 11, 12, 15, 40, 22, 20, 16, 19, 23, 59, 14, 21, 26, 17, 24, 63, 33, 60, 42, 61, 48, 44, 37, 47, 34, 25, 29, 30, 39, 31, 36, 46, 43, 45, 41, 49, 52, 51, 50, 55, 57, 58, 53, 56, 54, 62, 64], [65, 68, 67, 69, 71, 66, 72, 76, 77, 75, 74, 73, 78, 70, 79, 80, 81, 87, 82, 83, 84, 86, 85, 88]]
71: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [6, 2, 1, 11, 24, 28, 12, 15, 13, 19], [14, 16, 22, 23, 25, 17], [20, 52, 30, 21, 26, 27, 29, 45, 31], [62, 34, 36, 39, 63, 18], [33, 41, 44, 51, 49, 42], [46, 40, 43], [61, 53, 54], [47, 37, 48, 57], [50, 60, 55, 59, 56, 58, 64, 72], [65, 67, 74, 66, 68, 77, 70, 71, 78, 79, 10, 69], [75, 80, 73, 76, 85, 82, 81, 83, 86, 84, 87, 88]]
72: [[38, 5, 7], [8, 9, 35], [32, 3, 4, 1, 6, 2, 10, 12, 27, 11, 15, 24, 13, 14, 28, 16, 18, 17, 21, 23, 50, 19, 31, 22, 26, 29, 25, 20, 30, 34, 36, 33, 57, 37, 45, 46, 40, 42, 43, 47, 39, 41, 44, 52, 53, 49, 48, 51, 56, 54, 55, 61, 59, 63, 58, 60, 62, 71, 64, 65, 66, 70], [68, 77, 75, 67, 69, 76, 72, 74, 73, 80, 79, 82, 84, 78, 81, 83, 85, 86, 87, 88]]
73: [[38, 5, 7], [8, 9, 35], [32, 3, 4, 2, 6, 1, 12, 10, 11, 28, 27, 18, 22, 19, 13, 15, 20, 16, 26, 17, 57, 51, 21, 23, 25, 29, 24, 60, 42, 30, 40, 33, 36, 31, 63, 46, 14, 49, 37, 39, 34, 45, 58, 43, 48, 41, 44, 47, 61, 54, 50, 53, 52, 55, 56, 59, 75, 68, 80, 62], [67], [65, 64, 74, 71, 72, 66, 69, 79, 70, 73, 76, 77, 78, 86, 83, 84, 81, 87, 85, 82, 88]]
74: [[38, 5, 7], [8, 9, 35], [32, 3, 4, 65, 2, 1, 13, 18, 14, 6, 11, 22, 10, 29, 24, 20], [15, 16, 12, 21, 17, 23], [19, 31, 26, 28, 25, 60, 27, 54, 30, 55, 36], [44, 41, 33, 37, 34, 45, 43, 40, 39, 52, 47, 42, 50], [51, 46, 57, 48, 53, 49, 58, 59, 56, 61, 62, 70, 63, 64, 66, 69, 72, 78, 67, 68, 71, 74, 77, 76, 73, 75, 81, 88, 82, 79, 84, 85, 83, 86, 87, 80]]
75: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 1, 26, 25, 11, 12], [13, 15], [10, 31, 14], [6, 21, 16, 20, 23, 17, 18], [28, 54, 19, 27, 62, 29, 22, 41, 50, 39, 47, 42, 44, 33, 24, 30, 34, 59, 36, 45, 37, 40, 43, 46, 51, 49, 55, 53, 52, 60, 48, 63, 56, 57, 72, 88, 61, 66, 64, 67, 70, 74, 73, 58, 77, 69, 78, 68, 79, 71, 76, 86, 82, 83, 80, 75, 84], [81, 85, 87]]
76: [[38, 5, 7], [8, 9, 35], [32, 3], [4, 65], [6, 2], [1, 14, 24, 31, 10, 12, 13, 11, 27, 18], [26, 20, 28, 21, 19, 54, 22, 16, 17, 60, 48, 62, 23, 25, 29], [51, 37, 15, 30, 34, 33, 42], [36, 58, 39, 44, 40, 41, 47, 43, 46, 49, 50, 53, 45, 56, 59], [52, 55, 63, 57, 71, 64, 70], [67, 68, 61, 69, 74, 66, 77, 72, 76, 78, 73, 75, 79, 82, 85, 81, 83, 84, 86, 87, 80, 88]]
77: [[38, 5, 7], [8, 9, 35, 32, 3, 4], [64, 6, 2, 11, 24, 27, 1, 14, 13, 22, 26, 20, 17, 10], [16, 19, 53, 12, 50, 15, 18, 25, 21, 23, 60, 30, 52, 57, 54, 41, 28], [31, 29, 37, 33, 36, 46, 40, 45, 34, 39, 59, 44, 47, 43, 48, 55, 42, 62, 63, 61, 49], [51], [56, 58, 65, 66, 69, 74, 70, 67, 68, 71, 72, 76, 78, 73, 84, 79, 85, 80, 75, 82, 77, 83], [81, 86, 87, 88]]
78: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1], [6, 18, 2, 47, 12, 13, 10], [23, 25, 16, 26], [24, 17], [11, 14, 30, 20, 22, 19, 49, 29, 21, 51, 27, 28, 53, 57, 15, 31], [33, 45, 34, 36, 44, 39, 43, 37, 40, 61, 52, 41, 42, 46, 58, 48, 50, 54, 55, 62, 56, 59, 60, 63], [76, 65, 64, 74, 69, 67, 70, 66, 68, 73, 72, 79, 77, 71, 75, 85, 78, 80, 83, 81, 84, 82, 86, 87, 88]]
79: [[38, 5, 7], [8, 9, 35, 32, 3, 4, 65], [2, 1, 10, 12, 11, 27, 6, 15, 31, 16, 13, 28, 23, 14, 17, 20, 29], [18, 19, 21, 26, 22, 61, 24, 25, 58, 62, 30, 41, 40, 37, 44, 33], [34, 47, 36, 39, 46, 42, 43, 59, 45, 49], [48, 53, 51, 52, 55, 54, 57, 56, 60, 50, 63, 64, 66, 67, 74, 71, 70, 68, 73, 72, 76, 75, 78, 85, 77, 69, 80, 79, 84, 82, 86, 83, 81, 87, 88]]
80: [[38, 5, 7], [8, 9, 35], [32, 3, 4], [1, 6, 16, 10], [30, 71, 2, 11, 26, 15, 17, 18, 31, 12, 62, 13, 14], [22, 54, 19, 20, 21, 53, 51, 23, 60, 24], [58, 25, 37, 27, 28, 33, 29, 40, 43, 46, 34, 39, 49, 41, 36, 42, 45, 63, 47, 48, 50, 56, 59, 52, 57, 55, 61, 44, 64, 80, 68, 73, 65, 67, 69, 74, 75, 83, 70, 76], [72, 78, 77, 66, 82, 85, 79, 88, 84, 87, 86, 81]]
81: [[38, 5, 7], [11, 9, 33], [1, 3, 6], [17, 70, 18, 2, 10, 31, 29, 8], [4, 21], [26, 12, 13, 23], [24, 54, 15], [20, 22, 27, 16], [25, 32, 28, 34], [44, 52, 56], [47, 40, 35, 43, 30], [14, 36, 37], [19, 39, 41, 49], [48], [53, 45, 42, 46, 63, 50], [51, 55], [58, 57, 59], [60, 61], [64, 76, 62, 66, 65], [68], [72, 67, 73], [82, 78, 79], [69, 74], [71], [77, 75], [84, 81, 83, 80, 85], [86, 87, 88]]
82: [[38, 5, 7], [8, 9, 35], [32, 3, 4], [1, 6], [2, 19, 12, 15, 14, 10, 11, 13], [21, 22, 31, 16, 17, 18, 20, 29, 28], [26, 27], [23, 24, 30, 62, 61, 25, 42, 49, 33, 52, 37], [40, 34, 43], [39, 36, 41, 59, 44], [47, 56, 45, 46, 55, 48, 50, 60, 58, 54], [63, 51, 53, 71, 64, 67, 68, 65, 66, 69, 75, 72, 77], [70, 79, 57, 73, 76, 74, 78, 81, 80, 87, 84, 82, 83, 85], [86, 88]]
83: [[38, 5, 7], [8, 9, 35], [32, 3], [4, 65, 2, 1, 11, 28, 12, 6, 15, 14, 10, 19, 26, 21, 13, 16, 18], [17, 20, 22, 23, 31, 29, 24, 25, 60, 27, 30, 42, 36, 48, 37, 41, 59], [44, 34, 33, 43, 46, 39, 40, 47, 45, 50, 51, 63, 49, 53, 52, 58, 55, 54, 56], [57, 62, 67, 61, 64, 66, 69, 73, 68, 70, 72, 71, 74, 79, 75, 76, 77, 78, 80, 82, 83, 85], [84, 81], [86, 87, 88]]
84: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1], [6, 2, 15, 12], [11, 10], [14, 13, 22], [16, 28, 26, 17, 18, 19, 23], [20], [49, 27, 25, 29, 21, 56, 61, 30, 52, 31, 51, 41, 33, 34, 37, 36, 43, 40, 42, 39, 45, 44], [46, 47, 48, 57, 50, 54, 62, 53, 55, 59, 64, 24, 60, 63, 58, 65, 72, 67, 66, 70, 79, 69, 68, 74, 76, 73, 78, 75, 77, 80, 71, 86, 84, 81, 83, 82, 85, 87, 88]]
85: [[38, 5, 7], [8, 9, 35], [32, 3, 4, 1, 6, 2, 14, 30, 11, 15, 24, 13], [12, 16, 17, 26, 20, 21, 19, 18, 22, 28, 31, 25, 23, 36, 56, 40, 27, 29, 51], [37, 46, 33, 10, 45], [34, 43, 39, 44, 49, 50, 41, 42, 47, 48, 62], [53, 52, 54, 58], [55, 60, 61, 57, 59, 63, 68], [65, 64, 84, 67, 70, 66, 75, 77, 73, 69, 71, 72, 74, 76, 78, 79, 80, 81, 86], [85, 82, 83, 87, 88]]
86: [[38, 5, 7], [8, 9, 35, 32, 3, 4, 1, 6, 2, 14, 26], [19, 11, 15, 12, 25, 13, 22, 21, 23, 52, 17, 28, 16, 29, 18, 20, 30, 24, 61, 51], [27, 31, 34, 40, 44, 41, 55, 36, 42, 37, 58, 47, 33, 48, 43, 53, 59, 56], [49, 50, 54, 45, 46, 57, 60, 62, 67, 63, 84, 64, 39, 81, 69, 71, 72, 10, 66, 68, 79, 70, 65, 78, 77, 73, 74, 76, 86, 85, 80, 82, 87, 75, 83, 88]]
87: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 28, 15, 18, 6, 11, 27, 30, 21, 12, 14, 10, 48, 20, 13], [16, 17, 22, 52, 53, 19, 61, 47, 24, 41, 23], [26, 29, 25, 31, 36, 39, 44, 57, 33, 40, 34, 37, 42, 59, 51, 43, 54, 45, 46, 58], [49, 56, 50, 62, 63, 72, 80, 55, 64, 69, 66, 73, 74, 60, 79, 67, 71, 68], [75, 77, 76, 78, 86, 70, 81, 82, 84, 85, 83, 87, 88]]
88: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1], [6, 2, 17, 14], [10, 12, 28, 15, 16, 11, 13, 31, 20, 24, 18], [30, 19, 23, 21, 25, 26, 37, 27, 29, 59, 22, 39, 43, 42, 41, 48, 34, 36, 46, 33, 40, 47, 50, 57, 44, 45, 63, 51, 58, 55, 52, 53, 54, 62, 56, 49, 60, 68, 61, 65, 81, 67, 75, 64, 70, 71, 66, 77, 72, 69, 73, 74, 76, 79], [78, 82, 80, 85, 84, 87, 83, 86, 88]]
89: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65], [2, 1, 10, 14], [13, 6, 25, 11], [30, 16], [24, 31, 26], [12, 15, 29, 53, 17, 21, 18, 27, 20, 19, 28, 23, 50, 40, 33, 44, 41, 58, 36, 22, 62, 37, 34, 39, 43, 47, 42, 45], [46, 52, 48, 49, 54, 57, 63, 55, 51, 56, 60, 59, 61, 64, 66, 67, 69, 70, 79, 68, 74, 71, 76, 73, 72, 77, 75, 78, 82, 80, 84, 86, 85, 83, 87, 81, 88]]
90: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1], [6, 16, 10, 29, 28, 13, 22], [15, 2, 20, 26, 23, 17], [11, 12, 14, 25, 18, 27, 21, 34, 30, 19, 24, 58, 37, 61, 31, 44, 45, 33, 40, 36, 49, 41, 39, 46, 42, 43, 62], [47, 59, 51], [50, 54, 52, 48, 55, 56, 60, 53, 57, 63, 76, 64, 67, 66, 75, 70, 65, 68, 74, 72, 71, 69, 78, 79, 73], [83, 80, 82, 87, 81, 77, 86, 84, 85, 88]]
91: [[38, 5, 7], [8, 9, 35], [32, 3], [4, 2, 6, 1, 14, 10, 11, 20, 15, 16, 30, 21, 12, 27, 24, 17, 13, 25, 18, 23, 19, 31, 34, 22], [56, 57, 29, 26, 28, 33, 49, 36, 37, 46, 44, 39, 41, 47, 40, 43, 42, 60, 45, 53, 48, 50, 54, 52, 51, 55, 59, 58], [62, 61, 63, 64, 65, 72, 66], [74, 69, 67, 71, 68, 77, 73, 78, 70, 75, 76, 79, 82, 84, 80, 81, 85, 83, 86, 87, 88]]
92: [[38, 5, 7], [8, 9, 35, 33], [3, 4, 1, 18, 2, 10], [13, 6, 14, 12, 23, 11, 24, 15, 17], [20, 16, 21, 27, 22, 25, 26, 28, 30, 29, 31, 34], [52, 56, 19, 57, 36, 44], [53, 40, 32], [47], [42, 43], [37, 60], [39, 55, 45, 41, 46, 50, 49, 51, 58, 54], [48, 62, 63, 59, 83, 69, 61, 64, 66, 65, 77, 70, 67, 73], [68, 74, 76], [79, 75, 71, 78], [72, 81, 80, 82], [84, 85], [87, 86, 88]]
93: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 65, 2, 1, 26, 11, 6, 15, 10, 29, 27, 21, 14, 22], [16, 48, 20, 12, 18, 19, 23, 51, 53, 49, 57, 45, 56, 25, 13, 46, 17], [44, 34, 30, 47, 24, 28, 33, 40, 31, 37, 36, 54, 39, 42, 55, 41, 50, 43, 52, 58, 60, 59, 62, 61, 64, 63, 71, 87, 67, 68, 72, 78, 74, 66, 69], [75, 76, 70, 77, 79, 86, 73, 85, 82, 80, 84, 81, 83, 88]]
94: [[38, 5, 7, 8], [9, 35], [32, 3, 4], [65, 2, 1], [24, 29, 26, 12], [18, 27, 6], [11, 60, 17, 20], [48, 10, 13], [14, 19, 21, 55, 16, 23, 63], [31, 28, 37, 22, 39, 47, 42, 15, 25, 44, 30, 33, 56, 34, 36, 40, 43, 41, 45, 46, 50, 51, 49, 53], [54, 58, 59, 52, 57, 61, 62, 75, 64, 76, 67, 66, 70, 68, 77, 69, 73, 71, 74, 79, 72, 78, 86, 82, 81, 80, 83, 85, 84, 87, 88]]
95: [[38, 5, 7], [8, 9, 35, 32, 3, 4, 65], [6], [1, 10, 15, 11], [2, 30, 12, 22, 25, 13, 23, 14, 28, 16, 31, 20, 44, 21, 61, 18, 19, 43, 24], [17, 40, 26, 29, 57, 45, 27, 33, 36, 34, 41, 37, 39, 47, 49, 42, 48], [46, 54, 58, 53, 50, 52, 55, 60, 56, 88, 59, 51, 63, 66, 68, 67, 62, 64, 70, 78, 69, 77, 73, 71, 72, 85, 79, 75, 81, 82, 74, 83, 84, 76, 86, 80, 87]]
96: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1, 6, 2, 15], [11, 27, 12], [23, 17, 13, 29, 20], [22, 18, 44, 19, 26, 21, 28, 16, 25, 34, 61, 55, 30, 14, 40, 51, 37, 39, 31, 36, 56, 33, 43, 57, 62, 42, 47, 45, 41, 52, 46, 50, 48, 59, 54, 49, 53, 58, 60, 65, 63, 24, 67, 64, 68, 70, 69, 71, 76, 72, 66, 79, 75, 77, 73, 74, 78, 82, 80, 81, 85, 84, 83, 87, 86], [88, 10]]
97: [[38, 5, 7], [8, 9, 35], [32, 3], [4, 64, 6, 1, 19, 13, 12, 11, 25, 14, 10, 2, 26, 21, 20, 49, 16], [18, 17, 22, 23, 31, 29, 24, 27, 60, 28, 30, 33, 39, 56, 41, 15, 34], [37, 43, 44, 36, 46, 45, 40, 42, 47, 58, 63, 62, 61, 51, 48, 52, 54, 50, 53, 57], [59, 67, 55, 65, 70, 73, 66, 71, 68, 72, 69, 77, 75, 74, 78, 76, 79, 80, 82, 83, 87, 81], [85, 84], [86, 88]]
98: [[38, 5, 7, 8], [9, 35, 32, 3], [4, 65, 2], [1, 11, 6, 14, 12, 16, 30, 15, 13], [19, 22, 20, 50, 17, 18, 21, 54, 26, 25, 31, 27, 23, 24, 51, 28, 29, 53, 37, 55], [40, 10, 34, 36, 60, 33, 43, 45, 47, 41, 39, 46, 44, 56, 52, 48, 42, 49, 57, 58, 59, 61, 62, 63, 64, 70, 66, 67, 68, 69, 71, 76, 72, 74, 77, 73, 79, 75, 78, 88, 82, 80, 86, 85], [81, 84, 87, 83]]
99: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 2, 1, 26], [15, 10, 14, 6, 31, 12, 28, 11, 18, 13, 30], [16, 19, 29, 17, 24, 25, 20], [23, 58, 60], [21, 37, 57, 44], [46, 22], [27, 36, 42, 33, 34, 39, 41, 40, 43, 62], [45, 55], [47, 48], [49, 50, 56, 52, 51, 54, 53, 63, 71, 70, 64, 68, 66, 83, 67, 75, 59, 69, 79, 78, 61], [72, 73, 76, 74, 81, 82, 77, 86, 84, 87, 80, 85, 88]]
100: [[38, 5, 7], [8, 9, 35, 32], [3, 4], [65, 6, 1, 2], [13, 14, 11], [12, 26, 28, 31, 10], [17, 15, 22, 18, 16, 27, 19], [52, 50, 21, 20, 24, 62, 29, 25, 23, 36, 57, 30, 41, 46, 33], [43, 49, 34, 37, 40, 63, 39, 44, 53, 42, 45, 47, 48, 55, 56, 58, 54], [51, 59, 60, 61, 66, 64, 70, 67, 79, 68, 69, 74], [72, 71, 77, 73, 75, 76, 78, 84, 81, 80, 82, 87, 83, 86, 85, 88]]
101: [[38, 5, 7], [8, 9, 35, 32], [3, 4, 1, 6, 18, 2, 11], [26, 10, 31], [15], [30, 12, 16, 27], [17, 21, 13], [25, 14, 20, 19, 28, 22, 61, 23, 24, 29, 39, 55, 41, 40, 45, 34, 60, 37, 36, 42, 47, 57, 44, 48, 43], [51, 53, 33, 54, 63, 50, 52, 56, 46, 49, 58, 62, 59, 70, 64, 65, 69, 67, 68, 66, 72, 73, 74, 78, 71, 76, 77, 75, 81, 79, 82, 83, 80, 85, 86, 87, 84, 88]]
