0: [[7, 35, 11, 3, 2], [1, 13, 5, 21, 6], [8], [4, 9, 14, 12, 19, 15, 22, 29, 16, 17, 23, 18, 10], [20, 31, 28, 27, 24, 25, 26, 30, 33], [56, 37, 38, 32, 44, 36], [43, 39, 40, 45, 34, 42], [41, 47, 53, 48, 50, 51, 55, 46, 52], [49, 57], [59, 54, 58, 60]]
74: [[7, 35, 11, 3, 2, 1], [13, 21], [4, 6, 12, 5, 9], [10, 15, 27, 8, 14, 29, 16, 20, 19, 18, 17, 23, 24, 26, 31], [30, 28, 25, 53, 37], [58, 36, 22, 33, 32, 34, 38, 41, 45, 42], [46, 39], [40, 47, 55, 44, 49, 43, 48, 51, 60, 50, 52, 54, 56, 57, 59]]
75: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 4, 8, 9, 10, 14, 26, 16, 12, 15, 17, 20, 22, 18, 24, 19, 27, 30, 23, 29, 28, 31, 25, 37, 40, 38, 36, 32, 33, 34, 45, 41, 44, 43, 42, 57, 47, 46, 48, 52, 39, 51, 50, 49, 53, 56, 58, 55], [60, 59, 54]]
76: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 5, 6, 26, 12, 9, 8, 15, 10, 14, 27, 17, 16, 30, 19, 18, 23, 20, 28, 24, 29, 25, 31, 22, 36, 32, 37, 38, 41, 33, 39, 40, 45, 34, 47, 42, 51, 46, 44, 43, 58, 48, 52, 49, 50, 54, 55], [53, 57, 56, 59, 60]]
77: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6], [8], [5, 26, 10, 9, 24, 12, 31], [14, 16, 15, 17, 27, 18], [19, 20, 22, 29, 28, 25], [30, 23, 32, 34, 39], [46, 37, 36, 38, 40, 41], [42, 44, 43, 59, 47, 45], [58, 48, 49, 53, 33], [51, 52, 50, 54, 55, 56, 60, 57]]
78: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 24, 4, 9, 30, 25, 10, 14, 16, 22, 8, 27, 12, 15, 17, 19, 23, 20, 26, 28, 18, 29, 31, 33, 37, 53, 32, 49, 46, 34, 45, 36, 43, 38, 39, 40, 44, 41, 51, 42, 47, 54], [52, 58, 55, 50, 48, 57, 59, 56, 60]]
79: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 12, 4, 9, 8, 10, 14, 15, 27, 31, 18, 25, 22, 26, 16, 20, 17, 19, 23, 30, 28, 24, 29, 32, 41, 36, 39, 38, 45, 34, 37, 33, 43, 42, 44, 40, 47, 46, 49, 55, 51, 52], [48, 50, 53, 57, 60, 54, 58, 59, 56]]
80: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4, 14, 12, 8, 9, 6, 30, 10, 15, 20, 27, 26, 18, 16, 19, 24, 22, 17, 23, 25, 29, 31, 28, 32, 52, 36, 34, 39, 37, 33, 40, 38, 44, 41, 42], [58, 45, 43, 47, 46, 56, 50, 48, 49, 53, 51], [55, 57, 54, 59, 60]]
81: [[7, 35, 11, 3, 2, 1, 13, 21, 5, 6, 14], [4, 8, 9, 27, 12, 19, 10, 28, 16, 23, 24, 15, 31, 17, 20, 22, 25, 30, 18, 29, 26, 33, 44, 48, 39, 32, 37, 38, 34, 40, 45, 42, 36], [59, 47, 46, 58, 41, 43, 51, 49, 52, 53], [50, 55, 54, 56, 57, 60]]
82: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6], [4], [12, 9, 8, 10, 14, 15, 23], [17, 16, 19, 22, 20], [18, 26, 31, 25, 28, 27], [24, 29, 30, 41, 38, 37, 36, 33, 34, 39, 32], [40, 46, 43, 44, 49, 47, 42, 45, 56, 53], [57, 54, 52, 48, 50, 55, 59, 58, 51, 60]]
83: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 4, 9], [12, 6, 8, 24, 10, 14, 15, 29, 22, 30, 20, 17, 16, 19, 18, 25, 27, 31, 23, 26, 28, 32, 33, 36], [34, 38, 39, 45, 47, 42, 40, 41, 43, 58, 44, 46], [48, 49, 52, 51, 50, 59, 54, 53, 37, 55, 56, 60, 57]]
84: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 16, 12, 9, 4, 10, 8, 14, 31, 18, 19, 15, 17, 20, 30, 22, 25, 23, 26], [27, 29, 24, 28, 33, 52, 37, 34, 41, 36, 32, 43, 47, 38, 39, 40, 44, 42, 45, 46, 48, 51, 53, 50, 55, 49, 58, 54, 56, 57, 59, 60]]
85: [[7, 35, 11, 3], [2, 1, 13, 21, 5, 6, 12, 4, 9, 8, 14, 10, 15, 30, 20, 16, 18, 17, 19, 22, 27, 23, 24, 26, 31, 25, 28, 29, 33, 34, 37, 38, 32, 39, 40, 45, 36, 41, 43, 47, 42, 44, 46, 51, 53, 59], [50, 52, 48, 49, 54, 57, 55, 56, 58, 60]]
86: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 6, 4, 28, 9, 12, 8, 10, 14, 30, 19, 17, 15], [26, 16, 18, 23, 20, 24], [22, 27, 25, 29, 31], [32, 37, 33, 34], [36, 38, 46, 40, 47, 39, 45, 42, 59, 43], [41, 44, 58, 49, 56, 50, 48, 53, 54, 60, 52, 55, 51, 57]]
87: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 6, 12], [22, 4, 8, 24, 14], [9, 28, 30, 10, 16], [26, 17, 15], [18], [19, 23, 25, 29, 20, 27, 31, 53, 36, 37, 33, 38, 34, 32, 45], [47, 40, 41, 42, 43, 39], [44, 60, 51, 46, 55, 48, 50, 52, 49, 58, 57, 54, 56, 59]]
88: [[7, 35, 11, 3, 2], [1, 13, 5, 4, 21], [14], [9, 8, 15, 16, 12, 10, 18], [20], [17, 26, 22, 24, 19, 23, 31], [25, 27, 28, 29, 30], [37, 40, 33, 32, 34, 6], [36, 38, 39, 41, 45], [46, 43, 59, 47, 42, 54, 51], [44, 49, 50, 52, 55, 53], [48, 56, 60, 57, 58]]
89: [[7, 35, 11, 3, 2], [1], [13, 21, 4, 6, 8, 12], [9, 5], [14, 10, 17, 24, 22], [15, 19, 27, 20, 18, 16, 23, 28, 26, 25, 29, 31, 30, 32, 56], [36, 33, 37, 45, 38, 34, 43, 39, 41, 40, 42, 44, 46, 49, 50, 57, 47, 48, 53, 51, 54, 55, 52, 59, 58, 60]]
90: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6], [8, 5, 9, 15], [14, 10, 16, 29, 23], [12, 20, 17, 30, 28, 19], [31, 18], [26, 25, 22, 24, 27], [36, 37, 33, 34, 32, 45, 38, 39, 40, 41, 42, 47], [43, 44, 46, 51, 53, 59, 50, 52, 49, 55, 48], [56, 57, 54, 58, 60]]
91: [[7, 35, 11, 3, 2, 1, 13], [21, 5, 6, 12, 20, 8, 14, 4, 9, 10, 31, 23, 15, 19, 22, 17, 27, 16, 30, 18, 24, 25, 28], [26, 29, 33, 32, 34, 52, 41, 38, 37, 39, 45, 36, 40, 46, 59, 42, 43, 56, 53, 50, 44, 47, 48, 57, 49, 51, 54, 55, 58, 60]]
92: [[7, 35, 11, 3, 2, 1, 13, 21, 5, 6, 12, 14, 8, 4], [28, 10, 15, 19, 16, 9, 18, 29, 22, 20, 17, 27, 23, 24, 25, 26, 31, 30, 33, 34, 38, 32, 36, 44, 37], [40, 39, 43, 41, 42, 45, 47, 46, 50, 49, 48, 51, 52, 54, 53, 56, 58, 55, 59, 57, 60]]
93: [[7, 35, 11, 3, 2, 1, 13], [21, 4, 6, 14, 5, 9, 12, 8, 10, 25, 15, 19, 16, 17, 18, 28, 20, 22, 23, 31, 24, 27, 30, 29, 26, 37, 59, 36, 38, 42, 39, 32, 33, 46, 43, 34, 47, 60, 40, 41, 44, 49, 50, 48, 45, 58, 51], [52, 54, 57, 55, 53, 56]]
94: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 5, 15, 6, 8, 9, 24], [12], [26, 29, 22, 16, 10], [14, 18, 25, 28, 20, 17, 19, 23, 27, 30, 31, 33], [41, 36, 32, 34, 38, 43, 44, 39, 40, 42], [46, 37, 45, 55, 49, 47, 48, 54, 50, 51, 52, 53, 56, 57, 58, 59, 60]]
95: [[7, 35, 11, 3, 2, 1, 13], [21, 5, 6, 12, 4], [9, 8, 20, 14], [10, 15, 19, 24, 23, 22, 16, 17, 18, 30, 27, 25, 26, 28, 29, 31, 33, 34, 36, 42], [32, 37, 55, 44, 40, 38, 41, 39, 43, 47], [45, 46, 53, 58, 49, 50, 51, 48, 52, 57, 54, 56, 59, 60]]
96: [[7, 35, 11, 3, 2, 1, 13, 21], [5, 4, 14, 6, 8, 9, 26, 10, 12, 31, 23, 27, 17, 15, 19, 24], [20, 16, 22, 25, 18, 30, 29, 28, 41, 58, 33, 32, 37, 46, 36, 39, 42, 47, 40, 43, 56, 38, 44, 45, 52, 34, 48, 50, 55, 59, 51, 49, 53, 57, 54, 60]]
97: [[7, 35, 11, 3, 2], [1, 13, 21, 5, 4, 12, 6, 15, 10, 9, 8], [14, 28, 26, 25, 17], [18], [19, 20, 16, 23, 30, 22], [31, 24, 29, 27, 37, 32, 38], [33, 41, 36, 44, 45, 40, 43, 39, 46], [55, 42], [47, 34, 49, 51, 53, 54, 52], [50, 57, 48, 59, 56, 58, 60]]
98: [[7, 35, 11, 3, 2, 1, 13, 21], [5, 4, 14, 8, 28, 9, 24, 6, 10, 15, 12, 26, 20, 30, 16, 17, 18, 22, 23, 19, 27, 25, 29, 31, 32, 52, 48, 34, 38, 33, 36, 39, 46, 44, 37, 41, 56, 40, 47, 42, 43, 45, 60, 54, 51, 59, 55], [57], [49, 50, 53, 58]]
99: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 4, 10, 6, 8, 12, 9, 14, 16], [30, 18, 28, 29, 23], [17, 19, 20, 22, 24], [15, 26, 25, 27, 31, 32, 45, 49, 36, 57], [39, 33, 42, 41, 43, 40], [47, 58, 34, 38, 37], [44, 48], [46, 53, 54, 59, 51, 55, 56, 50, 52, 60]]
100: [[7, 35, 11, 3, 2, 1, 13, 21, 4, 5, 8], [28, 12, 10, 9, 6, 14, 22, 19, 18, 17, 24, 15, 27, 20, 16, 26, 23, 30, 25, 31, 29, 32, 40, 36, 33, 38, 37, 41, 39, 43, 42, 34, 45], [49, 44, 46, 58, 50, 47, 54, 53, 48, 51], [55, 52, 56, 59, 57, 60]]
101: [[7, 35, 11, 3, 2, 1, 13, 21, 4, 5, 6, 30, 9, 12, 29, 28, 8], [15, 23, 17, 27, 22, 20, 26, 10, 18, 14], [16, 19, 25, 24, 31, 33, 32, 34, 38, 36, 37, 39, 41, 44, 42, 43, 40, 58, 46, 45, 47, 50, 48, 51, 49, 53, 52, 55, 54, 57, 56, 59, 60]]
102: [[7, 35, 11, 3, 2, 1, 13, 21, 5, 6, 14, 20, 8, 22, 25, 27, 15, 4, 31, 24, 9, 10, 19, 26, 12, 16, 28, 23, 30, 17, 18, 29, 33], [40, 52, 37, 36, 41, 45, 32, 44, 39, 34], [38, 43, 46, 42, 59, 47, 48, 53, 49, 54, 51, 50, 55, 60, 57, 56, 58]]
103: [[7, 35, 11, 3, 2], [1, 13], [21, 5, 6, 4], [22, 9, 24, 14, 8, 15, 10, 27], [18, 12, 25, 16, 23, 17, 26, 19, 20, 28, 29, 31, 30, 36, 34, 39, 32], [33, 44, 37, 41, 47, 46, 38, 40, 50, 43, 45, 42, 51, 49, 54, 55, 48, 53, 52, 57, 58, 56, 59, 60]]
104: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6], [8, 20, 5, 14, 9], [10, 12, 17, 22, 25], [19, 16, 31, 15, 23, 29, 18, 24, 26, 27], [28, 30, 33, 45, 36], [39, 32, 44, 34, 42], [37], [38, 40, 41, 43, 46, 47, 48, 52, 54, 49], [53, 51, 55, 60, 56, 50, 57], [59, 58]]
105: [[7, 35, 11, 3, 2, 1, 13, 21, 4, 5, 12, 6, 9, 15], [8, 30, 28, 10, 14, 18, 23, 16, 20, 19, 22, 29, 17, 24, 26, 25, 27, 31, 32, 48, 37, 34, 33, 36, 42, 38, 45, 40, 39, 41, 57, 46], [44, 43, 49, 47, 55, 52, 50, 56, 51, 53, 54, 58, 59, 60]]
106: [[7, 35, 11, 3, 2], [1, 13, 21], [5, 14, 12, 6, 9], [10, 8, 22, 4, 15, 27, 17, 16], [23, 18, 24, 19, 20, 25], [29, 30, 28, 26, 31, 33], [40], [36, 37, 32, 39, 34, 38, 41, 44, 42, 46, 58], [45, 43, 52, 51, 47, 49, 48, 50], [54, 53, 57, 55, 60, 59, 56]]
107: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 4, 14], [6, 8, 26, 9, 10], [12, 22, 16, 28, 27, 17, 19, 18, 20, 31], [23, 15, 24, 29, 25], [30, 36, 56, 37, 32, 33], [42, 39, 40, 44, 43], [45, 38, 58, 41, 34, 46, 50, 54, 47, 49, 48], [52, 51, 53, 57, 55, 59], [60]]
108: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6, 14, 24, 9, 20, 5, 12, 8, 25, 18], [16], [26, 10, 19, 15], [23, 22, 27, 17, 28], [30, 29, 31, 33, 49, 32, 36], [50], [40, 38, 41, 42, 45, 47, 34, 37, 39, 44, 59, 55], [43, 58, 46, 57, 48, 54, 51, 52, 60, 53, 56]]
109: [[7, 35, 11, 3, 2, 1, 13, 21, 5, 4], [6, 29, 8, 10, 14], [12, 9, 30, 15, 27, 25, 20, 16, 17, 22, 23, 19, 18, 26, 31, 24, 28, 33, 34, 32, 40, 38, 39, 37, 36, 42, 41, 45], [46, 43, 44, 48, 51, 47, 60, 52, 50, 53, 54, 49], [56, 58, 57, 55, 59]]
110: [[7, 35, 11, 3, 2, 1, 13], [21], [4, 6, 12, 8, 9, 24, 29, 26, 5, 10, 31, 14], [30, 15, 22, 20, 23, 19, 27, 17, 18, 28, 25, 32, 36, 34, 38, 16, 33, 37, 39, 43, 42, 45, 47, 46, 49, 40, 44, 48, 53, 41, 50, 51, 58, 59, 52, 57, 55, 60, 54, 56]]
111: [[7, 35, 11, 3, 2, 1, 13, 21], [5, 4, 14, 30, 12, 8, 9, 6, 10, 15, 20, 31, 25, 17, 16, 22, 26, 18, 19, 23, 27, 29], [24, 28, 49, 44, 32, 34, 36, 33, 37, 38, 46, 41, 42, 43], [39, 40, 45, 47, 50, 52, 54, 48, 51, 58, 53, 56, 55, 59, 57, 60]]
112: [[7, 35, 11, 3, 2, 1], [13, 21, 4, 5, 12], [6, 8, 15, 14, 9, 10, 19, 22], [25, 18, 23, 17, 16], [24, 27, 20, 26, 28], [29, 30, 31, 41, 57], [53, 38, 36, 46, 43, 32, 33, 42, 44, 34], [39, 45, 40, 37, 58, 50, 52, 47, 51, 48, 60, 49, 55, 54, 59, 56]]
113: [[7, 35, 11, 3], [2, 1, 13, 21, 5, 6, 12, 4, 8, 9, 14, 30, 10, 23, 25, 19, 24, 22, 18, 15, 16, 27, 17, 28, 29, 20, 26, 31, 36, 56, 37, 38, 32, 45, 34, 46, 41, 39, 33, 42, 57, 43, 40, 48, 52, 53, 44, 50, 51, 47, 49, 54, 55], [60, 59, 58]]
114: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 6], [12, 5, 8, 15], [14, 9, 22, 25, 10], [29, 23, 20, 27, 16, 17, 18], [31, 19, 24, 26, 28, 30, 32, 38, 36, 33, 37, 34, 42, 40, 39, 44, 43, 47, 58, 45, 46, 55, 41, 57, 54, 48, 53, 50, 51, 49, 52, 56, 59, 60]]
115: [[7, 35, 11, 3, 2], [1, 13, 5, 6, 4, 9, 8, 10, 15, 12, 30], [14], [25, 21, 16, 19, 24, 28], [22, 17, 18, 20, 23, 26], [29, 27, 31, 33, 39, 32], [34, 37, 36], [38, 41, 46, 43, 42, 44], [47, 40, 45, 59, 48, 49], [54, 51], [50, 52, 53, 57, 56], [55, 58, 60]]
116: [[7, 35, 11, 3, 2, 1, 13], [21, 4, 5, 14, 12], [9, 8, 28, 10, 15, 25, 16, 17, 18, 22, 6], [24, 19, 26, 20, 31, 23, 27], [29, 30, 32, 50, 38], [36, 33, 34, 47], [42, 39, 44, 40, 37, 49, 45, 43, 41, 46], [51, 48, 53, 54, 55, 52, 57, 59, 58, 56, 60]]
117: [[7, 35, 11, 3], [2, 1, 13, 21, 5, 6, 12, 8, 9, 4, 17, 23, 10], [15, 29, 14, 28, 18, 22, 16, 25, 19, 24, 30, 26, 20, 27, 31, 41], [43, 37, 50, 32, 38, 34, 33, 47, 45, 36, 46, 39, 44, 40], [48, 42, 49, 54, 53, 51, 60], [52, 55, 56, 57, 58, 59]]
118: [[7, 35, 11, 3, 2, 1], [13, 21, 5, 4], [12, 6, 9, 8, 14], [10, 22, 19, 31, 30, 17, 23, 15, 26], [24], [28, 16], [18, 25, 20, 29, 27, 32], [45, 37, 43, 34, 33, 36, 39, 38, 46, 40, 41], [58, 44, 47, 48, 51, 52, 50, 49], [53, 55, 42, 59, 54, 60, 56, 57]]
119: [[7, 35, 11, 3, 2], [1, 13, 21, 4, 9, 14], [12, 5, 10, 24, 15, 8, 31, 23, 16], [17, 18], [19, 6, 20, 26, 22, 25, 27, 29], [30, 28, 32, 36, 33], [38, 37, 39, 34, 41, 42, 46, 40, 43], [59, 44, 45, 47, 49, 50], [55, 51, 54, 56, 52], [53, 57, 48, 58, 60]]
120: [[7, 35, 11, 3, 2, 1, 13, 20, 4, 6, 14], [24, 8, 5, 9, 10], [12, 15, 21, 16, 22, 18, 17, 25, 23, 26], [28, 19, 29, 27, 30, 31], [32, 33, 38, 34, 37, 43], [36], [40, 39, 42, 45, 47, 59, 41, 46, 50, 44], [48, 49, 51, 52, 55, 54, 57, 56, 58, 53, 60]]
121: [[7, 35, 11, 3, 2, 1, 13, 21, 4, 6, 14, 5, 9, 12], [8, 24, 10, 16, 17], [20, 23, 18, 19, 26, 31, 27, 22, 29, 25], [30, 28, 52, 32, 15, 36, 37, 51, 41, 33], [42, 39, 34, 38, 43, 44, 47, 45, 57, 50, 40, 60, 55, 46, 48, 53, 58, 59, 49, 54, 56]]
