0: [[53, 43], [35, 7, 1, 3, 2], [13, 5, 6, 21], [4, 24, 11, 9, 10, 12], [29, 8], [19, 15, 14], [31, 16, 18], [17], [23, 22, 25, 26, 27, 28], [20, 30, 40, 32, 34, 33], [36, 37, 45], [47, 39, 38, 46], [41, 42, 44, 50, 56], [54, 48, 51], [55, 52], [57, 49], [59, 58, 60]]
74: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 4], [1, 9, 8, 25, 24], [10, 11, 12, 14, 31], [15, 19, 16, 18, 23, 17, 20, 26, 22, 28, 30, 29, 46, 27, 33], [32, 38], [36, 34, 37], [44, 39, 42, 40, 41], [47, 45, 54, 48, 50], [49, 55], [51, 58, 56, 59, 52, 57, 60]]
75: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6, 4], [1, 3, 12, 20, 26, 9], [10, 8], [14, 22, 15, 17, 23, 30, 16, 19, 18, 25, 24, 29, 27, 28, 31, 32, 37, 34, 33, 38, 36, 46, 39, 40, 42, 45, 44, 41, 47, 54, 48, 57, 49, 51, 50, 58, 52, 60, 59, 55, 56]]
76: [[53, 43, 2, 35, 7, 5, 11, 13, 21, 6, 1, 9, 4, 12], [3, 24, 8, 30], [14, 15, 29, 17, 10, 18, 16, 19, 22, 23, 20, 26, 27], [25, 28], [31, 33, 41, 32, 36, 38, 37, 39, 42, 40, 34, 47, 45, 46, 44], [48, 49, 57, 51, 50, 55, 52, 54, 58, 56, 59, 60]]
77: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 4, 11, 12, 1, 20, 24, 8, 10, 9, 15, 22, 14, 16, 18, 31, 17, 19, 23, 25, 27, 29, 26, 28, 30, 34, 38, 33, 32, 37, 36, 45, 39, 47, 42, 44, 41, 40, 46, 54, 48, 57, 52, 51, 49, 58], [50, 60, 59, 56, 55]]
78: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6, 4, 9, 8, 1, 11, 25, 10, 12, 14, 15, 31, 16, 22, 19, 18, 17, 26, 20, 23, 24, 27, 29, 28, 47, 30, 41, 34, 38, 33, 36, 32], [45], [39, 37, 46, 44], [40, 42, 54, 49, 59, 48, 51, 50, 55, 52, 58, 56, 57, 60]]
79: [[53, 43, 2, 35, 7], [5, 1], [13, 3], [14, 6, 21, 4, 8, 25, 24, 15, 31, 9, 12, 10, 18, 11, 23, 19, 26, 20], [22, 17, 27, 30, 29, 28, 45, 38, 40, 36, 32, 16, 37, 33, 39, 41], [34, 47, 42, 44, 46, 48, 50, 57, 54, 55, 51, 52], [60, 49, 58, 56, 59]]
80: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [4, 10, 1, 8, 26, 9, 19, 11, 12, 14, 31], [17, 20, 16, 22, 15], [18, 24, 23, 28, 25], [30, 29], [27, 33, 41, 36, 37, 32, 39, 34, 38, 47, 42, 46, 40, 45, 44, 48, 49, 57, 50, 51, 54, 52, 55, 59, 58, 56, 60]]
81: [[53, 43, 2, 35, 7, 1], [3, 13, 21, 6], [5, 4, 11, 12, 9], [24, 10, 8, 15, 30, 23], [25, 18, 20, 14, 16], [19, 22, 17], [26, 27, 28], [29, 44, 31, 40], [33, 37, 32, 34, 38, 36], [39, 42, 45, 47, 46, 41, 54], [51, 50, 52, 49, 55, 48, 59, 56, 57, 58, 60]]
82: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 3, 8, 4, 9, 26], [14, 25, 12, 10, 27, 23], [19, 16, 17, 15, 20], [18, 22, 24, 29, 28], [30, 31, 34, 32, 36], [37, 44, 33, 39, 46, 38, 42, 41, 47, 45, 40, 51, 48, 49, 55], [50, 54], [59, 56, 52], [58, 60, 57]]
83: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 15, 9, 8, 12, 24], [10, 11, 14, 4, 23], [26, 18, 16, 30, 19], [22, 17, 20, 29, 28], [25, 27, 31, 34, 33], [32, 38], [36, 39, 37, 41, 47, 46, 42, 44, 40, 45, 50, 49, 57, 54, 51, 48, 58, 52, 60, 56, 55, 59]]
84: [[53, 43, 2, 35, 7, 5], [11, 13, 21, 6, 1], [8, 3, 4, 25, 24, 10], [12, 9, 14, 28, 15], [17, 18, 19, 22, 23], [16, 20], [26, 27, 29, 31, 30], [33, 34, 32, 38, 36], [37, 39, 40, 44, 42], [45, 41, 47, 46, 48, 49, 50, 52, 51, 55, 57, 54, 58, 60, 56, 59]]
85: [[53, 43, 2, 35, 7], [5, 9, 13], [21, 6, 1, 10, 3], [12, 27, 8, 11, 14, 4, 26, 15, 31], [16, 18, 19, 17, 22, 20, 23, 24, 29, 30, 28, 25, 37, 32, 34, 36], [33, 38, 44, 42, 39, 45], [40, 47, 41, 46, 54, 49, 58, 50, 48, 52, 51, 55], [57, 59, 60, 56]]
86: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 12], [8, 1], [4, 11, 24, 9, 28, 14], [17, 30, 10, 15, 18, 23, 19, 16, 22, 26, 25, 31, 29, 27, 20, 37, 36, 34, 32, 38, 40, 45, 39, 42], [46, 44, 41, 47, 33], [50, 49, 48, 56, 51, 52], [54, 55, 57, 58, 60, 59]]
87: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [1, 4, 9, 8, 11], [26, 14, 12, 10, 15, 23], [18, 19, 17, 16, 22], [20, 24, 25], [31, 27, 28, 29, 30, 33], [40, 32, 37, 34, 36, 45, 38, 41, 42, 39, 44, 46, 47, 50], [49, 59, 52, 51, 55], [48, 54, 58, 56, 57, 60]]
88: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 15, 3, 4, 9], [24, 12, 8, 10, 23], [20, 18, 19, 17, 14], [22, 16], [25, 27, 26, 30, 29, 31, 28], [34, 40, 33, 36, 32, 37, 39, 38, 41, 45, 42, 46, 44, 47, 49], [48, 57, 54, 55, 50, 51, 59, 52, 56, 58, 60]]
89: [[53, 43, 2, 35, 7], [5, 11], [13, 21, 6, 4, 3, 1, 8, 12, 26, 9, 10, 15], [14, 23, 30, 22, 16], [17, 19, 18, 20, 24], [31, 25, 28, 27, 44, 29, 40, 39, 33, 32, 37, 34, 45, 47, 36, 38, 41, 42, 46, 50, 49, 59, 48, 52, 51, 54, 55, 58, 56, 57, 60]]
90: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 4, 9], [1, 6, 12, 24, 26, 11], [10, 8], [15, 23, 14, 17, 18, 30, 16, 20, 19, 27, 25, 29, 22, 28, 31], [32, 37, 34, 33, 36, 38, 39], [42, 41, 40, 46, 45, 47, 44], [54, 48, 57, 49, 51, 50, 58, 52, 56, 59, 55, 60]]
91: [[53, 43, 2, 35, 7, 5, 11], [13, 21, 6, 4, 3], [10, 16, 24, 26, 14], [12, 18, 8, 30, 15], [28, 9, 17, 23, 22, 19, 20], [25, 29, 27, 31, 47, 1, 34], [32, 46, 44, 33, 39], [38, 36, 41, 37, 40, 42, 45, 54, 49, 50, 51], [48, 52, 57, 55, 59, 56, 58, 60]]
92: [[53, 43, 2, 35, 7], [5, 3], [13, 21, 6, 4, 9, 1], [8, 10, 26, 12, 29, 14, 11, 23, 22, 15, 17], [20, 19, 16, 18, 31, 24], [25, 30, 27, 46, 28, 42, 32, 36, 33], [34, 40, 45, 39, 37, 38, 41, 44, 47, 50, 49], [59, 48, 51, 54, 55, 52, 56, 58, 57, 60]]
93: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6], [1, 8, 3, 4, 9, 24], [14, 28, 12, 10, 27, 16], [17, 18, 23, 15, 20], [25, 19, 22, 29, 26, 30], [31, 33, 34, 32, 38], [44, 36, 39, 40, 37], [42, 41], [47, 45, 46, 50, 49], [51, 55, 52, 48, 56], [54, 58, 59, 60, 57]]
94: [[53, 43, 2, 35, 7], [5, 3, 13, 20, 8, 1], [9, 4, 11, 18, 12], [14, 24, 30, 6, 27, 15, 10, 23, 16, 17, 19, 26, 25, 31, 29, 21, 22, 28, 45, 36, 32, 34, 33, 38, 40, 44, 39, 42, 37, 47, 41, 46, 54, 49, 57, 50, 52, 51, 48, 55, 60, 59, 58, 56]]
95: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [4, 11, 8, 1, 26], [30, 9, 12, 15, 27], [28, 10], [19, 17, 20, 14, 18, 16, 23], [22, 25, 31, 29, 47, 24, 46, 33, 32, 36, 39, 37, 34, 41, 38], [44, 40, 42, 45, 52, 49, 57, 50, 51, 48, 54, 55, 59, 56, 58, 60]]
96: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 1, 9], [11, 12, 8, 27, 18], [10, 4, 22, 25, 30, 19], [16, 23, 29, 14, 17, 20, 24, 26, 28, 31, 15], [34, 33, 37, 36, 41], [32, 42, 38, 39, 45, 44], [40, 46, 51, 48, 49, 59], [54, 47, 50, 55, 52], [60, 56, 58, 57]]
97: [[53, 43, 2, 35, 7, 5], [3, 13, 21, 6, 1], [8, 9, 4, 10, 24, 15, 14, 20, 23, 25, 16, 11], [12, 22, 30], [17, 18, 26], [27, 28], [19, 31, 29, 33, 36, 32, 39, 41, 38, 37, 40], [34, 47, 42, 45, 46, 44, 50, 49, 48, 58, 51, 55], [52, 54, 57, 60, 56, 59]]
98: [[53, 43, 3, 35, 1, 2], [9, 13, 21, 6], [4, 5, 10, 7, 17, 24, 11], [28, 8, 18, 23, 15, 20, 16, 12, 14], [26, 19], [22, 25, 27, 30, 29, 31], [33, 34, 32, 41, 38], [36, 39, 44, 37, 42, 46, 40], [45, 47, 54, 48, 58], [49, 52, 55], [50, 51, 56, 57, 59, 60]]
99: [[53, 43, 2, 35, 7], [5, 11, 13, 21, 6, 1], [3, 4, 8, 9, 26, 10], [15, 14, 22, 25, 12, 17], [16, 19, 24, 18, 20], [23, 31, 29, 30, 28, 27], [33, 36, 32], [34, 38, 40, 37, 44], [47, 41, 39, 45, 46, 42], [52, 49, 50, 58, 51, 54], [48, 56, 55, 57, 59, 60]]
100: [[53, 43, 2, 35, 7, 5, 11, 13, 21, 6, 1, 15, 3, 4], [9, 27, 14, 10], [8, 23, 25, 18, 22, 16, 12, 19, 17, 20, 26, 24, 30], [28, 31], [29, 34, 40, 32, 37, 41, 33, 39, 38, 36, 42, 44, 45, 47, 46], [49, 48, 57, 50, 54, 51, 55, 56, 52, 58, 59, 60]]
101: [[53, 43, 2, 35, 7], [5, 3, 13], [21, 6, 1, 15, 12], [8, 26, 9, 4, 10, 11, 14, 19, 31, 20, 17], [18, 24, 22, 16, 23, 25], [28, 27, 30, 29, 39], [38, 36, 34, 32, 37], [45, 42, 41, 33, 40], [47, 46, 44, 48, 49], [58, 54], [51, 52, 50, 60, 55, 59, 57, 56]]
102: [[53, 43, 2, 35, 7], [5, 3, 13, 21, 6], [4, 11, 10, 12, 30], [28, 1, 9, 14, 8], [17, 15, 16, 19, 22], [18, 23, 20, 25, 26], [24, 31, 27, 29, 33, 36], [32, 39, 40, 38, 34, 46], [37, 42, 41, 44, 45, 47], [54, 48], [58, 52, 49, 59], [56, 55, 50, 51, 57, 60]]
103: [[53, 43, 2, 35, 7, 5, 11, 13, 21, 6, 3, 9, 1, 8, 26, 10], [12, 14, 4, 17, 15, 31, 18, 16, 23, 19, 22], [20], [24, 25, 29, 27, 28, 30, 36, 33, 32, 37, 34, 40, 46, 39, 38, 41, 44, 45, 42, 47, 48, 49, 58, 50, 54, 51, 52, 60, 55, 59, 56, 57]]
104: [[53, 43, 3, 39, 7, 5], [2, 13, 21, 6, 1], [12, 8, 4, 11, 26, 9, 10, 30, 23], [15, 14, 16], [17, 22, 29], [20, 18, 19, 27, 24, 28], [25, 31, 32, 33, 34, 36], [44, 38, 47], [40, 35, 42, 37], [45, 41, 46, 50, 49], [48, 56, 51], [55, 52], [54, 57], [59, 58, 60]]
105: [[53, 43, 2, 35, 7], [5, 3, 13, 21], [6, 1, 15, 8, 4], [26, 28, 10, 11, 9], [12, 20, 14, 23, 17], [24, 18, 22, 16, 19], [29, 25], [30, 27, 31, 37, 38, 34], [32, 36, 33, 40, 39, 41], [45, 42, 44, 46, 47], [50, 49], [57, 54, 51, 48, 58, 55], [60, 52, 59, 56]]
106: [[53, 43, 3, 39, 1, 2], [13, 12, 21, 6], [4, 10], [7, 5, 30], [9, 15, 11, 8, 19, 16, 17, 18, 23, 22, 20, 25, 24, 14, 26, 27, 29, 31, 28, 40, 32, 33, 42, 45, 34, 37, 35, 38, 36, 41, 44, 46, 47, 50, 49, 51, 48, 52, 54, 58, 55, 57, 59, 56, 60]]
107: [[53, 43, 2, 35, 7], [5, 3, 13, 1, 6, 15], [11, 4, 9, 24, 8, 26, 12, 16, 14, 28, 10], [18, 25, 22, 17, 23], [19, 20, 31, 27, 30, 21], [45, 29, 46, 36, 39], [41, 32, 33, 34, 37, 42, 40, 38, 44, 47, 50, 49, 59, 48, 52, 55, 60, 54, 56, 57, 58, 51]]
108: [[53, 43, 3, 39, 7], [5, 2, 13], [1, 22, 6, 11, 8, 4, 24, 10, 26, 9, 12, 14, 28, 15, 19, 16, 18, 17, 23, 20, 21, 25, 27, 29, 30, 46, 31, 40, 33, 32, 45, 37, 35, 47, 36, 34, 44, 41, 42, 38, 50, 48, 58, 49, 51, 55, 52, 57, 54, 56, 59, 60]]
109: [[53, 43, 34, 7, 6, 1], [2, 13, 17, 21, 5, 3, 27, 11, 26, 24, 9, 12, 20, 23, 15, 14, 31, 18, 4, 22, 8, 16, 25, 10, 30, 19, 28, 29, 37, 32, 33, 35, 36, 38, 44, 46, 39, 47, 45, 40, 41, 42, 50, 49, 48, 52, 51, 55, 54], [56, 59, 58, 57, 60]]
110: [[53, 43, 2], [35, 7, 5, 3, 13, 21], [6, 1, 9, 12, 8], [26, 4, 18, 11, 14, 10], [30, 19, 15, 17, 23, 20, 16, 22, 25, 27, 31, 24, 29, 28], [38, 41, 36, 34, 32, 33, 47, 42, 37, 39, 40, 45, 44, 46, 48, 51, 59, 52, 50, 54, 55, 60, 49, 57, 56, 58]]
111: [[53, 43, 2, 35, 7], [5, 11, 13, 20, 6], [1, 3, 10, 4, 15, 24], [8, 14, 9, 30, 31, 12, 22], [17], [21, 19, 16, 18, 25], [23, 26, 29, 28], [27, 33, 34, 38, 37, 39, 32], [46, 47, 40, 36, 41, 42], [45, 44, 54, 48, 50, 52, 51, 49, 58], [56, 57, 60, 55, 59]]
112: [[53, 43, 3, 35, 7], [1, 2, 13, 21, 6, 5], [4, 24, 11, 9, 28, 12], [10, 16], [15, 29, 18], [23, 20, 14], [8], [17, 22, 19, 30, 25, 27], [31, 26, 40, 41, 34, 33], [36, 32, 45], [38, 37, 46, 39], [42, 44, 47, 48, 56], [58, 49, 52], [55, 50], [51, 54], [57, 59, 60]]
113: [[53, 43, 3, 35, 2, 5], [11, 13, 22, 7, 4], [1, 9, 6, 30, 25], [8, 16, 14, 10, 28], [12, 19, 26, 15, 23, 17], [21, 18, 20, 31, 24, 29, 58, 27, 32, 37, 34, 36, 33, 39, 45, 40, 46, 41, 44, 42, 38, 48, 47, 56, 50, 54, 52, 51, 49, 59, 57, 55, 60]]
114: [[53, 43], [34, 3, 1, 4, 2], [13, 5, 6, 21], [7, 25, 11, 8, 10, 18], [29, 9], [19, 12, 14], [31, 20, 15], [16], [23, 22, 24, 26, 27, 17], [28, 30, 41, 37, 36], [33, 32, 35, 45, 47, 38], [39, 46, 40, 44, 42, 50, 56, 54, 48, 51, 55, 52, 57, 49], [60, 58, 59]]
115: [[53, 43, 2], [35, 7, 5, 3, 13], [21, 6, 4, 9, 14, 8, 26, 16, 11, 1, 12], [10, 30, 17, 31, 15], [20, 18, 22, 23, 24], [27, 25, 19, 28, 29, 46], [34, 32, 36, 37, 33], [38, 42], [41, 39, 47, 40], [44, 45, 48, 51, 59], [55, 49, 50, 54, 56], [52, 60, 57, 58]]
116: [[53, 43], [34, 3, 1, 2, 7], [13, 5, 6, 20], [4, 27, 10, 9, 11, 12], [29, 8], [18, 15, 14], [16, 19, 17], [21, 23, 22, 24, 25, 26, 31, 30, 28, 32, 38, 35, 33, 42, 37], [45, 39, 36, 41, 47, 40, 46, 44, 50, 49, 54, 48, 51, 52, 55, 57, 58, 59, 56, 60]]
117: [[53, 43, 2, 35, 3], [5, 11, 13, 1, 6, 7], [4, 10, 9, 14, 24], [20, 8, 12, 26, 15], [17, 28, 22, 21, 19, 23, 16, 27], [29, 25], [31, 30, 38, 37, 34], [41, 32, 36, 46], [42, 39, 33, 44, 40, 45], [47, 50], [18, 57, 49, 51, 52, 48, 60, 55, 56, 54, 58, 59]]
118: [[53, 43, 34, 7, 1, 5], [3, 13, 2, 20, 4], [9, 6, 19, 12], [11, 29, 10, 15, 14, 30], [8, 22, 16], [21, 17, 23, 24, 26], [27, 25, 31, 28, 45, 41], [33, 38], [37, 36, 32, 46, 35, 39, 40], [42, 44, 47, 48, 18, 49], [51, 52, 50, 54, 58, 59], [56, 55, 57, 60]]
119: [[53, 43], [34, 7, 1, 5, 11], [13, 2, 6, 17], [4, 3, 12, 9, 10, 8], [29, 14, 19], [15, 20, 31, 16, 18, 21, 22, 23, 25, 27, 24, 28], [26, 30, 42, 32, 33, 39, 38, 36, 46, 35, 37, 40, 41, 44, 45, 47], [50, 49, 48, 51, 52], [55, 54, 57, 56, 59, 58, 60]]
120: [[53, 43], [34, 3, 1, 2, 6], [13, 7, 5, 21], [4, 20, 9], [11, 8, 12], [28, 10, 19], [15, 14], [29, 17, 16, 18, 22, 23], [25, 26, 27, 24], [31, 30, 33, 32], [35, 36, 40, 37, 41, 38], [42, 44, 46], [39, 47], [45, 50], [57, 54, 48, 52, 55], [60, 49, 56, 59, 58, 51]]
121: [[53, 43, 3, 39, 7], [1, 2, 13, 21], [6], [5, 4, 8, 11, 25, 30], [9, 12, 22, 10, 14, 15], [31, 16, 18], [17, 23, 19, 20], [26, 27, 28, 29, 24], [40, 32, 36], [34, 44], [33, 37], [47, 35, 38], [46, 41, 42, 45, 50, 56, 57, 48, 51, 55, 52, 54, 49, 59, 58, 60]]
