0: [[7, 35, 1, 2], [3, 4, 30], [28, 13, 5, 6, 21], [9, 8, 12], [11, 27, 14], [15, 16, 17, 23, 25, 10, 18], [19, 26, 20, 31], [22, 24, 29, 40, 32], [34, 39, 45], [37, 36, 33, 38, 43, 42], [44, 47, 54, 56], [46, 48, 41], [59, 50, 51, 52], [49, 53, 55, 60, 57], [58]]
74: [[7, 2, 35], [1, 3, 4, 30, 28, 13, 21, 5, 6, 24, 10, 14, 9, 12, 8, 11, 15, 17, 18, 22, 16, 20, 19, 23, 25, 27, 26, 31, 29, 36, 37, 33, 32, 38, 39, 46, 44, 34, 41, 42, 45, 43, 40, 47, 48, 51, 49, 55, 50, 52], [53, 54, 57], [56, 58, 59, 60]]
75: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 9, 6, 8, 5, 15, 12, 14, 11, 26], [10, 16, 17, 20, 23, 18, 31, 22, 27, 19, 24, 25, 29, 32], [36, 34, 39, 38, 44, 33, 45, 46, 41, 37, 42, 40, 43, 47, 48, 51], [49, 50, 54, 52], [55, 53, 58, 56, 57, 59, 60]]
76: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 5, 21, 6], [24, 8, 10], [12, 14, 11], [9, 15, 17, 22, 16, 19, 25, 20, 23, 26, 27, 31, 29, 36, 37, 33, 53, 39, 32, 38, 40, 41, 43, 44, 34, 42, 46, 45, 60, 51, 47, 50, 48, 52, 49, 55, 59, 54, 18], [58, 56, 57]]
77: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 5, 6, 8, 11, 9, 10, 14, 12, 19, 15, 16, 18, 20, 17, 26, 22], [27, 23, 29, 25, 31, 24, 40, 36, 32, 37, 34, 47, 33, 42, 38, 39, 41, 43, 45, 46, 44, 48, 55, 51, 49, 50, 53, 52, 54, 56, 59, 57, 58, 60]]
78: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 5, 20, 8, 9, 11, 12, 14, 15, 23, 17, 19, 25, 22, 16, 24, 26, 29, 27, 10, 21, 6], [31, 32, 37, 33, 43], [38, 34, 39, 42, 40, 36, 41, 47, 45, 44, 46, 52, 51, 53, 54, 48, 49, 18], [55, 56, 57, 50, 59, 58, 60]]
79: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 6, 12, 24, 10, 15, 5, 9, 11, 8, 19, 14, 25, 16, 22], [17, 23, 20, 27, 18, 31, 26, 29, 32, 33, 34, 38, 37, 46, 39, 41, 42, 45, 36], [40, 48, 52, 43, 44, 47, 50, 51, 49, 53], [54, 55, 58, 60], [56, 57, 59]]
80: [[7, 2, 35, 1, 3, 4, 30], [28, 13, 21, 5, 14, 6, 10, 8, 24, 11, 12, 29, 20, 9, 15, 16, 18, 23, 17, 22, 19, 25, 27, 26, 31, 32, 36, 34, 37, 33, 41, 38, 39, 42, 43, 45, 44, 46, 40, 47, 48, 49, 51, 50, 52, 55], [54, 53, 59, 56, 58, 57, 60]]
81: [[7, 2, 35, 1, 3], [4, 30, 28, 13, 21, 25, 6, 12, 11, 9, 8, 10, 5, 14, 31, 15, 17, 23, 18, 22, 19, 26, 29, 16, 20, 24, 27, 40, 37, 33, 32, 38, 34, 36, 39, 42, 41, 45, 43, 46, 47, 44, 48, 51, 54, 52, 50, 53, 49, 55, 56], [58, 57, 59, 60]]
82: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 21, 5], [6, 24, 9], [8, 10, 11, 15, 12], [19, 25, 14, 16], [22, 18, 20, 23, 26, 17, 29, 27, 31, 40, 45], [33, 36, 38, 32, 34, 43, 41, 37, 42, 39], [46, 44, 47, 60, 49, 54], [48, 51, 53, 52, 50, 58, 55, 57, 56, 59]]
83: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 5, 6, 24, 11, 14, 9, 8, 12], [10, 26, 23, 18, 15, 17, 16, 20, 19, 22, 31, 25, 29], [27, 40, 37], [33, 32, 38, 44], [36, 45, 34, 39, 42, 41, 43, 46, 47, 48, 49, 55, 51, 50, 52, 53, 54, 56, 59, 57, 58, 60]]
84: [[7, 2, 35, 1], [3, 4], [30, 28], [13, 21, 5, 14, 24, 6, 12, 8, 9, 15], [10, 18, 22, 11, 31, 16, 17, 19, 20, 25], [27, 23, 26, 29, 32, 45, 33, 34, 38, 36, 39, 37, 40, 41, 42, 43, 44, 47, 46, 49, 50, 52, 51, 53, 48, 54, 55, 56, 59, 57, 58, 60]]
85: [[7, 2, 35], [1, 3, 4, 30, 28, 13, 21, 5], [6, 25, 10, 14], [9, 8, 12, 11, 27, 15, 18, 22, 17, 16, 19], [20, 24, 23, 26, 29, 31, 36, 37, 33, 32, 38, 39, 44, 45], [34, 43, 42, 41, 40, 46, 47, 48, 51, 55, 49, 50, 54], [53, 52, 56], [57, 58, 59, 60]]
86: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 5], [16, 9, 6, 11, 8, 14, 10, 12, 17, 15, 23, 22, 20, 18, 19, 21, 29, 25, 27, 24, 31, 26, 32, 34, 42, 38, 33, 46, 39, 40, 47, 36, 37, 41, 43, 60, 45, 52], [59, 49, 50, 48, 53], [51, 44, 55, 58, 57, 54], [56]]
87: [[7, 2, 35, 1, 3, 4, 30, 28, 13, 21, 5, 6, 24, 15], [9, 14, 10, 11, 8, 12, 23, 16, 19, 22, 17, 27, 20, 18, 26, 29, 25, 31, 32], [37, 43, 36, 33, 42, 34, 38, 46, 39, 41], [45, 40, 44, 47, 52], [49, 48, 50, 55, 54, 57, 53, 51, 58, 59, 56], [60]]
88: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 21, 5, 6], [8, 10, 12, 9, 11, 15, 22], [19, 18, 14, 16], [20, 24, 25], [23, 26, 31, 17, 27], [29, 36, 32, 33, 39, 34, 37, 38, 40, 43], [42, 41, 45, 46, 44, 47, 48, 51, 49, 54], [53, 57, 58, 52, 50, 56, 55, 59, 60]]
89: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 21, 5, 6], [8, 10, 12, 9, 11, 15, 22], [19, 18, 14, 16], [20, 24, 25], [23, 26, 31, 17, 27], [29, 36, 32, 33, 39, 34, 37, 38, 40, 43], [42, 41, 45, 46, 44, 47, 48, 51, 49, 54], [53, 57, 58, 52, 50, 56, 55, 59, 60]]
90: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 5, 24, 20, 12], [10, 11, 9, 14], [6, 17, 19, 8, 18, 23, 15, 22, 16, 27, 31, 26, 21, 25, 40, 34, 37, 32, 47, 29], [36, 42, 43, 33, 38, 45, 39, 41, 46, 44, 48, 51, 50, 53, 49, 52, 55, 54, 56], [57, 59, 58, 60]]
91: [[7, 2, 35, 1, 3, 4, 30, 28, 13, 21, 5, 6, 8, 14], [15, 9, 11, 12, 25, 10, 16], [17, 18, 23, 19, 22], [24, 31, 20, 27, 26], [29, 36, 33, 32, 34, 38, 37, 39, 40, 42], [43, 45, 41, 46, 44, 47, 48, 51, 49, 53], [50, 52, 56, 58, 55, 54, 59, 57, 60]]
92: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 5, 6], [25, 11, 14, 15], [8, 9, 10, 19, 22, 12, 18, 17, 16], [23, 20, 24], [26, 27, 31, 29, 32], [37, 33, 34, 38, 36, 44, 39, 43, 45], [42, 40, 41, 47, 46, 49, 51, 54], [53, 50, 52, 48, 55, 57, 58, 56, 59, 60]]
93: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 21, 15, 22, 8], [10, 11, 5, 25, 14, 9, 6, 12, 19], [16, 17, 18, 20, 23], [26, 27], [29, 24, 31], [32, 37, 33, 36, 42, 34], [39, 44, 46, 38, 45, 41, 40, 43, 47, 48, 50, 53, 51], [55, 52, 56, 54, 49, 57, 58, 59, 60]]
94: [[7, 2, 35], [1, 3, 4, 30, 28, 13, 21, 6, 14, 24, 25, 8, 12, 11, 5, 9, 16, 18, 15, 17], [22, 10, 23, 19], [26, 20, 27, 29, 31, 40, 33, 32, 39, 36], [34, 38, 42, 44, 41, 43], [37, 46, 47, 45, 52, 49, 48, 50, 51, 53], [54, 55, 58, 60, 57, 56, 59]]
95: [[7, 2, 35], [1, 3, 4, 30], [28, 13, 21], [5, 6, 10, 11, 8], [9, 14, 12, 31, 18, 15, 19, 17, 16, 20, 23], [22, 24, 27, 25, 26, 29, 32, 36, 34, 39, 33, 38, 47, 43], [46, 37, 44, 40, 42, 41, 45, 48, 49, 53, 50, 51, 52], [55, 54, 57, 56, 59, 58, 60]]
96: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 21, 23, 5], [6, 10, 9], [14, 12, 11, 16, 19], [8, 15, 17, 22, 18, 31, 20], [24, 27, 26, 25, 29, 32, 37, 34, 33, 39], [36, 40, 42, 44, 47, 41, 46, 43], [38], [45, 48, 49, 51, 50, 53, 54, 55, 52, 59, 56, 57, 58, 60]]
97: [[7, 2, 35, 1, 3], [4, 30, 28], [13, 5, 9, 6], [8, 14, 11, 10, 12, 15, 18, 29, 31], [17, 16, 21, 22, 19, 26, 23, 20, 24], [25, 27, 32, 37, 33, 39, 38, 36, 34, 40, 44, 43, 47, 41, 46], [42, 58, 48, 45, 50, 54, 51, 49, 56, 52, 60, 53, 59, 55, 57]]
98: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 21, 6, 22], [26, 10, 9], [14, 5, 11, 8, 19], [12, 15, 18, 20, 17, 23, 24, 16, 27, 29, 31, 25, 32], [33, 34, 37, 39, 38, 36, 43, 47, 46, 41, 42, 40, 44, 45, 52, 51, 50, 53, 54, 48, 49, 58, 55, 56, 57, 59, 60]]
99: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 21, 5, 6], [9, 10, 11, 8, 15, 14, 12], [26, 18, 16, 17, 22], [19, 27, 23], [24, 25, 20, 29], [31, 36, 40, 32], [37, 33, 34, 38, 39, 41], [43, 42], [44, 46, 45, 47, 48], [49, 54, 52], [55], [53, 50, 57, 59, 51, 56, 58, 60]]
100: [[7, 2], [35, 1, 3, 4, 30, 28, 13, 21, 5, 6, 8, 11, 9, 10, 24, 14, 31, 12, 15, 19, 16, 17, 23, 20, 18, 22, 27, 25, 26, 29, 32, 36, 33, 34, 40, 47, 37, 43, 46, 39, 44, 38, 42, 41, 45, 48, 49, 55, 58, 50, 52, 51, 54, 56, 53, 57], [59, 60]]
101: [[7, 2, 35, 1], [3, 4, 30, 28, 13], [21, 5, 31], [6, 10, 12, 8, 14, 15, 9, 11, 20], [17, 18, 16, 19, 22, 23, 24, 27, 25, 26], [29, 32, 37, 33, 36, 34, 39, 47, 41], [38, 40, 45, 43, 46, 42, 44, 48, 51, 53, 54, 50, 49, 52, 57, 60, 56, 58, 55, 59]]
102: [[7, 2], [35, 1, 3, 4, 30, 28, 13, 5, 12, 6, 8, 11, 15, 9, 10, 14, 19, 17, 27, 23, 18, 16, 20, 21, 22, 24, 25, 29, 26, 31, 32, 37, 33, 34, 42, 36, 38, 41, 39, 46, 40, 43, 44, 45, 47, 48, 51, 49, 52, 54, 50, 53, 55, 56, 57, 59], [58, 60]]
103: [[7, 2, 35, 1], [3, 4, 30, 28, 13], [21, 5, 6, 12, 10, 9, 8, 14, 15, 22], [19, 16, 23, 17, 18, 11, 20, 25, 24, 29], [27, 31, 26, 32, 36, 33, 37, 44, 39], [34, 42, 41, 43, 45, 38, 46, 47, 40, 48, 49, 55, 50, 53, 52, 54, 57, 58, 51, 56, 60, 59]]
104: [[7, 2, 35], [1, 3, 4, 30], [28, 13, 21], [5, 6, 10, 8, 15], [12, 9, 11, 26, 14, 20, 17, 16, 22, 18, 25], [27, 24, 23, 31, 19, 29, 32, 36], [34, 37, 38, 47, 39, 41, 46, 33, 42, 43, 44, 40, 45, 56, 51, 49, 50, 52, 48, 54, 55, 58, 57, 53, 59, 60]]
105: [[7, 3, 34, 4], [9, 1, 30, 28, 13, 21, 2, 6, 8, 15, 11, 5, 10, 12, 27, 14, 18, 19, 16, 17, 23, 22, 26, 20, 24, 25, 29, 45, 32, 36, 31, 38, 35, 33, 37, 43, 44, 39, 40, 42, 47, 41, 57], [48, 46, 51, 52, 49, 53, 50, 54, 55, 58, 56, 59, 60]]
106: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 5, 16, 10, 15], [14, 9, 11], [12, 8, 19, 17, 20, 18, 21, 24, 22, 23, 26, 31, 27], [29, 25, 33, 32, 45, 37, 6, 39, 34, 38, 40], [36, 44, 47, 41, 42], [46, 43, 56], [49, 50, 53, 55, 48], [51, 52, 57], [54, 58, 59, 60]]
107: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 5, 10, 9], [14], [17, 6, 12, 11, 15, 8, 16, 18, 22, 19, 20, 23, 25, 21], [27, 26, 24, 29, 31, 32, 41, 42, 37, 36, 47, 39, 33, 40, 43, 34, 44, 51, 52, 38, 60, 45, 46, 53, 50, 49, 55, 57, 48, 56, 59, 58, 54]]
108: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 21, 15, 6, 8, 5, 9], [10, 11, 14, 17], [19, 12], [18, 16], [20, 22, 29, 27, 25, 24, 23], [26, 31, 32, 37, 33, 38, 36, 34, 39, 41, 42, 40, 45, 47, 43, 46, 44, 48, 55, 50, 53, 51, 49, 54, 56, 57, 52, 59, 58, 60]]
109: [[7, 2, 35, 1], [3, 4, 30], [28, 13, 5, 24, 6], [15, 14, 11, 9, 12, 8, 16, 21, 20, 19, 26], [18, 22, 23, 25, 31, 27, 29, 57, 17, 40, 33], [34, 10, 36, 38, 39], [47, 37, 32, 45, 43, 41, 42, 44, 48, 51, 54, 53, 46, 49, 55, 52, 56, 50, 59, 58, 60]]
110: [[7, 2, 35, 1], [3, 4, 30, 28, 13, 5, 8, 6], [9, 10, 14, 12, 15], [11, 26, 16, 18], [25, 19, 20, 22, 27, 23, 24, 21, 17, 31], [29, 32, 34, 33, 37], [39, 38, 36, 40, 45], [43, 41, 42, 46, 44, 47, 52, 51, 49, 58], [48, 53, 50, 54, 59, 55, 57, 60, 56]]
111: [[7, 3, 5, 1], [11, 4, 30], [28, 13, 21], [6, 2, 24, 10, 12], [9, 26, 15, 14, 27, 16, 17, 8, 23], [19, 18, 22, 29, 20, 25, 34, 31, 44, 32], [33, 39, 37, 36, 35, 40, 41, 43, 45], [38, 46, 47, 42, 56, 51, 48, 50, 53, 49, 54, 52, 55, 59, 58, 57, 60]]
112: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 21, 5, 10, 22, 15, 14, 11, 8], [12, 16, 18], [6, 9, 20, 19, 23], [31, 17, 27, 24, 29, 26, 25, 40], [32, 33, 34, 39, 36, 42, 37, 38, 45], [41, 43, 44, 46, 47, 60, 49, 50], [51, 52, 48, 53, 55, 57, 54, 56, 59, 58]]
113: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 5, 10, 6], [20, 11, 14, 9, 8, 12], [19, 17, 15, 23, 26, 16, 18, 21, 22], [27, 25, 31, 29, 24, 40, 37, 33, 34], [42, 32, 36, 43, 39, 47, 41, 38, 46], [45, 44, 48], [51, 53, 54, 49, 50, 52, 55, 56], [57, 59, 58, 60]]
114: [[7, 3, 2, 1], [8, 4, 30, 28], [13, 21, 5, 10, 6, 9, 11], [14, 12, 15, 27], [19, 18, 16, 17], [23, 20, 29, 24, 22, 26, 25, 31, 35, 32, 36, 33, 46, 38, 47, 42, 34, 44, 41, 39], [37, 40, 43, 51, 56, 45, 48, 50, 49, 55, 53, 58, 52, 54, 57, 59, 60]]
115: [[7, 35, 2, 3], [11, 4, 30], [28, 13, 5, 10, 6], [9, 8, 12], [14, 19, 15, 1, 16, 21, 22, 20, 23, 18, 17, 24, 26, 25, 27, 29, 31], [32, 33, 34, 37, 36, 44, 38, 41, 39, 43, 40], [42, 47, 52, 56, 45], [58, 46, 51, 50, 49, 53, 48, 54], [59, 55, 57, 60]]
116: [[7, 34, 33, 3], [1, 4, 30], [28, 13, 21, 5, 14, 16, 11, 12], [8, 10, 6, 9, 18, 15, 19, 17, 20, 2, 23, 22, 29, 24, 26, 25, 31, 44, 32, 27, 38, 35, 39, 37, 47, 41, 40, 42, 43, 46, 45, 36, 48, 51, 49, 54, 57, 53, 50, 52, 60, 59], [56, 55, 58]]
117: [[7, 2, 35, 1, 3, 4, 30, 28, 13], [21, 5, 6, 8, 10, 9, 12, 11, 14], [15, 19, 16, 18, 31, 20, 17, 25, 23, 24], [22, 26, 27, 29, 32], [36, 43, 38, 33, 34, 41, 39, 42, 45, 40], [37, 46, 44, 47, 56, 55, 51, 50, 52, 49], [54, 48, 58, 53, 59, 57, 60]]
118: [[7, 2, 3, 1], [10, 4, 30, 28], [13, 5, 6, 21, 14], [12, 15, 9], [17, 8, 11], [16, 27, 23, 29, 20, 18], [19, 26, 22, 24], [31, 32, 57, 40, 37], [25, 33, 36], [34, 44, 35, 39, 43, 38], [41, 45, 46, 60], [42, 48, 47], [55, 50, 51, 52], [49, 53, 54, 56, 59], [58]]
119: [[7, 2, 35, 1], [3, 4, 30, 28], [13, 5, 20, 6, 24], [11, 9, 12], [10, 8, 14, 31, 25], [17, 22, 15], [18, 27, 19, 21, 16, 23, 26, 29], [40, 36, 32, 34, 37, 38], [33, 39, 41, 46, 45, 43, 42, 47, 44], [56, 49, 52, 54, 50, 48], [53, 51, 55, 59, 57, 58, 60]]
120: [[7, 2, 35, 1, 3, 4, 30, 28], [13, 5, 8, 6], [9, 10, 15, 12, 14, 11, 18], [26, 22, 19, 16], [20, 21, 25], [23, 24, 27, 17, 31, 29, 36, 33, 32], [39, 34, 38, 37], [40, 42, 43, 41, 45, 46, 44, 47, 60, 55, 53, 48, 49, 51, 54, 52, 50, 59, 57, 58, 56]]
121: [[7, 34, 33, 1], [3, 4, 30], [28, 13, 5, 2, 21], [14, 8, 12], [11, 6, 9, 24, 16, 29, 19, 27, 18, 10, 15, 17, 20, 22, 23, 26, 25, 32, 36, 50], [42, 39, 37, 44, 31, 38, 43, 46, 35, 41, 40, 56, 45, 49, 54, 55, 47, 51, 52], [48, 60, 53, 57, 59], [58]]
