0: [[20], [18, 53, 13, 23], [24, 1], [35, 2, 4, 43, 12, 22], [27], [47, 75], [3, 34], [6, 5], [7], [19], [57], [25, 14, 15], [81, 17, 16, 21], [26, 11, 50], [28, 31, 32, 29], [30, 56, 59, 33], [37, 40, 36], [38], [9, 42], [44, 39, 8], [45, 41, 46, 60], [48, 61], [51, 54, 52, 49], [58, 55, 62], [63], [64], [66, 78], [71, 67, 68], [65], [69, 76, 77, 10], [70, 73, 72, 83, 82], [74, 79], [85], [80, 84, 87], [86, 88]]
51: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 11, 7, 8, 25, 9, 14, 12, 15, 18, 13, 16], [17, 19, 20, 26, 21, 29, 27, 58, 28, 63, 46, 31, 30, 41, 43, 53, 56, 50, 35, 32, 33, 34, 38], [40, 37, 39, 45, 62, 42, 49, 44, 52, 47, 48, 51, 55, 59, 54, 57, 60, 61, 66, 65, 68, 64, 10], [74, 67, 73, 76, 69, 70, 78, 71, 72, 77, 75, 79, 83, 80, 82, 84, 81, 86, 87, 85, 88]]
52: [[36, 6, 22, 23, 24, 9, 2, 10, 5, 1, 3, 7, 15, 12, 8, 11, 14, 4, 56, 31, 16, 19, 13], [55, 17, 20, 28, 29, 21, 25, 18, 26, 27, 41, 59, 30, 40, 53, 32, 48, 35, 33, 47, 39], [37, 38, 42, 34, 46, 44, 61, 45, 43, 49, 52, 50, 54, 51, 57, 62, 58, 60, 63, 65, 68, 69, 66], [67, 64, 70, 76, 72, 78, 75, 71, 74, 73, 77, 79, 83, 81, 80, 88, 87, 82, 86, 85, 84]]
53: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 11, 12, 8, 14, 10, 29, 9, 13, 30, 16, 15], [17, 21, 19, 20, 31, 18, 26, 27, 25, 55, 51, 54, 28, 37, 56, 46, 63, 34, 49, 33, 32], [45, 44, 42, 43, 35, 38, 39, 47, 40, 41, 52, 53, 48, 50, 57, 62, 60, 59, 58, 61, 65, 64, 73, 67], [69, 74, 66, 71, 68, 76, 78, 79, 70, 72, 77, 83, 82, 75, 80, 84, 85, 81, 87, 86, 88]]
54: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 12, 25, 14, 8, 10, 13, 9, 16, 15, 19, 18, 57], [17, 20, 21, 26, 27, 30, 29, 28, 31, 35, 47, 43, 37, 62, 38, 59, 34, 32, 33, 40, 41, 11], [39, 46, 45, 54, 42, 56, 48, 44, 49, 55, 50, 51, 52, 60, 53, 63, 61, 58, 67, 64, 82, 73], [66, 69, 70, 68, 65, 72, 79, 78, 77, 74, 75, 83, 86, 76, 81, 71, 80, 85, 87, 84, 88]]
55: [[36, 6, 22, 23, 24, 3, 5, 2, 1, 4, 7, 13, 8, 14, 10, 11, 9, 12, 15, 30, 25], [16, 17, 19, 18, 21, 20, 26, 27, 28, 29, 56, 58, 33, 42, 32, 61, 34, 59, 43, 31, 45, 35, 39], [38, 41, 44, 40, 49, 37, 50, 55, 57, 46, 52, 60, 47, 51, 53, 48, 54, 63, 62, 66, 65, 64, 72], [74, 68, 70, 69, 71, 67, 73, 77, 80, 78, 76, 75, 86, 79, 81, 84, 83, 82, 85, 87, 88]]
56: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 7, 8, 9, 28, 11, 10, 12, 20, 27, 14, 25], [17, 34, 21, 29, 18, 19, 15, 55, 16, 51, 60, 30, 44, 26, 40, 42, 41, 54, 37, 31, 48, 32, 39], [45, 33, 43, 35, 46, 47, 50, 52, 38, 53, 56, 49, 57, 62, 63, 58, 59, 61, 70, 64, 65, 67], [68, 76, 72, 79, 77, 66, 71, 69, 74, 75, 73, 83, 78, 81, 80, 85, 82, 87, 84, 86, 88]]
57: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 11, 7, 12, 8, 9, 10, 28, 14, 13, 15, 16, 25], [17, 18, 21, 26, 48, 27, 19, 31, 20, 29, 53, 35, 39, 45, 38, 42, 40, 30, 32, 34, 44, 41, 33], [47, 43, 46, 56, 60, 50, 49, 59, 37, 57, 51, 54, 52, 63, 55, 58, 61, 62, 66, 68, 80, 65], [78, 64, 71, 72, 69, 70, 67, 73, 75, 74, 76, 77, 87, 79, 81, 83, 82, 86, 84, 85, 88]]
58: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 9, 13, 11, 8, 10, 12, 15, 14, 17, 25, 42, 16], [29, 19, 18, 20, 21, 57, 26, 58, 27, 37, 59, 61, 28, 34, 47, 43, 30, 62, 40, 44, 31, 32], [33, 45, 52, 50, 53, 56, 35, 38, 54, 51, 48, 39, 55, 41, 46, 63, 49, 60, 67, 64, 65, 71], [78, 69, 72, 77, 66, 68, 70, 74, 73, 76, 79, 75, 83, 81, 80, 86, 82, 84, 85, 87, 88]]
59: [[36, 6, 22, 23, 24, 9, 5, 2, 1, 4, 7, 13, 3, 11, 8, 16, 25, 31, 10, 12, 15, 14, 18], [21, 17, 20, 30, 19, 26, 60, 27, 62, 56, 28, 41, 42, 29, 58, 46, 32, 39, 33, 34, 51, 37], [35, 38, 44, 43, 40, 55, 47, 53, 48, 45, 50, 54, 63, 49, 52, 57, 61, 59, 64, 67, 66, 70], [65, 76, 68, 71, 74, 75, 79, 69, 77, 78, 73, 80, 84, 81, 72, 86, 83, 82, 87, 85, 88]]
60: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 11, 7, 8, 12, 13, 9, 29, 14, 47, 10, 18, 15, 17], [19, 20, 31, 16, 21, 27, 25, 62, 26, 42, 43, 30, 32, 34, 50, 28, 33, 61, 37, 35, 38, 39], [40, 46, 49, 53, 45, 41, 44, 48, 52, 58, 51, 55, 56, 59, 60, 54, 57, 63, 67, 64, 68, 66], [69, 71, 78, 65, 70, 74, 72, 76, 73, 77, 79, 75, 83, 80, 82, 85, 84, 81, 87, 86, 88]]
61: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 3, 4, 12, 15, 13, 8, 7, 11, 27, 17, 16, 20, 49, 25], [21, 19, 18, 26, 28, 30, 29, 58, 51, 31, 60, 59, 10, 40, 46, 32, 35, 14, 41, 45], [39, 43, 38, 33, 47, 34, 37, 42, 44, 48, 50, 53, 54, 52, 55, 56, 61, 62, 57, 63, 65, 69, 64, 72], [71, 66, 70, 68, 79, 67, 74, 76, 77, 73, 75, 78, 82, 80, 85, 81, 83, 86, 87, 84, 88]]
62: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 7, 12, 11, 10, 3, 13, 26, 29, 14, 15, 17, 8], [16, 59, 18, 20, 19, 21, 27, 28, 30, 31, 25, 62, 41, 38, 54, 52, 40, 32, 51, 33, 35, 34, 42], [39, 37, 43, 56, 44, 61, 45, 47, 46, 48, 49, 50, 53, 57, 55, 63, 58, 60, 66, 68, 64, 67], [65, 69, 72, 78, 70, 71, 76, 73, 74, 79, 75, 77, 82, 81, 80, 87, 86, 83, 84, 85, 88]]
63: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 13, 14, 9, 8, 10, 29, 11, 12, 15, 16, 17, 25, 18], [19, 20, 21, 28, 26, 59, 27, 35, 30, 58, 31, 37, 32, 63, 62, 34, 38, 39, 33, 41, 47], [46, 49, 42, 44, 43, 45, 40, 48, 51, 53, 50, 54, 52, 55, 60, 56, 61, 57, 65, 68, 67, 73], [69, 74, 64, 71, 77, 70, 78, 72, 66, 75, 79, 83, 82, 81, 80, 85, 76, 84, 87, 86, 88]]
64: [[36, 6, 22, 23, 24, 9, 1, 32, 13, 3, 5, 4, 15, 7, 10, 11, 8, 12, 14, 25, 29, 16], [49, 17, 31, 18, 19, 26, 28, 20, 27, 21, 38, 54, 35, 30, 50, 33, 43, 42, 40, 41, 45, 44], [34, 37, 57, 46, 39, 55, 47, 48, 53, 52, 59, 51, 63, 61, 62, 58, 56, 60, 64, 2, 65, 68, 70], [74, 69, 67, 66, 71, 78, 72, 75, 73, 76, 77, 87, 82, 81, 79, 83, 80, 86, 85, 84, 88]]
65: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 7, 8, 15, 9, 10, 11, 14, 29, 12, 26], [18, 17, 16, 21, 19, 20, 25, 27, 30, 31, 51, 47, 32, 33, 28, 35, 37, 34, 40, 41, 39, 45, 42], [46, 43, 38, 55, 44, 57, 58, 52, 63, 48, 53, 49, 54, 60, 50, 56, 62, 59, 61, 66, 65, 69, 68], [67, 72, 79, 71, 64, 70, 73, 74, 77, 75, 76, 78, 82, 83, 80, 84, 81, 85, 86, 87, 88]]
66: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 7, 8, 28, 9, 14, 11, 10, 15, 12, 16, 18], [17, 19, 20, 21, 25, 29, 30, 58, 37, 62, 27, 26, 38, 31, 53, 33, 51, 35, 32, 60, 34, 42, 40], [41, 43, 44, 61, 47, 45, 50, 39, 46, 63, 52, 49, 48, 59, 54, 55, 56, 57, 64, 70, 65, 68], [74, 67, 66, 76, 73, 69, 78, 72, 71, 75, 77, 79, 82, 81, 80, 86, 83, 88, 87, 85, 84]]
67: [[36, 6, 22, 23, 24, 3, 1, 2, 7, 4, 10, 11, 9, 12, 21, 5, 30, 14, 13, 15, 17, 49, 16], [25, 19, 28, 20, 31, 58, 26, 60, 62, 8, 29, 27, 18, 35, 39, 33, 41, 37, 43, 34, 38], [32, 40, 42, 46, 47, 44, 45, 50, 55, 51, 53, 57, 52, 56, 48, 54, 63, 59, 87, 67, 64, 65, 61], [76, 66, 71, 73, 68, 78, 72, 69, 74, 75, 77, 70, 79, 81, 80, 84, 82, 85, 83, 86, 88]]
68: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 11, 14, 10, 12, 26, 8, 9, 13, 31, 15, 27, 16], [18, 20, 17, 21, 19, 25, 30, 52, 29, 58, 33, 35, 45, 63, 7, 42, 38, 32, 39, 28, 41, 34, 37], [40, 44, 46, 43, 47, 50, 55, 53, 49, 51, 56, 61, 48, 54, 57, 59, 60, 62, 65, 66, 68, 69], [64, 70, 67, 73, 76, 71, 74, 72, 75, 77, 78, 79, 82, 83, 84, 80, 85, 86, 81, 87, 88]]
69: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 11, 10, 13, 7, 8, 9, 14, 30, 12, 15, 17, 51, 26], [16, 53, 18, 29, 19, 20, 21, 59, 27, 25, 31, 34, 28, 33, 39, 35, 46, 57, 32, 37, 41, 38, 42], [43, 47, 44, 49, 40, 45, 52, 48, 50, 61, 54, 55, 60, 56, 58, 62, 63, 67, 68, 65, 64], [69, 77, 66, 76, 79, 71, 70, 78, 75, 72, 73, 74, 86, 80, 81, 82, 83, 85, 87, 84, 88]]
70: [[36, 6, 22, 23, 24, 3, 1, 2, 7, 4, 10, 13, 11, 9, 8, 26, 14, 16, 12, 5, 15, 20, 19], [25, 17, 30, 21, 27, 29, 28, 31, 47, 61, 18, 37, 38, 35, 40, 44, 58, 56, 32, 33], [39, 41, 45, 60, 34, 43, 42, 48, 52, 50, 54, 51, 46, 53, 59, 55, 49, 62, 57, 63, 65, 68, 64, 66], [69, 67, 71, 76, 72, 78, 79, 75, 73, 70, 74, 77, 80, 82, 81, 86, 83, 85, 84, 87, 88]]
71: [[36, 6, 22, 23, 24, 3, 5, 2, 1, 4, 7, 13, 11, 8, 9, 14, 10, 15, 17, 12, 25, 28, 19], [20, 21, 18, 16, 26, 30, 29, 31, 58, 63, 35, 39, 27, 34, 42, 40, 32, 55, 41, 46, 33, 38], [43, 45, 44, 54, 47, 37, 48, 57, 49, 56, 52, 61, 51, 50, 53, 59, 60, 62, 66, 68, 80, 76], [73, 64, 67, 71, 70, 65, 74, 77, 82, 69, 72, 79, 75, 78, 85, 81, 83, 84, 86, 87, 88]]
72: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 11, 3, 12, 15, 7, 8, 10, 13, 57, 14, 16, 49, 18], [21, 20, 17, 58, 25, 19, 26, 29, 56, 27, 40, 46, 30, 28, 37, 62, 34, 33, 45, 41, 31, 32], [39, 35, 44, 38, 53, 43, 47, 61, 55, 42, 48, 51, 52, 50, 54, 59, 63, 60, 64, 69, 66, 65], [77, 68, 71, 70, 75, 72, 74, 78, 73, 76, 67, 79, 82, 81, 86, 80, 83, 85, 84, 87, 88]]
73: [[36, 6, 22, 23, 24, 3, 1, 2, 7, 4, 10, 11, 9, 13, 5, 8, 31, 12, 59, 14, 20], [16, 19, 15, 18, 29, 17, 25, 58, 26, 28, 62, 40, 21, 27, 30, 34, 55, 37, 45, 33, 35, 41, 38, 32], [39, 42, 48, 43, 44, 46, 50, 51, 47, 53, 56, 57, 49, 52, 54, 63, 60, 86, 67, 64, 66, 65], [76, 61, 75, 68, 70, 78, 77, 73, 71, 74, 72, 69, 79, 81, 80, 84, 83, 82, 85, 87, 88]]
74: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 3, 11, 7, 4, 26, 14, 8, 56, 12, 20, 13, 28], [29, 10, 18, 15, 19, 50, 21, 58, 16, 17, 25, 27, 30, 42, 59, 47, 46, 32, 48, 34, 33, 37, 35], [39, 45, 41, 49, 40, 44, 43, 63, 53, 38, 54, 51, 52, 55, 57, 62, 60, 61, 31, 81, 64, 65, 70], [69, 68, 76, 73, 75, 66, 79, 71, 67, 72, 78, 74, 77, 82, 80, 84, 87, 83, 86, 85, 88]]
75: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 3, 11, 7, 4, 26, 14, 8, 56, 12, 20, 13, 28], [29, 10, 18, 15, 19, 50, 21, 58, 16, 17, 25, 27, 30, 42, 59, 47, 46, 32, 48, 34, 33, 37, 35], [39, 45, 41, 49, 40, 44, 43, 63, 53, 38, 54, 51, 52, 55, 57, 62, 60, 61, 31, 81, 64, 65, 70], [69, 68, 76, 73, 75, 66, 79, 71, 67, 72, 78, 74, 77, 82, 80, 84, 87, 83, 86, 85, 88]]
76: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 9, 15, 8, 13, 7, 11, 12, 14, 21, 20, 31, 18, 16], [17, 10, 25, 19, 26, 56, 58, 29, 28, 45, 27, 30, 35, 32, 50, 41, 40, 34, 39, 38, 44, 37, 46], [42, 62, 43, 33, 51, 49, 47, 52, 55, 53, 48, 59, 54, 57, 61, 60, 63, 65, 66, 67, 74], [68, 71, 64, 69, 73, 70, 72, 78, 76, 75, 77, 79, 82, 81, 83, 87, 85, 80, 88, 84, 86]]
77: [[36, 6, 22, 23, 24, 11, 1, 2, 4, 8, 10, 5, 13, 7, 9, 12, 17, 14, 15, 18, 20, 30, 19], [60, 16, 21, 27, 25, 58, 28, 26, 31, 44, 34, 43, 40, 33, 59, 41, 35, 3, 42, 39, 45, 29], [38, 37, 51, 46, 47, 49, 57, 32, 50, 48, 52, 53, 55, 61, 56, 54, 62, 63, 66, 64, 70, 65], [68, 75, 73, 69, 74, 71, 76, 67, 79, 77, 78, 72, 85, 86, 80, 82, 81, 83, 84, 87, 88]]
78: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 7, 3, 4, 14, 13, 8, 10, 11, 12, 15, 26, 21, 51, 16], [17, 27, 18, 25, 29, 53, 19, 58, 20, 28, 45, 30, 31, 33, 62, 57, 42, 32, 34, 39, 35], [37, 38, 41, 43, 40, 47, 46, 44, 48, 49, 50, 52, 54, 55, 56, 59, 60, 61, 63, 66, 64, 72, 65], [69, 75, 70, 67, 77, 68, 76, 78, 73, 74, 79, 71, 82, 81, 84, 80, 83, 85, 87, 86, 88]]
79: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 13, 12, 11, 9, 15, 10, 26, 29, 16, 30, 8], [18, 25, 21, 27, 14, 17, 19, 28, 20, 59, 57, 31, 49, 40, 41, 39, 33, 35, 42, 34, 32, 46, 37], [38, 43, 50, 45, 51, 54, 44, 47, 53, 48, 52, 62, 55, 56, 58, 61, 60, 63, 67, 64, 68, 78], [66, 74, 77, 71, 65, 69, 70, 73, 75, 72, 76, 79, 84, 88, 81, 86, 82, 87, 83, 80, 85]]
80: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 11, 14, 12, 7, 26, 8, 9, 10, 15, 20, 27, 16, 13], [18, 17, 21, 19, 30, 25, 28, 31, 56, 32, 33, 40, 60, 29, 34, 54, 43, 39, 45, 41, 35, 42, 47], [44, 46, 49, 37, 50, 55, 61, 51, 38, 52, 57, 48, 53, 58, 59, 62, 63, 67, 64, 68, 65], [66, 70, 69, 73, 77, 71, 72, 74, 75, 76, 78, 79, 86, 81, 80, 82, 85, 84, 83, 87, 88]]
81: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 9, 15, 7, 10, 44, 8, 29, 14, 11, 12, 56], [19, 18, 57, 17, 16, 31, 20, 30, 26, 33, 21, 27, 25, 28, 53, 34, 35, 37, 38, 43, 42, 32], [40, 39, 50, 62, 41, 45, 46, 47, 63, 60, 49, 48, 51, 55, 54, 58, 52, 59, 61, 64, 67, 72, 68], [75, 70, 74, 65, 69, 66, 78, 71, 73, 79, 76, 77, 85, 80, 81, 82, 87, 83, 84, 86, 88]]
82: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 7, 10, 12, 13, 3, 8, 11, 29, 33, 18, 17, 40], [21, 31, 16, 26, 14, 20, 15, 19, 25, 27, 61, 44, 63, 28, 34, 39, 30, 38, 37, 32, 41], [43, 35, 47, 46, 42, 48, 52, 45, 62, 55, 56, 50, 59, 54, 49, 51, 60, 53, 57, 58, 67, 64, 65, 77], [66, 72, 78, 70, 73, 75, 68, 69, 74, 76, 79, 82, 71, 81, 80, 83, 84, 86, 85, 87, 88]]
83: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 10, 7, 9, 15, 11, 12, 8, 13, 17, 18, 20, 19], [16, 29, 25, 50, 21, 28, 26, 27, 61, 40, 38, 53, 62, 45, 30, 46, 48, 43, 33, 39, 31, 34], [42, 32, 35, 37, 41, 47, 44, 57, 49, 51, 52, 58, 54, 63, 60, 55, 56, 59, 66, 65, 68, 64], [67, 71, 70, 73, 69, 74, 75, 78, 76, 77, 72, 79, 84, 80, 85, 81, 83, 82, 87, 86, 88]]
84: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 15, 7, 8, 10, 9, 11, 12, 14, 43, 13, 18, 19], [25, 48, 16, 21, 26, 28, 29, 20, 52, 17, 59, 57, 27, 30, 62, 34, 58, 31, 37, 41, 38, 46], [44, 35, 42, 39, 32, 33, 61, 40, 45, 50, 51, 49, 47, 53, 55, 56, 60, 63, 54, 66, 67, 72, 64], [69, 65, 78, 68, 75, 73, 71, 70, 74, 77, 76, 79, 83, 81, 80, 85, 82, 88, 87, 84, 86]]
85: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 4, 13, 3, 7, 8, 12, 59, 10, 25, 26, 11], [28, 56, 14, 30, 48, 18, 20, 27, 16, 15, 17, 47, 57, 43, 37, 19, 33, 35, 39, 46, 58, 32, 21, 29, 31], [45, 34, 38, 40, 41, 42, 62, 44, 52, 49, 50, 53, 51, 54, 55, 60, 61, 63, 64, 70, 65, 66], [69, 67, 68, 71, 76, 74, 75, 73, 77, 72, 78, 79, 84, 81, 82, 80, 83, 86, 85, 87, 88]]
86: [[36, 6, 22, 23, 24, 3, 16, 2, 5, 4, 7, 9, 15, 1, 29, 8, 10, 30, 13, 12, 17, 11, 26], [25, 14, 19, 20, 21, 27, 31, 28, 33, 34, 47, 59, 18, 56, 51, 37, 48, 38, 39, 32, 35, 40], [41, 43, 42, 50, 62, 46, 44, 49, 45, 53, 52, 57, 61, 54, 55, 60, 58, 67, 65, 68, 85, 70], [63, 66, 69, 75, 73, 64, 71, 77, 72, 76, 74, 78, 87, 82, 80, 86, 79, 81, 83, 84, 88]]
87: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 10, 9, 8, 12, 59, 14, 13, 11, 15, 16, 20], [18, 21, 17, 19, 25, 27, 63, 29, 60, 35, 54, 26, 61, 28, 48, 34, 50, 33, 38, 40, 56, 30], [44, 39, 41, 42, 46, 55, 31, 32, 47, 45, 37, 51, 58, 52, 43, 49, 62, 53, 57, 64, 70, 66, 65], [79, 72, 74, 75, 69, 67, 68, 78, 73, 77, 71, 76, 81, 82, 80, 83, 87, 85, 86, 84, 88]]
88: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 3, 15, 4, 7, 13, 8, 11, 10, 21, 14, 12, 16, 43, 18], [20, 19, 17, 28, 25, 58, 27, 30, 26, 56, 60, 59, 45, 41, 51, 57, 34, 29, 32, 33, 35, 38], [39, 46, 47, 31, 37, 40, 44, 49, 42, 48, 50, 54, 55, 63, 52, 53, 61, 62, 65, 64, 72, 70], [69, 76, 66, 78, 71, 68, 67, 74, 73, 75, 77, 79, 84, 81, 80, 85, 83, 82, 86, 87, 88]]
89: [[36, 6, 22, 23, 24, 3, 1, 2, 7, 4, 33, 13, 9, 15, 8, 10, 12, 5, 11, 14, 16, 28, 49, 19], [17, 18, 26, 21, 58, 30, 20, 25, 61, 27, 45, 29, 40, 31, 50, 32, 39, 37, 41, 34], [38, 44, 46, 56, 42, 54, 43, 48, 47, 63, 35, 51, 52, 57, 53, 55, 59, 60, 62, 68, 64, 66, 65], [71, 72, 87, 69, 76, 67, 74, 78, 75, 70, 73, 77, 81, 85, 80, 84, 79, 82, 83, 86, 88]]
90: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 12, 13, 11, 8, 9, 25, 14, 30, 16, 20, 15], [17, 18, 19, 21, 26, 31, 27, 29, 28, 10, 59, 33, 56, 38, 32, 35, 42, 47, 39, 41, 37, 43], [45, 44, 46, 34, 55, 63, 40, 54, 49, 58, 50, 52, 48, 57, 51, 62, 53, 60, 61, 66, 67, 65, 64], [68, 71, 75, 72, 77, 73, 69, 70, 76, 78, 74, 87, 83, 81, 80, 84, 79, 82, 86, 85, 88]]
91: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 15, 7, 8, 10, 25, 9, 12, 14, 43, 13, 11, 50], [17, 48, 16, 29, 18, 20, 19, 21, 26, 49, 46, 61, 57, 44, 38, 27, 40, 39, 28, 30, 31, 62], [34, 35, 42, 37, 32, 33, 41, 47, 45, 54, 51, 52, 55, 53, 58, 56, 59, 60, 63, 66, 67, 72, 64], [69, 78, 74, 77, 65, 70, 71, 68, 79, 75, 76, 73, 84, 81, 80, 85, 82, 86, 83, 87, 88]]
92: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 8, 12, 9, 14, 10, 13, 11, 19, 26, 25, 16, 17], [21, 30, 18, 31, 20, 28, 37, 41, 59, 29, 27, 33, 47, 15, 34, 40, 38, 32, 63, 44, 50, 46, 43], [35, 42, 54, 45, 48, 52, 55, 39, 62, 53, 56, 60, 61, 49, 58, 51, 57, 66, 68, 65, 67], [69, 64, 71, 79, 73, 70, 75, 74, 83, 72, 76, 77, 81, 78, 80, 85, 82, 84, 87, 86, 88]]
93: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 11, 7, 17, 9, 25, 14, 8, 15, 16, 18, 10, 12, 13], [19, 21, 20, 26, 28, 27, 30, 60, 63, 31, 50, 52, 40, 35, 47, 34, 39, 46, 33, 29, 32, 38], [37, 43, 42, 41, 44, 45, 57, 58, 49, 48, 51, 53, 54, 55, 59, 62, 56, 61, 66, 65, 68, 64], [67, 71, 69, 77, 73, 70, 78, 75, 74, 76, 72, 79, 83, 80, 82, 84, 81, 85, 87, 86, 88]]
94: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 11, 14, 8, 7, 9, 12, 10, 17, 27, 13, 15, 50, 16], [25, 21, 19, 18, 20, 57, 29, 28, 58, 45, 26, 30, 41, 48, 37, 33, 34, 35, 31, 47, 40, 43, 32], [55, 53, 38, 42, 39, 51, 44, 46, 49, 52, 54, 56, 60, 59, 62, 61, 63, 66, 68, 80, 64], [67, 65, 79, 73, 72, 69, 71, 70, 74, 75, 76, 77, 78, 81, 85, 87, 82, 84, 86, 83, 88]]
95: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 13, 7, 9, 12, 10, 15, 11, 8, 28, 30, 25, 17, 18], [16, 21, 19, 29, 20, 26, 53, 31, 58, 27, 59, 41, 47, 35, 34, 32, 37, 14, 33, 49, 38, 46], [39, 42, 40, 44, 43, 45, 62, 55, 50, 56, 60, 52, 48, 51, 54, 63, 57, 61, 64, 67, 65, 69], [66, 68, 74, 77, 70, 71, 79, 73, 81, 76, 75, 72, 83, 78, 80, 84, 82, 86, 85, 87, 88]]
96: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 7, 8, 9, 13, 4, 10, 14, 11, 12, 15, 18, 20, 16], [17, 21, 19, 25, 26, 28, 30, 27, 60, 41, 55, 29, 33, 42, 51, 32, 45, 35, 39, 37, 57, 31, 52], [43, 34, 40, 62, 47, 38, 44, 50, 46, 48, 54, 56, 49, 53, 58, 61, 59, 81, 65, 72, 66, 68], [75, 64, 63, 67, 76, 79, 69, 73, 82, 77, 74, 71, 83, 70, 80, 86, 78, 85, 87, 84, 88]]
97: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 14, 10, 28, 9, 11, 13, 27, 7, 12, 8, 15, 19], [17, 16, 18, 20, 25, 30, 48, 59, 21, 37, 29, 50, 63, 40, 26, 31, 32, 34, 38, 39, 42, 41, 33], [43, 35, 44, 45, 54, 46, 47, 53, 49, 56, 51, 62, 52, 57, 55, 58, 61, 60, 67, 68, 80, 64], [66, 74, 78, 77, 65, 69, 79, 70, 71, 72, 75, 73, 76, 81, 84, 83, 82, 86, 85, 87, 88]]
98: [[36, 6, 22, 23, 24, 9, 1, 2, 13, 4, 7, 5, 11, 10, 12, 16, 8, 14, 29, 15, 19, 17], [49, 20, 25, 27, 30, 28, 26, 18, 44, 53, 46, 50, 37, 31, 60, 32, 35, 33, 43, 34, 41, 38], [42, 47, 59, 39, 40, 45, 55, 48, 57, 52, 51, 56, 54, 58, 61, 66, 62, 63, 21, 3, 68, 64, 76], [75, 70, 69, 71, 72, 78, 73, 65, 88, 79, 74, 67, 83, 82, 80, 77, 81, 84, 86, 85, 87]]
99: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 7, 13, 10, 9, 14, 8, 12, 15, 56, 11], [18, 20, 17, 21, 19, 27, 29, 28, 60, 31, 25, 46, 26, 30, 16, 39, 32, 45, 42, 33, 38, 35, 44, 34], [37, 43, 41, 40, 47, 61, 51, 50, 49, 52, 55, 57, 63, 48, 53, 54, 58, 62, 59, 64, 65, 83, 66], [68, 71, 72, 69, 77, 74, 70, 75, 67, 73, 76, 78, 79, 81, 82, 84, 80, 85, 86, 87, 88]]
100: [[36, 6, 22, 23, 24, 3, 1, 2, 5, 4, 15, 7, 9, 11, 8, 10, 25, 13, 14, 16, 17, 26, 20], [59, 27, 18, 19, 28, 21, 29, 31, 52, 30, 32, 33, 50, 57, 49, 41, 38, 51, 40, 34, 37, 39], [45, 44, 35, 46, 42, 43, 54, 55, 58, 56, 60, 62, 47, 53, 48, 61, 63, 69, 66, 64, 12, 65], [67, 68, 74, 71, 70, 78, 75, 79, 76, 72, 73, 83, 82, 77, 80, 81, 86, 85, 87, 84, 88]]
101: [[36, 6, 22, 23, 24, 9, 1, 2, 5, 3, 4, 7, 8, 28, 11, 10, 14, 12, 13, 17, 18, 21, 25], [15, 16, 26, 19, 58, 29, 31, 20, 27, 53, 30, 42, 60, 54, 33, 34, 32, 55, 37, 38, 39, 47], [43, 41, 44, 45, 46, 62, 40, 49, 57, 48, 35, 59, 52, 50, 56, 61, 51, 63, 67, 64, 65, 76], [66, 69, 75, 77, 70, 68, 71, 74, 78, 72, 73, 79, 81, 80, 83, 85, 82, 84, 87, 86, 88]]
