0: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7, 35, 2], [17, 43, 56, 55, 1, 13, 14, 11, 8, 50, 6, 21], [15, 4, 10], [16, 26, 5, 18], [22, 28, 31], [25, 33], [32, 20, 19], [45], [37, 39, 29, 46], [34, 42], [41, 54], [44, 38, 53], [48, 51, 58], [59, 49, 57, 60]]
74: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [16, 43, 56], [55, 1, 13, 17], [21, 8, 50], [6, 11, 15], [4, 10, 14, 26], [18, 5, 22, 28], [31, 25, 33], [32], [20, 19, 45, 37, 39], [29, 46, 42, 58, 41, 54], [34, 38, 44, 48, 51, 53, 59, 49, 57, 60]]
75: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14], [11, 8, 50], [6, 21, 26], [10, 4], [22, 15, 5], [16, 18, 28], [31, 25, 33, 32, 20, 19, 45, 37, 39, 29], [46, 34, 42, 41, 54], [44, 38, 51, 48, 53, 58, 59, 49, 57, 60]]
76: [[27, 9], [52, 40], [23, 24, 36], [12, 30, 3], [47, 7, 35], [2, 17], [43, 56, 55], [1, 13], [14, 11, 8], [50], [6, 21], [15, 4], [10, 16], [29, 18, 5], [22, 28, 31], [25, 46, 32], [20, 19, 45], [37, 39, 33], [26, 34], [42, 54, 53], [44, 38, 58], [48, 51], [41, 59], [49, 57, 60]]
77: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [21, 14, 11], [8, 53, 15], [6, 10, 4, 16], [5, 18, 33, 22, 28, 31, 25, 50, 32, 20, 19, 45, 37, 39, 46, 29, 42, 34, 41, 54, 44, 38, 26, 48], [51, 58, 59, 49, 57, 60]]
78: [[27, 9, 52], [40, 23, 24], [36, 12, 30], [3, 47, 7], [35, 17, 2], [43, 56, 55], [1, 13, 26, 8], [50], [6, 21, 11], [15, 10, 18], [4, 16, 14], [5, 22, 28], [31, 25, 33], [32, 20, 19], [45, 37, 39], [46, 58, 42], [29, 54, 53], [44, 38, 34, 48, 51, 41, 59, 49, 57, 60]]
79: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3], [47, 7], [35, 2, 17], [43, 56], [55, 1, 13], [21, 14], [11, 8, 53], [15, 6, 10], [4, 16, 5], [18, 33, 22, 28, 31, 25], [50, 32, 20, 19], [45, 37, 39, 46, 29, 42, 34, 41, 54, 44, 38, 26, 48, 51, 58, 59, 49, 57, 60]]
80: [[27, 9, 52], [40, 23, 24], [36, 12, 30], [3, 47, 7], [35, 17, 2], [43, 56, 55], [1, 13, 26, 8], [50, 6], [21, 11], [15, 10], [18, 4, 16], [14, 5], [22, 28, 31], [25, 33], [32, 20], [19, 45, 37], [39, 46, 58], [42, 29], [54, 53, 44], [38, 34], [48, 51], [41, 59], [49, 57, 60]]
81: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13, 21], [26, 8], [50, 11, 15], [6, 4, 10], [16, 5], [18, 14, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 46, 29, 42, 58, 54, 34, 53, 38, 44, 48, 51, 41, 59, 49, 57, 60]]
82: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [21, 14, 11], [8, 53, 15], [6, 10, 4], [16, 5, 18], [33, 22, 28, 31], [25, 49], [32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 26, 48, 51, 58, 59, 50, 57, 60]]
83: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2, 17, 43], [56, 55, 1], [13, 14, 8, 50, 11], [6, 21, 15, 4, 10, 16, 26, 18, 5, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 42, 57, 54, 44, 38, 51, 48, 53], [34, 58, 59, 49], [41], [60]]
84: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 21, 14], [11], [8, 53, 15], [6, 10, 4], [16, 5], [18, 33, 22], [28, 31], [25, 50, 32], [20, 19, 45, 37, 39, 46, 29, 42, 34, 41, 54, 44, 38, 26, 48, 49, 58, 59, 51, 57, 60]]
85: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 14, 11], [8], [50, 6], [21, 15, 4], [10, 16, 26], [18, 5, 22, 28], [31, 25, 33], [32, 20, 19], [45, 37, 39, 29], [46, 42, 58, 41], [54, 34, 38], [44], [48, 51, 53, 59, 49], [57, 60]]
86: [[27, 9, 52], [40, 23, 24], [12, 36, 30], [3, 47, 7], [35, 2, 17], [43, 56, 55, 1], [13, 14, 11], [8, 50, 6], [21, 15, 10], [4, 16, 5], [26, 18, 22], [28, 31], [25], [33, 32, 20], [19, 45], [37, 39, 46, 29], [42, 34], [41, 54], [44, 38, 53], [48, 51, 58], [59, 49, 57, 60]]
87: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [25, 43, 56, 55], [1, 13, 21, 26], [8, 50, 6], [11, 15, 4], [10, 16, 14], [5, 18, 22, 28, 31, 17, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 53, 48, 51, 57, 59, 49, 58, 60]]
88: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [21, 26, 8], [50, 11], [15, 6, 4], [10, 16, 5], [18, 14, 22], [28, 31, 25], [33, 32, 20], [19, 45, 37], [39, 29, 46], [42, 58, 54], [34, 44, 38, 41, 48, 51, 53, 59, 49, 57, 60]]
89: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [21, 26, 8], [50, 11, 15], [6, 4, 10, 16], [5, 18, 14, 22], [28, 31, 25, 33, 32], [20, 19, 45, 37, 39, 29, 46, 42, 53], [54, 58, 44, 38, 34, 48, 51, 41, 59, 49, 57, 60]]
90: [[27, 9, 52], [40, 23, 24], [36, 4, 30], [3, 47, 7, 35], [2, 17], [43, 56, 55], [1, 13, 21], [26, 8, 50], [11, 15, 6], [12, 10, 16], [5, 18, 14, 22], [28, 31, 25, 33], [32, 20, 19, 45, 37], [39, 29, 46, 42, 53, 54, 58, 44, 38], [34, 48, 51, 41, 59, 49, 57, 60]]
91: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35], [2, 17, 43], [56, 55, 1], [13, 14, 21], [11, 8], [50, 15, 6], [10, 4, 16], [26], [5, 18, 22], [28, 31, 25, 33], [32, 20, 19, 45, 37, 39, 46, 58, 42, 54, 29, 53, 44, 38, 34, 48, 51, 41, 59, 49, 57, 60]]
92: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56, 55], [1, 13, 26], [21, 8, 50, 11], [15, 4], [6], [10, 16, 5, 14], [18, 22, 28], [31, 25, 33, 32], [20, 19, 45], [37, 39, 46], [58, 42], [29, 54, 53, 44], [38, 34], [48, 41, 51, 59, 49, 57, 60]]
93: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35], [2, 17], [43, 56, 55], [1, 13, 14, 8], [50, 11, 6], [21, 15, 4, 10, 16, 26, 18], [29, 22, 28, 31, 25, 33, 32, 20], [19, 45, 37, 39, 5], [46, 34, 42, 41], [54, 44, 38], [53, 48, 51, 58, 59, 49, 57, 60]]
94: [[27], [9, 52, 40], [23, 24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1, 13], [21, 14, 11], [8, 53, 15], [6, 10], [4, 16, 5], [18, 33, 22], [28, 31], [25, 50, 32], [20, 19, 45], [37, 39, 46], [29, 42, 34], [41, 54], [44, 38, 26], [48, 49, 58, 59, 51, 57, 60]]
95: [[27, 9, 52], [40, 23, 24], [12, 36], [30, 3, 47], [7, 35], [2, 17, 43], [56, 55], [1, 13], [14, 11, 8, 50], [6, 21], [15, 4, 10, 16], [26, 5, 18, 22], [28, 31, 25], [34, 32, 20], [19, 45, 37], [39, 46, 29, 42, 33, 41, 54, 44, 38, 51, 48, 53, 58, 59, 49, 57, 60]]
96: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [17, 43, 56], [55, 1], [13, 14, 11], [8, 50, 6], [21, 15, 4, 10], [16, 26, 5], [18, 22, 28], [31, 25, 33, 32], [20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 53, 48, 51, 58, 59, 49, 57, 60]]
97: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2, 17], [43, 56, 55, 1], [13, 14, 11], [8, 50, 6], [21, 15, 4], [10, 16, 26], [5, 18], [22], [28, 31, 25, 33, 32, 20, 19, 45, 37], [39, 29, 46, 42], [53, 54, 58, 44, 38, 34, 48, 51, 41, 59, 49, 57, 60]]
98: [[27, 9], [52, 40, 23], [24, 36, 12], [30, 3, 47], [7, 35, 2], [26, 17, 33], [56, 1, 13], [21, 14, 8], [50, 6, 11], [15, 4, 10], [16, 43, 18, 5], [22, 28, 31, 25, 55, 32, 20, 19, 45, 37, 39, 29, 46, 42, 58, 54, 34, 44, 38, 41, 48, 51, 53, 59, 49, 57, 60]]
99: [[27, 9], [52, 40, 23, 24], [12, 36, 30], [3, 47, 7], [35, 2, 17, 43], [56, 55, 1], [13, 14, 8, 50], [11, 6, 21], [15, 4, 10], [16, 26], [18, 5], [22, 28, 31], [25, 33, 32, 20, 19, 45, 37, 39, 29, 46], [34, 42, 41, 54, 53, 38], [44, 48, 51], [58, 59, 49], [57, 60]]
100: [[27, 9], [52, 40, 23, 24], [36, 12, 30], [3, 47, 7], [35, 2, 17], [43, 56], [55, 1, 13], [22, 8, 50], [11, 6, 21], [15, 4, 10], [16, 26, 18, 5], [14, 28], [31, 25, 33], [32, 20, 19], [45, 37, 39], [29, 46, 42], [53, 54, 58], [44, 38, 34, 48], [51, 41, 59, 49], [57, 60]]
101: [[27, 9], [52, 40], [23, 24, 12, 36, 30, 3, 47, 7, 35, 2, 17, 43, 56, 55, 1, 13, 14, 11, 8, 50, 6, 21, 15], [4, 10, 16, 26, 18, 5, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38], [53, 48, 51, 58, 59, 49, 57, 60]]
102: [[27, 9, 52], [40, 23, 24], [12, 36, 30, 3], [47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14], [11, 8, 50], [6, 21, 15], [4, 10, 16], [26, 18, 5], [22, 28, 31], [25, 33, 32], [20, 19, 45, 37, 39, 29, 46, 42, 58, 54, 34, 44, 38, 53, 48, 51, 41, 59, 49, 57, 60]]
103: [[27, 9], [52], [40, 23], [24, 36], [12, 30, 3], [47, 7, 35], [2, 17], [43, 56, 55], [1, 13, 14], [11, 8], [50, 6], [21, 15, 4], [10, 16, 26, 5], [18, 22, 28], [31, 25], [33, 32, 20], [19], [45, 37, 39, 29], [46, 34], [42, 41], [54, 44, 38, 53], [48, 51, 58], [59, 49, 57, 60]]
104: [[27, 9], [52, 40], [23, 24], [36, 12, 30], [3, 47, 7], [35, 2, 17], [43], [56, 55], [1, 13, 14], [11, 8, 50], [16, 15, 6], [10, 4, 26], [21, 5, 22], [28, 31, 25], [33, 18, 32], [20, 19, 45], [37, 39, 29], [46, 42, 53], [54, 58, 44], [38, 34, 48], [51, 41, 59], [49, 57, 60]]
105: [[27, 9, 52], [40, 23, 24], [36, 12, 30, 3], [47, 7, 35], [2, 17, 43], [56, 55, 1], [18, 13, 21], [14, 11, 8], [53, 15, 6], [26, 4, 16], [5, 22, 28], [31, 25, 33, 32], [20, 19, 45, 37], [39, 29, 46, 34], [42, 41, 54], [44, 38, 51], [48, 50, 10], [58, 59, 49, 57], [60]]
106: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35, 2], [17, 43], [56, 55, 1], [13, 14, 8, 50], [11, 21, 15], [4, 6, 10], [16, 5, 26], [18, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 46, 58, 42, 29, 54, 53, 44, 38, 34, 48, 51, 41, 59, 49, 57, 60]]
107: [[27, 9], [52, 40, 23, 24, 36, 12, 30, 3, 47, 7, 35, 2, 17, 43, 56, 55, 1, 13, 14, 11, 8], [50, 6, 21, 15, 4, 10, 16, 26], [18, 5, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 46, 29, 42, 34, 41, 54, 44, 38, 53, 48, 51, 58, 59, 49, 57, 60]]
108: [[27, 9], [52, 40], [23, 24], [36, 12, 30], [3, 47, 7], [35, 2], [17, 43, 56], [55, 1, 13], [14, 11, 8], [50, 6, 21], [15, 4, 10], [16, 26, 18], [5, 22, 28], [31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 42, 58, 54, 34, 44, 38, 53, 48, 51, 41, 59, 49, 57, 60]]
109: [[27, 9, 52], [40, 23, 24], [12, 36, 30], [3], [47, 7, 35, 2, 17], [43, 56, 55, 1, 13, 14], [8, 50, 11, 6, 21, 15, 4], [10, 16, 26, 18, 5, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 58, 38, 44, 48, 51, 53, 59, 49, 57, 60]]
110: [[27, 9], [52, 40, 23, 24], [36, 12, 30], [3, 47, 7], [35, 2, 17], [43, 56, 55], [1, 13, 14], [11, 8, 50], [6, 21], [15, 4, 10], [16, 26, 18, 5, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 53, 46, 42, 41, 29, 54, 34, 38, 44, 48, 51, 58, 59, 49, 57, 60]]
111: [[27, 9, 52], [40, 23, 24, 12], [36, 30, 3], [47, 7, 35], [2, 17, 43], [56, 55, 1], [13, 14], [11, 8, 50], [6, 21, 15, 4, 10, 16, 26, 18, 5, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 51, 48, 53, 58, 59, 49, 57, 60]]
112: [[27, 9], [52, 40, 23], [24, 12, 36, 30], [3, 47, 7], [35, 2, 17, 43, 56, 55, 1], [13, 14, 11], [8, 50], [6, 21, 15], [4, 10], [16, 26, 5], [18, 22], [28, 31], [25, 33, 32], [20, 19], [45, 37, 39], [29, 46], [34, 42, 41], [54, 44, 38, 53, 48, 51, 58, 59, 49, 57, 60]]
113: [[27, 9, 52, 40, 23, 24, 12, 36, 30], [3, 47], [7, 35, 2, 17, 43, 56, 55, 1, 13, 21, 26, 8, 50, 11, 15, 6, 4, 10, 16, 14, 18, 5, 22, 28, 31, 25, 33, 32, 20, 19, 45, 37, 39, 29, 46, 42, 58, 54, 34, 44, 38, 53, 48, 51, 41, 59, 49, 57, 60]]
114: [[27, 9, 52], [40, 23, 24], [36, 12, 30], [3, 47, 7], [35, 17, 2], [43, 56, 55], [1, 13, 26, 8], [50, 6], [21, 11], [15, 10], [18, 4, 16], [14, 5], [22, 28, 31], [25, 33], [32, 20], [19, 45, 37], [39, 46, 58], [42, 29], [54, 53, 44], [38, 34, 48, 51, 41, 59, 49, 57, 60]]
115: [[27, 9], [52, 40], [23, 24], [36, 12, 30], [3, 47, 7], [35, 2, 17], [43, 56, 55], [1], [13, 14, 11], [8, 50, 6], [21, 15, 4], [10, 16, 26], [18, 5, 22], [28, 31, 25], [33, 32, 20], [19, 45, 37], [39, 29, 46], [42, 41, 53], [54, 34], [38, 44, 48], [51, 58, 59, 49, 57, 60]]
116: [[27, 9], [52, 40, 23, 18, 24, 12], [36, 30, 3, 47, 7, 35, 2, 17, 43, 56, 55, 1, 13, 14, 11, 21, 6, 8, 50, 26, 10, 4, 16, 5, 33, 22, 28, 31, 25, 49, 32, 20, 19, 45, 37, 39, 29, 46, 34, 42, 41, 54, 44, 38, 15, 48, 51, 58, 59, 53, 57, 60]]
117: [[27, 9, 52], [40, 23], [24, 12, 36], [30, 3], [47, 7, 35], [2, 26, 43], [56, 55, 1], [13, 17, 8], [50, 6, 19], [15, 11, 4], [10, 16, 5], [18, 14, 22, 28], [31, 25, 33], [32, 20, 21, 45], [37, 39, 29, 46], [34, 42, 41, 54], [44, 38, 51, 48, 53, 58, 59, 49, 57, 60]]
118: [[27, 9, 52, 40], [23, 24, 36], [4, 12, 30], [3, 47, 7], [35, 17, 2], [43, 56, 55], [1, 13], [14, 21], [11, 8, 50], [15, 6], [10, 18, 16], [26, 5, 22], [28, 31, 25], [33, 32, 20, 19], [45, 37, 39, 29], [46, 42, 53], [54, 58, 44], [38, 34, 48], [51, 41, 59, 49], [57, 60]]
119: [[27, 9], [52, 40], [23, 24, 36], [12, 30], [3, 47], [7, 35], [2, 17], [43, 56, 55], [1, 13, 14], [8, 50, 11], [6, 21, 15], [4, 10, 16], [26, 18, 29, 22, 28, 31, 25, 33], [32, 20, 19, 45, 37], [39, 5, 46, 34], [42, 41, 54], [44, 38, 53, 48, 51, 58, 59, 49, 57, 60]]
120: [[27, 9], [52, 40, 23], [18, 24, 12], [36, 30, 3], [47, 7, 35], [2, 17, 43], [56, 55, 1], [13, 14, 11], [21, 6, 8], [50, 26, 15], [4, 16, 5], [22, 28, 31], [25, 33, 32], [20, 19], [45, 37, 39], [29], [46, 34], [42, 10, 54], [58, 44, 38], [41, 48, 51], [53, 59, 49], [57, 60]]
121: [[27, 9], [52, 40, 23], [24, 12, 36], [30, 3, 47], [7, 35], [2, 17, 43], [56, 55, 1], [13, 14, 8], [50, 11, 6], [21, 15, 4], [10, 16, 26], [18, 5, 22], [28, 31, 25], [33, 32], [20, 19, 45], [37], [39, 29, 46], [42, 58, 54], [34, 44, 38], [41, 48, 51], [53, 59, 49], [57, 60]]
