0: [[7, 4, 1, 3, 35, 14, 2], [12, 40, 5, 29, 9, 11, 10, 18], [17, 25, 8, 30, 15, 13, 16, 6, 21], [22, 23], [27, 19, 24, 31, 26, 20, 28, 47, 32], [33, 39, 34, 38, 37, 42, 41], [44, 43], [45, 36, 46, 50, 53, 51, 48], [57, 49, 52], [55, 54, 58, 56], [59, 60]]
74: [[7, 4, 1, 2, 35, 13, 3, 45], [10, 15, 6, 8, 22, 5, 9, 11], [18, 16, 12, 17, 20, 14, 19, 21, 23, 24, 26, 25, 27, 28, 31, 30, 29, 46, 34, 36, 40, 32, 39, 43, 38, 33, 37, 42, 41, 44, 47, 49, 55, 50, 52, 53, 51, 48, 57, 54, 56, 59, 58, 60]]
75: [[7, 4, 1, 2, 35, 3], [5, 46, 12, 29, 11, 13, 25, 9, 14, 6, 22, 15], [30, 20, 17, 8, 16, 21, 19, 24, 23, 26, 18, 28, 27, 31, 44, 10, 33], [36, 32, 34, 38, 41, 39, 37, 40, 42, 43, 53, 47, 52, 45, 49, 50, 48], [51, 57, 54, 55, 56, 58, 59, 60]]
76: [[7, 4, 1, 2, 35, 15, 3, 12, 47], [5, 25, 9, 11, 6, 18, 16, 10, 8, 30, 13, 14, 17, 21, 20, 28, 23, 19, 22], [31, 24, 26, 29, 27, 45, 33, 44, 39, 32, 34, 43], [36, 40, 37, 42, 38, 46, 41, 49, 52, 50, 48, 57, 54], [51, 53, 55, 56, 58, 59, 60]]
77: [[7, 4, 1, 2, 35, 5, 3, 6], [40, 12, 25, 8, 14, 29, 11, 10, 9, 30, 17, 15, 20], [26, 27, 13, 16], [22, 23, 21, 18, 24, 19, 28, 31, 46, 33, 36, 32, 44, 34], [39, 37, 38, 47, 41, 42, 43, 49, 53, 45, 58, 51, 48, 50, 57, 55, 52, 59, 54, 56, 60]]
78: [[7, 4, 1, 2, 35, 3, 5], [6, 40, 13, 20, 12, 8, 9, 15, 30], [11, 10, 14, 19, 22, 27, 23], [16, 17, 18, 29, 21], [25, 28, 26, 31, 24, 39, 33], [38, 36, 43, 37], [44, 42, 41, 32, 46, 34, 45, 51, 47, 53, 49, 48, 56, 52, 58, 55, 50, 54, 59, 57, 60]]
79: [[7, 4], [1, 2, 35, 11, 3, 14, 45, 12], [24, 5, 10, 8, 28, 13, 30, 15, 17, 9], [16, 18, 25, 21, 19, 20, 6, 22], [23, 29, 26, 27, 31, 34, 33, 36, 32, 39, 46, 40, 37, 44, 38, 41], [42, 43, 47, 54, 55, 58, 48, 50, 49, 51, 52, 56, 53, 60, 57, 59]]
80: [[7, 4, 1, 3], [35, 6, 11, 2, 41, 13, 5, 9], [8, 16, 14, 10, 29, 12, 18, 15], [21, 22, 19, 30, 20, 17, 27], [25, 23], [26, 28, 31, 24], [39, 34, 36, 32, 37, 40, 38], [42, 44], [43, 33, 45, 52, 46, 51, 47, 50], [48, 49, 54], [60, 53, 58, 55], [56, 59, 57]]
81: [[7, 4, 1, 2], [35, 11], [3, 5, 41, 8, 20, 12, 10, 14, 6, 9], [13, 15, 19, 21, 16, 23, 17, 22, 24, 27, 18, 26, 29, 25, 30, 31, 28, 47, 32, 33, 36, 34, 37, 39, 38, 42, 45, 40, 43, 52, 44, 46, 48, 49, 51, 53, 50, 56, 54, 55, 57, 58, 59, 60]]
82: [[7, 4, 1, 3, 35, 2, 42], [6, 9], [5, 19, 11, 8, 31, 12, 10, 13, 20], [17, 16, 14, 23, 28, 15, 18, 21], [22, 25, 24, 29, 26, 27, 30, 47, 34], [32, 33, 45, 36, 37, 43, 38, 44, 39], [46, 53, 40, 52, 49, 41], [48, 57, 55, 56, 50, 51, 54, 58], [59, 60]]
83: [[7, 4, 1, 2, 35, 11, 3, 45], [5, 12, 6, 10, 22, 13, 14, 8, 17, 16, 18, 15, 25], [9, 24, 23, 21, 19, 20, 29, 27, 28, 26, 30, 31, 38, 33, 36, 42], [39, 34, 37, 32, 40, 41, 43, 44, 46, 47, 51, 55, 49, 48, 50, 53, 54, 56, 52, 57, 59, 58, 60]]
84: [[7, 4, 1, 3, 35, 5, 8, 14], [12, 28, 11, 6], [10, 9, 13, 15, 21, 23, 27, 24, 16, 17, 31, 22, 19, 2, 20, 26, 18, 25, 29, 30, 34, 42, 32, 37, 33, 36, 38], [43, 39, 44, 40, 41, 45, 52, 46, 55, 47, 51, 49, 53, 50, 48, 54, 56, 59, 60, 57, 58]]
85: [[7, 4, 1, 2, 35, 10], [3, 12, 43, 9, 23, 8], [6, 22, 15, 16, 17, 14], [21, 11, 20, 5, 19, 13, 25], [28, 18, 27, 29, 24, 26, 30, 31], [46, 32, 34, 33, 36, 47, 37, 38, 42, 41, 45], [39], [40, 44, 49, 54, 52, 48, 50, 51, 53, 55, 57, 59], [58, 60, 56]]
86: [[7, 4, 1, 2, 35, 5, 11, 10, 47, 15, 25, 30, 12, 8, 6, 29], [28, 3, 14, 17, 9, 13, 23, 16, 18, 22, 21, 31, 19, 20, 27, 24, 26, 33, 32, 36, 34, 37, 38], [39, 43, 40, 42, 41, 44, 55, 45, 50, 54, 48, 52, 56, 49], [46, 53, 59, 57, 51, 58, 60]]
87: [[7, 4, 1, 2, 35], [3, 9], [45, 10, 12, 29, 5, 6, 19], [8, 15, 13], [22, 11, 14, 16, 23, 17, 18, 31, 20, 21], [24, 27, 25, 26, 30, 28, 39, 32, 36], [38, 33, 37, 34, 47, 40], [46, 41, 48, 44, 43, 42, 50, 52], [57, 51, 49, 54, 53, 55, 58, 56, 60, 59]]
88: [[7, 4], [1, 2, 35, 3, 5, 14, 42, 13], [21, 6, 10, 8, 28, 9, 12, 11, 15, 16], [17, 19, 25, 23, 22, 20, 24, 27], [30, 18, 26, 29, 31, 34], [33, 36, 32, 38, 45, 41, 37, 40, 39, 44, 47, 46], [43, 54, 52, 48, 50, 53, 51, 55, 49, 56, 58, 60], [59, 57]]
89: [[7, 4, 1, 2, 35, 5, 3], [15, 43], [9, 17, 10, 6, 12, 8, 13], [18, 16, 30], [14, 11, 29, 19, 23, 27, 20, 22, 21, 28], [31, 25, 24, 26, 47, 32, 33, 36, 37, 39, 41], [34, 42, 38, 44, 40, 45, 46, 52, 49, 55, 48, 50, 53, 56, 57, 54, 58, 59, 51, 60]]
90: [[7, 4, 1, 2, 35, 11, 3, 10, 41, 9, 21, 30, 5, 6, 14, 8, 18, 12, 29, 23, 15, 16, 24, 13, 17, 19, 20, 22, 27, 26, 25, 31, 28], [38, 33, 44, 34, 32, 43, 36, 40, 47, 37, 39, 45, 42, 46, 48, 50, 53, 49, 59], [55, 54, 52, 56, 58, 51, 57, 60]]
91: [[7, 4, 1, 2, 35, 3, 5, 13, 6, 15], [21, 8, 10, 29, 9, 25, 27, 11, 12], [17, 20, 16, 19, 22, 31], [14, 18, 23, 30, 28, 26, 24, 44], [47, 34, 33, 38, 32, 37, 45, 39, 41, 36], [40, 42, 43, 51, 48, 46, 50, 53, 49, 52, 56, 57, 55, 54, 58, 59, 60]]
92: [[7, 4, 1, 2, 35, 6, 11], [3, 40, 13, 9, 14, 26, 12, 5, 8, 29, 10], [31, 16, 19, 18, 17, 15], [21, 23, 20, 25, 22, 27], [28, 30, 24, 44, 33, 32, 36], [38, 34, 37, 45, 41, 39, 46], [43, 53, 47, 51, 42, 49, 48, 52, 50, 57, 54, 55, 59, 58, 56, 60]]
93: [[7, 4, 1, 3, 35, 6, 13, 47, 12, 29, 9, 10, 8, 24, 5, 14, 20, 21, 11], [15, 2, 17, 16, 18, 19, 22, 26, 23, 28, 31, 30, 27, 25, 37, 33, 36, 34, 43, 38, 32, 41, 40, 39, 42, 44, 50, 45, 46, 52, 49], [48, 53, 55, 51], [54, 57, 56, 58, 60, 59]]
94: [[7, 4, 1, 2, 35, 5], [3, 6, 41, 11, 9, 10, 8, 13, 30, 14, 15, 12], [18, 17, 23, 20, 19, 16, 24, 25, 22, 27], [21, 26, 31, 28], [29, 45, 33, 37, 32, 36, 34, 46, 38, 39, 42], [43, 40, 52, 44, 55, 50, 60, 49, 47, 51, 48, 54, 53], [57, 58, 56, 59]]
95: [[7, 4, 1, 2, 35, 3, 43], [14, 9, 13, 27, 12, 8, 30, 5], [10, 24, 6, 16, 18], [17, 15, 20, 23], [19, 11, 22, 25], [21, 28, 26, 31, 29, 47, 32, 44, 34, 38, 33, 37], [36, 40, 42, 39], [46, 52, 41, 48, 50, 45, 51, 49, 53, 55, 54, 59, 56, 58, 57, 60]]
96: [[7, 4, 1, 3, 35, 5], [2, 38, 8, 22, 12, 6, 14, 15], [9, 10, 19, 23, 18, 13, 16, 11], [31, 20, 24, 25, 27, 28, 17, 21, 26, 29], [33, 30, 34, 37, 32, 40, 36, 42, 44, 45], [43, 41, 47, 52, 39, 50, 46, 48, 51, 53, 49, 56, 55, 57, 58, 60, 59, 54]]
97: [[7, 4, 1, 2, 35, 3], [9, 6, 11, 29, 8, 30, 22, 23, 10], [12, 27, 24, 26, 14, 15, 13, 5, 17], [16, 20, 18, 19, 21, 31, 25, 28], [45], [60, 34, 33, 36, 37], [40, 42, 32, 39, 43, 44, 38], [52, 41], [46, 51, 54, 49], [55, 47, 56, 53, 57, 59, 50, 48, 58]]
98: [[7, 4, 1, 2, 35, 6, 9, 3], [45, 5, 23, 8, 10, 27, 13, 29, 12, 18, 14, 11, 30, 15, 19, 26, 17], [20, 22, 16, 24, 25, 28, 21], [31, 32, 33, 36, 34, 46, 39, 37, 41, 40, 38, 42, 59, 51, 47, 55, 44, 43, 48, 50, 49, 53, 52, 56, 54, 58, 57, 60]]
99: [[7, 4, 1, 3, 35, 6], [13, 44, 8, 20, 11, 5, 2, 21, 12], [9, 17, 30, 10, 15, 14, 27], [19, 18, 22, 16, 26, 23, 24, 25, 28, 29, 31, 40, 33, 36, 32, 46, 38, 37, 45, 34, 43, 47, 42, 49, 39, 41, 48, 51, 52, 53, 50, 55, 54, 57], [56, 58, 60, 59]]
100: [[7, 4, 1, 2, 35, 3, 10], [12, 40, 13, 5, 14, 6, 9, 11, 15, 31, 8], [16, 20, 17, 18, 19, 22], [23, 25, 26, 24, 21, 29, 28, 27, 30, 39], [33, 34, 32, 36, 38, 37, 46, 42, 41, 43, 47], [45, 44, 50, 49, 52, 48, 57, 51, 56, 55, 53, 58, 54, 60, 59]]
101: [[7, 4, 1, 2, 35, 3, 9, 5, 11, 13], [25, 6, 10, 8, 28, 26, 18, 15, 12, 14, 19, 16], [21, 23, 17, 22, 29, 31, 20, 24, 30, 27], [57, 47, 34, 36, 33, 32, 37, 39, 44, 40, 43, 41], [38, 54, 42, 46, 45, 48, 51, 49], [50, 52, 55, 56, 59, 58, 60, 53]]
102: [[7, 4], [1, 2, 35, 9, 5, 13, 42, 3], [21, 8, 10, 6, 25, 14, 30, 11, 12, 15], [16, 20, 19, 23, 22, 17, 18, 24], [27, 28, 26, 29, 31, 46, 33, 36, 32, 38], [47, 43, 37, 45, 34, 41, 39, 40, 44, 54, 52, 50, 48, 55, 51, 49, 53, 58, 56, 57, 59, 60]]
103: [[7, 4, 1, 2, 35, 13, 5, 11], [38, 3, 9, 8, 14, 17, 6, 30, 15, 10, 19, 22], [12, 26, 27, 24, 16], [23, 21, 25, 18, 20, 29, 28, 31, 47, 34, 33], [39, 43, 37, 36, 44, 40, 41, 45, 42, 54, 46, 53, 32, 48, 55, 51, 49, 52, 50, 56, 58, 57, 59, 60]]
104: [[7, 4, 1, 2, 35, 5, 3, 13, 43, 6, 23, 9, 11, 10, 25, 24, 26, 28, 8, 12, 15, 16], [19, 21, 22, 17, 14, 18, 20, 27, 31, 30, 29, 38, 34, 44, 33, 36], [32, 37, 39, 42, 41, 45, 60, 40, 48, 47, 49, 50, 46, 59, 51, 56, 54, 53, 57, 55, 58, 52]]
105: [[7, 4, 1, 2, 35, 11, 5, 6, 43, 12, 25, 8], [10, 13, 22, 3, 31, 28, 9, 15], [14, 16, 17, 29, 19, 21, 23, 20, 24, 18], [26, 30, 27, 39, 34, 45, 32, 33, 37, 38, 40, 44, 36, 41, 47, 46, 42, 50, 55, 48, 49, 57, 53, 51, 60, 52, 56, 59, 54, 58]]
106: [[7, 4, 1, 2, 35, 3, 5, 15], [9, 8], [21, 12, 14, 6, 11, 10], [27, 16, 18, 23, 25, 19, 13], [22, 24, 17, 20, 26, 29], [31, 28, 30, 41, 47, 33, 36, 32], [37, 45], [42, 44, 34, 38, 43, 40, 55, 46, 50, 48], [39, 49, 51, 53, 56, 52, 54, 59], [58, 57, 60]]
107: [[7, 4, 1, 2, 35, 5, 3, 9], [41, 13, 8, 30, 22, 31, 14], [6], [10, 12, 26, 11], [18, 15, 19, 20, 16, 21, 17, 23, 24], [27, 25, 28, 29, 46, 32, 45, 34, 33, 40, 36, 39, 37, 43, 38, 47, 53, 42, 50, 52, 44, 51, 57, 49, 56, 55, 54, 59, 60, 48, 58]]
108: [[7, 4, 1, 2, 35, 3, 10], [5, 42, 15, 17, 12, 6, 9], [13, 11, 29], [8, 16, 18, 22, 14, 19, 23, 31, 28, 27], [24, 30, 21, 26, 20, 25, 47, 32, 34], [38, 37, 36, 33, 44, 39], [46, 40, 45, 60, 43, 41, 54, 49], [53, 51, 52, 50, 55, 57, 59, 48, 56, 58]]
109: [[7, 4, 1, 3, 35, 9, 6, 5], [42, 2, 21, 14, 29, 22, 28], [27, 15, 13, 19, 12, 8, 10, 11, 17, 18, 16, 20], [23, 24, 25, 30, 26, 31], [46, 33, 44, 34, 36, 38, 32, 41, 37, 39, 43, 51], [40, 47, 54, 52, 45, 49, 57, 48, 50, 53, 58, 56, 59, 55, 60]]
110: [[7, 4, 1, 2, 35, 3, 6, 5, 47, 19, 24, 14, 10, 8, 31, 12, 15, 9, 26, 16, 30, 18, 29, 11, 20, 28, 23, 13, 17], [21, 25, 22, 27, 41], [32, 38, 39, 45, 33, 36, 34, 42, 37, 43, 40, 50, 46, 44, 49, 51, 48, 54, 52, 53, 55, 58, 57, 59, 56, 60]]
111: [[7, 4, 1, 2, 35, 3], [6, 12, 41, 8, 30], [20, 9, 31, 5, 10, 11, 16, 13], [15, 14, 18, 19, 17, 21, 22, 23, 25, 24], [27, 26, 28, 47, 33, 44, 38, 39, 45, 29, 32], [34, 36, 37, 40, 42, 43, 55, 46, 48, 49, 51, 50, 52, 53, 56, 54, 57, 58, 60, 59]]
112: [[7, 4, 1, 2, 35, 5, 10, 11, 43], [6, 29, 9, 8, 12, 26, 17, 13, 28, 14, 15, 3, 16, 18, 20, 19], [23, 21, 22, 24, 25, 30, 27, 31, 39], [32, 45, 33, 34, 38, 37, 36], [40, 41], [44, 60, 42, 54, 46, 51, 55, 48], [57, 50, 52], [47, 49, 58, 56], [53, 59]]
113: [[7, 4, 1, 2, 35, 10, 13, 6, 43, 3, 25, 9], [5, 8, 21, 11, 15, 23, 14, 12], [24, 18, 17, 22], [27, 20, 16, 19, 26, 28, 31, 30, 29, 38, 33, 32, 34, 36, 42, 41, 39, 37, 40, 44, 45], [46, 47, 51, 52, 50, 48, 57], [53, 49, 60, 54, 55, 59, 56, 58]]
114: [[7, 4, 1, 2, 35, 5, 3], [14, 44, 13, 28, 9, 6, 10, 11], [8, 27, 12, 16, 15, 25, 17, 19, 23], [22, 18], [26, 21], [29, 31, 20, 30, 24, 39, 32], [37, 33, 34, 36, 38, 42, 40], [43, 41, 45, 46], [47, 50, 54, 53], [49, 56, 51], [58, 55, 52, 57, 59, 48, 60]]
115: [[7, 4, 1, 2, 35, 3, 13], [5, 41, 18, 8, 27, 6, 11, 26, 12, 15], [29, 22, 14, 16, 9, 10, 17], [19, 21, 23, 24, 28, 30, 20], [31, 25, 47, 34], [32, 33, 37, 39, 38, 44], [45, 43, 40, 42], [36, 46, 48, 53, 50, 56], [51], [52, 54, 55], [49, 59], [58, 57, 60]]
116: [[7, 4, 1, 2, 35, 9], [3, 6, 43, 5, 17, 25], [11, 28, 15, 8, 20, 14], [26, 23, 12, 10, 16, 13], [18, 19, 22, 21, 29, 24, 30], [31, 27, 44, 32, 33, 38], [34, 42, 37, 39, 36, 40], [45, 41, 46, 47, 51, 55, 49, 48, 53, 50, 52], [54, 57, 56, 59, 58, 60]]
117: [[7, 4, 1], [2, 35, 9, 10, 12, 47, 3, 24], [6, 5, 8, 29, 11, 31, 14, 15, 13, 17], [19, 25, 21, 22, 16, 18, 20, 23], [28, 26, 27, 30, 34, 33, 36, 32, 45, 46, 44, 38, 37, 43, 40, 51, 39, 41, 55, 49, 48, 42, 50, 52, 54, 53], [56, 58, 60, 59, 57]]
118: [[7, 4, 1, 2, 35, 11, 3, 5], [47, 13, 25, 8, 14, 31, 22, 10], [15, 24], [12, 6, 16], [9, 20, 27, 17, 18, 19, 21, 28], [23, 26, 29, 30, 38], [34, 44, 32, 36, 37, 39, 40, 33, 43, 41, 50, 42], [45, 54, 53, 46, 49, 55, 52, 51, 48, 57], [56, 59, 58, 60]]
119: [[7, 4, 1, 2, 35, 3, 6, 11], [41, 8], [20, 13, 9], [12, 27, 5, 30, 10, 26, 16, 17], [18, 15, 23, 19, 14, 21, 24, 25], [22, 28, 29, 31, 47, 33, 36], [32, 38, 37, 42, 46, 34, 39], [45, 40, 52], [43, 50, 60, 51, 49, 56], [53, 44, 54, 57], [58, 48, 55, 59]]
120: [[7, 4, 1, 2, 35, 3, 9], [5, 42, 8, 18, 12, 6, 15], [11, 10, 13, 14], [16, 17, 19, 22, 25, 21], [30, 24, 20, 23, 26, 27, 28, 29], [31, 47, 32, 34, 38, 33], [37, 36, 39, 41, 46, 40, 43, 52, 54], [44, 45, 48, 53, 50, 49, 59, 51], [55, 57, 56, 58, 60]]
121: [[7, 4, 1, 2, 35, 5, 9], [3, 42, 8, 23, 12, 6, 15], [11, 10, 13], [17, 16, 14, 20, 19, 18], [21, 22, 25, 26, 24, 27, 28, 31, 29, 30], [46, 32, 36, 38, 33, 37, 34, 44, 39, 47, 41, 45, 52, 40, 43, 57, 48, 50, 55, 49, 58, 54, 51, 53, 59, 56, 60]]
