0: [[35, 1, 7, 27, 2], [3, 13, 5, 6, 21], [4, 8, 11, 12, 9], [14, 15, 16, 10, 18], [31, 23, 17, 19, 20], [22, 26, 30, 28, 25], [29, 24, 40, 32, 37], [33, 50, 51, 36, 39], [42, 47, 34, 41, 45], [38, 43, 44, 46, 55], [49, 48, 52, 53, 57], [54, 56, 58, 59, 60]]
74: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 4, 8], [6, 11, 10, 12, 14], [9, 15, 22, 17, 18], [16, 30, 24, 20, 19, 25, 28, 31, 23, 29, 26, 37, 42, 41, 36, 32, 44, 39, 46, 40, 43, 33, 34, 38, 45, 47, 50, 48, 53, 59, 55, 52, 49, 51, 54, 56, 58, 57, 60]]
75: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11, 9, 15], [12, 24, 10, 30, 17, 19, 23, 14, 16, 20], [18, 26, 22], [25], [28, 31, 29, 37, 32, 33, 46, 39, 38, 41, 36, 34, 43, 45, 42, 40, 44, 47, 50, 48, 49, 51, 58, 53, 54, 52, 55, 60, 59, 57, 56]]
76: [[35, 1, 2, 7, 27], [3], [13, 5, 21, 6, 8], [4, 9, 10, 11, 12, 14, 31], [18, 17, 22, 15, 26], [19, 24, 23, 20, 28, 30], [29, 25, 16], [36, 40, 33, 32], [39, 44, 46, 53], [34, 42, 43, 47, 45, 37, 38, 50, 41, 49, 48, 51, 55, 54, 52, 57, 56, 59, 60, 58]]
77: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8, 4, 11, 15, 9, 14, 12], [20, 26, 17, 18, 19, 16, 22, 23, 28, 10, 25, 24, 30, 29, 31, 37, 36, 32, 33, 38, 34, 45, 47, 39, 40, 42, 43, 44, 41, 46, 50, 49, 48, 55, 54, 52, 51, 53, 56, 58, 57, 59, 60]]
78: [[35, 1, 2, 7], [27, 3, 13, 5, 8, 21, 6], [4, 11, 9, 14, 25, 12, 15, 16, 17, 20, 28, 19, 22, 26, 10], [23, 30, 24, 31, 29, 33], [34, 32], [38, 36, 44, 43, 37, 42, 47, 39, 46, 41, 40, 45, 50, 53, 49, 18], [59, 52, 48, 51, 55, 54, 56, 58, 57, 60]]
79: [[35, 1, 2, 7, 27], [3, 13, 5, 21], [6, 8, 4, 11, 9, 15, 12, 24, 10, 26], [17, 19, 18, 14, 16], [20, 22, 25, 23, 29, 28], [31, 30, 33, 32, 42, 34], [37, 38, 39, 36], [44, 43, 41, 46, 45, 40, 47, 56, 53, 49], [50, 51, 48], [54], [52, 55, 60, 58, 57, 59]]
80: [[35, 1, 2, 7, 27], [3, 13, 5, 29, 22, 12], [4, 11, 9, 10, 20, 6, 8, 25, 26, 17, 21, 14, 24, 30, 18, 15], [16, 19, 23, 28, 31, 37, 43, 40, 34, 32], [38, 33, 39, 36, 46, 45, 41, 42], [44, 47, 50, 55, 53, 48, 51, 49, 54, 52, 60, 57, 56, 58, 59]]
81: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 9, 14, 10], [12, 15, 17, 18, 23, 16], [22, 20, 24, 26, 28, 25], [19, 30, 29, 31, 37, 45], [40, 38, 32, 33, 34], [43, 36, 39], [42, 44, 41, 46, 59, 50], [54, 53, 47, 48, 51, 49, 52], [55, 57, 60, 58, 56]]
82: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 10, 15, 12, 28], [31, 26, 9, 25, 18, 22], [19, 14, 17, 20, 16, 29, 23], [24, 30, 37, 32, 34], [33, 42, 38, 47, 39, 36], [40, 41, 45, 43, 44, 46], [48, 49, 55, 50, 60, 51], [52, 53, 56, 58, 59], [57, 54]]
83: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4, 9, 10], [11, 14, 12, 31], [22, 19, 28, 16, 15], [20, 23, 29, 30, 17, 24, 25, 18, 26, 37, 38, 40, 32, 36, 34, 47, 33, 39, 41, 42, 43, 45, 44, 46, 58, 50, 51, 49, 53], [54, 48, 52, 59, 56], [55, 57, 60]]
84: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 9, 14], [10, 12, 15, 18, 17, 30, 20], [22, 16, 19, 24, 23], [26, 25, 29, 28], [31, 32, 34, 33, 36, 37, 46, 47], [39, 42, 41, 38], [40, 43, 45, 44, 56, 57], [53, 50, 49, 51], [48, 52, 54, 55, 60, 58, 59]]
85: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8, 4, 11, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 30, 31, 25, 28, 29, 37, 32, 33, 36, 42, 41, 40, 46, 34, 47, 38, 43, 39, 44, 45, 48, 49], [53, 51, 50, 57, 52, 54, 58, 60, 55, 56, 59]]
86: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 12, 9], [4, 15, 28, 14, 17], [16, 18, 19, 30, 24], [10, 20, 23, 22, 25], [29, 26, 31, 59, 38], [33, 34, 32, 36, 37], [39, 46, 43, 40, 41], [44, 11, 45, 47, 58, 50, 42, 48, 53], [52, 51, 49, 56, 57, 54], [55, 60]]
87: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6, 8], [4, 11, 9, 14, 12, 10, 15, 20, 16, 18, 22, 17, 23, 24, 19, 30, 25, 29, 26, 28, 31, 37, 34, 40, 32, 33, 42, 36, 47, 38, 39, 44, 41, 45, 43, 46, 50], [49, 55, 52, 54, 51, 48], [53, 56, 58, 57, 59, 60]]
88: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 10], [12, 9, 14, 11, 8], [4, 15, 16, 31, 20, 18, 30], [19, 17, 23], [28, 22, 29, 26, 25], [24, 37, 32, 33, 34, 36, 42], [46, 38, 40, 43, 39], [41, 45, 44, 47, 54, 48, 53, 51, 49], [50, 55, 52, 57, 58, 59], [56, 60]]
89: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6, 8], [4, 15, 9, 14, 12, 10, 26, 11, 17, 25, 16, 18, 19, 20, 29, 30, 23, 28, 22, 24, 31, 37, 34, 40, 33, 32, 46, 38, 36, 41, 39, 45, 42, 44, 43, 47, 50, 48, 49], [52, 53, 54, 51, 55, 56, 59, 58, 57, 60]]
90: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11], [9, 10, 14, 28, 15], [26, 17, 16, 12, 20], [23, 19, 24, 18, 22], [25, 31, 29, 30, 37], [32, 44, 33, 34, 36, 39, 38, 40], [42, 47, 43, 41, 45, 46], [49, 48, 50, 51, 53], [59, 55, 52], [56, 57, 54, 58, 60]]
91: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6, 8, 4, 11, 9, 14, 10], [12, 15, 18, 17, 30, 16, 20, 22, 19, 23, 25, 29, 28, 26, 24, 31, 37, 36, 33, 39, 34, 40, 43, 38, 32, 42, 45, 41], [46, 44, 47, 50, 48, 52, 59, 49, 53, 55, 54, 56, 60, 57, 51, 58]]
92: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 11, 10, 9, 12, 14, 15, 17, 22], [31, 19, 23, 20, 16, 18, 30], [24, 25, 26, 29, 28], [37, 44, 32, 33, 34], [39, 42, 36, 38, 47], [41, 40], [45, 43, 46, 50, 51, 55, 53, 49, 48], [52, 54, 56, 58, 57], [59, 60]]
93: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 9, 11, 10], [12, 14, 15, 20, 25, 30, 16, 18, 17, 22, 23, 19, 29], [26, 24, 31, 28, 36, 42, 33, 38, 37, 40], [43, 32, 34, 39, 45, 41], [46, 47, 44, 48, 49], [55, 57, 50, 52], [51, 53, 56, 54, 59, 58, 60]]
94: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 9, 14, 10, 11, 12, 15], [22, 17, 19], [16, 18, 20, 23, 24, 25], [30, 29, 26, 31, 28], [37, 32, 33, 38, 36], [39, 40, 42, 34, 43], [44, 45, 41, 47, 46, 50, 48, 53, 49], [54, 59, 51, 57, 52, 58, 60, 55, 56]]
95: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 9, 11, 10], [14, 12, 15, 16, 18, 26, 23], [17, 28], [19, 20, 25, 22, 29, 31], [24, 30, 37, 34, 33], [36, 32, 46, 38, 39, 41], [43, 45, 40, 42, 47], [44, 58, 48, 50, 49], [51, 53, 54, 52, 56], [60, 59, 55, 57]]
96: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 9, 12], [14, 10, 11, 20, 17, 16, 22], [19, 15, 28, 24], [18, 23, 26, 30, 29, 46, 25, 41, 40, 37], [34, 33, 39, 38, 31, 32, 36, 42, 43, 44, 50, 45, 47, 51, 48, 57, 53, 52, 55, 49, 56, 60, 59, 54, 58]]
97: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6, 8], [4, 15, 9, 14, 12, 10, 11, 30, 18, 19, 16], [17, 20, 24, 23, 26, 22, 25, 29, 28, 31, 37, 34, 40], [33, 32, 42, 38, 44, 39, 36], [45, 41, 46, 43], [47, 58, 48, 49, 53, 50, 55, 51, 54, 56], [60, 59, 52], [57]]
98: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8], [4, 11, 10, 14, 9], [12, 15, 18, 16, 20, 23, 26], [17, 19, 24], [28, 29, 22, 25, 30], [31, 33, 34, 32, 38, 39, 36], [47, 46, 40, 43, 45], [37, 41, 42, 44, 52, 48], [53, 51, 49], [50, 55, 59, 58, 54, 57, 56, 60]]
99: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6], [8, 4, 11], [10, 9, 14], [12, 15, 18, 17, 24, 26, 22, 16, 19, 20, 29, 30], [23, 25, 28, 31, 37, 34, 32, 44, 33, 36, 39, 41, 42, 38, 43, 40, 45, 46, 47, 56, 57, 55, 48, 52, 51, 50, 54, 49, 58, 53, 59, 60]]
100: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4, 9, 15, 10], [14, 11, 12, 18, 16], [17, 20, 22, 23, 19, 24, 28, 30, 29, 31, 25], [26, 33, 34, 32, 37], [47, 40, 39, 41, 45, 36, 38, 42, 46, 49], [44], [50, 51, 54, 55, 43, 48, 52, 56, 58, 53, 57, 59, 60]]
101: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 12, 9, 4, 14, 15, 11], [18, 16, 23, 17, 19], [24, 10, 22, 20, 31, 25, 29, 30, 26, 28], [32, 40, 36, 34, 38, 33, 37, 39, 45, 47, 41, 44, 42, 43, 46, 58, 51, 53, 59, 48, 52, 55, 49, 50, 54, 56, 57, 60]]
102: [[35, 1, 6, 23, 2], [3, 13, 5, 7, 4], [8, 12, 11, 9, 14, 10, 15, 28, 17, 16, 31, 19, 18, 27], [20, 21, 22, 30, 24, 25, 26, 29, 45], [32, 36, 34, 37, 51, 38, 39, 40, 47, 33, 41, 42, 43], [44, 46, 58, 55], [49, 52, 48, 53, 50, 54, 60, 57, 59, 56]]
103: [[35, 1, 2, 7, 27], [3, 13, 5, 21, 6, 8, 4], [11, 10, 14, 28, 9, 12, 19, 17, 30, 23], [16, 20, 25, 15, 18, 24], [22, 29, 26, 31, 33], [32, 36, 34], [45, 47, 40, 38, 39, 37, 41, 42, 46, 43, 57, 56, 49, 60, 51, 48, 54, 50, 55, 44, 52, 58, 53, 59]]
104: [[35, 1, 2, 7, 27, 3, 13], [5, 21, 6, 8, 4], [11, 10, 12, 9, 14, 15, 22], [17, 23, 18, 28, 24], [16, 20, 19], [25, 26, 31, 29, 30, 37, 32, 34, 33, 44, 36, 41, 42, 39, 43, 40, 45, 38, 46, 47, 50, 52, 55, 58, 57, 51, 49, 54, 56, 59], [48, 53, 60]]
105: [[35, 1, 2, 7, 27, 3], [13, 5, 21, 6, 8], [4, 9, 15, 10], [11, 12, 31, 22, 17, 18, 14, 16, 20], [19], [23, 26, 24, 29], [25, 28, 30, 37, 46, 33, 32], [34, 38, 36, 47, 42], [44, 40, 39, 43, 41], [45, 50, 48, 52, 49], [53, 51, 56, 55, 57], [58], [59], [54, 60]]
106: [[35, 1, 2, 7, 27, 3, 13, 5], [21, 6, 8, 4, 11, 14, 9, 12, 10, 15, 17, 16, 29, 20, 24, 22, 18, 28, 30, 31, 23, 19, 25, 26, 37, 42, 33, 38, 32, 34, 41, 36, 39, 47, 40, 44, 43, 46, 45, 50, 49, 51, 56, 58], [48, 52, 53, 54, 55, 57, 60, 59]]
107: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6], [8, 4, 11, 9], [14, 12, 10, 19, 15, 18], [22, 16, 23, 20, 17], [25, 24, 31, 28, 26], [30, 29, 33, 32, 45], [36, 37, 44, 47, 46, 34, 38, 39, 40, 43, 41], [42, 48, 50, 51, 52], [54, 49, 55, 58, 60, 59, 56, 53, 57]]
108: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6], [8, 4, 11, 9], [14, 12, 10, 19, 15, 18], [22, 16, 23, 20, 17], [25, 24, 31, 28, 26], [30, 29, 33, 32, 45], [36, 37, 44, 47, 46, 34, 38, 39, 40, 43, 41], [42, 48, 50, 51, 52], [54, 49, 55, 58, 60, 59, 56, 53, 57]]
109: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6, 12], [4, 11, 9, 10, 8, 14, 15, 18, 16, 23, 17, 19, 22, 20, 25, 31, 26, 28, 29, 24, 30, 32, 34, 41, 37, 33, 36, 38, 39, 44, 40, 45, 46, 42, 43, 47, 50, 56, 49], [57, 48, 53, 54, 51, 58, 52, 55, 59, 60]]
110: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6, 8, 4, 11, 14], [9, 10, 12, 29, 17, 23, 15, 16, 22, 28, 20, 18, 25], [24, 19, 31, 26, 30, 33, 40, 32, 36, 34, 38, 45, 42, 37, 43, 39, 47, 50, 41, 46, 54, 44, 49, 48, 52, 51, 55, 53, 56, 57, 59, 58, 60]]
111: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6], [8, 4, 11, 9, 15], [12, 26, 14, 10, 17, 16], [18, 19, 20, 22, 23, 28, 25, 24, 29, 31, 30, 37], [32, 40, 36, 34, 33, 38, 46, 43, 45, 39, 44, 41], [42, 47, 58, 48, 49, 56, 50, 55, 53, 52, 51, 54, 59, 60, 57]]
112: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6], [12, 11, 4, 14], [8, 9, 31, 16, 15, 17, 18, 22, 20, 19, 23, 24, 26, 25, 29, 28, 10], [30, 37, 34, 36, 33, 32, 38, 42, 40, 44, 41, 47, 45, 39, 43, 46, 56, 48, 52, 51, 49, 54, 55, 53, 50, 57, 59, 60, 58]]
113: [[35, 1, 2, 7], [27, 3, 13, 5, 21, 6], [8, 4, 11, 10, 9], [12, 14, 23, 16, 17, 20, 15], [26, 19, 18], [31, 28, 29, 25, 22], [24, 30, 37, 32, 33, 36, 38], [42, 47, 34, 41, 43], [39, 40, 44, 46, 45, 48], [50, 53, 51], [55, 59, 54, 49, 52], [58, 60, 57, 56]]
114: [[35, 1, 3, 15, 26], [2, 13, 5, 4, 7], [6, 8, 9, 12, 11, 10], [14, 17, 16, 19, 20], [22, 29, 18, 21, 23], [24, 31, 28, 25, 27], [30, 37, 32, 33, 36], [34, 50, 44, 38, 42], [47, 41, 43, 45, 39, 40], [60, 56], [53, 51, 46, 52, 55], [49, 48, 58, 57, 54, 59]]
115: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6], [8, 4, 11, 9, 14], [15, 12, 10, 17, 16, 26, 22], [24], [30, 19, 18, 20, 23, 31, 29, 25, 28], [37, 40, 33, 38, 34, 43, 46, 32, 36, 41, 44, 42, 47, 45, 39], [50, 48, 53, 49, 52, 55, 51, 56, 58, 54, 57, 60, 59]]
116: [[35, 1, 2, 7, 27, 3, 13], [5, 21, 6, 8, 4, 11], [9, 14, 10, 28, 12, 16], [25, 31, 15, 23], [22, 18, 19, 17, 30], [20, 26, 24, 29, 37, 44, 33, 39, 36, 32, 43, 38, 34, 42, 40, 41, 46, 45, 47, 59, 54, 52, 56, 49, 50, 53, 48, 55, 60, 58, 51, 57]]
117: [[35, 1, 2, 7, 27, 3, 13], [5, 21, 6, 8, 4, 11], [9, 10, 14, 28, 12, 16], [15, 17, 18, 30], [22, 24, 19, 20, 23], [25, 26, 31, 29, 33, 40], [32, 38, 34, 36, 42], [45, 46, 37, 39, 41, 43, 47, 44, 57, 53, 51, 56, 55, 50, 49, 48, 59, 54], [52, 58, 60]]
118: [[35, 1, 7], [15, 2, 3, 13, 5, 23, 21, 8, 4, 9, 12, 6, 14, 11, 16, 17, 18, 25, 26, 19, 27, 20, 22, 30, 29, 24, 28, 36, 10, 40, 32, 39, 31, 34, 41, 37, 45, 43, 38, 42, 46, 44, 33, 58, 52, 54, 55, 47, 48, 49, 51, 56, 50, 53, 57], [59, 60]]
119: [[35, 1, 3, 11, 27], [2, 13, 5, 20, 21], [12, 4, 6, 7, 9], [10, 15, 8, 16, 18], [23, 14, 17, 19, 24], [22, 26, 30, 28, 25], [29, 31, 32, 40, 33], [34, 48, 39, 36, 43], [46, 37, 42, 44, 45], [38, 41, 47, 50, 51], [49, 53, 52, 55, 56], [54, 58, 57, 59, 60]]
120: [[35, 1, 2, 7, 27, 3, 13, 5, 21, 6, 8], [4, 9, 11, 14], [10, 12, 31, 22, 17, 15], [18, 19, 16, 20, 28], [30, 23, 25, 24, 26, 29, 37, 32, 34, 33, 39, 38], [41, 36, 42, 47, 40, 46, 45, 43, 44, 50, 48, 49, 58, 52, 51, 55, 54, 57, 53, 56, 60, 59]]
121: [[35, 1, 6, 19, 3], [2, 13, 5, 23, 20, 10], [8, 11, 4, 12, 7, 9, 27, 14, 30, 31, 15], [18, 17, 16, 22, 26], [21, 29, 25, 28, 24], [40, 32, 37, 33, 54], [36, 38, 39, 43, 42], [34, 41, 44, 45, 47], [46, 50, 55, 48, 51, 53, 52, 49, 57, 56, 58, 59, 60]]
