0: [[7, 35, 1, 2], [3, 8, 4, 13, 5, 26, 9, 25, 11, 21, 6], [30, 15, 12, 24, 31, 29, 14, 23, 16, 10], [17, 19, 20, 22, 27, 28, 50, 55, 32, 33], [42, 38, 44, 37, 34, 36, 39, 47, 45], [40, 41, 43, 18], [54], [57, 49], [46, 48], [52, 56, 59, 51, 53, 58, 60]]
74: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 11, 25, 6, 28, 10], [30], [9, 15], [16, 26], [29, 14, 22, 12, 56, 27, 18], [17, 19, 23, 24, 31, 53, 42, 32, 33, 38, 44, 36, 34, 37, 39, 45, 41, 40, 46, 43, 20, 50, 57, 49, 47, 48, 52, 51, 54, 55, 58, 59, 60]]
75: [[7, 35, 1, 2, 3, 8], [4, 13, 21, 5], [14, 11, 6, 15, 9], [20, 28, 10, 12, 31, 18, 16, 19, 23], [27, 22, 17], [24, 29], [26, 25, 30, 32, 33, 36, 37, 38, 42], [34, 43, 39, 46, 45, 40, 41, 44, 47], [50, 54, 48, 49, 52], [51, 55, 53, 59, 57, 60, 58, 56]]
76: [[7, 35, 1, 2, 3], [8, 4, 13], [21, 5, 6, 27, 10, 15, 9, 11, 28, 12, 14, 22, 16, 18, 24, 19, 20, 17, 23, 30, 25, 26, 29, 31, 44, 34, 32, 37, 38, 33, 41, 47, 36, 42, 43, 46, 39, 50, 45, 40, 48, 51, 52, 49, 55, 53, 54, 58, 57, 56, 59], [60]]
77: [[7, 35, 1, 2, 3, 8, 4], [13, 5, 21, 6, 9, 10], [12, 11, 15, 14, 18, 30, 20], [16, 17, 24, 22], [27, 23, 31, 26, 28], [25, 19, 29, 37, 33, 34, 38, 51], [40, 39, 32, 42, 43, 46, 41, 44], [36, 45, 56, 47, 49, 53, 50], [52, 60, 48, 54], [55, 58, 57, 59]]
78: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 5, 10, 25], [11, 14, 15, 30], [9, 12, 17, 18, 27, 6, 23, 16, 20, 19, 29, 24, 22, 26, 28, 58, 32, 40, 37, 42, 38, 46, 33], [31, 34, 47, 43, 45, 36, 49], [39, 50], [41, 57, 44, 54, 48, 55, 52], [59, 51, 53, 56, 60]]
79: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 5, 6, 25, 10, 12, 9], [15, 31, 17, 29, 19, 11, 18, 22], [23, 14, 27, 16], [20, 24, 28, 26, 30, 33, 32, 37, 38], [46, 34, 41, 36, 39, 43, 47, 40, 44], [42, 45, 49, 48], [57, 50, 52, 51, 55], [53, 54, 58, 56, 59, 60]]
80: [[7, 35, 1, 2, 3], [8, 4, 13, 21, 23, 5], [11, 10, 9], [12, 14, 6, 15, 18, 16, 17, 24], [22, 19, 20, 27, 25, 26, 28, 29, 31, 59, 32, 30, 33, 38, 36, 46, 37], [39, 45, 41, 44, 40, 42, 43, 51, 47, 52, 53, 34, 49, 55, 54, 48, 50, 58, 57, 56, 60]]
81: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 15, 5, 25], [10, 6, 26, 14, 9], [11, 12, 17, 20, 23, 22, 18], [16, 19, 30, 31, 29, 27, 28, 24], [39, 32, 37, 33, 46, 36, 45, 38, 34, 44, 47, 40, 42, 41], [43, 49, 50, 57, 51, 48, 54, 55, 60, 56, 52, 53, 59, 58]]
82: [[7, 35, 1, 2, 3, 8, 4, 13, 21], [18, 9, 25, 15, 6], [14, 30, 5, 12, 17, 31, 24, 10, 11, 16, 22, 20, 19, 23], [26, 27, 29, 28, 55, 32, 33, 34, 38, 46, 36, 37, 42, 39, 44, 41, 40, 45, 43, 51], [50, 47, 49, 59, 48, 52, 54, 57, 58, 53, 60, 56]]
83: [[7, 35, 1, 2, 3, 8], [4, 13, 5, 9, 6], [27, 11], [10, 28, 26, 30], [12, 18, 14, 15, 16, 19, 21], [20, 17, 22, 24, 23], [29, 25, 31, 37, 43, 36, 32, 34], [33, 45, 38, 39, 41, 44, 46, 42], [40, 59, 47, 48], [58, 50, 57, 49, 52, 51, 53], [55, 60, 54, 56]]
84: [[7, 35, 1, 2], [3, 8, 4, 13, 5, 6], [9, 31, 11, 10, 18, 19, 15, 12, 30, 20], [21, 14, 22, 17, 26, 23, 24, 16, 28, 25], [27, 56, 55, 40, 37, 42, 34, 29, 32], [33, 38, 46, 47], [45], [41, 36], [43, 39, 44, 48, 49, 60, 50], [52, 53, 57, 51, 54, 58, 59]]
85: [[7, 35, 1, 2], [3, 8], [4, 13, 21, 5, 24, 9, 26], [6, 10, 15, 31, 14, 11], [19, 17, 25, 18, 12], [30, 23, 16, 27, 20, 28, 29, 37, 32], [22, 33, 40, 38, 39, 34], [36, 42, 41, 43, 44], [56, 45, 47, 50], [48, 59, 49, 46, 53, 52, 54, 55, 51, 60, 58], [57]]
86: [[7, 35, 1, 2, 3, 8, 4, 13], [5, 14, 11], [12, 9, 15, 28, 19, 18, 10], [20, 22, 16], [23, 24, 25, 17, 26, 27, 30, 29, 21, 6], [31, 33, 32], [36, 34, 38], [39, 37, 41, 42, 47, 40, 46, 43, 44], [45, 50, 49, 53, 57, 52, 48, 54, 55], [56, 51, 59, 58, 60]]
87: [[7, 35, 1, 2, 3, 8, 4, 13, 21], [5, 14, 9, 10, 6, 11, 15, 18, 17, 28, 12, 16, 24, 22, 20, 19, 23, 27, 25, 31, 30, 29, 26, 32, 33, 58, 37, 34, 36, 45, 38, 39, 44, 40, 47, 41, 50, 42, 43, 46, 48, 51], [54, 49, 53, 52], [56, 59, 55, 57, 60]]
88: [[7, 35, 1, 2, 3, 8, 4, 13], [21, 6, 5, 11], [9, 10, 14, 31, 12, 28, 26], [24, 15, 22, 17, 18, 16, 20, 19], [27, 29, 23, 25, 30], [37, 32, 33, 39, 36, 46, 40], [34, 38, 47, 43, 42, 44, 41], [45, 56, 49, 50, 55, 48, 51], [54, 52, 53, 58, 60, 59, 57]]
89: [[7, 35, 1, 2], [3, 8, 4, 13, 21], [5, 6, 27, 9, 22, 10, 12, 11, 14, 31, 30], [20, 15, 17, 16, 25], [18, 28, 19, 23, 26, 29, 24, 32], [40, 33, 37, 34, 36, 39, 47, 41, 38, 42, 43], [44, 45, 46, 51, 49, 50, 55, 48], [52, 53, 54, 60, 57, 56, 59, 58]]
90: [[7, 35, 1, 2, 3, 8, 4], [13, 5, 14, 6, 27, 10, 15], [11, 12, 24, 9, 28, 16, 19, 18, 20], [21, 22, 17, 23], [25, 26, 29, 31, 57, 34, 30, 37, 38, 32, 55, 44, 41, 33, 36, 39, 42, 40, 46, 47, 43, 48, 51, 54, 49, 45, 52, 59, 50, 53, 60, 58, 56]]
91: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 5, 6], [11, 10, 30, 9, 14], [26, 15, 16, 17, 12, 23, 27, 22], [19, 18, 24, 20, 28, 31, 29, 25], [32, 34, 33, 52, 38, 41, 36, 47], [37, 39, 46, 45, 42], [40, 43, 59, 48, 50, 53, 44, 49, 51, 54, 55, 57, 58, 56], [60]]
92: [[7, 35, 1, 2], [3, 8, 4, 13], [21, 5, 6, 27, 10], [11, 25, 14, 12, 30, 17], [24, 16, 15], [19, 22, 9, 20, 23, 18, 31, 26, 29], [28, 33, 32, 34, 36, 38, 39, 37, 45, 42, 43, 47, 44, 41, 40, 46, 49, 53, 50, 57, 52, 48, 54, 55, 51, 56, 58, 59, 60]]
93: [[7, 35, 1, 2], [3, 8, 4, 13, 5, 30, 6, 11, 9, 12, 10], [14, 15, 28, 17, 31, 18, 21, 23, 22, 24], [16, 19, 20, 25, 27, 26, 29, 55, 36, 33], [38, 32, 44, 34, 41, 37, 39, 47, 45], [40, 57, 43, 50], [42], [59, 49], [51, 46], [52, 54, 48, 60, 53, 58, 56]]
94: [[7, 35, 1, 2, 3, 8], [4, 13, 21, 5, 6, 27, 10, 11], [9, 12, 14, 15], [16, 19, 24, 18, 28, 20, 22], [17, 23, 25, 30, 26], [31, 59], [38, 29, 33, 32], [34, 60, 44, 45, 39, 43, 36], [37, 42, 40, 47], [41, 48, 55, 50, 49, 46, 52, 51], [53, 54, 56, 58, 57]]
95: [[7, 35, 1, 2, 3, 8, 4], [13, 21, 19, 5, 11, 10, 24], [14, 6, 9, 26], [12, 15, 29, 28, 22, 20], [32, 31, 18, 16, 30, 23, 25, 49, 39, 33], [37, 40, 38, 36, 41, 27, 34, 17, 43], [42, 47, 44, 45, 46, 50, 51, 52, 48, 53, 55, 59, 54, 58], [56, 57, 60]]
96: [[7, 35, 1, 2, 3, 8, 4, 13], [21, 12, 5, 25, 11, 6, 15, 30, 9, 19, 26, 10, 20, 18, 22, 14, 17], [16, 23, 27, 24], [28, 29, 54, 37, 32, 31, 60, 44, 33], [46, 38, 36, 43, 39], [34, 40, 41, 42, 56, 52, 57, 45, 48, 47, 55, 49, 50, 58, 51, 59, 53]]
97: [[7, 35, 1, 2, 3, 8], [4, 13, 21, 9, 5, 25, 15, 14], [10, 6, 11, 12, 31, 19], [17, 20, 18, 22, 24, 28, 16, 23, 26, 27, 29, 52, 34, 33, 30, 38, 36], [37, 39, 47, 32], [43, 42, 41, 46, 45, 40, 44, 49, 50], [55, 54, 51, 53, 48, 58, 57, 59], [60, 56]]
98: [[7, 35, 1, 2, 3], [8, 4, 13, 5, 6, 10, 11], [9, 12, 14, 15], [26, 20, 18, 21, 19, 16], [22, 23, 50, 17, 28, 30, 24, 29, 31, 25, 40, 41, 32, 39, 27, 33, 42, 37, 44], [47, 34, 49, 36, 43, 38, 59, 46, 45, 51, 48, 52, 54, 53, 55, 56, 57, 58, 60]]
99: [[7, 35], [1, 2, 3, 8, 4, 13, 21, 5, 14, 11, 6, 9, 12, 26, 28, 15, 10, 18, 19, 16, 17, 23, 22, 20, 24, 25, 29, 31, 27, 30, 32, 33, 36, 37, 38, 34, 44, 46, 42, 39, 47, 40, 41, 43, 48, 59, 45, 49, 51, 50, 55, 54, 53, 52, 57, 56], [58, 60]]
100: [[7, 35, 1, 2, 3, 8, 4, 13], [21, 5, 6, 9, 11, 30], [15, 19, 10, 17, 12, 16, 14, 23], [24, 18, 25, 20, 28], [29, 27, 31, 57, 26, 41, 34, 36, 53, 37, 22, 32, 47, 40], [42, 33, 44, 38, 39, 43, 45, 48, 54, 46, 49, 52, 51, 55, 50, 56, 60, 59, 58]]
101: [[7, 35, 1, 2, 3, 8, 4, 13], [21, 6, 5, 11, 10, 9, 14], [15, 23, 12, 16, 19, 18, 27], [22, 20, 28, 26, 17, 29, 25, 24, 30], [31, 34, 32, 37], [38, 33, 46, 43, 36, 39, 41, 45, 42], [44, 40, 52, 47, 48, 53, 49, 54, 51], [55, 56, 50, 59, 58], [57, 60]]
102: [[7, 35, 1, 2, 3, 8], [4, 13, 5, 21], [6, 25, 14, 11, 12], [10, 31, 9, 16, 15], [18, 28, 27, 19, 30], [17, 20, 22, 23], [24, 29, 26, 32, 34], [37, 38, 36, 39, 41, 33], [44, 43, 45, 42, 40], [46, 47, 49, 50], [48, 54, 57, 51, 52, 53, 55], [59, 56, 58, 60]]
103: [[7, 35, 1, 2, 3, 8, 4, 13, 5, 21, 6, 9, 10, 11, 14, 15, 28, 12, 30, 19, 16, 20, 26], [22, 17, 23, 27, 24, 29, 25, 18, 31, 36, 41, 33, 38], [39, 34, 37], [32, 42, 43, 44, 40, 46, 47, 45], [56, 50, 51, 49, 53, 52, 48, 55, 54, 57, 58, 60, 59]]
104: [[7, 35, 1, 2, 3], [8, 4, 13, 5, 14, 6, 27, 10], [11, 12, 15, 17], [9, 22, 30, 18, 19, 31], [21, 16, 25, 29], [20, 23, 24, 26], [28, 32, 33, 37, 38, 50, 46, 34, 36, 39, 41, 40, 42, 44], [43, 47, 53, 54, 51, 52, 57, 49, 45, 48, 59, 55, 60, 58, 56]]
105: [[7, 35, 1, 2, 3, 8, 4, 13, 21], [6, 5, 11, 10, 19], [24, 14, 9], [12, 16, 15, 23, 31, 25, 22, 18], [20, 30, 26, 17, 28, 29, 27, 37, 36, 32, 38, 33, 34, 39, 41, 44, 46], [47, 43, 42, 58, 40, 50, 52, 53, 48, 49, 45, 51, 54, 56, 57, 55, 59, 60]]
106: [[7, 35, 1, 2, 3, 8], [4, 13, 5, 20, 6, 27, 14], [9, 11, 12, 30, 10], [26, 31, 15, 16], [17], [19, 22], [23, 25, 18, 28], [21, 24, 29, 39, 43, 33, 38], [32, 36, 37, 34, 40, 41], [44, 46, 42, 45, 47, 58, 49], [48, 51, 54, 53, 52, 55], [50, 56, 59, 57, 60]]
107: [[7, 35, 1, 2, 3], [8, 4, 13, 5, 12, 6, 11, 10], [9, 15, 14, 24], [17, 22, 20, 19, 18, 31, 25], [16, 27, 21, 26, 23], [28, 29, 30, 36, 45, 37, 38, 39], [32, 40, 33, 47], [43, 46, 34, 41, 42, 44, 53, 48, 49, 54, 55, 57, 52, 58], [50, 51, 60, 56, 59]]
108: [[7, 35, 1, 2, 3], [8, 4, 13, 5, 6, 10, 30, 9], [14, 11, 15, 26, 12, 22], [16, 19, 20, 23, 18, 21, 17, 25], [27, 24, 28, 31, 29, 46], [40, 32, 39, 33, 36, 34, 37, 38], [41, 42, 43, 52, 44, 45, 57, 59, 47, 51, 48, 50, 55, 49, 53, 56, 54, 58, 60]]
109: [[7, 35, 1, 2], [3, 8, 4, 13, 21], [5, 6, 27, 11, 18, 10], [14, 15, 24, 28, 20, 9, 23], [16, 12, 17, 19, 22], [30, 31, 25, 32, 26, 52, 40], [33, 29, 34, 45, 36, 39, 38, 41, 43], [44, 42, 37, 46, 47], [49], [50, 54], [48, 51], [55, 53, 60, 58, 56, 59, 57]]
110: [[7, 35, 1, 2, 3, 8, 4, 13, 21, 5, 6, 9, 10, 14, 15, 11, 12, 18, 22, 16, 17, 20, 19, 29, 24, 26, 23, 27, 25, 28, 30, 31, 37], [32, 33, 38, 54], [34, 42, 36, 41, 47, 39, 40, 43, 44, 45, 57, 46, 51, 48, 49, 55, 53, 50, 60, 56, 52, 58, 59]]
111: [[7, 35, 1, 2], [3, 8, 4, 13], [21, 11, 18, 25, 10, 12, 6, 30, 14], [15, 17, 23, 9, 22], [19], [16, 42, 20, 28], [26, 24, 27, 29, 51, 53], [34, 33, 43, 38, 40, 31, 32, 36, 39, 37], [44, 5, 41, 47, 45, 49, 57, 48, 46, 50, 52, 59, 55, 54, 60, 56, 58]]
112: [[7, 35, 1, 2, 3, 8, 4], [13, 5, 6, 24, 17, 9, 10], [11, 12, 15, 26, 30, 29, 18, 23], [19, 16, 21, 22, 20, 31, 27, 25, 28, 57, 39, 33, 32, 38, 14, 36, 44], [41, 37, 43, 40, 42], [34, 45, 46, 47, 54, 49, 50, 48], [51, 53, 52, 55, 58, 56, 59, 60]]
113: [[7, 35, 1, 2, 3, 8, 4, 13], [21, 5, 6, 25, 11, 9, 15, 14], [12, 10, 20, 31], [22], [17, 19], [18, 16], [26, 23, 24, 27, 30, 28, 29], [37, 34, 32, 49, 33, 41, 36, 39, 38, 43, 42, 40], [44, 47, 45, 58, 50, 48, 51, 54, 46, 53, 52, 55, 56, 59, 57, 60]]
114: [[7, 35, 1, 2, 3], [8, 4, 13, 5, 28, 11, 14, 9, 6, 12], [10, 15, 19, 18], [30, 17, 16, 20], [21, 23, 24, 22, 25, 27], [31, 29, 26, 48, 33, 34, 36, 32, 38, 39, 43, 45, 40, 42, 41, 60, 46, 37, 44, 47, 51, 49, 52, 54, 50, 55, 53, 57, 59, 56, 58]]
115: [[7, 35, 1, 2], [3, 8, 4, 13], [21], [5, 6, 11], [9, 28], [14, 15, 17, 10, 19, 22, 24], [12, 23, 18, 20, 30, 16, 25, 27, 31, 26, 29, 39, 32, 37, 40, 38, 36, 44, 34, 47, 41, 33, 45, 42, 49, 43, 46, 54, 50, 55, 48, 52, 53, 58, 51, 56, 57, 59, 60]]
116: [[7, 35], [1, 2, 3, 8, 4, 13], [20, 25, 14, 9, 15, 12, 28, 11, 31, 5, 10, 6], [16, 19, 18, 22, 23, 17, 26, 24, 27, 29, 30, 37, 43, 33, 38, 32, 39, 36, 34, 40, 41, 44, 46, 42, 45, 47, 58, 49, 48, 50, 54, 53, 52, 55, 51, 57, 59, 56, 60, 21]]
117: [[7, 35, 1, 2], [3, 8, 4, 13, 5], [9, 6, 11, 15, 16], [10, 14, 28], [18, 27, 12, 17, 23, 21], [20, 24, 19, 22, 26, 30, 25, 29, 31], [34, 36, 33, 39, 37, 38, 32, 40, 42], [45, 44, 41, 43, 47, 49], [60, 46, 51, 48], [50, 55, 52, 54, 53, 57, 58, 56, 59]]
118: [[7, 35, 1, 2, 3], [8, 4, 13, 5, 30, 11, 31], [17, 21, 12, 15], [6, 9, 19, 10, 14, 16, 22, 18], [23, 29, 24, 20, 26, 28, 27], [25, 48, 33, 50, 38, 32, 39, 34, 36], [44, 37, 46, 45, 52, 40, 41], [58, 47, 51, 49, 42, 55], [43, 54, 53, 56, 57, 59, 60]]
119: [[7, 35, 1, 2], [3, 8, 4, 13, 21, 23, 5, 15, 10], [11, 30, 14, 18], [9, 22, 12, 6, 20, 16, 17], [25, 26, 24, 27, 19], [28, 29, 31, 36, 43, 33, 37, 34], [38, 46, 40, 47, 39, 44, 42, 45], [48, 50, 41, 49], [55, 32, 54, 57, 53, 52, 59], [51, 56, 58, 60]]
120: [[7, 35, 1, 2, 3, 8, 4], [13, 5, 9, 6, 17, 11], [15, 10, 12, 31, 19, 26], [14, 20, 22, 21, 18], [16, 23, 25, 28], [27, 24, 29, 49], [37, 36, 32, 38, 46, 39], [40, 30, 33, 42], [34, 43, 45, 41, 44, 47, 50, 57, 55], [54, 48, 51, 52, 53, 58, 56, 59, 60]]
121: [[7, 35, 1, 2, 3, 8, 4, 13], [21, 5], [6, 27, 10, 15, 9, 30], [12, 14, 22, 19], [23, 17, 20, 11, 16, 26, 29, 25], [28], [18, 24, 31, 40, 33, 32, 53, 38, 39, 37, 41, 34, 47, 42, 36, 46, 43, 44, 57, 49, 51, 56, 48, 50, 45, 54, 52, 55, 58, 59, 60]]
