0: [[1, 3, 7, 2, 5], [8, 9, 4], [11, 12, 14, 30, 24], [31], [23, 22], [15, 16, 27, 10], [13, 29, 26, 21, 6], [19], [25, 17, 20, 42, 28, 58, 46, 35, 39, 33, 55, 32, 36], [38, 37, 41, 40, 43, 44, 45, 47, 51, 18], [57, 49], [48, 50, 34, 52, 53, 54, 59, 60, 56]]
74: [[1, 3, 7, 2, 5, 24, 12, 6, 15, 8, 4], [11, 9, 10], [13, 17, 20, 14, 22, 16, 27, 18, 25, 28, 21, 23, 19, 38, 26, 30, 37, 42, 31, 29, 32, 41, 33, 56, 57, 34, 35, 39, 47, 36, 40, 43], [46, 54, 51, 44, 53, 52, 45, 48, 59, 49, 50, 58, 55, 60]]
75: [[1, 3, 7, 2, 5, 24, 12, 6, 4, 10, 29], [27, 8, 30, 9, 11, 13, 14, 23], [18, 15, 21, 16, 17, 19, 26, 22, 28, 20, 51, 32, 31, 59, 54, 35, 44], [58, 34, 57, 39, 37, 50, 43, 25, 46, 33, 36, 38, 40, 41, 53, 52], [48, 42, 45], [47, 49, 56, 55, 60]]
76: [[1, 3, 7, 2, 5, 24, 12, 4, 10, 22, 6, 8, 30, 25, 23, 29, 9, 15, 11, 13, 31, 14], [17, 19, 18, 16, 20, 59, 21, 27, 26, 32, 46, 38, 39], [28, 37, 40, 41, 54, 33, 42, 53, 60, 43, 35, 45, 34, 48, 49, 56, 36, 44, 47, 55, 52, 51, 58, 50, 57]]
77: [[1], [3, 7, 2, 5], [16, 13], [6, 10], [4, 9, 12, 26, 18, 8, 15, 19, 14, 22, 23, 17, 20, 21, 27, 30, 24], [25, 11, 28, 59, 53, 40, 60, 29, 34, 36, 31, 32, 37, 46, 35, 38, 41, 39, 42, 45, 52, 43, 48, 33, 44, 50, 47, 54, 51, 49, 55, 57, 58, 56]]
78: [[1, 3, 7, 2, 4], [16], [13, 6, 10, 12, 5, 31, 24, 29, 15, 8, 27, 18, 11, 14, 9, 23, 17], [21, 19, 26, 20, 57, 22, 28, 25, 32, 30, 43, 36, 34, 39], [35, 37, 33, 38, 40, 47, 41, 44, 45], [46, 49, 42, 56, 48, 52, 50, 51, 55, 54, 58, 59, 53, 60]]
79: [[1, 3, 7, 2, 5, 24, 12, 4, 14, 6, 13, 11], [26, 9], [10, 8, 27, 21, 30], [18, 15, 19, 16, 20, 22, 17, 25, 58, 23, 31, 28, 54, 32, 46, 33, 29, 35, 41, 34, 37, 39, 36, 43, 38, 47, 42, 59, 40, 45, 44, 55, 50, 48, 57, 49, 60, 51, 52, 53, 56]]
80: [[1, 3, 7, 2, 4, 24, 12], [5, 8, 15, 6, 9], [11, 29], [10, 27, 30, 13, 16, 14, 18, 17, 22, 19, 20, 23, 28, 21], [26, 25], [31, 54, 32, 33], [43, 38, 34, 36, 45, 39, 44, 35, 40, 46, 37, 41, 42, 47, 50, 52, 49, 53, 55, 56, 51, 48, 58, 57, 59, 60]]
81: [[1, 3, 7, 2, 4, 24, 12], [5, 10, 11, 6, 8], [31, 25, 14, 9, 21, 15, 17, 18, 23, 20, 22, 16, 27, 26, 19, 53, 28, 30, 46, 29, 40, 36], [33, 35, 37, 32, 34, 41, 13, 45, 38, 44, 57, 47, 43, 42, 55, 48, 50, 39, 49, 51, 56, 52, 59, 54, 58, 60]]
82: [[1, 3], [7, 2], [5, 16, 8, 18, 6, 26], [9, 29, 4, 12, 11, 15, 19, 10], [13, 22], [20, 17, 14, 27, 21, 23], [30, 24, 28, 25, 55, 33, 31, 36, 34, 45, 38, 32, 39, 37], [40, 43, 42, 47, 41, 46, 56], [44, 35, 51, 48, 50, 49, 53, 52, 57, 59, 54, 58, 60]]
83: [[1, 3, 7, 2, 5, 24, 12, 4, 15, 10, 14], [11, 18, 9, 13, 22, 8, 6, 20, 17, 29, 19, 16, 25, 21, 23, 27, 54], [26, 30, 45, 43, 34], [28, 31, 33, 32, 56, 57, 46, 37, 35, 47], [38, 41, 39, 40, 42, 51, 36, 44], [52, 48, 55, 59, 50, 53, 49, 58, 60]]
84: [[1, 3, 7, 2], [5, 24, 12, 6, 10, 4], [9, 11, 30, 18, 13, 28, 23], [8, 27, 14, 15, 16, 20, 17], [21, 25, 19, 22, 29, 26, 59, 36], [31, 49, 37, 33, 32, 47, 34], [48, 43, 39, 38, 41, 44], [40, 56, 42, 46, 45, 35], [50, 53, 51, 52, 55, 58, 54, 60, 57]]
85: [[1, 3, 7, 2], [5, 24, 12, 4, 9], [14, 6, 8, 11, 25, 10, 13, 15, 16, 18, 22, 20, 17, 27], [21, 19], [23, 26, 28, 30], [29, 31, 43, 34, 35, 32, 39, 36, 41, 44, 33, 37, 38, 40, 42, 47, 45, 46, 51, 49, 50, 48, 53, 58, 52, 55, 59, 54, 57, 60, 56]]
86: [[1, 3, 7, 2, 4, 24, 8, 5, 14, 10, 13], [6, 27, 11, 9, 12, 15, 16, 25, 20, 22, 23, 18, 17, 19, 21], [26, 28, 29], [30, 45], [56, 31, 35, 39, 36, 48, 33], [37, 32, 34, 43, 40], [54, 47, 38, 57, 41, 49, 42, 44, 46, 52, 53, 51, 55], [50, 58, 59, 60]]
87: [[1, 3, 7, 2, 5, 24, 8, 4, 6, 9, 19], [11, 10, 15, 12, 13, 28], [29, 17], [16, 27, 20, 22, 31, 18, 21, 14, 26, 23, 34, 50, 44, 42, 43, 39, 25, 30, 33, 37, 32, 47, 38, 35, 41, 46], [53, 49, 52, 40, 57, 48, 45, 54, 36, 55, 58, 56, 59, 51, 60]]
88: [[1, 3], [7, 2, 5, 16, 8, 4, 14, 10, 9, 12], [6, 11, 15, 19], [30, 21, 18, 23, 28], [22, 20, 24, 25, 17, 26, 29, 31, 27, 34], [33, 32, 37], [42, 13, 39, 35, 47, 36], [38, 41, 43, 54, 40, 44, 45], [50, 46, 49, 51, 53, 52, 55, 58, 48, 56, 57, 59, 60]]
89: [[1, 3, 7, 2], [5, 24, 12, 6, 4, 10, 8, 27, 13, 9, 15], [11, 29, 14, 21, 19, 17, 22, 20, 16, 18, 23, 26, 25, 30, 49], [28, 41, 48], [36, 31], [39, 35, 34, 32, 33, 40, 38, 43, 42, 44, 47, 45, 37, 46, 51, 53, 50, 54], [57, 52, 60, 59, 58, 55, 56]]
90: [[1, 3, 7, 2], [5, 8, 13, 10, 9, 14, 12, 11, 31, 16, 15], [6, 26, 23, 17, 20, 19, 21, 22, 18, 24, 29, 48, 30, 25, 27], [33, 32, 28], [37, 55], [39, 36, 34, 41], [47, 40, 35, 38, 4, 46, 42, 43, 60, 44, 50, 49, 45, 53, 54, 51, 57, 56, 59, 52, 58]]
91: [[1, 3, 7, 2], [5, 28, 12, 14, 6, 30, 8, 9, 26, 10, 20], [23, 27, 15, 4, 21, 22, 19, 24, 17, 25, 18, 16, 29], [31, 11, 40, 33, 54, 13, 37], [47, 55, 39, 53, 43, 45, 41, 35, 46, 42, 44, 59, 36, 48, 57, 34, 51, 32, 38, 49, 50, 52, 56, 58, 60]]
92: [[1, 3, 7, 2, 5, 24, 13, 6, 8, 26, 4, 11, 31, 10, 15], [9, 12, 22, 25, 14, 23, 19, 17, 16, 21, 28, 50, 18, 20, 27], [32, 37, 29, 30, 55, 35, 36], [43, 33, 46, 40, 38, 44, 39, 45, 56, 34, 41, 47, 42, 49, 48, 53], [52, 51, 54, 57, 59, 58, 60]]
93: [[1, 3, 7, 2, 5, 24, 12, 4, 6, 14, 9, 8], [27, 15, 17, 13, 11], [20, 10, 21, 22, 19, 16, 26, 29, 23, 28], [18, 31, 25, 30, 54, 32, 55, 37, 44, 35, 43, 34, 45, 39, 36, 42, 50, 41, 33, 40, 58, 48, 60, 38, 46, 47, 49, 51, 52, 57, 53, 56, 59]]
94: [[1, 3, 7, 2, 5, 24], [8, 4, 6, 14, 10, 13, 27], [9, 11, 15, 29, 17, 12], [21, 16, 23, 18, 19, 22, 20, 26, 30, 25, 28, 31, 34, 33, 43, 36], [37, 41, 35, 38, 47, 39, 44, 40, 46, 48, 42, 51, 59, 52, 45, 49, 32, 56, 50, 53, 60, 54, 55, 57, 58]]
95: [[1, 3, 7, 2, 5, 24, 12, 6, 13, 14, 9, 10, 11, 26, 17, 25], [21, 15, 29, 18, 19, 28, 30, 20], [23, 4, 8, 16, 22, 55, 42, 53, 60, 51, 40, 36, 27, 32, 31, 54, 38, 35, 46, 44, 43, 33, 47, 34, 45, 37, 52, 39, 50, 49, 41, 48, 57, 56, 58, 59]]
96: [[1, 3, 7, 2], [5, 24, 12, 4, 6, 14, 8, 9, 10, 11, 13, 20], [31, 27, 18, 17], [22, 15, 16, 25], [23, 19, 21], [26, 28], [29, 45, 36, 34, 30, 37, 43, 39, 35, 32, 33, 40], [41, 47, 46, 42, 44], [57, 38, 56, 59, 49, 51, 48, 52, 50, 54], [53, 55, 58, 60]]
97: [[1, 3, 7, 2, 4, 24, 8, 13, 16, 15, 5, 12], [10, 29, 9, 18, 11, 14, 17, 6, 20, 22, 21, 26], [19, 23], [30, 27, 28, 25, 31, 32, 40, 34, 33, 38, 36], [41, 42, 39], [37, 43, 35, 46, 47, 45, 44, 51, 57, 49, 50, 53, 59, 52, 54, 48, 55, 60, 56, 58]]
98: [[1, 3, 7, 2], [5, 24, 8, 4, 13, 26, 6, 18, 25, 17, 27], [9, 30, 20, 16, 19, 10, 11, 22, 12, 21, 29, 14, 23, 15, 31], [28, 33, 36], [38, 34], [46, 37, 40], [32, 35, 47, 39, 41, 45, 43, 42, 44, 48, 50, 51, 53, 54, 55, 49, 52, 57, 59, 56, 58, 60]]
99: [[1, 3, 7, 2, 4, 24, 8, 6, 15, 23, 13], [27, 10, 9, 11, 17, 5, 21], [25, 12, 14, 16, 20], [19, 22, 26, 18, 31, 28, 29, 30, 36, 34, 54, 33, 35, 32, 41, 37, 38, 39, 40, 58, 43, 47, 46, 44, 45, 48, 56, 53, 42, 51, 55, 49, 52, 50, 57, 59, 60]]
100: [[1, 3, 7, 2, 4, 8, 13, 20, 5, 30, 17, 11], [10, 23, 24, 6, 14, 16, 9, 22], [15, 12, 31, 18, 19, 21, 27, 26, 25, 29, 28, 41, 36, 32], [34, 38, 37, 33, 35, 39], [40, 45, 42, 43, 44, 46, 49, 54, 53, 57, 51, 52, 47, 58, 48, 50, 55, 56, 59, 60]]
101: [[1, 3, 7, 2, 5], [8, 9, 4, 14], [11, 15, 30, 24, 28, 10, 12, 23, 13, 31, 6], [16, 21, 17, 22], [19, 18, 25, 27, 26, 47], [29, 48, 60, 34, 38, 32], [35, 20, 44, 33, 39, 42], [43, 36, 46, 41, 37, 40, 58, 59, 51, 52, 53, 49], [54, 45, 50, 55, 56, 57]]
102: [[1, 3, 7, 2, 4, 16, 8, 6, 5, 10, 14], [27, 11, 9, 13, 12, 20, 18, 15], [25, 17, 22, 19, 21, 26, 24, 23, 28, 29, 31, 33, 44, 30], [58], [35, 60, 38, 34], [57, 32, 39, 41, 42, 37, 43, 36, 47, 40, 46, 45, 48, 50, 52], [53, 51, 55, 49, 54, 56, 59]]
103: [[1, 3, 7, 2, 4, 24, 12, 9, 13, 10, 6, 11, 25, 8, 15, 14, 17], [23, 21, 20, 22, 18, 19, 16], [31, 29, 26, 30, 27, 32, 28], [39, 35, 33, 5, 47, 37, 34, 50, 43, 41, 38, 40, 36, 44, 42, 46, 45, 48, 49, 51, 52, 54, 53, 55, 60, 59, 58, 57, 56]]
104: [[1, 3, 7, 2, 5, 24, 12, 6, 9, 4, 14, 10, 31, 11, 20, 15, 8, 13, 25, 27, 19, 16, 23, 22, 17], [29, 18, 59, 28, 26, 54], [48, 42], [32, 33, 34, 35, 40, 43, 46, 21, 41, 38, 44, 53, 30, 36, 37, 52, 49, 39, 45, 47, 50], [51, 55, 58, 60, 56, 57]]
105: [[1, 3], [7, 2], [5, 16, 8, 6, 14, 17], [11, 29, 4, 13, 9, 15, 10], [12, 24], [20, 21, 19, 28, 18, 26], [22, 31], [23, 25, 27, 30, 33, 40], [34, 42, 41, 38, 32, 45, 44], [39, 37, 36, 43, 47, 50, 52, 46, 35, 53, 49, 48, 54], [55, 58, 57, 60, 51, 59, 56]]
106: [[1, 3, 7, 2, 4], [24, 12, 6, 15, 5, 9], [27, 10, 8, 11, 13, 19, 17, 28, 22, 16, 14, 18], [21, 20, 25, 30], [55, 23, 31, 26, 53, 33, 36, 29, 58, 35, 41, 34, 38, 32], [44, 46, 45, 47, 40, 43], [59, 37, 39, 42, 50, 48, 54, 49, 52, 56, 51, 60, 57]]
107: [[1], [3, 7, 2, 5], [8, 6, 4, 10, 14, 11, 31, 28, 30, 15, 17, 27], [18, 9, 12, 13], [20, 26, 23, 21, 19, 25], [22, 16, 43, 44, 57, 24], [34, 38, 51, 39, 32, 36], [35, 29, 33, 45, 37, 46, 40, 41, 42, 50, 47, 49], [48, 52, 54, 58, 53, 55, 59, 60, 56]]
108: [[1, 3, 7, 2, 4, 16, 8, 5, 6, 9, 12, 26, 11, 10, 13, 14, 23], [30, 15, 19, 17, 22, 18, 21, 20, 25, 24, 28, 29, 31, 36, 34, 35], [42, 33, 60, 38, 32, 27, 37, 39], [43, 40, 41, 47, 44, 59, 50, 56, 45, 46, 49, 54, 53, 51, 52, 48, 57, 55, 58]]
109: [[1, 3], [7, 2, 4, 28, 12, 15, 20], [14, 9, 5, 10, 11, 6, 31, 8, 24], [18, 21, 19, 23, 22, 25, 16], [17, 26, 57, 27], [29, 32, 36, 58], [37, 33, 13, 30, 35, 38, 39], [34, 40, 42, 44, 43, 45, 41, 46, 56, 47, 60, 49, 51, 48, 59, 54, 53, 52, 50, 55]]
110: [[1, 3, 7, 2, 4, 24, 12], [5], [6, 14, 9, 11], [8, 10, 31, 13, 20, 22], [29, 27, 16, 30, 15, 19, 18, 21, 23, 17, 28, 25], [40, 36, 33, 50, 55, 26, 34, 32, 43, 35, 39], [45, 44, 38, 42, 47, 46, 37, 49, 41, 52, 53, 56, 57, 48, 58, 54, 51, 59, 60]]
111: [[1, 3, 7, 2, 4, 24, 8, 5, 13], [14, 11, 6, 29, 10, 12, 27], [16, 9, 15, 17, 18, 23, 25, 19, 20], [21, 22, 30, 26, 28, 47, 32, 35, 60, 43, 36, 31], [40, 38, 33, 39, 41, 37, 42, 45, 34, 46, 56, 44, 51, 54, 49, 55, 48, 52], [53, 59, 50, 57, 58]]
112: [[1, 3], [7, 2, 4, 24, 12, 6, 8], [11, 5, 10], [9, 13, 14, 27, 30, 15, 16, 17, 20], [21, 18, 19, 22, 23, 26, 28, 31, 25, 29], [38, 32, 37, 33, 34, 39, 40, 45], [42, 36, 43, 41], [44, 47, 46, 51, 54, 50], [35, 49, 53, 55, 52, 56, 48, 57, 58, 60, 59]]
113: [[1, 3, 7, 2, 5, 24, 12, 4, 13, 6, 8, 10], [11, 18, 29, 9, 23, 14, 15, 17], [21, 20, 26, 16, 22, 25, 27, 28, 30, 31], [32, 43, 42, 19, 45, 36], [39, 34], [37, 38, 33, 35, 41, 44], [46, 51, 47, 40, 53, 55, 52, 54, 49, 48], [50, 58], [59, 56, 57, 60]]
114: [[1, 3, 7, 2, 5, 16, 13, 6, 14, 4, 9, 29, 31, 24, 11], [10, 8, 15], [20, 19, 17, 12, 18, 27, 30, 22, 23, 26, 25, 41, 39, 40], [54, 49, 21, 37, 34, 28, 33, 46, 35, 38, 43, 56, 42, 45, 36, 32, 48, 55, 44, 50, 47, 51, 52], [53, 57, 59, 58, 60]]
115: [[1, 3, 7, 2, 5, 24, 8, 15, 14, 29, 12, 31, 6, 11, 9, 13, 4, 18, 23, 16, 17, 19], [26, 20, 10, 22, 27, 25, 28, 56, 30, 32], [42, 33, 39, 40, 38], [21, 44, 34, 37, 45, 46, 35, 36, 41, 47, 43, 49, 59, 51, 52, 48, 50, 53, 54], [55, 57, 60, 58]]
116: [[1, 3, 7, 6, 2], [8, 12, 5], [4, 14, 9, 24], [15], [13, 29, 11, 10, 17], [23, 16, 19, 20, 22], [26, 21, 25], [27], [31, 30, 56, 28, 35, 44, 34, 41, 39, 32], [46, 36, 38, 42, 40, 33, 43, 37, 45, 47, 18], [49, 57, 51, 48, 50, 54, 52, 53, 55, 59, 60, 58]]
117: [[1, 3, 7, 2, 4, 24, 8, 11, 14, 30, 12, 5, 15, 26], [25, 29, 23, 6, 9, 16, 10, 17, 22, 20], [19, 18, 21, 27, 28], [31, 38, 32, 40, 37, 46], [13, 35], [33, 36, 34, 39, 45, 41], [42, 43, 44, 47, 58, 52, 59, 50, 51, 48, 53], [49, 54], [55, 56, 57, 60]]
118: [[1, 3, 7, 2, 5], [8, 13, 4, 12, 15, 29], [10, 6, 11, 24, 22, 14, 19, 17], [20, 9, 18, 31, 16, 21, 26, 23, 25, 27], [28, 30, 32], [36, 34, 40, 37, 41, 33, 35, 39, 38, 45, 42, 43, 44, 47, 49], [46, 55, 56, 51, 52, 59, 53], [48, 50, 54, 58, 57, 60]]
119: [[1, 3], [7, 4, 2, 24, 9], [5, 12, 10], [6, 11, 14, 15], [8], [23, 13, 20, 27, 17], [18, 21, 22, 26, 19], [30, 16, 29], [28], [59, 25, 32, 37, 34, 35, 36, 55, 31, 53], [38, 33, 43, 40, 41, 46, 45, 47, 50], [42], [57, 39], [52, 48, 44, 54, 49, 51, 58, 56, 60]]
120: [[1, 3, 7, 2, 5, 24, 13], [4, 6, 14, 10, 12, 9], [8, 15, 11], [21], [16, 26, 17, 22, 19, 27, 18, 23, 20, 25, 30], [29, 42, 28, 31, 32, 33, 36], [37, 40, 41, 34, 60], [39, 43, 44, 38, 45, 35, 46, 59, 56, 47, 48, 50, 51, 49], [52, 53, 54, 55, 57, 58]]
121: [[1, 3, 7, 2, 5], [24, 8, 4], [10, 15, 6, 14, 12], [29], [31, 20], [19, 9, 21, 11], [13, 28, 16, 17, 22], [23], [27, 25, 26, 43, 30, 49, 45, 34, 38, 18, 55, 32, 36], [33, 37, 35, 41, 39, 46, 40, 42, 44, 47], [51, 52], [48, 57, 58, 50, 53, 54], [59, 60, 56]]
