0: [[20], [38], [3, 4], [65], [6, 9, 1, 2, 5, 16, 12, 13, 22], [29, 15, 14], [26, 80], [17, 31], [24, 23], [7], [18, 19], [27, 21, 34], [25, 28], [63, 33], [52, 48], [49], [30, 55], [47], [32, 45, 44, 39, 8, 10], [36, 40, 35, 37, 46], [41, 60], [58], [50, 53], [42, 54], [56, 61], [57], [51], [59], [64, 62, 77, 11, 43], [71, 70, 68], [72, 66, 76], [73, 67], [69, 78], [74, 75], [79, 82, 81], [85, 83], [84, 86, 87], [88]]
51: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 50, 48, 51, 49, 52, 55, 54, 61, 56, 57, 60, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
52: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 50, 48, 51, 49, 52, 54, 60, 55, 57, 61, 56, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
53: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 30, 18, 6, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44, 8, 10], [26, 14, 15, 24, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 46, 50, 52, 51, 48, 49, 62, 55, 57, 54, 56, 63, 60, 61, 70, 64, 68, 23], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
54: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 46, 47, 45, 50, 48, 51, 55, 52, 54, 57, 61, 56, 49, 63, 60, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
55: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 46, 45, 47, 54, 48, 50, 49, 51, 52, 55, 63, 56, 57, 60, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
56: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 46, 54, 48, 50, 49, 51, 52, 55, 60, 56, 61, 57, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
57: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 46, 41, 40, 42, 45, 47, 43, 50, 49, 51, 52, 48, 54, 55, 60, 57, 56, 61, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
58: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 43, 41, 40, 38, 47, 45, 46, 52, 48, 51, 50, 49, 56, 55, 63, 57, 54, 60, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
59: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 45, 47, 43, 60, 52, 48, 51, 46, 49, 54, 55, 61, 56, 50, 63, 62, 57, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
60: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 47, 43, 45, 46, 54, 48, 51, 49, 50, 60, 63, 55, 57, 52, 56, 62, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
61: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 48, 50, 49, 54, 51, 61, 57, 55, 56, 60, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
62: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 48, 51, 49, 50, 54, 63, 55, 62, 57, 56, 60, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
63: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 30, 18, 6, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44, 8, 10], [24, 14, 15, 26, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 45, 47, 46, 43, 50, 48, 51, 49, 54, 52, 55, 60, 56, 57, 61, 63, 62, 70, 64, 68, 23], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
64: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 46, 54, 52, 48, 51, 49, 45, 50, 63, 55, 60, 56, 57, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
65: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 56, 48, 51, 61, 49, 55, 50, 52, 57, 62, 54, 60, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
66: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 46, 54, 52, 48, 51, 49, 45, 50, 55, 60, 56, 57, 61, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
67: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 46, 52, 48, 51, 49, 50, 54, 55, 61, 56, 57, 62, 60, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
68: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 48, 51, 49, 60, 50, 55, 54, 57, 61, 56, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
69: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 46, 45, 50, 52, 51, 48, 54, 49, 63, 55, 60, 56, 57, 62, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
70: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 46, 43, 47, 56, 52, 48, 51, 49, 54, 50, 55, 57, 60, 45, 62, 63, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
71: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 50, 48, 51, 49, 52, 54, 55, 57, 56, 60, 61, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
72: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 49, 50, 54, 48, 51, 55, 63, 57, 56, 60, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
73: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 54, 52, 48, 46, 49, 50, 51, 57, 61, 55, 56, 60, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
74: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 54, 52, 48, 46, 49, 51, 50, 55, 61, 57, 56, 60, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
75: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 29, 27, 35, 32, 42, 37, 38, 41, 40, 43, 47, 52, 46, 54, 48, 51, 50, 45, 55, 49, 60, 63, 57, 56, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
76: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 57, 35, 32, 38, 37, 29, 41, 40, 43, 63, 42, 62, 50, 52, 45, 47, 46, 48, 55, 49, 51, 54, 60, 61, 56, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
77: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 40, 41, 42, 43, 47, 45, 54, 50, 48, 51, 49, 46, 52, 55, 61, 62, 56, 57, 60, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
78: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 47, 43, 45, 46, 50, 48, 51, 49, 52, 60, 55, 62, 54, 56, 57, 63, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
79: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 40, 41, 42, 43, 47, 45, 62, 52, 48, 46, 49, 50, 54, 55, 61, 51, 57, 60, 56, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
80: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 48, 51, 49, 50, 55, 54, 61, 56, 57, 60, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
81: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 45, 47, 46, 43, 52, 48, 51, 50, 54, 49, 55, 61, 56, 60, 62, 57, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
82: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 43, 40, 45, 41, 46, 47, 54, 48, 50, 51, 49, 57, 55, 61, 52, 56, 63, 60, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
83: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 60, 54, 48, 50, 52, 46, 55, 49, 51, 56, 63, 57, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
84: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 50, 48, 51, 52, 54, 49, 56, 62, 55, 60, 57, 61, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
85: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 42, 37, 46, 41, 40, 38, 47, 45, 43, 50, 49, 51, 52, 48, 57, 55, 63, 54, 56, 61, 60, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
86: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 54, 48, 50, 49, 51, 52, 61, 63, 56, 57, 60, 55, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
87: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 54, 48, 49, 50, 51, 55, 52, 61, 57, 60, 56, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
88: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 48, 51, 50, 49, 55, 54, 57, 60, 56, 63, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
89: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 47, 43, 45, 60, 54, 48, 55, 46, 52, 49, 63, 57, 51, 56, 50, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
90: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 43, 41, 40, 42, 47, 45, 60, 52, 48, 51, 49, 46, 50, 63, 61, 55, 54, 56, 57, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
91: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 54, 48, 49, 50, 51, 55, 52, 57, 61, 56, 63, 60, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
92: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 46, 45, 48, 49, 51, 50, 52, 54, 55, 61, 56, 57, 60, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
93: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 46, 50, 48, 51, 49, 54, 52, 55, 63, 60, 56, 57, 62, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
94: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 46, 47, 45, 43, 51, 48, 49, 54, 50, 52, 55, 61, 62, 56, 57, 60, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
95: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 48, 51, 49, 50, 54, 55, 62, 57, 56, 60, 63, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
96: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 46, 52, 48, 51, 54, 49, 50, 55, 63, 56, 60, 61, 62, 57, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
97: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 45, 47, 43, 46, 52, 49, 50, 48, 54, 51, 63, 55, 56, 60, 61, 62, 57, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
98: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 41, 43, 40, 42, 47, 45, 46, 52, 48, 51, 50, 49, 54, 63, 57, 61, 56, 60, 62, 55, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
99: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 62, 52, 48, 46, 50, 51, 49, 55, 61, 57, 54, 60, 56, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
100: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 42, 37, 46, 41, 40, 38, 47, 43, 45, 52, 48, 51, 49, 50, 54, 55, 63, 56, 60, 61, 57, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
101: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 45, 47, 43, 46, 50, 49, 51, 52, 48, 57, 63, 55, 54, 56, 61, 62, 60, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
