0: [[8], [3, 30, 51, 58], [59, 37, 29], [41, 16, 54, 43], [22, 40], [55], [20, 1, 19, 26, 31, 47], [5, 27, 11], [7], [15, 6, 10], [38, 44], [23, 18], [35, 28, 46, 2], [32, 17], [56, 39], [52], [36, 9, 24, 45, 12], [42], [14, 13, 21], [48, 49], [53], [57, 33, 34], [60], [4, 25, 50]]
74: [[7, 35, 2, 27, 3, 1, 4, 13, 5, 11, 8, 14, 28, 12, 24, 26, 25, 9, 6], [10, 17, 15, 22], [16, 21, 18, 31, 19, 20, 23, 29, 30, 34, 36, 32, 33, 38, 39, 37, 42, 41, 43, 47, 44, 40], [45, 46, 48, 49, 52, 55, 50, 54, 53, 57, 56, 51, 58, 59, 60]]
75: [[7, 35, 2, 27, 1, 11, 4, 10, 9, 3, 28, 6, 12, 13, 29, 8, 24, 14, 15, 26, 18, 5, 20, 23], [17, 19, 21, 16, 22, 31, 25, 30, 32, 36, 39, 33, 34, 41, 47, 38, 37], [40, 42, 45, 43], [46, 44, 50, 52, 49, 54, 51, 55, 48, 53, 57, 56, 59, 58, 60]]
76: [[7, 35, 2, 27, 1, 11, 4, 13, 14, 8, 12, 5, 6, 9, 10, 18, 3, 23, 17, 25, 15, 22, 21], [30, 16, 20, 19, 24, 26, 28, 29, 31, 32, 36, 33, 34, 38, 40, 47, 39, 41], [42, 44, 37, 43], [45, 46, 56, 49, 48, 55, 50, 52, 51, 53, 54, 59, 57, 58, 60]]
77: [[7, 35, 2, 27, 1, 11, 4, 9, 12, 14, 13, 3, 5, 10, 30, 6, 17], [8, 22, 18, 19, 20, 21, 15, 26, 16, 23, 24, 25, 28, 29, 31, 32, 37, 33, 34, 38, 45, 43, 39, 41], [44, 42, 46, 40], [47, 60, 48, 36, 51, 49, 57, 52, 50, 53, 54, 55, 58, 59, 56]]
78: [[7, 35, 2, 27, 3, 1, 5, 13, 10, 4, 6, 9, 8, 11, 14, 12, 28, 18, 15], [16, 17, 20, 19, 21, 25, 22, 23, 24, 29, 26, 30, 31, 32, 33, 37, 36, 38, 44, 41, 34, 43], [39, 45, 46, 40], [42, 47, 51, 49, 48, 50, 53, 52, 54, 58, 55, 56, 57, 59, 60]]
79: [[7, 35, 2, 27, 3, 1, 5, 13, 4, 10, 14, 6, 28, 8, 24, 26, 25, 17, 9, 11, 12, 20], [22, 15, 21, 16], [18, 19, 23, 31, 29, 30, 34, 37, 33, 36, 42, 39, 41, 32, 45, 38, 43, 44, 40], [46, 47, 48, 49, 50, 55, 51, 52, 58, 53, 54, 56, 57, 59, 60]]
80: [[7, 35, 2, 27, 1, 3, 4, 6, 13, 11, 14, 5, 8, 26, 29, 10, 9, 28, 15], [12, 18, 17, 16, 19, 20, 22, 21, 23, 24, 25, 31, 30, 33, 34, 32, 37, 46, 39, 47, 42, 40], [36, 38, 45, 44], [41, 43, 51, 49, 53, 55, 50, 48, 52, 54, 56, 57, 59, 58, 60]]
81: [[7, 35, 2, 27, 1, 3, 12, 4, 6, 5, 23, 10, 11, 8, 14, 9, 13, 20, 15, 29, 18], [19, 21, 17, 28, 16, 22, 30, 25, 24, 31, 26, 33, 36, 34, 32, 43, 38, 37, 39, 41], [44, 40, 42, 46], [45, 47, 49, 50, 48, 51, 52, 54, 53, 55, 56, 58, 57, 59, 60]]
82: [[7, 35, 2, 27, 1, 3, 12, 4, 6, 5, 23, 10, 11, 8, 14, 9, 13, 20, 15, 29, 18], [19, 21, 17, 28, 16, 22, 30, 25, 24, 31, 26, 33, 36, 34, 32, 43, 38, 37, 39, 41], [44, 40, 42, 46], [45, 47, 49, 50, 48, 51, 52, 54, 53, 55, 56, 58, 57, 59, 60]]
83: [[7, 35, 2, 27, 1, 3, 4, 5, 14, 6, 30, 10, 9, 11, 12, 15, 24, 13, 19, 29, 18, 16], [8, 17, 21, 26, 28, 22, 23, 31, 20, 25, 32, 37, 33, 38, 47, 36, 43, 46, 39], [42, 40, 34, 44], [41, 57, 48, 50, 49, 51, 45, 55, 52, 54, 53, 59, 60, 58, 56]]
84: [[7, 35, 2, 27, 3, 6, 12, 8, 13, 4, 5, 15, 11, 21, 1, 9, 18, 10, 14], [29, 17, 16, 20], [28, 19, 22, 23, 24, 26, 31, 25, 30, 34, 36, 32, 37, 45, 33, 47, 42, 38, 39, 40, 43, 41], [46, 44, 56, 52, 51, 50, 48, 55, 57, 49, 53, 54, 58, 59, 60]]
85: [[7, 35, 18, 3, 9, 6, 4, 1, 2, 14, 8, 10, 13, 12, 30, 5, 11, 26, 16, 25, 21, 24], [31, 15, 17, 23, 19, 20, 29, 28, 22, 27, 34, 33, 37, 40, 44, 36, 47, 38, 46], [32, 39, 41, 45], [43, 42, 60, 48, 49, 51, 50, 55, 52, 53, 58, 54, 57, 59, 56]]
86: [[7, 35, 2, 27, 3, 1, 5, 10, 15, 14, 12, 4, 9, 17, 28, 13, 6, 8, 16, 30, 11], [20, 21, 22, 18, 19, 23, 24, 25, 26, 29, 31, 33, 36, 32, 37, 40, 38, 47, 34, 44], [43, 45, 39, 42], [41, 53, 48, 49, 51, 52, 46, 55, 50, 54, 56, 57, 59, 58, 60]]
87: [[7, 35, 2, 27, 1, 3, 12, 6, 10, 8, 14, 4, 5, 9, 26, 25, 11, 13, 17, 15, 18], [19, 21, 22, 20, 23, 16, 28, 31, 24, 30, 29, 32, 36, 33, 38, 34, 37, 39, 43, 42], [44, 40, 41, 46], [45, 50, 49, 48, 47, 53, 51, 55, 52, 57, 54, 59, 58, 56, 60]]
88: [[7, 35, 2, 27, 1, 3, 4, 12, 5, 14, 6, 11, 9, 8, 28, 13, 15, 22, 21, 10, 17], [25, 23, 20, 16, 18, 26, 24, 19, 29, 31, 30, 32, 38, 36, 34, 42, 46, 33, 45, 41], [37, 39, 43, 40], [44, 47, 48, 49, 51, 50, 54, 52, 53, 55, 59, 56, 57, 58, 60]]
89: [[7, 35, 2, 27, 3, 6, 4, 1, 9, 12, 8, 11, 13, 10, 21, 19, 31, 14, 5, 16, 24, 25, 26, 23], [15, 17, 18, 20, 30, 28, 22, 29, 32, 33, 37, 42, 39, 34, 44, 36, 46], [38, 43, 45, 41], [40, 47, 49, 50, 52, 55, 53, 51, 54, 48, 56, 57, 58, 59, 60]]
90: [[7, 35, 2, 27, 1, 3, 4, 12, 5, 14, 6, 11, 9, 8, 28, 13, 15, 22, 21, 10, 17], [25, 23, 20, 16, 18, 26, 24, 19, 29, 31, 30, 32, 38, 36, 34, 42, 46, 33, 45, 41], [37, 39, 43, 40], [44, 47, 48, 49, 51, 50, 54, 52, 53, 55, 59, 56, 57, 58, 60]]
91: [[7, 35, 2, 27, 3, 1, 5, 4, 11, 12, 6, 8, 25, 9, 10, 13, 15, 14, 18, 29, 16], [20, 19, 23, 21, 17, 22, 28, 24, 26, 30, 31, 32, 37, 33, 36, 43, 38, 39, 34, 41], [40, 46, 42, 44], [45, 53, 49, 57, 51, 52, 47, 54, 48, 50, 56, 55, 58, 59, 60]]
92: [[7, 35, 2, 27, 1, 6, 12, 3, 14, 4, 5, 11, 9, 26, 13, 8, 10, 20, 15, 16], [17, 18, 23, 19, 21, 22, 24, 30, 29, 25, 31, 28, 32, 36, 33, 37, 46, 47, 39, 34, 43], [38, 42, 45, 40], [41, 44, 51, 49, 50, 52, 48, 56, 53, 55, 54, 60, 57, 59, 58]]
93: [[7, 35, 19, 27, 11, 2, 6, 3, 10, 12, 25, 1, 13, 5, 30, 4, 8, 26, 20, 24, 9, 14, 16, 15], [17, 23, 18], [21, 22, 28, 29, 31, 34, 38, 37, 36, 44, 45, 32, 39, 46, 40, 43, 33, 41], [47, 42, 51, 48, 50, 55, 54, 57, 49, 53, 58, 52, 59, 60, 56]]
94: [[7, 35, 2, 27, 1, 3, 4, 12, 13, 10, 8, 6, 14, 5, 31, 15, 11, 20], [21, 9, 19, 16, 30, 17, 22, 18, 23, 24, 26, 25, 29, 28, 32, 36, 33, 34, 46, 38, 45, 37, 42, 43], [44, 41, 39], [40, 47, 48, 53, 49, 50, 55, 52, 58, 54, 51, 56, 60, 59, 57]]
95: [[7, 35, 2, 27, 1, 3, 4, 5, 12, 20, 6, 14, 10, 15, 26, 8, 11], [9, 23, 19, 21, 25, 13, 16, 29, 17, 18, 22, 30, 24, 31, 28, 36, 38, 33, 34, 42, 43, 44, 32, 46], [47, 39, 41, 45], [40, 52, 55, 37, 50, 54, 49, 48, 51, 53, 56, 59, 57, 58, 60]]
96: [[7, 35, 2, 27, 3, 4, 5, 10, 14, 15, 28, 1, 9, 16, 6, 12, 8, 11, 13, 17, 18], [22, 21, 23, 20, 24, 19, 29, 25, 26, 30, 31, 33, 32, 34, 37, 44, 39, 47, 40, 36], [43, 41, 38, 46], [42, 52, 49, 45, 57, 48, 50, 51, 54, 53, 56, 58, 59, 55, 60]]
97: [[7, 35, 2, 27, 1, 4, 12, 5, 6, 30, 10, 8, 9, 11, 13, 14, 25], [23, 16, 3, 17], [20, 21, 18, 31, 15, 26, 19, 22, 24, 29, 28, 36, 37, 32, 34, 44, 33, 38, 39, 42, 40, 43, 45, 51], [60, 41, 56, 46, 54, 55, 47, 53, 49, 50, 52, 58, 48, 59, 57]]
98: [[7, 35, 2, 27, 1, 10, 4, 6, 8, 9, 24, 5, 14, 11, 15, 12, 31, 13, 17, 3, 18, 16, 20, 23], [21, 22, 26, 30, 19, 28, 29, 25, 32, 38, 37, 42, 47, 34, 33, 39, 36], [40, 41, 43, 45], [44, 46, 49, 48, 51, 50, 52, 55, 53, 54, 57, 56, 59, 58, 60]]
99: [[7, 35, 2, 27, 1, 6, 4, 5, 8, 15, 12, 10, 3, 11, 25, 19, 31, 9, 22, 23, 16, 13, 14, 18], [29, 17, 28, 24, 30, 20, 26, 21, 36, 33, 39, 46, 32, 37, 34, 41, 38], [40, 43, 44, 45], [42, 47, 57, 60, 51, 54, 53, 48, 50, 52, 49, 55, 58, 59, 56]]
100: [[7, 35, 2, 27, 3, 5, 12, 4, 11, 1, 14, 6, 9, 8, 28, 25, 10, 29, 17, 31, 13], [21, 15, 18, 22, 16, 19, 20, 23, 24, 26, 30, 32, 38, 33, 36, 34, 39, 47, 42, 40], [37, 43, 41, 60], [45, 44, 49, 51, 46, 48, 50, 55, 52, 57, 54, 53, 58, 56, 59]]
101: [[7, 35, 2, 27, 1, 3, 12, 4, 13, 26, 14, 6, 9, 5, 29, 8, 10, 20, 11], [31, 17, 15, 22], [19, 16, 18, 21, 30, 28, 23, 24, 25, 32, 36, 33, 34, 38, 37, 55, 39, 42, 40, 43, 44, 59], [45, 41, 48, 46, 49, 50, 54, 53, 47, 51, 52, 57, 58, 56, 60]]
102: [[7, 35, 2, 27, 3, 1, 12, 15, 5, 4, 13, 14, 26, 8, 9, 10, 25, 22, 6], [11, 17, 24, 16], [18, 21, 28, 19, 20, 30, 23, 29, 31, 34, 37, 32, 33, 38, 36, 47, 46, 39, 42, 43, 40, 44], [45, 41, 48, 49, 52, 55, 50, 58, 53, 57, 51, 54, 59, 56, 60]]
103: [[15, 35, 6, 27, 16, 9, 4, 5, 8, 1, 30, 7, 12, 11, 28, 10, 2, 25, 14, 31, 17, 20, 22, 23], [19, 13, 24, 18, 48, 29, 33, 26, 32, 38, 34, 3, 39, 21, 46, 42, 36], [41, 37, 43, 40], [45, 44, 51, 47, 53, 54, 52, 57, 50, 49, 55, 56, 59, 58, 60]]
104: [[7, 35, 2, 27, 3, 5, 4, 9, 6, 1, 12, 10, 15, 8, 11, 26, 24, 14, 13, 18, 20, 16], [19, 23, 21, 25], [29, 30, 22, 28, 17, 31, 32, 36, 33, 34, 39, 46, 41, 40, 43, 38, 37, 44, 47], [42, 45, 59, 53, 49, 51, 52, 48, 55, 54, 56, 50, 58, 57, 60]]
105: [[7, 35, 2, 27, 3, 1, 4, 5, 11, 10, 23, 6, 9, 8, 12, 15, 28, 20, 14, 13, 16], [17, 19, 18, 22], [24, 21, 30, 25, 26, 29, 31, 33, 53, 32, 42, 36, 39, 45, 34, 43, 37, 38, 46, 40], [41, 44, 51, 47, 49, 55, 52, 58, 48, 50, 54, 56, 60, 59, 57]]
106: [[7, 35, 2, 27, 3, 1, 4, 5, 12, 6, 9, 11, 15, 8, 10, 13, 30, 14, 18, 19, 16, 17, 20, 22], [21, 31, 23, 24, 26, 28, 29, 25, 32, 37, 39, 47, 34, 36, 40, 33, 38], [42, 46, 43, 41], [44, 45, 56, 49, 51, 54, 48, 52, 50, 53, 58, 55, 57, 59, 60]]
107: [[7, 35, 2, 27, 1, 3, 4, 5, 12, 6, 29, 10, 8, 13, 26, 9, 14, 15, 23, 11, 18], [21, 19, 16, 20, 17, 22, 30, 24, 25, 31, 28, 32, 36, 33, 34, 37, 44, 38, 50, 46], [39, 41, 43, 45], [42, 40, 47, 49, 48, 54, 51, 52, 53, 55, 56, 59, 57, 58, 60]]
108: [[7, 35, 2, 27, 3, 6, 4, 1, 14, 12, 29, 9, 10, 5, 11, 13, 15, 16, 22], [23, 17, 18, 19], [20, 21, 24, 28, 25, 26, 30, 31, 8, 36, 33, 32, 46, 34, 38, 45, 47, 37, 40, 43, 44, 39], [57, 41, 42, 49, 50, 54, 53, 51, 52, 55, 56, 58, 48, 59, 60]]
109: [[7, 35, 2, 27, 3, 1, 12, 15, 10, 30, 31, 4, 8, 5, 25, 6, 28, 14, 11, 13, 19], [20, 9, 16, 18], [22, 21, 17, 24, 23, 26, 29, 32, 37, 34, 38, 33, 36, 47, 39, 43, 45, 40, 42, 44], [46, 41, 51, 48, 49, 55, 54, 50, 52, 53, 57, 59, 60, 58, 56]]
110: [[7, 35, 2, 27, 1, 14, 4, 13, 3, 6, 8, 5, 9, 25, 10, 11, 18, 12, 15, 29, 24, 16], [30, 17, 19, 20, 23, 22, 21, 28, 26, 31, 32, 36, 33, 34, 44, 45, 43, 46, 38], [37, 39, 47, 42], [40, 41, 48, 52, 51, 49, 54, 53, 56, 55, 57, 50, 59, 58, 60]]
111: [[7, 35, 2, 3, 1, 14, 8, 4, 5, 17, 9, 28, 12, 13, 25, 11, 15, 10, 21, 16, 20], [18, 30, 19, 22], [23, 29, 6, 24, 26, 27, 31, 32, 36, 33, 40, 34, 45, 43, 38, 39, 44, 42, 37, 41], [46, 59, 57, 47, 49, 54, 52, 50, 51, 48, 58, 56, 55, 53, 60]]
112: [[7, 35, 2, 27, 1, 3, 12, 5, 6, 4, 31, 14, 11, 8, 10, 9, 13, 15, 17, 19, 16, 18], [21, 23, 24, 29, 20, 26, 22, 25, 28, 30, 33, 36, 38, 37, 39, 32, 43, 41, 46], [42, 44, 34, 45], [57, 40, 56, 50, 48, 55, 47, 53, 49, 51, 58, 59, 60, 52, 54]]
113: [[7, 35, 2, 27, 3, 1, 8, 4, 15, 12, 6, 10, 9, 16, 24, 11, 13, 14, 5, 29, 25, 22], [20, 28, 17, 23, 18, 19, 21, 31, 26, 30, 34, 36, 32, 33, 39, 41, 47, 46, 38], [42, 37, 43, 44], [45, 40, 56, 49, 50, 53, 48, 54, 55, 57, 60, 51, 59, 58, 52]]
114: [[7, 35, 2, 27, 1, 3, 4, 12, 5, 14, 24, 11, 9, 8, 6, 10, 21, 13, 16, 15, 17, 29], [18, 25, 20, 22], [19, 26, 28, 30, 23, 31, 33, 36, 37, 44, 46, 41, 32, 39, 34, 40, 42, 38, 43], [47, 58, 48, 49, 55, 53, 51, 54, 52, 45, 50, 57, 56, 59, 60]]
115: [[7, 35, 2, 27, 1, 3, 4, 13, 12, 6, 16, 15, 14, 8, 9, 10, 29, 11, 18], [19, 21, 26, 23], [5, 20, 22, 24, 17, 25, 30, 28, 31, 33, 36, 39, 43, 46, 32, 34, 38, 37, 40, 41, 44, 45], [47, 42, 58, 52, 53, 57, 55, 49, 54, 48, 50, 56, 51, 59, 60]]
116: [[7, 35, 2, 27, 3, 1, 5, 10, 15, 14, 12, 4, 9, 17, 28, 13, 6, 8, 16, 30], [11, 20, 21, 22], [18, 19, 23, 24, 25, 26, 29, 31, 33, 36, 32, 37, 40, 38, 47, 34, 44, 43, 45, 39, 42], [41, 53, 48, 49, 51, 52, 46, 55, 50, 54, 56, 57, 59, 58, 60]]
117: [[7, 35, 2, 27, 1, 3, 4, 13, 12, 10, 30, 14, 5, 6, 8, 15, 19, 9, 31], [11, 16, 20, 29], [18, 23, 17, 21, 26, 22, 24, 25, 28, 32, 36, 33, 42, 37, 46, 39, 55, 38, 34, 41, 43, 47], [40, 44, 45, 51, 49, 50, 48, 52, 53, 54, 56, 57, 59, 58, 60]]
118: [[7, 35, 2, 27, 1, 3, 4, 6, 12, 8, 16, 10, 11, 9, 29, 5, 24], [13, 14, 15, 17], [21, 20, 23, 19, 18, 25, 30, 22, 31, 26, 28, 32, 34, 36, 39, 41, 33, 37, 38, 43, 46, 40, 44, 49], [42, 47, 53, 45, 60, 55, 48, 50, 51, 54, 59, 52, 57, 56, 58]]
119: [[15, 35, 2, 27], [1, 12, 4, 5, 8, 6, 30, 14, 13, 7, 28, 9, 10, 26, 11, 18, 17, 22, 29], [23, 19, 20, 16, 24, 49, 39, 25, 31, 32, 36, 37, 3, 34, 21, 43, 46, 38, 33, 40, 42, 41], [44, 47, 51, 48, 45, 54, 53, 55, 50, 52, 57, 58, 56, 59, 60]]
120: [[7, 35, 3, 9, 8, 5, 2, 4, 6, 10, 15, 11, 24, 18, 31, 1, 12, 13, 17], [14, 16, 19, 23], [22, 26, 21, 27, 28, 20, 30, 25, 58, 34, 36, 47, 46, 29, 32, 44, 45, 33, 37, 38, 43, 41], [40, 39, 42, 50, 51, 54, 48, 49, 53, 52, 57, 55, 59, 60, 56]]
121: [[11, 35, 6, 27], [25, 1, 4, 5, 8, 3, 7, 10, 12, 24, 29, 14, 15, 16, 19, 20, 13, 2, 30, 21, 17, 22, 23, 18], [49, 52, 28, 26, 32, 36, 9, 31, 46, 54, 45, 47, 37, 33, 34, 38, 41], [39, 40, 42, 60, 59, 43, 48, 44, 53, 50, 51, 58, 55, 56, 57]]
