0: [[35, 7, 2], [1, 3, 4], [13, 5, 6, 21], [8, 9], [14, 24, 12], [11, 28, 16, 15, 10, 18], [22, 23], [19, 17, 27, 20, 25, 31], [26, 40, 45], [32, 29, 30, 37, 33, 47], [38, 44, 43], [34, 36, 42, 39, 41, 52], [46, 55, 51, 53, 54, 58], [50, 48], [59, 56, 60], [49, 57]]
74: [[35, 2, 7], [1, 3, 4, 13, 5, 8, 18, 21, 6], [14, 11, 12, 29, 15, 9, 30, 24, 10], [31, 19, 23], [20, 16, 17], [25, 26, 27], [22, 28, 32, 37, 33, 36], [38, 45, 40, 41, 34, 46], [39, 44, 47, 52, 43, 51, 42, 48, 49], [54, 55, 50, 53, 56, 57, 60, 59, 58]]
75: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6, 11, 10, 12, 17, 9, 14, 29, 8, 18, 15, 26], [31, 16, 22, 23, 19, 24, 20, 25, 27], [30, 28, 32, 45, 54, 34, 47, 37, 39, 33, 44, 43, 36, 38, 40, 41, 42, 60, 46, 48, 52, 51, 57, 55, 49, 53, 50, 56, 58, 59]]
76: [[35, 2, 7, 1], [3, 4, 13], [21, 5, 6, 25, 10, 14, 8, 11, 9, 15, 31, 16, 20, 12, 17, 18, 22, 19, 30, 29, 26, 28, 23, 27, 24, 33, 38, 36, 50, 32, 53, 34, 39, 46, 40, 37, 54], [41, 43, 42, 45, 44, 48], [47, 49, 52, 51], [55, 58], [59, 56, 57, 60]]
77: [[35, 2, 7], [1, 3, 4], [13, 5, 12, 14, 11, 16, 28, 21, 6], [8, 9, 31, 22, 15, 19, 17, 20, 24, 25, 26, 27, 10], [23, 29, 34, 33, 54], [38, 30, 39, 37, 42, 32, 44, 43, 46, 18], [45, 41, 56, 40, 48, 36, 47, 50, 51, 49], [55, 52, 57, 58, 53, 59, 60]]
78: [[35, 2, 7, 1, 3, 4], [13, 5, 6, 14, 25, 8, 9, 10, 18, 11, 23, 12, 15, 27, 21, 22, 16, 29, 30, 17, 19, 20, 28, 24, 31, 26, 33, 46, 44, 54, 32, 41], [39, 36, 34, 40, 37, 38], [45, 47, 43, 42, 50, 49], [53, 52, 51, 48, 55, 56, 58, 59, 57, 60]]
79: [[35, 7, 2], [1, 3, 4], [13, 9, 11, 5, 20, 15], [8, 28, 12, 14, 26, 19], [29, 17, 16, 31, 10, 18], [22, 25, 23, 30, 24, 27, 32, 33, 6, 21], [50, 42, 37, 34, 39, 46, 36, 38], [41, 45, 40, 47, 43], [53], [59, 49, 44], [52, 48, 55, 57, 51, 58, 56, 54, 60]]
80: [[35, 2], [7, 1, 3, 4, 13, 21, 5, 6, 11, 8, 12, 15, 9, 10, 14, 22, 26, 18, 16, 31, 20, 25, 17, 19, 23, 24, 30, 29, 27, 28, 32, 38, 36, 34, 37, 45, 33, 41, 40, 43, 44, 39, 42, 56, 46, 49, 48, 47, 53, 51, 52, 55, 59, 50, 54, 57, 58], [60]]
81: [[35, 2], [7, 1, 3, 4, 13, 5, 11, 6, 9, 8, 28, 15, 10, 12, 17, 21, 14, 19, 16, 27, 20, 18, 23, 29, 22, 24, 26, 25, 30, 33, 32, 38, 44, 34, 58, 37, 41, 45, 31, 39, 42, 46, 48, 52, 47, 36, 50, 54, 53, 43, 51, 40, 49, 55, 59, 57], [60, 56]]
82: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 9, 8, 10, 11], [12, 17, 14, 30, 20], [15, 26, 22, 18, 27, 16, 19, 23, 25, 24, 29], [31, 28, 32], [33, 43, 37], [44, 48, 39, 34, 36, 46, 38, 40, 41], [42, 45, 47, 49, 51, 54, 55], [50, 52, 58, 57, 53, 60, 56, 59]]
83: [[35, 2, 7, 1], [3, 4, 13], [21, 5, 6], [9, 10, 11], [12, 8, 17, 14, 29, 16, 15, 30, 31, 19, 18, 27], [20, 22, 23, 24, 28, 25, 53, 32, 54, 55, 26, 37, 49, 33, 45, 34, 44, 47, 46, 38, 36, 51, 39, 59, 41, 50, 40, 42, 48, 43, 56, 52, 60, 57, 58]]
84: [[35, 2, 7], [1, 3, 4], [13, 21, 12, 22, 25], [8, 14], [19, 9, 5], [16, 30, 6, 31, 23, 10, 11, 17, 20, 15, 18, 24, 27, 26, 28, 45, 32, 38, 29, 43, 49, 37, 33, 40, 34, 42, 41, 47, 46, 36, 39, 55, 48, 57, 44, 54, 50, 52, 60, 58, 51, 53, 56, 59]]
85: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 6, 9, 8, 14], [10, 11, 12, 15, 22, 28, 18, 16, 31, 17, 25, 20, 19, 30, 29, 23, 24, 27, 26, 32, 38, 37, 34, 46, 39, 40, 45, 41, 44, 36, 47], [42, 56, 43], [33, 48, 49, 52], [51, 50, 55, 53, 58], [54, 57, 59, 60]]
86: [[35, 2, 7, 1, 3, 4, 13], [21, 5, 6, 11, 24], [12, 10, 9, 8, 31, 15, 18, 30], [14, 17], [19, 22, 16, 20, 23], [27, 25, 26, 28, 29, 32, 37, 34], [33, 43, 36, 39], [47, 40, 42, 44, 45, 41, 38, 57], [46, 59, 48, 56, 51], [49, 54, 52, 53, 50, 55, 58, 60]]
87: [[35, 2, 7], [1, 3], [4, 13, 5, 25, 8, 26, 12, 24, 21], [9, 15, 28], [30, 10, 14, 17, 11, 18, 16, 6, 19], [22, 31, 27, 23, 29, 20, 37, 51, 34, 32], [47, 33, 36, 45, 38, 42, 39, 41, 44, 52, 46, 43, 48, 40, 54, 49, 56, 50, 53, 55, 57], [58, 60, 59]]
88: [[35, 2, 7], [1, 3, 4], [13, 21, 15, 5], [8, 10], [14, 26, 12], [9, 6, 11], [24, 16, 18], [28, 19, 17, 30, 31, 20], [22, 23, 25, 58, 29, 32, 37, 27, 34, 54, 40, 33], [41, 36, 38, 47, 39, 43], [60, 42, 44, 52, 57, 56, 51, 49, 53, 45, 46, 48, 50, 55, 59]]
89: [[35, 2, 7], [1, 3, 4], [13, 21, 9, 10], [17, 6, 31, 5, 8], [27, 30, 11, 12, 16], [14, 15, 18, 19, 20, 22, 24, 23], [25, 26, 28, 29, 32, 33, 34, 42], [37, 41, 36, 47, 38, 39], [43], [40, 44, 46, 45, 52, 57, 48, 54, 51, 49, 55], [53, 58, 50], [56, 59, 60]]
90: [[35, 2, 7, 1], [3, 4, 13, 21, 5], [6, 25, 8, 10, 11, 9], [15, 12, 28], [30, 14, 18, 22, 17, 19, 20, 16, 24, 29, 56, 23, 26], [27, 33, 38, 37, 34, 31, 44, 55, 32, 40, 36, 39, 45, 41, 42, 49, 47, 50, 53, 52, 43, 46, 48, 54, 60, 59, 57, 51, 58]]
91: [[35, 2, 7, 1, 3, 4, 13, 21, 5], [6, 9, 8, 14, 15, 11, 12, 10, 18, 22, 16, 23], [31, 20, 19, 24, 17, 25, 27, 29, 26, 28, 30, 32], [37, 33, 39, 34, 44, 38, 46, 40, 41, 42, 36, 43, 45], [47, 52, 58, 48, 49, 55, 50, 54, 53, 59], [51, 56, 57, 60]]
92: [[35, 2, 7, 1, 3, 4, 13, 21, 5], [6, 9, 12, 10, 8, 11, 27, 25, 14, 20], [26, 15, 31, 19], [16, 17, 18, 22, 23], [24, 30, 28, 54, 32, 46, 47], [29, 37, 39, 40, 41], [44, 33, 38, 34, 36, 42, 45, 52, 48], [43, 55, 51, 50, 49, 53, 57, 58, 56, 59, 60]]
93: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 6, 10, 8, 9], [25, 11, 15, 14, 22, 28, 27, 18, 31, 19, 17, 16, 23, 20, 24, 26, 29, 30, 45, 32, 38, 37, 12, 46, 33, 34, 39, 40, 41, 36, 44, 42, 58, 43, 60, 48, 47, 49, 50, 53, 52, 59, 51, 54], [55, 57, 56]]
94: [[35, 2, 7, 1], [3, 4, 13, 21, 5, 6, 8, 9, 26], [15, 11, 12], [10, 30, 20], [14, 22, 27], [19, 16, 17, 31, 28, 18, 29], [25, 24, 23, 32], [36, 39, 34, 33, 38, 40, 47, 41, 43, 42, 44, 45, 46, 48, 49, 50, 52, 37, 55, 51, 56, 53, 54, 58, 59, 57, 60]]
95: [[35, 2, 7, 1], [3, 4, 13, 21, 5, 6, 8, 9, 26], [15, 11, 12], [10, 30, 20], [14, 22, 27], [19, 16, 17, 31, 28, 18, 29], [25, 24, 23, 32], [36, 39, 34, 33, 38, 40, 47, 41, 43, 42, 44, 45, 46, 48, 49, 50, 52, 37, 55, 51, 56, 53, 54, 58, 59, 57, 60]]
96: [[35, 2, 7], [1, 3, 4, 13], [21, 12, 6, 9, 15, 14, 29], [5, 27, 30, 8, 10, 31, 16, 11], [17, 18, 20], [22, 23, 24, 19, 26, 25, 28, 32, 43, 33], [34, 38, 41], [53, 37, 39, 40, 45, 47, 50, 42, 46, 48, 36], [44, 49, 51, 54, 55, 58, 59, 52, 56, 57, 60]]
97: [[35, 2, 7, 1], [3, 4, 13, 21], [5, 6, 8, 10, 14], [9, 11, 12, 15, 22, 17, 18, 26, 16, 19, 29, 20], [23, 30, 24, 25, 27, 28, 31, 32, 36, 33, 34, 37], [38, 39, 46, 43, 40, 41, 44, 45, 42, 47, 57, 58, 48], [49, 55, 51, 50, 56, 54, 52, 53, 59, 60]]
98: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6, 9, 10, 24, 31], [11, 12, 15, 14, 22, 8, 20], [17, 23, 18, 25, 16, 26], [19, 30, 29, 27], [42, 36, 34], [37, 28, 32, 38, 43], [40, 45, 44, 39, 46, 47, 33, 49, 41, 54, 50], [55, 52, 48, 59, 53, 51, 57], [58, 56, 60]]
99: [[35, 2, 7], [1, 3, 4, 13, 5, 9, 6, 28, 10, 8, 12, 11, 19], [14, 15, 20, 30, 23, 24, 16], [18, 25, 22, 31, 17, 27, 21, 26, 29, 48, 39, 32, 47, 38], [37, 33, 44, 41, 36, 42, 34, 43, 40, 45, 46, 49, 58, 50, 52, 51, 54, 55, 53, 59, 60, 56, 57]]
100: [[35, 2, 7], [1, 3, 4], [13, 5, 12, 6, 10], [8, 14, 27, 11, 9, 16], [21, 22, 30], [23, 15, 18, 17, 24], [19, 25, 29, 20, 26, 28, 31, 32, 33, 54, 42, 37, 38, 34, 36, 45, 40, 41, 39, 44, 59, 43, 53, 46, 47, 56, 52, 48, 49, 50, 57, 51, 58, 55, 60]]
101: [[35, 2, 7], [1, 3, 4, 13], [21, 5, 6, 11, 30], [12, 9, 15, 17, 14, 22, 20, 10, 18, 25, 16, 26, 27, 23], [24, 19, 29, 28], [31, 8, 33, 34, 58, 32, 36, 38], [37, 47, 39, 40, 46], [41], [43, 44, 57], [48, 42, 45, 50, 54, 49, 52, 55, 53], [51, 56, 59, 60]]
102: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 6, 11], [8, 14, 24], [10, 12, 19], [15, 28, 25, 16, 30, 17, 18, 20, 22, 29, 27, 23, 26, 31, 9, 32, 39, 47, 34, 38, 50, 42, 36, 40, 33, 37, 41, 44, 46, 43, 53, 48, 45, 51, 49, 54, 52, 55, 56, 59, 57, 58, 60]]
103: [[35, 2, 7, 1], [3, 4, 13, 21, 5, 6], [11, 26, 30, 8, 10, 24], [9, 31, 12, 15, 22, 14, 16, 23], [18, 17, 19, 20, 29], [27, 25, 28, 33, 53], [32, 47, 38, 54, 34, 45, 43, 39, 40], [42, 36, 41, 46, 51, 44], [49, 52, 37, 48, 50, 55, 56, 58, 57, 59, 60]]
104: [[35, 2, 7, 1], [3, 4, 13, 5, 15], [6, 9, 8, 12, 11, 10], [21, 14, 28, 31, 30, 16, 23, 17, 18, 20, 22, 25, 24, 26, 19, 27, 29, 32, 38], [44, 48, 37, 45, 36, 46, 39, 33], [34, 40, 42], [47, 41, 43], [51, 52, 53], [59, 49, 55, 58, 50], [57, 54, 60, 56]]
105: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 8, 10, 9, 11, 12, 25, 19, 18, 14, 16, 27, 6], [15, 23, 20, 17, 24, 22, 29, 30, 26, 28, 54, 32, 46, 47, 31, 37, 39, 43, 41], [33, 34, 36, 38, 40, 42, 45, 52, 49, 56, 44, 48, 51, 50, 55, 53, 59, 57, 58, 60]]
106: [[35, 2, 7], [1, 3, 4], [13, 21, 5], [6, 24, 9, 12], [10, 11], [29, 14, 20], [8, 15, 26], [17, 22, 18], [16, 23, 25, 19, 30, 27], [28, 36, 32, 31, 37, 34, 38, 33, 44, 39, 42, 43, 48, 47], [40, 41], [59, 53, 45, 58, 46, 55, 49, 52, 50, 56, 57, 51, 54, 60]]
107: [[35, 2, 7], [1, 3, 4, 13], [5, 21], [6, 8, 9, 30, 15, 28, 11, 12, 20, 24, 23, 14, 19, 16, 22, 25, 27, 29, 17, 26, 31, 32, 33, 43, 34, 36, 48, 39, 46, 44, 41, 42, 37, 38, 40, 45, 47, 50, 49, 53], [55, 18, 10, 51, 56, 54, 52], [57], [59, 60, 58]]
108: [[35, 2, 7, 1, 3], [4, 13, 5, 6, 14, 9, 8], [10, 11, 12, 15, 23, 16, 20, 22, 21, 26], [18, 25, 30, 17, 19, 24, 28, 31, 27, 29, 33, 46, 44, 51, 34, 53, 38, 32, 41, 40, 39, 37, 42, 47, 43, 45, 50, 49, 52, 36, 54, 48, 55, 58, 56, 57, 59, 60]]
109: [[35, 2, 7, 1], [3, 4, 13, 5], [10, 6, 8, 12, 30, 14, 24, 9, 11, 22, 15, 19, 21, 18], [16, 20, 17], [27, 23, 25], [26, 31, 28, 40], [42, 36], [37, 56, 29, 38, 46, 47, 32, 39, 33, 41, 43, 44, 45, 57, 53, 49, 52, 34], [55, 48, 51, 50, 54, 59, 58], [60]]
110: [[35, 2, 7, 1, 3, 4, 13], [21, 5, 14, 11, 28], [12, 10, 9, 6, 29, 15, 16], [8, 22], [17, 19, 18, 20], [23, 24, 25, 26, 31, 27, 30, 32], [37, 54, 34, 42], [33, 39, 38, 44], [41, 45, 46, 47, 48, 59], [40, 43, 36, 60, 51], [49, 55, 50, 53, 52, 56, 58, 57]]
111: [[35, 2, 6, 1, 3, 4, 13, 21, 5, 22, 9, 10, 8, 7, 25, 12, 11, 26, 14, 15, 16, 27, 18, 17, 19], [20, 28, 23, 24, 30, 29, 31, 32], [38, 39], [33, 42, 41], [44, 47], [36, 34, 37, 43, 45, 40, 46, 48, 51, 58, 54, 50, 49, 55, 53, 52, 57, 56, 59, 60]]
112: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 6, 8], [9, 12, 10, 11], [17, 15, 18], [25, 26, 19, 27], [22, 29, 16], [23, 24, 20, 28, 30, 31], [14, 32, 45], [37, 33, 38, 36, 46, 34, 41], [39, 40, 44, 43, 42, 59, 47, 48, 58, 50, 49, 55, 54, 51, 56, 57, 52, 53, 60]]
113: [[35, 2, 7, 1, 3, 4], [13, 21, 5, 6, 24], [11, 10, 14], [9, 12, 15], [8, 20, 30, 23], [17, 18, 22, 16, 25, 27, 19], [28, 26, 29, 55], [32, 46, 53, 31, 44, 37, 39, 47, 33, 42, 48, 38, 40, 41], [34, 51, 43, 50, 36, 52, 45, 49, 54, 56, 57, 58, 59, 60]]
114: [[35, 2, 7], [1, 3], [4, 13, 21], [5, 6, 9], [10, 30, 11, 8], [12, 15, 17, 20, 14, 18], [16, 22, 23, 19, 25], [24, 26, 28, 31], [27, 29, 32, 33, 38, 34, 37, 56, 41, 36, 39, 40, 45, 46, 48, 42, 58, 43, 59, 44, 49, 47, 52, 50, 53, 51], [54, 55, 57, 60]]
115: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 6, 25], [12, 26, 14], [9, 8, 11, 18, 10, 23, 19], [17, 22, 15], [20, 30, 16, 29, 24, 27], [28, 38, 32, 44, 37], [31, 36, 34, 40, 47], [33, 43, 42, 39, 45, 41, 46, 48, 51, 50, 54, 53, 49, 52, 55, 56, 57, 59, 58, 60]]
116: [[35, 2, 7], [1, 3, 4], [13, 21], [5, 22, 25, 10, 14, 8], [11, 26, 24, 6], [30, 31, 15], [9, 20, 17, 12, 16, 23], [18, 29, 19, 28, 47, 32, 38, 45, 27], [39, 37, 34], [33, 36, 40, 43, 41, 42, 44, 46, 55, 49, 48, 50, 54, 51, 53, 52, 56, 59, 60, 57, 58]]
117: [[35, 2, 6, 1], [3, 4, 13, 21], [7, 5, 11, 8, 12], [9, 28, 25, 17, 10, 14, 24], [20, 30], [15, 18, 16, 22, 29, 23], [26, 19, 27], [59, 32, 39, 47, 33, 31], [57, 40, 37], [34, 41, 36, 38, 46, 42, 44], [48, 43, 49, 50, 55, 52], [45, 51, 56, 53, 54, 58, 60]]
118: [[35, 2, 7, 1, 3, 4, 13, 5, 21, 6, 10, 9, 30, 29], [28, 11, 12, 15, 14], [16, 18, 20, 19, 22, 17, 23, 25, 26], [24, 31, 27, 8, 41, 36, 32, 57, 33, 34], [42, 37, 43, 39, 45, 44, 38, 46, 40, 49, 53, 51, 48, 47, 54, 59, 58, 52, 50, 55, 56, 60]]
119: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 6, 9], [8, 12, 14], [11, 17, 15], [19, 22, 10, 16, 31], [18, 23, 26, 20, 30, 27, 25], [28, 24, 46, 33, 29, 37, 44, 38, 41, 32, 45], [39, 36, 42], [40, 43, 47, 50, 53, 51, 34, 48, 52, 49, 55, 58, 54, 56, 59, 57, 60]]
120: [[35, 2, 7, 1, 3, 4, 13, 21], [5, 6, 25, 10, 24, 9, 8, 11], [15, 27, 20, 12, 18], [22], [16, 23, 19], [14, 17, 26, 28, 30, 29, 31, 32, 33], [38, 34, 36, 56, 39, 44, 37, 40, 41, 43, 48, 45, 42, 46, 58, 47, 49, 51, 50, 53, 57, 55, 54, 59, 52, 60]]
121: [[35, 2, 5, 1, 3], [4, 13, 21], [7, 6, 9], [8, 14, 28, 10], [11, 12, 16], [22, 15, 18, 23], [19, 17], [24, 27, 20], [25, 31, 26, 44, 45, 32], [29, 30], [38, 33, 34, 36, 37, 40], [39, 41, 42], [47, 43, 49, 46], [52, 51, 53, 54, 50], [55, 48], [59, 60, 56], [57, 58]]
