0: [[14, 35, 20, 1, 2], [33, 7, 3, 4], [13, 17, 6, 21], [25, 5, 8, 9, 27, 10, 18], [12, 24], [29, 11, 19, 31, 15, 16, 30], [23, 28, 22, 40, 52, 50, 26], [37, 36, 42, 32, 45, 34, 39], [44, 41, 43, 38, 46], [58, 47, 53, 51], [48, 49, 55, 57], [54, 59, 60, 56]]
74: [[14, 35, 2, 20, 32, 33, 7, 5, 4], [13, 21, 1, 3, 6, 9, 11, 8, 10, 15, 27, 18, 23, 16, 17, 19, 25, 22, 24, 26, 29, 28, 30, 36, 31, 45, 38, 41, 34, 37, 12, 43, 42, 39, 44, 46, 40, 47, 57], [56, 51, 49, 48, 50, 54, 55, 60, 53, 58, 52, 59]]
75: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 17], [1, 5, 21, 12, 8, 25, 27, 9], [6, 30, 24, 16, 15, 10, 11], [19, 22, 18, 26, 28, 29, 60, 23, 34, 39, 31, 40, 45, 36, 43, 37, 41, 44, 47, 48, 46, 59, 38, 56, 52, 50, 53, 49], [51, 42, 58, 55, 54, 57]]
76: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1], [5, 10], [9, 12, 6, 8], [24, 11, 22], [18, 25, 23, 17, 16, 19], [26, 28, 30, 27, 29, 31, 54, 38, 34], [37, 42, 15, 43, 40, 58, 39, 36, 45, 46, 50, 51, 41, 48], [44, 55, 53, 49, 47, 57, 59, 52, 60, 56]]
77: [[14, 35, 2], [20, 32, 33], [7, 3], [4, 13, 17, 5, 8], [1, 9, 12, 6, 10, 11, 27, 18, 19, 26, 21, 22], [16, 15, 23, 30, 28, 24, 29], [25, 36, 37, 40, 31, 41, 39, 38, 46, 43], [34, 44, 42, 45, 50, 47, 51, 49, 48, 53, 54, 52, 57, 60, 55, 56, 59, 58]]
78: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 5, 9], [10, 8, 6, 22, 15, 25], [28, 16, 11, 27, 12, 19, 17], [18, 26, 23, 24, 29, 30, 31], [42, 58, 34, 38, 40, 36, 37, 43], [44, 45, 41, 39, 46, 47, 49, 48, 53], [52, 54, 50, 51, 57, 55, 59, 56, 60]]
79: [[14, 35, 2, 20, 32, 33], [7, 3, 4], [13, 21, 1, 24, 9], [12, 5, 6, 8, 22, 10], [16, 27, 11, 15, 18, 19, 26], [23, 28, 30, 17, 25], [31, 29, 34, 58, 38, 41], [36, 39, 37, 40], [45, 42, 43, 47, 56, 44, 46, 54, 48, 51, 53, 49, 50, 52, 57, 55, 60, 59]]
80: [[14, 35, 2], [20, 32, 33, 7, 3, 4, 13], [21, 1, 12, 10, 8, 6, 5, 11, 15, 9, 27, 16, 22, 17, 18, 19, 23, 25, 30, 24, 26, 28, 31, 53], [29, 54, 34], [36, 37, 48, 46, 47, 38, 40, 43, 44, 39, 41, 51, 56, 59, 42, 45, 49, 52, 50, 55, 60, 58, 57]]
81: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1], [5, 6, 8, 11], [9, 28, 18, 10, 12, 19, 16], [17, 27, 22, 15, 23, 31], [26, 24, 30, 25, 49, 38, 29, 36, 42, 34, 40, 46], [39, 37, 41, 47, 43, 56, 45, 44], [51, 52, 57, 58, 53, 50, 54], [59, 55, 48, 60]]
82: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 5], [9, 6], [12, 11, 16, 8, 15, 10], [17, 23, 26, 19, 28, 27], [18, 29], [24, 22, 25, 30, 60, 38], [31, 40, 34, 36, 46, 37], [39, 45], [41, 42, 43, 48, 44, 47], [50, 49, 51, 52, 53, 54, 55], [58, 57, 59, 56]]
83: [[14, 35, 2], [20, 32, 33], [7, 5], [4, 13, 21, 1], [3, 8, 6], [9, 28], [10, 24, 31, 16, 15, 11, 27, 25], [12, 17, 19, 18, 22, 29], [23, 26, 30, 38, 37, 34, 46, 36, 45, 41, 47, 39, 40, 42, 43], [44, 51, 58, 48, 52, 49, 54, 50, 56, 55, 53, 57, 59, 60]]
84: [[14, 35, 2, 20, 32, 33, 7, 3, 4, 13], [21, 1, 17, 12, 6, 5, 11, 8, 9, 30, 10, 24, 16, 18, 19, 25, 23, 22, 26, 28, 27, 29, 60, 31, 34, 39, 15, 38, 37, 41, 40, 36, 47, 45, 43, 42, 58, 44, 49, 48, 46], [50, 52, 51, 55, 53, 56, 59, 54, 57]]
85: [[14, 35, 2, 20, 32, 33, 7, 3], [4, 13, 21, 5, 1, 9, 10], [11, 8, 25, 19, 12, 17, 16, 15, 24, 23, 29, 18, 22, 30, 26, 27, 28, 60, 31, 34, 36, 44, 45, 38, 39, 46, 6, 47, 41, 40, 37, 51, 49, 50, 42, 55, 43, 56, 48, 54, 52, 59, 53, 58, 57]]
86: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 17, 1, 6, 5], [9, 8, 10, 29, 18, 11], [12, 24, 15, 28, 27, 16], [19, 22, 23, 26, 21, 25, 60, 55, 38, 30, 36, 44, 31, 41, 39], [37, 40, 43, 47, 34, 49, 45, 50, 42, 46, 59, 48, 53, 57, 54, 51, 52, 58], [56]]
87: [[14, 35, 2], [17, 1, 33], [7, 3, 4], [13, 8, 6, 21, 11, 5], [10, 9, 26, 20, 22, 12], [24, 29, 27, 19], [15, 23, 16], [30, 18, 25, 28, 44, 55, 34], [31, 37, 36, 42, 38, 46, 32], [39, 45, 40, 56, 41], [50, 43, 52, 47], [51, 48, 49, 53, 54], [57, 58, 60, 59]]
88: [[14, 35, 2, 20, 32, 33], [7, 3, 4, 13, 21, 1, 16, 5, 10, 8, 6, 26], [9, 24, 27], [19, 12, 15, 11, 29, 17], [18, 22, 30], [23, 60, 25, 39, 34], [44, 28, 31, 41, 37, 36, 47], [46, 42, 38, 52, 40, 43, 55, 58, 48, 54, 45, 57, 53, 49, 51, 59, 56, 50]]
89: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 21], [1, 17, 8, 12, 6, 9, 5], [28, 10, 11, 25, 15, 19, 18], [23, 16, 30, 22, 26, 29], [24, 27, 55, 36, 46, 34, 44, 31], [39, 37, 40], [43, 38, 42, 45], [41, 53, 47, 48, 56, 49, 50, 51, 52, 60, 54], [57, 59, 58]]
90: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1, 6, 5, 10, 8], [25, 26, 24, 28, 16], [19, 9, 11, 18, 22, 12], [15, 51, 17, 23, 29, 31, 27, 34], [44, 54, 38, 30, 37, 59, 40, 36, 41, 43, 45, 42], [39, 47, 46, 49], [52, 48, 55, 50, 56, 53, 57, 58, 60]]
91: [[14, 35, 2, 20, 32, 33, 7, 3, 4, 13, 21, 6, 1, 9, 12, 5, 10], [11, 8, 24, 15, 16, 27, 25, 23, 17, 18, 19, 31, 26, 22, 28, 29, 30, 46, 36, 39, 38, 37, 34, 42, 40, 41, 45], [47, 43, 51, 44, 56, 48, 53, 59, 49, 50, 52, 57, 58, 54, 60, 55]]
92: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1], [5, 10, 6, 8], [12], [28, 17, 30, 9, 18, 29], [27, 24, 22, 31, 15, 16], [25, 19, 23, 26, 11, 46], [36, 39, 34, 37, 40, 44, 45, 48, 41, 42, 47, 56, 43, 38, 49, 50], [53, 51, 52, 55, 54, 58, 59, 57, 60]]
93: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 17, 1], [21, 9, 5], [12, 11, 8, 15, 30, 6], [10, 24, 23, 18, 16], [19, 22, 25, 28, 27, 31, 29, 26, 38, 34, 40, 52, 44, 43, 39, 36, 46, 45, 37, 41, 59, 47, 50, 48, 42, 49, 53, 54, 55, 51], [56, 60, 57, 58]]
94: [[14, 35, 2], [17, 32, 33, 7, 3], [4, 13, 21, 1, 15, 5, 10], [12, 6, 8, 11, 16, 29, 9, 18, 26, 20, 19, 23, 22, 25, 24, 27, 28, 60, 30, 34, 36, 53, 45, 38, 54, 40, 44, 42, 43, 31, 55, 37, 39, 49, 41, 51], [57, 46, 48, 47, 50, 52], [59, 56, 58]]
95: [[14, 35, 16, 20, 2, 33, 7], [5, 4, 13, 21, 1, 3, 24], [6, 8, 11, 9, 25, 26, 10, 12, 17, 18, 19, 27, 15, 29, 30, 31, 28, 23, 44, 22, 50, 32], [37, 36, 42, 41, 34, 38, 39, 47, 40, 43, 58, 45, 46, 48, 49, 52, 54, 51, 55, 57, 53, 56, 59, 60]]
96: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 5, 18, 6], [8, 9, 24], [29, 1, 11, 15, 16, 19, 26, 10], [12, 23, 49, 27, 17, 21, 22, 28, 25, 47, 39, 37], [30, 36, 31, 41, 34, 38, 42, 44, 46, 45, 40, 43], [57, 50, 51, 52, 53, 48, 54], [58, 55, 60, 56, 59]]
97: [[14, 35, 2, 20, 32, 33, 7, 3, 4], [13, 17, 1, 9, 21, 6], [11, 10, 28], [5, 8, 12, 19, 25, 16, 30], [15, 18, 23], [24, 29, 22], [27, 26, 55], [42, 53, 41, 34, 38, 44, 47], [36, 31, 40, 45, 37, 39], [50, 49], [43, 56, 51, 46, 48], [52, 57, 58, 54, 59, 60]]
98: [[14, 35, 2, 20, 32, 33, 7], [3, 4, 13, 21, 1, 5, 12, 10], [9, 8, 6, 26, 11, 19, 17], [18, 15, 23], [16, 22, 25, 30, 29, 24, 27, 28], [53, 34, 40, 46, 39, 31, 44, 47, 57, 42, 36, 43, 45, 38, 56, 52, 41, 51, 37, 48, 49, 54, 60, 50, 58, 55, 59]]
99: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 17, 1], [5, 21, 9, 8, 25], [28, 18, 6, 30, 26, 12, 10, 15], [16, 11, 22, 19, 24, 27, 29], [60, 55, 34, 38, 23, 37, 39, 31, 42, 46, 40, 36, 47, 56, 58, 41, 50, 45, 48, 43, 49, 53, 51, 44, 59, 54, 52, 57]]
100: [[14, 35, 2, 20, 32, 33, 7, 3, 4, 13], [21, 1, 6, 5, 10, 8, 26, 9, 27, 12, 18, 11, 30], [17, 25], [15, 19, 23, 28, 16, 24, 29, 54, 22, 31, 42, 36, 38, 47], [46, 34, 37, 39, 41, 43, 40, 44, 45, 49, 50, 53, 48, 51, 56, 57, 52, 58, 60, 55, 59]]
101: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 5, 1, 10, 6], [8, 9, 11, 15, 16, 19, 30, 17, 12], [23, 27, 24, 26, 21, 18, 25, 29, 28, 50, 22, 31, 34, 44, 39], [36, 40, 37, 46, 38, 43, 41, 53, 56, 42, 45, 47, 49, 48, 52, 51, 55, 57, 54], [59, 58, 60]]
102: [[14, 35, 2, 20, 32, 33], [7, 3, 4], [13, 21, 1], [5, 11, 12, 8], [10, 30, 16], [31, 6], [24, 9, 15, 19, 17, 29], [18, 22], [23, 26, 25, 27, 28, 40], [44, 37, 43, 34, 36, 45], [38, 41], [39, 46, 42], [47, 49, 50, 48, 52, 53, 56], [51, 57, 60, 59, 54, 55, 58]]
103: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 17, 1, 5, 6], [12, 9, 8, 30, 28, 10, 11], [24, 29, 18, 19, 15, 16, 22], [21, 26, 25, 27, 60, 55], [34, 47, 37, 23, 54], [39, 46, 44, 38, 41, 45, 48, 57], [49, 31, 36, 40, 43, 42], [53, 51, 50, 59, 58, 52, 56]]
104: [[14, 35, 2, 20, 32, 33, 7, 3, 4, 13, 17, 5], [1, 6, 8, 11, 9, 28, 18, 10], [12, 24, 29, 16, 19, 15, 23], [21, 22, 26, 25, 27, 30, 57, 34, 31, 37, 40, 38, 39, 46, 44, 36, 41, 42, 45, 47, 49, 54, 56, 43, 52, 48, 55, 51, 60, 50, 53, 58, 59]]
105: [[14, 35, 2, 20, 32, 33], [7, 3, 4], [13, 21, 6], [12, 1], [5, 11, 8, 9], [10, 25, 17, 16, 18, 22], [19, 30, 23, 15], [24, 27, 26], [28, 29, 41, 38], [31, 36], [60, 42, 44], [40, 43, 37], [46, 47, 45], [50, 52, 56, 48], [51, 34, 49, 53, 55, 39], [54, 58, 57, 59]]
106: [[14, 35, 16, 20, 32, 33, 7, 3, 4, 13, 21, 1], [25, 2, 5, 8, 6, 26, 28, 9, 11, 12, 19], [15, 17, 27], [18, 24, 22, 23, 29, 30, 56, 54, 34, 10, 38, 37], [36, 39, 40, 42, 31, 44, 41, 43, 60, 46], [50, 47, 52, 51, 49, 53, 57, 45, 48, 58, 55, 59]]
107: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 17, 5, 1, 9, 10], [6, 8, 11, 15, 24, 21, 12, 31, 19], [18, 16, 27], [22, 23, 28, 25, 29, 26, 30, 38], [39, 56, 34], [44, 37, 40], [36, 42, 41, 46, 47, 45], [43, 52, 50, 48, 49, 53, 54], [55, 51, 58, 59, 60, 57]]
108: [[14, 35, 16, 17, 2, 33], [7, 3, 4, 13], [1, 6, 5, 9], [11, 12, 8], [27, 15, 10, 18, 19, 20, 24], [22, 25, 31, 23, 30, 26, 28], [32, 21, 58, 38, 37], [29, 48, 34, 39], [47, 44, 36], [45, 40, 41, 46, 43, 50], [52, 51, 54], [56, 53, 55, 42, 49, 59, 57, 60]]
109: [[14, 35, 6, 4], [32, 33, 7, 3], [2, 13, 21, 1, 5, 25, 8], [10, 9, 11, 12, 23, 19, 17, 16, 31, 24, 18, 15, 20, 22, 26, 27, 28, 29, 49, 36, 44, 37, 45, 39, 30, 40, 34, 38, 42, 41, 43, 53, 47, 50, 55, 51, 54, 48, 46, 56, 60, 57, 59, 52, 58]]
110: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 17, 1, 5, 12], [8, 6, 9, 15, 10, 16], [28, 24, 29, 18, 26, 19, 11], [22, 21, 25, 23, 27, 60], [55, 34], [47, 30, 45], [37, 38, 40], [31, 36, 41, 39, 56], [42, 43, 49, 48, 46, 51, 54, 50], [52, 44, 58, 53, 57, 59]]
111: [[14, 35, 2, 20, 32], [33, 7, 3, 4], [13, 17, 6, 5], [9, 1, 8, 10, 11, 15, 27], [12, 18], [19, 16, 21, 23, 29, 30, 24], [28, 25, 26, 31, 60, 40, 22], [43, 54, 38, 36, 44, 34, 47], [37, 45, 39, 41, 42, 46, 56, 49, 53], [52, 48, 55, 57, 50, 59, 51, 58]]
112: [[14, 35, 2, 20, 32, 33, 7, 3, 4, 13, 17], [1, 5, 25], [10, 9, 6, 26, 8, 11, 12, 15, 27, 22, 16, 18], [21, 19, 23, 24, 29, 28, 57, 31, 34, 42], [39, 40, 36, 30, 37, 43, 45, 41, 38, 56, 44, 51, 54, 58, 48, 55, 49, 46, 53, 60, 47, 50, 52, 59]]
113: [[14, 35, 2, 20], [32, 33, 7, 3, 4], [13, 17, 1, 5, 25, 8], [10, 9, 12, 15, 16, 6, 18], [11, 19, 27, 28, 21, 23], [22, 24, 26, 29, 30, 31, 50, 34, 37, 44], [36, 38, 46, 43, 39, 40, 47, 48], [52, 53, 41, 42, 45, 51, 49], [54, 55, 58, 57, 59, 56, 60]]
114: [[14, 35, 2], [1, 32, 33], [7, 3, 4, 13], [17, 5, 15, 6, 10, 21], [11, 16, 8, 9, 27, 18], [22, 12, 19], [20, 24, 23, 29], [28], [25, 26, 30, 40, 57, 39], [38, 37, 42, 36, 31, 34, 43], [44, 41, 46, 45, 47], [56, 48, 53, 51], [50, 49, 52, 54], [55, 59, 58, 60]]
115: [[14, 35, 20, 4, 32], [33, 7, 3, 6], [13, 17, 1, 5, 29, 8, 9], [10, 15, 26, 2, 12, 24, 16, 18, 19, 31, 11, 22, 23, 21, 28, 30, 56, 52, 50, 25, 37, 40, 38, 27, 45, 58, 34, 36, 41, 42, 39, 44, 46, 43, 53, 47, 48, 49, 51, 54, 57, 55, 59, 60]]
116: [[14, 35, 20, 4, 2], [33, 7, 3, 1], [13, 17, 5, 6], [15, 8], [10, 11, 25, 9, 18, 12, 16, 28, 27, 24, 19, 30, 23, 22, 26, 29, 31, 32, 21, 42, 38, 44, 37, 47], [34, 39, 43, 36, 41, 40, 45, 46, 49, 58, 53, 51, 48, 52], [55, 54, 56, 57, 59, 50, 60]]
117: [[14, 35, 2, 20, 32, 33, 7, 3, 4, 13, 17, 1], [5, 22, 10, 9, 8, 24, 31, 11], [12, 29, 28, 16, 27, 6, 15], [23, 26, 18, 25, 21, 60, 55, 19, 58, 38, 40, 30, 39, 46, 34, 36, 45, 37, 41, 44, 56, 50, 42, 43, 49, 48, 47, 51, 52, 53, 54, 59, 57]]
118: [[14, 35, 2, 20, 32, 33], [7, 3, 4, 13], [21, 1, 9], [5, 6, 10], [8, 28, 30, 12, 15], [19, 11, 17, 16, 18, 26, 23], [22, 24, 25, 27, 40, 31, 34], [29, 36, 37, 38, 39, 44], [43, 41, 46, 45, 42, 56], [49, 50, 52, 47, 51, 53, 54], [59, 48, 55, 60, 57, 58]]
119: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 17, 1, 5, 26], [9, 12, 11, 16, 6, 8], [10], [24, 31, 25, 15, 30, 18], [22, 21, 19, 23, 27, 60], [46, 42, 54, 28, 29, 38], [39, 47, 34, 36, 41, 40, 58, 57, 49, 52, 48, 59], [37, 43, 53, 55, 44, 51, 45, 50, 56]]
120: [[14, 35, 2, 20], [32, 33, 7, 3, 4, 13, 21], [1, 5, 6, 10, 8, 9, 26, 11, 19, 12, 22, 16], [18, 17], [24, 25, 23], [27, 28, 30, 29, 58], [31, 40, 52, 36, 37, 15, 34, 38, 47, 39, 42, 45, 41, 49, 44, 57], [46, 43, 54, 48, 53, 50, 51, 55, 59, 56, 60]]
121: [[14, 35, 6, 1, 2, 33], [7, 3, 4], [13, 17, 5], [20, 9, 12, 8, 11], [31, 10, 16, 19], [23, 15, 24, 18], [21, 25], [22, 30], [26, 28, 27, 38, 29, 50, 58], [37, 36, 42, 32, 45, 39, 40], [46, 41, 44, 34, 47], [43, 51, 49, 55], [48, 52, 53, 57], [54, 59, 56, 60]]
