0: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14, 11], [28, 13, 21, 6], [15, 29, 16, 17, 18, 10], [22, 23, 31], [25, 24, 27], [58, 50, 30, 56, 46, 33, 32, 43, 36], [54, 34, 12, 44, 41, 38, 55, 39, 47, 42, 37, 45, 40, 52, 48, 51], [57, 49, 59, 53, 60]]
74: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4], [8, 26, 30, 11, 10, 14, 6, 12], [22, 21], [13, 15], [16, 18, 17, 23, 24, 27, 29, 25, 28, 45, 31, 32, 48], [33, 42, 46, 36, 40, 50, 37, 39, 34, 47, 38, 44], [43, 49, 41, 51, 57, 58, 54, 53], [52, 60], [55, 56, 59]]
75: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4], [8, 30, 14, 10, 11, 13, 25, 12], [29, 17, 15, 21, 16, 18, 22, 23, 28, 24, 26, 27, 6, 58, 44, 52, 32, 50, 31], [42, 33, 41, 40, 36, 34, 59, 38], [45, 39, 37, 49, 43], [47, 46], [51, 55, 48, 57, 53, 54, 56, 60]]
76: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 30, 12, 15], [11, 10, 13, 6], [25, 14], [28, 24, 17, 18], [21, 27, 16, 22, 26, 23, 29, 31, 32, 45, 54, 34, 40, 36, 43, 39, 37, 47, 33, 41, 46, 42, 38, 44, 48, 57, 51, 49, 50, 52, 53, 58, 60, 55, 56, 59]]
77: [[19, 20, 35], [2, 5, 1, 7, 9, 3, 8, 4, 30, 14, 6], [10, 15, 11], [12, 29, 13, 17, 16, 18, 21], [24, 22, 23, 25, 27, 28, 26, 31, 58, 32, 34, 36], [44, 52], [37, 45, 39, 46, 33, 41, 40, 47, 42, 43, 38, 53, 48], [50, 49, 55, 51, 57, 59, 54, 60, 56]]
78: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 8, 26, 14, 10], [22, 13], [28, 6, 11, 21, 15, 24, 16, 29, 18, 23, 31, 17, 25], [27, 58, 39, 42, 48, 46, 33, 40, 30, 36, 52, 34, 12, 45, 41], [38, 54, 32, 44, 43, 37, 47, 51, 55, 49, 50, 56, 57, 59, 53, 60]]
79: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 10, 30, 6, 8, 29], [12, 26, 14, 11, 13], [17, 15, 16, 18, 22, 23], [25, 21, 24], [27, 51, 43, 36, 31], [38, 44], [32, 28, 34, 41, 33, 37, 59, 39], [40, 42, 46, 45, 47, 49], [48, 50, 53, 55, 54], [57], [56, 52, 60, 58]]
80: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8, 26, 30, 6, 11], [13, 12, 14], [17, 10, 15, 18], [16, 23, 27, 22, 21, 25, 24, 28, 59, 29, 53, 32, 36, 31, 46, 44, 38, 37, 33, 34, 41, 43, 39, 40, 42, 45, 47, 58, 48, 55, 49, 51, 50, 52, 60, 54, 56, 57]]
81: [[19, 20, 35, 2, 5], [1, 7, 9, 3, 4, 8, 26, 30, 10], [28, 15, 6, 14, 18, 13, 11, 21, 12, 16, 22, 17, 27, 24, 29, 25, 56, 54, 53, 60, 32, 38, 50, 44, 23, 37, 33, 39, 31, 34, 42, 40, 41, 47, 36, 45, 58, 43, 52, 48, 46, 57, 49, 51, 55, 59]]
82: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8], [30, 14, 6], [24, 10, 26, 11, 31, 15, 25, 13, 16, 18, 23, 12, 22, 27, 28], [17, 57], [21, 55, 29, 36, 51, 32, 42, 34, 37, 39, 33], [38, 40, 41, 44, 43, 47, 58, 45, 50, 48, 53, 46, 52, 56, 49, 54, 59, 60]]
83: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8, 30, 14, 12, 29, 6, 24, 10, 11, 26, 25, 13, 16, 15, 31, 17, 21, 23, 18, 27, 50, 28, 38, 34, 36, 40, 32, 44, 22, 42, 33, 39, 43, 37, 41, 46, 45, 48, 47, 52, 49, 51, 53, 55, 54, 57, 56, 60], [59, 58]]
84: [[19, 20, 35, 2, 5], [1, 7], [9, 3, 8, 4, 26, 14, 22, 10, 6, 12, 15, 21, 17, 23, 13, 16, 27, 18, 28, 29, 11, 25, 24], [59, 30, 42, 31, 52, 32, 50, 34, 44, 33, 38, 46], [47, 40, 37, 36, 39, 41, 43, 49, 45, 48, 60, 53, 51, 56, 54, 58, 55, 57]]
85: [[19, 20], [35, 2], [5, 1, 7, 9, 3, 4], [8, 26, 30, 11, 10, 14, 6, 12], [18, 21], [13, 16], [22, 23, 17, 25, 24, 28, 29, 27, 31, 45, 32, 40, 48], [33, 42, 15, 37, 36, 34, 41, 38, 44, 47, 50, 51], [46, 39, 43, 56, 49, 58, 54, 53], [52, 59], [55, 57, 60]]
86: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4], [6, 30, 12, 22, 10, 8, 15, 13], [29, 17, 11, 21, 16, 23, 24, 18, 28, 31, 26], [25, 57, 36, 27, 32, 52], [50, 14], [33, 40, 44, 42, 46, 39, 34, 37, 43, 47, 48, 49, 51], [53, 38, 41, 55, 45, 54, 60, 56, 58, 59]]
87: [[19, 20], [35, 2], [5, 1, 7, 9, 3], [4, 6, 26, 28, 22, 14], [31, 10, 13, 8, 12, 15, 11, 16, 30, 17], [18, 21, 23, 24, 25, 58, 27, 36, 42, 56, 34, 29, 32, 40, 39, 44, 38, 37, 43, 41, 45, 47, 51, 33, 50, 52, 46, 49, 55, 48, 53, 57, 54, 59, 60]]
88: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 15, 10], [28, 13, 6, 11], [14, 25, 17, 16, 22, 24], [18, 21, 31], [23, 27, 30], [58, 51, 36, 29, 38, 32, 33, 43, 37], [54, 34, 12, 44, 41, 40, 55, 45], [46, 42, 39, 53, 47, 49, 50, 52, 57, 48, 59, 56, 60]]
89: [[19, 20], [35, 2, 5], [1, 7, 9, 3, 4, 8, 30, 14, 6], [13, 10, 21, 12, 23, 16], [25, 29, 17, 11, 18, 28, 24, 22, 26, 49, 56, 27, 15, 48], [53, 54, 32, 42, 31, 57, 33, 36, 38, 41, 34, 45, 40, 37, 59, 46, 39, 43, 51, 47, 44, 50, 52, 58, 55, 60]]
90: [[19, 20, 35, 5, 2], [1, 7, 9, 3, 4], [8, 30, 11], [14, 15, 13, 6, 10, 21], [23, 17, 12, 16, 26, 22, 18], [27, 24, 25, 31], [28, 29, 53, 33, 48, 51, 34], [38, 39], [32, 42], [41, 36, 37, 44, 47], [46, 40, 43, 55, 45, 49, 52, 58, 50], [54, 60], [56, 57, 59]]
91: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 8, 30, 14, 6, 10], [12, 13, 11, 18, 26, 21], [27, 16, 15, 17, 23, 22], [24, 28, 25, 50], [29, 37, 45, 34, 32, 31, 36, 33, 56, 40, 47, 43, 44, 38, 46, 41, 42, 48, 52, 51, 53, 39, 54, 58, 49, 55, 59, 57, 60]]
92: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8], [30, 14, 6, 11, 13, 12, 18], [10, 15, 16, 27], [25, 17, 22, 21, 24, 23], [29, 28, 52, 31, 26, 33, 38, 32, 34, 42, 53, 44, 37], [36, 47, 39, 41, 43, 40, 48, 56], [46, 45, 49, 50, 55, 51, 54, 57, 59], [60, 58]]
93: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8, 26, 30, 10, 14, 15, 6, 13, 12, 11, 28, 17, 16, 27, 21, 18, 24, 25, 29, 22, 59, 23, 36, 56, 34, 38, 43, 33, 44, 37, 31], [32, 39, 41, 45, 40, 42, 47, 46, 50, 58, 49, 48, 51, 54, 52, 53, 55, 57, 60]]
94: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14, 15, 11], [6, 31, 10, 13], [12, 22, 17, 18, 16, 21], [23, 25, 28, 32], [55, 24, 27, 37, 30, 38, 29], [40, 43, 44, 52, 33], [36, 45, 39, 34], [54, 41], [42, 46], [47, 49], [57, 48, 51, 53, 50], [58, 59, 60, 56]]
95: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8, 30, 14, 18, 10, 11, 6, 12, 15, 16, 21, 24, 17, 22, 13, 28, 23, 27, 25, 26, 29], [31, 49, 33, 38, 39, 34, 44, 37, 45, 42, 36, 40, 43, 47, 32, 41], [60, 46, 56, 48, 53], [51, 52, 50, 55, 54, 57, 58, 59]]
96: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8, 26, 30, 15, 6], [11, 14, 12, 17, 18], [10, 22, 16, 23, 21, 31, 24, 25, 54, 27, 43, 41, 52, 34, 56, 32, 13, 28, 39, 37], [29, 38, 36, 47, 33, 42, 46, 40, 45, 48, 50, 44, 49, 51, 55, 53, 59, 58, 57, 60]]
97: [[19, 20], [35, 2, 5], [1, 7, 9, 3, 4, 12, 26, 10, 30], [6, 24, 11, 27, 13, 8, 14], [18, 15, 28, 23], [17, 22, 25, 21, 29, 56], [43, 31, 45, 48, 32, 37, 38, 16, 53, 33], [34, 36, 39, 40, 46, 42, 44, 41, 47, 49, 60], [54, 50, 55, 52, 57, 58, 51, 59]]
98: [[19, 20], [35, 2], [5, 1, 7, 9, 3, 4, 8, 30, 14, 6], [15, 10, 13, 11, 12, 17], [16, 29], [18, 22, 23, 25, 24, 28, 21, 26], [57, 56, 27, 31, 44, 50, 34, 42, 38, 40, 32, 37, 47, 39, 33, 46, 36, 41, 49], [43, 45, 52, 48, 54, 51, 55, 53, 58, 59, 60]]
99: [[19, 20], [35, 2], [5, 1, 7, 9, 3, 4, 8, 30, 14, 15, 18, 13, 6], [12, 10, 11, 16, 31, 17, 21, 22, 27, 26, 23, 29, 24, 60, 25, 50, 28, 52, 32, 34, 44, 53], [33, 37], [36, 47, 38, 41, 43, 40, 39, 49], [42, 46, 45, 48, 51, 54, 56, 57, 55, 59, 58]]
100: [[19, 20, 35, 2, 5, 1, 7, 9, 3, 4, 8, 26], [14, 12, 15, 6, 10, 11, 29, 13, 16], [23, 18, 17, 21, 28, 24, 27, 22], [25, 31, 40, 59, 49, 36, 33, 30, 32, 52, 38, 39, 41], [37, 34, 42, 43, 46, 45, 44, 47, 56, 48, 51, 53, 50, 55, 54, 57, 58, 60]]
101: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8, 30], [14, 11, 10, 6, 12, 13, 16, 15, 17, 18, 22], [27, 28, 25, 29], [26, 23, 31, 57, 24], [34, 21, 52, 33, 38, 36, 44, 32, 46, 40, 37, 58, 39, 41, 42, 45, 43, 47, 54, 48, 50, 59, 55, 49, 51, 53, 56, 60]]
102: [[19, 20], [35, 2], [5, 1, 7, 9, 3, 4, 8, 26, 14], [11, 29, 22, 13, 6, 10, 12], [17, 18, 25, 15], [16, 27, 23, 24, 21, 52], [56, 40, 31, 30, 28, 32, 36, 47, 34, 48], [33, 38, 45, 37, 39, 54, 41, 42, 43], [44, 55, 46, 50, 49, 51, 53, 59, 60, 57, 58]]
103: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 30], [14, 13, 6, 11], [12, 10, 26], [15, 17, 18, 21, 22], [16, 24, 29, 23, 25], [27, 56, 31, 52, 50, 36, 59, 32, 46], [28, 51, 33, 41, 38, 37, 43, 39, 45, 47], [34, 60, 54, 48, 40, 42, 44, 49, 57, 58, 53], [55]]
104: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 8, 26, 27, 11, 21, 6, 12], [10, 14, 13, 17], [16, 18, 31, 22, 25], [24, 15, 23, 28, 57, 60, 29, 30, 52, 48, 36, 32, 38, 33, 37, 34, 47, 39, 40, 41, 42, 44, 43, 54, 45, 49, 50, 55, 46, 53, 51, 59, 56, 58]]
105: [[19, 20], [35, 5, 2, 1, 7], [9, 3, 4], [10, 30, 6, 18, 8, 29, 11], [15, 13], [12, 14, 21, 16, 22, 23], [17, 25, 31, 24, 27, 33], [60, 26, 52, 32, 28], [38, 44, 45], [34, 41, 37, 39, 36, 43], [42, 46, 40], [51], [47, 50, 48, 53, 49], [59, 58, 57, 54, 55, 56]]
106: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 30, 10], [14, 6, 15, 12], [25, 11, 13, 17, 16, 28], [18, 21], [22, 24, 27, 29, 57, 23, 46, 31, 52, 34, 56, 33, 36, 37, 32, 47, 38, 41, 39, 43, 40, 44], [42, 45, 51, 49, 53, 48, 54, 58, 50, 55, 59, 60]]
107: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 10], [26, 14, 8, 6, 15, 11, 16], [22, 30, 12, 13, 17, 18, 25, 28, 21], [23, 27, 24], [29, 56, 44, 31, 38], [49, 34, 33, 54, 45, 32], [39, 36], [40, 42], [37, 41, 43, 46, 51], [47, 55, 48, 50, 53, 57, 59, 52, 60, 58]]
108: [[19, 20, 35, 2, 5, 1, 7, 9, 3], [4, 8, 26, 14, 6, 30, 11, 10], [15, 23, 28, 18, 12, 13, 16, 17, 29], [21, 22, 25, 24, 31, 36], [27, 32, 53, 52, 38, 34, 37, 33, 40, 45, 46, 43, 42, 44], [41, 48, 47, 39, 49, 51, 50, 55, 56, 54, 57, 59, 60, 58]]
109: [[19, 20, 35, 2, 5, 1, 7, 9, 3], [4, 8, 26, 14, 6, 10, 15, 11, 12, 25, 13], [17, 18], [21, 22, 30, 24, 28], [16, 23, 31, 29, 27, 50, 32, 42, 33, 38, 37], [34, 36, 52, 45, 44, 40, 46, 41], [43, 47, 39, 49, 48, 54, 53, 55, 57, 58, 51, 59, 56, 60]]
110: [[19, 20, 35, 2, 5, 1, 7, 9, 3], [4, 8, 30, 14, 6, 10, 12], [25, 13, 16, 15], [18, 11, 29, 24, 17, 21, 27, 26, 22, 23], [28, 57, 42, 60, 38], [33, 32, 31, 36, 34, 45, 40, 37, 49, 41, 46, 39, 47, 43, 44, 50, 53, 52, 54, 55, 56, 51, 58], [48, 59]]
111: [[19, 20, 35, 2, 5, 1, 7, 9, 3, 4], [8, 30, 14, 6, 24], [15, 13, 10, 11, 28, 16, 12, 18], [21, 17, 23, 22, 25, 27, 58, 29, 45, 41, 49], [34, 26, 36, 40, 38], [37, 39, 31, 32, 42, 33, 44, 43, 47, 46, 50, 52, 55, 56, 51, 48, 54, 57, 53, 59, 60]]
112: [[19, 20, 35, 2, 5, 1, 7, 9, 3, 4, 8, 30, 14, 6, 10, 15], [12, 11, 13, 16, 18], [26, 29, 21, 17, 22, 27, 23, 24, 25, 28, 46, 31, 33, 54, 32, 34, 36, 39, 40, 45, 44, 43, 42, 56, 37, 47, 38, 41, 49, 59, 48, 52, 50, 51, 53, 55, 58, 57, 60]]
113: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8, 30], [14, 6, 15, 10, 11], [12, 13, 16, 29, 17, 22], [24, 25, 18], [21, 23, 28, 26, 49], [27, 41], [31, 52, 55, 40, 37, 32, 33, 36], [39, 45, 34, 42], [47, 38, 44, 46, 48], [43, 56], [50, 51, 53, 58, 54, 57, 59, 60]]
114: [[19, 20, 35, 2, 5, 1, 7], [9, 3, 4, 8], [26, 14, 13, 12, 15, 6], [11, 17, 25], [16, 21, 18], [10, 22, 31, 24, 30, 23, 27, 58, 29], [28, 56, 46, 33, 37, 41, 32, 43, 34, 36, 42, 45, 38, 44, 47, 55], [40, 53, 39, 48, 49], [54, 51, 57, 50, 52, 60, 59]]
115: [[19, 20, 35, 2, 5, 1, 7, 9, 3], [4, 8], [30, 14, 6, 22, 10, 11, 12, 13, 16, 17, 31, 15], [29, 23, 21, 24, 25, 18, 27, 53], [56, 32, 38, 52, 50, 34, 40, 39, 33, 41, 26, 42, 45, 46, 28, 36, 55, 54, 37, 49, 43, 44], [47, 51, 59, 48, 58, 57, 60]]
116: [[19, 20, 35, 2, 5, 1, 7, 9, 3, 4, 30], [15, 10], [6, 18, 8, 13, 12], [14, 26, 11, 16, 21, 24, 17, 29, 22], [23, 25, 27, 28, 45, 57, 33, 34], [60, 38, 40, 39, 37, 43, 31, 32, 41, 42, 53, 44, 46, 50, 54, 36, 55, 51], [49, 47, 52, 48, 56, 58, 59]]
117: [[19, 20, 35, 2, 5, 1, 7, 9, 3, 4, 8, 30, 14, 6, 24, 15, 16, 10, 12, 11, 21, 23], [17, 26, 22, 13, 18, 25, 28, 53, 27, 38, 50, 29, 31, 58, 32, 34, 39, 36], [42, 33, 41, 40, 47, 44, 43, 49], [59, 45, 48, 37, 46, 51, 54, 52, 57, 55, 60, 56]]
118: [[19, 20], [35, 2], [5, 1, 7, 9, 3, 4, 8, 26, 14], [11, 6, 30, 10, 13, 12, 17], [16, 18, 29, 22], [21, 25, 24, 49, 23, 27], [31, 34, 15, 28, 52, 48, 36, 38, 32, 45], [39, 40, 33, 37, 43, 46, 42, 44, 60, 47, 41], [54, 50], [51, 55, 53, 56, 58, 57, 59]]
119: [[19, 20], [35, 2], [5, 1], [7, 9, 3, 4, 24, 10, 14], [12, 31, 6, 25, 8], [11, 30, 17, 13, 18, 16], [23, 21, 15], [22, 27, 57, 26, 58], [54, 32], [38, 52, 29, 41, 28, 37, 33, 39], [34, 47, 40, 43, 42, 36], [49, 44, 45, 46, 48, 51], [50, 55, 53, 56], [59, 60]]
120: [[19, 20], [35, 2, 5, 3, 1, 9, 8, 4, 12, 26, 14, 6, 10], [30, 13], [15, 17, 7, 16, 23], [11, 18, 21, 22], [25, 27, 29, 28, 59, 24, 46], [34, 40], [31, 45, 32, 33, 44, 58, 38, 37, 39, 51, 42, 43, 47, 41, 52], [48, 36, 49, 55, 50, 56], [53, 54, 60, 57]]
121: [[19, 20], [35, 4, 5, 1, 7, 9], [3, 2, 10, 30, 14, 6, 8, 11], [12, 15], [24, 13, 16, 29, 25, 17, 23, 18], [27, 22, 28, 21, 26, 57, 40, 46, 33, 55, 42, 31, 32, 52, 34, 37, 44, 36, 38, 43, 39, 47, 45, 48, 51, 41, 49, 53, 50, 54, 56, 58, 60, 59]]
