0: [[60], [56], [9], [15, 7, 47, 6, 10], [42, 53], [40, 32, 55, 17], [20, 19, 24, 12], [38, 44], [5, 23, 18], [22, 28], [52], [37, 26, 45, 29], [35, 57, 46, 2], [49], [59, 43], [41], [3, 30, 31, 51], [16, 54], [39], [14, 13, 58, 21], [36, 50], [48, 27, 11], [33, 34], [8, 4, 1, 25]]
74: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 22, 15, 13, 29, 31, 16, 17, 23, 6, 21, 26], [25, 18, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
75: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 17, 23, 29, 15, 26, 22, 13, 16, 25, 10, 21, 6], [18, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
76: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 23, 29, 13, 26, 16, 15, 17, 25, 10, 21, 22], [18, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
77: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 22, 6, 29, 17, 13, 16, 15, 21, 23, 28, 26], [25, 31, 18, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
78: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 10, 6, 26, 29, 15, 17, 13, 16, 23, 21, 28], [18, 31, 25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
79: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 10, 6, 15, 13, 16, 18, 17, 22, 31, 23, 21, 25], [26, 29, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
80: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 18, 13, 15, 29, 6, 16, 10, 28, 17, 25, 23, 21, 31], [26, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
81: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 21, 10, 17, 13, 15, 18, 31, 16, 22, 25, 26], [28, 23, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
82: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 15, 13, 16, 31, 26, 18, 17, 21, 25, 22], [23, 28, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
83: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 13, 6, 15, 16, 10, 22, 17, 18, 26, 23, 21, 25], [29, 28, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
84: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 22, 6, 10, 13, 16, 25, 18, 15, 17, 26, 23, 21], [28, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
85: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 6, 22, 15, 10, 13, 23, 16, 17, 18, 21, 25, 26], [28, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
86: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 17, 10, 6, 15, 13, 31, 16, 18, 22, 29, 21, 28], [23, 26, 25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
87: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 15, 6, 10, 13, 23, 18, 16, 17, 21, 29, 26], [25, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
88: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 13, 15, 22, 21, 28, 18, 23, 16, 25, 26, 17, 29], [31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
89: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 13, 15, 22, 25, 16, 17, 21, 23, 26, 28, 18, 29], [31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
90: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 26, 10, 6, 13, 15, 16, 17, 22, 21, 18, 23, 28, 25, 29], [31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
91: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 10, 15, 17, 13, 18, 23, 22, 28, 16, 21, 26, 25, 29], [31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
92: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 13, 17, 29, 23, 16, 18, 22, 25, 15, 28, 26, 21], [31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
93: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 26, 6, 15, 13, 10, 16, 17, 23, 28, 18, 29, 21, 25], [31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
94: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 10, 15, 21, 6, 13, 23, 16, 26, 17, 18, 28, 25, 29], [31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
95: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 6, 13, 29, 21, 16, 17, 15, 10, 23, 18, 26, 25, 28], [31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
96: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 22, 10, 6, 31, 21, 17, 18, 13, 16, 23, 15, 29], [25, 26, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
97: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 6, 10, 13, 31, 23, 15, 17, 16, 22, 29, 18, 21], [26, 25, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
98: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 6, 23, 15, 10, 18, 13, 26, 17, 16, 22, 21, 29], [25, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
99: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 17, 10, 29, 15, 22, 18, 6, 13, 16, 23, 21, 26], [25, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
100: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 6, 26, 10, 16, 13, 15, 18, 17, 22, 23, 21, 29], [25, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
101: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 13, 15, 16, 22, 17, 18, 23, 26, 29, 10, 21, 6], [25, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
102: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 13, 15, 29, 16, 18, 23, 17, 21, 22, 25], [28, 26, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
103: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 22, 29, 13, 18, 16, 23, 15, 25, 17, 21, 6], [26, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
104: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 22, 21, 6, 10, 29, 16, 18, 15, 13, 17, 28, 25], [23, 31, 26, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
105: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 13, 15, 21, 29, 16, 18, 31, 25, 17, 26, 22, 23], [28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
106: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 13, 18, 25, 16, 15, 23, 17, 31, 10, 21, 22, 26, 29], [28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
107: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 10, 15, 13, 16, 21, 22, 17, 23, 25, 18, 26, 29, 31], [28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
108: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 6, 10, 13, 15, 21, 18, 26, 17, 25, 23, 16, 29, 31], [28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
109: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 17, 6, 15, 10, 13, 31, 16, 22, 18, 21, 23, 26, 29, 25], [28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
110: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 18, 15, 23, 13, 17, 16, 10, 25, 21, 31, 26, 22, 29], [28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
111: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 13, 22, 23, 15, 17, 25, 28, 26, 16, 18, 10, 21], [6, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
112: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 22, 6, 10, 13, 28, 23, 17, 16, 18, 25, 15, 26], [29, 21, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
113: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 26, 13, 23, 10, 15, 16, 17, 18, 29, 22, 28], [21, 31, 25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
114: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 26, 6, 13, 29, 23, 17, 16, 22, 10, 18, 15, 28], [21, 31, 25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
115: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 26, 6, 13, 31, 15, 16, 10, 23, 29, 28, 17], [18, 21, 25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
116: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 26, 6, 31, 13, 15, 10, 17, 16, 23, 25, 22, 18], [21, 28, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
117: [[35, 51, 9, 1, 20, 47, 6, 10, 42, 54, 2, 32, 60, 17, 30, 24], [8, 12, 38, 46, 3, 18, 23, 4, 16, 53, 37, 27, 45, 29, 34, 57], [7, 13, 14, 48, 19, 41, 21, 31, 26, 22, 11, 25, 33, 39], [15, 49, 40, 36, 43, 44, 50, 52, 55, 56, 58, 5, 59, 28]]
118: [[60, 56, 11, 15, 7, 47, 2, 9, 43, 52, 35, 32, 1, 21, 20, 24], [8, 13, 42, 44, 5, 3, 18, 17, 28, 4, 33, 6, 45, 10, 12, 57], [19, 22, 50, 59, 23, 41, 25, 31, 26, 49, 29, 54, 30, 14], [37, 58, 16, 36, 51, 48, 27, 38, 34, 39, 40, 46, 53, 55]]
119: [[35, 59, 9, 15, 4, 39, 6, 10, 43, 52, 41, 32, 1, 17, 22, 19], [24, 12, 38, 42, 3, 21, 8, 16, 18, 20, 36, 25, 45, 28, 33, 57], [47, 2, 49, 23, 26, 29, 31, 7, 30, 51, 27, 54, 37, 14], [13, 40, 44, 34, 46, 48, 50, 11, 53, 55, 56, 5, 58, 60]]
120: [[35], [19], [25], [33, 20, 7, 6, 2], [10, 15], [8, 4, 3, 1], [30, 5, 24, 9], [11, 12], [13, 23, 14], [17, 16], [22], [21, 26, 18, 29], [27, 31, 28, 40], [34], [32, 37], [38], [36, 39, 42, 47], [48, 46], [41], [44, 45, 49, 53], [58, 54], [51, 50, 55], [43, 52], [56, 57, 59, 60]]
121: [[60, 16], [27, 33, 23, 15], [2], [1, 10], [3], [7, 4, 11, 5], [28, 24, 8, 9], [6], [12, 13], [17, 14, 22], [19, 20], [21, 18, 26, 29], [25, 31, 30, 40], [34, 32], [37, 38, 35, 36, 43], [45], [39], [46], [41], [44, 47, 48, 53], [42, 54], [49, 50, 52], [51, 55], [56, 58, 57, 59]]
