0: [[35, 43, 7, 2], [1, 3, 4], [13, 5, 6, 21], [9, 11, 16, 15, 31, 8, 14, 10, 18], [17, 12, 19, 23, 26, 27, 20, 24], [22, 29, 28, 25, 39, 32, 30, 37], [33, 34, 36, 40], [47, 45], [46, 41, 38, 44], [42, 51], [55, 48, 53, 54], [49, 57], [50, 52, 58, 56], [59, 60]]
74: [[35, 43, 2, 7], [1, 3, 4, 9, 5, 20, 12], [27, 14, 8, 26, 10, 6, 11, 21], [13, 15, 17, 16, 30, 23], [19, 25, 18, 22, 24, 29, 28], [47, 33, 31, 32, 34, 38, 36, 40], [37, 44, 45, 46, 39, 41, 42], [51, 48, 52, 49], [50, 53, 56, 54, 55, 58, 57, 60, 59]]
75: [[35, 43, 2, 7], [1, 3, 4, 13, 6], [5, 21, 11, 9, 12, 22, 8], [10, 14, 30, 15, 16, 19, 17, 20], [23, 25, 24, 18, 26, 28, 31, 27, 29, 42, 33, 32, 34, 39], [38, 37, 36, 44, 41, 40, 46, 45, 53, 48], [50, 51, 47, 49, 58, 55, 52, 54, 56, 57, 59, 60]]
76: [[35, 43, 2, 7], [1, 4, 5, 27, 6, 3, 18, 15, 8], [10, 9, 12, 11, 14], [31, 13, 20, 22], [26, 17, 16, 19, 21, 23, 25], [24, 28, 30, 29, 40, 47, 34, 37, 32, 39, 45, 38, 36, 41, 33, 42, 44, 46, 50, 48, 53, 49, 51, 58, 57, 52, 55, 54, 56, 60, 59]]
77: [[35, 43, 2, 7], [1, 4], [3, 9, 12, 6, 10], [11, 5, 14, 18, 22, 21, 8, 15], [16, 13, 17, 23, 31, 20], [24, 25, 19, 27, 28, 29, 26, 44, 30], [34, 32, 42, 36, 33, 38, 37], [47, 41, 39, 46, 50, 58], [51, 53, 40, 49, 45, 48, 55, 52, 54, 57, 59, 56, 60]]
78: [[35, 43, 2, 7], [1, 3, 4, 9, 10, 21, 27], [5, 15, 8, 24, 29, 11, 18, 22], [6, 13, 17], [12, 23, 16, 14], [25, 28, 19, 20, 26, 31, 47, 46, 30, 36, 32, 33, 34, 37, 42, 38, 39, 45, 41, 40, 52, 49, 44, 51, 48, 55, 50, 57, 53, 54, 56, 60, 58, 59]]
79: [[35, 43, 2, 7], [1, 4, 3, 15, 5, 8, 11, 9, 27, 12, 13, 10, 21, 22, 14], [30, 26, 16, 17, 18, 19, 24, 25, 20, 23, 53, 44], [28, 36, 39, 33], [37, 31, 40, 6, 29, 32, 45, 42, 51, 34], [38, 47, 41, 49], [50, 52, 48, 57, 55, 46, 58, 59, 54, 56, 60]]
80: [[35, 43, 2, 7], [1, 4, 5, 31, 3], [16, 8, 9, 12, 10, 13, 11, 23, 6], [14, 30], [15, 20, 22, 17, 21, 25, 27, 19, 26, 29, 28, 24, 42, 37, 34, 36, 33, 32, 38, 39, 40, 45, 46, 41, 47, 49, 44, 48, 51, 50, 52, 60, 53, 55], [54, 18, 59, 58, 57, 56]]
81: [[35, 43, 2, 7], [1, 4, 5, 27, 6], [3, 18], [15], [8, 10, 9, 12, 11, 14, 30, 13, 21, 23, 19, 17, 16, 22, 24, 20, 25, 26, 28, 29, 31, 40, 32, 34, 37, 33, 38, 45, 44, 36, 41, 39, 46, 42, 47, 50, 48, 53, 54, 49, 58, 57, 51, 55, 52, 59, 56, 60]]
82: [[35, 43, 2, 7, 1, 3, 4, 14, 8, 5, 6, 22], [10, 11, 9, 28, 12, 17], [21, 13, 15, 29, 23, 16, 20, 31, 27, 19, 25, 30, 24, 18, 44], [32, 26, 36, 41, 37, 53, 54, 34, 40, 38, 39, 45, 42, 48, 46, 55, 51, 33, 47, 50, 49, 52, 57, 58, 56, 59, 60]]
83: [[35, 43, 2, 7], [1, 4, 5, 25], [11, 6, 12, 3, 8, 9, 27, 13, 18, 17], [22, 29, 21, 10], [14, 30, 20, 15, 16, 19, 23, 24, 26, 31, 45, 28, 33], [34, 37, 32, 38, 60, 41, 46, 36, 40, 39, 58, 42, 50, 48, 44, 49, 47, 51, 53, 52, 55, 59, 56, 54, 57]]
84: [[35, 43, 2, 7], [1], [5, 13, 9, 8, 4, 24, 3, 12, 6, 11], [14, 27, 16, 10], [18, 15, 20, 17, 22, 21, 19, 25, 23], [26, 30, 31, 29, 33, 28, 39, 37, 41, 38, 42, 34, 32, 44, 36, 45, 46, 40, 49, 47, 52, 55, 48, 50, 51, 53, 58, 54, 56, 57, 60, 59]]
85: [[35], [43, 2, 7, 1, 11, 4, 15, 20, 5, 3, 10, 12, 8], [9, 13, 16, 26, 14, 21, 19, 17, 6, 18, 22, 24, 23, 25, 27, 31, 29, 30, 36, 28, 33, 32, 39, 34, 38, 42, 45, 40, 44, 37, 47, 46, 41, 50, 48, 54, 52, 55, 53, 57, 49, 51], [59, 56, 58, 60]]
86: [[35, 43, 2, 7], [1, 3], [12, 13, 6, 14, 5, 27, 4, 16, 8, 31, 11, 9, 10], [17, 15], [19, 22, 23, 18, 28, 25, 20], [29, 21, 24, 30, 37, 26, 34, 36], [33, 39, 57, 44, 32, 42, 45, 38, 40, 47, 41, 50, 46, 55], [49, 52, 56, 54, 48, 58, 53, 59, 51, 60]]
87: [[35, 43, 2, 7, 1, 3], [12, 15, 4, 14, 27, 11, 5], [18, 13, 9, 6, 8, 28, 19, 10, 16], [20, 25, 21, 23, 17, 22, 31], [24, 29, 26, 37, 30, 32, 34, 33, 36], [59, 39, 38], [42, 45, 40, 41], [44, 47, 50, 46, 49], [48], [56, 51, 55, 52, 58, 53, 54, 57, 60]]
88: [[35], [43, 2, 7, 1, 5, 3, 25, 9, 11, 12, 27, 13, 4], [8, 6, 14, 15, 10, 18, 20, 16, 17, 23, 22, 26, 21, 19, 30, 28, 24, 29, 31, 40, 38, 36, 42, 32, 34, 45, 33, 39, 41, 37, 44, 47, 46, 48, 55, 53, 49, 50, 54, 59, 52, 51, 57, 56, 60, 58]]
89: [[35, 43, 2, 7], [1], [3, 5, 11, 4, 8, 26, 10, 28, 9, 14, 12, 15], [6, 13, 17, 22, 19, 20, 23, 18, 25], [16, 21, 24, 27, 29, 31, 46, 30, 32, 33, 42, 34, 54], [38, 45, 40, 37, 39, 36, 47, 41, 49, 52, 44, 48, 51, 50, 53, 57, 55, 56, 58], [59, 60]]
90: [[35, 43, 2, 7], [1, 5, 13, 31, 9, 3, 14, 12, 11, 4, 10, 15, 6, 8, 17, 16, 23, 20], [29, 18, 22, 19, 21, 24, 26, 28, 25], [27, 46, 30, 33, 37], [34, 45, 32, 38], [41, 50, 40, 36, 39, 44, 48, 47, 54, 42, 51, 49, 52, 55, 57, 59, 53, 58, 56, 60]]
91: [[35, 43, 2, 7, 1], [4, 5, 25, 8, 3, 6, 12, 13, 16, 11, 19, 9], [10, 14, 15, 23, 30], [29, 22, 20, 17, 24, 26, 18], [28, 21, 44, 46, 27, 37, 36, 32], [33, 40, 38, 31, 34, 41, 45, 47, 42, 39, 48, 54, 51], [49, 50, 58, 57, 55, 53, 60, 52, 56, 59]]
92: [[35, 43, 2, 7, 1, 3, 13, 4, 9, 11, 6, 12, 25, 10, 5, 8, 14, 15, 19, 30, 23, 17, 20, 21, 16, 22], [18, 28, 24, 26, 29, 27, 36, 38, 31], [33, 56, 37, 40, 32, 41, 47, 34, 44, 42, 45, 39], [54, 52, 48, 51, 46, 59, 57, 55, 53, 49, 50, 58, 60]]
93: [[35, 43, 2, 7, 1, 3, 5, 25, 8, 14, 9, 4, 6, 10, 11, 31, 13, 12, 15, 17, 16, 28, 20, 23, 19, 18, 24, 22, 27, 21, 29, 26, 44, 30, 41, 36, 33, 34, 37, 39, 32, 40], [46, 42, 45, 38, 47, 50, 49, 55, 48, 52, 53, 51, 56], [54, 57, 60, 59, 58]]
94: [[35, 43, 2, 7], [1], [4, 5, 9, 3, 10, 27, 8, 28, 11], [13, 24, 19, 6, 12, 14], [31, 15, 21, 20, 22, 17, 16, 23, 18, 25], [29, 26, 44, 30, 34, 37, 41, 36, 32], [47, 45, 40, 33, 39, 38, 42, 46, 50, 54, 55, 48, 52, 51, 53, 49], [57, 56, 60, 59, 58]]
95: [[35, 43, 2, 7, 1, 5, 12, 28, 9, 8, 25, 3, 6], [11, 17, 13, 4, 15, 31], [14, 10, 16, 22, 21], [18, 20, 19, 24, 23, 26, 27, 29], [47, 34, 30], [37, 32, 33, 38, 36, 40, 39, 41, 42, 44, 46], [45, 48, 50, 52, 49, 53, 51, 54, 57, 55, 59, 56, 58, 60]]
96: [[35], [43, 2, 7, 1, 3, 4, 25, 10, 9, 5, 24, 11, 12], [8, 6, 14, 13, 15, 21, 16, 18, 22, 23, 17, 20, 19, 26, 27, 29], [31, 28, 30, 47], [39, 36, 41, 33, 34, 38], [32, 44, 37, 42, 45, 40, 46, 51, 54, 52, 53, 55, 49, 57, 48, 50, 56, 58, 60, 59]]
97: [[35], [43, 2, 7, 1, 3, 12, 28, 9, 6, 27, 11, 5, 24, 8, 13, 4, 15, 10, 14, 18, 16, 20, 21, 17, 22, 19, 25, 23, 26, 29], [31, 44, 34, 30, 32, 33, 36, 39, 38], [42, 40, 37, 46, 41, 45, 47, 50, 51, 53, 52, 48, 49, 54, 57, 55], [59, 56, 58, 60]]
98: [[35, 43, 2], [7, 1], [3, 4, 13, 5, 6, 23, 9, 10, 11, 8, 15, 19, 26], [14, 17, 21, 12, 28, 16, 18, 24, 20, 22, 30, 25, 29, 31, 27], [32, 39, 36, 42, 37, 38, 41, 33, 34, 44, 40, 45, 46, 50, 51, 48, 49, 53, 52, 54, 55, 47, 56, 57, 60, 59, 58]]
99: [[35, 43, 2, 7], [1, 4, 13], [15, 19, 5, 10, 24, 6, 3], [14, 9, 11, 8, 12, 16, 18, 20], [22, 21, 17, 31, 25, 23], [27, 28, 29, 26, 45], [30, 46, 34, 40, 32, 54, 44, 37], [33, 38, 36, 39, 41, 42, 49, 52, 47, 48], [50, 60, 53, 51], [55, 57, 56, 58, 59]]
100: [[35, 43, 2, 7], [1, 5, 4], [25, 3, 26, 31, 14, 8, 12, 6, 15], [9, 10, 11, 29, 19, 13, 22, 18, 16], [17, 20, 23, 28, 24, 27], [21, 30, 54, 33], [38, 47, 34, 32], [36, 46, 39, 37], [41, 40, 42, 44, 51, 48, 49], [52, 45, 59, 50, 55, 58, 56], [53, 60, 57]]
101: [[35, 43, 2, 7, 1], [3, 4], [13, 9, 5, 8, 24, 6, 10, 11], [12, 19, 14, 15, 18, 30], [31, 16, 17, 22, 21, 20, 23, 27, 25, 29, 26, 44], [38, 28], [32, 42, 36, 34], [57, 47, 37], [33, 39, 41, 40, 46, 51, 53, 49, 48, 52, 45, 56, 50, 54, 55, 60, 59, 58]]
102: [[35, 43, 2, 7, 1], [3, 5, 11, 15, 4, 9, 6, 14, 12, 20, 29, 10, 8, 13, 30], [17, 19, 16], [21, 22], [24, 26, 25, 18, 27, 23, 28, 31, 47, 34, 37, 33, 39], [32, 38, 40, 50, 41, 36, 48, 42, 45], [44, 46, 55, 51, 49], [52, 56, 59, 53], [54, 60, 58, 57]]
103: [[35, 43, 2, 7], [1, 4, 5, 25, 9, 22, 3], [31, 14, 8, 26, 29, 10, 6, 13], [18, 11], [16, 12, 17, 21, 15], [23, 28, 19, 20], [24, 27, 45, 46, 30, 36, 41, 34, 33, 37, 32, 44, 39, 38, 42, 49, 47, 50, 40, 51, 48, 52, 56, 53, 54, 55, 57, 58, 60, 59]]
104: [[35, 43, 2, 7], [1], [3, 4, 29, 17, 6, 11, 12, 14, 9, 10], [8, 5, 22, 13, 15, 23, 20, 16], [19, 21, 26, 24, 18, 27, 25, 31, 30, 46, 28, 45], [32, 34], [36, 40], [33, 39, 37, 38], [41, 42, 44, 47, 49, 52], [48, 51, 50, 53, 56, 54, 55, 57, 60, 59, 58]]
105: [[35, 43, 2, 7], [1], [3, 4, 9, 5], [8, 22], [6, 11], [10, 15, 24, 19, 13, 12], [14, 25, 16, 20], [17, 23, 18, 21, 26, 27, 29, 28, 31, 45, 30], [34, 33, 42], [38, 36, 40, 32, 39, 37, 41, 44, 46, 47, 51, 54, 48, 49, 53, 58, 55, 50, 57, 56, 52, 59, 60]]
106: [[35, 43, 2, 7, 1, 5, 4, 9, 10, 14, 6, 11, 3], [13, 8, 15, 19, 12, 20, 18, 17, 16, 22, 30, 25, 23, 24, 26, 28, 46, 45, 27, 38, 29, 40, 36, 42, 31], [21, 32, 33, 34, 47, 37, 39, 41, 52, 44, 48, 55, 51, 50, 59, 53, 54, 49, 57, 58, 56, 60]]
107: [[35, 43, 2], [7, 1], [4, 5], [13, 3, 25, 10, 12], [6, 8, 11, 14], [17, 15, 19, 18, 16, 21, 22, 9, 26, 23, 24, 27, 31, 28, 29, 30, 20, 46, 39, 32, 37, 38, 42, 44, 33, 34, 36, 47, 40, 41, 45, 51, 53, 49, 48, 52, 55, 50, 59, 54, 57, 58, 60, 56]]
108: [[35, 43, 2], [7, 1], [10, 5, 9, 6, 22, 23], [8, 3, 11, 4, 15, 25, 26, 14, 13, 17, 16, 27, 12], [18, 19, 21], [20, 24, 28, 29, 30, 31, 44, 39, 34, 40, 32, 33, 37, 38, 42, 36, 41, 45, 46, 47, 55, 53, 49, 50, 48, 51, 54, 52, 56, 58, 60, 59, 57]]
109: [[35, 43], [2, 7, 1, 3, 5, 27, 9, 10, 12, 4, 13, 6, 8], [11, 14, 29, 15, 30, 21, 16, 17, 19, 23, 20, 22, 25, 31, 24, 18, 28, 26, 41], [34, 40, 33, 32, 38, 45, 42, 37, 47], [56, 46, 36, 39, 49, 48, 52, 44, 50, 51, 57, 54, 53, 58, 55, 59, 60]]
110: [[35, 43, 2, 7, 1, 3], [4, 6, 8, 14, 5, 20, 10], [27, 9], [15, 30, 13, 11], [22, 17, 24, 29, 16, 12, 18, 19, 21], [23, 26, 25, 28, 38, 46, 31, 37, 33, 34, 50, 32, 36, 45, 39, 51, 40, 41, 47, 42, 48, 44, 49, 54, 52], [59, 57, 56, 55, 58, 53, 60]]
111: [[35, 43, 2, 7], [1, 3, 4, 15, 10, 20, 11], [24, 6, 8, 26, 29, 9, 18, 22], [5, 13], [12, 14, 19, 21, 16, 25, 28], [17, 23, 27, 31, 47, 39, 30, 36], [32, 41, 34, 42, 45, 33, 37, 38, 40, 44], [53, 48, 46], [50, 49, 55, 60, 52, 51], [54, 56, 58, 59, 57]]
112: [[35, 43, 2, 7, 1, 3, 5, 9, 8, 14, 11, 10, 4, 6, 12, 31, 13, 17, 15, 22, 19, 24, 20, 23, 25, 18, 16, 27, 21, 28], [29, 26, 44, 30, 41, 32, 33, 34, 36], [39, 45, 40, 37, 42, 47, 38, 46, 50, 49, 55, 48, 52], [53, 51, 56], [57, 54, 60, 59, 58]]
113: [[35, 43, 2, 7, 1, 3], [4, 25, 9, 5, 11, 13], [14, 6, 8, 10, 22], [12, 20, 15, 23, 16, 24, 26], [19, 30, 18, 27, 21, 28, 31, 29], [36, 17, 47, 32, 34, 38], [57, 40, 46, 39, 45, 33, 37, 41, 42], [58, 55, 44, 49, 50, 54, 59], [52, 53, 48, 51, 56, 60]]
114: [[35, 43, 2, 7, 1, 3, 5, 26, 4, 6, 15, 13, 12], [19, 10, 9], [18, 8, 11, 14, 22, 31, 28, 17, 20, 23, 24, 21, 25, 29, 30, 34, 46, 27, 33, 32, 36, 38, 37, 39, 40, 16, 41, 44, 47, 42, 45, 59, 53, 49, 48, 52, 51, 58, 54, 55, 50, 57, 56, 60]]
115: [[35, 43, 2, 7, 1, 3, 12, 13], [4, 10, 20, 6, 5, 8, 9, 11, 15], [18, 29, 14, 17], [19, 21], [27, 16, 31, 25, 23, 26, 22, 24], [28, 30, 60, 39, 33, 34, 32], [40, 38, 42, 36, 37], [46, 44, 41, 45, 55, 47, 52, 48, 50], [49, 51, 59, 53, 57, 56, 54, 58]]
116: [[35, 43, 2], [7, 1, 3], [13, 12, 8, 21, 23, 4, 5, 6, 9, 11], [19, 16], [10, 17, 14], [18, 20], [15, 22, 25, 24, 28, 27, 26, 29, 30, 31, 34, 38, 37, 33], [39, 42, 36, 32, 44, 40, 45, 50, 41, 46, 51, 52, 53, 48, 47, 49, 54, 56, 55, 59, 58, 57, 60]]
117: [[35, 43, 7, 3], [1, 4, 2, 13, 21], [22, 12, 5], [10, 6, 26, 9, 23], [29, 11, 14, 19, 15, 16, 8, 18, 25, 20, 31, 24, 17, 28, 27, 30, 33, 34, 37, 41, 32, 38, 39, 45, 40, 47, 42, 44, 48, 46, 51, 49, 50, 52], [36, 53, 57, 54, 55, 59, 58, 56, 60]]
118: [[35, 43, 2, 6, 1, 3, 5, 11, 8], [7, 4, 10, 12, 16, 13, 9, 18], [15, 30, 25, 19, 17, 14, 26], [31, 24, 27, 22, 23], [28, 29, 21, 20], [33, 32], [40, 42, 38, 34, 39, 37], [41, 46], [56, 36, 45, 44], [49, 53], [47, 52, 48, 50, 55], [51, 54, 57, 59, 58, 60]]
119: [[35, 43, 7], [2, 1], [3, 4, 9, 5], [6, 23, 8, 11, 16, 10, 15, 14, 24], [13, 18, 17, 12, 19, 21, 22, 27], [20, 26, 30, 25, 28, 29, 31, 44, 38], [37, 33, 36, 40], [32, 41], [34, 39, 45, 42], [46, 47, 51], [55, 48, 49, 53], [52, 57], [50, 54, 58, 56], [59, 60]]
120: [[35, 43, 2, 7, 1], [3, 15], [25, 5, 9, 8, 10], [6, 24, 4, 11, 14, 13, 12], [16, 18], [17, 19, 23, 29, 20], [21, 22], [27, 26], [31, 30, 44, 28, 33, 34, 42, 40, 38, 36, 39, 32, 37, 45, 56, 46, 41, 48, 47, 51, 49], [54, 55, 50, 57, 52, 53, 58, 59, 60]]
121: [[35], [43, 2, 7, 1, 3, 5, 31, 9, 11, 13, 27, 6, 4], [8, 10], [14, 15, 12], [17, 23], [16, 21, 30, 18, 19, 20, 28, 26, 22, 29, 24, 25, 42, 34], [36, 33, 32, 38, 44, 39, 40, 37, 41, 46, 45, 47, 49, 48, 52, 53, 50, 51, 58, 54, 55, 59, 56, 60, 57]]
