0: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 6, 21], [9, 14, 12, 17, 29, 10], [15, 16, 11, 18], [20, 19, 31, 24, 30], [28, 23, 22], [25, 26, 36, 58, 44, 41, 37], [34, 32, 33, 43], [38, 39, 47, 42], [40, 45, 46], [51, 50, 52, 53], [48, 55, 56], [49, 54, 57], [59, 60]]
74: [[35, 27], [8, 1, 7, 2, 3, 4], [13, 21, 5, 14, 9], [11, 6, 12, 15, 10, 19, 18, 20, 16], [17, 28, 22, 25, 23, 24, 29], [26, 31, 30, 42, 43, 36], [32, 39, 34, 38, 33], [37, 40, 47, 45, 41], [46], [53, 51, 48, 52, 44], [50, 55, 54, 60, 56, 49, 59, 57, 58]]
75: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 22, 9], [14, 10, 24, 11, 6, 17, 12, 16, 18, 15, 23, 31, 19, 20, 28, 25, 26, 29, 30, 34, 42, 45, 33, 37, 38, 32, 47, 36, 39, 44, 43, 40, 41, 46, 50, 55, 53, 52, 51, 49, 54], [48, 60, 56, 59, 58, 57]]
76: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11], [26, 9, 10, 28, 12, 14, 15], [16, 17, 18, 23, 22, 20, 24], [19, 29, 25, 30, 31, 32, 46], [45, 34, 36, 38, 37, 33, 39], [40, 41, 42, 47, 43, 44], [57], [53, 55, 48, 50, 52, 49, 60, 54], [51, 56], [59, 58]]
77: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 9], [14, 10, 26, 12, 28, 30, 24], [17, 23, 19, 20, 18, 25], [15, 16, 22, 29], [31, 50, 42, 44, 41, 38, 36], [34, 40, 33, 39, 47, 32, 37, 43], [46, 52, 49, 45, 59, 48, 55], [51, 53, 54, 56, 57, 60, 58]]
78: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 9], [15, 10, 24, 12], [30, 31, 18, 14, 19, 20, 26], [16, 23], [25, 17, 28, 22, 29, 34, 44, 37, 32, 33, 38], [41, 43, 36, 39, 40, 47, 46, 42, 45, 49, 52, 55, 48, 56, 53], [54, 58, 51, 57, 50, 59, 60]]
79: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 6, 10, 21], [9, 14, 12, 17], [11, 15, 20, 19], [16, 22, 18], [31, 24, 30, 23], [25, 26, 28, 29], [36, 58, 45, 41], [37, 34, 32, 33], [43, 38, 39, 44], [42, 40, 47], [46, 51, 48, 52], [54, 50, 55], [56, 49, 53], [59, 57, 60]]
80: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 6, 5, 14], [10, 9, 11, 12, 30, 25], [17, 18, 15], [22, 23, 20], [16, 28, 26, 19, 24, 31, 29, 33, 44, 45, 37, 32, 36, 34, 47], [42, 38, 39, 46, 41, 43, 48, 52, 59, 50, 58, 49], [51, 55, 40, 56, 60, 53], [57, 54]]
81: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11], [15, 10, 12, 14], [26, 25, 16, 9, 17], [19, 22, 23], [28, 18, 20, 24, 31, 30], [29, 58, 44, 32, 36, 37, 33, 34, 46, 38, 39, 43, 42, 45, 40, 47, 53, 57, 52, 48], [50, 56, 55], [41, 54, 49, 51, 59, 60]]
82: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 10, 14, 9, 15, 12, 17, 18, 16, 31, 22, 19, 20], [25, 23, 29, 26, 24, 28, 30, 51, 43, 32, 37, 34, 38, 42, 36, 33, 40, 39, 47, 41], [45, 44, 49, 48, 46, 60, 54], [55, 50, 52, 56, 53, 58, 57, 59]]
83: [[35, 27, 8, 1, 7, 2, 3, 4], [13, 21, 12, 6, 11, 9, 14, 5, 29], [10, 15, 26, 18, 22, 23], [17, 16, 19, 24], [28, 20, 30, 25, 31, 56, 36], [44, 33, 39, 34, 32, 37], [38, 45, 40, 43, 46, 47], [41, 49, 50, 53, 48, 42, 52, 54, 58, 51, 59, 55, 57, 60]]
84: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 9, 12, 10, 15], [14, 17, 18, 16, 19, 20, 28, 22, 24, 23, 29, 25, 30], [26, 60, 42, 31, 36, 37, 33, 34, 39, 32, 38, 41, 47, 43, 45, 40, 46, 49, 48, 52, 54, 51, 50, 44, 55, 53, 56, 57, 59, 58]]
85: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11], [10, 14, 9, 28, 12, 31, 15, 17], [18], [22, 26, 20, 23, 29, 16, 19, 24, 25, 30, 48], [41, 33, 32, 36, 38, 34, 37], [46, 42], [44, 39, 40], [47, 43, 49, 45], [51, 58, 53, 52, 55, 54, 57, 50, 59, 56, 60]]
86: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 22, 12], [6, 11, 10, 15, 16, 19, 14, 20, 17, 25, 18, 23], [24, 29, 28, 26, 30, 31, 9, 32], [45, 33, 38, 37, 34, 40, 43], [36, 46, 39, 41, 44], [42, 47, 50], [51, 54, 48, 57, 53, 49, 52, 55, 56, 58, 59, 60]]
87: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 22, 11], [6, 14, 10, 9, 15, 17], [12, 19, 16, 24, 18, 23], [25, 20, 29, 26, 30, 31, 28], [34, 33, 42, 40, 36, 45, 32, 37, 46, 43], [39, 47, 44, 41, 38, 56, 48, 50, 53, 49, 51, 55], [54, 57, 58, 60, 52, 59]]
88: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 9], [11, 15, 14, 12, 16, 18, 30], [26, 19], [17, 10, 23, 22, 20, 24, 28, 25, 29, 31, 34, 46, 33, 37], [39, 32], [40, 42, 43, 44, 38, 56, 41, 36, 47, 49], [48, 57, 50, 51, 45, 52, 58, 53, 54, 55, 59, 60]]
89: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 9, 15], [12, 25, 28, 14, 31], [10, 18, 11, 17, 30, 16], [22, 26, 29, 19, 20, 23, 24], [42, 44, 33, 32, 36, 34, 43], [41, 38, 39, 40, 47, 46, 37], [45, 51, 50, 48, 52, 49, 53], [54, 58, 55, 56, 59, 57, 60]]
90: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5], [6, 9, 11, 10], [14, 12, 15, 19, 17, 22, 18, 26, 30, 23, 20, 25, 16, 29, 28], [24, 31, 50, 58, 37, 32, 33, 39, 40, 38, 46, 34, 43, 44, 36, 41, 42, 45, 55, 47, 53, 48, 49, 51, 54, 52, 59, 60, 56, 57]]
91: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 15], [9, 10, 11, 6, 12, 14, 19, 26, 18], [16, 17, 23, 22, 20, 28, 24, 25, 29, 30, 53, 34, 40, 37, 31, 32, 33, 38, 36, 41, 43, 39, 60, 45, 46, 44, 47, 49, 48, 50, 51, 42, 54, 52, 55, 59, 57, 56, 58]]
92: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 15, 9], [11, 14, 12, 28, 6, 10, 22], [26, 17, 16, 19, 23, 18], [20, 24, 29, 25, 30, 31], [33, 44, 37, 34, 39, 32, 36, 42, 38, 40, 46, 60], [41, 45, 43, 53, 48, 47, 51, 50, 49, 52, 59, 55, 54, 57, 58, 56]]
93: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 9, 14, 11, 12, 10], [28, 16, 25, 19, 31, 15, 17, 18, 24, 26, 20, 29, 22], [23, 30, 38, 44, 32, 39], [34, 36, 33, 37, 42, 40], [47, 43, 41, 45], [46, 49, 51, 52, 53, 54, 50], [55, 56, 60, 59, 48, 57, 58]]
94: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6, 15], [9, 11, 10, 28], [12, 14, 22, 16, 19, 17, 18], [25, 23, 26, 24, 20, 30, 31], [29, 42, 41, 37, 34, 32, 38], [33, 46, 39, 44, 43, 36, 47, 40], [45, 53, 54, 52, 48, 58, 49], [50, 60, 51, 55, 56, 59, 57]]
95: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21], [5, 6, 11, 9, 10, 28], [15, 12, 16, 18, 14, 17], [22, 19, 20, 24, 23, 30, 29, 31, 25], [26, 32, 42, 41], [52], [33, 36, 37, 39, 43, 38, 45, 46, 40, 47, 44, 50, 51, 53, 48, 54, 49, 34, 58, 55, 60, 57, 59, 56]]
96: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 5, 9, 6, 15, 11, 10], [26, 14, 12, 19, 18, 20, 23, 21, 25, 16, 22, 31, 17, 28, 24, 29, 30, 34, 43, 36, 37, 32, 38, 33, 44, 45, 39, 40, 46, 41, 42], [47, 52, 51, 48, 53, 50, 49, 55, 54, 57, 56, 59, 58, 60]]
97: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21], [5, 6, 11, 9, 15], [14, 12, 30], [10, 17, 18, 16, 19, 20], [25, 23, 28, 22, 24, 31, 26, 29], [42, 43, 33], [32, 36, 34, 45, 39, 44, 38, 47, 37, 40, 41, 46, 53, 48, 60, 49, 51, 50, 54, 57, 52, 55, 56, 58, 59]]
98: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11], [12, 9, 10, 14, 15, 31], [19, 16, 18, 17, 20, 22], [24, 29, 25, 26, 23, 28, 30, 36], [46, 32, 33, 38, 34, 39, 41, 37, 40, 42, 43, 44, 45, 47, 57, 51, 48, 50, 54], [52, 53, 55, 49, 58, 56, 59, 60]]
99: [[35, 27, 8, 1, 7, 2, 3, 4], [13, 21, 5, 6, 11, 9, 14, 24, 15], [12, 28, 19, 10, 16, 22], [17, 26, 18, 23], [30, 20, 31, 25, 29, 40], [34, 45, 52, 33, 36, 41], [43, 42, 32, 39, 46, 44, 47, 38, 49], [51, 57, 48, 54], [53], [37, 50, 55, 56, 58, 59, 60]]
100: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 9], [10, 26, 15, 12, 23, 25, 17], [19, 16, 20], [18, 14, 22, 30, 29, 24], [28, 31, 58, 44, 33, 37], [34, 54, 32, 43, 40, 42], [45, 41, 36, 46, 38, 56, 55], [53, 50, 60], [39, 48, 47, 51, 52, 57, 49, 59]]
101: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6, 11, 9, 14, 12, 10, 30], [15, 19, 17, 28, 18, 20, 16, 26, 23, 24, 25, 22, 29, 31, 34, 43, 32, 33, 39, 38, 36, 37, 41, 44], [40, 42, 47, 45, 46, 53, 49, 50, 52, 51, 54, 55, 57, 56, 58, 48, 59, 60]]
102: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5], [10, 15], [9, 6, 12, 11, 18, 14, 20, 26, 19, 17, 25, 23, 22, 16], [28, 24], [30, 29, 31, 34, 43, 33, 39, 37, 32, 40], [38, 41, 42, 44, 45, 47, 36, 46, 53, 49, 57, 48], [55, 52, 50, 58, 51, 54, 56, 59, 60]]
103: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 6, 22], [9, 14, 10, 21, 29, 17], [15, 16, 11, 18, 23], [19, 31, 20, 24, 25, 36], [30, 28, 26, 44, 42], [32, 33, 37, 34], [38, 39, 41, 43, 47, 45], [46, 40, 12, 49, 51], [56], [52, 57, 48, 55], [50, 53, 54, 58, 59, 60]]
104: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 10, 15], [9, 6, 12, 28, 11, 19, 14, 18, 16, 17, 22], [24, 20, 25, 26, 23, 31], [29, 30, 40, 32, 37, 39, 33, 34, 38], [41, 46, 36, 42, 45, 56, 44, 43, 47, 48, 60, 50, 51, 52, 53, 49, 55, 54, 58, 59, 57]]
105: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 15, 9, 10, 14, 12], [24, 17, 18, 19, 22, 20], [23, 16, 28, 25], [26, 29, 30, 31, 32, 41, 38], [36, 33, 39, 34, 45, 42, 37], [40, 43, 44, 46], [47, 48, 49, 51, 52, 50, 53], [54, 55, 59, 60, 56, 57, 58]]
106: [[35, 27], [8, 1], [7, 2, 3, 4, 13, 5, 6, 9, 11, 14, 12, 16, 28, 10, 15, 21, 22], [26, 18, 19, 29, 23, 24, 20, 17, 31, 25, 30, 32, 38, 37, 33, 36, 40, 34, 46, 39, 47, 48, 42, 43, 44, 45, 41, 51, 53, 60, 49, 52, 54, 55, 50, 56, 58, 57, 59]]
107: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 12, 6, 9], [10, 14, 11, 28, 16, 17, 18], [15, 22, 21], [19, 31, 23, 29, 20, 24, 26], [30, 25, 58, 37], [33, 32, 38], [34, 36, 39, 46, 44, 40], [41, 57, 42, 43, 49], [48, 53, 56, 50, 52, 51, 45], [55, 54, 47, 59, 60]]
108: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6], [11, 14, 25, 9, 30, 12], [15, 17, 10, 22, 16, 18, 19], [20, 29, 23, 26, 24, 31, 59, 57, 47, 32, 28, 39, 36, 33, 44], [45, 37, 42, 34, 43, 41, 38], [40, 51, 46, 49, 52, 50, 48, 55, 60, 58, 53, 54, 56]]
109: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 9], [22, 10, 12], [14, 15, 11, 26, 29, 6, 5, 16, 17, 18, 20], [28, 19, 23, 24, 30, 25, 31, 33, 44, 38, 39, 37, 34, 32, 43, 36, 47, 41, 42, 40, 45, 46, 51, 49, 54, 48, 52, 53, 57, 50, 55, 56, 59, 58, 60]]
110: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 28], [14, 9, 10, 12], [11], [6, 16, 15, 23, 30], [18, 17, 19, 22, 21, 20, 25, 29, 24, 31, 52, 34, 43, 37], [32, 26], [50, 39, 33, 36, 40, 38, 56, 45, 41, 47], [51, 49, 48, 46, 42, 44, 54, 53, 55, 58, 57, 59, 60]]
111: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 10, 20], [9, 14, 12, 16, 31, 11], [15, 17, 25, 18], [6, 19, 21, 24, 28], [22, 29, 23, 30, 26, 32, 42], [45, 33, 37, 38, 34, 39], [44, 43, 36, 47, 40, 41, 46, 50, 51, 55, 52, 49, 54, 57], [56, 53, 48, 59, 58, 60]]
112: [[35], [27, 8, 1, 7, 2, 3, 4, 13, 21, 5], [6, 11, 9, 10, 15, 14, 12, 20, 30, 18, 19, 16, 17, 22, 23, 24, 26, 29, 25, 31, 28, 42, 34, 45, 33, 36, 32, 46, 44, 37, 47, 38, 39, 40, 41, 55, 51, 43, 52, 57, 49, 54, 48, 50, 53, 58, 56, 59, 60]]
113: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 9, 14, 11, 6], [15, 10, 16, 12, 20, 23, 17], [19, 21, 26, 28, 18, 29, 24, 22, 25, 30, 31, 34, 42], [37, 38, 32, 33, 41, 36, 39, 40, 43, 46, 44, 47, 45, 48, 49, 51, 53, 54, 55, 50, 52, 58, 56, 59, 57, 60]]
114: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6, 11, 10, 12, 9, 14, 15, 31, 26, 16, 18, 23, 19, 20, 17, 29, 22, 24, 25, 30, 28, 41, 47, 32, 54, 37, 34, 33, 46, 38, 43, 36, 39, 40, 42, 45], [52, 49, 55, 48, 53, 58], [51, 50, 44, 60, 56, 57, 59]]
115: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6, 11, 15, 10], [12, 9, 14, 17, 22, 18, 23, 16, 19, 29, 20, 28], [24, 26, 31, 25, 30, 32], [44, 41, 34, 33, 38, 36, 39, 46, 37, 42, 40, 43, 45, 47, 48, 59, 51, 49, 53, 52, 55, 57, 50, 54, 56, 58, 60]]
116: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5], [6, 9, 11, 15], [10, 28], [20, 16, 22], [26, 17, 23, 30, 31, 12], [14, 24, 18, 19, 25, 29], [36, 40, 45, 41, 33, 32, 34], [37, 38, 44, 46, 39, 42, 43], [47, 56, 48, 50, 49, 57, 55, 51], [52, 54, 53], [58, 59, 60]]
117: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6, 11, 9, 10, 14, 28, 12, 24, 23, 20, 19, 22, 16, 17, 15, 30, 18, 25, 26, 31, 29, 58], [43], [32, 39, 38, 34, 37], [47, 36, 45, 46, 40, 33, 41, 42, 53, 52, 50, 49, 44], [51, 48, 60, 54, 55, 57, 56, 59]]
118: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21], [9, 5, 14, 10, 11, 12, 15], [6, 24, 20, 19, 17, 30, 18], [22, 16, 28, 26, 23, 25], [31, 29, 41], [40, 45, 37, 33, 38, 34], [39, 32, 36, 42, 43, 46, 44, 47, 52, 59, 51, 48, 49, 53, 55, 54, 58, 60], [50, 56, 57]]
119: [[35, 27, 8], [1, 7, 2, 3, 4, 13, 21], [5, 6], [9, 11, 10, 14, 28, 18, 15], [24, 19, 12, 23, 22, 31, 16], [29, 20, 17, 25, 26, 30], [42], [45, 32, 33, 37, 34, 41, 36, 44, 47, 40, 38, 55, 46, 39, 49, 43, 48, 53, 50, 54, 51, 56, 52, 58, 57, 59, 60]]
120: [[35, 27, 8, 1], [7, 2, 3, 4], [13, 5, 20], [6, 11, 10, 14], [28, 31, 26], [15, 9, 17], [16, 18], [19, 21, 23, 25, 24, 33, 22, 29, 30, 40, 37, 36, 41, 42, 34, 44, 32, 43, 38, 39, 45, 46, 47, 12, 55, 51, 58, 52, 49, 50, 53, 48, 54, 56, 57, 59, 60]]
121: [[35, 27], [8, 1], [7, 2, 3, 4, 13, 21], [5, 6, 9, 10, 12, 15], [29, 14, 28, 22, 24, 26], [16, 11, 20, 18], [23, 19, 17, 31, 25], [30, 48, 46, 45], [33, 37, 34, 32, 36], [42, 38, 47, 39], [43, 40, 41], [44, 49, 50, 52], [51, 55, 58], [53, 59, 54, 57], [56, 60]]
