0: [[34], [17, 4, 38], [44, 5, 18], [7, 2], [28, 39, 3, 60, 22], [9, 11, 31, 25, 8, 13, 6, 21], [14, 15, 20], [26, 1], [27, 23, 16], [24, 36, 35, 48, 29, 10, 12], [30], [33, 37], [47, 56, 45, 40], [58, 32, 42, 43, 51], [41, 46], [49, 57], [59], [50, 52, 19, 53, 54, 55]]
74: [[35, 7, 2, 33, 1, 21, 3, 4, 12, 5, 10, 9, 6, 8, 14, 26, 13, 11, 19, 15, 16, 24, 25], [22, 17, 18], [30, 23, 20, 27, 28, 29, 31, 32, 34, 39, 36, 37, 38, 45, 47, 42, 40, 43, 41], [44, 46, 49, 48, 51, 55, 52, 53, 54, 56, 50, 57, 58, 59, 60]]
75: [[35, 7, 2, 33, 1, 21, 5, 11, 4, 3, 12, 6, 8, 9, 13, 15, 14, 26, 28, 23, 10, 27, 16, 17], [20, 18, 19], [22, 24, 29, 30, 31, 25, 32, 34, 37, 39, 38, 44, 36, 43, 40, 41, 46, 42], [45, 47, 56, 49, 50, 54, 48, 51, 52, 53, 55, 57, 59, 58, 60]]
76: [[35, 7, 2, 33, 1, 17, 4, 6, 12, 3, 9, 5, 8, 10, 11, 13, 14, 15, 16, 26, 21, 22, 18, 20], [24, 23, 19], [25, 30, 27, 29, 28, 31, 32, 37, 34, 38, 36, 46, 44, 39, 40, 42, 43, 41], [47, 45, 51, 60, 49, 50, 52, 48, 53, 55, 54, 58, 57, 59, 56]]
77: [[35, 7, 2, 33, 3, 4, 1, 5, 13, 12, 6, 14, 8, 10, 9, 11, 29, 30], [19, 15, 16, 22, 24, 21, 20, 25, 18, 17, 23, 27, 26, 39, 28, 40, 34, 38, 31, 36, 37, 51, 32, 44], [43, 46, 41], [42, 55, 57, 50, 59, 45, 52, 47, 48, 49, 53, 54, 56, 58, 60]]
78: [[35, 7, 2, 33, 3, 4, 17, 1, 5, 9, 14, 11, 6, 8, 30, 10, 12, 25, 13, 21, 16, 15, 29, 18], [20, 22, 28, 24, 19, 27, 26, 23, 31, 38, 32, 37, 34, 39, 36, 43, 41, 40], [42, 45, 57], [47, 44, 51, 53, 46, 50, 48, 52, 49, 58, 54, 55, 59, 56, 60]]
79: [[35, 7, 2, 33, 1, 29, 3, 6, 8, 13, 9, 5, 10, 11, 12, 15, 26, 14], [4, 23, 17, 21, 28, 16, 18, 20, 19, 22, 24, 30, 25, 27, 31, 32, 38, 34, 39, 37, 40, 44, 36, 42], [43, 41, 47], [45, 46, 48, 54, 51, 49, 53, 57, 52, 50, 55, 60, 58, 59, 56]]
80: [[35, 7, 2, 33, 1, 21, 3, 5, 4, 6, 9, 16, 10, 8, 11, 26, 13, 14, 12], [15, 19, 17], [18, 20, 28, 24, 22, 29, 25, 27, 30, 23, 31, 36, 34, 32, 37, 38, 45, 40, 46, 41, 42, 47, 43], [44, 55, 39, 48, 51, 50, 53, 52, 49, 60, 54, 59, 57, 58, 56]]
81: [[35, 7, 2, 37, 3, 21, 8, 5, 1, 6, 9, 4, 10, 12, 31, 11, 23, 27], [15, 13, 14, 22, 28, 20, 25, 19, 16, 17, 18, 26, 24, 54, 29, 36, 30, 34, 44, 39, 32, 42, 33, 41], [43, 38, 40], [46, 45, 47, 48, 51, 50, 53, 52, 59, 56, 55, 49, 57, 58, 60]]
82: [[35, 7, 2, 33, 1, 21, 13, 3, 12, 8, 9, 4, 6, 15, 5, 14, 20], [10, 11, 22], [19, 16, 28, 29, 17, 27, 23, 26, 18, 31, 24, 25, 30, 34, 38, 32, 36, 37, 39, 43, 45, 46, 40, 42, 44], [41, 47, 58, 50, 53, 54, 48, 49, 52, 55, 51, 57, 56, 59, 60]]
83: [[35, 7, 2, 33, 1, 21, 14, 6, 4, 9, 10, 5, 3, 8, 16, 13, 26], [15, 25, 30], [19, 28, 11, 12, 17, 27, 18, 22, 20, 23, 24, 29, 31, 34, 38, 44, 42, 39, 36, 43, 45, 40, 46, 32, 47], [41, 37, 49, 50, 54, 51, 52, 53, 48, 55, 60, 57, 59, 58, 56]]
84: [[35, 7, 2, 33, 3, 12, 1, 8, 9, 5, 11, 14, 10, 28, 13, 16, 18, 26], [21, 4, 22, 15, 30, 20, 6, 19, 17, 23, 29, 25, 24, 27, 31, 40, 34, 36, 42, 38, 47, 32, 37, 44], [39, 41, 43], [46, 45, 49, 48, 57, 51, 53, 54, 50, 60, 55, 52, 59, 58, 56]]
85: [[35, 3, 4], [34, 41, 21, 5, 15, 1, 10, 8, 27, 12, 16, 13, 11, 6, 9, 20, 7, 2, 14, 29, 19, 24, 26, 18], [17, 31, 30, 23, 25, 28, 38, 22, 46, 55, 44, 36, 47, 39, 56, 32, 33, 40], [42, 37, 45, 49, 53, 48, 43, 51, 57, 50, 52, 54, 58, 59, 60]]
86: [[35, 7, 2, 33, 5, 17, 10, 3, 4, 15, 1, 8, 6, 9, 25, 31, 16, 12], [11, 13, 14, 19, 22, 20, 21, 18, 23, 28, 24, 29, 27, 30, 26, 32, 36, 46, 34, 39, 37, 47, 38, 45], [42, 40, 44], [41, 43, 53, 51, 52, 48, 54, 49, 50, 56, 55, 58, 59, 57, 60]]
87: [[35, 7, 2, 33, 3, 29, 10, 1, 12, 4, 5, 6, 8, 28, 13, 30, 22, 25], [11, 23, 18, 14, 16, 9, 15, 27, 17, 19, 20, 26, 24, 31, 21, 32, 34, 39, 44, 36, 38, 43, 37, 42], [40, 41, 45], [46, 47, 59, 48, 49, 54, 53, 55, 51, 52, 50, 60, 56, 57, 58]]
88: [[35, 7, 2, 33, 1, 4, 15, 3, 8, 13, 5, 10, 14, 9, 6, 11, 28, 12], [16, 22, 21], [19, 18, 17, 31, 20, 24, 26, 30, 25, 27, 29, 23, 34, 38, 37, 32, 50, 36, 46, 40, 42, 44, 39, 41], [45, 43, 47, 48, 49, 55, 54, 51, 53, 52, 58, 57, 59, 56, 60]]
89: [[35, 7, 2, 33, 5, 1, 8, 3, 4, 9, 6, 10, 11, 12, 24, 26, 14, 25], [19, 18, 17], [13, 21, 15, 16, 22, 20, 23, 27, 30, 28, 29, 31, 34, 32, 37, 44, 36, 38, 40, 39, 46, 47, 41, 42], [43, 50, 49, 54, 45, 58, 48, 60, 51, 52, 53, 59, 55, 57, 56]]
90: [[35, 7, 2, 37, 3, 5, 24, 1, 4, 9, 6, 12, 13, 10, 15, 8, 11, 25], [21, 26, 16], [14, 29, 18, 17, 23, 20, 22, 19, 27, 31, 28, 30, 32, 34, 33, 36, 40, 39, 41, 44, 38, 42, 43, 59], [46, 53, 57, 50, 47, 45, 52, 48, 49, 58, 60, 51, 54, 55, 56]]
91: [[35, 7, 2, 33, 3, 21, 5, 13, 12, 10, 11, 9, 6, 8, 17, 15, 4, 14, 20, 19, 22, 24, 27, 1, 18], [25, 23, 26, 16, 29, 30, 28, 31, 34, 42, 44, 40, 36, 32, 45, 38, 43], [37, 39, 41], [46, 47, 48, 54, 49, 51, 56, 52, 53, 55, 60, 57, 50, 58, 59]]
92: [[35, 7, 2, 33, 3, 21, 4, 5, 1, 13, 8, 15, 6, 12, 9, 10, 14, 27, 16, 11, 30, 22, 29, 17], [19, 18, 20], [23, 24, 31, 25, 26, 28, 32, 34, 36, 38, 37, 39, 45, 44, 40, 41, 46, 42], [43, 47, 58, 48, 51, 49, 54, 53, 52, 55, 50, 59, 56, 57, 60]]
93: [[35, 7, 2, 33, 5, 21, 3, 8, 4, 14, 10, 6, 13, 12, 9, 30, 15, 11, 18, 20, 1, 26, 22], [29, 19, 23], [16, 24, 17, 25, 27, 31, 43, 32, 28, 34, 36, 37, 39, 44, 40, 38, 41, 42, 45], [46, 47, 57, 48, 53, 58, 49, 60, 50, 55, 51, 59, 52, 54, 56]]
94: [[35, 7, 2, 33, 3, 5, 14, 11, 4, 1, 9, 6, 15, 8, 13, 30, 22, 10, 12, 17, 26, 21, 16, 19], [18, 20, 23, 27, 31, 28, 29, 25, 24, 36, 38, 32, 47, 34, 37, 43, 44, 41], [42, 45, 39], [40, 46, 58, 48, 49, 51, 50, 52, 53, 56, 55, 54, 57, 59, 60]]
95: [[35, 7, 2, 33, 1, 12, 3, 11, 4, 13, 5, 10, 8, 6, 9, 16, 31, 14], [15, 20, 22], [23, 18, 19, 17, 21, 26, 24, 25, 27, 30, 29, 28, 32, 34, 37, 38, 39, 43, 36, 40, 41, 44, 42, 46], [45, 47, 59, 54, 51, 50, 49, 55, 48, 52, 56, 53, 57, 58, 60]]
96: [[35, 7, 2, 1, 3, 21, 13, 23, 6, 9, 11, 4, 5, 8, 10, 30, 24, 12, 14, 16, 29, 25, 15, 17], [18, 22, 20, 27, 26, 28, 57, 19, 31, 34, 36, 46, 45, 39, 37, 41, 32, 44], [42, 47, 40], [43, 33, 50, 52, 54, 49, 38, 51, 53, 58, 55, 59, 56, 48, 60]]
97: [[35, 7, 2, 37, 3, 5, 1, 6, 4, 12, 11, 10, 9, 13, 28, 8, 24, 14], [16, 23, 22, 19, 30, 20, 21, 26, 17, 29, 18, 31, 25, 33, 27, 32, 36, 34, 40, 38, 47, 15, 42, 43], [46, 41, 45], [44, 51, 39, 52, 49, 53, 59, 50, 48, 60, 54, 57, 55, 56, 58]]
98: [[35, 7, 2, 33, 5, 19, 10, 1, 9, 13, 12, 3, 11, 4, 6, 8, 27, 14], [15, 20, 22, 16, 17, 18, 26, 21, 29, 23, 30, 24, 25, 28, 31, 34, 32, 36, 37, 46, 38, 43, 44, 39], [41, 42, 45], [47, 40, 54, 52, 57, 48, 50, 49, 51, 60, 55, 56, 58, 59, 53]]
99: [[35, 7, 2, 5, 3, 21, 9, 1, 14, 4, 6, 8, 10, 11, 13, 12, 22, 24, 15, 20, 29, 17, 16, 18], [25, 19, 23], [26, 27, 30, 31, 33, 28, 32, 38, 42, 36, 34, 37, 44, 39, 40, 41, 46, 43], [47, 45, 58, 49, 54, 55, 48, 53, 56, 51, 50, 57, 52, 59, 60]]
100: [[35, 7, 2, 1, 11, 9, 3, 10, 5, 4, 13, 17, 30, 12, 15, 18, 28, 8, 24, 20, 6, 29, 14], [21, 22, 19, 16, 26, 23, 25, 27, 31, 33, 32, 34, 39, 36, 38, 43, 37, 44, 41], [40, 42, 46], [45, 47, 59, 50, 54, 49, 53, 48, 52, 55, 57, 51, 58, 56, 60]]
101: [[35, 7, 2, 1, 3, 9, 5, 4, 8, 11, 6, 14, 31, 10, 19, 13, 12, 16], [26, 18, 15], [22, 30, 20, 24, 17, 21, 27, 25, 23, 28, 29, 34, 32, 36, 33, 43, 53, 38, 41, 37, 42, 39, 40, 45], [44, 51, 58, 49, 46, 50, 55, 47, 48, 54, 52, 56, 59, 57, 60]]
102: [[35, 7, 2, 33, 5, 22, 9, 1, 6, 3, 12, 15, 10, 13, 14, 19, 30, 11], [4, 18, 16], [28, 27, 8, 21, 23, 20, 17, 24, 25, 29, 26, 31, 36, 50, 34, 32, 47, 37, 41, 40, 42, 38, 45, 39], [46, 53, 43, 54, 49, 44, 52, 51, 55, 48, 56, 59, 57, 58, 60]]
103: [[35, 7, 2, 33, 3, 5, 4, 1, 9, 10, 6, 8, 11, 12, 15, 13, 14, 16, 17, 18, 28, 20, 19, 31], [22, 21, 23], [29, 25, 24, 26, 30, 27, 32, 38, 34, 39, 53, 36, 41, 44, 42, 37, 40, 43], [45, 47, 58, 48, 46, 52, 54, 49, 50, 55, 56, 59, 57, 51, 60]]
104: [[35, 7, 2, 37, 3, 4, 1, 5, 13, 6, 11, 10, 8, 12, 18, 9, 29, 26], [15, 14, 31, 23, 28, 20, 17, 19, 16, 21, 22, 30, 24, 34, 25, 40, 36, 32, 42, 38, 39, 27, 33, 44], [43, 41, 45], [46, 47, 49, 48, 57, 51, 53, 50, 54, 56, 55, 52, 59, 58, 60]]
105: [[35, 7, 2, 33, 1, 31, 6, 3, 10, 5, 13, 4, 8, 11, 16, 12, 29, 14], [18, 20, 28, 15, 17, 19, 9, 21, 23, 22, 24, 26, 27, 25, 30, 32, 44, 34, 36, 42, 37, 38, 45, 41], [46, 39, 40], [43, 47, 57, 48, 53, 55, 54, 50, 56, 59, 52, 58, 49, 51, 60]]
106: [[35, 7, 2, 33, 5, 23, 9, 6, 4, 11, 1, 12, 3, 8, 10, 13, 31, 15, 20, 14, 16, 22, 27, 19], [17, 25, 21], [18, 26, 24, 29, 28, 30, 34, 36, 32, 37, 39, 38, 42, 46, 43, 41, 44, 47], [45, 40, 50, 49, 57, 55, 48, 52, 53, 54, 51, 59, 56, 58, 60]]
107: [[35, 7, 2, 33, 1, 5, 3, 4, 12, 8, 9, 6, 10, 14, 25, 31, 15, 13, 11], [30, 20, 16], [28, 19, 21, 18, 22, 23, 17, 26, 24, 29, 27, 34, 38, 36, 37, 32, 39, 46, 40, 42, 44, 43, 59], [45, 47, 41, 48, 49, 55, 51, 50, 52, 53, 60, 54, 56, 58, 57]]
108: [[35, 7, 2, 33, 5, 12, 15, 3, 11, 10, 9, 4, 1, 8, 14, 13, 20, 16], [17, 24, 6], [19, 22, 27, 21, 18, 23, 25, 26, 29, 31, 28, 30, 36, 38, 32, 34, 37, 47, 39, 42, 46, 40, 43, 44], [41, 49, 56, 50, 52, 45, 53, 48, 51, 55, 54, 58, 57, 59, 60]]
109: [[35, 7, 2, 33, 5, 17, 12, 3, 4, 1, 6, 8, 11, 9, 27, 14, 31, 13], [10, 19, 26], [15, 18, 21, 20, 23, 16, 22, 29, 28, 24, 25, 30, 37, 34, 36, 32, 39, 45, 38, 41, 42, 40, 43, 46], [44, 47, 50, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]]
110: [[35, 7, 2, 33, 1, 17, 9, 5, 4, 6, 3, 8, 22, 12, 26, 11, 16, 13, 25, 10, 31, 14, 15, 23, 27], [18, 29, 19, 20, 21, 24, 30, 28, 34, 32, 36, 41, 37, 38, 39, 45, 44], [40, 46, 43], [47, 42, 58, 50, 53, 55, 51, 49, 54, 48, 52, 59, 56, 57, 60]]
111: [[35, 7, 2, 33, 3, 5, 13, 10, 12, 8, 1, 31, 6, 9, 18, 25, 27, 14], [11, 26, 20], [15, 16, 24, 23, 22, 17, 19, 21, 28, 29, 4, 30, 36, 32, 38, 37, 39, 47, 44, 34, 43, 45, 41, 42], [46, 56, 52, 49, 40, 51, 60, 48, 55, 50, 58, 59, 53, 57, 54]]
112: [[35, 7, 2, 33, 1, 5, 15, 3, 4, 11, 13, 30, 12, 14, 8, 22, 31, 28, 6, 17, 9, 29, 10, 16], [21, 23, 18, 19, 20, 24, 25, 27, 26, 36, 38, 32, 47, 34, 46, 39, 42, 45], [37, 40, 43], [41, 52, 59, 56, 53, 51, 54, 48, 55, 44, 60, 49, 50, 57, 58]]
113: [[35, 7, 2, 33, 3, 4, 8, 6, 14, 1, 9, 23, 10, 12, 18, 22, 30, 13, 11], [27, 16, 25], [26, 19, 5, 15, 17, 21, 20, 24, 28, 29, 31, 32, 36, 34, 45, 39, 46, 41, 43, 37, 38, 42, 40], [44, 47, 56, 58, 48, 50, 60, 51, 52, 49, 53, 59, 54, 57, 55]]
114: [[35, 7, 2, 33, 1, 21, 9, 3, 12, 5, 14, 16, 11, 8, 10, 4, 22, 13, 24, 17, 15, 19, 18], [20, 23, 31, 25, 26, 29, 27, 28, 30, 34, 39, 6, 48, 32, 38, 45, 36, 41, 40], [42, 43, 46], [44, 47, 59, 50, 37, 51, 49, 55, 52, 53, 54, 57, 60, 58, 56]]
115: [[35, 7, 2, 33, 1, 3, 4, 5, 12, 14, 6, 8, 15, 19, 9, 10, 11, 30, 13, 22, 16, 23, 18, 17], [20, 21, 28], [26, 25, 24, 31, 27, 29, 36, 38, 32, 34, 37, 42, 47, 46, 41, 44, 39, 40], [59, 43, 45, 48, 51, 54, 52, 49, 50, 57, 55, 56, 53, 58, 60]]
116: [[35, 7, 5, 37, 4, 6, 26, 11, 2, 28, 12, 1, 3, 15, 8, 14, 13, 9, 17, 27, 22, 21, 10, 18], [16, 20, 19], [23, 30, 25, 24, 29, 31, 48, 56, 36, 32, 54, 33, 39, 38, 41, 44, 46, 58], [34, 40, 42, 53, 43, 50, 45, 57, 47, 49, 52, 55, 51, 59, 60]]
117: [[35, 7, 2, 1, 3, 25, 10, 5, 9, 4, 23, 15, 12, 6, 24, 13, 8, 27], [16, 11, 22], [18, 14, 17, 29, 30, 19, 20, 21, 26, 28, 31, 50, 32, 36, 39, 46, 33, 38, 44, 45, 40, 41, 34, 43], [37, 42, 58, 49, 51, 47, 55, 48, 53, 54, 52, 56, 59, 57, 60]]
118: [[35, 5, 4, 37, 40, 1, 3, 2, 7, 22, 11, 8, 28, 6, 10, 12, 13, 9], [25, 15, 16], [17, 14, 19, 21, 26, 23, 27, 29, 20, 24, 38, 18, 48, 30, 34, 45, 31, 36, 39, 43, 41, 44, 42, 59], [33, 32, 46, 50, 53, 47, 49, 51, 52, 54, 56, 55, 57, 58, 60]]
119: [[35, 7, 3, 38, 42, 4, 17, 9, 1, 8, 13, 2, 6, 22, 11, 10, 12, 24], [5, 30, 16], [31, 15, 19, 14, 18, 20, 23, 26, 27, 25, 28, 21, 32, 29, 33, 36, 34, 39, 43, 44, 40, 45, 46, 57], [47, 37, 48, 49, 51, 50, 60, 52, 41, 55, 54, 58, 53, 56, 59]]
120: [[35, 3, 10], [33, 1, 5, 18, 7, 2, 29, 12, 13, 14, 6, 15, 8, 11, 9, 28, 16, 19, 4, 21, 22, 20, 30, 26], [23, 17, 24, 25, 27, 58, 52, 46, 31, 32, 34, 37, 45, 36, 56, 38, 44, 59], [42, 39, 55, 49, 40, 41, 43, 48, 47, 50, 53, 51, 54, 57, 60]]
121: [[34, 1, 2], [6, 12, 5, 30, 7, 3, 14, 39, 10, 8, 18, 15, 11, 13, 26, 9, 19, 16, 22], [17, 21, 20, 23, 25, 27, 31, 28, 24, 29, 57, 48, 33, 40, 4, 37, 35, 38, 41, 44, 43, 45, 42], [32, 50, 47, 46, 53, 36, 55, 58, 51, 56, 59, 49, 52, 54, 60]]
