0: [[35, 7, 2], [3, 4, 11], [13, 5, 21, 6], [20, 8, 1, 14, 24, 15, 23, 9, 28, 17, 19, 16, 26, 27, 31, 12, 40, 60, 22, 25, 45, 30, 38, 32, 59, 33, 34, 46, 47, 41, 29, 37, 18, 10], [39, 36, 42, 50, 43, 55, 51, 44, 48, 52, 54, 53, 56], [57, 49], [58]]
74: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 8, 6, 9, 10, 24, 27, 12, 14, 30], [17, 15, 18], [19, 31, 22, 23, 16, 25, 20, 28, 26], [29, 38, 34, 41, 40, 47, 45, 36, 43, 39], [32, 46, 33, 42, 56, 37, 50, 44, 51, 48], [49, 52, 55, 60, 53], [54, 59, 58, 57]]
75: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 5, 6, 12, 9, 14, 10, 8, 26, 16, 15, 22, 18, 19, 25, 17, 20, 27, 28, 23, 30, 29, 31, 24, 37, 36], [57, 38, 34], [39, 42, 32, 33, 44, 40], [41, 43, 45, 47, 50, 51, 56, 46, 49, 54, 55, 48, 53, 52, 59, 58, 60]]
76: [[35, 7, 2], [3, 4, 11, 13, 21, 5, 1, 6, 10], [8, 14, 24], [9, 26, 12, 25], [22, 28, 15, 16, 19, 20, 17, 18, 23, 27, 29, 31, 34, 30, 33, 37, 36, 38, 45, 40, 46, 42, 39], [41, 43, 47, 51, 44, 52, 32, 54, 49, 48, 55], [50, 58, 53, 57, 59, 56, 60]]
77: [[35, 7, 2], [3, 4, 11, 13, 17, 5, 1, 6, 9, 8, 14, 26, 31, 25, 20, 10, 18, 27, 12, 15, 29, 16, 19, 24, 21, 22, 28, 30, 46, 49, 57], [32, 39, 23, 45, 40, 33, 36, 42, 44, 43, 34, 37, 51, 41, 55, 38, 47, 48, 52, 53, 56, 50, 54, 58, 59, 60]]
78: [[35, 7, 2], [3, 4, 11, 13, 21, 5, 1], [6, 14, 12], [9, 25, 8], [30, 10, 15], [16, 18, 22, 17, 19, 20, 26, 23, 24, 27, 29, 31, 36, 32, 33, 28], [37, 34, 47, 41, 46, 42, 39, 48, 40, 43, 45, 44, 52], [38, 54], [49, 50, 51, 55, 53, 56, 57, 59, 58, 60]]
79: [[35, 7, 2], [3, 4, 11], [13, 5, 17, 9, 6, 8, 1, 14, 12, 10, 23, 25, 28, 15, 18, 16, 27, 19, 21, 26, 32, 30, 20, 22, 44, 24, 36, 29, 59, 31, 34, 46, 47, 41], [39, 37, 42, 38, 33, 40, 43, 60, 45, 49, 51, 56, 54], [48, 50], [52], [57, 53, 55, 58]]
80: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 8, 6, 9, 12, 26, 29, 14, 16, 15], [10, 20, 27], [19, 23, 17, 18, 22], [28, 24, 30, 25, 45, 58, 31], [40, 33, 38, 36, 34, 42, 47, 39, 37], [41, 43, 44, 46, 57, 48, 49, 32, 50, 52, 51, 53, 54, 55, 56, 59, 60]]
81: [[35, 7, 2], [3, 4, 11], [13, 5, 6, 9, 8, 12, 15, 14, 22, 10, 16, 17, 21], [23, 31, 19], [20, 18, 25, 26, 30, 24, 28, 27, 48], [29, 56, 44, 41, 49, 52, 53, 1, 38, 34, 32, 33, 37, 36, 42, 43, 46, 39, 40], [47, 51, 54, 55, 50, 45, 58, 59, 57, 60]]
82: [[35, 7, 2], [3, 4, 11], [13], [21, 5, 1, 14, 12, 8, 10, 9, 15, 29, 20, 6, 17, 16, 19, 23, 22, 24, 18], [27, 25, 26, 30, 28, 31, 41, 36, 57, 37, 32, 38, 40, 42, 33, 34, 45, 43, 39, 47], [44, 46, 49, 48, 51, 50, 52, 53, 54, 56, 55, 58, 59, 60]]
83: [[35, 7, 2], [3, 4, 11], [13, 21, 5], [1, 14, 12, 9], [10, 24, 28, 29], [6, 8, 18], [16, 22, 23, 15, 17, 20, 26, 27, 19, 30, 25, 31, 33, 49, 34, 40, 46, 44, 32, 36, 39, 38, 37, 45, 42, 43, 41, 47, 51, 59, 56], [52, 55, 53], [57, 54, 48, 58, 50, 60]]
84: [[35, 7, 2], [3, 4, 11], [13, 5, 1, 6], [14, 8, 9, 10, 24, 12, 27, 30, 15, 16, 20, 19, 17, 28, 18, 21, 60, 23, 22, 29, 25, 37, 26], [33, 31, 34, 32, 36, 43, 41, 38, 47, 44, 46, 42, 50, 45, 52, 39, 57, 40, 49, 56, 48, 58, 53, 55, 51, 54, 59]]
85: [[35, 7, 2], [3, 4, 11, 13, 5, 6, 1], [12, 9, 14, 8, 10, 25, 15, 23, 22, 19, 27, 18, 21, 28, 31, 17, 30, 16, 29, 20, 57, 26, 51, 45, 32, 36, 39, 24, 33, 34, 38, 41, 44, 42, 37, 40, 43, 47, 50, 52, 49, 59, 60, 46, 54, 48], [56, 53, 55, 58]]
86: [[35, 7, 2], [3, 4, 11, 13, 1, 5, 8, 12, 17, 30, 9, 14, 18, 23, 27, 29, 15, 19, 16, 20, 22, 25, 26, 24, 28, 57, 32, 33, 36, 48, 10, 21, 6], [46, 44, 40], [31, 34, 39, 37], [42, 38, 45, 41, 43, 47, 49, 55, 53, 50, 51, 52, 54, 58, 59, 56, 60]]
87: [[35, 7, 2], [3, 4, 11], [13, 9, 5], [14, 1, 6, 26, 8, 10], [24, 29, 31, 12, 15, 19, 16, 17, 18, 21, 20, 22, 23, 28, 25, 27, 53, 30, 33, 40, 34, 32], [36, 37, 39, 50, 38, 45, 47, 43, 41, 46, 42, 59, 44, 48, 54, 49, 51, 55, 60, 57, 52, 56, 58]]
88: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 5, 6, 8, 15, 10, 9, 22, 26, 16, 12], [19, 14, 27], [24, 17], [18, 23, 31], [20, 25, 28], [46, 60, 49], [29, 41, 38, 34, 36, 42, 32, 30, 33], [40, 37, 39, 44, 47, 43, 50, 58, 52, 45, 54, 48, 57], [53, 51, 55, 56, 59]]
89: [[35, 7, 2], [3, 4, 11], [13, 21], [5, 1], [6, 8, 10], [9, 15, 12], [31, 14, 18], [22, 17, 16, 27, 23, 24, 19, 20, 25, 26], [29, 28, 53], [39, 33, 32], [56, 30, 34, 40, 41, 47, 45, 38, 43, 46, 37, 48, 42], [36, 44], [54, 51, 52, 50, 49, 55, 60, 59, 57, 58]]
90: [[35, 7, 2], [3, 4, 11], [13, 21, 1], [5, 8, 6], [9, 12, 15, 10, 16, 30, 14], [17, 18, 29, 23, 19, 20, 28, 25, 22, 24, 26], [27, 31, 40, 48, 50, 32, 51, 45, 33, 41, 34, 36, 38], [47, 37, 43, 56, 46, 39, 55, 42, 49], [53, 54, 52, 44, 57, 59, 58, 60]]
91: [[35, 7, 2], [3, 4, 11], [13, 5, 6, 14, 12, 8], [19, 22, 26, 10, 15, 27, 28, 9, 17, 20, 18, 31, 21, 16, 38, 25, 23, 24, 29, 60, 55, 33], [43, 1, 32, 46, 30, 40, 41, 37, 34, 45, 39, 36, 42, 50, 47, 49, 48, 44, 51, 54, 52, 53, 56, 57, 58, 59]]
92: [[35, 7, 2], [3, 4, 11, 13], [21, 5, 1, 6], [8, 14, 10, 9, 15, 30], [17, 12, 18, 23, 19, 16, 22, 20, 26, 49, 25, 27, 28, 24, 29, 31, 34], [47, 32], [39, 45, 46, 33, 37, 36, 38, 40, 41], [44, 43, 50, 42, 52, 48, 54, 53, 55, 51, 58, 57, 56, 59, 60]]
93: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 5, 9, 14, 8, 6, 24, 31, 10, 16], [19, 25, 29], [12, 17, 18, 15, 22, 26, 23, 20, 30], [27, 28, 32, 36, 41, 33, 38, 44, 34, 39], [47, 42, 37, 45, 43, 40, 46, 56, 57, 50], [49, 51, 52, 53, 48, 55, 54, 59, 58, 60]]
94: [[35, 7, 2], [3, 4, 11], [13, 5, 1], [6, 10, 14], [8, 9, 12, 15, 16, 22, 17], [24, 18, 21, 19, 27, 20, 30, 23, 25, 31, 26], [28, 29, 40, 50, 42, 32, 51], [37, 36, 41, 46, 38, 33, 45, 39, 34], [44, 43, 60, 54, 56, 47, 49, 48, 53, 52, 55, 59, 58, 57]]
95: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1], [6, 10, 9, 12], [8, 24, 22], [15, 14, 16, 23, 20], [19, 17, 26, 18, 25, 27, 28], [29, 30, 31], [32, 36, 44, 33], [34, 39, 46], [45, 37, 38, 40, 41, 42, 43, 47, 49, 58, 51, 48, 53, 60, 54, 50, 52, 55, 59, 56, 57]]
96: [[35, 7, 2, 3], [4, 11, 13, 21, 5, 1, 6, 10], [12, 8, 9, 15, 30], [18, 14, 19], [16, 17, 25], [20, 28, 22], [24, 23, 31, 26, 27, 29, 38], [32, 59, 40, 39, 34], [36, 44, 41, 33, 37, 46, 42, 45], [60, 58], [43, 56, 49, 47, 48, 51, 50, 52, 55, 53, 54, 57]]
97: [[35, 7, 2], [3, 4, 11], [13, 5, 1, 10, 12], [6, 21, 8, 15, 9, 16, 14, 22, 17, 23, 18, 19, 24], [20, 28, 25, 30], [26, 27, 29, 31, 40], [54, 50, 34, 55, 45, 32, 41, 42], [36, 33, 43, 39, 37, 38, 46, 58, 47, 44, 48, 49, 52, 51, 53, 57, 59, 56, 60]]
98: [[35, 7, 2, 3], [4, 11, 13, 21, 5, 1, 22, 14, 9, 10, 8, 6, 31, 25, 30, 18, 12, 16, 23, 15, 27, 19, 58, 20, 17, 28], [29, 24, 36], [48, 42, 39, 41, 26, 37, 53, 43, 44, 33, 47, 40, 34, 45, 38, 51, 52, 32, 55, 46, 49, 54, 50, 59, 56, 57, 60]]
99: [[35, 7, 2], [3, 4, 11], [13, 5, 1, 8], [12, 10, 15], [14, 25, 9, 26, 18, 6, 16], [20, 19, 21, 24, 23, 27, 56, 17, 28, 22, 48, 60, 29, 33, 30, 31, 34, 36, 37, 41, 38, 44, 43, 39, 42, 40, 45, 46, 47, 51, 32, 49, 57, 52, 54, 53, 55, 50, 58, 59]]
100: [[35, 7, 2], [3, 4, 11], [13, 21, 5], [1, 14, 12, 8], [10, 6, 25], [28, 18, 9], [15, 16, 20, 23], [22, 17, 24, 26, 27], [19, 31, 30, 29, 57, 53, 42], [32, 46, 44, 33, 37, 36, 34, 38, 39, 40], [43, 41, 47, 51, 45, 56, 60, 54, 48, 49, 55, 52, 58, 50, 59]]
101: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 5, 14, 10, 6, 9, 8, 28, 15, 16, 20], [27, 12, 19], [24, 17], [22, 18, 31], [23, 29, 25], [46, 26, 33], [38, 41, 30, 34, 36, 32, 37, 39, 42, 44], [47, 43, 48, 45, 40, 52, 58, 49, 51], [50, 53, 54, 55, 57, 60, 56, 59]]
102: [[35, 7, 2], [3, 4, 11, 13, 5, 17, 14, 20, 8, 19, 29, 1], [27, 6, 9, 12, 10, 15, 22, 26], [16, 18, 21], [46, 24, 23], [28, 45, 31], [38, 32, 59, 25], [33, 34, 41, 40, 30, 39, 37, 44], [47, 36, 42, 50, 43, 51, 48, 54, 49, 53, 52, 55, 56], [57, 58], [60]]
103: [[35, 7, 2], [3, 4, 11, 13], [21, 1, 5, 14, 12, 8, 10, 6, 15], [27, 16, 9], [18, 17, 23, 25, 24], [20, 22, 30, 19, 26, 31, 28], [29, 33, 36], [56, 48, 38], [34, 46, 32, 37], [41, 42, 43, 40, 44], [47, 50, 51, 45, 49, 53, 54], [55, 52, 60, 39], [59, 58, 57]]
104: [[35, 7, 2], [3, 4, 11], [13, 5, 1, 6], [12, 10, 9, 15, 8, 14, 17, 16, 25], [18, 20, 23, 21, 24, 19, 28], [56, 26, 30, 27, 60, 36, 29, 33, 31, 22, 34, 45, 37, 42, 38, 44, 43, 39, 46, 40, 41, 47, 32, 50, 51, 49, 57, 48, 54, 53, 55, 52, 58, 59]]
105: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 30, 10, 8], [9, 14, 6, 12, 25, 26, 22, 29, 19], [15, 17, 20], [18, 23, 24, 31], [27, 34, 36, 33, 39, 16, 32, 28, 37, 57, 38, 42, 40, 41, 43, 47, 45, 44, 58, 46], [48, 49, 51, 52, 54, 55, 53, 50, 56, 59, 60]]
106: [[35, 7, 2], [3, 4, 11], [13, 5, 21], [19, 1, 12, 14], [8, 30, 24, 6], [16, 9, 18, 17], [10, 20, 25], [23, 26, 22, 27, 29], [28, 31, 33, 37], [32, 40, 39, 36, 41, 46, 50], [15, 38, 45, 44, 43, 42, 47, 52], [34, 51, 49, 48, 53, 54, 55, 56, 57, 58, 59, 60]]
107: [[35, 7, 2, 3, 4, 11, 13, 5, 9], [8], [6, 1, 14, 10, 24, 12, 26, 15, 22, 16, 17, 19, 31, 18, 21, 20, 57, 25, 23, 27, 29, 28, 30, 60, 40, 33, 56, 36, 38, 37, 32, 46, 47], [34, 42, 39], [41, 43, 44, 53, 45, 50, 58], [52, 54, 48, 59, 55, 51, 49]]
108: [[35, 7, 2, 3], [4, 11, 13, 21, 5, 9, 22, 12, 8], [14, 1, 24, 29, 30, 26, 6, 25, 16], [10, 15, 17, 18, 20, 28, 19, 31, 32, 23, 37, 40, 41, 34, 36, 39, 27, 44, 38], [42, 33, 45, 50, 46, 47, 58, 43, 49, 54, 51, 52, 56, 53, 55, 48, 57, 59, 60]]
109: [[35, 7, 2], [3, 4, 11, 13, 5, 21, 14, 9, 1], [6, 8, 10], [24, 12, 31, 20], [15, 16, 23, 17], [18, 25, 19, 22, 27, 28, 26, 30, 29, 54], [33, 40, 45, 36], [38, 39, 32, 50, 46, 41, 37, 43], [42, 44, 47, 34, 49, 48, 51], [53, 52, 55, 60, 56, 57, 59, 58]]
110: [[35, 7, 2, 3, 4, 11, 13], [1, 5, 6, 9, 17, 12, 14, 15], [8, 21, 25, 28, 18, 10, 27, 20, 22, 19, 23, 24], [16, 26, 29, 31, 30, 43, 48, 41, 38, 37, 40, 44, 32, 34, 46, 45, 51, 33, 36, 47, 42, 49, 50, 55, 52, 53, 54, 39, 59, 57, 56, 58, 60]]
111: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 22, 6, 9, 8, 12], [14, 28, 25, 15, 16, 20, 31, 23, 19], [24, 17, 26, 18], [27, 29, 34], [30, 60, 32], [40, 56, 36, 10, 37, 49, 47], [39, 33, 44, 41, 43, 42, 38, 50, 52, 48, 53, 45, 51, 46, 55, 57, 58, 54, 59]]
112: [[35, 7, 2, 3, 4, 11, 13, 21, 5], [9], [6, 8, 1, 22, 18, 12, 31, 10, 16, 19, 14, 15, 17, 23, 24, 29, 27, 26, 20, 25, 28, 44, 33, 49, 32, 48, 54, 38, 56, 45, 37, 43, 39], [30, 40, 34], [46, 42, 36, 41], [51, 53, 47, 50, 52, 55, 60, 57, 58, 59]]
113: [[35, 7, 2], [3, 4, 11], [13, 5, 6], [9, 14, 10, 8], [1, 12], [15, 29, 22, 19, 17, 18, 31, 16, 21, 26, 24, 20], [23, 25, 27, 28, 30, 38, 40, 34, 33, 39, 32, 44, 37, 36, 41, 42, 45, 46, 59], [57, 47, 43, 53, 51, 49, 50, 55, 52, 54, 48, 58, 60, 56]]
114: [[35, 7, 2, 3, 4, 11, 13, 21, 5, 1], [14, 12, 6], [8, 9, 15], [10, 25, 17, 23, 20, 18, 22, 29, 31, 26, 19, 33, 27, 28, 30, 24, 16, 53, 45, 34, 38, 39, 46, 32, 36, 40, 37, 43, 41, 44, 42, 50, 51, 54, 57, 47, 48, 55, 49, 52, 58, 56, 59, 60]]
115: [[35, 7, 2], [3, 4, 11, 13, 21, 1, 5], [6, 14, 8, 10], [9, 12, 15], [29, 16, 19], [17, 18, 23, 22, 20, 25, 24], [27, 26, 31, 30, 28, 33, 32, 57, 34, 36, 38, 40, 43, 37, 42, 47, 39, 41, 45], [44, 46, 51, 49, 48, 52, 53, 56, 54, 58, 55, 50, 59, 60]]
116: [[35, 7, 2, 3, 4, 11, 13, 17, 1, 5, 10, 12, 9, 16, 24, 30], [14, 26, 21, 18, 6, 8, 20, 22, 15, 19, 23, 27, 25, 28, 29, 31], [33], [37, 42, 32, 47, 38, 45, 40, 43, 41, 34, 46, 39, 44, 48, 55, 36, 50, 51, 56, 49, 52, 53, 54, 58, 57, 59, 60]]
117: [[35, 7, 2, 3], [4, 11, 13], [21, 5, 1, 6], [8, 10, 14, 9], [12, 15, 16, 22, 18, 26, 27, 17], [20, 19, 23], [51, 25, 28], [29, 30, 24, 33], [48, 41, 38, 37, 31, 42], [36, 32], [46, 45, 44, 34, 39, 47, 58, 40, 49], [54, 52, 53], [43, 55, 50], [57, 59, 56, 60]]
118: [[35, 7, 2, 3], [4, 11, 13], [21, 5, 1], [14, 6, 10, 8], [16, 12], [9, 19, 29, 27, 26, 15, 17, 18, 22, 23, 58, 20], [24, 28, 37, 30, 53, 25, 32, 31, 39, 40, 36, 33, 47, 41, 45, 46, 34, 55], [38, 42, 50, 52, 43, 57, 44, 48, 54, 49, 59, 51, 60, 56]]
119: [[35, 7, 2], [3, 4, 11], [13, 21, 5], [1, 22, 10], [12, 8, 9, 15, 30], [18, 14, 17], [28], [6, 29, 20], [16, 23, 24, 25, 19, 26, 31, 27], [38, 34, 59, 42, 39, 41], [36, 33, 32, 44, 47, 46, 40, 45, 37, 43, 51, 52, 49, 53, 50, 55, 56, 48, 54, 57, 60, 58]]
120: [[35, 7, 2], [3, 4, 11], [13, 1, 8], [5, 15, 14], [9, 10, 24, 30, 17], [26, 21, 22, 16, 31], [19, 12, 6, 18, 20, 27, 23, 25, 28, 29], [32, 33, 42, 36], [39, 34, 38, 43, 44], [40, 48, 46, 47, 49, 41, 51, 37, 50], [53, 60, 56, 52, 45, 54, 55, 57, 58, 59]]
121: [[35, 7, 2, 3], [4, 11, 13, 17, 6, 1, 12, 5], [9, 10, 14, 30, 15], [31, 16, 19, 8, 27], [20, 22, 23], [21, 26, 18], [28, 25, 24, 29, 34, 48], [40, 38, 37, 32], [41, 36, 45, 47, 39, 44, 43, 33], [42, 46, 52, 49, 51, 54, 53], [50, 55, 57, 58, 59, 60, 56]]
