0: [[59, 7, 35, 2, 1], [3, 4], [13, 5, 21, 6], [14, 11, 27], [8, 9, 12, 31, 26, 19, 15, 22, 24, 16, 17, 20, 23, 25, 28, 52, 29, 34, 33, 46, 45, 38, 47, 36, 41, 30, 39, 42, 37, 32, 40, 56, 44, 43, 48, 51, 50, 53, 54, 58, 18, 10], [55, 49, 57, 60]]
74: [[59, 7, 35, 2, 1, 3, 4, 13], [21, 5, 6, 10, 27, 9, 12, 14, 8, 11], [15, 17, 19, 22, 16, 18, 25, 20, 23, 24, 28, 30, 26, 29, 31, 34, 36, 33, 32, 38, 44, 45, 43, 39, 42, 47, 37, 40, 46, 41, 51, 54, 49, 52, 56, 48, 53, 50, 57, 55, 58, 60]]
75: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5], [15, 10, 27, 9, 8, 6, 12, 28], [11, 24, 14, 16], [17, 18, 19, 22], [20, 30, 23, 26], [29, 25, 31, 36, 34, 37], [32, 39, 38, 42, 40, 43, 45, 33, 44, 47, 46, 53, 41, 50, 49, 51, 52, 55, 56, 57, 48, 58, 54, 60]]
76: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5, 6, 9, 17, 10, 24, 11, 8, 14, 12, 18, 25, 28, 16, 22, 20], [15, 19, 29, 27, 23], [31, 26, 30, 36, 33, 34, 32, 39, 38, 37, 46, 40, 41, 43, 42, 44, 45, 47], [53, 50, 51, 49, 52, 54], [48, 55, 56, 57, 60, 58]]
77: [[59, 7, 35, 2, 1], [3, 4], [13, 5, 20, 14], [12, 27, 9], [8, 11], [6, 15, 24, 17, 23, 22, 26], [16, 18, 19, 21, 25, 28, 60, 29], [54, 30, 46, 45, 31, 38, 32], [33, 10, 39, 34], [36, 37, 40, 44, 41, 43, 42, 50, 47, 53, 51], [58, 49, 52, 48, 57, 55, 56]]
78: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 8, 5, 6, 10, 12, 9, 15, 11, 14, 22, 24, 16, 31, 17, 18, 23, 20, 19, 27, 58, 30, 28], [26, 25, 38, 39, 29, 36, 34, 57, 32, 33], [41, 37, 40, 42, 44, 47, 45, 43, 48, 46, 50, 49, 60, 52, 55, 53, 51, 54, 56]]
79: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 6, 8, 18, 14], [25, 15, 11, 9, 27, 12], [29], [10, 24, 19], [16, 17, 30, 20, 31, 28, 23, 22, 26, 46, 36, 34, 32, 37, 38, 33, 42, 45], [47, 39, 43, 40, 41, 44, 48, 50, 58, 56, 53, 49, 55, 54, 52, 51, 57, 60]]
80: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 15, 8], [6, 27, 9, 5, 10, 14, 11], [12, 17, 30, 18, 25, 16, 28, 22, 19], [31, 20], [26, 23, 29, 44, 38, 24, 36, 43, 32, 34, 33, 41, 37, 47, 40, 39, 42, 45, 46, 60, 51, 49, 50, 48, 55, 53, 52, 54, 57, 56, 58]]
81: [[59, 7, 35, 2, 1, 3, 4], [13, 5], [10, 6, 11, 8, 9], [14, 12, 24, 18, 16, 20, 17], [21, 22, 23, 25, 19, 26, 30, 27, 31, 29, 28, 15, 60, 32, 36, 37, 39, 34, 38, 33, 45, 40, 41, 43, 42, 44, 51, 46], [47, 55, 48, 49, 57, 50, 54, 53, 52, 58, 56]]
82: [[59, 7, 35, 2], [1, 3, 4, 13, 26, 5], [9, 8, 27, 12], [14, 11, 18, 25, 21, 17, 10], [15, 16, 6, 19, 30, 29, 20, 22, 28, 23, 24, 31, 37, 40, 36, 34, 47, 32, 38], [39, 43, 33, 46, 44, 45, 42, 41, 49, 53, 52, 50, 51, 55, 54, 48, 57, 58, 56, 60]]
83: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 6, 14, 9], [26, 5, 8, 15, 11, 12, 10, 16], [19, 17, 30, 24, 18], [27, 22, 20, 23, 28], [25, 29, 31, 36, 32], [33, 39], [37, 38, 34, 45, 44, 48, 46], [41, 43, 40, 47, 42, 49, 51, 50], [53, 54, 56, 52, 55, 57, 58, 60]]
84: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 14, 6, 5, 26, 11, 9, 8, 10, 15, 31, 19, 12, 16, 25], [18, 17, 20, 24, 22], [23, 27, 29, 30, 28, 38, 36, 32, 37, 33, 48, 39, 42, 43, 47, 34, 41, 40, 44, 45, 46, 49, 58, 50, 51, 55, 53, 54, 56, 52, 57, 60]]
85: [[59, 7, 35, 2, 1], [3, 4, 13, 21], [5, 14, 6, 27, 9, 8], [10, 11], [15, 12, 24, 17, 18, 22, 20, 25, 19, 16, 23, 26, 29, 28, 30, 31, 38, 60], [32, 39, 33, 36, 34, 42, 37, 40, 43, 45, 46, 41, 44, 47, 56, 50, 49, 54, 55, 53, 48, 51, 52, 57, 58]]
86: [[59, 7, 35, 2, 1], [3, 4, 13, 21], [23, 5, 6, 16], [10, 15, 8, 27, 31, 22, 9, 11, 19, 12], [17, 25, 24, 18, 26, 20, 29, 28, 30, 14, 37, 36, 42, 38, 50, 53, 32, 45, 33, 39, 43, 34, 40, 58, 47, 41, 49, 55, 48, 44, 46, 52, 51, 57, 54, 56, 60]]
87: [[59, 7, 35, 2, 1], [3, 4, 13, 23], [6, 5, 8, 24, 26, 9, 11, 17, 30], [12, 10, 31, 16, 14, 22, 15, 18, 20, 21, 27, 28, 19, 25, 29, 39, 37, 52, 40, 32, 33, 34, 38, 41, 43, 42, 36, 45, 44, 46, 47, 50, 48, 49, 53, 51, 54, 58, 60, 55, 56, 57]]
88: [[59, 7, 35, 2, 1, 3, 4], [13, 21], [5, 6, 14, 26, 8, 9, 10], [11, 29, 12, 27, 18, 19, 15, 16, 17], [22, 20, 30], [23, 25, 24, 28, 31, 32, 36, 40, 34, 46, 39, 33, 37, 45], [41, 38, 43, 42, 44], [47, 48, 49, 54, 51, 50, 55, 52, 53, 56, 60, 58], [57]]
89: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 12, 10, 24, 6], [18, 30, 9, 14, 17, 11, 8, 15, 20], [22, 25, 16, 19], [23, 27, 31, 26, 28, 29], [46], [37, 34, 43], [49, 36, 53, 39, 41, 32, 33], [38, 40, 42, 44, 45, 48, 55, 47, 52, 50, 51, 54, 56, 57, 58, 60]]
90: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5, 6, 15], [25, 14, 8, 11, 10], [12, 24, 9, 18, 22, 20, 30], [17, 19, 16, 27, 23], [26], [31], [29, 28, 38, 33, 32, 37, 34, 41, 36, 39, 40, 42, 49, 45, 46, 43, 44, 51, 48, 54, 47, 50, 55, 52, 53, 56, 58, 60], [57]]
91: [[59, 7, 35, 2, 1, 3, 4, 13, 5, 12, 21, 6], [11, 8, 9], [15, 31, 14, 16, 29, 18, 20, 22, 23, 17, 19, 27, 10], [24, 25, 30, 26, 28, 46, 32, 43, 34, 33, 52, 38, 36, 37, 42, 40, 39, 44, 41, 45, 47, 48, 53, 49, 54, 55, 56, 60, 50, 51, 58, 57]]
92: [[59, 7, 35, 2], [1, 3, 4, 13, 20, 21, 5], [14, 10, 30, 9, 17, 15, 27], [6, 8, 19, 16], [11, 26, 23, 12, 18], [22, 25, 31, 28, 24, 29, 46, 33, 32, 45, 47, 48, 36, 44, 37, 39, 40, 38, 41, 43, 42, 60, 51, 50, 34, 49, 53, 52, 54, 55, 57, 56, 58]]
93: [[59, 7, 35, 2, 1], [3, 4], [13, 5, 8, 6], [10, 12], [26, 9, 14, 11, 15, 27, 19, 18, 16, 21, 22, 17, 20, 23, 24, 30, 25, 31], [28, 29, 38, 44, 34], [39, 33, 56, 36, 32, 43, 37, 45, 42], [60, 40, 41, 46, 52, 58, 53, 50, 47, 51, 54, 48, 55, 49, 57]]
94: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 12, 8, 10, 9], [20, 26, 11, 15, 23, 16, 14, 19, 18], [25, 6, 17, 24, 22, 29, 27, 31, 28, 30, 34, 36, 38, 42], [51, 37, 40, 32, 33, 39, 41, 52, 44], [43], [47, 60, 48, 45, 46, 50, 49, 54], [53, 57, 55, 58, 56]]
95: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 31, 5, 6, 9, 10], [18, 15, 11, 14], [12, 16, 8, 22, 17, 19, 20, 25, 26, 23, 30, 24, 27, 48], [47, 55, 29, 36], [42, 41, 28, 33, 32], [34, 39, 38, 37, 43, 40, 44, 58], [45, 46, 51, 53], [57, 50, 56], [54, 49, 60, 52]]
96: [[59, 7, 35, 1, 2], [3, 4, 13, 21], [8, 9], [5, 27, 12, 14], [11, 31, 15, 17, 6, 10], [25, 16, 20, 23, 22, 26, 18], [19, 24, 29, 30], [28, 38, 41, 34], [32, 37, 50, 44, 36, 33, 56], [43, 39, 47, 40, 42, 60, 52, 45, 46, 49], [51, 55, 48, 58, 53, 57, 54]]
97: [[59, 7, 35, 2], [1, 3, 4], [13, 21, 5], [11, 12, 9, 14, 8, 15, 10, 16, 17, 26, 25], [24, 22, 23, 6, 20], [19, 18, 27], [28, 31, 29], [30, 38, 33, 32, 36, 49, 47, 39, 34, 37, 40, 41, 42, 45, 57, 43, 55], [58, 44, 46, 50], [48, 51, 54, 52, 53], [56, 60]]
98: [[59, 7, 35, 2], [1, 3, 4, 13, 21], [12, 5, 6, 27], [14, 9, 8, 31, 10, 15, 18, 11, 19, 16], [17], [22, 29, 20, 23, 25, 58], [28, 30], [24, 46, 26, 32, 33], [36, 34, 38], [37, 40, 41, 45, 44, 43, 39, 42, 48, 47, 50, 51, 49, 53, 52, 54, 55, 56, 57, 60]]
99: [[59, 7, 35, 2, 1, 3, 4, 13, 21, 5, 12, 22, 11, 6], [8, 10, 14, 15, 17, 9, 18, 16, 19], [20, 24, 27, 23, 28, 25, 29], [30, 31, 38, 26, 39, 33, 32, 34, 41, 47, 36, 43, 37, 40, 45, 44, 52, 46, 42, 57, 51, 49], [53, 50, 54, 55, 56, 48, 58, 60]]
100: [[59, 7, 35, 2, 1, 3, 4, 13, 5, 29, 6, 14, 10, 9, 8, 12, 11, 28, 26, 24, 16, 19, 31, 23, 20, 22, 30, 27, 21, 15, 17, 18, 25, 48, 46, 41], [36, 44, 50, 52, 32, 42, 37], [34, 39, 38, 45, 40, 43, 33, 58, 55, 51, 47, 53, 54, 49, 56, 60, 57]]
101: [[59, 7, 35, 2, 1], [3, 4, 13, 5], [12, 6, 11, 30, 29], [10, 14, 27, 8, 9, 24, 22, 16], [18, 15, 21, 17, 19, 20], [23], [25, 26, 28], [34, 46, 44, 32, 31, 38, 36, 37, 33, 41, 45, 47, 39, 42, 48, 43, 53, 40], [54, 52, 56, 49, 51, 50, 55, 57, 58, 60]]
102: [[59, 7, 35, 2, 1], [3, 4, 13, 5, 14, 6, 9], [10, 8, 11, 12, 22, 15, 23, 19], [17, 21, 16, 24, 18], [27, 28, 31, 20], [26, 25], [29, 44], [38, 33, 37, 30, 32, 43, 34, 36, 42, 55], [46, 40, 41, 47], [45, 39, 49, 60, 52, 51, 54, 57, 50, 48, 58, 53, 56]]
103: [[59, 7, 35, 2], [1, 3, 4, 13, 20, 15], [6, 14, 24, 12], [11, 5, 9, 8], [10, 29, 16], [18, 27, 19, 17, 23, 21], [25, 22], [28, 26, 31], [30, 46, 33], [37, 58, 38], [36, 32, 39, 44, 47], [34, 41, 45, 40, 42], [60, 51, 54, 43, 53, 48, 56, 50, 49, 52, 55, 57]]
104: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 5, 6, 10, 25, 31, 9, 26, 8, 15, 24, 19, 11], [12, 17, 22, 30, 18], [20, 14], [29, 16, 23, 28], [60, 27, 44, 33, 42], [36, 37, 54, 47], [40, 34], [32, 39, 38, 43, 41, 45, 48], [46, 50, 53, 51, 52, 49, 56], [55, 58, 57]]
105: [[59, 7, 35, 2], [1, 3, 4, 13, 21, 5], [11], [9, 26, 10], [25, 15, 12, 27, 14, 8, 31, 16, 24, 19, 17, 29, 18, 20, 22, 23, 28, 30], [6, 38, 33, 32, 45], [36, 42], [37, 34, 41, 47], [39, 43, 44, 40, 46, 51, 49, 48, 52, 55, 50, 56], [54, 57, 53, 58, 60]]
106: [[59, 7, 35, 2, 1, 3, 4, 13, 21, 5, 6, 14, 10, 11, 8, 9, 12, 15, 22, 19, 26], [18, 25, 23, 24, 16, 20, 27, 17, 29, 28, 30, 55, 46, 36, 31, 42, 32, 37], [34, 43, 33, 40, 38, 45, 39, 41, 44, 47, 50, 54, 51, 48, 52, 53, 57, 58, 49, 56, 60]]
107: [[59, 7, 35, 2], [1, 3], [4, 13, 21, 5], [14, 8, 26, 10, 6, 27], [12, 9], [11, 29, 17, 28], [18, 15, 22], [24, 16, 19, 20, 23], [25, 30, 56, 44, 37, 31], [33, 43, 36, 40, 32], [38, 34, 39], [41, 45, 47, 46], [42, 48, 50, 49, 55, 53, 52], [54, 57, 51, 58, 60]]
108: [[59, 7, 35, 2, 1, 3, 4], [13, 5], [6, 14, 8, 26, 9, 10, 11], [15, 28, 12, 24, 17, 16, 20, 22, 19, 23], [18, 21, 27, 25, 29, 30, 31, 34, 39, 32], [38, 37, 50, 44, 33, 40, 56], [36, 47, 41, 42, 46, 45, 52, 43, 55, 49, 51, 48, 58, 53, 57, 54, 60]]
109: [[59, 7, 35, 2, 1, 3, 4, 13, 21, 5, 6, 10, 27, 9, 14, 12, 8, 15, 11], [31, 16, 20, 23, 18, 25, 26], [17, 28, 24, 19, 22, 30, 60, 29, 37, 55, 32, 39], [33, 40, 45, 34, 38, 36, 41, 47, 42, 43, 46, 48, 49, 52, 44, 51, 50, 53, 54, 56, 58, 57]]
110: [[59, 7, 35, 2], [1, 3, 4, 13, 5, 21, 14, 15, 18], [10, 8, 6, 9], [12, 11, 25, 17, 19, 22, 23], [16, 24], [30, 20, 26, 56, 29], [27, 28, 31, 36, 55, 34, 37], [48, 33, 32, 45, 38, 39, 40, 42, 41, 46, 60, 49, 43, 44, 47], [51, 58, 50, 52, 53, 57, 54]]
111: [[59, 7, 35, 2], [1, 3, 4, 13, 21, 5, 10], [6, 18, 14, 29], [8, 15, 27, 9, 12, 17, 19, 25, 16], [20, 22, 23, 26, 30, 24, 28, 31, 11], [39, 32, 36, 34, 57, 37, 40, 41, 42, 46, 33, 43, 47, 44, 45], [50, 49, 38, 48, 51, 55, 53, 52, 54, 58, 56, 60]]
112: [[59, 7, 35, 2, 1, 3, 4], [13, 5], [8, 6, 14, 10, 9, 11, 15], [12, 31, 22, 17, 18, 24, 16, 20, 19, 29], [26, 23, 27, 25, 21, 28, 30, 38, 33, 36], [34, 39, 37, 32, 41, 43, 42, 44, 47, 40, 45], [52, 60, 46, 48, 55, 49, 50], [53, 51, 54, 56, 58, 57]]
113: [[59, 7, 35], [2, 1, 3, 4, 13, 21, 8], [5, 6, 24, 9, 11, 15, 14, 22, 28, 27, 19, 12, 18, 16, 17, 20, 26, 23, 25, 29, 31, 30, 41, 39, 45, 52, 34, 40, 36, 38, 10, 33, 32, 46, 44, 57, 37, 42, 56, 55, 43, 49, 54, 47, 48, 53, 50, 51, 58, 60]]
114: [[59, 7, 35, 2, 1, 3, 4, 13], [23, 6, 5, 8, 10, 11], [9, 14, 15, 31], [12, 16, 24, 19, 20, 21, 17, 26, 18, 25, 28, 22, 60, 29, 27, 47, 36, 37, 30, 32, 58, 34, 33, 41, 44, 39, 42, 40, 43], [38, 45, 46, 49], [48, 50, 53, 51], [52, 54, 55, 56, 57]]
115: [[59, 7, 35, 2, 1], [3, 4, 13], [5, 27, 6, 8, 10, 9, 12, 14, 11, 31, 15, 16], [22, 18, 21, 19, 17, 20, 23], [28, 25, 51, 26, 30, 29, 45], [44, 38, 36, 34, 24], [33, 32, 37, 40, 42, 41, 47, 43, 53, 39, 49, 46, 52, 55], [50, 60, 58], [54, 56, 57, 48]]
116: [[59, 7, 35, 2, 1, 3, 4, 13, 5, 12, 9, 28, 21, 6], [8, 11, 14], [15, 22, 18, 10], [16, 17, 20, 23, 19, 24], [29, 25, 26, 27, 30, 31, 46], [40, 32, 39], [34, 33, 37, 38, 41, 45, 42, 36, 44, 43, 47, 52, 48, 50, 53, 51, 49, 54, 55, 56, 60, 58, 57]]
117: [[59, 7, 35, 2, 1, 3, 4, 13, 21], [5], [6, 10], [25, 15, 8, 9, 14], [11, 16, 26, 22, 19, 18, 23, 12, 20, 17, 24, 27, 28, 30, 29], [31, 38, 37, 32], [33, 54, 39, 34, 36, 46, 41, 40, 42, 45, 58, 44, 56, 50, 43, 52, 55, 53, 51, 48, 49, 47], [57, 60]]
118: [[59, 7, 35, 2, 1, 3, 4, 13], [23, 5, 6, 8, 11, 27], [9, 10, 15, 12], [14, 16, 19, 20, 24, 25, 21, 17, 18, 30, 22, 31, 60, 26, 28, 46, 37, 36, 29, 44, 50, 34], [32, 33, 45, 39, 38, 41, 40, 42], [52, 43, 49, 47, 51, 53, 48], [55, 54, 56, 58, 57]]
119: [[59, 7, 35, 2, 1, 3, 4, 13, 5, 8, 6, 14, 27, 25, 9, 15], [12, 31, 10, 16, 11], [18, 17, 20, 19, 23, 21, 24, 22, 26, 30, 28, 29], [40, 36, 38, 37, 33, 34, 32, 47, 41, 42, 39, 44, 45, 43, 46, 60, 49, 48, 52, 53, 50, 54, 56, 55, 58, 57, 51]]
120: [[59, 7, 35, 2, 1, 3, 4, 13, 21, 6, 10, 15, 24, 9, 12, 5, 14, 30, 8, 11, 17, 19, 16, 18, 23, 22, 25, 20, 27], [26, 28, 29, 36, 44, 42], [38, 32, 34, 31, 41, 33, 40, 43, 37, 45, 47, 48, 51, 46, 39, 57, 55, 49, 56, 50, 54, 53, 52, 58, 60]]
121: [[59, 7, 35, 2, 1, 3, 4, 13], [6, 5, 9, 26], [27, 14, 31, 8, 24, 29, 17, 10, 11], [20, 18, 15], [28, 16, 19, 25, 22, 23], [21, 37], [30, 36, 12, 32, 34, 41, 33, 47, 38, 42, 39, 40, 51, 43, 46, 44, 45, 49], [48, 53, 54, 50, 52, 55, 56, 58, 57, 60]]
