0: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9, 58, 12, 29], [13, 6, 21], [15, 16, 10, 18], [22, 28, 40], [32, 17], [36, 37, 43], [38, 44], [53, 47, 50], [41, 51, 56], [48, 55], [57, 49]]
74: [[59, 14], [54, 33], [23, 25, 5], [11, 1], [27, 35], [2, 46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45], [9, 58, 12, 29, 13, 6, 21, 15, 16, 10, 18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53], [47, 50, 41, 51, 56, 48, 55, 57, 49]]
75: [[59, 14, 54], [33, 23], [25, 5], [11], [1, 27, 35], [2, 46], [52, 19, 20], [26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 13], [21, 6, 29], [15, 16, 10], [18, 22, 28], [40, 32], [17, 36, 37], [43, 38, 44], [53, 47, 50], [41, 51], [56, 48, 55], [57, 49]]
76: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52], [19, 20], [26, 3, 30, 31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 58, 13, 12, 29, 15, 16, 6, 10, 21, 22, 28, 40, 32, 18, 17, 36, 37, 43, 38, 44], [53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
77: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9, 58, 12, 29, 13, 6, 21, 15, 10, 22, 18, 16, 28, 40, 32, 17, 43, 38, 44, 53, 47, 50, 36, 37, 41, 51, 56, 48, 55, 57, 49]]
78: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2, 46], [52, 19, 20, 26], [3, 30, 31], [4, 7, 24], [40, 39, 8], [34, 60, 45], [9, 58, 12], [29, 13, 21], [6, 10], [15, 18, 16], [22, 28, 42, 17, 36, 37, 43, 38, 32, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
79: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4], [7, 24, 42], [8, 39], [34, 60, 45, 9, 40, 12, 29, 13, 6, 21, 15, 16, 10, 18, 22, 28, 58, 32, 17, 36, 37, 38, 43, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
80: [[59, 14, 54], [33, 23], [25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [42, 8], [39, 34, 60], [45, 9, 58], [12, 29, 13], [6, 21, 15], [16, 10, 18], [22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
81: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24], [42, 8], [39, 34, 60], [45, 9, 40], [12, 29, 13], [6, 21], [15, 16, 10], [18, 22, 28], [58, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50, 41, 51, 56, 48, 55, 57, 49]]
82: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [40, 12], [29, 13, 6], [21, 15, 16], [10, 18], [22, 28, 56], [32, 17, 37], [43, 38], [36, 44, 53], [47, 50, 41], [51, 58, 48], [55, 57, 49]]
83: [[59, 14], [54, 33, 23, 25], [5, 11, 1], [27, 35], [2, 46, 52], [19, 20], [26, 3, 30], [31, 4, 7], [24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 29], [13, 21, 15], [6, 10], [16, 18], [22, 28, 40, 32, 17, 36, 37, 43], [38, 44, 53], [47, 50, 41, 51, 56, 48, 55, 57, 49]]
84: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2, 46, 52, 19, 20, 26], [3, 30, 31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9], [58, 12, 29, 13, 21, 15, 6, 10, 16], [18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
85: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45], [9, 58, 12], [29, 13, 6], [21, 15, 16], [10, 18, 22], [28, 40, 32], [17, 36], [37, 43, 38], [44, 53, 47], [50, 41, 51], [56, 48], [55, 57, 49]]
86: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 46, 2], [52, 19, 20], [26], [3, 30, 31], [4, 7], [24, 42, 8], [39, 34, 60], [45, 9], [58, 12, 29], [13, 21], [15, 6, 10], [22, 16], [28, 40, 17], [32, 18], [36, 37], [43, 38, 44], [53, 47], [50, 41], [51, 56, 48], [55, 57], [49]]
87: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30, 31], [4, 7], [24, 42, 8], [39, 34], [60, 45, 9], [58, 12, 29], [13, 6], [21, 15], [16, 10, 18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
88: [[59], [14, 54, 33], [23, 25, 5], [11, 1, 27], [35, 2], [46, 52, 19, 20, 26, 3, 30, 31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 58, 12, 29, 13, 6, 21, 15, 16, 10, 18, 22, 28, 40, 32, 17, 36, 37, 43], [38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
89: [[59, 14], [54, 33, 23], [25, 5, 11, 1, 27, 35, 2, 46, 52, 19, 20, 26], [3, 30], [31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 58, 12, 29, 13, 6, 21, 15, 16, 10, 22, 28, 32, 17, 36, 37, 18, 40, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
90: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20, 26, 3], [30, 31], [4, 7, 24], [42, 8, 39], [34, 60], [45, 9], [58, 12, 29], [13, 21, 6], [10, 15, 22], [18, 16, 28], [56, 32, 17, 36, 37, 43, 38, 44, 53], [47, 50, 41, 51, 40, 48, 55, 57, 49]]
91: [[59, 14], [54, 33, 23], [25, 5], [11, 1, 27], [35, 2], [46, 52, 19], [20, 26], [3, 30], [31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 58, 12, 29, 13, 21, 6, 15, 16, 10, 18, 22, 28, 40, 32, 17, 36, 38, 44, 53, 47, 50, 43, 37, 41, 51, 56, 48, 55, 57, 49]]
92: [[59, 14], [54, 33], [23, 25], [5, 11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45, 9], [40, 12, 29], [13, 6], [21, 15, 16], [10, 18, 22], [28, 58, 32], [17, 36, 37], [43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
93: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46], [52, 19, 20], [26], [3, 30, 31], [4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 40, 12, 13, 6, 10, 21, 15, 16, 22, 28, 58, 18, 32, 17, 36, 37, 43, 38, 29, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
94: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 46, 2], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45, 9], [58, 12], [29, 13, 6], [21, 15], [16, 10, 18], [22, 28, 56], [32, 17], [36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 40, 48, 55, 57, 49]]
95: [[59], [14, 54], [33, 23], [25, 5], [11, 1, 27], [35, 2], [46, 52], [19, 20, 26, 3, 30, 31, 4, 7, 24, 42, 8, 39, 34, 60], [45, 9, 58, 12, 29, 13, 21, 6, 10, 15, 22, 28, 16, 18, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
96: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 2, 46], [52, 19, 20], [26, 3], [30, 31, 4], [7, 24, 42], [8, 39], [34, 60], [45, 9], [58, 12], [29, 13, 6], [21, 15], [17, 22], [28, 40, 18], [10, 32, 16], [43, 38], [44, 53, 47], [50, 36, 37], [41, 51], [56, 48, 55], [57, 49]]
97: [[59, 14], [54, 33, 23], [25, 5, 11], [1, 27, 35], [2, 46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45], [9, 58], [12, 13], [21, 29, 15], [22, 6], [10, 28], [32, 16, 18], [40, 17, 36], [37, 43], [38, 44, 53], [47, 50], [41, 51], [56, 48], [55, 57, 49]]
98: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35], [2, 46], [52, 19, 20], [26, 3, 30], [31, 4, 7], [24, 42, 8], [39, 34, 60], [45, 9], [40, 12, 29, 13, 6, 21, 15, 16, 10, 18, 22, 28, 56, 32, 17, 37, 43, 38, 36, 44, 53, 47, 50, 41, 51, 58, 48, 55, 57, 49]]
99: [[59, 14], [54, 33], [23, 25], [5, 11, 1, 27], [35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24], [42, 8], [39, 34], [60, 45], [9], [58, 12, 29], [13, 21, 6], [10, 15, 16], [18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47], [50, 41, 51, 56, 48, 55, 57], [49]]
100: [[59, 14], [54, 33, 23], [25, 5], [11], [1, 27], [35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9, 58, 12, 29, 13, 21, 6, 10, 15, 22, 28], [40, 18, 16, 32, 17, 36, 37], [43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
101: [[59, 14], [54, 33], [23, 25, 5], [11, 1], [27, 35, 2], [46, 52, 19], [20, 26], [3, 30, 31], [4, 7, 24], [42, 8, 39], [34, 60, 45], [9, 58], [12, 29, 13], [6, 21, 15, 16, 10, 18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
102: [[59, 14], [54], [33, 23, 25, 5], [11, 1], [27, 35, 2], [46, 52, 19], [20, 26, 6], [31, 4, 7], [24, 42], [8, 39], [34, 60, 45], [9, 58, 13, 21], [29, 15, 22, 3], [10, 28, 40, 30], [12, 16], [32, 17, 18], [36, 37, 43], [38, 44, 53, 47, 50, 41, 51], [56, 48, 55, 57, 49]]
103: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 40, 8], [39, 34], [6, 60, 45], [9, 42, 13], [12, 15, 16], [22, 10, 18], [21, 28], [58, 32, 17], [36, 37, 43], [29, 38], [44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
104: [[59, 14], [54], [33, 23], [25, 5, 11], [1, 27], [35, 2], [46, 52, 19], [20, 26, 6], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45, 9], [58, 13, 21], [29, 15], [22, 3], [10, 28, 40], [30, 12, 16], [32, 17], [18, 36], [37, 43, 38], [44, 53, 47], [50, 41], [51, 56], [48, 55], [57, 49]]
105: [[59, 14, 54], [33, 23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26], [3, 30, 31, 4, 7, 24, 40, 39, 8, 34, 60, 45, 9, 58, 12, 29, 13, 21, 6, 10, 15, 18, 16, 22, 28, 42, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
106: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35], [2, 46, 52], [19, 20], [26, 3, 30, 31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 58, 12, 29, 13, 21, 6, 10, 15, 16, 18, 22, 28], [40, 32, 17], [36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
107: [[59, 14], [54, 33, 23], [25, 5], [11, 1, 27], [35, 2, 46], [52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45], [9, 58], [12, 29, 13], [21, 15], [6, 10, 16], [18, 22, 28], [40, 32, 17], [36, 37, 43], [38, 44, 53], [47, 50], [41, 51, 56, 48, 55, 57, 49]]
108: [[59, 14], [54, 33], [23, 25, 5, 11], [1, 27, 35], [2, 46, 52], [19, 20, 26], [3, 30], [31, 4, 7], [24, 42, 8], [39, 34], [60, 45], [9, 40, 12], [29, 13, 6], [21, 10], [16, 18, 22, 28, 32, 17, 36, 37, 15, 58, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
109: [[59, 14], [54, 33], [23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [58, 13, 12], [15, 16, 6, 10, 21, 22, 28, 40, 18, 32, 17, 36, 37, 43, 38, 29, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
110: [[59, 14, 54], [33, 23, 25], [5, 11, 1], [27, 35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24], [42, 8, 39], [34, 60, 45], [9, 58, 12], [29, 13], [6, 21], [15, 16, 10], [18, 22, 28], [40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
111: [[59, 14], [54, 33], [23, 25], [5, 11, 1, 27, 35, 2], [46, 52, 19, 20, 26, 3, 30, 31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 58, 12, 29, 13, 21, 6, 10, 15, 16, 18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
112: [[59, 14], [54, 33], [23, 25, 5], [11, 1], [27, 35, 2], [46, 52, 19], [20, 26], [3, 30, 31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 58, 12, 29, 13, 6, 21, 15, 16, 10, 18, 22, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
113: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 46, 2], [52, 19], [20, 26, 3], [30, 31, 4], [7, 24], [42, 8], [39, 34, 60, 45, 9, 58, 12, 29, 13, 21, 15, 6, 10, 22, 18, 16, 28, 40, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
114: [[59, 14], [54, 33, 23], [25, 5], [11], [1, 27], [35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 29], [13, 21, 6, 10, 15, 22, 28, 40, 18, 16, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
115: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27], [35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24, 42], [8, 39, 34], [60, 45, 9], [58, 12, 29], [13, 21, 15], [6, 10, 16, 18, 22, 28, 40, 32, 17], [36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
116: [[59, 14], [54, 33, 23], [25, 5], [11, 1], [27, 35], [2, 46, 52], [19, 20, 26, 3, 30, 31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 58, 12, 29, 13, 21, 6, 10, 15, 16, 18, 22, 28, 40, 32, 17, 36, 37, 43, 38], [44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
117: [[59, 14], [54, 33], [23, 25], [5, 11], [1, 27, 35], [2, 46, 52], [19, 20, 26], [3, 30, 31], [4, 7, 24], [40, 39, 8], [34, 60, 45], [9, 42, 12], [29, 13, 6], [21, 15, 16], [10, 18], [22, 28, 58, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
118: [[59, 14], [54, 33, 23], [25, 5], [11], [1, 27], [35, 2], [46, 52, 19], [20, 26, 3], [30, 31, 4], [7, 24], [42, 8, 39], [34, 60, 45], [9, 58], [12, 29, 13], [21, 6], [10, 15, 22], [28, 40], [18, 16, 32], [17, 36, 37], [43, 38], [44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
119: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35, 46, 2, 52, 19, 20, 26, 3, 30, 31, 4, 7, 24, 42, 8, 39, 34, 60, 45, 9, 40, 12, 29, 13, 6, 21, 15, 16, 10, 18, 22, 28, 58, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
120: [[59, 14], [54, 33, 23], [25, 5], [11, 1], [27, 35], [2, 46, 52], [19, 20], [26, 3], [30, 31, 4], [7, 24, 42], [8, 39], [34, 60, 45], [9, 58], [12, 13, 21, 29, 15, 16, 6, 10, 22, 28, 40, 18, 17, 36, 37, 43, 32, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
121: [[59, 14], [54, 33], [23, 25, 5], [11, 1, 27], [35], [2, 46, 52], [19, 20, 26, 3, 30, 31, 4, 7, 24, 40, 8, 39, 34, 60, 45, 9, 58, 12, 29, 13, 6, 21, 15, 16, 10, 18, 22, 28, 42, 32, 17, 36, 37, 43, 38, 44, 53, 47, 50, 41, 51, 56, 48, 55, 57, 49]]
