0: [[35, 13, 19, 11, 1, 5, 2], [8, 7, 9, 12, 24, 4], [14, 40, 22, 23, 28], [3, 20, 30], [15, 16, 31, 17, 25, 26, 27, 50, 42, 18, 10, 21, 6], [32, 38, 52, 34, 29, 37], [33, 36, 39, 41, 56, 44], [47, 55, 54, 43], [48, 45, 51, 53, 46], [60, 49, 57, 58, 59]]
74: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 5, 15, 8, 9, 12, 19, 10, 29, 24, 18, 25, 31], [22, 20, 26, 16, 28, 23, 30, 33, 40, 36, 32, 39, 42, 44, 34, 38, 41, 37, 43, 45], [46, 47, 51, 52, 49, 48, 50, 55, 54, 59, 57, 53, 58, 56, 60]]
75: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 12, 15, 9, 10, 5, 6, 18, 19, 8, 29, 16, 20, 23], [22, 26, 30, 24, 25, 28, 31, 33, 40, 36, 32, 38, 42, 34, 45, 39, 41, 37, 43, 44], [46, 47, 51, 52, 49, 48, 50, 54, 55, 53, 57, 56, 58, 59, 60]]
76: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 9, 28, 26, 10, 12, 8, 19, 15, 16, 22], [20, 23, 25, 18, 30, 29, 31, 33, 40, 36, 32, 39, 34, 38, 37, 43, 44, 42, 41, 46], [47, 45, 51, 52, 49, 48, 50, 53, 55, 54, 57, 58, 56, 59, 60]]
77: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 20, 9, 6, 8, 5, 30, 29, 12, 10, 16, 18, 26, 21, 15], [22, 19, 23, 25, 24, 28, 31, 33, 40, 36, 32, 38, 42, 39, 37, 43, 45, 34, 41, 47], [46, 44, 51, 52, 49, 48, 50, 53, 54, 55, 56, 59, 58, 57, 60]]
78: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 15, 12, 8, 10, 6, 18, 26, 28, 9, 31, 20, 23], [19, 22, 29, 16, 24, 25, 30, 33, 40, 36, 32, 38, 42, 39, 34, 37, 41, 47, 43, 45], [46, 44, 51, 52, 49, 48, 50, 53, 55, 54, 56, 59, 58, 57, 60]]
79: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 5, 6, 12, 24, 10, 25, 8, 28, 9, 15, 18, 16, 20, 21], [22, 19, 23, 26, 31, 29, 30, 33, 40, 36, 32, 38, 34, 37, 39, 42, 43, 45, 41, 47], [46, 44, 51, 52, 49, 48, 54, 50, 55, 53, 57, 58, 59, 56, 60]]
80: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 5, 24, 9, 8, 10, 12, 20, 15, 26, 31, 18, 19], [16, 22, 30, 29, 23, 25, 28, 33, 40, 36, 32, 38, 34, 46, 39, 37, 41, 42, 45, 47], [43, 44, 51, 52, 49, 48, 50, 53, 55, 54, 57, 56, 59, 58, 60]]
81: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 8, 12, 5, 18, 15, 16, 9, 19, 26, 23, 20, 10, 21, 6], [22, 24, 28, 30, 25, 29, 31, 33, 40, 36, 32, 38, 42, 34, 37, 45, 43, 47, 41, 39], [44, 46, 51, 52, 49, 48, 50, 55, 53, 58, 56, 54, 59, 57, 60]]
82: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 12, 8, 26, 9, 10, 31, 18, 22, 15, 23], [20, 28, 25, 19, 30, 29, 16, 33, 40, 36, 32, 39, 34, 47, 41, 42, 37, 43, 46, 44], [38, 45, 51, 52, 49, 48, 58, 53, 54, 50, 57, 55, 59, 56, 60]]
83: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 22, 6, 8, 9, 24, 15, 16, 25, 26, 12, 30, 5, 10, 21, 19], [20, 18, 23, 29, 28, 31, 33, 40, 36, 32, 39, 34, 45, 37, 38, 41, 43, 44, 42], [47, 46, 51, 52, 49, 48, 50, 54, 55, 53, 57, 56, 58, 59, 60]]
84: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 8, 9, 24, 10, 31, 20, 28, 16, 12, 19], [22, 18, 15, 23, 26, 30, 29, 33, 40, 36, 32, 39, 34, 43, 38, 37, 46, 42, 41, 44], [45, 47, 51, 52, 49, 48, 50, 53, 55, 60, 56, 58, 59, 54, 57]]
85: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 10, 12, 15, 18, 25, 16, 31, 20, 19], [23, 22, 30, 24, 26, 28, 29, 33, 40, 36, 32, 38, 42, 34, 45, 47, 37, 39, 41, 43], [44, 46, 51, 52, 49, 48, 50, 53, 55, 54, 57, 56, 59, 58, 60]]
86: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 10, 12, 28, 26, 8, 16, 15, 25, 20, 18], [19, 30, 22, 24, 23, 29, 31, 33, 40, 36, 32, 39, 42, 37, 38, 34, 41, 43, 44, 45], [47, 46, 51, 52, 49, 48, 50, 53, 54, 55, 57, 56, 58, 59, 60]]
87: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 8, 9, 10, 15, 26, 30, 18, 12, 20, 19], [16, 22, 23, 29, 24, 28, 31, 33, 40, 36, 32, 38, 42, 39, 45, 34, 37, 47, 41, 44], [43, 46, 51, 52, 49, 48, 50, 53, 55, 54, 56, 57, 59, 58, 60]]
88: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 5, 10, 9, 26, 30, 16, 20, 15, 8, 12, 18, 19], [31, 22, 24, 23, 28, 29, 25, 33, 40, 36, 32, 39, 42, 38, 34, 45, 47, 41, 37, 46], [43, 44, 51, 52, 49, 48, 50, 53, 54, 55, 56, 58, 59, 57, 60]]
89: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 5, 8, 9, 10, 23, 12, 20, 15, 24, 31, 16, 19], [18, 22, 29, 26, 25, 28, 30, 33, 40, 36, 32, 38, 34, 47, 37, 39, 42, 43, 41, 46], [45, 44, 51, 52, 49, 48, 50, 55, 53, 54, 57, 56, 59, 58, 60]]
90: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 20, 5, 6, 8, 10, 9, 12, 30, 15, 16, 18, 23, 25, 21], [22, 28, 19, 24, 26, 29, 31, 33, 40, 36, 32, 39, 42, 37, 45, 34, 41, 38, 46, 43], [47, 44, 51, 52, 49, 48, 50, 55, 54, 53, 57, 56, 59, 58, 60]]
91: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 10, 29, 12, 20, 23, 16, 15, 26, 19], [18, 24, 22, 28, 25, 30, 31, 33, 40, 36, 32, 38, 34, 45, 37, 43, 41, 39, 42, 46], [44, 47, 51, 52, 49, 48, 50, 55, 53, 54, 56, 59, 58, 57, 60]]
92: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 6, 5, 9, 24, 10, 30, 15, 25, 8, 18, 12, 20, 19], [22, 16, 26, 23, 28, 29, 31, 33, 40, 36, 32, 38, 34, 39, 37, 43, 47, 41, 44, 46], [42, 45, 51, 52, 49, 48, 50, 53, 54, 55, 57, 58, 59, 56, 60]]
93: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 8, 10, 12, 20, 28, 15, 19, 24, 22, 29], [16, 31, 23, 26, 18, 25, 30, 33, 40, 36, 32, 39, 34, 37, 38, 43, 46, 45, 41, 42], [47, 44, 51, 52, 49, 48, 50, 53, 55, 54, 57, 56, 59, 58, 60]]
94: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 16, 9, 8, 10, 15, 12, 20, 19, 23, 18, 25], [22, 24, 30, 29, 28, 26, 31, 33, 44, 36, 32, 39, 42, 34, 37, 38, 40, 46, 41, 45], [43, 47, 51, 52, 49, 48, 50, 53, 54, 55, 56, 58, 59, 60, 57]]
95: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 25, 24, 10, 18, 15, 8, 12, 9, 20, 16, 23], [19, 22, 26, 30, 28, 29, 31, 33, 40, 36, 32, 39, 34, 45, 37, 47, 44, 38, 46, 43], [41, 42, 51, 52, 49, 48, 50, 53, 54, 55, 57, 59, 58, 56, 60]]
96: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 10, 15, 24, 12, 22, 18, 25, 19, 31], [20, 16, 23, 26, 28, 29, 30, 33, 40, 36, 32, 38, 34, 39, 37, 41, 42, 45, 43, 46], [44, 47, 51, 52, 49, 48, 50, 55, 53, 54, 57, 58, 59, 56, 60]]
97: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 10, 25, 8, 6, 9, 12, 15, 24, 29, 18, 20, 19], [16, 26, 22, 23, 28, 30, 31, 33, 40, 36, 32, 39, 42, 34, 37, 38, 46, 41, 43, 47], [44, 45, 51, 52, 49, 48, 50, 53, 54, 55, 57, 56, 59, 58, 60]]
98: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 10, 12, 8, 20, 18, 15, 23, 16, 31, 22], [24, 19, 25, 26, 28, 29, 30, 33, 40, 36, 32, 38, 42, 39, 37, 34, 43, 41, 45, 44], [46, 47, 51, 52, 49, 48, 50, 55, 54, 53, 57, 58, 59, 56, 60]]
99: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 20, 9, 6, 8, 5, 10, 15, 12, 22, 16, 18, 19, 21, 24], [23, 26, 25, 30, 29, 31, 28, 33, 40, 36, 32, 38, 42, 39, 37, 43, 41, 34, 44, 46], [45, 47, 51, 52, 49, 48, 54, 53, 55, 50, 56, 57, 59, 58, 60]]
100: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 9, 10, 8, 12, 31, 20, 24, 15, 22, 16, 18], [19, 23, 29, 26, 25, 28, 30, 33, 40, 36, 32, 39, 42, 38, 37, 34, 41, 47, 45, 43], [46, 44, 51, 52, 49, 48, 50, 53, 54, 55, 56, 57, 59, 58, 60]]
101: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 12, 30, 10, 18, 15, 23, 29, 20, 24], [16, 19, 22, 25, 26, 31, 28, 33, 40, 36, 32, 39, 42, 34, 45, 46, 41, 37, 43, 44], [47, 38, 51, 52, 49, 48, 50, 55, 54, 53, 56, 57, 58, 59, 60]]
102: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 24, 8, 10, 12, 28, 15, 20, 23, 9, 16, 22], [19, 25, 26, 18, 31, 29, 30, 33, 44, 36, 32, 39, 34, 40, 37, 47, 38, 42, 41, 46], [43, 45, 51, 52, 49, 48, 50, 53, 55, 54, 57, 59, 56, 58, 60]]
103: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 21, 5, 6, 8, 9, 10, 12, 15, 18, 29, 16, 19, 20, 22], [23, 24, 30, 26, 25, 28, 31, 33, 40, 36, 32, 38, 42, 34, 37, 39, 47, 43, 41, 46], [45, 44, 51, 52, 49, 48, 50, 53, 55, 54, 57, 56, 59, 58, 60]]
104: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 5, 6, 9, 8, 10, 12, 15, 24, 16, 23, 18, 20, 19, 30], [21, 22, 25, 26, 29, 28, 31, 33, 40, 36, 32, 38, 42, 37, 34, 39, 41, 43, 45, 46], [44, 47, 51, 52, 49, 48, 50, 55, 53, 54, 57, 58, 59, 56, 60]]
105: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 5, 6, 9, 12, 10, 8, 15, 18, 24, 28, 22, 31, 20, 16], [19, 23, 21, 25, 29, 26, 30, 33, 40, 36, 32, 39, 42, 37, 34, 38, 41, 43, 44, 47], [46, 45, 51, 52, 49, 48, 50, 55, 53, 54, 56, 59, 58, 57, 60]]
106: [[35, 14, 19, 2, 17, 7, 11], [8, 4, 13, 12, 24, 5], [6, 3, 10, 1, 28], [15, 21, 20], [31, 16, 22, 23, 25, 26, 27, 50, 29, 18, 30, 53, 33], [32, 36, 38, 34, 9, 37], [39, 44, 43, 45, 56, 47], [46, 51, 52, 41], [48, 40, 55, 42, 54], [59, 49, 57, 58, 60]]
107: [[35, 14, 27, 2, 17, 7, 11, 1, 4], [13, 3, 29, 6, 5, 8, 9, 26, 30, 18, 23, 10, 25, 16, 12, 15], [20, 19, 21, 22, 28, 24, 31, 33, 40, 36, 32, 38, 42, 47, 39, 37, 41, 45, 34, 44], [43, 46, 51, 52, 49, 48, 50, 53, 55, 58, 57, 54, 56, 59, 60]]
108: [[35, 13, 19, 3, 17, 7, 2, 1, 4], [9, 5, 11, 14, 6, 8, 15, 23, 24, 27, 12, 26, 21, 18, 29, 22], [16, 25, 28, 30, 31, 20, 10, 32, 38, 36, 34, 55, 42, 53, 37, 40, 43, 33, 41, 44], [46, 45, 51, 54, 59, 48, 47, 50, 52, 39, 57, 49, 60, 58, 56]]
109: [[35, 12, 27, 3, 17, 5, 2, 1, 7], [9, 4, 29, 13, 6, 8, 15, 30, 28, 23, 20, 14, 16, 11, 24, 18], [25, 19, 22, 58, 10, 26, 21, 37, 36, 32, 34, 54, 42, 31, 38, 33, 39, 40, 41, 46], [43, 44, 51, 52, 45, 48, 47, 49, 53, 55, 60, 50, 57, 56, 59]]
110: [[35, 13, 27, 3, 1, 7, 11], [8, 6, 9, 2, 28, 4], [10, 5, 14, 31, 24], [17, 22, 30], [15, 26, 16, 20, 18, 21, 23, 56, 41, 19, 25, 29, 39], [32, 38, 40, 34, 12, 37], [42, 36, 47, 44, 43, 46], [45, 55, 52, 33], [48, 53, 54, 50, 51], [57, 49, 59, 58, 60]]
111: [[35, 14, 19, 2, 17, 5, 11, 1, 4], [9, 3, 29, 8, 12, 40, 24, 7, 13, 25, 28, 15, 21, 16, 23, 26], [20, 22, 27, 18, 31, 30, 10, 49, 33, 32, 38, 54, 34, 6, 37, 41, 39, 36, 42, 44], [43, 47, 51, 52, 57, 48, 45, 50, 53, 46, 55, 60, 59, 58, 56]]
112: [[35, 14, 27, 3, 1, 5, 2, 10, 6], [9, 11, 28, 4, 13, 8, 15, 31, 12, 7, 16, 18, 23, 17, 22, 24], [29, 30, 19, 21, 42, 20, 26, 49, 44, 32, 36, 52, 34, 25, 37, 41, 46, 38, 45, 58], [33, 39, 51, 40, 43, 48, 47, 50, 53, 54, 56, 57, 55, 59, 60]]
113: [[35, 14, 27, 10, 1, 5, 2, 3, 6], [13, 9, 25, 4, 7, 24, 17, 15, 12, 8, 11, 19, 31, 20, 16, 18], [23, 26, 28, 22, 42, 21, 29, 30, 38, 32, 33, 54, 34, 36, 37, 43, 46, 44, 41, 39], [40, 47, 51, 52, 45, 48, 50, 49, 53, 55, 60, 57, 58, 56, 59]]
114: [[35, 14, 27, 10, 17, 7, 2], [8, 4, 13, 1, 28, 3], [6, 5, 9, 11, 24], [12, 16, 15], [18, 21, 29, 19, 22, 26, 23, 54, 58, 20, 25, 53, 36], [30, 34, 31, 33, 37, 39], [40, 32, 46, 41, 42, 44], [47, 51, 43, 45], [48, 50, 52, 55, 38], [56, 49, 59, 57, 60]]
115: [[35, 15, 19, 11, 17, 7, 2, 1, 3], [9, 6, 25, 5, 14, 56, 4, 8, 26, 10, 16, 22, 30, 12, 13, 18], [20, 28, 23, 21, 27, 29, 24, 31, 40, 32, 36, 38, 34, 57, 37, 39, 33, 47, 41, 42], [43, 46, 55, 54, 51, 48, 58, 44, 45, 50, 52, 49, 53, 59, 60]]
116: [[35, 15, 19, 10, 17, 5, 2, 9, 6], [13, 8, 25, 11, 12, 40, 23, 14, 22, 3, 24, 30, 7, 20, 31, 16], [21, 27, 28, 49, 26, 18, 29, 1, 4, 36, 38, 54, 42, 32, 37, 39, 34, 43, 41, 56], [44, 47, 51, 52, 57, 48, 33, 45, 53, 46, 60, 50, 59, 55, 58]]
117: [[35, 15, 19, 11, 1, 7, 2], [9, 4, 13, 6, 24, 5], [14, 8, 21, 10, 12], [3, 16, 26], [17, 23, 31, 25, 18, 20, 27, 50, 58, 22, 28, 33, 34], [32, 29, 54, 30, 36, 37], [38, 39, 42, 41, 40, 44], [45, 51, 46, 47], [48, 43, 49, 53, 52], [60, 57, 59, 55, 56]]
118: [[35, 13, 27, 10, 17, 5, 1, 9, 7], [2, 8, 18, 4, 3, 11, 22, 31, 26, 14, 16, 12, 20, 23, 15, 21, 24], [28, 19, 48, 25, 29, 30, 38, 42, 32, 36, 37, 34, 6, 45, 33, 39, 40, 41, 56], [44, 47, 51, 54, 43, 52, 60, 50, 53, 46, 55, 49, 59, 58, 57]]
119: [[35, 15, 19, 10, 1, 7, 2], [3, 5, 9, 11, 25, 4], [6, 40, 26, 23, 28], [16, 20, 8], [12, 13, 14, 21, 29, 22, 27, 18, 30, 31, 17, 33, 44], [32, 24, 54, 34, 36, 37], [43, 38, 39, 41, 42, 45], [47, 55, 52, 50], [48, 49, 51, 53, 46], [57, 60, 59, 58, 56]]
120: [[35, 12, 19, 2, 17, 7, 11], [9, 5, 13, 1, 24, 4], [6, 8, 10, 20, 26], [3, 14, 16], [27, 15, 31, 21, 25, 18, 23, 58, 22, 28, 30, 29, 42], [36, 32, 52, 34, 38, 39], [37, 40, 33, 41, 45, 44], [46, 51, 54, 43], [48, 49, 50, 53, 47], [60, 57, 59, 55, 56]]
121: [[35, 12, 27, 2, 17, 5, 3], [1, 4, 9, 10, 16, 7], [6, 8, 15, 20, 28], [23, 11, 26], [14, 13, 18, 19, 25, 21, 22, 24, 29, 30, 31, 36, 38], [32, 34, 39, 42, 45, 33], [43, 37, 40, 41, 48, 44], [46, 51, 54, 47], [49, 53, 50, 55, 56], [60, 52, 57, 58, 59]]
