0: [[35, 7, 2], [4, 3, 1], [13, 5, 6, 21], [8, 27, 9, 14, 30, 12, 17, 15, 16, 11, 10], [19, 23, 22], [28, 26, 20, 24, 25, 31, 29, 60, 36, 32, 33, 37], [38, 44, 47, 34, 40, 43, 18], [46], [41, 52, 39], [50, 42, 53, 45], [56, 55, 48], [57, 49], [51, 54, 58, 59]]
74: [[35, 7, 2], [4, 3, 1, 13, 21, 9, 11, 5], [10, 17, 6, 8, 26, 12, 15, 25, 20, 18, 30, 23, 14, 16], [19, 22, 29, 24, 31, 27, 28, 33, 34, 44, 36, 38], [32, 46, 47, 42, 39, 43, 45, 40, 37], [41, 51, 49, 48, 59, 58, 54, 52, 60, 50, 53, 55, 57, 56]]
75: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 5, 10, 11, 15, 8, 14, 20, 9, 12, 16, 24, 19, 18, 22], [17, 23, 26, 27, 29, 31, 28, 25, 30, 36, 33, 32, 34, 37, 38, 43, 40, 41, 45, 47, 39, 42, 44, 50, 60, 46, 48, 59, 51, 49, 53, 58, 52, 55, 57, 54, 56]]
76: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 6, 8], [11, 9, 15, 25, 27, 10, 16, 22, 28, 14, 19], [12, 17, 31, 30, 18, 29, 20, 23, 24, 26, 37, 34, 36, 33, 39, 38], [32, 40, 44], [47, 41, 59, 42, 45, 43, 49, 51, 50, 53, 54, 52], [48, 46, 55, 56, 57, 58, 60]]
77: [[35, 7, 2, 4, 3, 1], [13, 21, 6, 15, 8, 5, 10], [11, 12, 24, 9, 20, 14, 28, 26, 23, 16], [18, 25, 17, 27], [19, 22, 29, 30, 45, 41, 32, 52, 39, 31, 33, 46], [44, 56, 37, 43, 42, 34, 36, 38, 40], [50, 47, 49, 53, 54, 55, 59, 48, 51, 57, 60, 58]]
78: [[35, 7, 2, 4, 3, 1, 13, 21, 6, 27, 8, 5], [9, 14, 28, 11, 24, 12, 15, 10, 18, 19], [22, 20, 17, 16, 25, 23, 31, 26, 29, 30, 33, 34, 53, 32, 38, 36, 37, 58, 40, 39, 41, 45, 43, 42, 44, 56, 46, 55, 49, 47, 52, 48, 51, 50, 54, 59, 57, 60]]
79: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 14, 8, 10, 9, 24], [5, 15, 27], [11, 12, 20], [16, 18, 19, 17, 22, 31, 30, 26, 25, 23, 28, 29, 41, 32, 40, 48, 36, 37, 42, 33, 45, 34, 43, 39, 38, 46, 44, 53, 49, 47, 52], [54, 56, 55, 51, 50, 57, 59, 60, 58]]
80: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 6, 8], [11, 14, 15, 24, 25, 10, 12], [19, 27, 22, 9, 16], [17, 20, 18, 31, 28], [26, 23, 29, 30, 37, 48, 36, 33, 32, 38, 34, 44], [39, 40, 47, 42, 45, 41, 43, 51, 52, 50, 49, 46], [53, 54, 55, 56, 57, 58, 59, 60]]
81: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 5, 8, 14, 12, 24], [9, 31, 11], [25, 10, 15], [16, 18, 17, 23, 22, 19, 30, 20, 29, 26, 27, 28, 33, 34, 36, 58, 48, 38, 32, 37, 45, 42, 47, 39, 43, 44, 49, 40, 50, 52, 46, 54, 55, 53, 41, 51], [57], [59, 60, 56]]
82: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 6, 8, 9], [10, 11, 14, 27, 31, 15, 12, 17, 16], [20, 19, 18, 23, 22, 24, 30, 25, 26], [28, 29, 41], [32, 33], [39, 50, 37, 36, 38], [42, 46, 34, 40, 47, 44, 43, 48, 53], [45, 49, 51, 52, 55, 54], [56, 57, 59, 58, 60]]
83: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 14], [8, 9, 23, 10, 6, 27, 26, 15], [30, 20, 11, 18, 12, 16, 17, 22, 19, 25, 24], [29, 28, 31, 37, 32, 36, 34, 38, 39, 41, 40, 44, 42, 43, 47, 46], [45, 56, 33, 50, 49, 48, 54, 51, 53, 59, 52], [55, 60, 57, 58]]
84: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 22, 24, 14, 6, 15, 11, 8, 26, 10], [18, 12, 17, 19, 9, 25, 29, 23, 31, 16, 20, 28], [27, 30, 37, 48, 39, 33, 40, 32, 38, 46, 44, 43, 41, 36, 42, 45, 47, 34, 49, 50], [59, 55, 51, 52, 54, 56, 53, 57, 58, 60]]
85: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 12, 8, 10], [14, 11, 30, 28, 15, 25, 5], [19, 9, 20, 22, 16], [17, 23, 26, 24, 27], [29, 18, 31, 37], [32, 34, 36, 38, 39, 40, 42, 41], [43, 44, 50, 46, 45, 56, 54, 47, 48, 33], [51, 60, 53, 52, 58, 57, 49, 55, 59]]
86: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 8, 12], [11, 15, 24, 9], [10, 6, 29, 31, 18, 14, 23, 17, 16, 19], [26, 20, 22], [25, 27, 30], [28, 37, 36], [33, 32, 42], [38, 41, 44, 43, 46, 39, 40, 45, 34], [47, 51, 53, 48, 52], [60, 49, 55, 56, 54, 58, 50, 59, 57]]
87: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 20], [9, 5, 10, 14, 8, 12, 11, 15, 25, 22, 16, 18], [19, 26, 28, 23, 17, 24, 27, 29, 30, 31, 41, 48], [33], [38, 36, 32], [47, 37, 44, 40], [39, 46, 34], [42, 43, 49, 51, 45, 52, 50, 53, 54, 55, 58], [59, 57, 56, 60]]
88: [[35, 7, 2], [4, 3, 1, 13, 5, 8, 6, 9, 24, 29, 10], [11, 28, 15, 14, 18, 19, 16, 26, 27, 23, 21, 30, 12, 25, 17], [20, 22, 31, 33, 32, 34, 39, 38], [44, 42, 37, 36, 45, 41, 43, 47, 49, 46, 40, 51, 48, 52, 50, 53, 55, 54, 57, 58, 56], [59, 60]]
89: [[35, 7, 2], [4, 3, 1], [13, 5, 9], [21, 8, 6, 12, 14, 10, 15, 11, 31, 16, 22], [18, 19, 28, 17, 20, 27, 24, 30], [23, 26, 29, 25, 41, 49, 36, 59, 38, 43, 54, 40, 33, 34, 37, 46, 42, 39, 45, 32, 44, 47, 48, 58, 50, 51, 57, 52, 53, 55, 56, 60]]
90: [[35, 7, 2], [4, 3, 1], [13, 21, 5], [6, 8, 9, 10, 12], [11, 14, 28, 15, 16, 25, 18, 19, 17, 23], [20, 29, 22, 24, 26], [27, 30, 31, 37, 48, 36, 38], [32, 34, 39, 44, 47, 40, 46, 42], [45, 57, 54], [51, 60, 50], [41, 43, 33, 49], [53, 55, 56, 58, 52, 59]]
91: [[35, 7, 2], [4, 3, 1, 13, 21, 10, 5, 12, 11], [14, 24, 8, 15, 6, 29, 30, 16, 18, 17], [9, 19, 20, 23, 22, 25, 26, 27, 31, 28], [37, 32, 33], [38, 40, 34, 39, 36, 41, 42, 47, 43, 45, 44, 46, 51, 48, 56, 52, 53, 49, 55, 59, 54, 58, 50, 57, 60]]
92: [[35, 7, 2, 4, 3], [1, 13, 21, 6, 5, 10, 9], [15, 8, 14], [16, 25, 28, 11, 12, 20, 18, 17, 19], [31, 24, 27], [22, 26, 23, 30, 29, 45, 32, 52, 38, 34, 33, 47, 40], [56, 36, 41, 42, 39, 43, 44, 46, 51, 49, 37, 55, 53, 48, 57, 54, 58, 50, 60, 59]]
93: [[35, 7, 2], [4, 3, 1, 13, 21, 14, 6, 12], [10, 5, 24, 8, 9, 11, 15, 18, 17, 16, 25, 23, 27, 19, 20, 26, 30, 29, 22, 31], [28, 41, 54, 44], [39, 36, 32], [43, 37, 45, 34, 38, 40], [33, 42, 46, 55, 49, 47, 48, 53, 51, 50, 52], [58, 59, 56, 57, 60]]
94: [[35, 7, 2], [4, 3, 1, 13, 9, 20, 6, 8], [10, 15, 12, 30, 26, 11, 5, 28, 19, 23, 17, 21, 18, 16, 22, 25, 27, 29, 24, 56, 14, 55, 38, 36, 37, 40, 31, 33, 42, 32, 47, 34, 39, 43, 41, 45, 46, 60, 49, 50, 51, 53, 52, 54, 44, 58], [57, 48, 59]]
95: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 5, 8, 11, 10, 15, 12, 9, 14, 24, 26, 17], [19, 30, 22, 23, 18, 29, 16, 20, 25, 31], [56, 60, 41, 40, 37, 36, 27, 32, 28, 46, 34, 39, 43, 45, 33, 42, 44, 38, 47, 59, 50, 48, 53, 55, 49, 51, 52], [54, 57, 58]]
96: [[35, 7, 2, 4, 3, 1, 13, 21, 5, 6, 8, 26], [11, 14, 9, 10, 25, 15, 12, 23, 16, 19, 22, 17, 24, 20, 18, 28], [29, 31, 30, 27, 33, 32, 51, 38, 34, 37, 39], [40, 42, 43, 47, 36, 44, 45, 41, 48, 46, 58, 49, 50, 52, 54, 55, 53, 59, 57, 56, 60]]
97: [[35, 7, 2], [4, 3, 1, 13, 29, 5, 6, 9, 8], [27, 11, 15, 28, 12, 14, 16, 19, 17, 18, 22, 21, 20, 30, 26, 25, 10], [24, 23, 31, 36, 32, 40, 39, 34, 33, 46, 45, 37, 43, 38, 41], [42, 44, 47, 60, 49, 52, 48, 54, 50, 53, 51, 55, 58, 57, 59, 56]]
98: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5, 8, 9, 11, 10], [26, 14, 25, 12, 19, 15, 31], [16, 22, 18], [20, 23, 24, 30, 29, 39, 17, 38], [33, 40, 36, 54, 37, 27, 28, 32, 34, 43, 42, 44, 45, 46, 41, 47, 50, 53, 49, 55, 48, 52, 59, 57, 56, 51, 58, 60]]
99: [[35, 7, 2], [4, 3, 1, 13, 5, 6, 21, 8, 26, 9, 12], [14, 28, 25], [11, 16, 10, 15, 19, 23, 22, 17, 31, 20, 18, 24], [27, 29, 30, 36, 32, 33, 39], [38], [44, 45, 42], [40, 34, 41, 43], [46, 52, 37], [50, 57], [47, 48, 58, 55], [51, 49, 54, 59, 53, 56, 60]]
100: [[35, 7, 2], [4, 3, 1, 13, 5, 6, 14, 12, 8, 27, 10], [16, 15, 21, 9, 23, 20, 22, 18, 19, 17, 24, 28, 26, 30, 25, 29, 33, 31, 11, 36, 32, 38, 37, 39, 46, 41, 44, 34, 43, 40, 42], [47, 45, 53, 49, 48, 52, 54, 56, 58], [57, 50, 51, 59, 55, 60]]
101: [[35, 7, 2, 4, 3, 1, 13, 21, 6, 5, 8, 9, 15, 12, 10, 11, 14], [25, 16, 17, 22, 31, 18, 19, 23, 26, 20, 24, 27, 30, 29, 28, 33, 38, 32, 41, 42, 34, 37, 45, 47, 40, 36], [43, 44, 50, 48, 52, 39, 55, 53, 46, 51, 49, 57, 54, 56, 58, 59, 60]]
102: [[35, 7, 2], [4, 3, 1, 13, 5, 6, 12, 8, 10, 9, 30], [14, 11, 27], [15, 24, 16], [18, 22, 19, 25, 17, 31, 28, 20], [21, 23, 52, 29, 43, 32, 26, 48, 36, 33, 37, 41, 46, 34, 38, 40, 47, 42, 44, 53, 49, 39, 45, 50, 54, 59, 57, 55, 51, 58, 56, 60]]
103: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 10], [8, 11, 5], [14, 30, 12, 19, 9, 15, 18, 22, 16, 23, 27, 31], [20, 17, 28], [24, 25, 26], [53, 45, 32, 41, 29, 33, 38, 44, 36], [34, 37, 46], [39, 43, 56, 40, 50, 54, 42, 47, 52, 48, 49], [51, 55, 57, 58, 59, 60]]
104: [[35, 7, 2, 4, 3, 1, 13, 5, 6, 8], [24, 10, 12, 9, 11, 19, 31, 14, 18, 15, 21, 17], [22, 20, 16, 26, 27, 23, 28, 25, 30, 29, 36, 32], [48], [38, 52, 33], [39, 42, 34, 43], [44, 37, 45], [40, 41], [59, 58, 46, 53], [47, 49, 54, 55, 56, 50, 57, 51, 60]]
105: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 5, 8], [9, 11, 14, 12, 10, 25], [15, 26, 16, 20, 23, 17], [19, 22, 18], [24, 28, 27, 29, 31, 30, 45], [33, 32, 37, 52, 34, 36, 42, 40, 38], [46, 43, 41, 39, 47, 44, 49, 48, 53], [51, 54, 55, 57, 50, 58, 56, 59, 60]]
106: [[35, 7, 2], [4, 3, 1, 13, 21], [6, 5, 8, 11], [9, 14, 12, 29, 30, 15, 10, 27, 22], [17, 28, 18, 19, 16, 20, 25, 31, 24, 23, 26, 45, 32, 48, 36, 47, 33], [46, 41, 40, 38, 34, 49, 37], [39, 42, 43, 44, 51, 52, 54, 57, 53, 50, 59, 55, 58, 56, 60]]
107: [[35, 7, 2], [4, 3, 1], [13, 23, 5, 10, 6, 8, 11, 14], [9, 24, 15, 12, 16, 17, 18, 31, 22, 19, 20, 25], [26, 21, 28, 27, 29, 30, 37, 32, 45, 52, 34], [33, 44, 47], [36, 39, 43, 40], [38, 46, 42], [41, 49, 48, 57, 55, 54, 51, 58, 50, 53, 56, 59, 60]]
108: [[35, 7, 2, 4, 3, 1, 13, 21, 6, 5, 8, 9, 10, 14, 11, 26, 28, 12, 27], [24, 19, 18, 15, 20, 23, 30, 16, 17, 22, 25, 59, 31, 36, 32, 37, 34, 29, 33, 38], [47, 40, 41, 43, 42, 44, 57, 45, 39, 54, 53, 50, 46, 48, 49], [51, 55, 52, 56, 60, 58]]
109: [[35, 7, 2, 4, 3, 1, 13, 21, 6, 5, 9, 27, 8, 10, 12, 11, 14, 15, 16, 26, 19, 18, 28], [22, 17, 20, 23, 24, 29, 30, 25, 31, 41, 32, 37, 33, 45], [34, 36, 39, 40, 38, 42, 43, 44, 46, 60, 56, 47, 49, 50, 55, 53, 48, 51, 54, 57, 52, 59, 58]]
110: [[35, 7, 2, 4, 3, 1, 13, 21, 5], [17, 8, 25], [9, 15, 14, 26, 6, 11, 28, 24, 10, 19, 23, 22, 16, 18, 12, 20, 27, 29, 30, 31, 36, 32, 37, 33, 38, 40, 46, 34, 41, 43, 42, 47, 44, 53, 39, 54, 45, 52, 49, 60, 55, 48, 57, 50, 51, 56, 58, 59]]
111: [[35, 7, 2, 4, 3, 1, 13, 21, 8, 10, 5, 24, 31, 14, 9, 6, 11, 22, 18, 15, 25, 26], [16, 12, 17, 19, 20, 23, 30, 27, 28, 29, 32, 58, 37, 38, 33, 34, 36], [40, 39, 43, 42, 46, 44, 53, 45, 47, 56, 41, 52, 55, 48, 54, 50, 49, 57, 51, 59, 60]]
112: [[35, 7, 2], [4, 3, 1], [13, 5, 6], [11, 9, 12, 15], [14, 30, 18], [10, 20, 8, 27, 22, 29, 21, 19, 16, 23], [25, 26, 17, 31, 52, 42], [53, 40, 32], [24, 44, 38, 28, 33, 34, 43, 36, 58, 37, 46, 39, 41], [48, 49, 50, 59, 45, 47, 54, 56, 57, 51, 55, 60]]
113: [[35, 7, 2, 4], [3, 1, 13, 21, 11, 6, 12, 5], [8, 9, 10, 26], [27, 14, 23], [25, 17, 15], [22, 16, 18, 19, 20, 24, 29, 30, 28], [31, 37, 33, 36, 42, 54, 34, 43, 45, 32], [39, 38, 40, 44, 41, 46, 47, 49, 48, 50, 55, 59, 51, 52, 53, 56, 58, 60, 57]]
114: [[35, 7, 2], [4, 3, 1, 13, 21], [6, 5, 8], [11, 25, 15, 9, 12, 14, 28, 17, 18, 20, 19, 29, 22, 16, 23, 30, 26], [27, 31, 24, 36, 41, 32, 33, 34, 38, 39], [37, 10, 40, 42, 43, 47, 44, 46, 45, 48, 51, 56, 50, 55, 52, 54, 49, 58, 59, 53, 57, 60]]
115: [[35, 7, 2, 4, 3, 1, 13, 5, 8, 9, 21, 6], [27, 12, 11, 15, 19, 14, 22, 23, 18, 26, 10], [20, 16, 24, 25, 28, 29, 17, 30, 54], [45, 31, 43, 34, 44, 41, 32, 37, 36, 33, 42, 50, 46, 39, 40, 47, 48, 38, 52, 53, 49, 55, 51, 56, 60, 57, 58, 59]]
116: [[35, 7, 2], [6, 3, 1, 13, 21, 9, 5, 12], [8, 11, 10], [15, 31, 22, 14], [17, 16], [4, 24, 26, 23, 18, 19, 20, 29, 25, 27, 28, 30], [37, 34, 44, 51, 32, 38, 41, 39, 47, 36, 40], [42, 43], [46, 45, 33, 50, 48, 52, 53, 55, 57, 49, 54, 60, 58, 56, 59]]
117: [[35, 7, 2, 4, 3, 1, 13, 21, 6, 5, 10, 14, 15, 12, 8, 9, 25, 11, 18, 16, 23, 17, 22, 19, 28, 26, 20, 24, 27, 31, 29, 30, 37, 40, 32, 44, 42], [34, 33, 36, 38, 45, 47, 41, 55, 39, 43, 46, 48, 53, 58, 59, 51, 56, 50, 54, 57], [49, 52, 60]]
118: [[35, 7, 2, 4], [3, 1, 13], [21, 6, 16, 8], [11, 15, 14, 30], [5, 9], [10, 24, 12], [17, 19, 23, 22], [18, 26, 28], [20, 29, 27, 25, 31], [36, 34, 32], [37, 38, 40, 33], [39, 44, 43], [46], [47, 45, 48], [49, 54, 41, 52], [50, 42, 55, 53], [59, 56], [51, 57, 58, 60]]
119: [[35, 7, 2, 4, 3, 1, 13, 21, 8, 6, 5, 25, 31, 14, 9, 10, 12, 22, 18, 11, 15, 19], [16, 20, 17, 24, 26, 23, 30, 27, 28, 29, 33, 58, 32, 38, 34, 39, 44], [36, 40, 41, 46, 42, 43, 60, 45, 37, 50, 48, 52, 47, 51, 53, 49, 54, 57, 55, 59, 56]]
120: [[35, 7, 6, 5, 1, 3], [13, 8, 4, 9, 12, 10], [15, 24, 11, 31, 2, 14, 17], [18, 16, 25, 30, 23], [19, 20, 26], [27, 29, 21, 22], [28, 37, 34], [38, 39, 36, 32, 33, 45, 40, 47, 43, 41, 46, 42], [58, 44, 54, 50, 55, 52, 48, 49, 51, 53, 60, 56, 57, 59]]
121: [[35, 7, 2], [4, 3, 1], [13, 5, 10, 21], [8, 27, 9, 6], [14, 12, 11], [15, 16], [17, 18, 19], [23, 20, 28], [26, 25, 22, 29, 24, 58], [30, 36, 51], [33, 55, 39, 44], [47, 32, 40], [43], [38, 46, 41, 31], [37, 34, 42, 45, 49], [48, 53, 50], [57, 54], [56, 52, 59, 60]]
