0: [[35, 27, 7, 2], [22], [3, 1, 14, 15, 4, 10, 18], [5], [8, 9, 26, 6, 21], [13, 11, 16], [19, 25, 20], [31], [24, 23, 17, 30, 28, 29, 12], [40, 33], [34, 36, 32, 39], [37, 46, 59], [45, 41], [42, 38, 47, 43, 54, 44], [51, 48], [55, 50], [52], [53], [49, 57], [58, 56, 60]]
74: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 8, 11, 5, 9, 10, 30, 12, 24, 21, 29, 18, 15, 28, 17, 31, 19, 23], [16, 25, 22, 26, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 52, 49, 50, 57, 55, 58, 60, 53, 59, 56]]
75: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 11, 6, 9, 8, 10, 29, 28, 31, 19, 12, 15, 17, 22, 21, 16, 18, 23], [25, 24, 30, 26, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 59, 49, 48, 58, 53, 52, 51, 56, 50, 55, 57, 60]]
76: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 15, 11, 12, 5, 8, 9, 10, 26, 21, 23, 19, 16, 17, 22, 18, 24, 30, 6], [31, 25, 28, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 50, 53, 49, 55, 48, 51, 58, 56, 57, 52, 60]]
77: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 10, 11, 8, 19, 30, 6, 24, 23, 17, 16, 12, 26, 21, 15, 18, 22], [28, 25, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 53, 49, 52, 50, 55, 58, 57, 59, 56, 60]]
78: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 24, 6, 11, 8, 10, 28, 15, 9, 19, 12, 16, 18, 31, 17, 25, 22, 21], [30, 26, 23, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 49, 48, 51, 55, 52, 53, 56, 50, 57, 58, 60]]
79: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 6, 8, 12, 15, 26, 23, 18, 16, 17, 28, 19, 29, 10, 11, 21, 22], [24, 31, 30, 25, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 53, 51, 55, 56, 52, 57, 58, 60]]
80: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 6, 15, 8, 10, 9, 26, 11, 12, 16, 18, 17, 19, 29, 28, 21, 23, 22], [24, 30, 25, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 52, 55, 57, 56, 59, 58, 60]]
81: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 12, 11, 8, 10, 13, 16, 29, 15, 21, 22, 17, 23, 18, 19, 26, 28], [30, 24, 31, 25, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 50, 49, 55, 52, 53, 57, 58, 56, 59, 48, 60]]
82: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 10, 9, 6, 8, 11, 12, 18, 15, 29, 16, 13, 17, 23, 25, 26, 19, 28, 21], [22, 24, 31, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 52, 48, 50, 53, 55, 49, 56, 57, 59, 58, 60]]
83: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 8, 9, 21, 6, 15, 10, 26, 28, 12, 25, 29, 19, 18, 23, 11, 16, 17], [22, 24, 31, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 53, 55, 56, 58, 57, 59, 60]]
84: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 11, 8, 15, 28, 13, 9, 10, 12, 23, 19, 17, 18, 25, 26, 29, 21, 24], [22, 16, 30, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 55, 53, 56, 57, 59, 58, 60]]
85: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 11, 15, 12, 8, 10, 31, 9, 5, 21, 17, 16, 19, 23, 18, 22, 24, 25], [28, 26, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 53, 55, 56, 57, 58, 59, 60]]
86: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 8, 6, 9, 10, 11, 24, 12, 15, 23, 17, 19, 31, 18, 22, 21, 25, 16], [29, 26, 28, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 50, 48, 53, 52, 55, 57, 56, 58, 60, 59]]
87: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 12, 5, 10, 6, 11, 9, 31, 8, 17, 18, 15, 19, 16, 22, 21, 25, 23, 24], [30, 29, 26, 28, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 53, 51, 55, 56, 52, 58, 57, 60]]
88: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 11, 10, 9, 8, 13, 21, 15, 17, 23, 12, 24, 16, 18, 31, 19, 22, 25, 6], [26, 28, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 50, 48, 49, 55, 53, 52, 51, 56, 58, 57, 60]]
89: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 10, 9, 6, 11, 8, 25, 15, 16, 12, 19, 21, 18, 17, 22, 24, 31, 23], [26, 29, 30, 28, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 52, 55, 53, 58, 56, 57, 59, 60]]
90: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 6, 15, 11, 12, 8, 10, 9, 21, 16, 18, 17, 25, 30, 23, 19, 22, 24], [28, 29, 26, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 52, 53, 55, 60, 51, 57, 56, 58]]
91: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 6, 8, 10, 11, 24, 12, 15, 18, 21, 17, 16, 23, 19, 22, 25, 30], [28, 26, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 52, 51, 55, 58, 53, 57, 56, 60]]
92: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 6, 9, 10, 8, 11, 30, 12, 19, 15, 18, 16, 23, 25, 21, 17, 22, 24], [29, 28, 26, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 53, 55, 58, 60, 57, 56, 59]]
93: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 6, 11, 8, 12, 24, 15, 10, 22, 17, 23, 18, 30, 16, 25, 21, 19], [28, 31, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 51, 48, 52, 50, 53, 49, 55, 58, 56, 59, 57, 60]]
94: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 8, 11, 10, 12, 9, 28, 15, 30, 13, 19, 16, 17, 22, 24, 18, 29, 21], [31, 25, 23, 26, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 53, 55, 58, 56, 57, 59, 60]]
95: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 10, 6, 8, 11, 22, 26, 12, 21, 17, 15, 19, 24, 16, 18, 25, 23], [28, 29, 31, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 52, 55, 56, 57, 58, 59, 60]]
96: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 6, 10, 9, 12, 11, 8, 15, 22, 18, 16, 19, 17, 23, 21, 24, 25, 26], [28, 29, 30, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 53, 52, 55, 58, 51, 57, 56, 60]]
97: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 25, 5, 8, 15, 10, 26, 17, 12, 16, 18, 23, 9, 11, 19, 22, 21, 24], [30, 28, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 56, 59, 58, 57, 60]]
98: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 11, 9, 12, 15, 10, 8, 16, 26, 5, 23, 17, 24, 18, 22, 25, 19, 21, 6], [30, 28, 29, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 53, 52, 55, 56, 57, 51, 58, 60]]
99: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 8, 5, 12, 11, 10, 24, 9, 15, 21, 26, 16, 17, 19, 25, 22, 18, 23], [28, 30, 29, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 56, 58, 57, 59, 60]]
100: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 8, 11, 9, 10, 25, 24, 30, 13, 29, 12, 19, 17, 15, 16, 23, 22, 21], [18, 26, 28, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 51, 52, 55, 56, 53, 57, 58, 60]]
101: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 15, 10, 6, 8, 11, 9, 12, 13, 30, 29, 16, 24, 18, 21, 17, 19, 23, 22], [25, 26, 31, 28, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 50, 48, 49, 53, 52, 51, 56, 55, 57, 58, 60]]
102: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 10, 11, 8, 9, 15, 29, 12, 21, 23, 13, 18, 17, 16, 30, 19, 22, 24, 6], [26, 25, 28, 31, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 59, 48, 51, 56, 55, 52, 53, 49, 57, 50, 58, 60]]
103: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 8, 5, 9, 12, 11, 10, 17, 16, 23, 25, 18, 31, 26, 21, 15, 19, 22], [24, 28, 30, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 53, 52, 57, 55, 50, 56, 58, 59, 60]]
104: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 11, 16, 6, 12, 24, 10, 8, 19, 21, 15, 29, 22, 9, 23, 17, 25, 26], [18, 30, 31, 28, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [46, 47, 54, 59, 48, 51, 55, 52, 49, 53, 56, 58, 50, 57, 60]]
105: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 11, 9, 8, 10, 13, 26, 12, 15, 16, 19, 25, 21, 18, 23, 22, 17, 30], [24, 28, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 51, 53, 49, 52, 55, 58, 57, 50, 56, 60]]
106: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 8, 9, 11, 10, 12, 24, 26, 15, 29, 18, 6, 17, 16, 19, 22, 21, 23], [25, 28, 31, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 53, 55, 56, 58, 57, 59, 60]]
107: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 11, 6, 8, 9, 15, 10, 24, 12, 19, 16, 21, 26, 17, 23, 18, 22, 29], [25, 30, 28, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 50, 49, 48, 53, 52, 55, 58, 57, 59, 56, 60]]
108: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 8, 11, 18, 6, 9, 31, 12, 17, 15, 23, 19, 29, 26, 21, 10, 22, 16], [30, 25, 24, 28, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 51, 48, 53, 49, 50, 52, 55, 59, 57, 56, 58, 60]]
109: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 6, 8, 10, 11, 12, 24, 9, 15, 21, 26, 18, 17, 16, 25, 19, 22, 30], [23, 29, 28, 31, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 59, 48, 49, 50, 53, 51, 55, 56, 52, 57, 58, 60]]
110: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 10, 6, 11, 9, 19, 24, 18, 30, 12, 26, 25, 15, 16, 17, 8, 21, 22], [23, 28, 29, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 53, 50, 49, 52, 55, 58, 57, 56, 59, 60]]
111: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 12, 11, 22, 8, 25, 31, 19, 18, 26, 30, 15, 17, 16, 10, 21, 6], [23, 24, 28, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 58, 57, 59, 56, 60]]
112: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 11, 6, 8, 9, 10, 12, 17, 25, 30, 21, 31, 26, 15, 16, 18, 22, 19], [23, 24, 28, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 56, 59, 57, 58, 60]]
113: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 10, 12, 8, 11, 25, 15, 13, 23, 19, 17, 16, 18, 21, 22, 29, 31], [30, 24, 26, 28, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 55, 53, 56, 57, 59, 58, 60]]
114: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 11, 10, 12, 8, 15, 9, 17, 26, 18, 21, 23, 19, 29, 6, 22, 24, 25], [16, 28, 31, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 58, 53, 50, 55, 57, 52, 56, 60, 59]]
115: [[35, 27, 7, 2], [20], [1, 3, 4, 14, 5, 19], [9, 8, 11, 15, 6, 10], [13, 31, 16, 21], [17, 26], [24, 23, 22, 30, 28, 25, 29, 12], [40, 33, 18], [34, 36, 32, 39], [37, 46, 43], [44, 38], [41, 45, 47, 42, 54, 59], [48, 49], [50, 51], [52], [53], [58, 57], [55, 56, 60]]
116: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 13, 8, 11, 9, 10, 26, 12, 29, 30, 16, 23, 17, 15, 22, 28, 24, 18], [19, 21, 25, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 52, 55, 56, 58, 59, 57, 60]]
117: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 6, 10, 9, 8, 15, 30, 11, 28, 31, 17, 23, 25, 12, 16, 22, 18, 19], [21, 24, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 56, 59, 57, 58, 60]]
118: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 10, 8, 12, 11, 6, 9, 15, 13, 31, 16, 25, 26, 18, 17, 19, 23, 29, 30], [22, 28, 24, 21, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 56, 57, 59, 58, 60]]
119: [[35, 27, 7, 2, 20, 3, 5, 4, 15], [12, 14, 22, 1, 8, 9, 26, 6, 10, 29, 11, 16, 19, 17, 13, 18, 21, 31, 23], [30, 24, 25, 28, 40, 33, 34, 36, 32, 39, 37, 38, 59, 45, 41, 42, 44], [47, 46, 54, 57, 49, 48, 43, 51, 52, 53, 50, 55, 58, 56, 60]]
120: [[35, 27, 7, 2, 22, 3, 1, 14, 15], [12, 9, 8, 13, 10, 4, 5, 6, 24, 17, 11, 19, 16, 18, 20, 23, 26, 21, 28], [30, 25, 29, 31, 42, 33, 34, 36, 32, 39, 37, 38, 59, 45, 41, 43, 46], [47, 40, 54, 44, 51, 48, 50, 55, 52, 53, 49, 57, 58, 56, 60]]
121: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 10, 13, 11, 8, 9, 12, 15, 31, 23, 16, 25, 17, 18, 22, 19, 29, 30], [21, 24, 28, 26, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 50, 49, 48, 53, 52, 55, 56, 57, 59, 58, 60]]
