0: [[35, 7, 1, 2], [3, 4], [13, 5, 8, 11, 21, 6], [9, 12, 28, 10], [14, 23, 22, 15, 18], [17, 20, 25, 16, 19, 29, 26, 24, 27, 30, 31, 36, 40, 33, 46, 32, 34, 47, 39, 37, 38, 41, 42, 43, 44, 51, 50, 52, 56, 53, 54, 45], [48, 57, 49], [55, 59, 58, 60]]
74: [[35, 7, 1, 2], [3, 4, 13, 21, 9], [14, 31, 12], [5, 8, 10, 11, 28, 20, 6], [23, 19, 16, 17, 24, 15, 18, 22, 26, 25, 27, 30, 29, 34, 32, 33, 36, 38, 41, 37, 47, 45, 46, 40], [42, 43, 39, 44, 55], [60, 58, 49, 54, 48, 52, 51, 50, 56, 53, 57, 59]]
75: [[35, 7, 1, 2, 3], [4, 13, 21, 6, 10], [11, 5, 12, 8, 15, 25], [17, 16, 22, 14, 28], [18, 20, 19, 23, 27, 26], [30, 31, 24, 29, 9, 44, 33, 32, 37, 34, 39, 38, 36, 41, 45, 43], [40, 42, 47, 60, 50, 46, 49, 48], [55, 52, 53, 57, 54, 51], [58, 56, 59]]
76: [[35, 7, 1, 2], [3, 4, 13, 21, 8, 9, 25], [12, 5, 11, 10, 30, 14, 6, 15, 23, 27, 20, 17, 18, 16, 19, 22, 28, 26, 29, 24, 31, 36, 32, 39], [37, 33, 42, 46, 44, 34, 40, 38, 41, 45, 43, 47, 55, 56, 48, 49, 50, 52, 54, 51, 53, 57, 58, 59, 60]]
77: [[35, 7, 1, 2], [3, 4, 13, 21, 11, 14, 8, 5], [6, 9, 10, 28, 17, 12, 23, 22, 19, 18, 15, 16, 26, 20], [25, 30, 29, 24], [27, 31, 44, 36], [32, 41], [33, 37, 39, 34, 38], [40, 43, 45, 42, 46, 47, 53], [56, 48, 54, 49, 51, 52, 55, 50, 57, 58, 59, 60]]
78: [[35, 7, 1, 2], [3, 4], [13, 5, 11, 8], [20, 22, 6, 12, 9, 30, 14, 21, 23], [15, 19, 16, 17, 18, 24, 28, 25, 31, 27, 26, 29, 10], [40, 34, 32, 39, 33, 37, 38, 46, 36, 45, 41, 42, 43, 44, 47, 58, 48, 50, 52, 53, 55, 49, 51, 54, 59, 56, 57, 60]]
79: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 15], [6, 9, 8, 14], [29, 11, 12, 10], [22, 18, 31, 16, 19, 25, 20], [23, 17, 24, 26, 27, 28, 30, 40, 32, 33, 37, 36, 34, 44, 43, 38, 39, 45], [42, 41, 46, 60, 59, 52, 47, 51, 48, 50, 53, 57, 49, 55, 54, 58, 56]]
80: [[35, 7, 1, 2, 3, 4], [13, 5], [10, 8, 31, 6, 15, 9, 12, 11, 26, 18, 30, 17, 19, 14, 16, 25, 20, 21, 22, 23, 24, 27, 29, 28, 42, 34, 38], [53, 33, 32, 40, 36, 37, 39, 46, 43, 47], [41, 59, 44, 48, 49, 50, 45, 54, 55, 51, 52, 58], [60, 57], [56]]
81: [[35, 7, 1, 2], [3, 4, 13, 5, 15, 6, 14, 8, 11], [9, 12, 10, 17, 28, 18, 19, 21, 20, 16, 22, 24, 25, 30], [27, 26], [23, 29, 31, 40, 36, 38, 37, 34, 32, 33, 46, 39, 42, 47, 44], [41, 45, 48, 55, 51, 49, 43, 53, 52, 60, 54, 50, 58, 56, 57, 59]]
82: [[35, 7, 1, 2], [3, 4], [13, 21, 6, 30, 24, 15], [11, 5, 28, 8], [10, 23, 9, 22, 19], [12, 14, 17, 16], [26, 27, 18, 20, 25, 29, 31, 45, 32, 37, 47, 33, 42, 34, 39, 38, 36, 41, 40, 43, 44, 55, 58, 56, 57, 50, 46, 48, 53, 52, 49, 51, 54, 59, 60]]
83: [[35, 7, 1, 2], [3, 4, 13, 21, 12, 11, 19, 6, 9, 14], [25, 26], [5, 23, 8, 10, 18, 17], [16, 15, 20, 22], [31, 24, 28, 27, 30], [29, 36, 33, 32, 45, 34, 40, 38, 47, 37, 42, 39, 46, 41, 43, 48, 54, 44, 49, 53, 50, 55], [52, 56, 51], [59, 57, 58, 60]]
84: [[35, 7, 1, 2], [3, 4, 13, 5, 10, 25, 31, 9, 11, 14, 15, 6, 12, 8, 20, 18, 29], [17, 21, 19, 16, 23, 22, 24, 28, 27, 26, 30, 36, 33, 32, 37, 38, 34, 40, 39, 42, 43, 41, 44, 47, 46, 52, 45, 48, 57, 49, 54, 53, 50, 51, 58, 55, 56, 59, 60]]
85: [[35, 7, 1, 2, 3, 4, 13, 21, 14, 5, 9, 6, 8], [11, 10, 25, 22, 29, 12, 19, 18, 15, 20, 31, 16, 26, 24, 23, 17], [27, 28, 30, 40, 33, 36, 32, 37], [41, 34, 39, 38, 43, 46], [42, 47, 45, 44, 49, 50, 51, 53, 48, 60, 52, 55, 54, 59, 56, 57, 58]]
86: [[35, 7, 1, 2], [3, 4, 13, 5, 27, 30, 6, 9, 15], [14, 19, 8, 12, 10, 11, 17, 18, 25, 16, 23, 20, 22, 21], [26, 24, 29], [28, 31, 44, 40], [33, 37, 32, 34, 46, 42, 36, 39, 43, 38, 47], [45, 60, 58, 50, 49, 41, 54, 53, 57, 48, 52, 51, 55, 56, 59]]
87: [[35, 7], [1, 2, 3, 4, 13, 21, 6, 10, 25, 5, 9, 8, 11, 30, 22, 18, 24, 12], [27, 20, 14, 15, 16, 19, 17, 26, 29, 23, 31, 28, 36, 33, 34, 37, 38, 42, 45, 32, 39, 40, 43, 41, 44], [47, 46, 49, 50, 48, 55, 52, 53, 56, 51, 54, 57, 59, 58, 60]]
88: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 22], [8, 6, 15, 9], [11, 14, 10, 19, 16, 28], [31, 17, 18], [20, 12, 23, 25, 30], [27, 26, 24, 29, 45, 32], [34, 40, 33, 42], [38, 39, 36, 44, 37], [43, 41, 47], [46, 50, 49, 51], [55, 52, 54, 53, 48, 58, 56, 57], [59, 60]]
89: [[35, 7, 1, 2], [3, 4, 13, 21], [6, 9, 31, 14, 8], [15, 25, 10, 20, 11], [12, 22, 26, 17, 5, 23, 18, 19], [16, 24, 29, 28], [27, 30, 36, 33, 37, 34, 41], [32, 38, 39, 40, 42, 46, 43, 45, 44, 52, 53, 47, 50, 48, 49, 57, 51, 54, 56, 58, 59, 55, 60]]
90: [[35, 7, 1, 2], [3, 4, 13, 5, 6], [11, 29, 8, 9, 12, 24, 15, 10, 27, 22], [17, 14, 18, 16, 21, 23, 19, 20, 26], [25, 28, 31, 30], [44, 40, 32, 45], [33, 36, 38, 34, 37, 46, 43, 41, 39, 42, 56, 50, 52, 48, 47, 51, 55, 49, 57, 54, 58, 53, 59, 60]]
91: [[35, 7, 1, 2, 3], [4, 13], [21, 5, 6], [22, 10, 9, 15, 28, 27, 19, 18, 8, 17, 11, 29, 12], [24, 14, 16, 30, 23, 31, 20, 26, 25, 36, 33, 39], [34], [32, 40, 38, 41], [37, 42, 43, 46, 45, 44, 47, 50, 58], [52, 51, 54, 49, 56, 53, 55], [59, 48, 57, 60]]
92: [[35, 7, 1, 2, 3, 4, 13, 21, 6, 5], [9, 10, 8, 14, 25, 11, 12, 26, 15, 17, 20, 18, 24], [16, 22, 28, 27, 30, 29, 19, 23, 31, 32, 34, 44, 37, 33], [38, 42, 45, 36, 47, 43, 40], [39, 41, 50, 48, 49], [46, 60, 54, 51, 52, 55, 53, 57, 59, 58, 56]]
93: [[35, 7, 1, 2, 3, 4, 13, 5, 23, 6, 20, 10, 9, 24, 8, 14, 11, 22, 30, 28, 12, 29, 15, 16, 17, 18, 19, 21, 27, 26, 25], [31, 44, 46, 36, 32, 33, 38, 39, 34, 37, 42, 43, 47, 40], [41, 45, 48, 57, 58, 49, 50, 53, 52, 54, 51, 59, 56, 55, 60]]
94: [[35, 7, 1, 2], [3, 4, 13], [21, 8, 15, 5, 14, 6, 11], [10, 12, 16, 9], [28, 22, 19, 18, 20], [25, 24, 23, 27, 26], [17, 31, 30, 29, 40, 32, 34, 33], [37, 36, 46, 38], [47, 43, 41, 39, 42], [45, 44, 49, 48, 54, 51, 52, 53, 55], [50, 57, 58, 59, 56, 60]]
95: [[35, 7, 1, 2], [3, 4, 13, 5], [12, 14, 21, 10, 9, 8, 11, 27, 20, 6, 15], [31, 19, 16, 18, 17, 22, 29, 23, 26], [24, 25], [30, 28, 45, 33, 52, 32, 34, 39, 47, 36, 40], [44, 43, 37, 38, 41, 42, 54, 60, 58, 46, 48, 57, 49, 53, 55, 50, 56, 51, 59]]
96: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 6, 27, 8, 11, 14, 10, 9, 12, 24, 20], [17, 18, 30, 16], [15, 22], [19, 23, 26, 29, 25, 28, 31, 32], [33, 34, 39, 38, 37, 36, 41, 40, 42, 47, 46, 43, 44, 45, 51, 56, 49, 48, 52, 50, 53, 54, 59, 55, 57, 60, 58]]
97: [[35, 7, 1, 2], [3, 4, 13, 5], [8, 14, 10, 6, 9, 15, 11, 16, 17, 12, 20, 18, 30, 23, 25], [24, 28, 19, 26, 22, 27, 31, 21, 29, 32, 41, 36, 34, 33, 38, 37, 45, 42, 46, 43, 39, 40, 47, 55, 44, 49, 48, 51, 53, 54, 50, 52, 57, 56, 60, 59, 58]]
98: [[35, 7, 1, 2], [3, 4, 13, 21], [5, 27, 22, 9], [11, 12, 6, 8, 10, 14, 16, 15], [28, 18, 17, 20], [23, 19, 29, 24, 25, 26, 31, 30, 36, 38, 37, 33], [32, 41, 39, 34, 40, 44, 45, 43, 47, 46, 53, 50, 56, 57, 49, 42, 48, 51, 52, 54, 58, 55, 59, 60]]
99: [[35, 7, 1, 2, 3], [4, 13, 21, 5], [6, 14, 12], [8, 10, 15], [9, 11, 17, 22, 16, 18], [19, 20, 24, 23, 25], [30, 26, 28, 27, 31, 29, 37], [33, 32, 41, 36, 34, 46, 45, 39, 38, 42, 40, 43, 49, 44, 50, 47, 51, 52, 48, 54, 55, 57, 53, 59, 56, 58, 60]]
100: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 6, 28, 8], [9, 15, 25, 10], [14, 18, 11, 17, 12], [16, 19], [30, 20, 24, 22, 29], [23, 27, 26, 31, 46, 32], [37, 41, 34, 40], [38, 33, 36, 44, 39], [42, 43, 47, 57], [50, 48, 49, 54, 55, 51, 53, 60, 56, 45, 59, 52, 58]]
101: [[35, 7, 1, 2, 3, 4, 13, 5, 9, 6, 25, 8], [10, 14, 12, 11, 18, 15, 28, 16, 19, 17, 27, 21, 22, 24, 26, 29, 20, 23, 31], [30], [36, 34, 39, 38, 32, 40, 41, 37, 33, 47, 44, 46, 42, 43, 45, 50, 49, 60, 51, 48, 53, 52, 54, 58, 55, 57, 59, 56]]
102: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 23, 9, 8, 12], [6, 11, 15, 10], [18, 22, 19, 29, 17, 30, 14], [16, 20, 24, 28], [27, 26, 31, 25, 42, 33, 32, 37, 36], [34, 38], [41, 40, 39, 43, 44, 45, 46, 47, 59, 49, 57, 51, 50, 52, 48, 53, 54, 55, 58, 56, 60]]
103: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 12], [26, 6, 8, 14, 9, 10], [22], [11, 30, 15, 17], [16, 20, 18, 24, 19, 25, 31], [29, 23, 27, 28, 44, 32, 33, 37, 34, 36, 38, 39, 47, 45, 41, 40, 42, 43, 46, 50, 49, 52, 57, 53, 48, 55, 58, 54, 51, 59, 56, 60]]
104: [[35, 7, 1, 2], [3, 4], [13, 5, 21, 15, 28, 8], [9, 10, 22, 11], [12, 23, 6, 14, 16, 17, 20, 18, 27, 19, 25], [26, 24, 29, 30, 31, 44, 40, 33, 39, 32, 36, 47, 38, 37, 34, 41, 46, 43, 42, 45, 50, 52, 48, 49, 55, 53, 56, 57, 54, 51, 59, 58, 60]]
105: [[35, 7, 1, 2, 3, 4, 13, 21, 5, 14, 25, 6], [8, 15, 9, 11, 10], [31, 20, 18, 12], [16, 24, 19, 23, 17, 22, 26, 30, 27, 29], [28, 32, 38, 34, 37, 33, 41, 39, 36, 42, 43, 46, 45, 40], [47, 44, 51, 48, 49, 52, 53, 56, 50, 54, 55, 57, 58, 60, 59]]
106: [[35, 7, 1, 2, 3], [4, 13, 21, 5, 6, 15], [9, 8, 10, 14, 25], [11, 12, 18, 20], [16, 27, 24], [17, 19, 22], [23, 26, 28, 30, 29, 31], [40, 37, 42, 32, 33], [38, 45, 36, 39, 44, 34, 41], [43, 60, 47, 58, 46, 52, 48, 50, 56, 49, 51, 53, 55, 54, 59, 57]]
107: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 15, 29, 14], [11, 6, 24, 10], [8, 19, 26, 22, 23], [9, 16], [12, 20, 18, 17, 25, 30], [27, 31, 28, 36, 32, 33, 43, 34, 40, 38, 39, 37, 45, 47, 46, 41, 50, 42, 48, 51, 53, 44, 54, 49, 52, 55, 58, 57, 60, 59, 56]]
108: [[35, 7, 1, 2], [3, 4, 13], [21, 5, 6, 24, 14, 9], [15, 8, 10, 11], [27, 12, 22, 30, 18], [16, 23], [25, 19, 17, 20, 26], [28, 29, 31, 44, 32, 34], [41, 46, 40, 38], [33, 39, 36, 37, 42], [43, 47, 45, 48, 57], [50, 49], [55, 54], [53, 51, 60, 59, 52, 58, 56]]
109: [[35, 7], [1, 2, 3, 4], [13, 21, 6, 8, 11, 5], [15], [14, 9, 30, 10, 27, 12, 22, 18, 20, 23, 16, 17, 19], [25, 31, 24, 28, 29, 26, 40, 34, 41, 32, 38, 37, 36, 44, 33, 39], [46, 43, 42, 45, 59, 51, 50, 52], [56, 53, 47, 49, 48, 54], [55, 58, 57, 60]]
110: [[35, 7, 1, 2, 3, 4, 13, 5, 9], [11, 8, 14, 25, 12, 20, 15, 30, 22, 17, 19], [23, 27, 16, 26, 28, 24, 29, 31, 32, 33, 36, 34, 18, 10, 21, 6], [39, 37, 47, 43, 40, 38, 42, 46, 41, 49, 50, 48, 53, 51], [44, 54, 45, 57, 55, 52, 58], [59, 56, 60]]
111: [[35, 7, 1, 2, 3, 4, 13, 21, 6, 5], [9, 10, 8, 11], [12, 15, 14, 25, 28, 18, 17, 16, 19, 20, 24, 23, 26], [22, 29, 31, 27, 30, 32, 34, 38, 33], [37, 36, 47, 43], [41, 39, 42, 45, 40], [46, 44, 49, 55, 50, 51, 52, 48, 56], [53, 54, 60, 59, 57, 58]]
112: [[35, 7, 1, 2, 3, 4, 13, 5, 12, 10, 9, 8, 14, 11, 15, 16, 25, 6], [31, 21, 17, 28, 19, 22, 18, 24, 23, 20], [26, 27, 29, 30, 40, 34, 39, 36, 33, 32, 37, 41, 42, 46, 45, 43, 44, 38, 47, 51, 53, 50, 52, 48, 49, 54, 58, 55, 59, 57, 60, 56]]
113: [[35, 7, 1, 2], [3, 4, 13, 5, 8, 12, 6, 10], [11, 14, 31, 18, 9, 20], [22, 16, 15, 17, 19, 21], [23, 25, 27, 28, 24], [29, 26, 30, 36, 42, 32], [39, 34, 33, 37, 47, 46, 44], [41, 43, 40, 45, 54, 50, 52, 48, 57, 38, 51, 49, 55, 53, 58, 59, 56, 60]]
114: [[35, 7, 1, 2], [3, 4, 13, 21, 9, 15, 12, 5, 6], [8, 11, 27, 10], [14, 30, 19], [23, 16, 17, 22], [20, 24, 28, 18, 26, 25, 29, 31, 36, 34, 32, 38], [39, 37, 33, 42, 40, 45], [43, 47, 41, 44, 46], [50, 49, 48, 56, 51, 55], [52, 54, 53, 57, 59, 60, 58]]
115: [[35, 7, 1, 2, 3, 4, 13, 21, 15, 8, 30, 9, 14, 5, 6, 26, 12, 10, 22], [11, 23, 16, 17, 18, 24, 19, 27, 20, 25, 29, 31, 28, 44, 34, 32, 36], [37, 38, 33, 43, 41, 39, 40, 42, 45, 46, 47, 51, 52, 58, 55, 54, 49, 53, 48, 57, 59, 56, 50, 60]]
116: [[35, 7, 1, 2], [3, 4, 13, 21, 5], [14, 30, 11, 10], [6, 12, 9, 8, 15, 19, 16, 27], [20, 17, 18, 24], [23, 22, 25, 29], [26, 28, 31, 40, 36, 37, 33, 32, 34, 39, 44, 38, 41, 47, 42, 43, 45, 46, 49, 55, 50, 48], [52, 51, 53, 57, 54, 56, 59], [58, 60]]
117: [[35, 7, 1, 2, 3], [4, 13, 5, 8, 10], [6, 9, 11, 12, 24, 14, 15, 19, 22, 27], [18, 17, 16, 20, 21, 23, 29, 26, 31], [30, 25, 28, 36, 40, 32, 44, 33, 34, 38, 39, 45], [41, 43, 42], [47, 46, 50, 51], [52, 57, 53, 54, 37], [48, 56, 49], [55, 60, 58, 59]]
118: [[35, 7, 1], [2, 3, 4, 13], [21, 5, 6, 28, 10, 11, 9, 8], [12, 26], [17, 14, 20, 15, 16, 18, 23, 19, 22, 24, 30, 25, 27, 29, 31, 37, 32, 33, 38, 34, 36, 43, 44, 39, 45, 46, 41, 40, 42, 47, 58, 48, 49, 53, 54, 55, 51, 52, 50, 56, 57, 60, 59]]
119: [[35, 7, 1, 2], [3, 4, 13], [5, 6, 11, 20, 8, 9], [12, 25, 14, 18, 23, 16, 15, 27], [19, 17, 10, 21, 22, 24], [26, 29, 28, 30, 31, 44, 33, 36, 38], [32, 37, 39, 40, 42, 34, 41, 43, 45, 47, 46, 50, 49, 48, 53, 52, 54, 55, 51, 58, 60, 57, 59, 56]]
120: [[35, 7, 1, 2], [3, 4, 13, 5, 25, 9, 6, 10], [27, 8, 18, 11, 16, 19, 12], [14, 15, 31, 17, 23], [22, 24, 20, 26, 29, 21, 28, 30, 36, 44], [33, 37, 32, 34, 39, 38, 47, 40, 43], [46, 42, 41], [48, 50, 60, 49], [45, 51, 55, 58, 52, 53, 54, 59, 56, 57]]
121: [[35, 7, 1, 2], [3, 4, 13, 5], [21, 31], [9], [23, 11, 8, 6, 12, 14, 10, 22, 16], [15, 20], [17, 24, 18, 19, 27, 28, 25, 26, 30, 29, 36, 34], [52, 32, 45, 43, 37, 39, 33, 42, 38], [40, 46, 41, 44, 50, 53, 57, 48, 54], [55, 49, 47, 51, 58, 56, 59, 60]]
