0: [[11, 35, 5, 7, 2, 1, 14], [12, 9, 4, 3, 8, 24], [13, 19, 21, 6], [23, 15, 16, 22, 29, 17, 18, 10], [27, 25], [26, 20, 31, 28, 30, 33, 32, 34, 38], [36, 43, 45, 39, 42, 37, 47], [40, 41, 46, 53, 44, 51, 55], [57, 49], [50, 54, 52, 48, 56, 58, 60, 59]]
74: [[11, 35, 5, 7, 2, 1, 14], [12, 9, 4, 3, 6, 17, 8], [31, 10, 13, 23, 19, 21], [18, 15, 27, 20, 22, 26, 28, 16, 29, 24, 25, 30, 37, 36, 33, 32, 34], [39], [38, 43, 42, 40, 44, 46, 41, 45, 54, 50, 51, 58, 56, 47, 53, 55, 49, 48, 52], [60, 59, 57]]
75: [[11, 35, 5, 7, 2], [1, 14, 3, 4], [8, 24, 12, 26, 9, 6, 10, 13], [15, 19], [17, 16, 20, 21, 18, 30, 22, 23, 25], [27, 31, 28, 29, 33, 32, 38], [39, 34, 47, 36, 43, 37, 45], [41, 44, 40], [42, 46, 50, 51, 52, 57, 48, 49], [55, 53, 54, 56, 59, 58, 60]]
76: [[11, 35, 5, 7, 2, 1, 14], [12, 9, 6, 3, 8, 25, 13], [30, 4, 16, 15, 19, 20, 23, 17, 29], [10, 18, 26, 28, 22, 27, 21], [24, 31, 37, 33, 36, 32, 34, 41, 39, 43, 42, 38, 44], [47, 45, 40, 53, 51, 52, 48, 56, 46, 49, 55, 50, 54, 58, 60, 57, 59]]
77: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 9, 8, 6, 29, 4], [19, 10, 20], [21, 15, 13, 22, 16, 17, 23, 27, 24, 18, 28, 25, 31, 30, 26, 37, 32, 33, 38, 34, 46, 41, 36, 42, 47, 44, 39, 40, 43, 52, 51, 45, 49, 56, 48, 55, 50, 53, 54, 58, 59, 57, 60]]
78: [[11, 35, 5, 7, 2, 1], [14, 4, 3, 6, 9, 8, 30, 28, 29, 21, 15, 13, 10, 16, 12, 19, 17, 18, 20, 27, 25, 22, 26, 24, 23, 31], [49, 42, 38, 33, 39, 32], [46, 34], [36, 41], [37, 40, 44, 43, 54, 47, 51, 55], [56, 48, 45, 52, 53, 60, 57, 59, 58, 50]]
79: [[11, 35, 5, 7, 2, 1, 14], [3, 4, 9, 10, 12, 28, 31, 15, 6, 17, 8], [13, 20, 19, 22, 16, 18], [24, 21, 26, 23, 25, 29, 27, 30, 33, 32, 39, 37, 38, 41, 34], [40, 42, 36, 45, 46, 43, 44, 55, 49, 51, 47, 57, 53, 48, 54, 50, 58, 56, 52, 59, 60]]
80: [[11, 35, 5, 7, 2, 1, 14, 12], [3, 8, 6, 15, 13, 4, 21], [25, 18], [9, 10, 19, 30, 28, 24], [20, 17, 22, 23, 16, 26, 29, 27, 31], [37, 32, 39, 38, 40], [42, 34, 36, 33, 41, 43, 45, 44, 46, 55], [58, 50, 47, 56, 49, 51, 54, 52, 48, 57, 53, 59, 60]]
81: [[11, 35, 5, 7, 2, 1, 14, 12], [3, 8, 6, 15, 13, 4, 21], [25, 18], [9, 10, 19, 30, 28, 24], [20, 17, 22, 23, 16, 26, 29, 27, 31], [37, 32, 39, 38, 40], [42, 34, 36, 33, 41, 43, 45, 44, 46, 55], [58, 50, 47, 56, 49, 51, 54, 52, 48, 57, 53, 59, 60]]
82: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 9, 8, 4, 28, 6], [10, 13, 20, 23, 15, 21, 18], [22, 17, 16, 26, 25, 19, 30, 24, 31, 29, 27, 33], [32, 39, 38, 34, 46, 36, 43, 37, 47], [44, 42, 45, 40, 52, 51, 54, 49, 56, 41, 50, 48], [53, 57, 58, 55, 59, 60]]
83: [[11, 35, 5, 7, 2, 1], [14, 3, 9, 4, 8], [27, 17], [13, 20, 10, 16, 12], [6, 22, 19, 15, 18, 21, 25, 28, 23, 24, 29, 30, 26, 31, 34, 32, 37, 38, 33, 41, 39, 36, 43, 42, 40, 45, 44, 46, 47, 48, 51, 55, 57, 49, 50, 53, 52, 60, 56, 54, 59, 58]]
84: [[11, 35, 5, 7, 2, 1, 14, 6], [3, 8, 4, 9, 24, 10, 19], [21, 12, 31, 13, 17, 18, 29, 15, 20, 26, 23, 22, 25, 27, 16, 28, 30, 33, 32], [36, 39, 34, 41, 37, 43, 38, 40, 47, 46, 44, 42, 53, 45, 51, 48, 57, 49, 50, 54, 55, 52, 56, 58, 59, 60]]
85: [[11, 35, 5, 7, 2, 1], [14, 12, 6, 4, 3, 9], [24, 15, 10, 8, 26, 29, 18], [17, 13, 16, 20, 22, 23, 30], [19, 31, 21, 25, 28, 27, 33], [32, 39], [38, 34], [47, 45, 36, 37, 42, 44, 40], [41, 43, 46, 50, 51, 48, 57, 49, 52, 54, 53, 55, 56, 60, 58, 59]]
86: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 6, 9, 8, 31, 10, 23, 28, 15, 12, 13, 16, 30, 17, 19], [18, 21, 22, 26, 20, 27, 24, 25, 29, 33, 34, 36, 32, 39, 43], [37], [38, 41, 42, 46, 45, 40, 44, 47, 48, 51, 53, 56, 49, 50, 54, 52, 55, 57, 58, 60, 59]]
87: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 4, 9, 6, 28], [10, 18, 25, 8], [15], [21, 19, 16, 13, 17, 22, 20, 31], [23, 24, 26, 29, 27, 30], [37, 34, 32, 33, 38, 39, 44, 36, 40, 45, 47, 46, 41, 43, 52, 42, 55, 49, 48, 51, 54, 50, 57, 53, 58, 56, 59, 60]]
88: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 4, 9, 6], [24, 8, 19, 10, 17, 13, 18, 20], [16, 21, 15, 22, 23, 27, 25, 26, 28, 31, 30, 29, 37, 32, 36, 34, 33, 41, 45, 39, 42, 43, 47, 38, 40, 46, 53, 60, 51, 55, 57, 49, 50, 44, 52, 58, 56, 54, 48, 59]]
89: [[11], [35, 5, 7], [2, 1], [14, 12, 3, 4, 6, 8, 31, 13, 15, 10, 9, 21, 16, 18, 20, 29, 27, 19, 23, 22, 17, 26, 24, 25, 28, 30, 33, 32, 36, 38, 34, 45, 44], [39, 37, 40, 41, 42, 43, 46], [55, 47, 49, 54, 57, 48, 53, 56, 50, 52, 60, 51, 58, 59]]
90: [[11, 35, 5, 7, 2, 1, 14, 4, 3, 9, 8, 10, 15, 30, 25, 13, 19, 12, 28, 18, 6, 16, 17, 20, 24, 22, 26, 23, 27, 21, 29, 31, 33, 34, 38, 36, 32, 47, 45, 41, 42, 37], [43], [44, 40, 46, 39, 48, 53, 49, 57], [55, 50, 51, 52, 54, 56], [59, 58, 60]]
91: [[11, 35, 5, 7, 2, 1, 14, 4], [3, 9, 8, 12, 28], [13, 15, 10, 18, 23, 6, 20, 30, 22, 19], [21, 25, 31, 16, 24, 17, 26, 27, 29, 33, 32, 36, 38], [34, 41, 39, 44, 37, 40, 42, 43, 45, 46, 52, 49, 50, 55, 56, 47, 51, 48, 54, 58, 57, 53, 59, 60]]
92: [[11, 35, 5, 7, 2], [1, 14, 12, 3, 6, 4, 9], [24, 8, 31, 10, 15, 13], [19, 20, 18, 16, 26, 21, 17, 22, 23], [28, 25, 30, 27, 29, 37, 34, 33, 32, 36, 39, 38, 41, 43, 45, 42, 46, 44, 40, 47, 50, 48, 49, 57, 52, 51, 54, 55, 53, 56, 59, 58, 60]]
93: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 8, 9, 6, 16, 10, 12, 26, 17, 31, 15, 18, 22, 13, 20, 25], [19, 30], [23, 29], [27, 21, 24, 28, 33, 40, 38, 36], [34, 43, 41, 32, 37, 39, 42, 44, 48], [45, 46, 54, 51, 49, 57, 47, 50, 52, 53, 55, 56, 59, 58, 60]]
94: [[11, 35, 5, 7], [2, 1, 14, 12, 3, 9, 8, 10, 28, 13, 23, 4, 30, 6, 15, 18, 19, 20, 16, 21, 26, 17, 22, 24, 29, 25, 31, 27, 37, 32, 36, 38, 33, 41, 46, 43, 42, 40, 44, 34, 39, 47, 45, 48, 51, 55, 57, 50, 53, 52, 49, 54, 60], [56, 59, 58]]
95: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 9, 6, 8, 10, 13, 23, 26, 28, 12, 16, 17, 19, 15, 20], [21], [24, 25, 29, 18], [22, 30, 27, 31, 33, 32, 36, 38, 34, 43, 39, 45, 37, 46, 40, 42, 54, 47], [44, 48, 52, 49, 56, 41, 53, 50, 55, 51, 59, 57, 58, 60]]
96: [[11, 35, 5, 7, 2, 1], [14, 12, 3, 9, 4, 6, 29, 8], [13, 15, 17, 10, 23, 18, 22], [16, 19, 21, 20, 25, 26, 24], [27, 28, 30, 31, 37, 40, 39, 32], [33, 34, 46, 47, 36, 41, 44, 38, 45, 42, 56, 49, 51, 50, 43, 48, 55, 52, 53, 59, 57, 54, 58, 60]]
97: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 9, 8, 26, 15, 29, 6, 18, 10], [12, 16, 19, 13, 22, 17], [21, 24, 27, 23], [30, 20, 25, 31], [28, 33, 32, 36, 38, 34, 41, 39], [37, 40, 44, 43, 42], [46, 45], [52, 50, 51, 47, 56, 48, 54, 49, 53, 58, 55, 57, 59, 60]]
98: [[11, 35, 5, 7, 2, 1], [12, 13, 3, 4, 8, 6], [19, 9, 22, 10, 18, 14], [15, 21, 16, 20, 17, 24], [25, 30, 23, 31, 28], [29, 26, 27, 37, 32, 33], [39, 34, 38, 36, 41, 42, 43], [44, 46, 47, 45, 40, 50, 49], [54, 57], [51, 48], [53, 55, 52, 56, 60, 58, 59]]
99: [[11, 35, 5, 7, 2, 1, 14, 12, 6, 4, 3, 8, 24, 15, 13, 9, 10, 16, 23, 18, 20, 21, 27, 19, 17, 22, 25, 26, 30, 29, 28, 31, 33], [32, 34, 36, 38, 41, 44, 39], [37, 46, 40, 42, 45, 47, 53, 43, 49, 54, 57, 48, 50, 51], [52, 59, 56, 55, 58, 60]]
100: [[11, 35, 5, 7, 2, 1, 14, 4], [3, 15, 8, 24, 19], [12, 13, 9, 22, 18, 20, 10, 21, 6], [16, 23, 17, 31, 26, 25], [29, 28, 30, 27, 33, 36, 34, 32, 38, 40, 41, 43, 37, 39, 45, 46, 42, 44, 54, 49, 51, 48, 47, 55, 50, 52, 53, 58, 56, 60, 57, 59]]
101: [[11, 35, 5], [7, 2, 1, 14, 12, 3, 4, 9, 6, 17, 8, 10, 15, 29, 23, 20, 18, 13, 19, 28, 22, 16, 25, 24, 21, 27, 26, 31, 30, 37, 34, 38, 32, 36, 43, 45, 33, 42, 44, 47, 39, 40, 41, 52, 50, 46, 49, 56, 51, 48, 54, 55, 53, 57], [59, 60, 58]]
102: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 8, 9, 6, 17, 10, 12, 31, 22, 28, 16, 18, 13], [15, 21, 20, 19, 23, 24, 25], [27, 26, 29, 30, 33, 40, 32], [36, 34, 43, 41, 37, 38, 45], [39, 42, 44, 46, 54, 50], [48, 49, 56, 53, 47, 52, 51], [59, 55, 57, 58, 60]]
103: [[11, 35], [5, 7, 2, 1, 14, 12, 3, 6], [4, 8, 31, 15, 26], [13, 9, 16, 30, 17, 19, 25, 20, 22, 23, 18, 24, 27, 28, 29, 33, 34, 36, 32, 38, 43, 46, 39, 37, 42, 44, 45, 47, 40, 41, 49, 51, 54, 57, 48, 53, 50, 55, 52, 56, 58, 60, 59, 10, 21]]
104: [[11, 35, 5, 7, 2], [1, 14, 3, 4, 8, 24], [6, 19, 12, 9, 29, 13, 10], [15, 26, 20, 21, 17], [23, 16, 25, 22, 31, 27], [18, 28, 30, 33, 32, 36, 37], [34, 43, 38, 45, 39, 42, 44], [46, 41, 52, 40, 50, 51, 47], [56, 49], [48, 53], [54, 59, 55, 60, 58, 57]]
105: [[11, 35, 5, 7, 2, 1, 14, 3, 4, 9, 8], [6, 10, 15, 13, 30, 29], [12, 17, 16, 18, 23, 21, 22, 24, 25, 28, 19, 20, 26, 27, 36], [33, 31, 39, 37, 46, 32, 34, 38, 42, 44, 43, 40, 54, 41, 52, 49, 50, 48, 56, 53, 45, 55, 47, 51, 59, 57, 58, 60]]
106: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 6, 8, 4, 28], [13, 10, 9, 25], [15, 16, 18, 20, 19, 26, 17, 24], [22, 21], [30, 23, 27, 29, 31, 37, 32, 33, 34, 36, 42, 40, 43, 44], [39, 45, 38, 41, 46, 47, 48, 50, 52, 57, 49, 54, 51, 53, 55, 59, 60, 58, 56]]
107: [[11], [35, 5, 7, 2, 1, 14, 12, 6, 3, 10, 9, 24, 15, 4, 8, 13, 21, 19, 18, 20, 26, 27, 25, 17, 22, 23, 28, 30, 16, 31, 29, 33, 32, 36, 38, 34, 43, 41], [39, 37], [40, 42], [46, 45, 44, 53, 54, 47, 48, 57], [49, 52, 51, 50, 58, 56, 55, 60, 59]]
108: [[11, 35, 5, 7, 2, 1, 14], [15, 8, 6, 4, 12, 24], [13, 19, 27, 25, 16, 20, 10], [22, 29], [9, 18, 17, 3, 23, 26, 31, 21], [28, 30, 33, 32, 34, 36, 37, 43, 38, 39, 42, 40, 46, 47, 41, 44, 49, 45, 51, 55, 57, 48, 52, 54, 53, 50, 60, 58, 56, 59]]
109: [[11, 35, 5, 7, 2, 1, 14], [4, 6, 8, 3, 9, 26, 10, 12], [13, 19, 31, 16, 15, 22, 17], [21, 24, 25, 18, 20, 28, 23], [27, 29, 30, 33, 40, 36, 32], [34], [43, 41, 37, 39, 38, 42, 44, 45], [46, 54, 50, 51, 48, 57], [55, 47, 49, 52, 53], [59, 58, 56, 60]]
110: [[11, 35, 5, 7, 2], [1, 14, 12, 4, 6], [3, 8, 24, 13, 19, 21, 15, 9, 10], [16, 18, 29, 17, 22, 26, 25, 20], [23, 27, 31, 28, 30, 33, 32, 34, 37, 36, 39, 47, 38, 42, 40, 43, 41, 44, 46, 53, 45, 51, 55, 49, 50, 52, 54, 48, 56, 58, 60, 57, 59]]
111: [[11, 35, 5, 7, 2, 1, 15, 4], [3], [6, 24, 8], [26, 9, 13, 14, 10, 12, 17, 18], [19, 20, 23, 16, 22, 27, 21, 25, 28, 31, 29, 30, 32, 33, 38, 34, 37, 43, 36, 39, 40, 42, 41, 44, 45, 47, 52, 51, 48, 53, 57, 49, 46, 50, 54, 55, 56, 60, 58, 59]]
112: [[11, 35, 5, 7], [2, 1, 14, 6, 9, 4, 3, 8], [24, 15], [16, 20, 10, 23, 12, 13, 17, 29], [21, 18, 22, 30, 19, 27, 25, 31, 28], [26, 33, 34, 32, 36, 37, 43, 45, 39, 40, 41, 47, 38, 42, 44, 55], [46, 51, 49, 57, 52, 50, 53, 54, 48, 56, 59, 60, 58]]
113: [[11, 35, 5, 7, 2, 1, 14, 12], [3, 9, 6, 8, 29, 10, 19], [25, 13, 4, 15, 16, 30, 17], [21, 20, 18, 27, 22, 31, 26], [23, 24, 28, 33, 40, 34, 39, 38, 44, 32], [36, 46, 37, 47, 42, 41, 43, 52, 51, 50, 45, 57, 55, 49, 48, 54, 53, 59, 58, 56, 60]]
114: [[11, 35, 5, 7], [2, 1, 14, 4, 3, 13, 8, 6, 28, 9], [10, 19, 15, 23, 12, 18, 20], [22, 17, 16, 21, 25, 27, 30, 24, 26, 29, 31, 33], [32, 38, 34, 36, 39, 42, 43, 37, 45], [47, 54, 44, 40, 48, 46, 51, 49, 56, 41, 50, 53], [52, 58, 57, 55, 59, 60]]
115: [[11, 35, 5, 7, 2, 1, 3, 12, 6, 8], [9, 4, 28, 31, 17, 14, 19], [13, 15, 22, 16, 29, 10, 18, 20], [21, 30], [24, 23, 25, 26, 34, 37, 38, 27, 39, 36, 32, 44, 41, 40], [33, 45, 42, 43, 46, 53, 49, 51, 50, 57, 47, 48, 54, 55, 52, 59, 56, 58, 60]]
116: [[11, 35, 5, 7, 2, 1, 14], [12, 4, 8, 3, 6, 24], [15, 16, 9, 25], [29, 19, 10, 13, 17, 20, 18, 26], [21, 22, 23, 28, 27, 30, 31, 32, 37, 33], [36, 34, 47, 39, 38, 40, 41, 46, 42, 43, 44, 53, 45, 51, 50, 57], [55, 48, 54, 49, 52, 59, 58, 56, 60]]
117: [[11, 35, 5, 7, 2, 1, 12], [15, 4, 6, 8, 24, 19], [3, 9, 29, 13, 10], [14, 17, 16, 21, 20, 22], [18, 25, 23, 28, 26, 27, 31], [30, 33, 36, 39, 32, 34, 47], [40, 43, 38, 37, 44, 46, 41], [42, 52], [50, 51], [45, 56, 49, 48, 53, 54, 58], [55, 60, 57, 59]]
118: [[11, 35, 5, 7, 2, 1, 14], [4, 9, 3, 8, 6, 24, 10, 19, 18, 17, 12, 23, 16, 22, 13, 28], [29], [20], [30, 15, 21, 26, 27, 25], [31, 37, 34], [33, 39, 32, 43, 46], [42, 36, 38, 47, 45, 41, 40, 52, 51, 44, 54, 57, 49, 50, 48, 55, 53, 56, 59, 58, 60]]
119: [[11, 35, 5, 7, 2, 1, 12, 4], [3], [6, 8], [9, 26, 24, 21, 14, 10], [15, 13, 19, 20, 22], [18], [16, 17, 27, 23, 30, 28, 31, 29, 25], [33, 34, 36, 32, 37], [47, 39, 38, 42, 44, 40, 41, 43, 45, 53, 51, 48, 49, 57, 46, 52], [50, 55, 54, 59, 60, 56, 58]]
120: [[11, 35, 5, 7, 2], [1, 14, 4, 3, 9, 12, 10], [8, 15, 13, 31, 29, 18, 6, 26, 19], [20, 23], [21, 24, 22, 28], [16, 25, 30, 27, 37, 33, 38, 36, 34, 42, 32], [17, 39, 40, 44, 41, 46], [54, 43, 55, 51, 53, 47, 57], [52, 45, 48, 50, 49, 56, 58, 59, 60]]
121: [[11, 35], [5, 7, 2, 14, 3, 12, 8, 4], [1, 9, 24, 25, 6, 18, 17, 10, 13], [22, 15, 29, 27, 16, 19, 21, 31, 20, 23, 26, 28, 30, 33, 34, 32], [38, 36, 37, 44, 41, 42, 39, 43, 47, 45, 46, 55, 48, 51, 49, 57, 40, 54, 53, 50, 52, 56, 59, 58, 60]]
