0: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [9, 6], [41, 15, 14], [25, 18, 13, 23], [19, 17, 21], [26, 16, 11, 30], [20, 29, 27], [28, 31, 63], [36, 33, 37, 34], [44, 32, 39, 8], [35], [40, 42], [47, 46, 45], [50, 54, 53, 51, 52], [58, 49], [57, 56, 55], [61, 48, 59], [60, 62, 65, 43], [64, 66, 70], [67, 71], [72, 68], [77, 75, 69, 10], [73, 74, 78], [76, 81, 80], [82, 79, 83], [86, 84, 85, 87, 88]]
51: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 34], [10, 40, 9], [6, 11], [15, 59], [13, 48, 14], [18, 19, 21, 16], [17, 23, 20, 25, 30, 26, 49, 63, 37, 36, 27, 29, 28, 32, 8, 33, 35, 41, 43, 39, 31, 44, 42, 56, 46, 47, 45, 50, 54, 62, 52, 60, 51, 57, 53, 55, 58], [61, 66, 64, 73, 65, 71, 67, 70, 72, 79, 82, 75, 68, 78, 76, 77, 69, 80, 83, 84, 88, 81, 85, 86, 87, 74]]
52: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [10, 6, 40, 9, 25, 13], [8, 26, 15, 42, 16], [30, 18], [21, 14], [11], [27, 17, 19, 23, 44, 51, 61, 32, 59, 45, 20], [52, 39], [56, 29, 33, 28], [34, 31, 37, 41, 35, 43, 36, 47, 48, 58, 46, 53, 49, 50, 54, 60, 55, 57, 62, 63, 65, 72, 68, 69, 64, 66, 78, 71, 70, 73, 74, 77, 67, 75, 76, 79, 85, 84, 80, 82, 87, 81, 83, 86, 88]]
53: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6], [9, 40, 8, 42, 26, 30, 11, 10, 13, 21], [14, 15], [17, 18, 16, 27, 19, 61], [20, 23, 58, 62, 37, 35], [34, 43], [25, 46], [32, 28, 44, 29, 39, 45, 31, 41, 50, 33, 36, 57, 53, 47], [48, 52, 63, 56, 49, 51, 54, 55, 59, 60, 66, 72, 67, 65, 71, 69, 68, 70, 77, 73, 64, 78, 74, 75, 76, 79, 84, 80, 87, 83, 82, 81, 85, 86, 88]]
54: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [6, 10], [40, 8, 15, 9], [11, 28, 31, 30, 18, 14, 19, 26, 16, 23, 20, 13, 17, 21, 25, 46, 60, 43, 34, 27, 33, 57, 29, 36, 37, 62], [39, 32, 35], [41, 42, 44], [51, 45], [47, 55, 49], [48, 50, 54, 52, 53, 58, 59, 61, 56, 63, 68, 65, 64, 66, 67, 77, 74, 78, 75, 69, 71, 72, 73, 70, 76, 79, 81, 82, 86, 80, 83, 84, 85, 87, 88]]
55: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [6, 11, 9], [10, 30], [8, 27, 15, 13, 16, 26, 17, 18, 14, 20, 29, 23, 19, 28, 25, 61, 21, 42, 53, 32, 31, 51, 40, 33, 41, 44, 34, 52, 36, 46, 43, 35, 37, 45, 39, 50, 47, 48, 58, 49, 55, 56, 54, 63, 57, 59, 60, 62, 68, 71, 67, 66, 87, 72], [64, 74, 79, 73, 65, 69, 77, 70, 75, 83, 84, 76, 78, 85], [81, 82, 80, 86, 88]]
56: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 11, 10], [8], [44, 9, 15, 29, 14, 25], [13, 19, 26, 17, 16, 18, 53, 27, 21, 31, 28, 42, 20, 48, 23, 37, 30, 40, 32, 36, 41, 33, 59, 35, 34, 56, 39, 43, 49, 45, 54, 46], [47, 60, 51, 52, 50, 58, 55, 61, 57, 62, 63, 66, 65, 69, 64, 67, 70, 71, 68, 74], [73, 72], [75, 79, 76], [78, 77, 80, 82, 83, 84, 81, 86, 87, 85, 88]]
57: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 9, 8, 11, 13, 15, 10, 14, 16, 17, 18, 21, 20, 25, 23, 26, 27, 29, 51, 19, 57, 28, 43, 46, 30, 50, 33, 31, 35, 36, 32, 37, 34, 39, 42, 41, 40, 45, 63, 56, 44, 47, 49, 58, 54, 48], [52, 62, 53, 61, 59, 55, 60, 66, 72, 65, 64, 73, 68, 67, 71, 76, 69, 70, 78, 74, 75, 79, 77, 81, 82, 80, 85, 84, 86, 83, 87, 88]]
58: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 9], [40, 8, 15], [13, 25], [11, 14, 29], [10, 23, 20, 16, 19, 18, 21, 30, 50, 26, 17, 54, 27, 47, 58, 28, 33, 53, 43], [32, 37, 31, 35, 44, 34, 42, 46, 36, 60, 39, 41, 45, 56, 48, 62, 51, 49, 55, 52, 59, 57], [61, 63, 66, 68, 72, 67, 64, 65, 69, 78, 77, 70, 73, 76, 75, 74, 79, 81, 80, 83, 82, 86, 85, 87, 84, 71, 88]]
59: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6, 34, 11, 8, 9, 10, 27], [15, 18, 41, 17], [26, 23, 16], [14, 25], [19, 20, 21, 54], [13, 53, 39, 49, 56, 43, 44, 29, 30, 58, 31, 32, 28, 55, 33, 42, 35, 37, 36, 40, 45, 61, 60, 47, 46, 50, 48, 51, 52, 59, 57, 62, 63, 64, 76, 66, 69, 72, 65, 70, 67, 79, 68, 74, 75, 71, 73, 77, 78, 81, 80, 82, 84, 86, 85, 83, 87, 88]]
60: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6], [9, 11, 8, 10, 14, 25, 13, 28, 31, 15], [16, 17], [18, 19, 23, 21, 26, 29], [27, 20, 30, 48], [62, 59, 32, 33, 34, 36, 40, 35, 37, 44, 46, 39], [45, 43, 55, 47, 57, 41, 52, 42, 53, 51, 49, 50, 54, 58, 56, 60], [61, 63, 68, 64, 66, 71, 65, 76, 67, 72, 75, 69, 70, 77, 74, 73, 78, 79, 81, 86, 80, 82, 85, 83], [87, 84, 88]]
61: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [10, 6], [41, 9, 14], [8, 25, 11, 31], [13, 16, 21], [15, 18, 27, 30], [17, 28, 19], [20, 23, 63], [26, 33, 53, 34], [44, 29, 39, 40], [32], [35, 43], [46, 36, 37], [50, 62, 42, 48, 45], [61, 51], [57, 47, 55, 49, 52, 58, 54, 56, 59, 60, 66, 64, 78, 67], [86, 72, 65, 70, 75, 69, 68, 77, 74, 71, 73, 85, 80, 81, 76, 83, 79, 82, 84, 87, 88]]
62: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 10], [41, 8], [9, 15, 31], [11, 16], [19, 13, 49, 26, 20, 17, 14, 18, 23, 27, 59, 25, 21, 48, 29, 39, 28, 34, 35, 30, 33, 37, 40, 46, 42, 32, 45, 44, 47, 36, 58, 43, 50, 52, 56, 51], [54, 53, 61, 55, 57, 60, 63, 62, 70, 72, 65, 69, 64, 66, 68, 76, 79, 67, 74, 75, 77, 71, 78, 73, 82, 83, 80, 81, 84, 87, 85, 86, 88]]
63: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 9], [6, 11, 8], [14, 23, 13, 61, 18, 25, 15, 10, 26], [17, 48, 30], [29, 27, 21], [16, 31], [50, 19, 60, 20, 32, 28, 42, 62, 35, 36, 40, 63, 37, 39, 44], [34, 47, 41, 43, 33, 45, 59, 46, 54, 52, 51, 56, 49, 55, 53, 58, 57, 66, 64, 67, 65, 69, 68], [71, 70, 78, 73, 72, 74, 79], [76, 77, 75, 81, 82, 83], [80, 86, 85, 84, 87, 88]]
64: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6], [14, 8], [9, 15, 16, 10, 13, 11, 17, 26, 18, 49, 25, 19, 20, 21, 27, 23, 54, 29, 57, 28, 58, 46, 31, 30, 40, 34, 43, 35], [44, 37, 33, 36, 55, 32, 39, 60, 45, 42, 47, 41, 50, 48, 61, 53, 59, 51, 52, 56, 63, 62, 67, 64, 65, 81], [66, 68, 78, 76, 71, 72, 75, 73], [77, 69, 70, 85, 84], [74, 79, 80, 83, 86], [82, 87, 88]]
65: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6, 9, 40, 8, 14, 10, 29, 11, 15, 13, 21, 23, 16, 19, 18, 17, 26, 28, 25, 20, 27, 53, 30, 39, 31, 35, 32, 34, 36, 49, 37, 33, 43], [41, 45, 46, 42, 58, 44, 47, 48, 52, 54, 51, 61, 55, 50, 56, 60, 59, 57, 62, 63, 66, 68, 69, 67, 64, 65, 71, 78, 70, 77, 72, 74, 73, 75, 76, 79, 84, 80, 82, 86, 85, 81, 83, 87, 88]]
66: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6], [11, 9, 8], [10, 31, 13, 14], [27, 53, 29], [15, 16, 19], [17, 58, 18, 20, 52, 57, 23, 25, 21, 45, 32, 26, 36, 40, 34, 33, 44, 55, 41, 28, 35, 30, 37, 43], [47, 39, 42], [49, 54, 46, 48, 51, 50, 56, 59, 62, 61, 63, 60, 69, 66, 64, 67, 65, 77, 68, 76, 75], [73, 70, 72], [71, 79, 74, 78, 80], [86, 81, 82, 84, 83, 85, 87, 88]]
67: [[38, 5, 7], [4, 3], [24, 1], [2, 12], [22, 6, 9, 8, 11, 14, 10, 15, 13, 18, 30, 28, 17, 16, 19, 20, 21, 51, 25, 23, 27, 26, 29, 31, 47, 39, 34, 50, 32, 35, 36, 37, 41, 44, 40, 45, 42, 33, 46, 48, 43, 63, 52, 53, 49, 59, 55, 57, 54, 56, 60, 62], [58, 61, 66, 65, 67, 70, 69, 64, 76, 73, 71, 68, 78, 72, 75, 74, 79, 77, 86], [80, 83, 81, 82, 84, 85, 87, 88]]
68: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 9], [8, 10, 47, 15], [14, 17, 13, 49, 16, 20, 11, 29, 30, 19, 23, 18, 21], [53, 26, 59, 28, 44, 27, 42, 33, 25, 45, 56, 39, 31, 32, 35, 37, 34, 36, 41, 46], [40, 43, 48, 57, 55, 51, 60, 50, 54, 52, 63, 58, 61, 62, 66, 65, 64, 67, 75, 69, 70, 78, 68, 72, 71, 73], [79, 77, 76, 80, 84], [88, 87, 82, 83, 86, 85, 81, 74]]
69: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 10, 11, 13, 14, 25, 8, 29, 9], [27, 23, 18], [30, 15, 16], [17, 62], [26, 21, 20, 28, 31, 19, 45, 33, 34, 50, 41, 53, 36, 46, 35], [32, 56, 43], [40, 37], [39, 42, 51], [48, 44, 47, 49, 52, 57, 63, 55, 54, 58, 60, 61, 59, 66, 64, 67, 65, 69, 72, 71, 76, 77, 68, 70, 73, 78, 79, 74, 81, 82, 86, 80, 75, 85, 84, 83, 87, 88]]
70: [[38, 5, 7], [4, 3], [24, 1], [2, 6, 14], [10, 9], [8, 11, 42, 12, 26, 29, 13, 19, 31, 15, 18, 21, 20, 17], [22, 23, 25, 28, 30, 27, 16, 43, 33, 36], [57, 48, 35, 32, 46, 34, 39, 44, 37, 41, 40, 54, 45, 47, 49, 60, 53, 50, 51, 52, 58, 55, 56, 59, 61, 63, 62, 67, 64, 66, 65, 68, 71, 70, 78, 74, 69, 75, 72, 73, 76, 77, 79, 84, 81, 82, 80, 83, 87], [85, 86, 88]]
71: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 41, 8], [9], [10, 28, 30, 21, 11, 14], [17, 15, 20, 13, 18, 19, 53, 50, 26, 57, 25, 58, 29, 45, 31, 56, 16, 32, 23, 39, 34, 35, 27, 33, 37, 36, 40, 42, 43, 44, 46, 60], [47, 48, 51, 52, 55, 49, 62, 54, 59, 61, 63, 64, 76, 66, 67, 65, 71, 72, 78, 75, 68, 69, 74, 70, 77, 73, 83, 80, 79, 82, 81], [84, 86, 85, 87, 88]]
72: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 9], [10, 15, 28], [8, 14, 27, 11, 20, 31, 13, 48, 17, 51, 19, 21, 18, 25], [23, 26, 42, 62, 16, 29, 34, 57, 30, 35, 53, 33, 37, 40, 43, 45, 55, 39, 32, 36], [41, 44, 46], [63, 47, 49, 52, 58, 50, 54, 61, 56, 59, 60, 66, 72, 68, 70], [65, 64, 79, 76, 67, 77, 69], [73, 71, 75, 78, 74, 84], [81, 83, 80, 82, 87, 85], [86, 88]]
73: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6, 9, 8], [10, 43, 14], [13, 28, 19], [17, 31, 11, 18, 15, 16, 20, 50, 23, 21, 25, 26, 29, 51, 53, 27, 48, 30, 32, 35, 34, 40, 41, 33, 37, 42, 47, 45, 39, 52, 36, 44, 46, 56, 54, 57, 49, 59, 60, 55, 58, 61, 62, 63, 68, 65, 67, 64, 71, 69, 78, 75, 66, 77, 72, 76, 70, 73, 79, 74, 85, 80, 82, 81, 86, 83, 84, 87, 88]]
74: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 9], [40, 8, 15], [10, 29], [11, 14, 28, 20, 27], [13, 19, 25], [16, 17], [18, 49, 21, 45, 36, 30, 37, 26, 34, 35, 31, 23, 59, 32, 33, 39, 42, 41, 47, 43, 46, 44, 61, 63, 51, 58, 52, 48, 55, 60, 54, 53, 50, 56, 57, 62, 66, 68, 67, 64, 70, 77, 73, 65, 69, 72, 71, 78, 75, 74, 76, 79, 83, 84, 80], [82, 85, 86, 81, 87, 88]]
75: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 10, 9, 40, 8, 13, 30, 14, 6, 23, 17, 11, 26, 18, 19, 16, 20, 15, 27, 21, 25, 28, 29, 60, 35, 45, 31, 36, 41, 32, 33, 34, 42, 43, 47, 37, 50, 46, 53], [39, 51, 44, 63, 49, 52, 48, 55, 62, 59, 54, 57, 56, 58, 61, 66, 65, 68, 64, 75, 77, 67, 74, 72, 71, 76, 73, 69, 70, 78, 79, 84, 82, 81, 85, 80, 87, 83, 86, 88]]
76: [[38, 5, 7], [4, 3, 24, 1, 2], [12, 22, 6], [8, 10, 9, 11, 27, 14, 13, 15, 28, 21, 18, 19, 25, 16, 17, 30, 20, 23, 26, 61, 29, 49, 31, 46, 32, 35, 44, 34, 45, 40, 53, 33, 42, 56, 39, 37, 43, 36, 41, 50, 47, 51, 59, 52, 54, 48, 57, 55, 58, 60, 62, 63, 67, 64, 65, 66, 80, 71, 68, 78, 77, 73, 70, 69, 74, 75, 72, 76, 88, 86, 81, 85, 79, 82, 87, 83, 84]]
77: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 9], [8, 10, 15], [11, 13], [14, 17], [19, 26], [18, 21, 20, 27, 25, 23, 29, 16, 28, 31, 37, 30, 55, 39, 32, 33, 63, 40, 41, 34, 45, 35, 36, 47, 43, 42], [62, 44, 58, 46, 52, 51, 49, 54, 48, 50, 53, 56, 59, 60, 61, 57, 66, 68, 70, 67, 82], [72, 65, 74, 79, 75, 64, 69, 71, 78, 77, 73, 80, 81, 83, 76, 85, 84, 86, 87, 88]]
78: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 40, 9, 11, 31, 8], [28, 10], [14, 13, 18], [29, 17, 16], [19, 15, 27, 20, 49, 25, 21, 34, 59, 52, 26], [23, 43, 30, 42, 36, 39, 45, 32, 37, 33, 35, 46, 53, 41, 56, 44, 57], [50, 47, 48], [51, 55], [62, 61, 63], [58, 54], [60, 66], [72, 74, 67, 86, 64, 65, 70, 77, 68, 69, 76, 75, 71, 73], [79, 80, 81, 83, 78, 82, 87, 84, 85, 88]]
79: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6], [9, 10, 11], [8, 13, 16], [31, 30], [61, 18, 14, 17], [19, 15, 29, 62, 20, 25, 23, 21, 26, 60, 49, 45, 54], [27, 37, 36, 34, 33, 39, 28, 32, 35, 47, 42, 41, 50, 40, 43, 56, 46, 44, 58, 63, 48, 51, 52, 53, 55, 59, 57, 66, 64, 67, 69, 65, 76, 72, 68, 71, 70, 74, 75, 77], [73, 78, 79, 80, 82, 81, 83, 87, 84, 85], [86, 88]]
80: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6], [9, 10, 11], [8, 13, 16], [31, 30], [61, 18, 14, 17], [19, 15, 29, 62, 20, 25, 23, 21, 26, 60, 49, 45, 54], [27, 37, 36, 34, 33, 39, 28, 32, 35, 47, 42, 41, 50, 40, 43, 56, 46, 44, 58, 63, 48, 51, 52, 53, 55, 59, 57, 66, 64, 67, 69, 65, 76, 72, 68, 71, 70, 74, 75, 77], [73, 78, 79, 80, 82, 81, 83, 87, 84, 85], [86, 88]]
81: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 9], [8, 10, 15], [29, 11, 13, 26, 25, 14, 17, 16, 20, 19, 31, 27, 18, 21, 23, 28, 30, 51, 57], [36, 32, 34, 42, 39, 53, 59, 40, 35, 33, 47, 37, 44, 41, 46, 56, 45, 49, 43, 48, 50, 52], [54, 58, 55, 60, 62, 61, 63, 68, 66, 69, 64, 74, 65, 78, 67, 70, 71, 72, 75, 76, 73, 77, 79, 84, 80, 83, 86, 81, 82, 85, 87, 88]]
82: [[38, 5, 7], [4, 3], [24, 1], [2, 12], [6, 9], [8, 29, 10, 51, 27], [14, 17], [23, 13, 16], [18, 19], [21, 15, 25, 50, 26, 53, 37, 56, 11, 31, 39, 58, 20, 28, 32], [35, 55], [30, 36, 33], [34, 41, 45, 47, 42, 40, 44, 46, 54, 48, 49], [52, 59, 61, 22, 57, 60, 62, 63, 43, 64, 67, 69, 65, 68, 74, 77, 76, 66, 70, 71, 73, 72, 78, 75, 79, 80, 82, 83, 81, 85, 86, 84, 87, 88]]
83: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6, 9, 40, 8, 11, 27, 23, 14, 30, 10, 16], [13, 26, 20, 15, 29, 17, 28, 19, 18, 21, 62, 42, 35, 25, 34, 37, 55, 46, 32, 31, 61, 33, 39, 47, 41, 36, 54, 43, 56, 45, 52, 44, 49, 48, 51, 50, 58, 53, 59, 57, 60, 63, 66, 65, 74, 67, 86, 64, 70, 68, 71, 73, 76, 72, 79], [75, 69, 77, 80, 81, 85, 78, 82, 83, 84, 87, 88]]
84: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6], [10, 9, 8, 14, 11, 27, 28, 13, 19, 29, 18, 15], [17, 16, 20, 21, 25, 23, 26, 48, 30, 42, 43, 60, 31, 33, 41, 32], [36, 44, 50], [34, 37, 35], [40, 39, 46, 49, 45, 55, 53, 47, 52, 51, 58, 54], [56, 57], [63, 62, 59, 61], [66, 65, 64, 74, 67, 77, 76, 78, 75, 69, 72, 70, 73, 79], [68, 71, 81], [80, 82, 84], [83, 85], [86, 87, 88]]
85: [[38, 5, 7], [4, 3], [24, 1], [2, 12], [22, 6, 11], [8, 9, 15, 30, 10, 28, 13, 41, 14, 16, 17, 21], [19, 26, 18, 20, 31, 29, 23, 33, 25, 43, 36, 27, 39, 35, 34, 52], [53, 37, 32, 40, 47, 44, 46, 42, 45, 51, 63, 56, 54, 49, 60, 48, 50, 55, 57, 59, 58, 61, 62, 70, 64, 69, 65, 68, 67, 66, 74, 77, 79, 76, 73, 75, 78, 72, 71, 84, 80, 86, 82, 83, 85, 81, 87, 88]]
86: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [8, 10], [40, 14, 15], [25, 9], [13, 6], [11, 17, 23], [19, 16, 18], [21, 26, 29, 49], [20, 27, 54], [28, 39], [30, 34], [33, 47, 46, 31], [32, 41, 35], [37, 36, 43], [42, 44, 53], [59, 52, 50, 48, 45], [60, 51, 55, 58, 61, 56, 57, 62, 63, 64, 70, 66, 67, 71, 72, 68, 77, 65, 73, 69, 74, 75, 78, 76, 79, 80, 82, 87, 81, 86, 85, 83, 84, 88]]
87: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [6, 34, 9], [10, 13], [11, 14, 15], [8, 31, 18], [20, 16, 21], [23, 17, 63, 26, 25, 29, 27, 28], [54, 19, 59, 33, 32], [56, 30, 35, 61, 40, 36], [37, 41, 58, 39, 42, 43, 47, 46, 44], [45, 48, 49, 53], [50, 51, 55], [60, 52, 62], [57, 64], [74, 65, 67, 66, 69, 70, 78], [73, 72, 77, 68, 75, 76, 79], [81, 83, 85, 71, 82, 88, 80, 87, 84, 86]]
88: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 40], [9, 8], [43, 31, 14], [20, 10], [51, 16, 13, 11, 52], [28, 23], [15, 19, 39, 61], [26, 17, 21, 18, 42, 59, 33, 27, 37, 56, 25, 29, 32], [30, 34, 35, 36, 44, 46, 41, 45, 53, 48, 57, 47, 62, 49, 50, 54, 63, 58, 55, 60], [66, 65, 64, 72, 69, 77, 78, 71, 68, 67, 74, 75], [70, 73, 76, 81, 79], [88, 83, 80, 85, 84, 87, 86, 82]]
89: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6, 9, 10, 8, 14, 11, 27, 13], [15, 21, 28, 25, 17, 18, 16, 23, 20, 19, 31, 26, 29, 62, 33, 37, 50, 52, 30, 61, 32, 34, 44, 36, 39, 54, 43, 56, 40, 42, 46, 41, 35, 45, 63, 48], [47, 55, 51, 57, 58, 49, 59, 60, 53, 66, 72, 65, 68, 70, 64, 78, 76, 71, 67, 73, 69, 74, 75, 79, 77, 84, 88, 85, 80, 82, 86, 81, 87, 83]]
90: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 40, 41, 9, 8, 11, 29], [15, 10], [25, 20, 31], [13, 14, 18], [16, 21], [23, 17, 19, 26], [58, 27], [51, 56, 28], [54, 33, 39, 55, 37, 30, 36, 34], [42, 47, 32, 45, 44, 43, 35, 46, 49, 50, 52, 48, 53, 60, 57, 61, 59, 62, 63, 66, 64, 65, 71, 69, 68, 67, 78, 77, 74, 70, 75, 72, 73, 76, 79, 84, 82, 80, 83, 81, 86, 87, 85, 88]]
91: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 9], [8, 11, 14], [29, 15, 13, 16], [23, 10, 17], [18, 31, 19], [20, 26], [21, 25, 59, 27, 28, 48, 30, 43, 35, 32], [36, 33, 37, 42, 39, 40, 47, 46, 44, 45, 34, 52, 50, 60, 49, 41, 53, 51, 55, 58, 54, 57, 63, 56, 61, 62, 66, 64, 68, 80, 65, 73, 69], [71, 70, 67, 76, 74, 79, 72, 75, 77, 84, 82, 78, 85, 83, 87, 81, 86, 88]]
92: [[38, 5], [7, 4], [3, 24, 1], [2, 12, 22, 6], [9, 8, 10], [11, 13, 27], [14, 16, 31, 17, 20, 19, 18, 23, 21, 49, 25, 28, 30, 26, 29, 54, 36, 15], [41, 35, 44, 32, 45, 34, 33, 37, 42, 50, 40, 51, 47, 59, 57, 39, 46, 43, 52, 53, 55, 56, 58], [48, 61, 60, 62, 63, 66, 65, 67, 71, 64, 68, 78, 69, 70, 79, 72], [73, 75, 76, 74, 77, 83, 80, 81, 82, 85, 84, 86, 87, 88]]
93: [[38, 5], [7, 4], [3, 24, 1], [2, 12, 22, 6], [9, 8, 10], [11, 13, 27], [14, 16, 31, 17, 20, 19, 18, 23, 21, 49, 25, 28, 30, 26, 29, 54, 36, 15], [41, 35, 44, 32, 45, 34, 33, 37, 42, 50, 40, 51, 47, 59, 57, 39, 46, 43, 52, 53, 55, 56, 58], [48, 61, 60, 62, 63, 66, 65, 67, 71, 64, 68, 78, 69, 70, 79, 72], [73, 75, 76, 74, 77, 83, 80, 81, 82, 85, 84, 86, 87, 88]]
94: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6], [9, 10, 14, 8, 15, 13, 28, 11, 17, 18, 25], [58, 27, 20, 16, 29], [19, 21, 30, 31, 23, 53, 37, 26, 46, 40, 34, 36, 32], [41, 42, 33, 39, 45, 43, 47, 44, 61, 35, 48], [57, 50, 59, 49, 52, 54, 55, 56, 51, 60, 63, 62, 68, 65, 64, 71, 66, 67, 74, 69, 70, 77, 73, 72, 78, 76, 75, 79, 84, 82, 81, 80, 83, 86, 85, 87, 88]]
95: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [10, 6, 40, 8], [15, 21], [27, 9], [30, 31, 23], [14, 17, 11, 13], [60, 16], [56, 20, 18], [28, 29, 46, 49, 58, 42, 36], [19, 26, 39, 33, 25, 57, 43, 41, 32, 34, 35, 52, 37, 44, 51, 45, 54, 47, 48, 59, 63, 53, 55, 50, 61, 62, 66, 64, 73, 65, 70, 69, 76, 68, 72, 75, 71, 74, 78, 77, 79, 67, 80, 87, 81, 82, 83, 86, 84, 85, 88]]
96: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22, 6, 11, 9, 13, 10], [25, 8, 31, 14, 17, 30], [15, 16, 18, 20, 21, 19, 23, 26, 27], [60, 53, 28, 43], [29, 40], [51, 45, 32], [34, 39], [35, 33, 36], [42, 37, 46, 47], [44, 41], [56, 49], [58, 48, 61, 50, 57, 52, 55], [59, 54, 62, 63, 64, 74, 65], [67, 66, 78, 68, 71, 73], [75, 69, 70, 72, 77, 79, 76, 81, 80, 82, 87, 85, 83, 84, 86, 88]]
97: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [10, 6, 40, 8], [15, 21], [27, 9], [30, 31, 23], [14, 17, 11, 13], [60, 16], [56, 20, 18], [28, 29, 46, 49, 58, 42, 36], [19, 26, 39, 33, 25, 57, 43, 41, 32, 34, 35, 52, 37, 44, 51, 45, 54, 47, 48, 59, 63, 53, 55, 50, 61, 62, 66, 64, 73, 65, 70, 69, 76, 68, 72, 75, 71, 74, 78, 77, 79, 67, 80, 87, 81, 82, 83, 86, 84, 85, 88]]
98: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 10, 6, 40, 9, 28, 8, 31, 13, 29, 17, 15, 18, 11, 20, 14, 16, 19, 21, 23, 26, 61, 62, 42], [32, 30, 25, 27], [33, 35, 37, 56, 34, 36, 41, 43, 44, 48, 45, 46, 47, 59, 50, 52, 54, 39, 49, 53, 51, 57, 55, 63, 60, 58, 68, 65, 64, 70, 66, 67, 78, 72, 74, 69, 73], [71, 75, 76, 77, 87, 80, 79, 84, 82, 81, 83, 86, 85, 88]]
99: [[38, 5, 7], [4, 3], [24, 1, 2], [6, 14], [10, 9, 40], [8, 42], [11, 26, 25, 16, 31, 27, 12, 17, 21, 13, 15, 18, 23, 20], [22, 19, 28], [60, 41, 29, 30, 49, 34, 33, 32, 44, 50, 39, 52, 37, 35, 36, 46, 43, 45, 55, 47, 48, 51, 53, 54, 59, 63, 58, 57, 61, 56, 62, 66, 65, 68, 64, 71, 67, 76, 78, 75], [69, 72, 70, 73, 74, 77, 79, 80, 83, 81, 82, 84, 86, 85, 87, 88]]
100: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22, 6], [10], [8, 11, 9, 15, 25], [13, 18, 19, 21, 14, 47, 27, 20], [26, 16], [17, 23], [59, 28, 29, 60, 36, 62, 43, 51, 32], [30, 31, 33, 34, 35, 45, 37, 40], [41, 39, 54], [42, 44, 56, 46, 48, 49, 53, 58, 50, 52, 55, 57, 61, 63, 68], [64, 67, 65, 66, 69], [77, 71, 70, 75, 73], [72, 74, 79, 76, 78, 80, 84, 81, 83, 82, 87, 86, 85, 88]]
101: [[38, 5, 7], [4, 3], [24, 1], [2, 12], [22, 10, 9], [6, 8, 15], [14, 27, 30], [13, 11, 18, 16, 20, 21, 17, 19, 54, 28, 31, 23], [25, 26, 29, 58, 41, 51, 48, 44, 40, 35, 37, 32, 34, 33, 36, 39], [46, 42, 43, 45, 50, 60, 52, 57, 47, 49, 53, 59, 61, 62, 55, 56, 63, 64, 74, 69, 67, 65, 68, 66, 77, 70, 71, 79, 72, 73, 75, 76, 86, 80, 84, 78, 82, 81, 87, 83, 85, 88]]
