0: [[37, 7], [4, 3], [9, 8, 39, 10], [1, 2, 6, 29, 11, 24, 28, 12, 22], [18], [5, 15, 14], [21, 17, 16], [20, 19, 26, 30, 25, 50, 59, 44, 61], [33], [27, 31, 42, 47, 38], [34, 32, 36, 55, 43, 13, 23], [41, 35, 40], [56, 45, 58, 46, 51, 49, 54, 48], [53, 52, 57, 60, 63, 62, 66, 67, 64, 65, 68], [69, 73, 70, 76, 71, 74, 77, 72, 75], [79, 78, 83, 82], [84, 86, 85, 80, 81, 87, 88]]
51: [[37, 7], [4, 3], [9, 8, 5, 2, 1, 17, 14, 25], [21, 24, 22, 18, 12, 15, 6, 11], [13, 16, 20, 19, 31, 23, 56, 61, 10, 26, 28, 29, 30, 51, 40, 46, 34, 36, 35, 38, 32, 27, 33, 42, 43, 47, 45, 44, 58, 39, 41, 48, 53, 49, 52, 50, 54, 60, 55, 57, 59, 63, 62, 65, 64, 70, 68, 66, 69, 77, 67, 76, 75, 73, 78, 71, 72, 79, 74, 83, 82, 84, 81, 80, 86, 85, 87, 88]]
52: [[37, 7], [4, 3, 9, 8], [5, 2], [1, 6, 15, 11, 17, 29, 13, 12, 22], [14, 16, 23, 24, 21, 20, 28], [18], [31, 19], [25, 26, 27, 57, 35, 44], [36, 47, 43, 34, 38, 46, 56, 30, 33, 40], [42, 61, 41, 39, 58, 48, 45, 50, 32, 49, 51, 55, 52, 53], [60, 54, 63, 59, 62, 81, 66, 73, 69, 64, 68, 77, 67, 76, 10, 75, 65, 78, 72], [70, 71, 87, 82, 79, 80, 74, 83, 84, 85, 86], [88]]
53: [[37, 7], [4, 3], [9, 8], [1, 2, 5, 6], [12, 29, 11, 14, 15, 25, 13, 16, 30, 17, 22, 10, 21, 27], [18], [31, 19, 24], [20, 23, 26, 28, 51, 32, 33, 35, 36, 41, 39, 45, 59, 43, 34, 40, 38, 46, 42, 47, 44, 52, 55, 61, 49, 50, 48, 54, 53, 56, 57, 60, 58, 62, 63, 66, 64, 65, 75, 67, 69], [79, 68, 76, 70, 72, 78, 71, 77, 74, 73, 86, 80, 84, 85, 81, 83, 82, 87, 88]]
54: [[37, 7], [4, 3], [9, 8, 5, 2], [1, 24, 12, 28], [15], [30, 6], [31, 11, 13, 14, 25, 19, 22, 16, 17, 29, 18, 48, 20, 57, 27, 26, 21, 23, 34, 32, 33, 38, 54, 45, 35], [41, 36, 39, 46, 10, 43], [42, 44, 47, 49, 53, 40, 55, 56, 58, 51, 60, 50, 59, 61, 52, 62, 63, 64, 65, 67, 69, 78, 66, 79, 70, 71, 72, 75, 73, 68, 74, 76, 77, 86, 82, 80, 81, 83, 87, 85, 84, 88]]
55: [[37, 7], [4, 3, 9, 8, 33, 2, 1, 5, 14, 10, 13, 6], [11, 20], [22, 30, 12, 15, 18, 16, 31, 25, 28], [21, 19, 17, 23, 61, 24], [26, 27, 63, 36], [39, 29, 34], [32, 35], [38, 46, 47, 42, 44, 43, 40], [45, 48, 51, 49, 54, 52, 57], [55, 41, 56, 50, 59], [58, 53, 60, 62, 66, 64, 70, 65], [67, 68, 77, 71, 69, 79, 74, 73, 76, 78, 72], [88, 82, 81, 80, 75, 84, 85, 83, 87, 86]]
56: [[37, 7], [4, 3, 9, 8, 5, 2, 6], [10, 14, 24, 11, 22, 15, 28, 12, 17, 18, 27, 20, 1, 30, 13, 16], [23, 62, 19, 26, 29, 59, 25, 58, 48, 21, 46, 31, 35, 34, 33], [36, 38, 39, 44, 43, 40, 32, 45, 41, 51, 60, 42, 47, 49, 52, 50], [54, 53, 55, 57, 56, 61, 63, 66, 65, 68, 69, 71, 64, 75, 72, 70, 67, 74, 76, 79, 73, 78, 77, 84, 80, 81, 83, 86, 85, 82, 87, 88]]
57: [[37, 7], [4, 3], [9, 8, 5, 1, 2, 10, 6, 29, 13, 14, 11, 16, 15, 21, 45, 25, 23, 22, 12, 17, 19, 56], [24, 18, 31, 26, 62, 20, 27, 48, 28, 30, 33, 38, 32, 63, 34, 47, 39, 46, 40, 42, 41, 36, 35, 44, 60, 43, 57, 49, 51, 50, 55, 52, 53, 54, 58, 59, 61, 64, 72, 68, 75, 69, 67, 65, 70, 66, 79, 74, 78, 73, 71, 76, 84, 83, 82, 81, 80, 85, 77, 86, 87, 88]]
58: [[37, 7], [4, 3], [9, 8], [5, 2, 1, 10, 14, 15, 6, 26, 12, 30, 29, 16, 20, 11, 17, 13], [21, 19, 24, 18, 22, 27, 25, 31, 23, 59, 28, 41, 33, 46, 36, 34, 58, 43, 40, 32, 39, 44, 35, 38, 45, 47, 42, 48, 49, 53, 61, 56, 54, 50, 51, 62, 60, 52, 55, 57, 63, 64, 81, 66, 69, 67, 68, 75, 76, 70, 65, 78, 73, 79, 77, 72, 71, 86, 84, 74, 80, 83, 82, 85, 87, 88]]
59: [[37, 7], [4, 3], [9, 8, 39, 2], [1, 18, 6, 29, 10, 11, 27, 13, 12], [25, 21, 19, 30, 14, 17, 15, 5, 55, 16, 23, 20, 49, 22, 58, 24, 32], [26, 31, 40, 47, 50, 34, 28, 38, 33, 43, 35], [36, 44, 48, 45, 52, 42, 54, 46, 63, 41, 56, 59, 51, 53, 57, 60, 62, 61, 66, 67, 65, 64, 70, 75, 69, 71, 73, 74, 72], [68, 76, 77, 79, 84, 80, 78, 85, 86, 81, 82, 83, 87, 88]]
60: [[37, 7], [4, 3, 9, 8, 5, 2, 6, 10, 14, 28], [1, 15, 11, 12, 13, 16, 18], [31, 17, 21, 19, 20], [26, 22, 30, 25, 23, 29, 59, 24, 27, 56, 33, 44, 42, 32, 55, 34, 40, 51, 38, 36, 35, 58, 41, 45, 39, 43, 46, 47, 49, 62], [54, 50, 48, 53, 52, 57, 60, 61, 63, 64, 73, 66, 65, 68, 79, 74, 76, 69, 67, 70, 71, 72, 75, 78, 77, 82, 84, 80, 85, 86, 83, 81, 87, 88]]
61: [[37, 7], [4, 3], [9, 8], [5, 2, 6, 1], [26, 13, 22, 10, 14, 18, 62, 11, 15, 24, 12, 19, 17, 16], [21, 27], [25, 59], [20, 29, 54, 31], [23, 35, 28, 34, 30, 45, 49, 36, 32, 40, 44, 39, 33, 41, 42, 38, 43, 61, 46, 55, 48, 52, 51, 53, 56, 47, 50, 63, 57, 58, 60, 66, 64, 72, 70, 69, 65, 76, 67, 68, 74, 71, 73, 79, 75, 78, 77, 84, 83, 80, 82, 86, 81, 87], [85, 88]]
62: [[37, 7], [4, 3], [9, 8, 5, 1, 6, 2, 15, 12, 10, 29, 11], [26, 13, 30, 17, 21, 20, 23, 16, 18, 22, 19, 25, 27, 28, 60, 14, 31], [24, 43, 54, 38, 36, 33, 32, 41, 44, 35, 40, 34, 42, 45, 46, 53, 39, 48, 51, 50, 49, 55, 47, 56, 57, 61, 52, 58, 59, 62, 63, 66, 72, 65, 69, 64, 70, 76, 71, 67, 68, 75, 73, 79, 74], [77, 78, 84, 82, 88, 81, 80, 83, 86, 85, 87]]
63: [[37, 7], [4, 3], [9, 8, 5, 1, 6, 2, 15, 12, 10, 29, 11], [26, 13, 30, 17, 21, 20, 23, 16, 18, 22, 19, 25, 27, 28, 60, 14, 31], [24, 43, 54, 38, 36, 33, 32, 41, 44, 35, 40, 34, 42, 45, 46, 53, 39, 48, 51, 50, 49, 55, 47, 56, 57, 61, 52, 58, 59, 62, 63, 66, 72, 65, 69, 64, 70, 76, 71, 67, 68, 75, 73, 79, 74], [77, 78, 84, 82, 88, 81, 80, 83, 86, 85, 87]]
64: [[37, 7], [4, 3, 9, 8], [5, 1, 2, 22, 12, 6, 26, 11, 14, 21, 15, 25, 13], [17], [18, 19, 31, 16, 49, 20, 23, 63, 56, 24, 27, 28, 41, 38, 50, 30, 35, 44, 33, 32, 40, 39, 42, 43, 46, 36, 47, 53, 45, 55, 51, 54, 57, 52, 58, 48, 60, 59, 62, 61, 29, 66, 65, 72, 78, 67, 68, 76, 69, 70, 79, 64, 34, 10], [71, 73, 75, 74, 84, 82, 83, 77, 85, 81], [80, 86, 87, 88]]
65: [[37, 7], [4, 3], [9, 8, 5, 1, 2, 12, 15, 6, 10, 31, 13, 11, 14, 52, 16, 17, 19, 22, 20, 48, 25, 26], [18, 28, 21, 23, 59, 44], [29, 24], [30, 38], [27, 33], [36, 50, 39, 34, 32, 35, 46, 41, 42, 40, 43, 61, 47, 49, 51, 56, 54, 58, 53, 45, 55, 57, 60, 62, 63, 66, 65, 70, 67, 68, 79], [64, 71, 69, 78], [74, 72, 73, 75, 77, 76, 82, 80, 81, 83], [84, 87, 85, 86, 88]]
66: [[37, 7], [4, 3, 9, 8], [33, 1, 2, 28, 12, 11, 10, 19, 22, 25], [14, 15, 13, 21, 17, 5, 6, 16, 18, 20, 27, 26, 30, 56, 23, 24, 31, 29, 39, 34, 44, 32], [46, 40, 36, 35, 43, 41, 38, 50, 42, 61], [47, 57, 45, 49, 52, 53, 48, 51, 55, 62, 60, 54, 63, 58, 59, 64], [73, 68, 65, 69, 67, 75, 74, 72], [78, 66, 71, 70, 76, 77, 84, 86, 80, 85, 81, 83, 82, 79, 87, 88]]
67: [[37, 7], [4, 3], [9, 8], [5, 1, 2, 22], [6, 29, 10, 28], [13, 19, 12, 11, 21, 14, 18, 24, 15, 16, 27], [53, 17, 25, 20, 57, 23, 34, 46, 56, 26, 30, 58, 42, 51, 31, 38, 50, 33, 63, 49, 32, 44, 35, 43, 36, 39, 40, 41, 45], [47, 48, 55, 52, 54, 61, 59, 62, 60, 66, 65, 69, 68, 70, 74, 79, 71, 73, 67, 72, 75, 77, 78, 76, 64, 84, 80, 85, 82, 81, 83, 86, 87, 88]]
68: [[37, 7], [4, 3], [9, 8], [39, 2, 1, 10, 26], [30, 6, 23, 12, 11], [15], [18, 5, 27], [22, 16, 13], [53, 14, 19, 57, 17, 20, 52, 63, 41], [60], [21, 24, 40, 49, 28], [42, 29, 36, 34, 45, 31, 25], [32, 33, 38], [43, 48, 61, 44, 35, 62, 58, 54], [51, 46, 47, 59, 50, 55, 56, 82, 66], [65, 64], [69, 74, 76, 67], [68, 70, 71, 77, 73, 72, 79, 75, 83], [78, 85], [87, 80, 81, 84, 86, 88]]
69: [[37, 7], [4, 3], [9, 8], [2, 36], [10, 1, 12, 15], [5, 13, 14, 18, 30, 20, 17, 22, 25, 19, 6, 29, 24, 23, 16, 27, 21, 58, 28, 50, 26], [63, 11, 31, 33], [34, 43, 35, 39, 38, 32, 46, 42, 41, 40, 49, 44, 45, 52, 53, 48, 47, 57, 54, 56, 51, 62], [55, 59, 60, 61, 65, 66, 67, 64, 68, 78, 79, 76, 72, 70, 75, 69, 74, 71, 73, 77, 86, 82, 81, 84, 80, 83, 85, 87, 88]]
70: [[37, 7], [4, 3, 9, 8, 5, 1, 6, 14, 30, 2, 10], [13, 27, 26, 29, 12, 17, 11, 19, 15, 18, 16, 22, 20, 57, 21, 28, 62], [23, 24, 31, 41, 56, 25, 33, 39, 32, 34, 36, 38, 40, 35, 43, 44, 42, 53, 45, 46, 50, 49, 51, 55, 47, 48, 59, 61, 52, 58, 63, 54, 60, 66, 65, 68, 69, 64, 77, 73, 72, 67, 70, 71, 74], [75, 76, 79, 78, 80, 86, 88, 81, 82, 83, 84], [85, 87]]
71: [[37, 7], [4, 3], [9, 8, 5, 1, 2, 10, 14, 13, 29, 6, 11, 20, 31, 12, 19, 15, 21, 22, 28, 17, 16, 49, 24, 18], [23, 26, 62, 52, 27, 25, 30, 46, 33, 54, 36, 34, 43, 38, 39, 44, 32, 42, 41, 40, 47, 61, 50, 45], [48, 35, 53, 51, 55, 56, 60, 57, 58, 59], [63, 64], [72, 69], [67, 65, 66, 68, 70, 71, 78, 75, 77, 73, 74, 76, 79, 86, 82, 81, 80, 83, 84, 85, 87, 88]]
72: [[37, 7], [4, 3], [9, 8, 33, 1, 2, 5, 15, 6, 10, 29, 12, 22, 18, 31, 13, 11, 14, 17, 19, 16, 21, 61, 24, 56, 28, 20, 23, 27, 25, 59], [30, 26, 34, 35, 42, 38, 40, 46, 48, 41, 39, 36, 45, 43, 47, 44, 63], [51, 53, 62, 32, 55, 52, 49, 54, 57, 50, 60, 58, 64, 73, 69, 66, 65, 68, 75, 71, 76, 70, 72, 74, 78, 83, 79, 77, 67, 80, 84, 82, 81, 86, 85, 87, 88]]
73: [[37, 7], [4, 3], [9, 8, 33, 1, 5, 6, 28, 10, 31, 11, 2, 16, 15, 21, 29, 12, 30], [13, 18, 14, 23, 17, 20, 19, 60, 46, 27, 26, 22, 51, 24, 25, 39, 38, 40, 35, 41, 43, 44, 34, 32, 36], [45, 42], [47, 48, 49, 50, 58, 52, 53, 56, 59, 54, 55, 63, 57, 61, 62, 64, 65, 69, 67, 70, 66], [71, 68, 78, 73, 79, 76, 74, 75, 72, 77, 84, 82, 80, 81, 86, 83, 87, 85, 88]]
74: [[37, 7], [4, 3], [9, 8], [33, 1, 10, 2], [28, 12, 11, 15, 14, 5, 22, 24, 6, 27, 18, 16, 29, 19, 21, 20, 13, 17, 23, 60, 63], [30, 53, 31, 25, 46, 52, 34, 61, 38, 51, 26, 36, 32, 35, 41, 56, 39], [40, 43], [42, 44, 45, 48, 47, 49, 55], [50, 57, 59, 58, 54, 62, 65, 66, 67, 64, 69, 70, 78, 71, 75, 68, 74, 77, 76, 73, 72, 79, 84, 88, 81, 86, 85, 83], [80, 87, 82]]
75: [[37, 7], [4, 3], [9, 8, 1, 6, 2, 14, 15, 5, 11], [13, 10, 31, 19], [52, 25, 17, 24, 20, 63, 16, 59], [28, 18, 21, 57, 12, 22, 34, 23, 27, 29, 30, 26, 32, 38, 39, 33, 36, 58, 40, 41, 42, 35, 43, 46, 45, 56, 55, 44, 54, 50, 47, 48, 49, 53, 51, 60, 62, 61, 88, 66, 68, 75, 65, 67, 64, 77, 71, 70, 69, 72, 73, 79, 76, 80, 81, 87, 84, 82, 85, 74, 78, 86, 83]]
76: [[37, 7], [4, 3], [9, 8], [5, 1, 2, 6, 12, 11], [14, 10, 20, 16, 31, 15, 13, 25, 18, 17, 19, 26, 21, 51], [22, 23, 30, 24, 60, 27, 36, 28, 44, 50], [52, 53], [35, 58, 29, 40, 32, 39, 33, 41, 63, 34, 38, 42, 43, 47, 45, 62, 46, 59, 48], [49, 54, 55, 56, 61, 57], [66, 65, 73, 67, 71, 70, 69, 72, 76, 79, 64, 75, 68, 77, 74, 82, 80, 83, 78, 85, 84, 81, 86, 87, 88]]
77: [[37, 7], [4, 3, 9, 8, 5, 1, 2, 11, 6, 29, 13, 24, 14, 15, 20, 17, 18, 27, 12, 16, 21, 19, 31, 22, 53, 25, 58, 50, 28, 23, 30, 57, 40, 46, 35, 43, 26, 38, 45, 32, 41], [34, 10, 36, 33, 42, 44, 47, 51, 49, 52, 48, 55, 54, 56, 61, 39, 60, 59, 62, 63, 64, 66, 70, 69, 71, 68, 77, 67, 76, 75, 73, 65, 79, 74, 72, 78, 83, 86, 80, 81, 82, 87, 85, 84, 88]]
78: [[37, 7], [4, 3], [9, 8, 1], [2, 5, 26, 14, 6, 13, 17, 11, 10, 12, 46, 15, 16, 24, 50, 21, 18, 31, 51, 19, 20, 25, 22, 55, 23, 27, 28, 30, 33, 62], [58, 34, 38, 36, 35, 41, 39, 32, 56, 57, 44, 43, 42, 45, 47, 48, 52], [54, 40, 59, 49, 53, 60, 61, 63, 64], [29, 65, 68, 67, 71, 69, 66, 77, 70], [73, 75, 74, 79], [78, 76, 72, 81, 87, 80, 86, 82], [85, 83, 84, 88]]
79: [[37, 7], [4, 3], [9, 8], [1, 2, 12, 6, 14, 5, 19, 11, 10, 15, 13, 52, 17], [16, 22, 23, 25, 31, 18, 28, 20, 49, 26, 30, 21, 42, 24, 27, 41, 53], [32, 54, 59, 29, 33, 34, 35, 40, 43, 38, 46, 36, 44, 45, 39, 60, 47, 48, 50, 51, 62, 55, 56, 57, 63, 58, 61, 64, 65, 69, 66, 70, 73, 67, 68, 71, 75, 72, 74, 78, 76, 77, 79, 82, 80, 84, 81, 83, 87, 86, 85, 88]]
80: [[37, 7], [4, 3], [9, 8, 33], [1, 10], [2, 6, 5, 31, 12, 27, 58, 11, 30, 13, 14], [26, 16], [17, 18], [20, 21], [19, 29], [15, 22, 25, 50], [23, 59, 24, 55, 36, 28, 62, 34, 38, 32, 47], [49, 40, 42, 35, 43], [39, 41, 44, 46, 54, 51, 48, 52, 53, 57, 60, 63, 56], [45, 61, 65, 64, 66, 77, 71, 70, 73, 68], [67, 76], [74, 69, 72, 75, 78, 81, 80, 83], [85, 84, 82, 86, 87, 79], [88]]
81: [[37, 7], [4, 3], [9, 8, 5], [1, 6, 2, 14, 11, 13, 10, 27, 12, 19, 23, 31, 18, 20, 16, 17], [28, 58], [21, 22, 24, 25, 54, 30, 26, 29, 33, 56, 46, 35], [32, 38], [55, 15, 34, 61, 45, 43, 36, 39, 40, 53, 48], [51], [41, 52, 57, 49, 42, 44, 62, 47, 50, 59, 60], [63, 64, 74, 68, 66, 71, 65, 69], [77, 67, 76, 70, 72, 78, 79, 75, 73, 82, 86, 84, 80, 81, 85, 83, 87, 88]]
82: [[37, 7], [4, 3], [9, 8], [5, 2], [1, 6, 12, 15], [10, 13, 30, 14, 20, 54, 17, 18, 24, 19, 22, 28, 25, 23, 16, 27, 21, 63, 29, 26, 60], [62, 11, 31, 48, 34, 43, 33, 35, 38, 32, 42, 58, 45, 40, 49, 44, 55], [52, 39, 36, 41, 46, 47, 56, 50, 57, 53, 51, 61, 59, 66, 65, 67, 64, 68, 70, 77, 69, 74, 78, 73, 76, 79, 71, 72, 75, 82, 80, 81, 85, 86, 83, 84, 87, 88]]
83: [[37, 7], [4, 3, 9, 8, 5, 1, 10, 2, 12, 27, 11, 13, 6, 24, 14, 30, 15, 21, 22, 23, 26, 20, 17, 16, 18, 25, 63, 28, 31, 60, 29, 61, 19, 36], [32, 44, 48, 33, 49, 42, 39, 34, 38, 40, 45, 41, 43, 46, 57, 53, 51, 52, 62, 35, 47, 50, 58, 55, 54, 56, 59, 64, 65, 68, 67, 71, 70, 72, 77, 76, 69, 73, 66, 78, 79, 75, 74, 84, 82, 81, 80, 83, 86, 85, 87, 88]]
84: [[37, 7], [4, 3], [9, 8, 5, 2], [1, 6, 26], [13, 22, 12, 10, 18, 62, 11], [14, 29], [15, 27, 19, 20], [16, 17, 21, 57, 38, 61, 23, 31, 49, 24, 47, 32, 58, 44, 25, 28, 30, 56, 43, 41, 33, 34, 60, 35, 36, 39, 40, 51, 48, 42, 45, 53, 54, 46, 50, 63, 52, 55, 59, 66, 65, 64, 70, 68, 69, 71, 67, 73, 74, 79, 75, 72, 77, 78], [76, 84], [86, 80, 82, 81, 83, 87, 85, 88]]
85: [[37, 7], [4, 3, 9, 8, 5, 1, 6, 12, 14, 15, 2], [11], [13, 20, 22, 29, 31, 17, 16, 18, 23, 19, 21], [48, 30, 24, 60, 28, 26, 27, 25, 46, 56, 58, 10, 34, 33, 35, 32, 36, 42, 38, 45, 44, 39, 40, 52, 47, 41, 57, 62, 43, 49, 55, 53, 51, 63, 50, 54, 59, 61, 64, 67, 68, 77, 66, 70, 73, 65, 76, 69, 75, 72, 74, 78, 71, 83, 79, 80, 81, 82, 85], [84, 86, 87, 88]]
86: [[37, 7], [4, 3, 9, 8, 1, 2, 10, 5, 6, 15, 11, 12, 14, 28, 13, 26, 27, 18, 16, 20, 21, 17, 19, 24, 49, 52, 23, 59, 25, 56, 29, 30, 46], [22, 60, 32, 31, 33, 36, 40, 38, 35, 39, 42, 44, 41, 45, 47, 48, 50], [51, 43, 34, 53, 55, 54, 61, 58, 57, 62, 63, 64, 80, 72, 75, 69, 66, 67, 71, 65, 76, 73, 68, 70, 74, 77], [79, 78, 85, 82, 81, 84, 83, 87, 86, 88]]
87: [[37, 7], [4, 3, 9], [8, 33, 2, 1, 6, 13, 19, 12, 28, 5, 18, 11, 10, 14, 22, 15, 48, 27, 16, 17, 23, 24, 20, 49, 59, 31, 34, 21, 25, 46, 29, 50, 30, 56, 45, 39, 26, 42, 40, 32, 41, 44, 35, 36, 57, 43, 38, 51, 47, 60, 53, 58, 54, 62, 52, 55, 63, 61, 64, 65, 68, 69, 70, 67, 76, 71, 66, 73, 75, 77, 78, 72, 74, 82, 80, 85, 79, 81, 84, 86, 83, 87, 88]]
88: [[37, 7], [4, 3], [9, 8, 1, 2], [5, 27], [6, 14, 12, 13], [10, 11, 15, 52], [25], [17, 16, 18], [61, 48, 31], [19, 20, 22, 49, 60, 63, 40, 21, 24], [28], [23, 26, 32, 34, 38], [36, 35, 30, 39, 57, 41, 33], [45, 42, 44], [43, 55, 46, 54, 50, 56, 47, 53], [51, 59, 62, 58, 72, 29, 64, 68, 67], [70, 73, 66, 77, 71, 65, 69, 75, 74], [79, 76, 80, 81], [87, 85, 78, 86, 84, 83, 82, 88]]
89: [[37, 7], [4, 3], [9, 2], [5, 1, 10, 30, 12, 8, 14, 11, 13, 24, 26], [21, 20, 22, 23, 6, 16], [17, 18, 19, 57, 28, 29, 15, 27, 25, 61, 58, 48, 51, 32, 34, 31, 59, 44, 36, 42, 43, 35, 40, 47, 45, 50, 33, 38, 62, 60, 39, 41, 46, 52, 49, 55, 53, 54, 56, 63, 64, 66, 69, 65, 67, 68, 77, 70, 72, 73, 74, 78, 71, 75, 76, 88, 86, 80, 83, 79, 81, 82], [84, 87, 85]]
90: [[37, 7], [4, 3], [9, 10], [1, 2], [5, 14], [11, 24, 8, 12, 13, 22, 27, 6, 31, 17, 15, 16], [20, 18], [21, 23], [52, 47, 50, 51, 25], [61, 26, 40, 28, 42, 29, 55], [19, 30, 35, 33, 32, 44, 34, 45, 38, 36, 39, 41, 60, 56, 53, 43, 46, 48, 54, 49, 58, 57, 59, 62, 63, 66, 67, 69, 65, 64, 71, 70, 68, 78], [72, 76, 74, 75, 73, 79, 77, 83], [86, 84, 80, 81, 82, 85, 87, 88]]
91: [[37, 7], [4, 3, 9, 8, 5, 1, 2, 15, 6, 14, 10, 11, 12, 13, 24, 25], [17, 22, 29, 19, 18, 16, 27, 23, 28], [20, 30, 59, 21, 56, 31, 26, 44, 39, 32, 54, 35, 33, 40, 50, 34, 43, 45, 36, 38, 47, 41, 42, 49, 55, 51, 53, 52, 46, 48, 61, 57, 60, 58, 63, 62, 64, 70, 67, 65, 68, 69, 74, 71, 66, 77, 73, 72, 81, 75, 78, 79, 84, 76, 80, 83, 82, 85, 86, 87, 88]]
92: [[37, 7], [4, 3], [9, 8, 5, 1, 6, 2, 10, 29, 12, 28, 13, 31, 15, 21, 14, 20, 19, 18, 16, 22, 17], [27, 25], [56, 30], [26, 63, 24, 23, 11, 54, 34, 33, 40, 57, 32], [35, 53, 36, 41], [46, 38, 39, 42, 44, 43, 55, 45, 47, 49, 48, 62, 58, 50, 51, 52], [59, 60, 61, 66, 72, 65, 67, 68, 76, 73, 64, 69, 70, 74, 79, 78, 71, 81, 75, 77, 86, 80], [82, 84, 83, 85, 87, 88]]
93: [[37, 7], [4, 3, 9, 8, 5, 1, 2, 18, 15, 10, 11, 27, 28, 6, 22, 13, 19, 29, 12, 14, 20, 16, 25, 17, 56, 21, 23, 24, 57, 38, 31, 32, 59, 26, 30, 62, 43, 33, 36], [58, 44], [46, 34, 35, 40, 47, 39, 45, 42, 49, 41, 48, 54, 63, 50, 51, 55, 61, 53, 52, 60, 64, 80, 74, 65, 71, 66, 73, 69, 68, 79], [67, 78, 70, 75, 72, 76], [77, 87, 81, 82, 84, 85, 86, 83, 88]]
94: [[37, 7], [4, 3], [9, 8, 33, 2], [5, 1], [6, 11, 12, 13], [10, 14, 15, 21], [25], [17, 16, 19], [61, 48, 23], [18, 28, 22, 53, 62, 27, 40, 20, 24], [60], [51, 26, 29, 38, 35], [30, 36, 42, 39, 57, 41, 34], [31, 44, 32], [47, 55, 43, 46, 49, 50, 45, 52], [54, 58, 56, 59, 63, 64, 66, 70, 71, 65, 73, 67, 68, 76, 69, 72], [75, 74, 79, 77, 83, 82, 81, 85, 78, 84, 80, 86, 87, 88]]
95: [[37, 7], [4, 3, 9, 8], [1, 2, 5, 27, 6, 15, 12, 29], [10, 18, 11, 14, 25, 23, 16, 17, 13, 52, 19, 21, 20, 24, 49, 60, 31, 40, 30, 22, 26, 28, 50, 32, 58, 54, 38, 59, 33, 35, 45, 41, 44, 34, 42, 36, 39, 43, 47, 46, 56, 48, 51, 53, 55, 57, 61, 62, 63, 66, 64, 68, 69, 70, 65, 74, 77, 67, 73, 71, 75, 79, 88, 76, 72, 81, 78, 80, 85, 86, 84, 83, 82, 87]]
96: [[37, 7], [4, 3], [9, 8, 5, 1, 11, 2, 15, 30, 6, 13, 12, 51, 10, 21, 38, 26, 17, 23, 16, 22, 20, 29, 18, 56, 14, 19, 31, 24], [25, 27], [28, 50, 45, 40, 61, 32, 35, 33], [34, 41, 46, 36, 39, 42, 44, 43, 54, 48, 47, 49, 52, 58, 55, 53, 57, 62, 59, 60, 63, 67, 72, 65, 66, 68, 78, 73, 69, 70, 64, 74, 79, 71, 76, 81, 75, 77, 82], [80, 83, 85, 87, 84, 86], [88]]
97: [[37, 7], [4, 3], [9, 8, 5, 2], [1, 12, 14], [11, 6, 28, 22, 19, 10, 21], [13, 15, 17, 25, 23, 20, 16, 18, 26], [52], [47, 54, 24, 27, 57], [31, 43, 36, 42, 34, 29, 46], [32, 30, 35, 41, 33, 38, 61, 44, 39, 40, 45, 49, 50, 48, 58, 51, 55, 53, 56, 60, 62, 59, 63, 65, 66, 67, 68, 64, 70, 69, 78, 76], [75, 73, 71, 72, 77, 79, 74, 82], [86, 84, 80, 81, 83, 85, 87, 88]]
98: [[37, 7], [4, 3, 9, 8], [33, 1], [2, 14, 6, 29, 5, 28, 27, 25, 12, 15, 13, 23], [17, 16], [18, 19, 10, 11], [24, 62, 20, 21, 56, 22, 26], [43, 30, 34, 32, 46, 36, 38, 42, 45, 53, 41, 54, 47, 57, 58, 39, 40, 59, 44, 35, 49, 50, 52, 61, 63, 51, 55, 60, 64, 48, 66, 83, 70], [73, 65, 31, 69, 71, 67, 72, 79, 74, 68, 77, 75, 76, 78, 80, 81, 84, 85, 86, 82, 87, 88]]
99: [[37, 7], [4, 3], [9, 5], [1, 6], [2, 8], [10, 14, 11, 30, 12, 57], [13, 18, 28, 21, 16, 17, 23, 22, 26, 19, 52, 56, 24, 25], [29, 20, 15, 27, 42, 38, 45, 35, 31, 58], [36, 33], [32, 34, 44, 41, 59, 39, 40, 43, 47, 51], [53, 46, 48, 54, 50, 62, 49, 55, 60, 61, 63, 66], [64, 73, 68, 69, 67, 77, 72, 65], [70, 76, 71, 79, 74, 75, 78, 83, 86, 80, 82, 81, 84, 85, 87, 88]]
100: [[37, 7], [4, 3], [9, 8, 5, 1, 14, 2], [11, 15, 6, 28, 25, 12, 10, 20, 29, 13, 16], [31, 19, 18, 21, 24, 22, 42, 26, 51, 17, 62, 33, 27, 35, 30, 60, 41, 45, 38, 43, 32, 34, 39, 40], [44, 46], [58, 49, 47], [54], [55, 36, 50, 48, 52, 61, 53, 57, 56, 59, 65, 23, 67, 64, 66, 75, 68, 76, 63, 73, 70, 77, 71, 72, 79, 74, 80, 78, 69, 82, 83, 81, 85, 87, 84, 86, 88]]
101: [[37, 7], [4, 3], [9, 8], [5, 1, 2, 20], [14, 29, 10, 6, 15, 40, 12, 26, 11, 13, 16, 18, 17, 27, 19, 48, 21], [55, 23, 46, 24, 28, 62, 56, 22, 30, 31, 32, 25, 35, 33, 34, 45, 38, 51, 47, 49, 41, 44, 50, 43, 42, 36, 52, 39, 54, 57, 58, 59, 60, 53, 63, 61, 66, 67, 65, 64, 68, 73, 69, 70, 72, 71, 76, 75, 74, 78, 79, 80, 85, 77, 82, 84, 83, 86, 81, 87, 88]]
