0: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 5, 14, 12, 6, 10, 21], [29, 9, 8, 31, 15, 23, 24, 17, 16], [28, 22], [19, 25, 20, 30, 26, 37, 36, 32, 41, 33], [39, 34], [47, 45], [38, 43, 44, 40, 42, 46, 51, 52, 48, 18], [49, 57], [50, 53, 55, 54, 56, 59, 60, 58]]
74: [[27, 11, 35], [7, 2, 1, 3, 4], [13, 21, 6, 8, 5, 12, 17, 10, 14, 9, 18, 23, 15, 16, 31, 20, 28, 24, 19, 22, 25, 26, 30, 33, 29, 36, 32, 34, 45, 37, 38, 40, 43, 41], [46, 42, 54, 44, 51], [47, 49, 39, 55, 48, 50, 53, 52, 60, 59, 56, 58, 57]]
75: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6, 24, 4, 14, 10, 9, 12, 8, 15, 30, 25, 19, 16, 23, 17, 18, 28, 22, 29, 20, 26, 31, 41, 33, 32], [36, 37, 34, 39, 38, 42, 45, 40, 43, 48, 44, 47, 52, 46, 49, 53, 54, 51, 50, 56, 55, 60, 58, 57, 59]]
76: [[27, 11, 35], [7, 2, 1, 3, 5, 13, 21, 6], [8, 9, 4, 10, 22, 14, 15, 12, 23, 16, 18, 19, 20, 25, 17, 24, 28, 30, 26, 29, 53, 36, 31, 32, 34, 42, 37, 33, 39, 38, 41, 43, 45, 40, 50, 44, 52, 55, 49, 48, 54, 46, 47, 51], [58, 57, 56, 59, 60]]
77: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6, 8, 4, 12, 9], [14, 15, 10, 16, 22, 17, 18], [19, 24, 25, 28, 20, 26, 23, 29, 31, 46, 30], [56, 32, 36, 34, 33], [39, 38, 40, 41, 43], [42, 37, 44, 45, 48, 47], [55, 51, 53, 49, 50], [57, 52, 58, 54, 59, 60]]
78: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 6, 14, 12, 4, 10, 21], [30, 9, 8, 15, 16, 19, 26, 17, 20], [29, 22], [18, 25, 23, 24, 31, 37, 36, 32, 41, 33], [28, 34, 45, 38], [39, 43, 44, 40, 42], [46, 48, 52, 49, 47, 53, 57, 54, 50, 55, 51, 56, 58, 59, 60]]
79: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6, 15, 4, 30, 8, 12, 9, 10, 16, 14, 24], [23, 17, 22, 20, 18], [19, 31, 25], [26, 29, 46, 28, 33], [37, 34], [42, 36, 47, 32], [44, 45, 38, 41, 39], [40, 43, 54, 50], [49, 48, 56, 53, 52, 51, 57, 60, 55, 58, 59]]
80: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21], [6, 12, 5], [9, 8, 30, 10, 14, 26, 15], [18, 19, 22, 16], [31, 23, 17, 24, 25], [20, 28, 45, 29, 40, 33, 32, 39, 38, 34, 36, 43, 37, 41, 42, 44, 46, 47], [52, 51, 50, 48, 49, 59, 57, 55, 58, 54, 53, 56, 60]]
81: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6], [10, 5, 9], [8, 12, 15, 14, 30, 18, 23, 22, 16, 20, 19], [17, 25, 26, 29, 24, 31, 38, 44, 28, 36, 32, 33, 34, 45, 37, 42, 40, 39, 47, 41, 60, 43, 48, 49, 52, 46, 55, 54, 53, 51, 58, 50, 57, 59, 56]]
82: [[27, 11, 35, 7, 2, 1], [3, 4, 13], [21, 6, 10, 5, 9], [8, 25, 14, 31, 30], [15, 16, 17, 12, 20, 19], [22, 18, 23], [24, 29, 26, 47], [28, 36, 33, 39, 42], [34, 32, 37, 38, 43, 44, 40], [46, 59, 45, 55, 41, 48, 54, 57, 49, 53, 52, 50, 58, 51, 56, 60]]
83: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6], [8, 4, 12], [10, 14, 15, 18], [17, 9, 16, 26], [19, 24, 20, 30, 22, 31, 23], [28, 25, 29, 46, 36, 33, 32], [42, 34, 47, 37, 38], [40, 39], [45, 41, 43, 48], [44, 54, 50, 55], [52, 49], [51, 56, 53, 60, 59, 58, 57]]
84: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8], [5, 9, 14, 25], [12, 15, 17, 16, 10, 18, 20], [19, 28, 23], [22, 26, 31, 24, 30], [46, 29, 36], [32, 34, 37, 39, 38, 40, 33, 42, 44, 47, 41, 45, 43, 60, 49, 54, 50, 51, 55, 57, 48, 56, 58, 52], [59, 53]]
85: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6, 8, 10, 5, 14, 9, 12, 15], [30, 18, 19], [16, 31, 17, 20, 22, 24, 23, 28, 26, 25, 57, 29, 34, 33, 37, 47, 32, 36, 38, 39, 43, 41, 42, 40, 46, 54, 52, 44, 45, 48, 50, 53, 49, 51, 59, 58, 55, 56, 60]]
86: [[27, 11], [35, 7, 2, 1, 3], [4, 13, 25], [5, 18, 9, 8], [6, 10, 12, 15], [17, 16, 19, 21], [20, 23, 28, 24], [26, 22, 31, 29, 30, 14, 37], [36, 32, 34], [33, 39, 38, 42, 45], [41, 46, 40], [47, 51, 43, 44, 57, 54, 49, 52, 55, 53, 48, 56, 58, 50, 59, 60]]
87: [[27, 11, 35], [7, 2, 1, 3, 4, 13], [21, 6, 28, 5, 8, 9, 10, 14, 12, 15, 31, 19, 16], [18, 17, 23, 22, 26], [20, 25, 24], [29, 30, 36, 32, 37], [33, 39, 34, 40, 47, 41, 38, 43, 42, 48, 46, 44, 52], [49, 45, 51, 54, 50, 53, 57, 56, 55, 60, 58, 59]]
88: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6], [8, 4, 12], [26, 10, 9, 15, 30], [14, 17, 23, 22, 20, 16, 24], [18, 19, 28, 29, 25, 38, 31, 32, 37, 33], [39, 34, 40, 36, 42, 41, 44, 43, 46, 45, 60, 47, 55, 54, 52, 59, 51, 49, 57, 48, 50, 56, 58, 53]]
89: [[27, 11, 35, 7, 2, 1], [3, 5, 13, 21, 6], [9, 4, 12], [16, 8], [14, 23, 15, 18, 10], [17, 31, 20], [19, 22, 24, 25, 29, 26], [28, 41], [30, 36, 33, 34, 37, 32, 38, 39, 46, 40, 43, 44, 60, 45, 47, 42, 50, 48, 49, 57, 59, 53, 51, 52, 54, 58, 55, 56]]
90: [[27, 11, 35, 7, 2, 1, 3, 5, 13], [21, 6, 8], [4, 10, 15, 25, 9], [12, 23, 19, 24], [18, 14, 17, 29, 22, 16, 26], [30, 31, 20, 48, 28, 36, 32, 33, 34, 37, 38, 42, 43, 39, 45, 41, 44, 40, 47, 46, 55, 49, 51, 53, 54, 59, 50, 52, 58, 56, 57, 60]]
91: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6, 28], [5, 9, 10], [18, 12, 15, 17, 14, 8], [19, 31, 16, 20, 30, 23, 26, 25, 29, 22, 40, 24, 32], [33, 36, 39, 34, 44], [47, 38, 41], [37, 42, 56, 43, 45, 60, 49, 46, 48, 51, 55, 58, 52], [53, 57, 54, 50, 59]]
92: [[27, 11], [35, 7, 2, 1, 3], [5, 13, 25, 4, 18, 9, 12, 6, 10, 8, 15, 16, 30, 14, 17], [19, 23, 20, 26, 21, 22, 24, 29, 31, 28, 37, 34, 33, 32, 39, 38, 36, 42, 45, 41, 47, 40, 43, 51, 44, 46, 56, 53, 48, 52, 54, 49, 55, 57, 50, 58, 60, 59]]
93: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6, 24], [5, 8, 12, 14, 10], [9, 17, 30, 18, 16, 20, 19, 15, 26, 22, 28, 23, 29, 25, 31, 36], [37, 33, 32, 34, 39, 42, 47, 44, 45, 43], [41, 48, 38, 60, 55, 49, 46, 40, 50, 54, 51, 56, 53, 59, 52, 57, 58]]
94: [[27, 11, 35, 7, 2, 1], [3, 4, 13, 21, 6, 8], [5, 9, 30], [10, 12, 18, 17, 14, 16, 23, 19], [20, 22], [24, 15, 28, 31, 29, 25, 37], [38, 26, 36, 33, 47, 34, 39, 32, 45], [43, 42, 40], [41, 44, 46, 50], [48, 49, 53, 54, 55], [52, 56, 59, 51, 58, 57, 60]]
95: [[27, 11, 35], [7, 2, 1, 3, 4, 13, 21, 6, 8, 5, 12, 9], [15, 10, 14, 16, 25, 18, 20, 19, 23], [22, 17, 29, 24, 26, 30, 31, 28, 46, 32, 33, 34, 42, 38, 41, 37, 44, 36, 43, 45, 39, 47, 40, 52, 48, 50, 49, 54, 53, 57, 60], [56, 51, 55, 58, 59]]
96: [[27, 11, 35, 7, 2, 1], [3, 4, 13, 25, 6], [8, 5, 12, 9, 30, 14, 10, 18, 16, 19, 15, 17, 20], [21, 22, 26, 23, 24, 28, 31, 46, 29, 32, 33, 34, 37, 40, 36, 38, 39, 41, 47, 42, 43, 44, 45, 54, 51, 55, 49, 48, 50, 57, 52, 60, 53, 58, 59, 56]]
97: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6, 24, 5, 9, 12, 14, 26, 15, 8, 31], [16, 10, 23, 20, 17], [29, 25, 18, 30, 19, 22, 38, 28, 37, 36, 32, 33, 34, 41, 39, 40, 43, 42, 44, 45, 47, 60, 51, 46, 49, 52, 54, 55, 48, 50, 56, 53, 57, 59, 58]]
98: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 8, 6, 20, 4], [30, 10, 26, 9, 12, 14, 22, 24, 15, 16, 23, 17, 21, 29, 19], [18, 31, 56, 25, 45, 36, 28, 34, 39, 32, 38, 46, 44, 33, 37, 40], [43, 42, 47, 49, 41], [50, 55, 52, 54, 53, 51, 48, 58, 59, 57, 60]]
99: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 5], [9, 6, 12], [24, 8, 10, 15, 16, 17], [14, 22, 19, 18, 25], [28, 23, 20], [29, 30, 26, 40], [31, 36, 33, 34, 39, 32, 38, 37, 42, 47, 41, 44], [43, 45, 50, 46, 48, 52, 51, 55, 59, 49, 54, 53, 58, 56, 57, 60]]
100: [[27, 11, 35], [7, 2, 1, 3, 5], [13, 21, 6, 8, 4, 12, 24, 10, 9, 15, 16, 14, 17, 20, 19, 18, 22, 26, 23, 25, 28, 29], [31, 33, 30, 32, 36, 34, 38, 39], [45, 37], [42, 41, 47, 40, 43, 44, 60, 46, 49, 52, 53, 50, 51, 48, 54, 55, 57, 56, 58, 59]]
101: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 5, 28, 6], [10, 9, 8], [12, 15, 18, 23, 14, 17], [31, 16, 19, 30, 20, 24, 22], [25, 26, 41, 29, 32], [36, 33, 34], [37, 44, 43, 39, 38], [40, 42, 45], [46, 47, 51, 48, 49, 50], [52, 53, 54, 58, 55, 59, 56, 57, 60]]
102: [[27, 11, 35, 7, 2, 1], [3, 4, 13], [21, 6, 8, 5, 10], [9, 17, 12, 15], [14, 19], [23, 20], [22, 16, 28, 18, 25, 24, 29, 30, 26, 42], [39, 31], [37, 33, 32, 34, 47, 45, 46, 36], [41, 40, 43, 44, 51, 38, 48, 50, 49, 57, 53, 54, 55, 52, 56, 59, 58, 60]]
103: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [8, 5, 10], [9, 14, 12], [15, 16, 30, 19, 17], [18, 20, 22], [24, 26], [23, 25, 29, 31, 28, 41, 38, 32], [34, 39], [33, 37, 40, 36, 47], [43, 44, 52, 42, 46, 45, 56, 53, 50, 55, 54, 48, 60, 49, 57, 51, 58, 59]]
104: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6], [8, 5, 12, 10, 24], [9, 15, 26, 14, 23, 19], [25, 17, 28, 30, 16], [20, 22, 18, 31, 37, 29, 45], [32, 33, 39, 34, 46, 36, 38], [40, 41, 47, 43, 42, 44, 52], [55, 51, 48, 49, 50, 58], [53, 59, 60, 54, 56, 57]]
105: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6], [8, 4, 12], [14, 10, 9], [15, 16, 25, 18, 20], [19, 17, 24, 26, 23], [22, 31, 30, 29, 28, 46], [37, 32, 33], [42, 34, 40], [39, 47, 36], [45, 38, 41, 55], [43, 54, 44, 52, 49], [48, 53, 50, 60, 59, 51, 56], [57, 58]]
106: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21], [6, 9, 5, 26, 8, 12], [10, 31, 18], [14, 16, 22, 23, 20], [19, 17, 15, 28, 25, 24, 29, 33, 30, 34, 32], [38, 39, 37, 47, 36, 44, 42], [45, 41, 48, 43, 60], [53, 40, 50, 46, 49, 54, 56, 57, 52, 51, 55, 59, 58]]
107: [[27, 11, 35], [7, 2, 1, 3, 4, 13, 21, 6, 8, 5, 12, 10, 14, 9, 15, 30, 16, 17, 22, 18, 19, 20, 25, 23, 28, 29, 24, 31, 42, 26, 53, 36, 33, 39, 34, 37, 38, 46, 41, 45, 32, 43, 40, 47, 44, 48, 51, 49, 56, 50, 54, 52, 57, 58], [55, 59, 60]]
108: [[27, 11, 35, 7, 2, 1], [3, 5, 13], [21, 6, 8, 4, 9], [15, 25, 10, 12, 30], [19, 16, 18, 14, 17], [29, 22, 23, 24, 26, 31, 20], [32, 28, 39, 34, 33], [37, 38, 36], [41, 42, 43], [45, 46, 40, 44, 47], [54, 51, 49, 48], [53, 52, 55, 50, 60, 58, 56], [57, 59]]
109: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6, 9, 4], [26, 8, 14, 12], [18, 25, 10], [17, 31, 16, 15, 19], [20, 22, 23], [24, 28, 29, 30], [33, 46, 34, 38, 32, 37, 36, 42, 40, 44, 43, 41, 39], [45, 47, 50, 52, 49, 51], [55, 54, 58, 53, 57], [56, 59, 48, 60]]
110: [[27, 11, 35, 7, 2, 1], [3, 5, 13], [21, 6, 9], [4, 14, 16], [10, 12, 15], [8, 28, 17, 20, 19], [18, 22, 25, 30, 26, 23, 24, 29, 33], [31, 36, 32], [42, 39, 34], [37, 38, 45, 40, 43, 41], [51, 44, 47, 46, 49], [52, 53, 50, 54, 56, 59, 48, 57, 60, 58, 55]]
111: [[27, 11, 35, 7, 2, 1, 3, 5, 13, 21, 6, 9, 4, 24, 10, 14, 8, 31, 12, 15, 17, 16, 19, 20], [22, 18, 25, 28, 23, 26, 29, 37, 30, 36, 32, 38, 33], [39, 40, 34, 44, 46, 41, 45, 42, 43, 51, 50, 47, 49, 48, 53, 54, 56, 57, 52, 55, 58, 59, 60]]
112: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6, 10], [4, 9, 8, 12, 15, 28], [22, 14, 16, 19, 17], [20, 25, 18, 23, 31], [24, 26, 30], [43, 29, 36, 32, 34], [37, 33, 39], [38, 40, 44, 41, 42], [45, 46, 52], [55, 50, 47, 48, 49], [53, 54, 51], [56, 57, 58, 60, 59]]
113: [[27, 11, 35, 7, 2, 1, 3, 5, 13], [21, 6, 10, 4, 9], [8, 25, 15], [12, 23, 14, 24, 19], [17, 20, 18], [22, 16, 30, 31, 28], [26, 33, 29, 36, 32, 34, 37, 38, 39, 42, 41, 40, 45, 43, 47, 46, 44, 51, 54, 48, 49, 57, 53, 55, 50, 52, 58, 56, 60, 59]]
114: [[27, 11, 35, 7, 2], [1, 3, 4, 13], [20, 14, 18, 5, 6, 8, 25], [24, 10], [9, 16, 12, 17, 15, 19, 21, 29, 28, 26], [31, 22], [23, 46], [47, 30, 32, 34], [42, 37, 33, 36, 38, 39, 41, 44], [40, 45], [57, 52, 43, 48, 49, 51], [55, 53, 50, 56, 54, 58, 59, 60]]
115: [[27, 11, 35, 7, 2, 1], [3, 5, 13], [21, 6, 8, 4, 24], [12, 30, 10], [14, 15, 9, 16], [26, 19, 20, 18], [17, 22, 31, 23, 29, 25, 47], [28, 39, 33, 32, 42, 38, 36], [40, 34, 37, 44, 45], [41, 56], [46, 53, 43, 48], [55, 60, 52, 49], [50, 51], [54, 57, 58, 59]]
116: [[27, 11], [35, 7, 2, 1, 3], [4, 13, 25], [5, 18, 9, 8, 6, 10, 12], [15, 17, 16], [19, 21, 20, 23, 28], [24, 26, 22], [31, 29, 30, 14, 37, 36, 32, 34, 33, 39, 38, 42, 45, 41, 46, 40, 47, 51, 43, 44, 57, 54, 49, 52], [55, 53, 48, 56, 58, 50, 59, 60]]
117: [[27, 11, 35, 7, 2, 1, 3, 5, 13], [21, 6, 8, 4, 10, 12, 9, 14, 31], [16, 30, 17], [19, 15, 20, 22, 18, 26, 24, 28, 25], [29, 42, 23, 33, 32, 38], [37, 34, 45, 39, 41, 36, 44, 43, 40, 59, 46], [54, 47, 55, 51, 48, 49, 50, 56], [60, 53, 52, 58, 57]]
118: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 8, 5], [12, 6, 10], [20, 29, 9, 14, 30], [15, 23, 24, 16, 17, 28, 22, 19], [25, 21, 26, 31, 38, 44], [32, 41, 36, 33, 34, 37, 39, 42, 43], [40, 47, 45, 46, 48, 51], [55, 18, 49, 57, 50, 53, 58, 52, 56, 54, 59], [60]]
119: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6], [9, 12, 4, 10, 8], [16, 20, 24], [30, 15, 19, 23], [14, 25, 17, 18, 22], [31, 26, 29], [57, 45, 28], [33, 34, 39, 32, 38], [44, 36, 42], [41, 37, 43, 47, 51], [40, 48, 46], [49, 53, 59, 50, 55], [54, 56, 60, 52, 58]]
120: [[27, 11, 35, 7, 2, 1], [3, 4, 13], [5, 22, 6, 8, 12, 25, 9], [15, 20, 10, 14, 23, 16, 17, 19, 30], [18, 21], [24, 28, 26, 31, 45, 29, 60, 36, 33], [39, 34], [47, 37], [38, 40, 43, 32, 42, 41, 51, 52, 48, 44], [50, 57], [49, 53, 46, 54, 58, 59, 55, 56]]
121: [[27, 11, 35, 7], [2, 1, 3], [4, 13, 21, 6], [24, 5, 12, 8, 10], [9, 15, 17], [30, 18, 23, 14], [16, 31, 19, 22, 20], [26, 25, 29], [47, 28, 36, 33, 32], [34, 38, 37], [39, 40, 42, 44, 43], [41, 45, 59], [46, 49, 54], [48, 51, 50, 55], [53, 57, 58, 56, 52], [60]]
