0: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50, 17, 42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 4], [15, 16, 5, 1, 28, 10, 18], [40, 24, 23, 12], [25, 41], [31, 33], [36, 37, 44], [46, 27, 43], [19, 20, 32], [59, 53, 45, 55], [49, 57], [52, 56], [60, 58]]
74: [[7, 35, 2], [22, 54], [48, 38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 21, 9], [8, 11], [30, 3, 51], [14, 29, 4], [15, 10], [16, 5, 1], [28, 40], [24, 12, 23, 25, 41, 33, 31, 36, 37, 18, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
75: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50, 17], [42, 6, 21, 9], [8, 11, 30, 3], [51, 14], [4], [15, 10, 16], [5, 18, 29], [1, 28, 40], [24, 23], [12, 25, 41], [31, 33, 36], [37, 44, 46], [27, 43, 19, 20, 32, 59], [53, 45, 55, 49, 57, 52, 56, 60, 58]]
76: [[7, 35, 2], [22, 54], [48, 38, 47, 34], [26, 39, 13, 50, 17, 42, 6, 21, 9], [8, 11, 30, 3, 51, 14, 29, 4, 15, 10, 16, 5, 1, 18, 28, 40, 24, 23, 12, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
77: [[7, 35, 2], [22, 54], [48, 38], [47, 34, 26, 39], [13, 50, 17], [42, 9, 6], [21, 8, 11], [30, 3, 51], [14, 29, 4], [15, 10, 18, 1, 5, 28, 16, 40, 24, 12, 23, 56, 25, 41, 31, 37, 33], [44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 36, 60, 58]]
78: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50, 17, 42, 9, 6], [21, 8, 11], [30, 3, 51], [14, 4, 15, 16], [10, 18, 5, 1], [28, 40, 24, 29], [12, 23, 25], [41, 31, 33, 36, 37, 44, 46], [27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
79: [[7, 35], [2, 22, 54], [48, 38], [47, 34], [26, 39], [13, 50, 17], [42, 6], [21, 9, 8], [11, 30, 3, 51], [14], [4, 15, 16, 10], [18, 5, 1], [28, 40, 24, 12], [23, 25, 41, 33], [31, 36], [37, 29], [44, 46, 27, 43], [19, 20, 32, 59], [53, 45, 55, 49, 57, 52, 56, 60, 58]]
80: [[7, 35], [2, 22], [54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 21, 9, 8], [11, 30, 3, 51], [14, 4, 15, 10, 16, 5, 18, 29, 1], [28, 40, 24, 12, 23, 56, 25, 41, 31, 33, 37, 44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52], [36, 60, 58]]
81: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 21, 9], [8, 11, 30], [3, 51, 14], [29, 15, 16, 10], [18, 5, 1, 28], [40, 24, 4], [12, 23, 25, 41, 31, 33, 37], [36, 44, 46, 27, 43, 19, 20], [32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
82: [[7, 35, 2], [22, 54], [48, 38, 47, 34], [26, 39, 13], [50, 17, 42], [9, 6, 21], [8, 11], [30, 3, 51, 14], [4, 15, 16, 10], [18, 5, 1, 28, 40, 24, 29, 12, 23, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
83: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26], [39, 13, 50], [17, 42, 6], [21, 9, 8], [11, 30, 3], [51, 14, 29, 15], [16, 10, 18, 5], [1, 28, 40], [24, 4, 12], [23, 25], [41, 31], [33, 36, 37], [44], [46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
84: [[7, 35], [2, 22, 54], [48, 38, 47, 34], [26, 39, 13], [50, 21, 17], [42, 9, 6], [8, 11, 30], [3, 51], [14, 4, 15], [16, 10, 18], [5, 1], [28, 40, 24], [12, 23, 25], [41, 33, 31], [36, 37, 29], [44, 46, 27, 43], [19, 20, 32, 59], [45, 53, 55, 49, 57, 52, 56, 60, 58]]
85: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 6, 21], [9, 8], [11, 30], [3, 51], [14, 4, 15], [16, 10, 18], [5, 1, 28], [40, 24], [12, 23, 25, 41, 33, 31, 36, 29, 37, 44, 46, 27, 43, 19, 20], [32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
86: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50], [17, 42, 6], [21, 9, 8, 11], [30, 3], [51, 14, 29], [4, 15, 16], [5, 1, 28], [10, 18, 40], [24, 23, 12, 25], [41, 31], [33, 36, 37], [44], [46, 27, 43, 19], [20, 32, 59, 53], [45, 55, 49], [57, 52], [56, 60, 58]]
87: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26], [39, 13, 21], [50, 17], [42, 9, 8], [11, 30, 3, 51, 14, 4, 15, 10, 6], [16, 5, 1, 28, 40, 29, 24, 12, 23, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58, 18]]
88: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [21, 9], [8, 11, 6], [30, 3], [51, 14, 29, 4], [15, 16, 1], [28, 40, 12], [24, 5, 23, 25], [41, 31, 33, 36], [10, 18, 37, 44], [46, 27], [43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
89: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26], [39, 13, 50], [17, 42, 6], [21, 9], [8, 11, 30], [3, 51, 14], [4, 10, 15], [16, 5, 1], [28, 40, 18], [24, 29], [12, 23, 25], [41, 31, 33], [36, 37, 45], [46, 27, 43], [19], [20, 32, 59], [53, 44, 55], [49, 57, 52, 56, 60, 58]]
90: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50], [17, 42], [6, 21, 9], [8, 11, 30], [3, 51, 14, 4, 10, 15, 16, 29, 5, 18, 1, 40, 24, 12, 23, 28, 25, 41, 31, 33, 36, 37, 45, 46, 27, 43, 19, 20, 32, 59, 53, 44, 55, 49, 57, 52, 56, 60, 58]]
91: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 53], [42, 6, 10], [9, 8, 11], [30, 3, 51], [14, 15, 16, 18], [5, 21, 1, 28, 4, 40, 24, 12, 23, 56, 25, 41, 31, 37, 33, 44, 46, 27, 43, 19, 20, 32, 59, 45, 29, 55, 49, 57, 52, 36, 60, 58]]
92: [[7, 35, 2], [22], [54, 48, 38], [47, 34, 26, 39], [13, 50], [21, 17], [42, 9, 8, 11], [6, 10], [30, 3, 51], [14, 28, 15], [16, 4, 5], [1, 29, 18], [40, 24], [12, 23, 56], [25, 41, 31], [33, 37, 44], [46, 27, 43], [19, 20, 32], [59, 45, 53, 55], [49, 57, 52, 36], [60, 58]]
93: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13, 50], [17, 42], [6, 21, 9], [8, 11, 30], [3, 51, 14], [29, 15, 16, 10, 18, 5, 1, 28, 40, 24, 4, 12, 23, 25, 33, 31, 36, 37, 41, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
94: [[7, 35], [2, 22, 54], [48, 38, 47], [34, 26], [39, 13, 50], [17, 42, 6], [21, 9, 8], [11, 30, 3], [51, 14, 4], [15, 16, 10], [18, 5, 1], [28, 29, 12], [40, 24], [23, 25], [41, 31, 33], [37, 36], [44, 46, 27], [43, 19, 20], [32, 59], [45, 53, 55], [49, 57, 52], [56, 60, 58]]
95: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26, 39], [13, 50, 17], [42, 9], [6, 21, 8], [11, 30], [3, 51], [14, 4], [15, 16, 10], [18, 5, 1], [28, 40, 24], [12, 23, 25, 41], [33, 31, 36, 37], [29, 44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
96: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 21], [50, 17], [42, 9], [8, 11, 30], [3, 51, 6], [14, 4, 15, 10], [16, 5, 1], [18, 28], [40, 24], [29, 12, 23], [25, 41, 31], [33, 36, 37], [44, 46], [27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
97: [[7, 35, 2], [22, 54, 48, 38, 47, 34, 26, 39, 13, 50, 17, 42, 9, 6, 21, 8, 11, 30, 3, 51, 14, 29, 4, 15, 16, 18, 5], [1, 10, 40, 24, 12, 23, 25, 41, 31, 33, 36, 37, 44, 46, 28, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
98: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [9, 6], [21, 8, 11], [30, 3, 51], [14, 29], [15, 16], [10, 18], [5, 1, 28], [40, 4], [24, 12, 23], [25, 41, 31], [33, 36], [37, 44], [46, 27], [43, 19], [20, 32], [59, 45], [53, 55, 49], [57, 52, 56], [60, 58]]
99: [[7, 35, 2], [22], [54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [21, 42, 9], [6, 8, 11], [30, 3, 51], [14, 4, 15], [16, 10, 18, 5], [1, 28, 40, 24], [12, 23], [25, 41, 33, 31], [36, 37, 29, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
100: [[7, 35, 2, 22], [54, 48, 38], [47, 34, 26], [39, 13], [50, 17], [42, 6, 21], [9], [8, 11, 30, 3, 51, 14, 4, 15, 16, 10, 18, 5, 1, 28, 40, 29, 24, 23, 12, 25, 41, 31, 33, 37, 36, 44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
101: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [6, 21, 9], [10, 8, 30], [3, 51, 14], [29, 4], [15, 11, 16, 5], [1, 28, 40, 24], [12, 23], [25, 41, 31], [33, 36, 37], [44, 46, 18, 27], [43, 19, 20, 32], [59, 53], [45, 55, 49], [57, 52, 56], [60, 58]]
102: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 21], [42, 9], [8, 11], [30], [3, 6, 51], [14, 29, 15], [16, 4, 5], [1, 28, 10], [18, 40, 24], [23, 12, 25], [41, 31, 33], [36, 37, 44], [46, 27, 43], [19, 20], [32, 59], [53, 45, 55], [49, 57, 52, 56, 60, 58]]
103: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26, 39], [13, 50, 17, 21], [42, 9], [8, 11, 30], [3, 51, 6], [14, 29, 4, 15, 10, 16, 5, 1, 28, 18, 40, 24, 12, 23, 56, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 45, 53, 55, 49, 57, 52, 59, 60, 58]]
104: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17, 42], [9, 6, 21, 8], [11, 30], [3, 51, 14], [29, 4, 15, 16], [18, 5, 1], [10, 40, 24], [12, 23, 25, 41, 31, 33], [36, 37, 44, 46, 28, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57], [52, 56, 60, 58]]
105: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50], [17, 42, 9], [6, 21], [8, 11, 30], [3, 51, 14], [29, 15], [16, 10, 18], [5, 1, 28], [40, 24], [12, 23, 25], [41, 31], [33, 36, 37, 44, 46, 4, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
106: [[7, 35], [2, 22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17], [42, 6], [21, 9, 8], [11, 30, 3], [51, 14, 29], [4, 15, 10], [16, 5], [18, 1], [28, 40, 24], [23, 12, 25], [41, 31, 33], [36, 37, 44], [46, 27, 43], [19, 20], [32, 59, 53, 45], [55, 49, 57], [52, 56], [60, 58]]
107: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 9], [8, 11, 6, 21, 30, 3, 51, 14, 29, 4, 15, 10, 16, 5, 18, 1, 28, 40, 24, 23, 12, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
108: [[7, 35], [2, 22], [54, 48, 38, 47, 34, 26, 39, 13, 50, 17, 42, 6, 21], [9, 8, 11, 30, 3, 51, 14, 4, 15, 16, 10, 18, 5, 1, 28, 40, 29, 24, 23, 12, 25, 41, 31, 33, 37, 36, 44, 46, 27, 43, 19, 20, 32, 59, 45, 53, 55, 49, 57, 52, 56, 60, 58]]
109: [[7, 35], [2, 22], [54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 21], [42, 6, 10, 9], [8, 11, 30, 3], [51], [14, 28, 15, 16], [18, 5, 1], [29, 40, 24], [4, 12, 23], [25, 41, 31], [33, 36, 37], [45, 46, 27], [43, 19], [20, 32, 59, 53], [44, 55, 49, 57, 52, 56, 60, 58]]
110: [[7, 35], [2, 22], [54, 48, 38], [47, 34, 26], [39, 13], [50, 17, 42], [9, 6, 21], [8, 11], [30, 3], [51, 14, 28], [15, 16, 10], [18, 1], [5, 4, 40], [24, 12], [23, 25, 41, 33, 31, 36, 37, 29, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
111: [[7, 35], [2, 22], [54], [48, 38], [47, 34], [26, 39, 13], [50, 21, 17], [42, 9, 8], [11, 30], [3, 51, 19], [14, 4, 15], [10, 18], [16, 5, 1], [28, 40, 24], [29, 12, 23], [25, 41, 31], [33, 36, 37], [45, 46, 27], [43, 6, 20], [32, 59, 53], [44, 55], [49, 57, 52], [56, 60, 58]]
112: [[7, 35, 2], [22, 54], [48, 38, 47, 34], [26, 39, 13], [50, 17], [42, 6], [21, 9, 8], [11, 30], [3, 51], [14, 29, 4], [15, 10, 18], [5, 1, 16, 40, 24, 28, 12, 23, 25, 41, 31, 33, 36, 56, 37, 44, 46, 27, 43, 19, 20, 32, 45, 53, 55, 49, 57, 52, 59, 60, 58]]
113: [[7, 35], [2, 22, 54], [48, 38], [47, 34], [26, 39, 13], [50, 17, 42], [6, 21, 9], [8, 11, 30], [3, 51, 14, 4, 15], [16, 10, 18, 5, 1, 28, 40, 24, 12, 23, 25, 41, 33, 31, 36, 37, 29, 44, 46, 27, 43, 19, 20], [32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
114: [[7, 35], [2, 22], [54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 6], [21, 9, 8], [11, 30, 3], [51, 14, 29], [4, 15, 16], [5, 1, 28, 10], [18, 40, 24], [23, 25, 41, 31], [33, 36, 37, 12], [44, 46, 27], [43, 19, 20, 32, 59, 45, 53], [55, 49, 57, 52, 56, 60, 58]]
115: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17], [42, 6], [21, 9, 8], [11, 30, 3], [51, 14, 29], [15, 16, 10, 18, 5, 1, 28, 40, 4, 24, 12, 23, 25, 41, 33, 31, 36, 37, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
116: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50], [17, 53], [42, 6, 8], [11, 9, 30], [3, 51], [14, 29, 4], [15, 16, 1], [28, 40, 12], [24, 5, 23, 25], [41, 31], [33, 36, 10, 18, 37, 44, 46, 27, 43, 19, 20, 32, 59, 45, 21, 55, 49, 57, 52, 56, 60, 58]]
117: [[7, 35], [2, 22], [54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 9, 6], [21, 8], [11, 30, 3], [51, 14, 29], [15, 16], [10, 18, 5], [1, 28, 40], [24, 12], [23, 25, 41], [31, 33, 36], [37, 44, 46], [4, 27, 43], [19, 20, 32], [59, 45], [53, 55, 49], [57, 52], [56, 60, 58]]
118: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50], [17, 42, 9, 6], [21, 8, 11, 30], [3, 51, 14, 4, 15, 10, 16, 5, 1, 28, 18, 40, 24, 12, 23, 25, 41, 33, 31, 36, 37, 29, 44, 46, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
119: [[7, 35], [2, 22, 54, 48, 38, 47, 34, 26, 39, 13, 50, 17, 21, 42, 6, 10, 9, 8, 11, 31, 51, 14, 4, 15, 16, 3, 18, 5, 1, 28, 40, 24, 12, 23, 25, 41, 33, 30, 36, 37, 29, 44, 46, 27, 43, 19, 20, 32, 56, 59, 53, 55, 49, 57, 52, 45], [60, 58]]
120: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26, 39], [13, 50, 17], [42, 9], [8, 11, 6], [21, 30, 3], [51, 14, 29, 4, 15, 10, 16, 5, 1, 28, 18, 40, 24, 12, 23, 56, 25, 41, 31, 33, 36, 37, 44, 46, 27, 43, 19, 20, 32, 45, 53, 55, 49, 57, 52, 59, 60, 58]]
121: [[7, 35], [2, 22, 54, 48], [38, 47, 34, 26], [39, 13], [50], [17, 42, 6, 21, 9, 8, 11, 30, 3, 51, 14, 29, 15, 16, 10, 18, 5, 1, 28, 40, 24, 12, 23, 25, 41, 31, 33, 36, 37, 44, 46, 4, 27, 43, 19, 20, 32, 59, 53, 45, 55, 49, 57, 52, 56, 60, 58]]
