0: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21], [12, 4, 24, 9, 11], [8, 14, 15, 16, 17, 10, 18], [20, 19], [31, 25, 22, 28, 23, 26], [30, 29, 37, 32, 43, 42], [39, 34, 36, 41, 46, 33], [38, 44, 47, 45, 55], [48], [51, 50], [49, 57], [52, 53, 54, 58, 59, 60, 56]]
74: [[1, 35, 27, 7, 2], [5, 13, 40], [3, 4, 21, 12, 6, 8], [25, 11, 10, 18, 15, 16, 19, 14, 9, 20, 17, 31, 22, 23, 24, 26, 30, 28, 29, 33, 37, 43, 34], [39, 32, 46, 36, 38, 41], [42, 47, 44, 45, 55], [48], [51, 50], [53, 49], [52, 54, 57, 58, 59, 60, 56]]
75: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 22, 21], [14, 12, 25, 8, 4, 9], [11, 15, 6, 10], [19, 17, 16, 18, 28, 20], [29, 23, 24, 30, 26, 31, 32, 37, 36, 38], [34, 33, 42, 39, 47, 44, 41, 45, 59, 46, 50, 48, 49, 51, 53, 43, 57], [54, 52, 60, 55, 58, 56]]
76: [[1, 35, 27, 7, 2, 5], [13, 8, 3, 12, 4, 22, 10, 14, 15, 6, 19, 17, 11, 16, 20, 31, 9, 18, 30, 21, 24, 23, 26, 25, 29, 28, 42, 44, 36, 33, 34, 32, 38], [37, 40, 39, 47, 41, 45, 43, 46, 51, 48, 53, 50, 49, 52, 54, 55, 60, 59, 56, 57, 58]]
77: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21, 4, 22, 8, 15, 12, 9], [14, 10, 11, 23, 28, 20, 16, 18, 17, 24, 19, 25, 29], [30, 26, 31, 36, 37, 33, 32, 34, 38, 45, 39, 42], [46, 44, 41, 43, 47, 54, 48, 51, 50, 52, 53, 55, 49], [58, 57, 59, 60, 56]]
78: [[1, 35, 27, 7, 2], [5, 13, 41, 3, 4, 21, 6], [12, 9, 11, 10, 14, 19, 15], [8, 30, 16, 23, 20], [24, 17, 22, 18], [25, 26, 29, 31, 28, 39, 33, 37, 34, 32], [36, 40, 38, 47, 42, 43, 46, 44, 45, 55, 48, 52, 50, 54, 49, 53, 51, 56, 58, 57, 59, 60]]
79: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 20], [15, 6, 9, 12, 8, 10], [17, 11, 14, 30, 16, 18], [22, 23, 19, 26], [24, 31, 25, 21, 29, 28], [37, 36, 32, 38, 34, 33, 45, 41, 39, 42, 43, 46, 44, 50, 51, 48, 55, 47, 49, 57, 54, 52, 58, 56, 53, 60, 59]]
80: [[1, 35, 27, 7, 2, 5], [13], [40, 3, 4, 20, 8, 6, 24, 9], [12, 11, 10, 17, 15, 18, 14], [16, 25, 22, 28, 23, 19, 21, 26, 29, 30, 31, 39, 34], [33, 36, 37, 41, 47, 38], [44, 42, 32, 46, 45], [55], [54, 60, 43, 49, 50, 51, 53, 56, 48, 52, 59, 57, 58]]
81: [[1, 35, 27, 7, 2, 4], [13, 40], [19, 5, 20, 8, 3, 26, 15, 10, 14, 6, 9, 11, 12, 23, 16, 31, 22, 17, 24, 18, 25, 21, 28, 29, 30, 47, 33, 32, 34, 36, 39, 44, 43, 46, 37, 42, 45, 38, 41, 52, 50, 48, 51, 49, 55, 54], [53, 57, 58, 59, 60, 56]]
82: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 6, 20], [8, 4, 9, 10, 3, 15, 14, 11], [12, 18, 26, 17, 22, 21, 28, 25, 16], [31, 23], [24, 30, 29, 37, 32, 43], [36, 38, 34, 45, 33, 47, 39], [41, 44, 46, 42, 54, 48, 49, 50, 51, 55, 52, 53, 57, 59, 58, 60, 56]]
83: [[1, 35, 27, 7, 2, 5, 13, 40, 3, 4, 21, 9, 8], [24, 15, 10, 14, 11, 12, 20, 25, 18, 16, 22, 17, 6, 26, 29, 19, 23, 30, 28, 31, 37, 36, 32, 34, 39, 33, 45, 44, 38, 42, 41, 46, 43, 47], [51, 48, 53, 50, 57, 49, 52, 58, 54, 56, 59, 60, 55]]
84: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 20, 21], [12, 4, 9, 6, 8, 10], [19, 14, 11, 15, 16, 17, 18, 22, 31, 24, 30, 25, 29, 23, 26, 28], [39, 32, 42, 36, 33, 34], [37, 43, 47, 44], [45, 41, 58, 38, 54, 48, 51, 49, 46, 50], [52, 55, 53, 59, 60, 56, 57]]
85: [[1, 35, 27, 7, 2, 5], [13, 40, 19, 6, 22, 11, 20, 10, 3, 12, 15, 18, 4, 8, 14], [23, 28, 9, 30, 17, 26, 24, 16, 21, 25, 29, 31, 32, 33, 34, 38, 37, 39, 45, 44, 36, 46, 42, 41, 43, 47, 53, 48, 51, 49, 52, 54, 58, 50, 57, 59, 60, 55, 56]]
86: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 4, 21, 12], [6, 25, 9, 11, 8], [10, 15], [20, 18, 14, 16, 17, 19], [29, 23, 22, 24, 28, 31, 26, 30], [36, 32, 41, 34, 38, 39, 37], [33, 47, 42, 43], [46, 45, 44, 55, 48, 51, 50, 49, 52, 53, 57, 56, 54, 60, 58], [59]]
87: [[1, 35, 27, 7, 2, 5], [13, 56], [19], [6, 20, 12, 4, 14, 10, 15, 8], [9], [11, 30, 3, 18, 28, 22, 23, 17, 16, 21, 31, 25, 26, 29, 24, 32, 33, 43, 34, 37, 39, 40, 45, 38, 44, 36, 42, 41, 47, 48, 50, 46, 49, 51, 52, 53, 54, 55, 57, 59, 60, 58]]
88: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 4, 17, 3, 6], [8, 30, 10, 11, 9, 15, 12, 23, 14, 29, 22, 16, 18], [24, 20, 21, 26, 28, 25, 31, 38, 33, 41, 34, 36, 37, 39, 32, 45], [46, 42, 43, 44, 47, 54, 48, 51, 50, 52, 53, 55, 49], [58, 57, 59, 60, 56]]
89: [[1, 35, 27, 7, 2, 5, 13], [40, 3, 12, 19, 6, 4, 24, 11, 15, 8, 17, 9, 10, 14, 22, 16, 21, 20, 18, 23, 26, 25, 29, 30, 28, 31, 37, 33, 36, 32, 38, 34, 39, 41, 46, 42, 43, 44, 47, 45, 53, 49, 52, 48, 51, 56, 50], [54, 55, 58, 57, 60, 59]]
90: [[1, 35, 27, 7, 2, 5, 13], [40, 3, 4, 21, 8, 28, 10, 31, 9, 6, 18, 11, 14, 17, 12, 22, 16, 15, 24, 25, 19, 20, 23, 30, 26, 29, 33, 34, 38, 37, 32, 36, 47, 39, 44, 43, 41, 42, 46, 45, 52, 48, 50, 51, 53, 55, 49, 60], [58, 54, 57, 56, 59]]
91: [[1, 35, 27, 7, 2, 5, 13, 40, 19, 3], [21, 6, 14, 9, 4], [10, 11, 15, 12, 16, 8, 18, 17, 23, 22], [24, 26, 31, 28, 25], [29, 20, 30, 33], [37, 45, 34, 36, 38, 43, 39, 47, 41, 44], [32, 42, 46, 52, 49, 53, 48, 51, 50, 54, 58, 55, 56, 57, 60, 59]]
92: [[1, 35, 27, 7, 2, 5], [13, 8, 3, 4, 9, 6, 19], [14, 15, 12, 18, 16, 11, 20, 25, 24, 23, 22, 17, 10, 31, 30, 21, 26, 28, 29, 46, 44, 33, 34, 32, 37, 39, 36], [38, 45, 42, 43, 40, 41, 47, 51, 48, 53, 50, 57, 49, 54, 52, 55], [56, 59, 60, 58]]
93: [[1, 35, 27, 7, 2, 5, 13, 40, 19, 3], [21, 6, 14, 24, 4, 11, 10], [8, 12, 16, 9, 15, 17, 18, 22, 23, 31, 29, 28, 26, 25, 20, 30, 32, 34, 36, 42, 37, 38, 41, 33, 45, 39, 43, 47, 44, 46, 54, 48, 53, 51, 49, 52, 50, 59], [55, 56, 57, 60, 58]]
94: [[1, 35, 27], [7, 2, 5, 13, 40, 3], [6, 21, 4, 10, 8], [9, 12], [14, 18, 23, 15, 11], [16, 19], [20, 17, 25, 28, 22, 24], [31, 26, 30, 29, 33, 32], [43, 38], [37, 34, 45, 41, 46, 36], [42, 44, 47, 39, 55, 48], [51, 50, 57, 49, 54], [53], [52, 58], [59, 60, 56]]
95: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 12, 21, 4], [6, 8, 9, 15, 11], [16, 10, 30, 18, 14, 17, 25], [26, 29, 23, 22, 19, 24], [20], [28, 31, 42, 32, 33, 36, 38, 39], [41, 34, 44, 45, 37, 43, 46, 55], [47, 48, 49, 50, 54, 52, 51, 57, 56, 53, 60, 58], [59]]
96: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 8, 3, 6, 10, 9, 25, 4, 11, 12, 14, 17, 18, 15, 28, 16, 26, 20, 22, 30], [21, 24, 23, 29, 31, 39, 32, 41, 33, 36, 37, 45, 34, 38, 42, 46, 44, 43, 47, 54, 48, 52, 50, 51, 53, 49, 55, 57, 58, 56, 60, 59]]
97: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 6, 23, 14], [24], [9, 17, 10, 12, 11, 8, 18, 15, 28, 22, 26, 16, 31, 20, 19, 25, 21, 29, 30, 36, 33, 38, 32, 37, 34, 45, 42, 41, 43, 39, 44, 46, 47, 51, 48, 54, 55, 57, 50, 53, 49, 52, 56, 58, 60, 59]]
98: [[1, 35, 27], [7, 2, 4, 13], [40, 3, 5, 21, 9, 6, 25, 11, 12, 14, 10, 26, 8, 18, 15, 19], [17, 23, 31, 16, 22, 20, 28, 24, 29, 30, 36, 32, 37], [34, 38, 39, 43, 42, 41, 45, 46, 47, 44, 55, 52, 48, 33, 50, 49, 51, 53, 57, 54, 59, 56, 58, 60]]
99: [[1, 35, 27, 7, 2], [5, 13, 40, 3], [30, 21, 10, 4, 24], [11, 6, 8, 9, 22, 16], [12, 18, 31, 14, 15, 23], [17, 29, 28, 26, 20, 19, 25], [39, 32, 42, 38, 33, 41, 36, 37, 45, 43, 44, 34, 46, 47], [55, 48, 49, 50, 53, 57, 51, 52, 58, 60, 54, 59, 56]]
100: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 21], [9, 10, 26, 15, 6, 11], [8, 12, 16], [17, 14, 18, 19, 20, 31], [23, 22, 24, 25, 28, 29], [30, 39, 37, 42, 34], [32, 38, 33, 41, 46, 36], [45, 47, 43, 44, 54, 48], [53, 49, 51, 50, 52], [55, 59, 60, 56, 58, 57]]
101: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 4, 21], [11, 10, 6, 9, 12], [8], [15, 14], [17, 16, 18, 20, 19, 22, 31, 25, 30], [24, 23, 29, 26, 28, 33, 36, 43, 32, 34, 37, 41, 42, 38, 46, 39, 44, 45, 47, 55, 48, 50, 49, 53, 54, 52, 56, 51, 58, 59, 60, 57]]
102: [[1, 35, 27, 7, 2], [5, 13, 8, 3, 22, 6, 9, 4], [10, 15, 12, 16, 14, 11, 20], [18], [25, 23, 17, 19, 30, 24, 21, 28], [26], [31, 58, 29, 36, 33, 42, 32, 41, 38, 34], [37, 47, 39, 43, 44], [45, 55, 48, 52, 40, 46], [49, 53, 50, 59, 51, 54, 56, 60, 57]]
103: [[1, 35, 27, 7, 2, 5, 13, 40, 19, 3], [21, 6, 8, 10, 4], [11, 14, 9, 12, 16, 17, 22, 18, 15, 23], [24, 20, 30], [28, 26, 29, 25, 31, 33, 32, 47], [36, 34, 37, 41, 38, 39, 43, 42, 45, 44, 46, 50, 48, 51, 49, 53, 60, 54, 55, 56, 58, 52, 57, 59]]
104: [[1, 35, 27, 7, 2], [5, 13, 40, 23], [8, 3, 10, 6, 9, 15, 11, 4, 12, 26], [16, 14, 22, 17, 18, 19], [30, 20], [25, 29, 28, 31, 21], [24, 38, 37, 36, 34, 32, 39], [41, 33, 44, 47, 43, 42, 46, 45, 53, 48, 49, 50], [51, 52, 54, 58, 57], [59, 56, 60, 55]]
105: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 12, 15, 6], [24, 10, 9, 11, 18], [14, 17, 20, 16, 8, 22, 23], [31, 26], [21, 19, 25, 28, 29, 30, 36, 33, 32, 38, 34, 37, 39], [41, 47, 46, 45, 42, 44, 43, 51, 48, 52, 49, 50, 53, 54, 56, 58, 55, 57, 60, 59]]
106: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 21], [12, 6, 25, 9, 8], [10, 11, 14], [19, 17], [15, 16, 23, 20, 31, 18], [22, 24, 28, 29, 26, 30], [39, 36, 43, 33, 32, 37], [34, 41, 47, 42, 38, 45], [54, 44, 55, 48, 51, 49, 52], [46, 58, 57], [50, 59, 53], [60, 56]]
107: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21], [12, 4, 8, 15, 11], [9, 14], [10, 20, 25, 26, 23, 16], [17, 22, 28, 18, 19, 29], [31, 30, 24, 36, 33], [43, 42, 37, 34, 45], [41, 47], [32, 38], [44, 39], [46, 51, 48, 53, 50, 57, 54], [52, 55, 49, 58, 59, 60, 56]]
108: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 21, 30, 6, 9, 10], [14, 11, 8], [12, 16, 15, 17, 19, 23], [22, 18, 24, 31, 20], [25, 26, 28, 29, 39, 34, 47, 32], [38, 37, 42, 33, 36, 46, 43, 41, 44, 45, 50, 49, 51], [48, 52, 57, 54, 59, 58, 53, 56, 55, 60]]
109: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 6, 21, 12], [4, 30, 10, 11, 8], [9, 14, 16, 3, 15, 28, 22], [18, 17], [20], [25, 31, 23, 26, 24, 29, 32, 33], [43], [42, 38, 34, 39, 36, 47, 37, 41, 44, 45, 46, 48, 50, 54, 49, 51, 52, 53, 55, 56, 57, 59, 60, 58]]
110: [[1, 35, 27, 7, 2], [4, 13, 8, 3, 5, 9, 21], [6, 15, 11, 12, 18], [16, 10, 17, 23, 28, 19, 14], [20, 22, 24], [25, 26, 29, 31], [30, 42, 44, 32, 37, 34, 38, 39, 43, 33, 45, 36, 40, 41, 46, 47], [55, 48, 49, 50, 54, 51, 52, 53, 58, 59, 56, 57, 60]]
111: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 8], [14, 9, 24, 11, 10], [4, 17, 28, 15, 19, 16, 12, 21, 18, 22, 25, 20, 23, 26, 31, 29], [30, 36, 33, 34, 32, 38, 39, 41, 42, 37, 45, 43, 44, 46, 58, 51, 48, 53, 50, 47, 49, 54, 52, 55, 56, 57, 59, 60]]
112: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 4, 21], [9, 8, 11, 10, 6], [14, 12, 15, 17, 16, 19], [18, 22, 23, 31, 20, 30], [24, 25, 29, 26, 28], [33, 37, 42, 34, 36, 32, 41], [38, 46], [45], [39, 44, 47, 43, 55, 48, 51, 49], [50, 57, 52, 53, 59, 54, 58, 60, 56]]
113: [[1, 35, 27, 7, 2, 5], [13], [40, 3, 6, 21, 8, 4], [24, 9, 11, 10, 14], [17, 12, 18, 15, 19], [20, 23], [28, 16], [30, 25], [26, 22, 29, 31, 37, 32], [33, 42, 39, 34, 36, 38, 44], [41, 43, 46, 45, 55, 49, 48, 47, 50, 51, 54, 52, 53, 57, 58, 56, 60, 59]]
114: [[1, 35, 27, 7, 2, 4], [13, 56], [3, 6, 20, 12, 5, 9], [11, 10, 8, 14, 15, 30], [16, 18, 19, 17, 22, 21], [23, 25, 28, 31, 26, 29], [24, 37, 33, 32, 34, 36, 39, 40, 45, 38], [43, 44, 42, 41, 46, 54, 50, 47, 48, 49, 57, 55, 51, 52, 53, 59, 60, 58]]
115: [[1], [35, 27, 7, 2, 5, 13, 8, 3, 22, 6, 9, 4, 14, 12, 10, 16, 17, 15, 18, 11, 23, 19, 20, 29, 25, 26, 21, 28, 30, 24, 38, 39, 33, 34, 41, 36, 37, 31, 47, 44, 32, 42, 43, 51, 40, 49, 48, 45, 46, 50, 57, 54, 53, 52, 59, 56, 55, 60], [58]]
116: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21], [4, 28, 30, 8, 10], [12, 14, 9, 11, 17, 15, 23], [18, 19], [16, 25, 20, 22, 24, 26], [31, 29, 36, 32, 38, 41], [33, 34, 37, 39, 44, 42, 46, 47, 43, 45, 55, 48, 49, 51, 50, 58, 54, 53, 52, 56, 59], [60, 57]]
117: [[1, 35, 27, 7, 2], [4, 13, 41, 11, 6], [21, 5, 3], [14, 8, 9, 10, 12, 23], [19, 18, 20, 17, 15, 24, 16, 22, 28, 25, 34, 31, 26, 29, 30, 37, 38, 33, 36, 45], [46, 40, 42, 32, 39, 47, 43, 44, 55, 48, 49, 51, 52, 54, 50, 53, 57, 56, 58, 60, 59]]
118: [[1, 35, 27], [7, 2, 5, 13, 40, 23], [4, 3, 10, 6, 9], [12, 14, 8, 15, 30, 16, 11, 21], [22, 19, 17, 28, 26, 31, 29, 25, 18, 20, 24, 32, 38], [41, 34, 36, 37, 42, 46, 33, 39, 43, 47, 44, 45, 50, 48, 55, 53, 49, 57, 54, 59, 56, 51, 52, 58, 60]]
119: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 4, 21, 14], [6, 24, 15, 11, 8], [9, 10], [20, 18, 12, 16, 17, 19, 28], [23, 22, 25, 29, 30, 26], [31, 37, 39, 41, 42], [43, 34, 36, 32, 46], [38, 33], [44, 45], [47, 53, 48, 51, 50, 49], [54, 52, 55, 56, 58], [57, 60, 59]]
120: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 4], [9, 10, 25, 11, 12], [8, 14, 15, 28, 17], [20, 18, 16, 19], [23, 21], [22, 24, 26, 29, 30, 31], [39, 33, 32, 34, 37, 36], [44, 38, 46, 41, 43], [42, 47], [45], [55, 48, 51, 53, 49, 50], [54, 52, 58], [56], [59, 57], [60]]
121: [[1, 35, 27, 7, 2, 5], [13, 8, 3, 6, 9, 20], [14, 24, 15, 12, 19], [17, 11], [18, 22, 28, 4, 16, 21], [10, 23], [25, 26, 29], [31, 30, 46, 39, 36, 34], [33, 37, 38, 40, 32, 41], [44, 45, 42, 43], [47, 54, 48, 51, 49], [53, 52, 50, 55, 58, 59], [57, 56, 60]]
