0: [[4, 27, 11, 25], [5, 7], [23, 18], [52, 13, 21], [39, 8], [32, 49, 17], [15, 6, 10], [3, 48, 30, 51], [59], [56], [1], [33, 34], [35, 46, 2], [28, 9, 24, 45, 12], [36, 50], [41], [42, 37, 16, 54, 29], [20, 19, 26, 31, 47], [22], [14, 53], [55], [40, 58], [38, 44], [57], [60, 43]]
74: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 9, 12, 26, 8, 15, 16, 20], [29, 19, 17, 13, 22, 25, 18, 23, 31, 24, 27, 28, 41, 37, 34, 36, 39, 33, 32, 38, 10, 21, 6], [43, 45, 40, 47], [44, 42, 46, 51], [48, 53, 50, 49, 52, 55, 54, 56, 58, 57, 59, 60]]
75: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 8, 12, 6, 10, 9, 27, 13, 20, 15, 16, 17, 18, 19, 22, 31], [24, 23, 21, 29], [28, 25, 26, 33, 36, 34, 32, 37, 38, 44, 41, 39, 47, 40, 42, 43, 46, 45, 51], [52, 48, 54, 49, 50, 55, 53, 56, 57, 58, 59, 60]]
76: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 12, 10, 13, 17, 16, 21, 8, 26, 31], [15, 24, 25, 18], [19, 22, 28, 20], [23, 29, 27, 40, 36, 34, 33, 44, 37, 45, 39, 32, 43, 42, 46, 38, 47, 41, 51], [52, 49, 50, 55, 53, 48, 54, 57, 56, 59, 58, 60]]
77: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 12, 26, 13, 31, 29, 8, 22, 24, 10], [15, 20, 25, 19], [18, 17, 16, 21, 23, 28, 27, 36, 33, 34, 32, 45, 38, 39, 40, 47, 37, 43, 42], [41, 44, 46, 51], [52, 49, 50, 53, 54, 55, 48, 58, 56, 57, 59, 60]]
78: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 28, 24, 17, 15, 10, 29, 23, 12], [13, 20, 16, 19, 18, 22, 21, 25, 27, 26, 31, 32, 36, 38, 34, 33, 37, 41, 45], [47, 39, 40, 43], [42, 44, 46, 51], [48, 52, 54, 53, 49, 55, 50, 56, 57, 59, 58, 60]]
79: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 10, 9, 12, 8, 6, 21, 13, 23, 15, 16, 17], [19, 18, 22, 20, 24, 28, 25, 31, 26, 27, 29, 34, 32, 33, 37, 45, 36, 44, 39], [38, 40, 43, 41], [46, 42, 47, 51], [52, 53, 54, 48, 49, 55, 50, 56, 58, 57, 60, 59]]
80: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 9, 8, 10, 15, 29, 13, 12, 17, 21, 22, 6], [16, 20, 19, 26, 23, 18, 24, 25, 27, 28, 31, 36, 33, 34, 32, 38, 37, 39, 42], [40, 41, 43, 45], [46, 44, 47, 51], [52, 49, 50, 55, 54, 53, 58, 48, 56, 59, 57, 60]]
81: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 12, 9, 10, 17, 13, 21, 31], [19, 23, 26, 16], [29, 20, 15, 22, 18, 24, 25, 27, 28, 37, 36, 32, 34, 33, 38, 39, 41, 43, 46, 40, 42], [44, 47, 45, 51], [52, 48, 49, 50, 53, 55, 54, 58, 57, 56, 59, 60]]
82: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 13, 9, 8, 10, 27, 25, 22, 12, 15, 23], [20, 16, 19, 17, 24, 18, 21, 31, 26, 28, 29, 40, 36, 32, 33, 34, 37, 38, 41], [39, 47, 43, 42], [45, 44, 46, 51], [48, 49, 50, 52, 54, 55, 53, 56, 58, 57, 59, 60]]
83: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 12, 9, 6, 10, 8, 23, 13, 22, 15, 25, 18], [17, 16, 19, 21, 28, 31, 27, 20, 26, 24, 29, 32, 36, 34, 33, 39, 37, 47, 38], [40, 43, 42, 45], [41, 44, 46, 51], [52, 49, 55, 48, 50, 53, 54, 57, 59, 58, 56, 60]]
84: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 12, 9, 6, 29, 10, 27, 8, 22, 13, 15, 23], [20, 31, 17, 16, 24, 19, 26, 18, 25, 21, 28, 45, 37, 32, 33, 39, 36, 38, 42], [34, 47, 43, 40], [41, 44, 46, 51], [48, 49, 54, 58, 50, 53, 52, 55, 56, 57, 59, 60]]
85: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 12, 9, 10, 8, 18, 13, 23, 22], [31, 16, 15, 27, 17, 21, 19, 25, 20, 24, 26, 28, 29, 37, 32, 33, 34, 36, 39, 42, 47], [38, 41, 43, 40], [45, 44, 46, 51], [55, 48, 52, 57, 49, 50, 53, 54, 56, 59, 60, 58]]
86: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 10, 9, 12, 24, 13, 18, 15], [31, 21, 16, 17, 20, 23, 19, 22, 26, 25, 27, 28, 29, 41, 32, 34, 37, 33, 39, 38, 47], [36, 40, 43, 46], [45, 44, 42, 51], [52, 49, 54, 48, 53, 55, 58, 50, 56, 59, 57, 60]]
87: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 13, 8, 10, 12, 23, 9, 15, 19], [21, 16, 25, 18, 20, 17, 24, 22, 26, 29, 27, 28, 31, 32, 33, 34, 37, 36, 44, 40, 38], [45, 39, 43, 46], [41, 47, 42, 51], [48, 49, 54, 53, 50, 52, 56, 55, 58, 57, 59, 60]]
88: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 13, 12, 26, 8, 31, 9, 20, 10], [16, 15, 18, 29, 17, 19, 27, 21, 22, 23, 28, 24, 25, 33, 36, 34, 32, 37, 39, 45, 41], [38, 47, 40, 42], [43, 46, 44, 51], [52, 48, 54, 49, 50, 55, 53, 60, 56, 58, 59, 57]]
89: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 12, 8, 6, 9, 10, 13, 18, 20, 15], [25, 16, 21, 17, 19, 22, 26, 23, 24, 27, 29, 28, 31, 32, 33, 34, 39, 36, 37, 38, 47], [42, 45, 44, 40], [41, 43, 46, 51], [48, 49, 50, 52, 53, 55, 54, 59, 56, 57, 58, 60]]
90: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 10, 9, 6, 8, 26, 19, 12, 17, 13], [15, 23, 31, 20, 16, 21, 22, 18, 25, 24, 28, 29, 27, 36, 33, 39, 34, 37, 38, 40, 32], [44, 41, 43, 42], [46, 45, 47, 51], [60, 48, 54, 53, 49, 50, 52, 59, 56, 55, 58, 57]]
91: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 10, 8, 12, 13, 25, 17, 20], [15, 16, 19, 22, 28, 18, 21, 26, 23, 27, 29, 24, 31, 34, 37, 39, 38, 36, 33, 32, 46], [41, 40, 45, 42], [43, 44, 47, 51], [52, 49, 54, 50, 48, 53, 55, 59, 57, 56, 58, 60]]
92: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 12, 10, 13, 8, 31, 28, 19, 9], [17, 15, 16, 18, 29, 22, 20, 21, 24, 23, 27, 25, 26, 33, 32, 36, 37, 34, 38, 47, 39], [41, 42, 40, 45], [43, 44, 54, 51], [48, 49, 46, 53, 50, 52, 55, 59, 56, 57, 58, 60]]
93: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 8, 10, 12, 20, 13, 29, 15, 19, 16], [23, 22, 18, 17], [21, 25, 26, 28], [31, 24, 27, 41, 32, 34, 33, 36, 46, 37, 38, 39, 40, 42, 44, 47, 43, 45, 51], [52, 49, 48, 57, 55, 54, 53, 58, 56, 50, 59, 60]]
94: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 12, 9, 13, 8, 24, 31, 10, 21, 28, 18, 15], [16, 22, 20, 6, 19, 17, 23, 26, 27, 25, 29, 36, 33, 34, 37, 32, 38, 41, 39], [40, 46, 42, 43], [45, 44, 47, 51], [48, 49, 54, 50, 52, 55, 53, 58, 60, 57, 59, 56]]
95: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 10, 27, 23, 20, 16, 12, 13, 19], [15, 22, 26, 17, 29, 18, 21, 25, 24, 28, 31, 44, 33, 32, 34, 37, 36, 38, 42], [45, 39, 40, 43], [41, 47, 46, 51], [52, 49, 54, 53, 48, 50, 55, 59, 56, 57, 58, 60]]
96: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 10, 8, 13, 25, 12, 21, 24], [18, 29, 22, 26], [20, 19, 15, 16, 17, 23, 31, 27, 28, 32, 36, 33, 46, 34, 39, 40, 47, 37, 45, 38, 41], [42, 43, 55, 51], [52, 49, 50, 53, 44, 48, 54, 59, 56, 58, 57, 60]]
97: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 13, 8, 12, 31, 10, 21, 25, 15, 23], [17, 16, 20, 18], [19, 22, 24, 26, 27, 28, 29, 45, 32, 34, 37, 33, 36, 39, 38, 40, 46, 42, 41], [44, 43, 47, 51], [52, 49, 53, 48, 50, 55, 54, 56, 58, 57, 59, 60]]
98: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 12, 10, 17, 13, 21, 20, 15, 18], [19, 22, 16, 23, 24, 26, 25, 27, 28, 31, 29, 38, 32, 34, 47, 36, 33, 44, 39], [43, 41, 42, 45], [37, 40, 46, 51], [48, 53, 54, 50, 49, 55, 52, 56, 59, 57, 58, 60]]
99: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 12, 9, 10, 25, 17, 21, 15, 29, 16], [18, 19, 24, 23], [13, 22, 27, 20], [26, 28, 31, 40, 32, 38, 34, 36, 37, 39, 33, 42, 41, 43, 45, 44, 46, 47, 51], [52, 49, 50, 48, 54, 55, 53, 60, 58, 59, 57, 56]]
100: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 8, 10, 12, 19, 13, 21, 15], [17, 16, 23, 20], [18, 26, 22, 25, 24, 28, 31, 29, 27, 41, 33, 34, 32, 37, 36, 39, 38, 43, 45, 40, 42], [47, 44, 46, 51], [52, 49, 48, 50, 55, 53, 54, 59, 56, 57, 58, 60]]
101: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 10, 9, 15, 23, 20, 17, 12, 13, 19], [16, 18, 24, 25], [21, 22, 26, 27, 28, 29, 31, 42, 34, 32, 36, 33, 45, 39, 37, 40, 41, 43, 44], [47, 46, 38, 51], [56, 48, 49, 52, 50, 55, 53, 59, 57, 60, 58, 54]]
102: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 12, 8, 9, 26, 29, 10, 28, 13], [31, 18, 17, 15], [16, 25, 24, 22], [19, 21, 27, 20, 23, 32, 36, 33, 34, 45, 38, 37, 43, 39, 47, 40, 41, 42, 44, 46, 51], [48, 52, 54, 53, 49, 50, 56, 55, 59, 57, 58, 60]]
103: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 13, 6, 9, 12, 31, 15, 17, 8, 10, 20, 18], [16, 22, 19, 21, 26, 23, 24, 25, 27, 28, 29, 40, 38, 34, 36, 32, 33, 44, 47], [37, 39, 42, 43], [41, 45, 46, 51], [54, 49, 50, 52, 53, 48, 55, 56, 59, 57, 58, 60]]
104: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 13, 8, 9, 26, 31, 10, 29, 17, 12, 18], [15, 16, 23, 19], [21, 20, 24, 27, 22, 25, 28, 32, 37, 34, 33, 44, 36, 38, 39, 41, 42, 46, 43], [47, 40, 45, 51], [48, 53, 54, 49, 52, 56, 50, 55, 57, 59, 58, 60]]
105: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 12, 13, 6, 29, 8, 10, 15, 17, 22, 20, 18, 23], [9, 19, 16, 26, 21, 24, 25, 27, 28, 31, 33, 32, 34, 40, 36, 38, 37, 43], [41, 39, 44, 48], [42, 46, 45, 51], [52, 47, 50, 49, 54, 55, 59, 56, 57, 53, 58, 60]]
106: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 13, 12, 10, 8, 19, 25, 15, 9, 18, 22], [20, 16, 23, 21, 24, 26, 17, 27, 29, 28, 31, 36, 32, 34, 33, 38, 41, 44, 39], [37, 40, 43, 46], [42, 45, 47, 51], [52, 49, 55, 48, 50, 53, 54, 59, 58, 57, 56, 60]]
107: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 12, 10, 15, 29, 18, 13], [16, 21, 20, 24], [19, 23, 25, 26], [17, 22, 27, 28, 31, 36, 32, 33, 38, 39, 41, 44, 37, 34, 42, 40, 46, 43, 47, 45, 51], [52, 49, 55, 48, 50, 53, 54, 58, 59, 57, 60, 56]]
108: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 26, 10, 31, 12, 13, 15, 20, 21], [17, 16, 22, 19], [23, 18, 25, 29], [24, 28, 27, 36, 34, 32, 33, 46, 43, 41, 37, 45, 40, 39, 38, 42, 47, 44, 51], [48, 49, 52, 53, 50, 55, 54, 59, 57, 56, 58, 60]]
109: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 13, 26, 17, 10, 12, 29, 15, 18], [19, 21, 31, 22], [16, 23, 24, 27], [25, 20, 28, 40, 37, 38, 34, 36, 39, 32, 33, 41, 45, 44, 42, 46, 47, 43, 51], [48, 49, 54, 53, 52, 50, 57, 55, 59, 60, 58, 56]]
110: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 8, 15, 9, 12, 13, 25, 16, 10, 6, 17, 22], [20, 28, 19, 21], [23, 24, 27, 18], [29, 26, 31, 41, 44, 32, 37, 34, 36, 38, 39, 33, 40, 43, 46, 45, 42, 47, 51], [52, 49, 50, 48, 55, 54, 59, 56, 57, 53, 58, 60]]
111: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 12, 26, 13, 31, 10, 24, 25, 8, 17, 22], [18, 20, 21, 19], [15, 16, 29, 27, 28, 23, 37, 32, 33, 36, 43, 45, 47, 44, 40, 38, 34, 42], [46, 39, 41, 51], [52, 48, 55, 49, 50, 54, 53, 58, 60, 57, 59, 56]]
112: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 9, 8, 12, 10, 22, 13, 19, 15, 29, 18], [21, 26, 23, 17], [24, 31, 16, 20], [25, 28, 27, 36, 32, 34, 33, 39, 37, 45, 38, 40, 46, 42, 43, 41, 44, 47, 51], [52, 49, 55, 48, 50, 53, 54, 58, 57, 59, 56, 60]]
113: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 13, 10, 31, 20, 25, 22, 18, 19], [26, 16, 28, 12], [15, 17, 23, 21, 24, 29, 27, 34, 32, 36, 37, 33, 44, 38, 41, 39, 43, 40, 45], [42, 46, 54, 51], [48, 47, 49, 53, 50, 52, 56, 59, 55, 57, 58, 60]]
114: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 15, 9, 8, 12, 23, 13, 31], [22, 18, 17, 20], [19, 16, 25, 26], [24, 27, 28, 29, 32, 33, 34, 37, 36, 39, 45, 38, 47, 42, 43, 44, 40, 41, 46, 51, 10, 21, 6], [52, 49, 53, 50, 48, 55, 54, 59, 58, 57, 56, 60]]
115: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 10, 9, 6, 8, 12, 19, 13, 17, 15, 18, 25], [24, 21, 26, 20], [23, 22, 16, 27], [28, 29, 31, 43, 32, 36, 34, 33, 37, 47, 42, 38, 39, 44, 40, 41, 45, 46, 51], [56, 48, 49, 53, 50, 52, 55, 59, 54, 57, 58, 60]]
116: [[5, 1, 11, 33, 9, 23, 4, 18, 36, 13, 8, 14, 10, 48, 25, 31, 6, 15], [17, 3, 16, 30], [19, 51, 24, 20, 7], [22, 35, 47, 2, 28, 32, 34, 44, 12, 37, 54, 43, 40, 38, 21, 41, 29, 42, 50, 26, 27], [45, 52, 39, 53, 46, 49, 59, 55, 60, 57, 56, 58]]
117: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 12, 26, 9, 8, 10, 13, 22, 15, 6], [21, 17, 19, 23], [18, 16, 25, 20], [28, 24, 31, 27, 29, 41, 46, 34, 36, 45, 40, 38, 32, 37, 44, 33, 42, 43, 39, 47, 51], [54, 49, 50, 52, 48, 53, 55, 56, 57, 59, 58, 60]]
118: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 10, 15, 9, 27, 12, 17, 28, 16, 19], [18, 20, 13, 22], [24, 25, 31, 21], [26, 23, 29, 34, 33, 32, 36, 37, 46, 47, 41, 38, 43, 42, 44, 39, 40, 54, 51], [48, 45, 55, 53, 52, 56, 50, 59, 49, 57, 58, 60]]
119: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 9, 12, 24, 29, 10, 16, 15, 31, 19], [13, 18, 20, 17], [27, 22, 21, 23], [25, 26, 28, 32, 38, 36, 34, 33, 37, 39, 47, 45, 40, 41, 43, 42, 44, 46, 51], [56, 49, 54, 53, 48, 52, 50, 55, 57, 59, 58, 60]]
120: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 13, 15, 22, 8, 9, 10, 17, 12, 19, 16], [20, 23, 21, 18, 24, 27, 26, 25, 31, 29, 28, 37, 36, 32, 33, 34, 39, 46], [44, 47, 38, 40], [41, 42, 48, 43, 49], [45, 50, 55, 53, 51, 54, 57, 59, 52, 56, 58, 60]]
121: [[7, 1, 2, 35, 11, 30, 4, 3, 5, 14, 6, 8, 12, 25, 13, 29, 10, 9, 18], [23, 15, 17, 19], [20, 16, 21, 22], [26, 27, 24, 28, 31, 37, 32, 34, 44, 36, 33, 38, 39, 40, 43, 41, 42, 45, 47, 46, 50], [52, 53, 55, 51, 48, 49, 59, 57, 56, 54, 58, 60]]
