0: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 5, 6, 21], [9, 8], [11, 12, 24, 15, 20, 10], [16, 19, 17, 18], [23, 22, 26, 25, 28], [30, 29, 31, 37, 40], [34, 33, 38, 32, 46, 39, 36], [47, 44, 41, 42, 43, 59, 50, 55], [48, 45, 51, 54, 53, 56, 60, 52], [57, 49], [58]]
74: [[35, 27, 7, 2, 1, 3, 4, 14, 13, 21, 5, 6], [11, 8, 9, 24, 10, 15, 17, 23, 19, 22, 18], [12, 20, 16, 25, 26, 28, 29, 30, 57, 37, 32, 33, 36, 31, 44, 34, 49, 38, 40, 39, 46, 47, 41, 42, 50, 58, 48, 54, 51, 55, 43, 52, 45, 53, 56, 59, 60]]
75: [[35, 27, 7, 2], [1, 3, 4, 14], [13, 5, 6], [9, 11, 8, 12, 29], [18, 15, 19, 25, 21, 17, 20, 16, 22, 10, 31, 24, 23, 26, 28, 30, 37, 40, 33, 32, 38], [34, 36, 39, 41, 42, 45, 46, 43, 47, 44, 51, 54, 52, 53, 49, 48, 50, 57, 60, 55, 56, 59, 58]]
76: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21], [6, 5, 9, 8, 10, 12, 11, 15, 25, 19], [18, 16], [17, 20, 22, 23, 26], [30, 24, 29, 28, 31, 37, 42, 47, 32, 38, 33, 34], [39, 36, 43, 44, 40, 46, 41, 45, 49, 54, 48, 50, 51, 53, 52, 59, 55, 57, 60, 56, 58]]
77: [[35, 27, 7, 2], [1, 3, 4, 14, 13], [21, 5, 6], [9, 25, 11, 26, 8, 15, 10, 16, 30, 17], [23, 31, 22, 29, 12], [24, 19, 18, 28, 20, 37, 40], [33, 34], [32, 36, 38, 39, 45, 47, 41, 46], [43, 42, 44, 51, 49, 52, 48, 53, 54, 55, 57, 58, 50, 59, 60, 56]]
78: [[35, 27, 7, 2], [1, 3, 4, 14, 13], [21, 5, 6], [10, 11, 8, 24, 31, 12], [15, 16, 9], [17, 26, 19, 18], [22, 28, 20, 30, 23, 25], [29, 37, 42, 32, 36, 49], [34, 40, 46], [43, 39, 38, 33, 44], [41, 45, 47, 48, 60, 50, 53, 51], [54, 52, 55, 58, 56, 57, 59]]
79: [[35, 27, 7, 2, 1], [3, 4, 14, 13], [21, 5, 10, 9, 28], [8, 12, 15, 11, 6], [16, 26, 18], [17, 24, 19, 23, 20, 22], [30, 29, 25, 31, 48, 46, 33, 32], [37, 34, 42, 36, 45, 39, 38, 41], [40], [43, 44, 51, 56, 47, 52], [50, 55, 49, 54, 53, 57, 58, 59, 60]]
80: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 5, 6, 10, 12, 11, 8, 15, 16, 18], [21, 9, 19, 17, 26, 20, 22, 24, 25, 28, 31, 29, 30, 23, 37, 32, 33, 36, 34, 38, 43, 39, 40, 45, 41, 44, 42, 47, 46, 59, 49, 54, 52, 50], [48, 51, 53, 55, 57, 56, 58, 60]]
81: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 9, 10], [8, 26, 12, 30, 15, 11, 16, 18, 17], [19, 23, 20], [22, 25, 24, 29, 28], [31, 36, 38], [34, 33, 48, 32], [39, 42, 37, 40, 45, 41, 43, 44, 46, 49, 47], [56, 52, 50, 54, 53, 51, 59, 55, 57, 58, 60]]
82: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 6, 11], [8, 9, 10, 24], [15, 12, 22, 26, 19, 16, 30, 18, 20, 23, 25], [31, 17, 28, 29, 36, 43, 34, 33, 38, 32, 47], [39, 37, 41, 44, 40, 46, 45, 42, 51, 48, 57], [53, 50, 49, 52, 54, 59, 55, 56, 58, 60]]
83: [[35, 27, 7, 2, 1, 3, 4], [14, 13], [21, 5, 6, 8, 9, 11, 10, 12], [15, 24, 17, 22, 19, 16, 23, 20, 29, 25, 18, 26, 30, 28, 31, 37, 44, 33, 32, 50, 38, 43, 36, 47, 39, 40, 46, 41, 42, 45, 57, 48, 49, 34, 53, 52], [51, 55, 54, 56, 58, 60, 59]]
84: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21], [5, 6, 9, 8, 11, 26, 28], [15, 16, 19, 10, 18, 20, 23], [12, 25, 30, 17, 22, 29, 24, 31], [37], [32, 36, 33, 52, 34, 38, 40, 39, 43, 45], [44, 42, 41, 47, 48, 46, 56, 49, 55, 54, 50, 51, 53], [57, 59, 58, 60]]
85: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 9, 8, 10, 26, 28, 15, 16], [11, 23, 18, 12, 17, 20, 25, 30], [19], [22, 29, 24, 31, 33, 32, 37, 34, 52, 42], [39, 40, 38, 43, 45, 46, 41, 44, 47, 49, 51, 56, 36], [50, 54, 48, 55, 53, 57, 58, 59, 60]]
86: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 6, 20, 9, 8, 11, 28, 24, 12, 5], [10, 17, 26, 23, 19, 15, 22, 16], [18, 25], [30], [29, 31, 37, 36, 43, 32, 39, 33, 46, 34, 38, 41, 44, 40, 42, 45, 55, 51, 50, 48, 47, 53, 52, 54, 49, 60, 58, 57, 56, 59]]
87: [[35, 27, 7, 2], [1, 3, 4, 14, 13], [21, 5, 6], [9, 10, 8, 11, 28, 15, 12, 16, 26, 25, 18, 20, 30], [17, 19, 23, 31, 22, 24, 29, 37, 34, 33, 38], [32, 40, 39], [45, 42, 47, 36, 43, 41], [44, 46, 51, 48, 52], [49, 53, 54, 50, 55], [56, 59, 57, 58, 60]]
88: [[35, 27, 7, 2, 1, 3], [4, 14, 13, 21], [5, 6, 9, 8, 10], [12, 15, 11, 23, 17], [22, 16, 20, 25, 26, 24, 19, 18, 29, 28, 31, 30, 33, 42, 39, 34, 32, 36, 38, 50, 43, 41, 44, 40, 37, 47, 45, 51, 58, 49, 46, 48], [52, 54, 57, 53, 55, 56, 60, 59]]
89: [[35, 27, 7, 2], [1, 3, 4, 14], [13, 21, 20, 6, 5], [8, 10], [30, 11, 12, 15], [24, 17, 23, 22, 25, 28], [19, 16, 18, 26, 9], [49, 31, 37, 44, 36, 38, 33, 32, 29], [45, 34, 42, 39, 47, 40, 43, 41, 46, 55], [50, 48, 53, 52, 51, 54, 58, 57, 56], [59, 60]]
90: [[35, 27, 7, 2], [1, 3, 4, 14, 13], [21, 5, 6], [9, 11, 10, 24], [8, 15, 12, 20, 18, 17, 16, 22], [19, 29, 30, 25, 26, 23, 28, 31, 37], [32, 57, 40, 33, 41, 39, 43, 36, 34], [46, 44, 38, 42, 45, 51, 48, 52, 47, 53], [60, 54, 50, 56, 55, 59, 49, 58]]
91: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 6, 8, 9], [5, 11, 24, 10, 15], [20, 12, 16], [19, 22, 17, 31], [18, 23, 25, 26], [28, 30, 29, 37, 42], [34, 33], [38, 32, 39, 46], [36, 41, 40, 43, 45], [47, 59, 49, 55, 58], [48, 50, 52, 53, 51, 44, 54, 57, 56, 60]]
92: [[35, 27, 7, 2, 1, 3, 4, 14, 13, 5, 21, 6], [11, 9, 8, 24, 15, 12, 16, 23, 18, 10], [17, 30, 22, 20], [19, 25, 26, 29], [28, 31, 37, 42, 32, 33], [34, 36, 38, 47, 40, 39, 44, 41], [43], [59, 45, 50, 46, 49, 53, 51, 54, 52, 57, 48, 55, 56, 58, 60]]
93: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21, 9], [6, 11, 8, 5, 12, 10, 15, 25, 19, 26], [18, 31], [30, 16, 28, 17, 20, 22, 24, 23, 29, 37, 40], [38], [32, 33, 34, 43, 41, 36, 39, 42, 46, 45, 44, 47, 48, 52, 56, 50, 49, 54, 53, 55, 51, 57, 59, 58, 60]]
94: [[35, 27, 7, 2, 1, 3, 4, 14, 13, 21, 5], [11, 8, 9, 10, 6, 17, 15, 26, 24, 16, 23, 12, 18, 19, 20, 22, 29, 28], [31, 25, 30, 37, 34, 32, 33, 36, 38, 42, 43], [47, 41, 40, 39, 44, 45, 59, 48, 53, 52, 46, 51, 55, 50, 54, 49, 56, 57, 58, 60]]
95: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 5, 9, 6, 11, 8], [10, 28, 15, 12, 17, 19, 26, 18, 23, 30, 16], [20, 25, 21, 24, 22, 31, 29, 37], [40, 32, 34], [33, 38, 46, 39, 36, 47, 45, 41, 42, 44, 43, 50, 48, 56, 49, 51, 53, 55, 52, 54, 58, 59, 57, 60]]
96: [[35, 27, 7, 2, 1, 3], [4, 14, 13], [21, 5, 15, 6, 8, 9], [30, 10, 12, 18, 11, 17, 19, 20], [23], [26, 24, 22, 29, 16, 25, 28, 31, 49, 33], [36, 34, 32, 42, 37], [40, 38, 47, 44, 39, 46, 43], [45, 50], [48, 41, 52, 51], [54, 53, 55, 56], [57, 59, 58, 60]]
97: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 22, 9, 10, 6, 8, 24, 15], [11, 18, 26], [12, 17, 16, 19, 20, 23, 25], [31, 28, 29, 30, 37, 34, 32, 33, 38, 36, 46, 39, 40, 47, 44, 41, 42, 43, 45, 51, 49, 56, 53, 48, 54, 52, 60, 50, 55, 57, 59, 58]]
98: [[35, 27, 7, 2], [1, 3, 4, 14, 13], [5, 8, 6, 9, 24, 10, 11, 12, 15, 20, 25, 26, 18, 17, 16], [22, 19, 30, 29, 21, 31, 23, 28, 32, 40, 37, 33, 39, 38, 46, 47, 36, 34, 42, 41, 44, 43, 45, 50, 56, 48, 52, 57, 55, 51, 58, 49, 54, 59, 53, 60]]
99: [[35, 27, 7, 2, 1, 3], [4, 14, 13, 5], [15, 6, 9, 8, 10], [11, 12, 16, 20, 19], [18, 21, 17], [23, 22, 29, 24, 28, 26], [30, 25, 31, 32, 42, 36, 37, 34], [38, 47, 39, 40, 33, 45, 41, 44], [43], [46, 51, 48, 49], [52, 50, 53, 55, 58, 57, 54, 59, 60, 56]]
100: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 22, 8, 26, 6, 11, 12], [10, 9], [17, 19, 18, 15, 16, 20, 31, 25, 30, 23, 29], [28, 24, 37], [32, 33, 40, 34, 36, 47, 42, 39, 43, 46, 44, 41, 38, 45, 49, 55, 60, 48, 51, 53, 52, 50, 57, 59, 54, 58, 56]]
101: [[35, 27, 7, 2, 1, 3, 4, 14, 13, 21, 6], [5, 9, 8, 11, 28, 12, 19, 15, 29, 10, 17, 18, 31], [22, 30, 20, 16, 25, 23, 26], [24, 37, 34], [36, 33, 32, 43, 38], [46], [45, 42, 39, 40, 44, 41, 47, 50, 54, 49, 55, 51, 52, 48, 53, 58, 57, 56, 59, 60]]
102: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21, 5, 6], [8, 10], [9, 11, 12, 15, 18, 20], [16, 22, 23, 25], [19, 17, 29, 28], [30, 26, 24, 31, 37, 32, 36, 46], [55, 34, 47, 40, 39, 38, 44, 41, 42, 33, 43, 48, 45, 49, 52, 50, 51], [53, 60, 54, 57, 58, 56, 59]]
103: [[35, 27, 7, 2, 1, 3, 4, 14, 13, 21, 6], [5, 9, 8, 10, 26, 12, 23, 11, 15, 22, 16], [18, 28, 17, 31, 19, 20, 25], [29, 24, 30], [37, 34, 32, 33, 39], [42, 38, 46, 36, 43, 41, 40, 44, 47, 45], [50, 49, 56, 52, 51, 54, 48, 53, 55, 57, 59, 58, 60]]
104: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5], [6, 9, 10, 8, 24, 31, 11], [19, 23, 18, 12, 17, 15], [29, 22, 25, 20], [30, 26, 16, 28, 33, 34], [36, 38, 40, 32, 44], [37, 42, 50, 45, 39], [46, 43, 47, 51, 54, 48, 41, 52, 53, 49, 55, 56, 58, 59, 57, 60]]
105: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 22, 9, 10], [11, 28], [6, 8, 12, 24, 20, 19], [18, 15, 30, 23, 16], [26, 29, 17, 25, 31], [37, 34, 32, 33, 38], [44, 39, 36, 41, 47], [45, 43, 40, 42, 46, 49], [59, 48, 55, 52, 50, 54], [53, 51, 56, 57, 58, 60]]
106: [[35, 27, 7, 2, 1, 3, 4, 14, 13, 21, 5, 6, 10, 8, 11, 12, 15, 31], [20, 24, 9, 16, 26, 22, 18, 25, 29, 17, 23, 19, 28, 30, 36, 40, 33, 37, 34, 32, 44, 41, 46, 39, 38], [48, 45, 47, 43, 49, 50, 58, 52, 42, 53], [57, 54, 55, 51, 59, 56, 60]]
107: [[35, 27], [7, 2], [1, 3, 4, 14], [13, 21, 5, 10, 9, 16], [8, 12, 24, 15, 20], [31, 18, 22, 19, 17, 23, 29], [30, 25, 28, 11, 39], [26, 37, 32, 33, 6], [34, 36, 38], [40, 44, 43, 41], [46, 42, 45, 47], [58, 51, 56, 57, 54], [49, 53, 55, 52, 48, 50, 60], [59]]
108: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 8], [11, 12, 10], [9, 15, 24, 19, 18, 28], [17, 16, 20, 31], [22, 25, 29, 30, 26, 23], [37, 40, 34, 45, 33], [32, 39], [36, 38, 41, 43], [44, 42, 46], [47, 59, 51], [48, 54, 49, 55, 52], [50, 53, 58], [57, 56], [60]]
109: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 5, 6, 23, 8, 10], [11, 9, 26, 15, 18, 20], [16, 21, 17, 28, 12], [31, 19, 22, 24, 29, 25, 30, 37, 46, 32, 33, 34, 36, 38, 39, 41, 45, 40, 43, 42, 47, 44, 50, 54, 56, 49, 51, 53, 48, 52, 55, 59, 58, 57, 60]]
110: [[35, 27], [7, 2, 1, 3, 4, 14, 13, 21, 5], [6, 9, 10, 11], [8, 12, 15, 17, 16, 26], [18, 23, 19, 20, 28, 30, 22, 24, 31], [25, 29, 36, 40, 41, 37, 34, 38, 32, 39], [45, 46, 33, 42, 43, 48, 44, 51, 47, 50, 49, 53, 52, 54, 55, 60, 58, 59, 57, 56]]
111: [[35, 27, 7, 2, 1, 3, 4, 14, 13, 21, 5], [6, 9, 8, 11, 10, 20, 15, 12], [16], [17, 19, 28, 18, 23, 26, 25, 31, 22, 29], [24, 30, 37, 32, 36, 33, 54, 38, 47, 41, 44, 43, 45], [40, 39, 42, 46, 52, 50, 48, 34, 49, 51, 56, 55, 53, 57, 58, 59, 60]]
112: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 8, 24, 9, 10, 30, 19], [28, 29, 11, 18], [12, 22, 20], [15, 16, 17, 25, 23, 26, 31], [36, 34, 32], [37, 38, 43, 47, 33, 39], [41, 40, 46], [42, 45, 44, 51, 50, 57, 53], [49, 48, 56], [52, 54, 55, 58, 59], [60]]
113: [[35, 27, 7, 2, 1, 3, 4, 14, 13, 21, 5, 6, 9, 24, 12, 8, 11, 15, 19, 10, 22, 26, 20], [16, 18, 31, 23, 17, 25, 28, 29, 30, 36, 40, 33, 39, 32], [34, 44, 38, 45, 46, 41, 37, 47, 50, 43, 59, 48, 49, 53, 42, 55, 52, 54, 56, 51, 57, 58, 60]]
114: [[35], [27, 7, 2, 1, 3, 4, 14, 13, 21, 5, 6, 8, 11, 10, 12, 9, 30, 15, 16, 17, 18, 19, 22, 23, 29, 24, 20, 25, 26, 31, 28, 37, 38, 32, 34, 45, 33, 43, 36, 39, 47, 44, 40, 42, 41, 46, 50, 49, 57, 48, 52, 55, 51, 53, 54, 58, 59, 56, 60]]
115: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 5, 6, 22], [9, 8, 11], [12, 10, 15, 17, 16], [19, 18, 24, 23, 31], [26, 25, 20, 21, 60, 28], [29, 37, 40, 34, 38, 55], [30, 46, 36, 32], [39, 42, 43, 44, 45, 41], [50, 52, 48, 33, 47], [53, 49, 51, 54, 59], [57, 58, 56]]
116: [[35, 27, 7, 2], [1, 3, 4, 14, 13], [10, 5], [6, 9, 8, 11], [12, 28, 15, 18, 16, 30, 22, 17], [21, 19, 26, 29, 23, 20, 52, 24, 25, 37, 40, 33, 36, 31, 32, 41, 42, 34, 44, 45, 46, 39, 47, 43, 49, 50, 48, 38, 56, 51], [54, 53, 55, 57, 58, 59, 60]]
117: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21], [5, 6, 8, 10, 11, 9], [12, 15, 19, 17, 16], [28, 24, 18, 20, 26], [22, 23, 25, 29, 30], [31, 33, 44], [32, 36, 34, 38], [47, 37, 39, 43, 40, 42], [46, 45, 52, 48, 59], [54, 41, 51, 53, 49, 55], [50, 58, 56, 57, 60]]
118: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 5, 6, 10, 12], [11, 15, 8], [9, 31, 24, 28, 16], [22, 17, 18, 20, 19, 21], [23, 25, 29, 26], [30, 37, 40, 45, 44, 36, 32, 39, 38, 47], [34, 41, 33, 42, 43, 46, 59, 51, 50, 49, 55, 48, 52, 54, 53, 56], [57, 58, 60]]
119: [[35, 27, 7, 2], [1, 3, 4, 14, 13], [5, 17, 6, 8, 9, 10], [12, 11, 18, 16], [20, 15, 21, 19, 26, 22, 24, 23, 29, 31], [25, 28, 30, 37, 40, 32, 36, 33, 34, 59, 46, 38, 42, 41, 39, 43, 45, 44, 49, 47, 52, 48, 55, 50], [53, 54, 57], [51, 58, 56, 60]]
120: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 5, 6, 10, 9], [8, 11, 12, 18, 15], [20, 21, 16], [19, 22, 26, 23], [24, 25, 17, 29], [28, 30, 31, 37, 42], [32, 33], [34, 40, 47, 38], [36, 39, 41, 45, 44], [46, 43, 51, 54, 56], [49, 50, 52, 53, 55, 48, 58], [59, 57], [60]]
121: [[35, 27], [7, 2, 1, 3, 4], [14, 13, 5, 6, 9], [8, 11, 10, 12, 19, 15, 16, 17, 22], [18, 21, 23, 20, 29], [25, 28, 24, 30, 26, 31, 37, 40, 33, 32, 48, 34, 36, 39, 38, 47, 41, 46, 43, 42, 44, 49, 45, 58, 53, 57, 52, 50, 51, 55, 54, 56, 59, 60]]
